F' L' D' F2 B'
F' L' D' B' F2
F' L' D' B' F2
F' L' B' D' F2
D' F' L' F' B'
D' F' L' B' F'
F' D' L' F2 B'
F' D' L' B' F2
F' D' L' B' F2
F D' F2 L' B'
D' B F' L2 F' L B'
L' B F' L' B2 D' F2
D2 B F' D L' F2 B'
D2 B F' D L' B' F2
D' B F' D L' F' B'
D' B F' D L' B' F'
D' B F' D' L' F' B'
D' B F' D' L' B' F'
D' B F' D2 L' F' B'
D' B F' D2 L' B' F'
D' B F2 L' D2 B' L
D B F' L' B' D2 F2
D' B F2 D2 L' B' L
F' B U' R2 U L' B'
L' B' L D' F' L' F'
L' B' L F D' F2 L'
L' B' L F' L' D' F2
L' B' L F' D' L' F2
L' B' L' D' F' L' F'
D' B' L' F' B' L' F'
L' B' L' F D' F2 L'
D' B' L' F2 D2 B' L
L' B' L' F' L' D' F2
L' B' L' F' D' L' F2
D' B' L' B' F' L' F'
F' B D L' D2 F2 B'
F' B D L' D2 B' F2
L' B' L2 D' F' L' F'
L' B' L2 F D' F2 L'
L' B' L2 F' L' D' F2
L' B' L2 F' D' L' F2
B' F D' L' F2 B' L'
B' F D' L' B' F2 L'
D B' L' F' B' L' F
F' B D' L' F2 D B'
F' B D' L' F2 D' B'
F' B D' L' F2 D2 B'
F' B D' L' F2 B' D
F' B D' L' F2 B' D'
F' B D' L' F2 B' D2
F' B D' L' B' F2 D
F' B D' L' B' F2 D'
F' B D' L' B' F2 D2
D B' L' B' F' L' F
F' B D' L2 F2 L B'
B2 F D' L' F2 B' L'
B2 F D' L' B' F2 L'
B' F D' F2 L' D B'
B' F D' F2 L' D' B'
B' F D' F2 L' D2 B'
B' F D' F2 L' B' D
B' F D' F2 L' B' D'
B' F D' F2 L' B' D2
B' F D' F2 D L' B'
B' F D' F2 D' L' B'
B' F D' F2 D2 L' B'
B' F D' F2 B L' B'
B' F D' F2 B' L' B'
B' F D' F2 B2 L' B'
B' F D' B F2 L' B'
B' F D' B' F2 L' B'
B' F D' B2 F2 L' B'
F' B D' B L' F2 B'
F' B D' B L' B' F2
F' B D' B' L' F2 B'
F' B D' B' L' B' F2
B2 F D' F2 L' D B'
B2 F D' F2 L' D' B'
B2 F D' F2 L' D2 B'
B2 F D' F2 L' B' D
B2 F D' F2 L' B' D'
B2 F D' F2 L' B' D2
F' B D' B2 L' F2 B'
F' B D' B2 L' B' F2
B2 F D' F2 D L' B'
B2 F D' F2 D' L' B'
B2 F D' F2 D2 L' B'
B2 F D' F2 B L' B'
B2 F D' F2 B' L' B'
B2 F D' F2 B2 L' B'
B2 F D' B F2 L' B'
B2 F D' B' F2 L' B'
B2 F D' B2 F2 L' B'
B F D' L' F2 B' L'
B F D' L' B' F2 L'
F B D' L' F2 B' L'
F B D' L' B' F2 L'
B F D' F2 L' D B'
B F D' F2 L' D' B'
B F D' F2 L' D2 B'
B F D' F2 L' B' D
B F D' F2 L' B' D'
B F D' F2 L' B' D2
B F D' F2 D L' B'
B F D' F2 D' L' B'
B F D' F2 D2 L' B'
B F D' F2 B L' B'
B F D' F2 B' L' B'
B F D' F2 B2 L' B'
B F D' B F2 L' B'
B F D' B' F2 L' B'
B F D' B2 F2 L' B'
U2 B' R' F' U R' U
F B D' F2 L' D B'
F B D' F2 L' D' B'
F B D' F2 L' D2 B'
F B D' F2 L' B' D
F B D' F2 L' B' D'
F B D' F2 L' B' D2
F B D' F2 D L' B'
F B D' F2 D' L' B'
F B D' F2 D2 L' B'
F B D' F2 B L' B'
F B D' F2 B' L' B'
F B D' F2 B2 L' B'
F B D' B F2 L' B'
F B D' B' F2 L' B'
F B D' B2 F2 L' B'
B' F' L' U' R2 U B'
B' F' L' D' F2 D B'
B' F' L' D' F2 D' B'
B' F' L' D' F2 D2 B'
B' F' L' D' F2 B' D
B' F' L' D' F2 B' D'
B' F' L' D' F2 B' D2
B' F' L' D' B' F2 D
B' F' L' D' B' F2 D'
B' F' L' D' B' F2 D2
B' F' L' D2 B' D F2
B' F' L' F D' F2 B'
B' F' L' F D' B' F2
B' F' L' F B' D' F2
U B' R' U2 R' F' U
F' B' L' U' R2 U B'
B' F' L' F' D' F2 B'
B' F' L' F' D' B' F2
B' F' L' F' B' D' F2
B' F' L' F2 D' F2 B'
B' F' L' F2 D' B' F2
B' F' L' F2 B' D' F2
B2 F' L' U' R2 U B'
B' F' L' B' U' R2 U
B' F' L' B' D' F2 D
B' F' L' B' D' F2 D'
B' F' L' B' D' F2 D2
F' B' L' D' F2 D B'
F' B' L' D' F2 D' B'
F' B' L' D' F2 D2 B'
F' B' L' D' F2 B' D
F' B' L' D' F2 B' D'
F' B' L' D' F2 B' D2
B' F' L' B' F D' F2
F' B' L' D' B' F2 D
F' B' L' D' B' F2 D'
F' B' L' D' B' F2 D2
B' F' L' B' F' D' F2
B' F' L' B' F2 D' F2
B' F' L' B2 D' F2 B
B' F' L' B2 D' B F2
F' B' L' D2 B' D F2
F' B' L' F D' F2 B'
F' B' L' F D' B' F2
F' B' L' F B' D' F2
F' B' L' F' D' F2 B'
F' B' L' F' D' B' F2
B2 F' L' D' F2 D B'
B2 F' L' D' F2 D' B'
B2 F' L' D' F2 D2 B'
B2 F' L' D' F2 B' D
B2 F' L' D' F2 B' D'
B2 F' L' D' F2 B' D2
B2 F' L' D' B' F2 D
B2 F' L' D' B' F2 D'
B2 F' L' D' B' F2 D2
F' B' L' F' B' D' F2
F' B' L' F2 D' F2 B'
F' B' L' F2 D' B' F2
B2 F' L' D2 B' D F2
F' B' L' F2 B' D' F2
B2 F' L' F D' F2 B'
B2 F' L' F D' B' F2
B2 F' L' F B' D' F2
F' B' L' B' U' R2 U
B2 F' L' F' D' F2 B'
B2 F' L' F' D' B' F2
F' B' L' B' D' F2 D
F' B' L' B' D' F2 D'
F' B' L' B' D' F2 D2
F' B' L' B' F D' F2
B2 F' L' F' B' D' F2
F' B' L' B' F' D' F2
F' B' L' B' F2 D' F2
B2 F' L' F2 D' F2 B'
B2 F' L' F2 D' B' F2
F' B' L' B2 D' F2 B
F' B' L' B2 D' B F2
B2 F' L' F2 B' D' F2
B2 F' L' B' U' R2 U
B2 F' L' B' D' F2 D
B2 F' L' B' D' F2 D'
B2 F' L' B' D' F2 D2
B2 F' L' B' F D' F2
B2 F' L' B' F' D' F2
B2 F' L' B' F2 D' F2
B2 F' L' B2 D' F2 B
B2 F' L' B2 D' B F2
L' B' U' R' F' R' U
B F' L' U' R2 U B'
B F' L' D' F2 D B'
B F' L' D' F2 D' B'
B F' L' D' F2 D2 B'
B F' L' D' F2 B' D
B F' L' D' F2 B' D'
B F' L' D' F2 B' D2
B F' L' D' B' F2 D
B F' L' D' B' F2 D'
B F' L' D' B' F2 D2
B F' L' D2 B' D F2
B F' L' F D' F2 B'
B F' L' F D' B' F2
B F' L' F B' D' F2
B F' L' F' D' F2 B'
B F' L' F' D' B' F2
B F' L' F' B' D' F2
B F' L' F2 D' F2 B'
B F' L' F2 D' B' F2
B F' L' F2 B' D' F2
B F' L' B' U' R2 U
B F' L' B' D' F2 D
B F' L' B' D' F2 D'
B F' L' B' D' F2 D2
B F' L' B' F D' F2
B F' L' B' F' D' F2
B F' L' B' F2 D' F2
B F' L' B2 D' F2 B
B F' L' B2 D' B F2
F B' L' D' F2 B' L'
F B' L' D' B' F2 L'
F B' L' B' D' F2 L'
D2 B' D F' L' F' B'
D2 B' D F' L' B' F'
L' B' D F D2 F2 L'
L' B' D F' L' D2 F2
L' B' D F' D2 L' F2
R' B' D' R F' L' B'
U2 B' D R' F' B2 U2
U2 B' D R' B2 F' U2
L' B' D' L F' L' F'
L' B' D' L' F' L' F'
L' B' D' L2 F' L' F'
D B' U2 B' R' F' U2
L' B' D' F' L F' L2
L' B' D' F' L' D F'
L' B' D' F' L' D' F'
L' B' D' F' L' D2 F'
L' B' D' F' L' F' D
L' B' D' F' L' F' D'
L' B' D' F' L' F' D2
L' B' D' F' L2 F' L
L' B' D' F' D L' F'
L' B' D' F' D' L' F'
L' B' D' F' D2 L' F'
U2 B' D' R' F' U2 F'
L' B' D2 F D F2 L'
L' B' D2 F' D L' F2
B' F' U' R2 U L' B'
L' B' F L D' F2 L'
L' B' F L' D' F2 L'
L' B' F L2 D' F2 L'
D2 B' F D F2 L' B'
F' B' U' R2 U L' B'
B2 F' U' R2 U L' B'
L' B' F D' L F2 L'
L' B' F D' L' F2 L'
L' B' F D' L2 F2 L'
L' B' F D' F2 L' D
L' B' F D' F2 L' D'
L' B' F D' F2 L' D2
L' B' F D' F2 D L'
L' B' F D' F2 D' L'
L' B' F D' F2 D2 L'
D' B' F' L' D F' B'
D' B' F' L' D B' F'
D' B' F' L' D' F' B'
D' B' F' L' D' B' F'
D' B' F' L' D2 F' B'
D' B' F' L' D2 B' F'
D' B' F' L' F' D B'
D' B' F' L' F' D' B'
D' B' F' L' F' D2 B'
D' B' F' L' F' B' D
D' B' F' L' F' B' D'
D' B' F' L' F' B' D2
D' B' F' L' B' D F'
D' B' F' L' B' D' F'
D' B' F' L' B' D2 F'
D' B' F' L' B' F' D
D' B' F' L' B' F' D'
D' B' F' L' B' F' D2
D' B' F' L2 F' L B'
L' B' F' L' U' R2 U
L' B' F' L' D' F2 D
L' B' F' L' D' F2 D'
L' B' F' L' D' F2 D2
L' B' F' L' F D' F2
L' B' F' L' F' D' F2
L' B' F' L' F2 D' F2
L' B' F' L2 D' L F2
L' B' F' L2 D' F2 L
D2 B' F' D L' F2 B'
D2 B' F' D L' B' F2
L' B' F' U' R2 U L'
D' B' F' D L' F' B'
D' B' F' D L' B' F'
D' B' F' D' L' F' B'
D' B' F' D' L' B' F'
L' B' F' D L' D2 F2
D' B' F' D2 L' F' B'
D' B' F' D2 L' B' F'
L' B' F' D' L F2 L2
L' B' F' D' L' F2 D
L' B' F' D' L' F2 D'
L' B' F' D' L' F2 D2
L' B' F' D' L2 F2 L
B F' U' R2 U L' B'
D' B' F2 L' D2 B' L
B' F' D L' D2 F2 B'
B' F' D L' D2 B' F2
F' B' D L' D2 F2 B'
F' B' D L' D2 B' F2
D' B' F2 D2 L' B' L
D B' F' L2 F L B'
B2 F' D L' D2 F2 B'
B2 F' D L' D2 B' F2
B' F' D' L' F2 D B'
B' F' D' L' F2 D' B'
B' F' D' L' F2 D2 B'
B' F' D' L' F2 B' D
B' F' D' L' F2 B' D'
B' F' D' L' F2 B' D2
B' F' D' L' B' F2 D
B' F' D' L' B' F2 D'
B' F' D' L' B' F2 D2
B' F' D' L2 F2 L B'
F' B' D' L' F2 D B'
F' B' D' L' F2 D' B'
F' B' D' L' F2 D2 B'
F' B' D' L' F2 B' D
F' B' D' L' F2 B' D'
F' B' D' L' F2 B' D2
F' B' D' L' B' F2 D
F' B' D' L' B' F2 D'
F' B' D' L' B' F2 D2
F' B' D' L2 F2 L B'
B F' D L' D2 F2 B'
B F' D L' D2 B' F2
B2 F' D' L' F2 D B'
B2 F' D' L' F2 D' B'
B2 F' D' L' F2 D2 B'
B2 F' D' L' F2 B' D
B2 F' D' L' F2 B' D'
B2 F' D' L' F2 B' D2
B' F' D' B L' F2 B'
B' F' D' B L' B' F2
B2 F' D' L' B' F2 D
B2 F' D' L' B' F2 D'
B2 F' D' L' B' F2 D2
B2 F' D' L2 F2 L B'
B' F' D' B' L' F2 B'
B' F' D' B' L' B' F2
B' F' D' B2 L' F2 B'
B' F' D' B2 L' B' F2
F' B' D' B L' F2 B'
F' B' D' B L' B' F2
F' B' D' B' L' F2 B'
F' B' D' B' L' B' F2
F' B' D' B2 L' F2 B'
F' B' D' B2 L' B' F2
B2 F' D' B L' F2 B'
B2 F' D' B L' B' F2
D' B2 L' F' B' L' F'
B2 F' D' B' L' F2 B'
B2 F' D' B' L' B' F2
D' B2 L' F2 D2 B' L
B2 F' D' B2 L' F2 B'
B2 F' D' B2 L' B' F2
D' B2 L' B' F' L' F'
B F' D' L' F2 D B'
B F' D' L' F2 D' B'
B F' D' L' F2 D2 B'
B F' D' L' F2 B' D
B F' D' L' F2 B' D'
B F' D' L' F2 B' D2
B F' D' L' B' F2 D
B F' D' L' B' F2 D'
B F' D' L' B' F2 D2
D B2 L F R U2 R'
B F' D' L2 F2 L B'
F B' D' L' F2 B' L'
F B' D' L' B' F2 L'
B F' D' B L' F2 B'
B F' D' B L' B' F2
B F' D' B' L' F2 B'
B F' D' B' L' B' F2
B F' D' B2 L' F2 B'
B F' D' B2 L' B' F2
F B' D' F2 L' D B'
F B' D' F2 L' D' B'
F B' D' F2 L' D2 B'
F B' D' F2 L' B' D
F B' D' F2 L' B' D'
F B' D' F2 L' B' D2
F B' D' F2 D L' B'
F B' D' F2 D' L' B'
F B' D' F2 D2 L' B'
F B' D' F2 B L' B'
F B' D' F2 B' L' B'
F B' D' F2 B2 L' B'
F B' D' B F2 L' B'
F B' D' B' F2 L' B'
F B' D' B2 F2 L' B'
F' B2 L' U' R2 U B'
F' B2 L' D' F2 D B'
F' B2 L' D' F2 D' B'
F' B2 L' D' F2 D2 B'
F' B2 L' D' F2 B' D
F' B2 L' D' F2 B' D'
F' B2 L' D' F2 B' D2
F' B2 L' D' B' F2 D
F' B2 L' D' B' F2 D'
F' B2 L' D' B' F2 D2
F' B2 L' D2 B' D F2
F' B2 L' F D' F2 B'
F' B2 L' F D' B' F2
F' B2 L' F B' D' F2
F' B2 L' F' D' F2 B'
F' B2 L' F' D' B' F2
F' B2 L' F' B' D' F2
F' B2 L' F2 D' F2 B'
F' B2 L' F2 D' B' F2
F' B2 L' F2 B' D' F2
F' B2 L' B' U' R2 U
F' B2 L' B' D' F2 D
F' B2 L' B' D' F2 D'
F' B2 L' B' D' F2 D2
F' B2 L' B' F D' F2
F' B2 L' B' F' D' F2
F' B2 L' B' F2 D' F2
F' B2 L' B2 D' F2 B
F' B2 L' B2 D' B F2
D B2 R' U2 R B L
F B2 L' D' F2 B' L'
F B2 L' D' B' F2 L'
F B2 L' B' D' F2 L'
D2 B2 D F' L' F' B'
D2 B2 D F' L' B' F'
F' B2 U' R2 U L' B'
L' B2 D' F' L' F' B
L' B2 D' F' L' B F'
L' B2 D' F' B L' F'
L' B2 D' B F' L' F'
F' B2 D L' D2 F2 B'
F' B2 D L' D2 B' F2
D2 B2 F D F2 L' B'
F' B2 D' L' F2 D B'
F' B2 D' L' F2 D' B'
F' B2 D' L' F2 D2 B'
F' B2 D' L' F2 B' D
F' B2 D' L' F2 B' D'
F' B2 D' L' F2 B' D2
F' B2 D' L' B' F2 D
F' B2 D' L' B' F2 D'
F' B2 D' L' B' F2 D2
L' B2 F D' F2 L' B
L' B2 F D' F2 B L'
L' B2 F D' B F2 L'
F' B2 D' L2 F2 L B'
D' B2 F' L' D F' B'
D' B2 F' L' D B' F'
D' B2 F' L' D' F' B'
D' B2 F' L' D' B' F'
D' B2 F' L' D2 F' B'
D' B2 F' L' D2 B' F'
D' B2 F' L' F' D B'
D' B2 F' L' F' D' B'
D' B2 F' L' F' D2 B'
D' B2 F' L' F' B' D
D' B2 F' L' F' B' D'
D' B2 F' L' F' B' D2
D' B2 F' L' B' D F'
D' B2 F' L' B' D' F'
D' B2 F' L' B' D2 F'
D' B2 F' L' B' F' D
D' B2 F' L' B' F' D'
D' B2 F' L' B' F' D2
D' B2 F' L2 F' L B'
L' B2 F' L' D' F2 B
L' B2 F' L' D' B F2
L' B2 F' L' B D' F2
D2 B2 F' D L' F2 B'
D2 B2 F' D L' B' F2
D' B2 F' D L' F' B'
D' B2 F' D L' B' F'
F' B2 D' B L' F2 B'
F' B2 D' B L' B' F2
D' B2 F' D' L' F' B'
D' B2 F' D' L' B' F'
F' B2 D' B' L' F2 B'
F' B2 D' B' L' B' F2
D' B2 F' D2 L' F' B'
D' B2 F' D2 L' B' F'
L' B2 F' D' L' F2 B
L' B2 F' D' L' B F2
F' B2 D' B2 L' F2 B'
F' B2 D' B2 L' B' F2
L' B2 F' D' B L' F2
D' B2 F2 L' D2 B' L
D' B2 F2 D2 L' B' L
F B2 D' L' F2 B' L'
F B2 D' L' B' F2 L'
F B2 D' F2 L' D B'
F B2 D' F2 L' D' B'
F B2 D' F2 L' D2 B'
F B2 D' F2 L' B' D
F B2 D' F2 L' B' D'
F B2 D' F2 L' B' D2
F B2 D' F2 D L' B'
F B2 D' F2 D' L' B'
F B2 D' F2 D2 L' B'
F B2 D' F2 B L' B'
F B2 D' F2 B' L' B'
F B2 D' F2 B2 L' B'
F B2 D' B F2 L' B'
F B2 D' B' F2 L' B'
F B2 D' B2 F2 L' B'
