R2 F2 L' U
R2 L F2 L' U
R2 L' F2 L' U
L' R2 F2 L' U
L R2 F2 L' U
R2 L2 F2 L' U
L2 R2 F2 L' U
F2 R2 U2 R U'
R2 F2 L' U D
R2 F2 L' U D'
R2 F2 L' U D2
R2 F2 L' D U
R2 F2 L' D' U
R2 F2 L' D2 U
R2 F2 D L' U
R2 F2 D' L' U
R2 F2 D2 L' U
R2 F R2 F R2 L' U
B2 U2 B2 R2 F2 L' U
L F R2 F2 L' F' U
D2 F U2 L2 R' B2 U'
D' F U2 R' U' F L2
D2 F U2 R' L2 B2 U'
D2 F U2 R' B2 L2 U'
D2 F D2 R2 F2 L' U
F2 D R D2 L2 U F2
R2 F D' F L U B'
D F D' R2 F2 L' U
F2 D R' U' B2 U2 B2
F2 D U' B2 U L U
F2 D U2 R' U B2 U2
F2 D U2 R' U' D2 F2
F2 D U2 R' D L2 U'
F2 D U2 R' D2 U' F2
R2 F' L D F' L' U
R2 F' L D' F' L' U
R2 F' L D2 F' L' U
R2 F' L F' L' U D
R2 F' L F' L' U D'
R2 F' L F' L' U D2
R2 F' L F' L' D U
R2 F' L F' L' D' U
R2 F' L F' L' D2 U
R2 F' L F' D L' U
R2 F' L F' D' L' U
R2 F' L F' D2 L' U
R2 F' L' D F' L' U
R2 F' L' D' F' L' U
R2 F' L' D2 F' L' U
R2 F' L' F' L' U D
R2 F' L' F' L' U D'
R2 F' L' F' L' U D2
R2 F' L' F' L' D U
R2 F' L' F' L' D' U
R2 F' L' F' L' D2 U
R2 F' L' F' D L' U
R2 F' L' F' D' L' U
R2 F' L' F' D2 L' U
R2 F' L2 D F' L' U
R2 F' L2 D' F' L' U
R2 F' L2 D2 F' L' U
R2 F' L2 F' L' U D
R2 F' L2 F' L' U D'
R2 F' L2 F' L' U D2
R2 F' L2 F' L' D U
R2 F' L2 F' L' D' U
R2 F' L2 F' L' D2 U
R2 F' L2 F' D L' U
R2 F' L2 F' D' L' U
R2 F' L2 F' D2 L' U
L' F' R2 U2 B R U'
L2 F' R2 U2 B R U'
L F' R2 U2 B R U'
B2 D' L U L R2 F2
B2 D' L U L F2 R2
D2 F' U2 L2 R' B2 U'
B2 D' L U R2 L F2
B2 D' L U R2 F2 L
B2 D' L U F2 L R2
B2 D' L U F2 R2 L
D2 F' U2 R' L2 B2 U'
D2 F' U2 R' B2 L2 U'
F2 D' L U2 R' U' F2
F2 D' L' U2 R' U' F2
R2 F' D L F' L' U
R2 F' D L' F' L' U
R2 F' D L2 F' L' U
F2 D' L2 U2 R' U' F2
R F' U2 R2 B L U'
R2 F' D F' L' U D
R2 F' D F' L' U D'
R2 F' D F' L' U D2
R2 F' D F' L' D U
R2 F' D F' L' D' U
R2 F' D F' L' D2 U
R2 F' D F' D L' U
R2 F' D F' D' L' U
R2 F' D F' D2 L' U
R2 F' D' L F' L' U
R2 F' D' L' F' L' U
F2 D' R U F2 D B2
R2 F' D' L2 F' L' U
D2 F' D2 R2 F2 L' U
F2 D' R U2 R2 U' F2
F2 D' R D R2 U B2
D F' D' R2 F2 L' U
R2 F' D' F' L' U D
R2 F' D' F' L' U D'
R2 F' D' F' L' U D2
R2 F' D' F' L' D U
R2 F' D' F' L' D' U
R2 F' D' F' L' D2 U
R2 F' D' F' D L' U
R2 F' D' F' D' L' U
R2 F' D' F' D2 L' U
R2 F' D2 L F' L' U
R2 F' D2 L' F' L' U
F2 D' R' U F2 D2 B2
R2 F' D2 L2 F' L' U
R2 F' D2 F' L' U D
R2 F' D2 F' L' U D'
R2 F' D2 F' L' U D2
R2 F' D2 F' L' D U
R2 F' D2 F' L' D' U
R2 F' D2 F' L' D2 U
R2 F' D2 F' D L' U
R2 F' D2 F' D' L' U
R2 F' D2 F' D2 L' U
F2 D' R2 U2 R U' F2
R' F2 L R' U2 R U'
F2 D' U F2 U R' U'
L' F2 L R2 U2 R U'
L2 F2 L R2 U2 R U'
R' F2 L' R' U2 R U'
F2 D' U2 L R' U' F2
L' F2 L' R2 U2 R U'
F2 D' U2 L' R' U' F2
F2 D' U2 L2 R' U' F2
R2 F2 L U D' B2 D
R2 F2 L U D' B2 D'
R2 F2 L U D' B2 D2
R2 F2 L U B D' B2
R2 F2 L U B' D' B2
R2 F2 L U B2 D' B2
R2 F2 L U' D F2 U2
F2 D' U2 R' L U' F2
F2 D' U2 R' L' U' F2
F2 D' U2 R' L2 U' F2
R2 F2 L U2 D2 R2 U'
F2 D' U2 R' U' F2 D
F2 D' U2 R' U' F2 D'
F2 D' U2 R' U' F2 D2
F2 D' U2 R' D' L2 U'
R2 F2 L D U' F2 U2
R2 F2 L D' L U B2
R2 F2 L D' L' U B2
R2 F2 L D' L2 U B2
R2 F2 L D' U B2 D
R2 F2 L D' U B2 D'
R2 F2 L D' U B2 D2
R2 F2 L D2 U2 R2 U'
R2 F2 L F L2 F' U
L2 F2 L' R2 U2 R U'
R2 F2 L F2 L2 F2 U
R' F2 L2 R' U2 R U'
R2 F2 L B' L2 B U
L F2 L R2 U2 R U'
R2 F2 L B2 L2 B2 U
D' F2 L2 U R' U' R
R2 F2 L' R D R' U
R2 F2 L' R D' R' U
R2 F2 L' R D2 R' U
R2 F2 L' R' D R U
R2 F2 L' R' D' R U
L' F2 L2 R2 U2 R U'
R2 F2 L' R' D2 R U
R2 F2 L' R2 U D' F2
R2 F2 L' R2 D' U F2
R2 F2 L' U L D L'
R2 F2 L' U L D' L'
R2 F2 L' U L D2 L'
R2 F2 L' U L' D L
R2 F2 L' U L' D' L
R2 F2 L' U L' D2 L
R2 F2 L' U R D R'
R2 F2 L' U R D' R'
R2 F2 L' U R D2 R'
R2 F2 L' U R' D R
R2 F2 L' U R' D' R
R2 F2 L' U R' D2 R
R2 F2 L' U F D F'
R2 F2 L' U F D' F'
R2 F2 L' U F D2 F'
R2 F2 L' U F' D F
R2 F2 L' U F' D' F
R2 F2 L' U F' D2 F
R2 F2 L' U B D B'
R2 F2 L' U B D' B'
R2 F2 L' U B D2 B'
R2 F2 L' U B' D B
R2 F2 L' U B' D' B
R2 F2 L' U B' D2 B
R F2 L U D F2 B2
R F2 L U D B2 F2
R F2 L U2 L2 R2 U'
R F2 L U2 R2 L2 U'
R F2 L D U F2 B2
R F2 L D U B2 F2
R F2 L D2 L2 R2 U
R2 F2 L' F D F' U
R2 F2 L' F D' F' U
R2 F2 L' F D2 F' U
R F2 L D2 R2 L2 U
R2 F2 L' F' D F U
R2 F2 L' F' D' F U
R2 F2 L' F' D2 F U
L2 F2 L2 R2 U2 R U'
R2 F2 L' F2 U D' L2
R2 F2 L' F2 D' U L2
R2 F2 L' B D B' U
R2 F2 L' B D' B' U
R2 F2 L' B D2 B' U
R2 F2 L' B' D B U
R2 F2 L' B' D' B U
R2 F2 L' B' D2 B U
L F2 L' R2 U2 R U'
R2 F2 L' B2 U D' R2
R2 F2 L' B2 D' U R2
L' F2 R D R U B2
R2 F2 L2 D L U D
R2 F2 L2 D L U D'
R2 F2 L2 D L U D2
R2 F2 L2 D L D U
R2 F2 L2 D L D' U
R2 F2 L2 D L D2 U
R2 F2 L2 D' L U D
R2 F2 L2 D' L U D'
R2 F2 L2 D' L U D2
R2 F2 L2 D' L D U
R2 F2 L2 D' L D' U
R2 F2 L2 D' L D2 U
L' F2 R D2 L2 R U
L' F2 R D2 R L2 U
R2 F2 L2 D2 L U D
R2 F2 L2 D2 L U D'
R2 F2 L2 D2 L U D2
R2 F2 L2 D2 L D U
R2 F2 L2 D2 L D' U
R2 F2 L2 D2 L D2 U
R2 F2 L2 F L F' U
F D' F U2 R' U' F
R' F2 R' L U2 R U'
R2 F2 L2 F2 L F2 U
R' F2 R' L' U2 R U'
R' F2 R' L2 U2 R U'
L F2 L2 R2 U2 R U'
L2 F2 R D R U B2
R' F2 R' U2 R U' D
R' F2 R' U2 R U' D'
R' F2 R' U2 R U' D2
R' F2 R' U2 R D U'
R' F2 R' U2 R D' U'
R' F2 R' U2 R D2 U'
R' F2 R' U2 D R U'
R' F2 R' U2 D' R U'
R' F2 R' U2 D2 R U'
R2 F2 R L' D R' U
R2 F2 R L' D' R' U
R2 F2 R L' D2 R' U
L2 F2 R D2 L2 R U
L2 F2 R D2 R L2 U
R' F2 R' D U2 R U'
R' F2 R' D' U2 R U'
R' F2 R' D2 U2 R U'
R2 F2 R D L' R' U
R2 F2 R D R' L' U
R F2 L2 U2 L R2 U'
R' F2 R' F2 L' F2 U
R F2 L2 U2 R2 L U'
R2 F2 R D' L' R' U
R2 F2 R D' R' L' U
R2 F2 R D2 L' R' U
R2 F2 R D2 R' L' U
U' F2 R2 U2 R U' R'
L' F2 R2 L U2 R U'
L' F2 R2 L' U2 R U'
L' F2 R2 L2 U2 R U'
R2 F2 R' L' D R U
R2 F2 R' L' D' R U
R2 F2 R' L' D2 R U
R' F2 R2 D R U B2
L F2 R D R U B2
R' F2 R2 D2 L2 R U
R' F2 R2 D2 R L2 U
L' F2 R2 U2 R U' D
L' F2 R2 U2 R U' D'
L' F2 R2 U2 R U' D2
L' F2 R2 U2 R D U'
L' F2 R2 U2 R D' U'
L' F2 R2 U2 R D2 U'
L' F2 R2 U2 D R U'
L' F2 R2 U2 D' R U'
L' F2 R2 U2 D2 R U'
L F2 R D2 L2 R U
L F2 R D2 R L2 U
L' F2 R2 D U2 R U'
R2 F2 R' D L' R U
R2 F2 R' D R L' U
L' F2 R2 D' U2 R U'
R F2 R U2 L' R U'
R2 F2 R' D' L' R U
R F2 R U2 R L' U'
R2 F2 R' D' R L' U
L' F2 R2 D2 U2 R U'
R2 F2 R' D2 L' R U
R2 F2 R' D2 R L' U
L2 F2 R2 L U2 R U'
L2 F2 R2 L' U2 R U'
L' F2 R2 F2 L' F2 U
L2 F2 R2 L2 U2 R U'
U2 F2 R2 U2 R F2 U'
L2 F2 R2 U2 R U' D
L2 F2 R2 U2 R U' D'
L2 F2 R2 U2 R U' D2
L2 F2 R2 U2 R D U'
L2 F2 R2 U2 R D' U'
L2 F2 R2 U2 R D2 U'
L2 F2 R2 U2 D R U'
L2 F2 R2 U2 D' R U'
L2 F2 R2 U2 D2 R U'
L2 F2 R2 D U2 R U'
L2 F2 R2 D' U2 R U'
R2 F2 R2 L' U D' F2
R2 F2 R2 L' D' U F2
D' F2 U R' U' L2 R
D' F2 U R' U' R L2
L2 F2 R2 D2 U2 R U'
L2 F2 R2 F2 L' F2 U
R2 F2 R2 D' L' U F2
R F2 R' U2 L' R' U'
R F2 R' U2 R' L' U'
L F2 R2 L U2 R U'
L F2 R2 L' U2 R U'
F2 D' B2 L B2 U F2
L F2 R2 L2 U2 R U'
R2 F2 U L D' L' B2
R2 F2 U L D' B2 L'
U F2 R2 U2 R U' R
L F2 R2 U2 R U' D
L F2 R2 U2 R U' D'
L F2 R2 U2 R U' D2
L F2 R2 U2 R D U'
L F2 R2 U2 R D' U'
L F2 R2 U2 R D2 U'
L F2 R2 U2 D R U'
L F2 R2 U2 D' R U'
L F2 R2 U2 D2 R U'
L F2 R2 D U2 R U'
L F2 R2 D' U2 R U'
L F2 R2 D2 U2 R U'
L F2 R2 F2 L' F2 U
R2 F2 U B U' L' U
R2 F2 U B' U' L' U
D2 F2 U2 L2 R' B2 U'
R2 F2 U B2 U' L' U
D2 F2 U2 R' L2 B2 U'
D2 F2 U2 R' B2 L2 U'
F2 D2 L U2 L R' U'
F2 D2 L U2 R' L U'
L' F2 U2 R' U2 R' U
L' F2 U2 D' R' U' F2
L' F2 U2 D2 L2 R' U'
L' F2 U2 D2 R' L2 U'
R2 F2 U' F2 U' R U'
L2 F2 U2 R' U2 R' U
R' F2 D R' U2 R U'
L2 F2 U2 D' R' U' F2
L2 F2 U2 D2 L2 R' U'
L2 F2 U2 D2 R' L2 U'
F2 D2 L' U2 L' R' U'
F2 D2 L' U2 R' L' U'
R2 F2 U2 R U2 L' U
R2 F2 U2 R' U2 L' U
R2 F2 U2 R2 U2 L' U
R2 F2 U2 F2 R F2 U'
R' F2 D' R' U2 R U'
R2 F2 D L U D' B2
R2 F2 D L D' U B2
L F2 U2 R' U2 R' U
R2 F2 D L2 D L U
R2 F2 D L2 D' L U
R2 F2 D L2 D2 L U
R F2 U2 L' R2 U' D
R F2 U2 L' R2 U' D'
R F2 U2 L' R2 U' D2
R F2 U2 L' R2 D U'
R F2 U2 L' R2 D' U'
R F2 U2 L' R2 D2 U'
R F2 U2 L' U' D B2
R F2 U2 L' D U' B2
L F2 U2 D' R' U' F2
L F2 U2 D2 L2 R' U'
L F2 U2 D2 R' L2 U'
B2 D2 L2 F2 R B2 U'
L' F2 D' U2 R' U' F2
B2 D2 L2 F2 B2 R U'
R F2 U2 R2 L' U' D
R F2 U2 R2 L' U' D'
R F2 U2 R2 L' U' D2
R F2 U2 R2 L' D U'
R F2 U2 R2 L' D' U'
R F2 U2 R2 L' D2 U'
R F2 U2 R2 D L' U'
R F2 U2 R2 D' L' U'
R F2 U2 R2 D2 L' U'
R F2 U2 D L' U' B2
B2 D2 L2 B2 F2 R U'
R2 F2 D B' L' B U
R2 F2 D B2 L' B2 U
R' F2 D2 R' U2 R U'
R2 F2 D' L U D' B2
R2 F2 D' L D' U B2
F2 D2 R U D F2 B2
F2 D2 R U D B2 F2
L2 F2 D' U2 R' U' F2
D2 F2 D2 R2 F2 L' U
R2 F2 D' L2 D L U
R2 F2 D' L2 D' L U
R2 F2 D' L2 D2 L U
F2 D2 R U2 L2 R2 U'
F2 D2 R U2 R2 L2 U'
F2 D2 R D U F2 B2
F2 D2 R D U B2 F2
F2 D2 R D2 L2 R2 U
F2 D2 R D2 R2 L2 U
L' F2 D2 U2 L2 R' U'
L' F2 D2 U2 R' L2 U'
D F2 D' R2 F2 L' U
R F2 D U2 L' U' B2
R2 F2 D' B' L' B U
R2 F2 D' B2 L' B2 U
R2 F2 D2 L U D' B2
R2 F2 D2 L D' U B2
L2 F2 D2 U2 L2 R' U'
L2 F2 D2 U2 R' L2 U'
R2 F2 D2 L2 D L U
R2 F2 D2 L2 D' L U
R2 F2 D2 L2 D2 L U
L F2 D' U2 R' U' F2
R2 F2 D2 B' L' B U
R2 F2 D2 B2 L' B2 U
F2 D2 R2 U2 L2 R U'
F2 D2 R2 U2 R L2 U'
L F2 D2 U2 L2 R' U'
L F2 D2 U2 R' L2 U'
R F2 D2 L2 U2 L U'
L' F2 B2 L R2 B2 U
L' F2 B2 L B2 R2 U
R2 F2 B D B' L' U
R2 F2 B D' B' L' U
R2 F2 B D2 B' L' U
R2 F2 B' L B L2 U
R2 F2 B' L' D B U
L' F2 B2 R2 L B2 U
R2 F2 B' L' D' B U
R2 F2 B' L' D2 B U
R2 F2 B' L' B U D
R2 F2 B' L' B U D'
R2 F2 B' L' B U D2
R2 F2 B' L' B D U
R2 F2 B' L' B D' U
R2 F2 B' L' B D2 U
L2 F2 B2 L R2 B2 U
L2 F2 B2 L B2 R2 U
R2 F2 B' D L' B U
R2 F2 B' D B L' U
R2 F2 B' D' L' B U
R2 F2 B' D' B L' U
L2 F2 B2 R2 L B2 U
R2 F2 B' D2 L' B U
R2 F2 B' D2 B L' U
R2 F2 B2 L B2 L2 U
R2 F2 B2 L' U D' R2
R2 F2 B2 L' D' U R2
R2 F2 B2 L' B2 U D
R2 F2 B2 L' B2 U D'
R2 F2 B2 L' B2 U D2
R2 F2 B2 L' B2 D U
R2 F2 B2 L' B2 D' U
R2 F2 B2 L' B2 D2 U
R2 F2 B2 D' L' U R2
L F2 B2 L R2 B2 U
U F2 B2 L R2 U R2
L F2 B2 L B2 R2 U
F2 D2 U2 L2 R' U' D
F2 D2 U2 L2 R' U' D'
F2 D2 U2 L2 R' U' D2
F2 D2 U2 L2 R' D U'
F2 D2 U2 L2 R' D' U'
F2 D2 U2 L2 R' D2 U'
F2 D2 U2 L2 D R' U'
F2 D2 U2 L2 D' R' U'
F2 D2 U2 L2 D2 R' U'
F2 D2 U2 R' L2 U' D
F2 D2 U2 R' L2 U' D'
F2 D2 U2 R' L2 U' D2
F2 D2 U2 R' L2 D U'
F2 D2 U2 R' L2 D' U'
F2 D2 U2 R' L2 D2 U'
F2 D2 U2 R' U' D F2
F2 D2 U2 R' D U' F2
L F2 B2 R2 L B2 U
U F2 B2 R2 L U R2
R2 B L F2 L' B' U
F D2 U2 L2 R' B' U'
F D2 U2 R' L2 B' U'
F' D2 F' U2 L2 R' U'
F' D2 F' U2 R' L2 U'
F D2 F U2 L2 R' U'
F D2 F U2 R' L2 U'
B2 D2 F2 B2 L2 R' U'
B2 D2 F2 B2 R' L2 U'
R B R F2 B' L' U
R B R B' F2 L' U
B2 D2 B2 L2 R' F2 U'
B2 D2 B2 L2 F2 R' U'
F2 D2 B2 L B2 R' U
B2 D2 B2 R' L2 F2 U'
B2 D2 B2 R' F2 L2 U'
B2 D2 B2 F2 L2 R' U'
B2 D2 B2 F2 R' L2 U'
B2 F R2 F L B2 U
F2 B R2 B L B2 U
F2 B R2 B' U2 R' U'
R2 B F2 D B' L' U
R2 B F2 D' B' L' U
R2 B F2 D2 B' L' U
R2 B' L F2 L' B U
R2 B' L F2 B L' U
R2 B' L B F2 L' U
R2 B' L' F2 L' B U
R2 B' L' F2 B L' U
R2 B' L' B F2 L' U
R2 B' L2 F2 L' B U
R2 B' L2 F2 B L' U
R2 B' L2 B F2 L' U
B2 F' L F' R2 B2 U
B2 F' L F' B2 R2 U
B2 F' L B2 F' R2 U
R' B' U2 F2 B R' U
R' B' U2 B R' F2 U
R' B' U2 B F2 R' U
U' B2 L R2 F2 U R
R' B2 L U' D' L2 R2
R' B2 L U' D' R2 L2
R' B2 L U2 F2 B2 U
R' B2 L U2 B2 F2 U
L' B2 L R2 F2 B2 U
U' B2 L F2 R2 U R'
L' B2 L R2 B2 F2 U
R' B2 L D' U' L2 R2
R' B2 L D' U' R2 L2
R' B2 L D2 F2 B2 U'
R' B2 L D2 B2 F2 U'
R2 B' F2 L B L2 U
R2 B' F2 L' D B U
R2 B' F2 L' D' B U
R2 B' F2 L' D2 B U
R2 B' F2 L' B U D
R2 B' F2 L' B U D'
R2 B' F2 L' B U D2
R2 B' F2 L' B D U
R2 B' F2 L' B D' U
R2 B' F2 L' B D2 U
L' B2 L F2 R2 B2 U
L' B2 L F2 B2 R2 U
L2 B2 L R2 F2 B2 U
L2 B2 L R2 B2 F2 U
L' B2 L B2 R2 F2 U
L' B2 L B2 F2 R2 U
R2 B' F2 D L' B U
R2 B' F2 D B L' U
R2 B' F2 D' L' B U
R2 B' F2 D' B L' U
R2 B' F2 D2 L' B U
R2 B' F2 D2 B L' U
L2 B2 L F2 R2 B2 U
L2 B2 L F2 B2 R2 U
L2 B2 L B2 R2 F2 U
L2 B2 L B2 F2 R2 U
R2 B2 L F2 L' B2 U
R2 B2 L F2 B2 L' U
D2 B2 L2 U2 L' B2 U
D2 B2 L2 U2 B2 L' U
L B2 L R2 F2 B2 U
L B2 L R2 B2 F2 U
R2 B2 L B2 F2 L' U
U B2 L R2 F2 U R2
D2 B2 L2 D2 F2 R U'
L B2 L F2 R2 B2 U
B2 F2 L R B2 R U
L B2 L F2 B2 R2 U
U B2 L F2 R2 U R2
B2 F2 L R2 U D' R2
B2 F2 L R2 D' U R2
R2 B2 L' F2 L' B2 U
B2 F2 L R2 B2 U D
B2 F2 L R2 B2 U D'
B2 F2 L R2 B2 U D2
B2 F2 L R2 B2 D U
B2 F2 L R2 B2 D' U
B2 F2 L R2 B2 D2 U
F2 B2 L R B2 R U
B2 F2 L U D' R2 F2
B2 F2 L U D' F2 R2
R2 B2 L' F2 B2 L' U
L B2 L B2 R2 F2 U
L B2 L B2 F2 R2 U
F2 B2 L R2 U D' R2
F2 B2 L R2 D' U R2
F2 B2 L R2 B2 U D
F2 B2 L R2 B2 U D'
F2 B2 L R2 B2 U D2
F2 B2 L R2 B2 D U
F2 B2 L R2 B2 D' U
F2 B2 L R2 B2 D2 U
F2 B2 L U D' R2 F2
F2 B2 L U D' F2 R2
R2 B2 L' B2 F2 L' U
F' B2 L F' R2 B2 U
B2 F2 L D' U R2 F2
B2 F2 L D' U F2 R2
F' B2 L F' B2 R2 U
F2 B2 L D' U R2 F2
F2 B2 L D' U F2 R2
U B2 L' D' L2 F2 B2
U B2 L' D' L2 B2 F2
F' B2 L B2 F' R2 U
U B2 L' D' F2 L2 B2
U B2 L' D' F2 B2 L2
U B2 L' D' B2 L2 F2
U B2 L' D' B2 F2 L2
B2 F2 L B' R2 B' U
B2 F2 L B2 R2 U D
B2 F2 L B2 R2 U D'
B2 F2 L B2 R2 U D2
B2 F2 L B2 R2 D U
B2 F2 L B2 R2 D' U
B2 F2 L B2 R2 D2 U
B2 F2 L B2 U D' F2
B2 F2 L B2 D' U F2
F2 B2 L B' R2 B' U
F2 B2 L B2 R2 U D
F2 B2 L B2 R2 U D'
F2 B2 L B2 R2 U D2
F2 B2 L B2 R2 D U
F2 B2 L B2 R2 D' U
F2 B2 L B2 R2 D2 U
F2 B2 L B2 U D' F2
F2 B2 L B2 D' U F2
R2 B2 L2 F2 L' B2 U
B2 F2 L' R2 B2 L2 U
R2 B2 L2 F2 B2 L' U
F2 B2 L' R2 B2 L2 U
R2 B2 L2 B2 F2 L' U
U' B2 R2 L F2 U R
B2 F2 L' B2 L2 R2 U
B2 F2 L' B2 R2 L2 U
F2 B2 L' B2 L2 R2 U
F2 B2 L' B2 R2 L2 U
B2 F2 L2 R2 B2 L' U
L' B2 R2 L F2 B2 U
L' B2 R2 L B2 F2 U
F2 B2 L2 R2 B2 L' U
U' B2 U L R2 F2 U
U' B2 U L F2 R2 U
L2 B2 R2 L F2 B2 U
L2 B2 R2 L B2 F2 U
L' B2 R2 F2 L B2 U
B2 F2 L2 B2 L' R2 U
B2 F2 L2 B2 R2 L' U
U' B2 U R2 L F2 U
U' B2 U R2 F2 L U
B2 F2 R L B2 R U
F2 B2 L2 B2 L' R2 U
F2 B2 L2 B2 R2 L' U
F2 B2 R L B2 R U
U' B2 U F2 L R2 U
U' B2 U F2 R2 L U
L2 B2 R2 F2 L B2 U
R B2 R F2 L' B2 U
R B2 R F2 B2 L' U
D B2 R2 U L B2 U
R B2 R B2 F2 L' U
L B2 R2 L F2 B2 U
L B2 R2 L B2 F2 U
U B2 R2 L F2 U R2
D2 B2 U2 L B2 R' U
B2 F2 R2 L U D' R2
B2 F2 R2 L D' U R2
L B2 R2 F2 L B2 U
B2 F2 R2 L B2 U D
B2 F2 R2 L B2 U D'
B2 F2 R2 L B2 U D2
B2 F2 R2 L B2 D U
B2 F2 R2 L B2 D' U
B2 F2 R2 L B2 D2 U
U B2 R2 F2 L U R2
B2 F2 R2 L' B2 L2 U
F2 B2 R2 L U D' R2
F2 B2 R2 L D' U R2
B2 F2 R2 L2 B2 L' U
F2 B2 R2 L B2 U D
F2 B2 R2 L B2 U D'
F2 B2 R2 L B2 U D2
F2 B2 R2 L B2 D U
F2 B2 R2 L B2 D' U
F2 B2 R2 L B2 D2 U
F2 B2 R2 L' B2 L2 U
F2 B2 R2 L2 B2 L' U
B2 F2 R2 D' L U R2
F2 B2 R2 D' L U R2
R' B2 U2 F2 B2 R' U
R' B2 U2 B2 R' F2 U
R' B2 U2 B2 F2 R' U
U2 B2 U2 L R2 F2 U
U2 B2 U2 L F2 R2 U
B2 F2 R2 B2 U2 R' U'
F2 B2 R2 B2 U2 R' U'
U2 B2 U2 R2 L F2 U
U2 B2 U2 R2 F2 L U
U B2 U' L R2 F2 U
U B2 U' L F2 R2 U
U2 B2 U2 F2 L R2 U
U2 B2 U2 F2 R2 L U
U B2 U' R2 L F2 U
U B2 U' R2 F2 L U
B F2 R2 B L B2 U
B F2 R2 B' U2 R' U'
R' B2 D' L U' L R2
R' B2 D' L U' R2 L
U B2 U' F2 L R2 U
U B2 U' F2 R2 L U
F B2 R2 F L B2 U
R' B2 D2 L F2 B2 U'
R' B2 D2 L B2 F2 U'
R' B2 D2 F2 L B2 U'
U2 B2 D2 B2 L2 R' U'
U2 B2 D2 B2 R' L2 U'
B2 F2 D' L U R2 F2
B2 F2 D' L U F2 R2
F2 B2 D' L U R2 F2
F2 B2 D' L U F2 R2
L' B2 F2 L R2 B2 U
L' B2 F2 L B2 R2 U
L' B2 F2 R2 L B2 U
L2 B2 F2 L R2 B2 U
L2 B2 F2 L B2 R2 U
L2 B2 F2 R2 L B2 U
R2 B2 F2 L B2 L2 U
R2 B2 F2 L' U D' R2
R2 B2 F2 L' D' U R2
R2 B2 F2 L' B2 U D
R2 B2 F2 L' B2 U D'
R2 B2 F2 L' B2 U D2
R2 B2 F2 L' B2 D U
R2 B2 F2 L' B2 D' U
R2 B2 F2 L' B2 D2 U
R2 B2 F2 D' L' U R2
L B2 F2 L R2 B2 U
L B2 F2 L B2 R2 U
U B2 F2 L R2 U R2
L B2 F2 R2 L B2 U
U B2 F2 R2 L U R2
