D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
R D R2 B' D2 U2 R2
D R2 B' F2 L2 F2 U2
R D R2 B2 L2 B U2
F2 R2 B2 U' F2 B U2
F2 R2 B2 U' B F2 U2
D R2 B2 L' B L' U2
D R2 B2 L2 D B U2
D R2 B2 L2 D' B U2
D R2 B2 L2 D2 B U2
D R2 B2 L2 B U2 D
D R2 B2 L2 B U2 D'
D R2 B2 L2 B U2 D2
D R2 B2 L2 B D U2
D R2 B2 L2 B D' U2
D R2 B2 L2 B D2 U2
D R2 B2 U2 D2 R2 F'
D R2 B2 D2 U2 R2 F'
D R2 B2 D2 B U2 R2
U R2 B2 R2 F2 U F
L2 D U2 F D2 L2 R2
L2 D U2 F D2 R2 L2
U R2 B2 F2 R2 U F'
U R2 B2 F2 U' B U2
B' U L' F2 L B' U
D' U L2 R2 D' F B2
D' U L2 R2 D' B2 F
D' U L2 R2 F D' B2
L2 D F D2 L2 R2 B
L2 D F D2 R2 L2 B
L2 D F D2 R2 B L2
D' U L2 F R2 D' B2
B2 U L2 D' B2 L2 F
D' U R U L2 R F
D' U R U R L2 F
B' U R F2 R' B' U
R' D B L2 R2 B2 U2
R' D B L2 B2 R2 U2
D' U R' U L2 R' F
D' U R' U L2 F R'
D' U R' U R' L2 F
R' D B R2 L2 B2 U2
R' D B R2 B2 L2 U2
L2 D B L2 R2 B' U2
L2 D B L2 B' R2 U2
B' U R' B' R F2 U
R2 D B L2 R2 B2 U2
R' D B' L2 R2 U2 D
R' D B' L2 R2 U2 D'
R' D B' L2 R2 U2 D2
R' D B' L2 R2 D U2
R' D B' L2 R2 D' U2
R' D B' L2 R2 D2 U2
L2 D B R2 L2 B' U2
R2 D B L2 B2 R2 U2
R' D B' L2 U2 D2 L2
R' D B' L2 D2 U2 L2
D' U R2 L2 D' F B2
D' U R2 L2 D' B2 F
D' U R2 L2 F D' B2
R2 D B R2 L2 B2 U2
R' D B' R2 L2 U2 D
R' D B' R2 L2 U2 D'
R' D B' R2 L2 U2 D2
R' D B' R2 L2 D U2
R' D B' R2 L2 D' U2
R' D B' R2 L2 D2 U2
R2 D B R2 B2 L2 U2
R' D B' R2 U2 D2 R2
R' D B' R2 D2 U2 R2
R' D B' U2 D2 L2 R2
R' D B' U2 D2 R2 L2
R' D B' D2 U2 L2 R2
R' D B' D2 U2 R2 L2
R D B L2 R2 B2 U2
R D B L2 B2 R2 U2
B' U R2 F2 R2 B' U
L2 D B' L2 R2 B' U2
B' U R2 F2 B' R2 U
L2 D B' L2 B' R2 U2
R D B R2 L2 B2 U2
R D B R2 B2 L2 U2
B' U R2 B' R2 F2 U
R2 D B' L2 R2 U2 D
R2 D B' L2 R2 U2 D'
R2 D B' L2 R2 U2 D2
R2 D B' L2 R2 D U2
R2 D B' L2 R2 D' U2
R2 D B' L2 R2 D2 U2
B' U R2 B' F2 R2 U
R2 D B' L2 U2 D2 L2
R' D B2 L2 R2 U2 F'
R2 D B' L2 D2 U2 L2
L2 D B' R2 L2 B' U2
R' D B2 L2 B R2 U2
B2 U R2 F2 U R2 F
B2 U R2 F2 U F R2
R2 D B' R2 L2 U2 D
R2 D B' R2 L2 U2 D'
R2 D B' R2 L2 U2 D2
R2 D B' R2 L2 D U2
R2 D B' R2 L2 D' U2
R2 D B' R2 L2 D2 U2
R2 D B' R2 U2 D2 R2
R' D B2 R2 L2 U2 F'
R2 D B' R2 D2 U2 R2
D' U F U L2 R2 F
D' U F U L2 F R2
D' U F U R2 L2 F
U2 D R2 B' L2 U2 B
R2 D B' U2 D2 L2 R2
R2 D B' U2 D2 R2 L2
R2 D B' D2 U2 L2 R2
R2 D B' D2 U2 R2 L2
R D B' L2 R2 U2 D
R D B' L2 R2 U2 D'
R D B' L2 R2 U2 D2
R D B' L2 R2 D U2
R D B' L2 R2 D' U2
R D B' L2 R2 D2 U2
R D B' L2 U2 D2 L2
R D B' L2 D2 U2 L2
B' U D B' U D2 L2
B' U D B' U' R2 U2
B' U D B' D' F2 U
B' U D B' D2 U L2
L2 D B2 L2 R2 B' U2
L2 D B2 L2 B' R2 U2
R D B' R2 L2 U2 D
R D B' R2 L2 U2 D'
R D B' R2 L2 U2 D2
R D B' R2 L2 D U2
R D B' R2 L2 D' U2
R D B' R2 L2 D2 U2
R D B' R2 U2 D2 R2
R D B' R2 D2 U2 R2
R2 D B2 L2 R2 U2 F'
R2 D B2 L2 B R2 U2
L2 D B2 R2 L2 B' U2
R D B' U2 D2 L2 R2
R D B' U2 D2 R2 L2
R2 D B2 R2 L2 U2 F'
U2 D F D2 L2 R2 F
U2 D F D2 L2 F R2
U2 D F D2 R2 L2 F
R D B' D2 U2 L2 R2
R D B' D2 U2 R2 L2
B' U D' F B' U L2
D' U F' U L2 R2 F
D' U F' U L2 F R2
D' U F' U R2 L2 F
B' U D' F' B' U L2
B' U D' F2 B' U L2
B' U D' B' U L2 D
B' U D' B' U L2 D'
B' U D' B' U L2 D2
B' U D' B' D F2 U
B' U D' B' F U L2
B' U D' B' F' U L2
B' U D' B' F2 U L2
R D B2 L2 R2 U2 F'
R D B2 L2 B R2 U2
R D B2 R2 L2 U2 F'
R' D' L' U2 L' R2 F
R' D' L' U2 L' F R2
R' D' L' U2 R2 L' F
U2 D F' D2 L2 R2 F
U2 D F' D2 L2 F R2
U2 D F' D2 R2 L2 F
D' U F2 U L2 R2 F
D' U F2 U L2 F R2
D' U F2 U R2 L2 F
B U D' B R2 U L2
B' U D2 B' U2 B' U'
L D' L U2 R2 F L
L D' L U2 F L R2
L D' L U2 F R2 L
F2 U D2 B2 D R2 F'
L D' L F L R2 B
L D' L F R2 L B
R2 D' L' U2 L' R2 F
R2 D' L' U2 L' F R2
R2 D' L' U2 R2 L' F
B' U F D F B' U
B' U F D B' F U
B' U F D' F B' U
B' U F D' B' F U
U2 D F2 D2 L2 R2 F
U2 D F2 D2 L2 F R2
U2 D F2 D2 R2 L2 F
B' U F D2 F B' U
B' U F D2 B' F U
R' D' L2 F R2 D B
R' D' L2 F R2 D' B
R' D' L2 F R2 D2 B
R' D' L2 F R2 B D
R' D' L2 F R2 B D'
R' D' L2 F R2 B D2
R' D' L2 F B R2 B
R' D' L2 F B' R2 B
R' D' L2 F B2 R2 B
B' U F B' D F U
B' U F B' D' F U
B' U F B' D2 F U
R' D' L2 B F R2 B
R' D' L2 B' F R2 B
R' D' L2 B2 F R2 B
R D' L' U2 L' R2 F
R D' L' U2 L' F R2
R D' L' U2 R2 L' F
R' D' R U2 L2 R F
R' D' R U2 R L2 F
B' U F' D F' B' U
B' U F' D B' F' U
B' U F' D' F' B' U
B' U F' D' B' F' U
L D' L' B' U2 L' R2
L D' L' B' U2 R2 L'
B' U F' D2 F' B' U
B' U F' D2 B' F' U
R2 D' L2 F R2 D B
R2 D' L2 F R2 D' B
R2 D' L2 F R2 D2 B
R2 D' L2 F R2 B D
R2 D' L2 F R2 B D'
R2 D' L2 F R2 B D2
R2 D' L2 F B R2 B
R2 D' L2 F B' R2 B
R2 D' L2 F B2 R2 B
B' U F' B' D F' U
B' U F' B' D' F' U
B' U F' B' D2 F' U
R2 D' L2 B F R2 B
R' D' R B' U2 L2 R
R' D' R B' U2 R L2
U2 D B' L2 R2 F' U2
R2 D' L2 B' F R2 B
R2 D' L2 B2 F R2 B
B' U F2 R' B' R U
B' U F2 R2 B' R2 U
U2 D B' R2 L2 F' U2
U2 D B' R2 F' L2 U2
L2 D' R U2 R F L2
R' D' R' U2 L2 R' F
R' D' R' U2 L2 F R'
R' D' R' U2 R' L2 F
R2 D' R U2 L2 R F
R2 D' R U2 R L2 F
B2 U F2 R2 U F' R2
R D' L2 F R2 D B
R D' L2 F R2 D' B
R D' L2 F R2 D2 B
B' U F2 D B' U D
B' U F2 D B' U D'
B' U F2 D B' U D2
R D' L2 F R2 B D
R D' L2 F R2 B D'
R D' L2 F R2 B D2
B' U F2 D B' D U
B' U F2 D B' D' U
B' U F2 D B' D2 U
R D' L2 F B R2 B
R D' L2 F B' R2 B
R D' L2 F B2 R2 B
B' U F2 D' B' U D
B' U F2 D' B' U D'
B' U F2 D' B' U D2
B' U F2 D' B' D U
B' U F2 D' B' D' U
B' U F2 D' B' D2 U
B' U F2 D2 B' U D
B' U F2 D2 B' U D'
B' U F2 D2 B' U D2
B' U F2 D2 B' D U
B' U F2 D2 B' D' U
B' U F2 D2 B' D2 U
D' U B2 U L2 R2 F'
B' U F2 B U D' R2
D' U B2 U R2 L2 F'
D' U B2 U R2 F' L2
B' U F2 B D' U R2
R D' L2 B F R2 B
B' U F2 B2 D B U
R D' L2 B' F R2 B
B' U F2 B2 D' B U
B' U F2 B2 D2 B U
R D' L2 B2 F R2 B
R2 D' R B' U2 L2 R
R2 D' R B' U2 R L2
R D' R U2 L2 R F
R D' R U2 R L2 F
B' U B U D' L2 R2
B' U B U D' R2 L2
L2 D' R' U2 R' F L2
L2 D' R' U2 F L2 R'
L2 D' R' U2 F R' L2
R2 D' R' U2 L2 R' F
R2 D' R' U2 L2 F R'
R2 D' R' U2 R' L2 F
B' U B D' U L2 R2
B' U B D' U R2 L2
B U F2 D' B R2 U
B U F2 D2 B U F2
B U F2 B R2 U F'
B U F2 B U' B U2
R' D' R2 F' L2 F B'
R' D' R2 F' L2 B' F
B' U B F2 U D' R2
R D' R B' U2 L2 R
R D' R B' U2 R L2
B' U B F2 D' U R2
B' U B' L' F2 L U
B' U B' L2 F2 L2 U
U2 D' L R2 D L F
U2 D' L R2 D' L F
U2 D' L R2 D2 L F
U2 D' L R2 F L F
U2 D' L R2 F' L F
U2 D' L R2 F2 L F
L D' R' U2 L2 R' F'
L D' R' U2 R' L2 F'
L D' R' U2 R' F' L2
B' U B' R F2 R' U
R D' R' U2 L2 R' F
B' U B' R2 F2 R2 U
R D' R' U2 L2 F R'
B U B R2 F2 U F
R D' R' U2 R' L2 F
B' U B' U L D' L2
B' U B' U L' D' L2
B' U B' U L2 D' L2
B' U B' U D' L2 D
B' U B' U D' L2 D'
B' U B' U D' L2 D2
B' U B' U' D R2 U2
B' U B' U2 D2 B2 U'
U2 D' L F L R2 F
B' U B' D U' R2 U2
U2 D' L F L F R2
U' D' L' U' L' R2 F
U' D' L' U' L' F R2
D' U' L' U' L' R2 F
D' U' L' U' L' F R2
U2 D' L F R2 L F
U' D' L' U' R2 L' F
D' U' L' U' R2 L' F
B' U B' D' U L2 D
B' U B' D' U L2 D'
B' U B' D' U L2 D2
U2 D' L F' L R2 F
U2 D' L F' L F R2
B' U B' D' F U L2
B' U B' D' F' U L2
B' U B' D' F2 U L2
U2 D' L F' R2 L F
L2 D' R2 F' L2 F2 B'
L2 D' R2 F' L2 B' F2
U2 D' L F2 L R2 F
U2 D' L F2 L F R2
B' U B' D2 U2 B2 U'
U2 D' L F2 R2 L F
B' U B' F D F U
B' U B' F D' F U
B' U B' F D2 F U
B' U B' F' D F' U
R2 D' R2 F' L2 F B'
B' U B' F' D' F' U
R2 D' R2 F' L2 B' F
B' U B' F' D2 F' U
B U B F2 R2 U F'
B U B F2 U' B U2
U' D' L2 R2 D F B2
D' U' L2 R2 D F B2
D' U' L2 R2 D B2 F
U' D' L2 R2 D B2 F
D' U' L2 R2 F D B2
U' D' L2 R2 F D B2
R D' R2 F' L2 F B'
R D' R2 F' L2 B' F
B' U B2 D' B U L2
U' D' L2 F R2 D B2
B' U B2 F2 D B U
B' U B2 F2 D' B U
D' U' L2 F R2 D B2
B' U B2 F2 D2 B U
R' D' U2 L2 R' F R'
R' D' U2 L2 R2 D F
R' D' U2 L2 R2 D' F
R' D' U2 L2 R2 D2 F
R' D' U2 L2 R2 F D
R' D' U2 L2 R2 F D'
R' D' U2 L2 R2 F D2
U2 D' L2 R D R F
U2 D' L2 R D' R F
U2 D' L2 R D2 R F
R' D' U2 L2 F R2 D
R' D' U2 L2 F R2 D'
R' D' U2 L2 F R2 D2
R' D' U2 L2 F' R2 F2
U2 D' L2 R' D R' F
U2 D' L2 R' D F R'
U2 D' L2 R' D' R' F
U2 D' L2 R' D' F R'
U2 D' L2 R' D2 R' F
U2 D' L2 R' D2 F R'
U2 D' L2 R' F R' D
U2 D' L2 R' F R' D'
U2 D' L2 R' F R' D2
U2 D' L2 R' F D R'
U2 D' L2 R' F D' R'
U2 D' L2 R' F D2 R'
U2 D' L2 R' F' R' F2
U2 D' L2 R2 D F D
U2 D' L2 R2 D F D'
U2 D' L2 R2 D F D2
U2 D' L2 R2 D' F D
U2 D' L2 R2 D' F D'
U2 D' L2 R2 D' F D2
U2 D' L2 R2 D2 F D
U2 D' L2 R2 D2 F D'
U2 D' L2 R2 D2 F D2
R' D' U2 R' L2 F R'
U2 D' L2 R2 F2 D F'
U2 D' L2 R2 F2 D' F'
U2 D' L2 R2 F2 D2 F'
R' D' U2 R2 L2 D F
R' D' U2 R2 L2 D' F
R' D' U2 R2 L2 D2 F
R' D' U2 R2 L2 F D
R' D' U2 R2 L2 F D'
R' D' U2 R2 L2 F D2
D2 U' L2 F2 B2 U' F'
R' D' U2 R2 F L2 F
R' D' U2 R2 F' L2 F
R' D' U2 R2 F2 L2 F
R' D' U2 F L2 R2 F
R' D' U2 F L2 F R2
R' D' U2 F R2 L2 F
R' D' U2 F' L2 R2 F
R' D' U2 F' L2 F R2
R' D' U2 F' R2 L2 F
U2 D' L2 D F D' R2
D2 U' L2 B2 F2 U' F'
R' D' U2 F2 L2 R2 F
R' D' U2 F2 L2 F R2
R' D' U2 F2 R2 L2 F
U2 D' L2 D2 F D2 R2
U2 D' L2 F R D R
U2 D' L2 F R D' R
U2 D' L2 F R D2 R
U2 D' L2 F R' D R'
U2 D' L2 F R' D' R'
U2 D' L2 F R' D2 R'
U2 D' L2 F B R2 B'
U2 D' L2 F B2 R2 B2
U2 D' L2 F' R' F2 R'
U2 D' L2 F' R2 F2 D
U2 D' L2 F' R2 F2 D'
U2 D' L2 F' R2 F2 D2
U2 D' L2 B R2 F B'
U2 D' L2 B R2 B' F
U2 D' L2 B F R2 B'
R' D' F L2 R2 F B
R' D' F L2 R2 B F
U2 D' L2 B2 R2 F B2
U2 D' L2 B2 R2 B2 F
U D' L2 R2 D' F B2
U D' L2 R2 D' B2 F
U D' L2 R2 F D' B2
U2 D' L2 B2 F R2 B2
L2 D' U2 R' F L2 R'
L2 D' U2 R' F R' L2
R2 D' U2 L2 R' F R'
R2 D' U2 L2 R2 D F
R2 D' U2 L2 R2 D' F
R2 D' U2 L2 R2 D2 F
R2 D' U2 L2 R2 F D
R2 D' U2 L2 R2 F D'
R2 D' U2 L2 R2 F D2
R2 D' U2 L2 F R2 D
R2 D' U2 L2 F R2 D'
R2 D' U2 L2 F R2 D2
R2 D' U2 L2 F' R2 F2
R' D' F R2 L2 F B
R' D' F R2 L2 B F
L2 D' U2 R2 F L2 D
L2 D' U2 R2 F L2 D'
L2 D' U2 R2 F L2 D2
L2 D' U2 R2 F' L2 F2
L2 D' U2 R2 F2 L2 F'
L2 D' U2 F L2 R2 D
L2 D' U2 F L2 R2 D'
L2 D' U2 F L2 R2 D2
L2 D' U2 F R2 L2 D
L2 D' U2 F R2 L2 D'
L2 D' U2 F R2 L2 D2
U2 D' R L2 D R F
U2 D' R L2 D' R F
U2 D' R L2 D2 R F
R2 D' U2 R' L2 F R'
L2 D' U2 F' L2 R2 F2
L2 D' U2 F' L2 F2 R2
L2 D' U2 F' R2 L2 F2
L2 D' U2 F' R2 F2 L2
R2 D' U2 R2 L2 D F
R2 D' U2 R2 L2 D' F
R2 D' U2 R2 L2 D2 F
R2 D' U2 R2 L2 F D
R2 D' U2 R2 L2 F D'
R2 D' U2 R2 L2 F D2
L2 D' U2 F2 L2 F' R2
R2 D' U2 R2 F L2 F
R2 D' U2 R2 F' L2 F
R2 D' U2 R2 F2 L2 F
R2 D' U2 F L2 R2 F
R2 D' U2 F L2 F R2
R2 D' U2 F R2 L2 F
R2 D' U2 F' L2 R2 F
R2 D' U2 F' L2 F R2
R2 D' U2 F' R2 L2 F
U D' L2 F R2 D' B2
R2 D' U2 F2 L2 R2 F
R2 D' U2 F2 L2 F R2
R2 D' U2 F2 R2 L2 F
L2 D' F L' R2 B L'
L2 D' F L2 R2 D B
L2 D' F L2 R2 D' B
L2 D' F L2 R2 D2 B
U2 D' R F' L2 F R
L2 D' F L2 R2 B D
L2 D' F L2 R2 B D'
L2 D' F L2 R2 B D2
L D' U2 L2 R' F' R'
L2 D' F L2 B R2 B
L2 D' F L2 B' R2 B
L2 D' F L2 B2 R2 B
R D' U2 L2 R' F R'
R D' U2 L2 R2 D F
R D' U2 L2 R2 D' F
R D' U2 L2 R2 D2 F
R D' U2 L2 R2 F D
R D' U2 L2 R2 F D'
R D' U2 L2 R2 F D2
L D' U2 R' L2 F' R'
R' D' F' L2 R2 F B'
R' D' F' L2 R2 B' F
R2 D' F L2 R2 F B
R2 D' F L2 R2 B F
R D' U2 L2 F R2 D
R D' U2 L2 F R2 D'
R D' U2 L2 F R2 D2
L2 D' F R2 L' B L'
R D' U2 L2 F' R2 F2
L2 D' F R2 L2 D B
L2 D' F R2 L2 D' B
L2 D' F R2 L2 D2 B
L2 D' F R2 L2 B D
L2 D' F R2 L2 B D'
L2 D' F R2 L2 B D2
L D' U2 R' F' L2 R'
L D' U2 R' F' R' L2
R' D' F' L2 F R2 B'
R' D' F' L2 F B' R2
R' D' F' L2 B' R2 F
R' D' F' L2 B' F R2
L2 D' F R2 B L2 D
L2 D' F R2 B L2 D'
L2 D' F R2 B L2 D2
L2 D' F R2 B' L2 B2
R D' U2 R' L2 F R'
U D' R U L2 R F
U D' R U R L2 F
R D' U2 R2 L2 D F
R D' U2 R2 L2 D' F
R D' U2 R2 L2 D2 F
R D' U2 R2 L2 F D
R D' U2 R2 L2 F D'
R D' U2 R2 L2 F D2
R' D' F' R2 L2 F B'
R' D' F' R2 L2 B' F
R2 D' F R2 L2 F B
R2 D' F R2 L2 B F
R D' U2 R2 F L2 F
R D' U2 R2 F' L2 F
R D' U2 R2 F2 L2 F
R D' U2 F L2 R2 F
R D' U2 F L2 F R2
R D' U2 F R2 L2 F
U2 D' R' L2 D R' F
U2 D' R' L2 D F R'
U2 D' R' L2 D' R' F
U2 D' R' L2 D' F R'
U2 D' R' L2 D2 R' F
U2 D' R' L2 D2 F R'
U2 D' R' L2 F R' D
U2 D' R' L2 F R' D'
U2 D' R' L2 F R' D2
U2 D' R' L2 F D R'
U2 D' R' L2 F D' R'
U2 D' R' L2 F D2 R'
U2 D' R' L2 F' R' F2
R D' U2 F' L2 R2 F
R D' U2 F' L2 F R2
R D' U2 F' R2 L2 F
R D' U2 F2 L2 R2 F
R D' U2 F2 L2 F R2
R D' U2 F2 R2 L2 F
L2 D' F B L2 R2 B
L2 D' F B R2 L2 B
L2 D' F B R2 B L2
D' U' R2 L2 D F B2
U' D' R2 L2 D F B2
D' U' R2 L2 D B2 F
U' D' R2 L2 D B2 F
U' D' R2 L2 F D B2
D' U' R2 L2 F D B2
L2 D' F B' L2 R2 B
L2 D' F B' R2 L2 B
L2 D' F B' R2 B L2
L2 D' F B2 L2 R2 B
L2 D' F B2 R2 L2 B
L2 D' F B2 R2 B L2
B' U' L2 F L2 B' U'
U2 D' R' F L2 R' F
U2 D' R' F L2 F R'
U2 D' R' F R' L2 F
L2 D' F' L2 R2 F2 B'
L2 D' F' L2 R2 B' F2
U2 D' R' F' L2 R' F
U2 D' R' F' L2 F R'
U2 D' R' F' R' L2 F
R D' F L2 R2 F B
R D' F L2 R2 B F
L2 D' F' L2 F2 R2 B'
L2 D' F' L2 F2 B' R2
L2 D' F' L2 B' R2 F2
L2 D' F' L2 B' F2 R2
U2 D' R' F2 L2 R' F
U2 D' R' F2 L2 F R'
U2 D' R' F2 R' L2 F
L2 D' F' R2 L2 F2 B'
L2 D' F' R2 L2 B' F2
R2 D' F' L2 R2 F B'
R2 D' F' L2 R2 B' F
R D' F R2 L2 F B
R D' F R2 L2 B F
R2 D' F' L2 F R2 B'
R2 D' F' L2 F B' R2
R2 D' F' L2 B' R2 F
R2 D' F' L2 B' F R2
U D' R' U L2 R' F
U D' R' U L2 F R'
U2 D' R2 L D L F
U D' R' U R' L2 F
U2 D' R2 L D' L F
U2 D' R2 L D2 L F
U2 D' R2 L F L F
U2 D' R2 L F' L F
U2 D' R2 L F2 L F
R2 D' F' R2 L2 F B'
R2 D' F' R2 L2 B' F
U2 D' R2 L2 D F D
U2 D' R2 L2 D F D'
U2 D' R2 L2 D F D2
U2 D' R2 L2 D' F D
U2 D' R2 L2 D' F D'
U2 D' R2 L2 D' F D2
U2 D' R2 L2 D2 F D
U2 D' R2 L2 D2 F D'
U2 D' R2 L2 D2 F D2
U2 D' R2 L2 F2 D F'
U2 D' R2 L2 F2 D' F'
U2 D' R2 L2 F2 D2 F'
U2 D' R2 U2 B' U2 L2
U2 D' R2 F L2 D F
U2 D' R2 F L2 D' F
U2 D' R2 F L2 D2 F
U2 D' R2 F L2 F D
U2 D' R2 F L2 F D'
U2 D' R2 F L2 F D2
U2 D' R2 F' L2 D F
U2 D' R2 F' L2 D' F
U2 D' R2 F' L2 D2 F
U2 D' R2 F' L2 F D
U2 D' R2 F' L2 F D'
U2 D' R2 F' L2 F D2
L2 D' F2 L2 F' R2 B
R D' F' L2 R2 F B'
R D' F' L2 R2 B' F
D' U' F U' L2 R2 F
D' U' F U' L2 F R2
U' D' F U' L2 R2 F
U' D' F U' L2 F R2
R D' F' L2 F R2 B'
R D' F' L2 F B' R2
U2 D' R2 F2 L2 D F
U2 D' R2 F2 L2 D' F
D' U' F U' R2 L2 F
U' D' F U' R2 L2 F
U2 D' R2 F2 L2 D2 F
U2 D' R2 F2 L2 F D
U2 D' R2 F2 L2 F D'
U2 D' R2 F2 L2 F D2
R D' F' L2 B' R2 F
R D' F' L2 B' F R2
R D' F' R2 L2 F B'
R D' F' R2 L2 B' F
U D' R2 L2 D' F B2
U D' R2 L2 D' B2 F
U D' R2 L2 F D' B2
U2 D' F L2 R' F R'
U2 D' F L2 R2 D F
U2 D' F L2 R2 D' F
U2 D' F L2 R2 D2 F
U2 D' F L2 R2 F D
U2 D' F L2 R2 F D'
U2 D' F L2 R2 F D2
U2 D' F L2 F R2 D
U2 D' F L2 F R2 D'
U2 D' F L2 F R2 D2
U2 D' F L2 F' R2 F2
U2 D' F R' L2 F R'
U2 D' F R2 L2 D F
U2 D' F R2 L2 D' F
U2 D' F R2 L2 D2 F
U2 D' F R2 L2 F D
U2 D' F R2 L2 F D'
U2 D' F R2 L2 F D2
U2 D' F R2 F L2 F
U2 D' F R2 F' L2 F
U2 D' F R2 F2 L2 F
D' U' F' U' L2 R2 F
U' D' F' U' L2 R2 F
D' U' F' U' L2 F R2
U' D' F' U' L2 F R2
D' U' F' U' R2 L2 F
U' D' F' U' R2 L2 F
R' D' B' L U2 L R2
R' D' B' L U2 R2 L
R' D' B' L' U2 L' R2
R' D' B' L' U2 R2 L'
R' D' B' R U2 L2 R
R' D' B' R U2 R L2
R' D' B' R' U2 L2 R'
R' D' B' R' U2 R' L2
L2 D' B U2 R2 F L2
L2 D' B U2 F L2 R2
L2 D' B U2 F R2 L2
U2 D' F' L2 R' F R'
U2 D' F' L2 R2 D F
U2 D' F' L2 R2 D' F
U2 D' F' L2 R2 D2 F
U2 D' F' L2 R2 F D
U2 D' F' L2 R2 F D'
U2 D' F' L2 R2 F D2
U2 D' F' L2 F R2 D
U2 D' F' L2 F R2 D'
U2 D' F' L2 F R2 D2
U2 D' F' L2 F' R2 F2
U D' F U L2 R2 F
U D' F U L2 F R2
U D' F U R2 L2 F
U2 D' F' R' L2 F R'
R' D' B' U2 L2 R2 D
R' D' B' U2 L2 R2 D'
R' D' B' U2 L2 R2 D2
R' D' B' U2 R2 L2 D
R' D' B' U2 R2 L2 D'
R' D' B' U2 R2 L2 D2
L2 D' B F L2 R2 B
U2 D' F' R2 L2 D F
U2 D' F' R2 L2 D' F
U2 D' F' R2 L2 D2 F
U2 D' F' R2 L2 F D
U2 D' F' R2 L2 F D'
U2 D' F' R2 L2 F D2
L2 D' B F R2 L2 B
L2 D' B F R2 B L2
U2 D' F' R2 F L2 F
U2 D' F' R2 F' L2 F
U2 D' F' R2 F2 L2 F
R' D' B' D2 L2 R2 U2
R' D' B' D2 R2 L2 U2
D2 U' F2 L2 B2 U' F
D' U' F2 U' L2 R2 F
D' U' F2 U' L2 F R2
U' D' F2 U' L2 R2 F
U' D' F2 U' L2 F R2
D' U' F2 U' R2 L2 F
U' D' F2 U' R2 L2 F
R2 D' B' L U2 L R2
R2 D' B' L U2 R2 L
R2 D' B' L' U2 L' R2
R2 D' B' L' U2 R2 L'
D2 U' F2 U' D L2 F
R2 D' B' R U2 L2 R
R2 D' B' R U2 R L2
D2 U' F2 D U' L2 F
R2 D' B' R' U2 L2 R'
R2 D' B' R' U2 R' L2
L2 D' B' U2 R2 F L2
R' D' B2 R2 F' L2 B'
L2 D' B' U2 F L2 R2
L2 D' B' U2 F R2 L2
U2 D' F2 L2 R' F R'
U2 D' F2 L2 R2 D F
U2 D' F2 L2 R2 D' F
U2 D' F2 L2 R2 D2 F
U2 D' F2 L2 R2 F D
U2 D' F2 L2 R2 F D'
U2 D' F2 L2 R2 F D2
U2 D' F2 L2 F R2 D
U2 D' F2 L2 F R2 D'
U2 D' F2 L2 F R2 D2
U2 D' F2 L2 F' R2 F2
U2 D' F2 R' L2 F R'
R' D' B2 U2 L2 R2 F'
R' D' B2 U2 R2 L2 F'
R' D' B2 U2 R2 F' L2
U D' F' U L2 R2 F
U D' F' U L2 F R2
U D' F' U R2 L2 F
R2 D' B' U2 L2 R2 D
R2 D' B' U2 L2 R2 D'
R2 D' B' U2 L2 R2 D2
R2 D' B' U2 R2 L2 D
R2 D' B' U2 R2 L2 D'
R2 D' B' U2 R2 L2 D2
D2 U' F2 B2 U B U2
U2 D' F2 R2 L2 D F
U2 D' F2 R2 L2 D' F
U2 D' F2 R2 L2 D2 F
U2 D' F2 R2 L2 F D
U2 D' F2 R2 L2 F D'
U2 D' F2 R2 L2 F D2
L2 D' B' F L2 R2 B
L2 D' B' F R2 L2 B
L2 D' B' F R2 B L2
U2 D' F2 R2 F L2 F
U2 D' F2 R2 F' L2 F
U2 D' F2 R2 F2 L2 F
R2 D' B' D2 L2 R2 U2
R2 D' B' D2 R2 L2 U2
R D' B' L U2 L R2
R D' B' L U2 R2 L
R D' B' L' U2 L' R2
R D' B' L' U2 R2 L'
R D' B' R U2 L2 R
R D' B' R U2 R L2
R D' B' R' U2 L2 R'
R D' B' R' U2 R' L2
L2 D' B2 U2 R2 F L2
L2 D' B2 U2 F L2 R2
L2 D' B2 U2 F R2 L2
R2 D' B2 R2 F' L2 B'
R D' B' U2 L2 R2 D
R D' B' U2 L2 R2 D'
R D' B' U2 L2 R2 D2
R D' B' U2 R2 L2 D
R D' B' U2 R2 L2 D'
R D' B' U2 R2 L2 D2
U D' F2 U L2 R2 F
U D' F2 U L2 F R2
U D' F2 U R2 L2 F
R2 D' B2 U2 L2 R2 F'
R2 D' B2 U2 R2 L2 F'
R2 D' B2 U2 R2 F' L2
L2 D' B2 F L2 R2 B
L2 D' B2 F R2 L2 B
L2 D' B2 F R2 B L2
R D' B' D2 L2 R2 U2
R D' B' D2 R2 L2 U2
U2 D' B R2 B' L2 F
R D' B2 R2 F' L2 B'
R D' B2 U2 L2 R2 F'
