U R U F' B2
U R U B2 F'
U' R U' F' B2
U' R U' B2 F'
U2 R F' R' B2
R U2 F' B2 L
R U2 B2 L F'
R U2 B2 F' L
U2 B2 R F' R'
F' U R L2 U F' B2
F' U R L2 U B2 F'
F U L2 R U F' B2
F U L2 R U B2 F'
B' U R U D F' B'
B' U R U D B' F'
B' U R U D' F' B'
B' U R U D' B' F'
F' U R U F' B2 D
F' U R U F' B2 D'
F' U R U F' B2 D2
B' U R U D2 F' B'
B' U R U D2 B' F'
B' U R U F' D B'
B' U R U F' D' B'
B' U R U F' D2 B'
B' U R U F' B' D
B' U R U F' B' D'
B' U R U F' B' D2
F' U R U B2 D F'
F' U R U B2 D' F'
F' U R U B2 D2 F'
F' U R U B2 F' D
F' U R U B2 F' D'
F' U R U B2 F' D2
B' U R U B' D F'
B' U R U B' D' F'
B' U R U B' D2 F'
B' U R U B' F' D
B' U R U B' F' D'
B' U R U B' F' D2
D U L2 D' R U F'
F2 U R L U F' B2
F2 U R L U B2 F'
F2 U R L' U F' B2
F2 U R L' U B2 F'
F' U R D L2 U F'
B' U R D U F' B'
B' U R D U B' F'
F2 U R L2 U F' B2
F2 U R L2 U B2 F'
B' U R D' U F' B'
B' U R D' U B' F'
F2 U R U F' B2 D
F2 U R U F' B2 D'
F2 U R U F' B2 D2
F2 U R U B2 D F'
F2 U R U B2 D' F'
F2 U R U B2 D2 F'
F2 U R U B2 F' D
F2 U R U B2 F' D'
F2 U R U B2 F' D2
B' U R D2 U F' B'
B' U R D2 U B' F'
D U L2 B R' B' U
F2 U R D L2 U F'
U D L2 D' R U F'
R' D B R U L2 U
R' D B R U2 D' B2
R' D B R D F2 U2
R' D B R D' U2 B2
U D L2 B R' B' U
F U R L U F' B2
F U R L U B2 F'
F U R L' U F' B2
F U R L' U B2 F'
B' U R' U B' D2 F2
F U R L2 U F' B2
F U R L2 U B2 F'
B' U R' U' B U2 B2
F' U R' U' B U2 B
F U R U F' B2 D
F U R U F' B2 D'
F U R U F' B2 D2
F U R U B2 D F'
F U R U B2 D' F'
F U R U B2 D2 F'
F U R U B2 F' D
F U R U B2 F' D'
F U R U B2 F' D2
R' D B D R F2 U2
R' D B D F2 U2 L'
R' D B D' R U2 B2
F U R D L2 U F'
F2 U R' U' B U2 B
U2 D R' D' R F' B2
U2 D R' D' R B2 F'
U2 D R' D' B2 R F'
F U R' U' B U2 B
B U D2 L' U F B
B U D2 L' U B F
R' D' R U' R U' F'
U2 D B U' L2 R' U
U2 D B U' R' L2 U
D U B R' B' L2 U
U D B R' B' L2 U
D2 U' L U F2 B' U2
D2 U' L U B' F2 U2
D2 U' L' U F2 U2 F'
D2 U' L' U' D2 F B2
D2 U' L' U' D2 B2 F
D2 U' L' D R2 U' F
D2 U' L' D2 U' F B2
D2 U' L' D2 U' B2 F
F' U' L R U' F' B2
F' U' L R U' B2 F'
F2 U' L R U' F' B2
F2 U' L R U' B2 F'
U' D' R D R U' F'
D' U' R D R U' F'
F' U' L' R U' F' B2
F' U' L' R U' B2 F'
F2 U' L' R U' F' B2
F2 U' L' R U' B2 F'
F U' L R U' F' B2
F U' L R U' B2 F'
F' U' L2 R U' F' B2
F' U' L2 R U' B2 F'
R D' U2 F' D B2 L
F2 U' L2 R U' F' B2
F2 U' L2 R U' B2 F'
F U' L' R U' F' B2
F U' L' R U' B2 F'
U' D' R2 D' L' U' F
D' U' R2 D' L' U' F
D' U' R2 F L' F' U'
U' D' R2 F L' F' U'
F' U' R L U' F' B2
F' U' R L U' B2 F'
F' U' R L' U' F' B2
F' U' R L' U' B2 F'
F' U' R L2 U' F' B2
F' U' R L2 U' B2 F'
B' U' R U' D F' B'
B' U' R U' D B' F'
B' U' R U' D' F' B'
B' U' R U' D' B' F'
B' U' R U' D2 F' B'
B' U' R U' D2 B' F'
B' U' R U' F' D B'
B' U' R U' F' D' B'
B' U' R U' F' D2 B'
B' U' R U' F' B' D
B' U' R U' F' B' D'
B' U' R U' F' B' D2
B' U' R U' B' D F'
B' U' R U' B' D' F'
B' U' R U' B' D2 F'
B' U' R U' B' F' D
B' U' R U' B' F' D'
B' U' R U' B' F' D2
F2 U' R L U' F' B2
F2 U' R L U' B2 F'
D' U' F L' F' R2 U'
U' D' F L' F' R2 U'
F' U' R U' F' B2 D
F' U' R U' F' B2 D'
F' U' R U' F' B2 D2
F' U' R U' B2 D F'
F' U' R U' B2 D' F'
F' U' R U' B2 D2 F'
F' U' R U' B2 F' D
F' U' R U' B2 F' D'
F' U' R U' B2 F' D2
B' U' R D U' F' B'
B' U' R D U' B' F'
F2 U' R L' U' F' B2
F2 U' R L' U' B2 F'
F U' L2 R U' F' B2
F U' L2 R U' B2 F'
B' U' R D' U' F' B'
B' U' R D' U' B' F'
F2 U' R L2 U' F' B2
F2 U' R L2 U' B2 F'
B' U' R D2 U' F' B'
B' U' R D2 U' B' F'
F2 U' R U' F' B2 D
F2 U' R U' F' B2 D'
F2 U' R U' F' B2 D2
F2 U' R U' B2 D F'
F2 U' R U' B2 D' F'
F2 U' R U' B2 D2 F'
F2 U' R U' B2 F' D
F2 U' R U' B2 F' D'
F2 U' R U' B2 F' D2
R' D' B R U' R U'
B' U' R' U B U2 B2
B' U' R' U' B' D2 F2
F' U' R' U B U2 B
R' D' B D R U2 B2
U2 D' F U L' R2 U'
R' D' B D' R F2 U2
U2 D' F U R2 L' U'
F U' R L U' F' B2
F U' R L U' B2 F'
B2 U' R' U B U2 B'
R' D' B D' F2 U2 L'
F U' R L' U' F' B2
F U' R L' U' B2 F'
F' U' R' D' R2 U' F'
F U' R L2 U' F' B2
F U' R L2 U' B2 F'
F2 U' R' U B U2 B
F U' R U' F' B2 D
F U' R U' F' B2 D'
F U' R U' F' B2 D2
F U' R U' B2 D F'
F U' R U' B2 D' F'
F U' R U' B2 D2 F'
F U' R U' B2 F' D
F U' R U' B2 F' D'
F U' R U' B2 F' D2
F2 U' R' D' R2 U' F'
F U' R' U B U2 B
F U' R' D' R2 U' F'
L' D2 L D2 B' U2 B'
L' D2 L F2 D B' U2
L' D2 L F2 D' B' U2
L' D2 L F2 D2 B' U2
L' D2 L F2 B' U2 D
L' D2 L F2 B' U2 D'
L' D2 L F2 B' U2 D2
L' D2 L F2 B' D U2
L' D2 L F2 B' D' U2
L' D2 L F2 B' D2 U2
L' D2 L B' U2 D2 B2
L' D2 L B' D2 U2 B2
L' D2 L B' F2 U2 D
L' D2 L B' F2 U2 D'
L' D2 L B' F2 U2 D2
L' D2 L B' F2 D U2
L' D2 L B' F2 D' U2
L' D2 L B' F2 D2 U2
L2 D2 L F2 B' U2 R2
L2 D2 L B' F2 U2 R2
L' D2 L' F2 L2 U2 F'
B U' D2 L' U' F B
B U' D2 L' U' B F
L D2 L F2 L2 U2 F
L2 D2 L' F2 U2 F' R2
L D2 L F2 B' L2 U2
U' D2 L U F2 B' U2
L D2 L B' L2 F2 U2
U' D2 L U B' F2 U2
L D2 L B' F2 L2 U2
L D2 L' U2 D2 F B2
L D2 L' U2 D2 B2 F
L D2 L' D2 U2 F B2
L D2 L' D2 U2 B2 F
L D2 L' F2 U2 D F'
L D2 L' F2 U2 D' F'
L D2 L' F2 U2 D2 F'
L D2 L' F2 U2 F' D
L D2 L' F2 U2 F' D'
L D2 L' F2 U2 F' D2
L D2 L' F2 D U2 F'
L D2 L' F2 D' U2 F'
L D2 L' F2 D2 U2 F'
L D2 L' F2 B U2 F'
L D2 L' F2 B' U2 F'
L D2 L' F2 B2 U2 F'
L D2 L' B F2 U2 F'
U' D2 L' U F2 U2 F'
U' D2 L' U' D2 F B2
U' D2 L' U' D2 B2 F
L D2 L' B' F2 U2 F'
L D2 L' B2 F2 U2 F'
U' D2 L' D R2 U' F
U' D2 L' D2 U' F B2
U' D2 L' D2 U' B2 F
D2 U2 L' D2 F L B2
D2 U2 L' F L2 B' L'
U D2 L U' F2 B' U2
U D2 L U' B' F2 U2
L D2 L2 F2 L U2 F
U D2 L D' L2 U F
U2 D2 L' D2 F L B2
R2 D2 R F2 B U2 L2
U2 D2 L' F L2 B' L'
R2 D2 R B F2 U2 L2
U D2 L' U D2 F B2
U D2 L' U D2 B2 F
U D2 L' U' F2 U2 F'
U D2 L' D2 U F B2
U D2 L' D2 U B2 F
R' D2 R2 F2 R' U2 F
R2 D2 R' F2 U2 F L2
D2 U2 R' D2 R F' B2
D2 U2 R' D2 R B2 F'
D2 U2 R' D2 B2 R F'
R D2 R2 F2 B U2 L'
R D2 R2 B R F2 U2
U2 D2 R' D2 R F' B2
U2 D2 R' D2 R B2 F'
R D2 R2 B F2 U2 L'
U2 D2 R' D2 B2 R F'
B' U2 L D2 L' F B'
B' U2 L D2 L' B' F
D U2 R' D' R F' B2
D U2 R' D' R B2 F'
D U2 R' D' B2 R F'
F' U2 L B2 D2 L' F
D' U2 F U L' R2 U'
D' U2 F U R2 L' U'
F2 U2 L B2 D2 L' F
B U2 L D2 L' F B
B U2 L D2 L' B F
B U2 L D2 B L' F
B U2 L B D2 L' F
L' D2 F' L F' B' U2
L' D2 F' L B' F' U2
F U2 L B2 D2 L' F
R D2 F R' F U2 F
L' D2 F2 L D B' U2
L' D2 F2 L D' B' U2
L' D2 F2 L D2 B' U2
L' D2 F2 L B' U2 D
L' D2 F2 L B' U2 D'
L' D2 F2 L B' U2 D2
L' D2 F2 L B' D U2
L' D2 F2 L B' D' U2
L' D2 F2 L B' D2 U2
R' D2 F2 R2 U2 L' F'
B' U2 R D F' R' B'
B' U2 R D' F' R' B'
R' D2 F2 D B U2 L'
B' U2 R D2 F' R' B'
R' D2 F2 D' B U2 L'
B' U2 R F R' F2 B'
B' U2 R F R' B' F2
R' D2 F2 D2 B U2 L'
R' D2 F2 B R U2 L'
B' U2 R F' R B' R2
R' D2 F2 B R' U2 L'
B' U2 R F' R' D B'
B' U2 R F' R' D' B'
B' U2 R F' R' D2 B'
B' U2 R F' R' B' D
B' U2 R F' R' B' D'
B' U2 R F' R' B' D2
R' D2 F2 B R2 U2 L'
B' U2 R F' R2 B' R
R' D2 F2 B U2 L' D
R' D2 F2 B U2 L' D'
R' D2 F2 B U2 L' D2
R' D2 F2 B U2 D L'
R' D2 F2 B U2 D' L'
R' D2 F2 B U2 D2 L'
B' U2 R F' D R' B'
R' D2 F2 B D U2 L'
L2 D2 F2 L B' U2 R2
B' U2 R F' D' R' B'
R' D2 F2 B D' U2 L'
B' U2 R F' D2 R' B'
R' D2 F2 B D2 U2 L'
L2 D2 F2 L' U2 R2 F
L2 D2 F2 L' U2 F R2
B' U2 R F2 R' F B'
B' U2 R F2 R' B' F
F' U2 R F R' F2 B2
F' U2 R F R' B2 F2
F' U2 R F' R B2 R2
F' U2 R F' R' B2 D
F' U2 R F' R' B2 D'
F' U2 R F' R' B2 D2
F' U2 R F' R2 B2 R
F' U2 R F2 R' F B2
F' U2 R F2 R' B2 F
B' U2 R B' D2 F' R
F2 U2 R F R' F2 B2
F2 U2 R F R' B2 F2
R' D2 B R U2 D2 B2
R' D2 B R D2 U2 B2
R' D2 B R F2 U2 D
R' D2 B R F2 U2 D'
R' D2 B R F2 U2 D2
R' D2 B R F2 D U2
R' D2 B R F2 D' U2
R' D2 B R F2 D2 U2
F2 U2 R F' R B2 R2
F2 U2 R F' R' B2 D
F2 U2 R F' R' B2 D'
F2 U2 R F' R' B2 D2
F2 U2 R F' R2 B2 R
R' D2 B R' F2 R2 U2
F2 U2 R F2 R' F B2
F2 U2 R F2 R' B2 F
R2 D2 F2 R B U2 L2
R2 D2 F2 R' U2 L2 F'
R' D2 B R2 F2 R' U2
R2 D2 F2 R' U2 F' L2
R2 D2 F2 U2 L F L
R' D2 B D2 R U2 B2
L D2 F2 L B' U2 R
L D2 F2 L' U2 R F
R' D2 B F2 R U2 L'
R' D2 B F2 R' U2 L'
R' D2 B F2 R2 U2 L'
B U2 R F R' F2 B
B U2 R F R' B F2
R' D2 B F2 U2 L' D
R' D2 B F2 U2 L' D'
R' D2 B F2 U2 L' D2
R' D2 B F2 U2 D L'
R' D2 B F2 U2 D' L'
R' D2 B F2 U2 D2 L'
R' D2 B F2 D U2 L'
R' D2 B F2 D' U2 L'
R' D2 B F2 D2 U2 L'
B' U2 R' B' R D2 F2
B U2 R F' R' D B
B U2 R F' R' D' B
B U2 R F' R' D2 B
B U2 R F' R' B D
B U2 R F' R' B D'
B U2 R F' R' B D2
B' U2 R' B' D2 R F2
B U2 R F2 R' F B
B U2 R F2 R' B F
R' D2 B' R F2 B2 U2
R' D2 B' R B2 F2 U2
R D2 F2 R' U2 D F
R D2 F2 R' U2 D' F
R D2 F2 R' U2 D2 F
R D2 F2 R' U2 F D
R D2 F2 R' U2 F D'
R D2 F2 R' U2 F D2
R D2 F2 R' D U2 F
R D2 F2 R' D' U2 F
R D2 F2 R' D2 U2 F
R D2 F2 R' B U2 F
R D2 F2 R' B' U2 F
R D2 F2 R' B2 U2 F
F U2 R F R' F2 B2
F U2 R F R' B2 F2
F U2 R F' R B2 R2
F U2 R F' R' B2 D
F U2 R F' R' B2 D'
F U2 R F' R' B2 D2
F U2 R F' R2 B2 R
L D2 F2 U2 D2 R F'
F U2 R F2 R' F B2
F U2 R F2 R' B2 F
R D2 F2 D R' U2 F
L D2 F2 D2 U2 R F'
R D2 F2 D' R' U2 F
R D2 F2 D2 R' U2 F
D U2 B U' L2 R' U
D U2 B U' R' L2 U
R D2 F2 B2 U2 F L
L D2 B L' F2 U2 F'
B' U2 R2 B' R' F' R'
R' D2 B2 R F2 B' U2
R' D2 B2 R B' F2 U2
F' U2 R2 B2 R' F' R'
F2 U2 R2 B2 R' F' R'
B' U2 D B' U L U'
L D2 B' L' F2 U2 F'
F U2 R2 B2 R' F' R'
B' U2 D2 L' F L B'
D2 F L B' L' F U2
L D2 B2 L' F2 U2 F'
B U2 D B U' R' U
B' U2 D2 B' L' F L
U2 F L B2 D2 L' F
B' U2 F R F' R' B'
R D2 B2 F2 U2 F L
F' U2 F R F' R' B2
B U2 D2 L' F L B
F2 U2 F R F' R' B2
B' U2 F B' R F' R'
B U2 D2 B L' F L
F' U2 F B2 R F' R'
R F L F2 B2 L R
R F L F2 B2 R L
B' U2 F' R F' R' B'
R F L B2 F2 L R
R F L B2 F2 R L
F2 U2 F B2 R F' R'
F' U2 F' R F' R' B2
B U2 F R F' R' B
F2 U2 F' R F' R' B2
F U2 F R F' R' B2
B' U2 F' B' R F' R'
B U2 F B R F' R'
F' U2 F' B2 R F' R'
R F L' F2 B2 L R'
R F L' F2 B2 R' L
B' U2 F2 R F' R' B'
R F L' B2 L R' F2
R F L' B2 L F2 R'
L' F R F' B2 L R'
L' F R F' B2 R' L
R F L' B2 R' L F2
R F L' B2 R' F2 L
F2 U2 F' B2 R F' R'
R F L' B2 F2 L R'
R F L' B2 F2 R' L
F' U2 F2 R F' R' B2
B U2 F' R F' R' B
F U2 F B2 R F' R'
L' F R B2 L F' R'
L' F R B2 F' L R'
L' F R B2 F' R' L
F2 U2 F2 R F' R' B2
U2 F R F R' F2 B2
U2 F R F R' B2 F2
U2 F R F' R B2 R2
U2 F R F' R' B2 D
U2 F R F' R' B2 D'
U2 F R F' R' B2 D2
U2 F R F' R2 B2 R
F U2 F' R F' R' B2
B' U2 F2 B' R F' R'
U2 F R F2 R' F B2
U2 F R F2 R' B2 F
B U2 F' B R F' R'
F' U2 F2 B2 R F' R'
B' U2 B R F' R' B2
U F R U F' L' B2
U F R U F' B2 L'
U F R U B2 F' L'
F2 U2 F2 B2 R F' R'
F' U2 B R F' R' B
B U2 F2 R F' R' B
F U2 F' B2 R F' R'
F2 U2 B R F' R' B
F U2 F2 R F' R' B2
R2 F R' U2 F' B2 L
R2 F R' U2 B2 L F'
R2 F R' U2 B2 F' L
B' U2 B' L D2 L' F
B U2 F2 B R F' R'
B' U2 B' R D F' R'
B' U2 B' R D' F' R'
B' U2 B' R D2 F' R'
B' U2 B' R F R' F2
B' U2 B' R F' R' D
B' U2 B' R F' R' D'
B' U2 B' R F' R' D2
B' U2 B' R F' D R'
B' U2 B' R F' D' R'
B' U2 B' R F' D2 R'
B' U2 B' R F2 R' F
B U2 B L D2 L' F
F' U2 B' R F' R' B'
B' U2 B' U' R U F'
B U2 B R D F' R'
B U2 B R D' F' R'
B U2 B R D2 F' R'
B U2 B R F R' F2
B U2 B R F' R' D
B U2 B R F' R' D'
B U2 B R F' R' D2
B U2 B R F' D R'
B U2 B R F' D' R'
B U2 B R F' D2 R'
B U2 B R F2 R' F
F U2 F2 B2 R F' R'
F2 U2 B' R F' R' B'
B' U2 B' D2 L' F L
B U2 B U' R U F'
B' U2 B' F R F' R'
R F R' U2 F2 B2 D
R F R' U2 F2 B2 D'
R F R' U2 F2 B2 D2
R F R' U2 B2 F2 D
R F R' U2 B2 F2 D'
R F R' U2 B2 F2 D2
B' U2 B' F' R F' R'
F U2 B R F' R' B
B' U2 B' F2 R F' R'
B U2 B D2 L' F L
R F R' D2 F2 B2 U2
R F R' D2 B2 F2 U2
B U2 B F R F' R'
R F R' F U2 F B2
R F R' F U2 B2 F
U2 F R2 B2 R' F' R'
B U2 B F' R F' R'
R F R' F' U2 F' B2
R F R' F' U2 B2 F'
B U2 B F2 R F' R'
B' U2 B2 R F' R' B
F' U2 B2 L D2 L' F
R F R' B U2 F2 B
R F R' B U2 B F2
R F R' B' U2 F2 B'
R F R' B' U2 B' F2
U2 F U R U' F' B2
U2 F U R U' B2 F'
F' U2 B2 R D F' R'
F' U2 B2 R D' F' R'
F' U2 B2 R D2 F' R'
F' U2 B2 R F R' F2
F' U2 B2 R F' R' D
F' U2 B2 R F' R' D'
F' U2 B2 R F' R' D2
F' U2 B2 R F' D R'
F' U2 B2 R F' D' R'
F' U2 B2 R F' D2 R'
F' U2 B2 R F2 R' F
F2 U2 B2 L D2 L' F
D' F U' L' R2 U' D
D' F U' L' R2 U' D'
D' F U' L' R2 U' D2
D' F U' L' R2 D U'
D' F U' L' R2 D' U'
D' F U' L' R2 D2 U'
B U2 B' R F' R' B2
D' F U' L' U' D B2
D' F U' L' D U' B2
F2 U2 B2 R D F' R'
F2 U2 B2 R D' F' R'
F' U2 B2 U' R U F'
F2 U2 B2 R D2 F' R'
F2 U2 B2 R F R' F2
F2 U2 B2 R F' R' D
F2 U2 B2 R F' R' D'
F2 U2 B2 R F' R' D2
F2 U2 B2 R F' D R'
F2 U2 B2 R F' D' R'
F2 U2 B2 R F' D2 R'
F2 U2 B2 R F2 R' F
D' F U' R2 L' U' D
D' F U' R2 L' U' D'
D' F U' R2 L' U' D2
D' F U' R2 L' D U'
D' F U' R2 L' D' U'
D' F U' R2 L' D2 U'
D' F U' R2 D L' U'
D' F U' R2 D' L' U'
D' F U' R2 D2 L' U'
R F R2 U2 F2 L' B2
R F R2 U2 F2 B2 L'
D' F U' D L' U' B2
R F R2 U2 B2 F2 L'
F U2 B' R F' R' B'
F2 U2 B2 U' R U F'
F' U2 B2 D2 L' F L
F' U2 B2 F R F' R'
F' U2 B2 F' R F' R'
F' U2 B2 F2 R F' R'
R F R2 F2 L' B2 R'
F2 U2 B2 D2 L' F L
F2 U2 B2 F R F' R'
F2 U2 B2 F' R F' R'
U2 F U' R U F' B2
U2 F U' R U B2 F'
F2 U2 B2 F2 R F' R'
B U2 B2 R F' R' B'
F U2 B2 L D2 L' F
F U2 B2 R D F' R'
F U2 B2 R D' F' R'
F U2 B2 R D2 F' R'
F U2 B2 R F R' F2
F U2 B2 R F' R' D
F U2 B2 R F' R' D'
F U2 B2 R F' R' D2
F U2 B2 R F' D R'
F U2 B2 R F' D' R'
F U2 B2 R F' D2 R'
F U2 B2 R F2 R' F
L' F U2 R F' B2 R'
L' F U2 R B2 F' R'
L' F U2 R2 B2 R' F'
F U2 B2 U' R U F'
R' F U2 B2 L2 F L'
F U2 B2 D2 L' F L
F U2 B2 F R F' R'
F U2 B2 F' R F' R'
F U2 B2 F2 R F' R'
L' F U2 B2 R F' R2
D' F D U' L' U' B2
D2 F D F U' L' U'
R F U2 L F2 B2 L
R F U2 L B2 L F2
R F U2 L B2 F2 L
R F U2 L' F2 B2 L
R F U2 L' B2 L F2
R F U2 L' B2 F2 L
R F U2 L2 F2 B2 L
R F U2 L2 B2 L F2
R F U2 L2 B2 F2 L
D' F D' F2 U R U
R F U2 F' B2 L F'
R F U2 F2 L B2 L
R F U2 F2 L' B2 L
R F U2 F2 L2 B2 L
R F U2 F2 B2 L D
R F U2 F2 B2 L D'
R F U2 F2 B2 L D2
R F U2 F2 B2 D L
R F U2 F2 B2 D' L
R F U2 F2 B2 D2 L
R F U2 B2 L F2 D
R F U2 B2 L F2 D'
R F U2 B2 L F2 D2
R F U2 B2 L' F2 L2
R F U2 B2 F' L F'
R F U2 B2 F2 L D
R F U2 B2 F2 L D'
R F U2 B2 F2 L D2
R F U2 B2 F2 D L
R F U2 B2 F2 D' L
R F U2 B2 F2 D2 L
L' F D2 L F2 B' U2
L' F D2 L B' F2 U2
R' F D2 F2 B R' U2
R' F D2 B R' F2 U2
R' F D2 B F2 R' U2
L' F D2 F2 L B' U2
R' F B R2 F' R U2
D' F B U' L' R2 U'
D' F B U' R2 L' U'
U2 F B R F' R' B
D' F B' U' L' R2 U'
D' F B' U' R2 L' U'
R F D2 R' F2 B2 U2
R F D2 R' B2 F2 U2
D F B U L2 R' U
D F B U R' L2 U
R F D2 F2 R' B2 U2
U2 F B' R F' R' B'
R F D2 F2 B2 U2 L
R F D2 B2 F2 U2 L
D' F B2 U' L' R2 U'
D' F B2 U' R2 L' U'
U2 F B2 L D2 L' F
U2 F B2 R D F' R'
U2 F B2 R D' F' R'
U2 F B2 R D2 F' R'
U2 F B2 R F R' F2
U2 F B2 R F' R' D
U2 F B2 R F' R' D'
U2 F B2 R F' R' D2
U2 F B2 R F' D R'
U2 F B2 R F' D' R'
U2 F B2 R F' D2 R'
U2 F B2 R F2 R' F
U2 F B2 U' R U F'
U2 F B2 D2 L' F L
D2 F' L B' L' F' U2
R F B' U2 F2 B' L
R F B' U2 B' L F2
R F B' U2 B' F2 L
R F B2 L R F2 R
R F B2 L R' F2 R
R F B2 L R2 F2 R
R F B2 L F2 R D
R F B2 L F2 R D'
R F B2 L F2 R D2
R F B2 L F2 D R
R F B2 L F2 D' R
R F B2 L F2 D2 R
B' D U2 B' U L U'
R F B2 R L F2 R
R F B2 R' L F2 R
R F B2 R2 L F2 R
D2 F' L' F' L U2 F2
U2 F' L B2 D2 L' F
B D U2 B U' R' U
R F' L B2 L D2 R2
U' F' R F U' F2 B2
U' F' R F U' B2 F2
L' F' R F' B2 L R'
L' F' R F' B2 R' L
R F' L' B2 L R' D
R F' L' B2 L R' D'
R F' L' B2 L R' D2
R F' L' B2 L D R'
R F' L' B2 L D' R'
R F' L' B2 L D2 R'
R F' L' B2 R' L D
R F' L' B2 R' L D'
R F' L' B2 R' L D2
R F' L' B2 R' D L
R F' L' B2 R' D' L
R F' L' B2 R' D2 L
R F' L' B2 D L R'
R F' L' B2 D R' L
R F' L' B2 D' L R'
R F' L' B2 D' R' L
R F' L' B2 D2 L R'
R F' L' B2 D2 R' L
L' F' R B2 L F' R'
L' F' R B2 F' L R'
L' F' R B2 F' R' L
U2 F' R F R' F2 B2
U2 F' R F R' B2 F2
U2 F' R F' R B2 R2
U2 F' R F' R' B2 D
U2 F' R F' R' B2 D'
U2 F' R F' R' B2 D2
U2 F' R F' R2 B2 R
U2 F' R F2 R' F B2
U2 F' R F2 R' B2 F
B' D B U R' U B2
R F' L2 B2 D2 L R2
R F' L2 B2 D2 R2 L
F' D B U L2 R' U
F' D B U R' L2 U
B2 D B U R' U B'
F2 D B U L2 R' U
F2 D B U R' L2 U
U F' R F U F2 B2
U F' R F U B2 F2
R2 F' R' U2 F' B2 L
R2 F' R' U2 B2 L F'
R2 F' R' U2 B2 F' L
R' F' R2 F' L' B2 R'
L F' R F' B2 L R
L F' R F' B2 R L
L F' R B2 L F' R
L F' R B2 F' L R
L F' R B2 F' R L
D' F' U R U2 R U'
B2 D B' U' L U' B
D' F' U D R U B2
R F' R' U2 B2 D2 F2
D' F' U D2 L2 R U
D' F' U D2 R L2 U
F D B U L2 R' U
F D B U R' L2 U
U2 F' R2 B2 R' F' R'
R F' R' D2 F2 U2 F2
R F' R' F U2 F' B2
R F' R' F U2 B2 F'
R F' R' F' U2 F B2
R F' R' F' U2 B2 F
R F' R' F2 U2 F2 B2
R F' R' F2 U2 B2 F2
U2 F' U R U' F' B2
U2 F' U R U' B2 F'
B D B' U' L U' B2
D' F' U' R2 U2 R' U
U2 F' U' R U F' B2
U2 F' U' R U B2 F'
L' F' U2 R F' B2 R'
L' F' U2 R B2 F' R'
L' F' U2 R2 B2 R' F'
L' F' U2 B2 R F' R2
D' F' D U R U B2
D2 F' D F' U R U
U' F' D' R2 F L' U'
L F' U2 R F' R B2
L F' U2 R F' B2 R
L F' U2 R B2 F' R
U' F' D' F L' R2 U'
U' F' D' F R2 L' U'
R F' U2 R' U2 R B2
R F' U2 R' U2 B2 R
L F' U2 F' R F' B2
L F' U2 F' R B2 F'
L F' U2 F' B2 R F'
D' F' D' F2 U' L' U'
L F' U2 B2 R F' R
L F' U2 B2 F' R F'
R F' U2 B2 L D2 F2
R F' U2 B2 D2 L F2
R F' U2 B2 D2 F2 L
L' F' D2 L F2 B' U2
L' F' D2 L B' F2 U2
D' F' D2 U L2 R U
D' F' D2 U R L2 U
L' F' D2 F2 L B' U2
R' F' B R2 F' U2 L'
R' F' B U2 L B L
R' F' B U2 L' B L
R' F' B U2 L2 B L
R' F' B U2 D B L
R' F' B U2 D' B L
R' F' B U2 D2 B L
R' F' B U2 B L D
R' F' B U2 B L D'
R' F' B U2 B L D2
R' F' B U2 B D L
R' F' B U2 B D' L
R' F' B U2 B D2 L
R' F' B D U2 B L
R' F' B D' U2 B L
R' F' B D2 U2 B L
U2 F' B R F' R' B
R F' D2 R' F2 U2 F2
D F' B U L2 R' U
D F' B U R' L2 U
U2 F' B' R F' R' B'
R F' D2 F2 R' U2 F2
U2 F' B2 L D2 L' F
U2 F' B2 R D F' R'
U2 F' B2 R D' F' R'
U2 F' B2 R D2 F' R'
U2 F' B2 R F R' F2
U2 F' B2 R F' R' D
U2 F' B2 R F' R' D'
U2 F' B2 R F' R' D2
U2 F' B2 R F' D R'
U2 F' B2 R F' D' R'
U2 F' B2 R F' D2 R'
U2 F' B2 R F2 R' F
D2 F2 L D B' L' U2
U2 F' B2 U' R U F'
D2 F2 L D' B' L' U2
D2 F2 L D2 B' L' U2
U2 F' B2 D2 L' F L
D2 F2 L B L' B2 U2
D2 F2 L B' L' U2 D
D2 F2 L B' L' U2 D'
D2 F2 L B' L' U2 D2
D2 F2 L B' L' D U2
D2 F2 L B' L' D' U2
D2 F2 L B' L' D2 U2
D2 F2 L B' D L' U2
D2 F2 L B' D' L' U2
D2 F2 L B' D2 L' U2
D2 F2 L B2 L' B U2
R' F2 L' R' B2 R' F'
R' F2 L' R2 F' B2 R'
R' F2 L' R2 B2 F' R'
R F' B2 L U2 L' U2
R F' B2 L F2 R F2
R F' B2 L2 D2 L' R2
R F' B2 L2 D2 R2 L'
U2 F2 L B2 D2 L' F
D2 F2 L' B' U2 F R
D2 F2 L' B2 U2 R' F
D2 F2 L' B2 U2 F R'
L F2 L R F' B2 L
L F2 L R B2 L F'
L F2 L R B2 F' L
F' D' F U' L' R2 U'
F' D' F U' R2 L' U'
L F2 L U2 R F' B2
L F2 L U2 R B2 F'
L F2 L U2 B2 R F'
F2 D' F U' L' R2 U'
F2 D' F U' R2 L' U'
B' D' F' U R U B'
L F2 L' R F' B2 L
L F2 L' R B2 L F'
L F2 L' R B2 F' L
L F2 L' U2 R F' B2
L F2 L' U2 R B2 F'
