U B2 L' R'
U B2 R' L'
U' L U2 L2 B2
U' L U2 B2 L2
U L' B2 D2 R2
U R B2 L' R'
U R B2 R' L'
U R' B2 L' R'
U R' B2 R' L'
U R2 B2 L' R'
U R2 B2 R' L'
B U L' B R'
B U B L' R'
B U B R' L'
U B L' B R'
U B2 L' R' D
U B2 L' R' D'
U B2 L' R' D2
U B2 L' D R'
U B2 L' D' R'
U B2 L' D2 R'
U B2 R' L' D
U B2 R' L' D'
U B2 R' L' D2
U B2 R' D L'
U B2 R' D' L'
U B2 R' D2 L'
U B2 D L' R'
U B2 D R' L'
U B2 D' L' R'
U B2 D' R' L'
U B2 D2 L' R'
U B2 D2 R' L'
U' R2 U2 B2 D' R' L'
U' R2 U2 B2 D2 L' R'
U' R2 U2 B2 D2 R' L'
U R2 U2 L U2 L2 B2
U R2 U2 L U2 B2 L2
B2 R2 D L' R D2 F2
R' U2 B2 L' R' D' F2
B2 R2 D L' D2 R F2
B2 R2 D R L' D2 F2
B2 R2 D R D2 L' F2
R' U2 B2 R' L' D' F2
R' U2 B2 R' D' L' F2
R2 U2 B2 L' D' R' F2
R2 U2 B2 L' D' F2 R'
B2 R2 D' L R F2 L2
B2 R2 D' L' R F2 D
B2 R2 D' L' R F2 D'
B2 R2 D' L' R F2 D2
B2 R2 D' L' R' F2 R2
B2 R2 D' L' R2 F2 R'
B2 R2 D' L2 R F2 L
B2 R2 D' R L F2 L2
B2 R2 D' R L' F2 D
B2 R2 D' R L' F2 D'
B2 R2 D' R L' F2 D2
B2 R2 D' R L2 F2 L
B2 R2 D' R' L' F2 R2
B2 R2 D' R2 L' F2 R'
R U2 B2 L' R' D F2
L U2 B2 L2 U L2 U'
R U2 B2 L' D R' F2
R U2 B2 L' D F2 R'
L U2 B2 L2 D F2 D
L U2 B2 L2 D F2 D'
L U2 B2 L2 D F2 D2
L U2 B2 L2 F D F2
L U2 B2 L2 F' D F2
L U2 B2 L2 F2 D F2
R2 U2 B2 D' L' R' F2
R2 U2 B2 D' L' F2 R'
R2 U2 B2 D' R' L' F2
B' R2 D' B' L' R' F2
B' R2 D' B' L' F2 R'
B' R2 D' B' R' L' F2
R U2 B2 R' L' D F2
U' R2 D2 L F2 U2 L2
L U2 B2 F L2 D F2
B2 R2 D2 R D L' F2
L U2 B2 F' L2 D F2
L U2 B2 F2 L2 D F2
D R2 D' B2 L' R' F2
D R2 D' B2 L' F2 R'
D R2 D' B2 R' L' F2
U' R2 D2 F2 L R U2
U' R2 D2 F2 R L U2
U R2 D2 L' D2 R2 B2
U R2 D2 L' D2 B2 R2
L D L F2 L U R
L' D L2 U L2 D R2
L' D L2 U2 F2 U' L2
L' D L2 D F2 U R2
L2 D L2 U L' D2 R2
L2 D L2 U' L U2 L2
L2 D L2 B2 U L' R'
L2 D L2 B2 U R' L'
U' R2 F2 L R U2 B2
L D L2 D' B2 U L2
U' R2 F2 R L U2 B2
U' R2 F2 R U2 B2 R'
L D L2 F2 U D2 R2
L D L2 F2 U' L2 U2
L D L2 F2 D' B2 U
L D L2 F2 D2 U R2
B2 R2 F2 D' F2 L' R
B2 R2 F2 D' F2 R L'
U R2 F' B2 R' F L'
U2 R2 B U' L' B R'
U2 R2 B U' B L' R'
U2 R2 B U' B R' L'
B' R2 B' L' D' R' F2
B' R2 B' L' D' F2 R'
U R2 B L B L2 R'
U R2 B L B R' L2
U R2 B L' B R' D
U R2 B L' B R' D'
U R2 B L' B R' D2
U R2 B L' B D R'
U R2 B L' B D' R'
U R2 B L' B D2 R'
B' R2 B' D' L' R' F2
B' R2 B' D' L' F2 R'
B' R2 B' D' R' L' F2
U' R2 B2 L' R' D2 F2
U' R2 B2 L' D2 R' F2
U' R2 B2 L' D2 F2 R'
U' R2 B2 R' L' D2 F2
U' R2 B2 R' D2 L' F2
F2 R2 B2 L D' R' F2
F2 R2 B2 L D' F2 R'
U R2 B' R B' L' R'
U R2 B' R B' R' L'
U R2 B' R' B' L' R'
U R2 B' R' B' R' L'
U R2 B' R2 B' L' R'
U R2 B' R2 B' R' L'
U' R2 B2 D2 L' R' F2
U' R2 B2 D2 L' F2 R'
U' R2 B2 D2 R' L' F2
L D U L2 F2 U F2
U R2 B' D B' L' R'
U R2 B' D B' R' L'
U R2 B' D' B' L' R'
U R2 B' D' B' R' L'
F2 R2 B2 D' L R' F2
F2 R2 B2 D' L F2 R'
F2 R2 B2 D' R' L F2
F2 R2 B2 D' R' F2 L
U R2 B' D2 B' L' R'
F2 R2 B2 D' F2 L R'
U R2 B' D2 B' R' L'
F2 R2 B2 D' F2 R' L
U' D L U L U L
L D U F2 L2 U F2
U R2 B2 L' R2 D R
U R2 B2 L' R2 D' R
U R2 B2 L' R2 D2 R
U R2 B2 L' D R' D
U R2 B2 L' D R' D'
U R2 B2 L' D R' D2
U R2 B2 L' D' R' D
U R2 B2 L' D' R' D'
U R2 B2 L' D' R' D2
U R2 B2 L' D2 R' D
U R2 B2 L' D2 R' D'
U R2 B2 L' D2 R' D2
U R2 B2 L' F' R' F
U R2 B2 L' F2 R' F2
U R2 B2 L2 R' D L
U R2 B2 L2 R' D' L
U R2 B2 L2 R' D2 L
U R2 B2 L2 D L R'
U R2 B2 L2 D R' L
U R2 B2 L2 D' L R'
U R2 B2 L2 D' R' L
U R2 B2 L2 D2 L R'
U R2 B2 L2 D2 R' L
U R2 B2 R' L2 D L
U R2 B2 R' L2 D' L
U R2 B2 R' L2 D2 L
U R2 B2 R' D L' D
U R2 B2 R' D L' D'
U R2 B2 R' D L' D2
U R2 B2 R' D' L' D
U R2 B2 R' D' L' D'
U R2 B2 R' D' L' D2
U R2 B2 R' D2 L' D
U R2 B2 R' D2 L' D'
U R2 B2 R' D2 L' D2
U R2 B2 R' B' L' B
U R2 B2 R' B2 L' B2
U R2 B2 R2 L' D R
U R2 B2 R2 L' D' R
U R2 B2 R2 L' D2 R
U R2 B2 R2 D L' R
U R2 B2 R2 D R L'
U R2 B2 R2 D' L' R
U R2 B2 R2 D' R L'
U R2 B2 R2 D2 L' R
U R2 B2 R2 D2 R L'
D2 U L F2 U2 L2 F2
D2 U L F2 U2 F2 L2
U R2 B2 D L' R' D
U R2 B2 D L' R' D'
U R2 B2 D L' R' D2
U R2 B2 D L' D R'
U R2 B2 D L' D' R'
U R2 B2 D L' D2 R'
U R2 B2 D R' L' D
U R2 B2 D R' L' D'
U R2 B2 D R' L' D2
U R2 B2 D R' D L'
U R2 B2 D R' D' L'
U R2 B2 D R' D2 L'
U R2 B2 D' L' R' D
U R2 B2 D' L' R' D'
U R2 B2 D' L' R' D2
U R2 B2 D' L' D R'
U R2 B2 D' L' D' R'
U R2 B2 D' L' D2 R'
U R2 B2 D' R' L' D
U R2 B2 D' R' L' D'
U R2 B2 D' R' L' D2
U R2 B2 D' R' D L'
U R2 B2 D' R' D' L'
U R2 B2 D' R' D2 L'
D2 U L' R D2 R2 B2
D2 U L' R D2 B2 R2
U R2 B2 D2 L' R' D
U R2 B2 D2 L' R' D'
U R2 B2 D2 L' R' D2
U R2 B2 D2 L' D R'
U R2 B2 D2 L' D' R'
U R2 B2 D2 L' D2 R'
D2 U L' R' D2 R2 B2
U R2 B2 D2 R' L' D
U R2 B2 D2 R' L' D'
U R2 B2 D2 R' L' D2
D2 U L' R' D2 B2 R2
U R2 B2 D2 R' D L'
U R2 B2 D2 R' D' L'
U R2 B2 D2 R' D2 L'
D2 U L' R2 D2 R2 B2
D2 U L' R2 D2 B2 R2
U R2 B2 F' R' F L'
D2 U L' U2 L2 F2 U2
L' D F L2 B' U L2
D2 U L' U2 F2 L2 U2
B2 U L' R' U R U'
D' U L' D B2 D R2
B2 U L' R2 D R B2
B2 U L' R2 D B2 R
D' U L' D2 R2 D' B2
D2 U L' D2 R B2 R
D2 U L' D2 R2 B2 D
D2 U L' D2 R2 B2 D'
D2 U L' D2 R2 B2 D2
D2 U L' D2 B' R2 B'
D2 U L' D2 B2 R2 D
D2 U L' D2 B2 R2 D'
D2 U L' D2 B2 R2 D2
B U L B L2 R' D
B U L B L2 R' D'
B U L B L2 R' D2
B U L B L2 D R'
B U L B L2 D' R'
B U L B L2 D2 R'
B U L B R' L2 D
B U L B R' L2 D'
B U L B R' L2 D2
D2 U L' B D2 R2 B2
D2 U L' B D2 B2 R2
D2 U L' B' D2 R2 B2
D2 U L' B' D2 B2 R2
B U L' R B R' B
D2 U L' B2 D2 R2 B2
D2 U L' B2 D2 B2 R2
B U L' F' B R' F
B U L' F2 B R' F2
B U L' B R2 D R
B U L' B R2 D' R
B U L' B R2 D2 R
B U L' B D R' D
B U L' B D R' D'
B U L' B D R' D2
B U L' B D' R' D
B U L' B D' R' D'
B U L' B D' R' D2
B U L' B D2 R' D
B U L' B D2 R' D'
B U L' B D2 R' D2
B U L' B F' R' F
B U L' B F2 R' F2
B U L' B' R B2 R'
B U L' B' R' B2 R'
B U L' B' R2 B2 R'
B U L' B2 R B' R'
B U L' B2 R' B' R'
B U L' B2 R2 B' R'
B U L' B2 D B' R'
B U L' B2 D' B' R'
B U L' B2 D2 B' R'
D2 U R L' D2 R2 B2
D2 U R L' D2 B2 R2
D2 U R D2 B2 L' R'
D2 U R D2 B2 R' L'
L2 D F2 L2 U L' R
L2 D F2 L2 U R L'
B' U R B' L' D' R2
B' U R B' D' L' R2
B' U R B' D' R2 L'
B U R L' B R' B
D2 U R' L' D2 R2 B2
D2 U R' L' D2 B2 R2
B2 U R' L' U R U'
D U R D' B2 L' R'
D U R D' B2 R' L'
B2 U R' U R U' L'
L D F2 L2 U D2 R2
L D F2 L2 U' L2 U2
L D F2 L2 D' B2 U
L D F2 L2 D2 U R2
D2 U R' D2 B2 L' R'
D2 U R' D2 B2 R' L'
B U R B L' R' B
B U R B R' L' B
B U R B R' B L'
U D R D' B2 L' R'
U D R D' B2 R' L'
D2 U R2 L' D2 R2 B2
D2 U R2 L' D2 B2 R2
F2 U R' B2 D2 L2 R'
F2 U R' B2 D2 R' L2
B2 U R2 L' D R B2
B2 U R2 L' D B2 R
D U R' D' B2 L' R'
D U R' D' B2 R' L'
D2 U R2 D2 B2 L' R'
D2 U R2 D2 B2 R' L'
B2 U R2 D L' R B2
B2 U R2 D L' B2 R
B2 U R2 D R L' B2
B2 U R2 D R B2 L'
B2 U R2 D B2 L' R
B2 U R2 D B2 R L'
U D R' D' B2 L' R'
U D R' D' B2 R' L'
F2 U R2 B2 L R' D
F2 U R2 B2 L R' D'
F2 U R2 B2 L R' D2
F2 U R2 B2 L D R'
F2 U R2 B2 L D' R'
F2 U R2 B2 L D2 R'
F2 U R2 B2 R' L D
F2 U R2 B2 R' L D'
F2 U R2 B2 R' L D2
F2 U R2 B2 R' D L
F2 U R2 B2 R' D' L
F2 U R2 B2 R' D2 L
F2 U R2 B2 D L R'
F2 U R2 B2 D R' L
F2 U R2 B2 D' L R'
F2 U R2 B2 D' R' L
F2 U R2 B2 D2 L R'
F2 U R2 B2 D2 R' L
D U R2 D' B2 L' R'
D U R2 D' B2 R' L'
U D R2 D' B2 L' R'
U D R2 D' B2 R' L'
B U D' L' D B R'
D2 U F2 L R U2 F2
D2 U F2 L U2 F2 L'
D2 U F2 R L U2 F2
B U D2 L' D2 B R'
F' U F B2 L' F' R'
B2 U F' U' R' F L'
B2 U F' U' F L' R'
B2 U F' U' F R' L'
D' U B2 L' D R' B2
D2 U B2 L' R' D2 B2
D2 U B2 L' D2 R' B2
D2 U B2 R' L' D2 B2
B2 U F2 U' F2 L' R'
B2 U F2 U' F2 R' L'
D2 U B2 R' D2 L' B2
D2 U B2 R' D2 B2 L'
B U F' B R' F L'
D' U B2 D L' R' B2
D' U B2 D R' L' B2
D' U B2 D R' B2 L'
D2 U B2 D2 L' R' B2
D2 U B2 D2 R' L' B2
D2 U B2 D2 R' B2 L'
F2 U F2 B2 L' R' F2
F2 U F2 B2 L' F2 R'
F2 U F2 B2 R' L' F2
D2 U' L R F2 U2 L2
D2 U' L R' F2 U2 L2
D2 U' L R2 F2 U2 L2
D' U' L U' R2 U' L2
U' D' L U' R2 U' L2
D' U' L U2 L2 D B2
U' D' L U2 L2 D B2
D U B2 R' D' L' B2
D U B2 R' D' B2 L'
D2 U' L U2 L2 D2 B2
D2 U' L D2 R2 U2 B2
B U B L' R2 D R
B U B L' R2 D' R
B U B L' R2 D2 R
B U B L' D R' D
B U B L' D R' D'
B U B L' D R' D2
B U B L' D' R' D
B U B L' D' R' D'
B U B L' D' R' D2
B U B L' D2 R' D
B U B L' D2 R' D'
B U B L' D2 R' D2
B U B L' F' R' F
B U B L' F2 R' F2
D2 U' L F U2 L2 B'
B U B L2 R' D L
B U B L2 R' D' L
B U B L2 R' D2 L
B U B L2 D L R'
B U B L2 D R' L
B U B L2 D' L R'
B U B L2 D' R' L
B U B L2 D2 L R'
B U B L2 D2 R' L
U D B2 R' D' L' B2
U D B2 R' D' B2 L'
D U B2 D' L' R' B2
D U B2 D' R' L' B2
D U B2 D' R' B2 L'
D2 U' L F2 R U2 L2
D2 U' L F2 R' U2 L2
D2 U' L F2 R2 U2 L2
D2 U' L F2 U2 L2 D
D2 U' L F2 U2 L2 D'
D2 U' L F2 U2 L2 D2
D2 U' L F2 D2 R2 U2
B U B R' L2 D L
B U B R' L2 D' L
B U B R' L2 D2 L
B U B R' D L' D
B U B R' D L' D'
B U B R' D L' D2
B U B R' D' L' D
B U B R' D' L' D'
B U B R' D' L' D2
B U B R' D2 L' D
B U B R' D2 L' D'
B U B R' D2 L' D2
B U B R' B' L' B
B U B R' B2 L' B2
B U B R2 L' D R
B U B R2 L' D' R
B U B R2 L' D2 R
B U B R2 D L' R
B U B R2 D R L'
B U B R2 D' L' R
B U B R2 D' R L'
B U B R2 D2 L' R
B U B R2 D2 R L'
U D B2 D' L' R' B2
U D B2 D' R' L' B2
U D B2 D' R' B2 L'
B U B D L' R' D
B U B D L' R' D'
B U B D L' R' D2
B U B D L' D R'
B U B D L' D' R'
B U B D L' D2 R'
B U B D R' L' D
B U B D R' L' D'
B U B D R' L' D2
B U B D R' D L'
B U B D R' D' L'
B U B D R' D2 L'
B U B D' L' R' D
B U B D' L' R' D'
B U B D' L' R' D2
D U' L U L U L
B U B D' L' D R'
B U B D' L' D' R'
B U B D' L' D2 R'
B U B D' R' L' D
B U B D' R' L' D'
B U B D' R' L' D2
B U B D' R' D L'
B U B D' R' D' L'
B U B D' R' D2 L'
B U B D2 L' R' D
B U B D2 L' R' D'
B U B D2 L' R' D2
B U B D2 L' D R'
B U B D2 L' D' R'
B U B D2 L' D2 R'
B U B D2 R' L' D
B U B D2 R' L' D'
B U B D2 R' L' D2
B U B D2 R' D L'
B U B D2 R' D' L'
B U B D2 R' D2 L'
F' U B' D2 B' L R'
F' U B' D2 B' R' L
B U B F' R' F L'
B U B' L' B2 D2 R2
D2 U' L' F2 L2 U2 L2
B U B' R B2 L' R'
B U B' R B2 R' L'
B U B' R' B2 L' R'
B U B' R' B2 R' L'
F2 U B2 L R' D2 L2
F' U B2 R' F L' F'
B U B' R2 B2 L' R'
B U B' R2 B2 R' L'
F2 U B2 L' R' D2 L2
F2 U B2 L2 R' D2 L2
F2 U B2 R' L D2 L2
F2 U B2 R' L' D2 L2
F2 U B2 R' L2 D2 L2
F2 U B2 R' U2 R2 U2
F2 U B2 R' D2 L2 D
F2 U B2 R' D2 L2 D'
F2 U B2 R' D2 L2 D2
F' U B2 F L' F' R'
F2 U B2 U2 R U2 R2
F2 U B2 D R' D2 L2
F2 U B2 D' R' D2 L2
F2 U B2 D2 R' D2 L2
D2 U' L2 F2 U2 L R
D2 U' L2 F2 U2 R L
B U B2 R B' L' R'
B U B2 R B' R' L'
U D' L' D B2 D R2
F2 U B2 F2 L' R' F2
F2 U B2 F2 L' F2 R'
F2 U B2 F2 R' L' F2
B U B2 R' B' L' R'
B U B2 R' B' R' L'
F2 U' L R U2 B2 D
F2 U' L R U2 B2 D'
F2 U' L R U2 B2 D2
U D' L' D2 R2 D' B2
F2 U' L R D2 F2 U2
F2 U' L R F U2 B2
F2 U' L R F' U2 B2
F2 U' L R F2 U2 B2
B U B2 R2 B' L' R'
B U B2 R2 B' R' L'
F2 U' L R2 U2 B2 L
D2 U' R L F2 U2 L2
B U B2 D B' L' R'
B U B2 D B' R' L'
F' U' L F U2 L' B2
F' U' L F U2 B2 L'
F' U' L F' R U2 B2
B U B2 D' B' L' R'
B U B2 D' B' R' L'
B U B2 D2 B' L' R'
B U B2 D2 B' R' L'
F2 U' L D2 R F2 U2
F2 U' L D2 F2 U2 L'
F2 U' L F2 U2 L' B2
F2 U' L F2 U2 B2 L'
D2 U' R F2 L R U2
D2 U' R F2 R L U2
B U' L U2 L2 B R'
B U' L U2 B L2 R'
B U' L U2 B R' L2
D2 U' R' L F2 U2 L2
B U' L B L2 R' F
B U' L B L2 F R'
B U' L B R' L2 F
L D' U2 R2 B2 U' R2
D2 U' R' F2 L R U2
D2 U' R' F2 R L U2
L D' U2 B2 R2 U' R2
D2 U' R2 L F2 U2 L2
D2 U' R2 F2 L R U2
D2 U' R2 F2 R L U2
U2 D' R2 U L U2 L2
U2 D' R2 U' L' D2 R2
B U' L2 U2 L B R'
F2 U' R L U2 B2 D
F2 U' R L U2 B2 D'
F2 U' R L U2 B2 D2
F2 U' R L D2 F2 U2
F2 U' R L F U2 B2
F2 U' R L F' U2 B2
F2 U' R L F2 U2 B2
F2 U' R U2 R B2 R'
F2 U' R U2 R' B2 R'
F2 U' R U2 R2 B2 R'
F2 U' R U2 B2 R' D
F2 U' R U2 B2 R' D'
F2 U' R U2 B2 R' D2
F2 U' R U2 B2 D R'
F2 U' R U2 B2 D' R'
F2 U' R U2 B2 D2 R'
F2 U' R D2 L F2 U2
F2 U' R D2 F2 L U2
F2 U' R F L U2 B2
U2 D' R2 B2 U' L' R'
U2 D' R2 B2 U' R' L'
F2 U' R F U2 B2 R'
F2 U' R F' L U2 B2
F2 U' R F' U2 B2 R'
F2 U' R F2 L U2 B2
F2 U' R F2 U2 B2 R'
D2 U' F' L F' R U2
F2 U' R2 L U2 B2 L
D2 U' F2 L R U2 D
D2 U' F2 L R U2 D'
D2 U' F2 L R U2 D2
D2 U' F2 L R D U2
D2 U' F2 L R D' U2
D2 U' F2 L R D2 U2
D2 U' F2 L D R U2
D2 U' F2 L D' R U2
D2 U' F2 L D2 R U2
D2 U' F2 R L U2 D
D2 U' F2 R L U2 D'
D2 U' F2 R L U2 D2
D2 U' F2 R L D U2
D2 U' F2 R L D' U2
D2 U' F2 R L D2 U2
D2 U' F2 R D L U2
D2 U' F2 R D' L U2
D2 U' F2 R D2 L U2
F2 U' R2 U2 B2 L R'
F2 U' R2 U2 B2 R' L
D2 U' F2 D L R U2
D2 U' F2 D R L U2
D2 U' F2 D' L R U2
D2 U' F2 D' R L U2
D2 U' F2 D2 L R U2
D2 U' F2 D2 R L U2
L' D' B2 D2 L2 U L2
F2 U' D2 L R F2 U2
F2 U' D2 L F2 U2 L'
F2 U' D2 R L F2 U2
F2 U' D2 R F2 L U2
F2 U' D2 F2 L U2 L2
F' U' F L U2 L2 B2
F' U' F L U2 B2 L2
F' U' F U2 B2 L' R'
F' U' F U2 B2 R' L'
U' D2 L R F2 U2 L2
U' D2 L R' F2 U2 L2
U' D2 L R2 F2 U2 L2
U2 D' B2 R2 U' L' R
U2 D' B2 R2 U' R L'
U' D2 L U2 L2 D2 B2
F' U' F' L R U2 B2
U' D2 L D2 R2 U2 B2
F' U' F' R L U2 B2
F' U' F' R U2 B2 R'
U' D2 L F U2 L2 B'
U' D2 L F2 R U2 L2
U' D2 L F2 R' U2 L2
U' D2 L F2 R2 U2 L2
U' D2 L F2 U2 L2 D
U' D2 L F2 U2 L2 D'
U' D2 L F2 U2 L2 D2
U' D2 L F2 D2 R2 U2
U D' B2 L' D R' B2
B U' F U2 B L R'
B U' F U2 B R' L
U D' B2 D L' R' B2
U D' B2 D R' L' B2
U D' B2 D R' B2 L'
F2 U' F2 L U2 L2 B2
F2 U' F2 L U2 B2 L2
U' D2 L' F2 L2 U2 L2
F2 U' F2 U2 B2 L' R'
F2 U' F2 U2 B2 R' L'
U D2 L F2 U2 L2 F2
U D2 L F2 U2 F2 L2
U' D2 L2 F2 U2 L R
U' D2 L2 F2 U2 R L
U D2 L' R D2 R2 B2
U D2 L' R D2 B2 R2
U D2 L' R' D2 R2 B2
U D2 L' R' D2 B2 R2
U D2 L' R2 D2 R2 B2
U D2 L' R2 D2 B2 R2
U' D2 R L F2 U2 L2
U D2 L' U2 L2 F2 U2
U D2 L' U2 F2 L2 U2
U D2 L' D2 R B2 R
U D2 L' D2 R2 B2 D
U D2 L' D2 R2 B2 D'
U D2 L' D2 R2 B2 D2
U D2 L' D2 B' R2 B'
U D2 L' D2 B2 R2 D
U D2 L' D2 B2 R2 D'
U D2 L' D2 B2 R2 D2
L' D2 R2 D' F2 D' B2
L' D2 R2 D2 B2 D F2
B U' B L2 R' F L
U D2 L' B D2 R2 B2
B U' B L2 F L R'
U D2 L' B D2 B2 R2
B U' B L2 F R' L
U D2 L' B' D2 R2 B2
U D2 L' B' D2 B2 R2
B U' B R' L2 F L
U' D2 R F2 L R U2
U D2 L' B2 D2 R2 B2
U' D2 R F2 R L U2
U D2 L' B2 D2 B2 R2
U' D2 R' L F2 U2 L2
L2 D2 U L D2 R2 B2
L2 D2 U L D2 B2 R2
U' D2 R' F2 L R U2
U' D2 R' F2 R L U2
U D2 R L' D2 R2 B2
U D2 R L' D2 B2 R2
F2 U' B2 R' D2 L2 F2
F2 U' B2 R' D2 F2 L2
U' D2 R2 L F2 U2 L2
L D2 R2 F2 U R2 U
L D2 R2 F2 U2 D' F2
L D2 R2 F2 D B2 U2
L D2 R2 F2 D' U2 F2
D' U2 R2 U L U2 L2
D' U2 R2 U' L' D2 R2
L2 D2 U' L' F2 U2 L2
U D2 R D2 B2 L' R'
U D2 R D2 B2 R' L'
F2 U' B2 D2 F2 L' R'
F2 U' B2 D2 F2 R' L'
U' D2 R2 F2 L R U2
U' D2 R2 F2 R L U2
L2 D2 U' F2 U2 L R
L2 D2 U' F2 U2 R L
U D2 R' L' D2 R2 B2
U D2 R' L' D2 B2 R2
D' U2 R2 B2 U' L' R'
D' U2 R2 B2 U' R' L'
U D2 R' D2 B2 L' R'
U D2 R' D2 B2 R' L'
U D2 R2 L' D2 R2 B2
U D2 R2 L' D2 B2 R2
U' D2 F' L F' R U2
U D2 R2 D2 B2 L' R'
U D2 R2 D2 B2 R' L'
L' D2 F' R2 D' F2 B
L' D2 F' R2 D' B F2
L' D2 F' R2 B D' F2
U' D2 F2 L R U2 D
U' D2 F2 L R U2 D'
U' D2 F2 L R U2 D2
U' D2 F2 L R D U2
U' D2 F2 L R D' U2
U' D2 F2 L R D2 U2
U' D2 F2 L D R U2
U' D2 F2 L D' R U2
U' D2 F2 L D2 R U2
U' D2 F2 R L U2 D
U' D2 F2 R L U2 D'
U' D2 F2 R L U2 D2
U' D2 F2 R L D U2
U' D2 F2 R L D' U2
U' D2 F2 R L D2 U2
U' D2 F2 R D L U2
U' D2 F2 R D' L U2
U' D2 F2 R D2 L U2
U' D2 F2 D L R U2
U' D2 F2 D R L U2
U' D2 F2 D' L R U2
U' D2 F2 D' R L U2
U' D2 F2 D2 L R U2
U' D2 F2 D2 R L U2
U D2 F2 L R U2 F2
U D2 F2 L U2 F2 L'
U D2 F2 R L U2 F2
L D2 F2 R2 U R2 U
L D2 F2 R2 U2 D' F2
L D2 F2 R2 D B2 U2
L D2 F2 R2 D' U2 F2
F2 U2 R2 U' B2 L R'
F2 U2 R2 U' B2 R' L
D' U2 B2 R2 U' L' R
D' U2 B2 R2 U' R L'
U' F L U2 B L B
L' F L U B2 L' R'
L' F L U B2 R' L'
U' F L F R U2 B2
U' F L F' U2 L' B2
U' F L F' U2 B2 L'
U D2 B2 L' R' D2 B2
U D2 B2 L' D2 R' B2
U D2 B2 R' L' D2 B2
U D2 B2 R' D2 L' B2
U D2 B2 R' D2 B2 L'
U D2 B2 D2 L' R' B2
U D2 B2 D2 R' L' B2
U D2 B2 D2 R' B2 L'
F' U2 F U' B2 L' R'
F' U2 F U' B2 R' L'
U F L F' L' B2 R'
L F L' U B2 L' R'
L F L' U B2 R' L'
F2 U2 F2 U' B2 L' R'
F2 U2 F2 U' B2 R' L'
U F R B2 R' F' L'
F U2 B U' L B R'
B U2 B' U' B2 L' R'
B U2 B' U' B2 R' L'
L F U L2 B2 D' R2
U' F U2 B L B R'
L F U B2 L2 D' R2
B2 D L' R' U' R U
B2 D L' R2 D' R F2
B D L B' U L2 B2
B D L B' U B2 L2
L F U2 L2 B2 D F2
F2 D L2 U' L' R U2
F2 D L2 U' R L' U2
F2 D L2 F2 U L' R
F2 D L2 F2 U R L'
L F U2 B2 L2 D F2
B2 D R' L' U' R U
B2 D R' U' R U L'
B2 D R2 L' D' R F2
B2 D R2 D' L' R F2
B2 D R2 D' R L' F2
L' F B2 D2 R2 D' F2
U' F' L F U2 L' B2
U' F' L F U2 B2 L'
L' F' L U B2 L' R'
L' F' L U B2 R' L'
U' F' L F' R U2 B2
U F B2 L F' L' R'
U F B2 L F' R' L'
U F B2 L' F' L' R'
U F B2 L' F' R' L'
U F B2 L2 F' L' R'
U F B2 L2 F' R' L'
U F B2 D F' L' R'
U F B2 D F' R' L'
U F B2 D' F' L' R'
U F B2 D' F' R' L'
U F B2 D2 F' L' R'
U F B2 D2 F' R' L'
L F' L' U B2 L' R'
L F' L' U B2 R' L'
B' D B U B2 L' R'
B' D B U B2 R' L'
U F' R F B2 L' R'
U F' R F B2 R' L'
U F' R B2 R' F L'
U F' R B2 F L' R'
U F' R B2 F R' L'
B2 D B' U L' B R'
B2 D B' U B L' R'
B2 D B' U B R' L'
U F' R' F B2 L' R'
U F' R' F B2 R' L'
U F' R' B2 R' F L'
U F' R' B2 F L' R'
U F' R' B2 F R' L'
B' D B2 U L' B R'
B' D B2 U B L' R'
B' D B2 U B R' L'
D2 F' U' L F' R U2
B2 D B2 U B2 L' R'
B2 D B2 U B2 R' L'
U F' R2 F B2 L' R'
U F' R2 F B2 R' L'
D2 F' U' F' L R U2
D2 F' U' F' R L U2
U F' R2 B2 R' F L'
U F' R2 B2 F L' R'
U F' R2 B2 F R' L'
L F' U L2 B2 D' R2
U F' U F B2 L' R'
U F' U F B2 R' L'
U F' U B2 R' F L'
U F' U B2 F L' R'
U F' U B2 F R' L'
L F' U B2 L2 D' R2
B2 D' L' R' U' R U
B2 D' L' R2 D' R F2
U F' U' F B2 L' R'
U F' U' F B2 R' L'
U F' U' B2 R' F L'
U F' U' B2 F L' R'
U F' U' B2 F R' L'
L F' U2 L2 B2 D F2
U F' U2 F B2 L' R'
U F' U2 F B2 R' L'
U F' U2 B2 R' F L'
U F' U2 B2 F L' R'
U F' U2 B2 F R' L'
L F' U2 B2 L2 D F2
B2 D' R' L' U' R U
B2 D' R' U' R U L'
B2 D' R2 L' D' R F2
B2 D' R2 D' L' R F2
B2 D' R2 D' R L' F2
U' F2 L R U2 B2 D
U' F2 L R U2 B2 D'
U' F2 L R U2 B2 D2
U' F2 L R D2 F2 U2
U' F2 L R F U2 B2
U' F2 L R F' U2 B2
U' F2 L R F2 U2 B2
U' F2 L R2 U2 B2 L
D2 F2 L R U R' U
L' F' B2 D2 R2 D' F2
U' F2 L D2 R F2 U2
U' F2 L D2 F2 U2 L'
L' F2 L U B2 L' R'
L' F2 L U B2 R' L'
U' F2 L F2 U2 L' B2
U' F2 L F2 U2 B2 L'
B D' U L' D B R'
U F' B2 R F L' R2
U F' B2 R F R2 L'
U F' B2 R' F L' D
U F' B2 R' F L' D'
U F' B2 R' F L' D2
U F' B2 R' F D L'
U F' B2 R' F D' L'
