F' U' F L2
F' U' F L2 D
F' U' F L2 D'
F' U' F L2 D2
F' U' F' L2 F2
F' U' F2 L2 F'
L' F' U' F L'
U F' U' L2 B'
L F' U' F L
D' F' B2 U' F
F' D' B2 U' F
F' B U' F L2
B' F' U' F L2
F' B' U' F L2
B2 F' U' F L2
B F' U' F L2
F' B2 U' F L2
D' B2 F' U' F
L F' D2 U' F2 L F'
D' F' B' D B' U' F
L' F' B' U' F L' D
L' F' B' U' F L' D'
L' F' B' U' F L' D2
L' F' B' U' F D L'
L' F' B' U' F D' L'
L' F' B' U' F D2 L'
D' F' B' D' B' U' F
D2 F' B' D2 U' F L2
L2 F' B' L U' L' F
D' F' B' D2 B' U' F
F' D' R2 B2 R2 U' F
L2 F' B' L2 U' L2 F
D' F' B2 L2 U B' U2
D F' B U' F D' L2
D F' B U2 F' U F2
D2 F' B2 U R2 U2 F
D' F' B2 U B U2 F
D' F' B2 U B' U2 F
D' F' B2 U B2 U2 F
D2 F' B2 U' D2 F L2
D2 F' B2 U' F D2 L2
U F' B R U' L2 B'
D' F' B2 U' R F R'
D' F' B2 U' R2 F R2
D' F' B2 U' D F D
D' F' B2 U' D F D'
D' F' B2 U' D F D2
D' F' B2 U' D' F D
D' F' B2 U' D' F D'
D' F' B2 U' D' F D2
D' F' B2 U' D2 F D
D' F' B2 U' D2 F D'
D' F' B2 U' D2 F D2
D' F' B2 U' F2 D F'
D' F' B2 U' F2 D' F'
D' F' B2 U' F2 D2 F'
U F' B R' U' L2 B'
D' F' B2 U2 R U F
D' F' B2 U2 R' U F
D' F' B2 U2 R2 U F
U F' B R2 U' L2 B'
D' F' B2 D U' F D
D' F' B2 D U' F D'
D' F' B2 D U' F D2
D2 F' B2 D B2 U' F
L' F' B2 U' F L' D
L' F' B2 U' F L' D'
L' F' B2 U' F L' D2
L' F' B2 U' F D L'
L' F' B2 U' F D' L'
L' F' B2 U' F D2 L'
D' F' B2 D' U' F D
D' F' B2 D' U' F D'
D' F' B2 D' U' F D2
U F' B U F U2 L2
D2 F' B2 D2 U' F L2
U F' B U' L2 D B'
U F' B U' L2 D' B'
U F' B U' L2 D2 B'
U F' B U' L2 B' D
U F' B U' L2 B' D'
U F' B U' L2 B' D2
D' F' B2 D2 U' F D
D' F' B2 D2 U' F D'
D' F' B2 D2 U' F D2
L2 F' B2 L U' L' F
U F' B U' B L2 B'
U F' B U' B' L2 B'
U F' B U' B2 L2 B'
L F' B U' D2 F L'
L2 F' B2 L2 U' L2 F
F' D' U' L2 D L2 F
D F' B' U' F D' L2
L F' B D2 U' F L'
D F' B' U2 F' U F2
F' D' U' F L D L2
F' D' U' F L' D L2
F' D' U' F L2 D L2
U F' B' R U' L2 B'
F' D' U' F U B2 U'
F' D' U' F D L2 D
F' D' U' F D L2 D'
F' D' U' F D L2 D2
U F' B' R' U' L2 B'
U F' B' R2 U' L2 B'
F' D' U' F2 D L2 F'
F' D' U' F2 D F' L2
U F' B' U F U2 L2
U F' B' U' L2 D B'
U F' B' U' L2 D' B'
U F' B' U' L2 D2 B'
U F' B' U' L2 B' D
U F' B' U' L2 B' D'
U F' B' U' L2 B' D2
U F' B' U' B L2 B'
U F' B' U' B' L2 B'
U F' B' U' B2 L2 B'
D F' B2 U' F D' L2
D F' B2 U2 F' U F2
U F' B2 R U' L2 B'
U F' B2 R' U' L2 B'
U F' B2 R2 U' L2 B'
U F' B2 U F U2 L2
L F' B2 U R' U2 F
U F' B2 U' L2 D B'
U F' B2 U' L2 D' B'
U F' B2 U' L2 D2 B'
U F' B2 U' L2 B' D
U F' B2 U' L2 B' D'
U F' B2 U' L2 B' D2
U F' B2 U' B L2 B'
U F' B2 U' B' L2 B'
U F' B2 U' B2 L2 B'
F2 D' F L' B2 L' U'
F2 D' F L2 U' D L2
F2 D' F L2 D U' L2
F2 D' F L2 B2 U' D
F2 D' F L2 B2 U' D'
F2 D' F L2 B2 U' D2
F2 D' F L2 B2 D U'
F2 D' F L2 B2 D' U'
F2 D' F L2 B2 D2 U'
F2 D' F U' D L2 F2
F2 D' F U' D F2 L2
F2 D' F D U' L2 F2
F2 D' F D U' F2 L2
F2 D' F B L2 B U'
B' D' F' U' D F L2
B' D' F' U' F D L2
F2 D' F B2 L2 U' D
F2 D' F B2 L2 U' D'
F2 D' F B2 L2 U' D2
F2 D' F B2 L2 D U'
F2 D' F B2 L2 D' U'
F2 D' F B2 L2 D2 U'
F2 D' F B2 U' D F2
F2 D' F B2 D U' F2
B' D' F' D U' F L2
F2 D' F' L2 F2 B2 U'
F2 D' F' L2 B2 F2 U'
B' D' F' B2 U' D F
B' D' F' B2 U' D' F
B' D' F' B2 U' D2 F
B' D' F' B2 U' F D
B' D' F' B2 U' F D'
B' D' F' B2 U' F D2
B' D' F' B2 D U' F
B' D' F' B2 D' U' F
B' D' F' B2 D2 U' F
B2 D' F' U' D F L2
B2 D' F' U' F D L2
B2 D' F' D U' F L2
B2 D' F' B2 U' D F
B2 D' F' B2 U' D' F
B2 D' F' B2 U' D2 F
B2 D' F' B2 U' F D
B2 D' F' B2 U' F D'
B2 D' F' B2 U' F D2
B2 D' F' B2 D U' F
B2 D' F' B2 D' U' F
B2 D' F' B2 D2 U' F
F2 D' F' B2 L2 F2 U'
F2 D' F2 L2 F' B2 U'
F2 D' F2 L2 B2 F' U'
B D' F' U' D F L2
B D' F' U' F D L2
B D' F' D U' F L2
B D' F' B2 U' D F
B D' F' B2 U' D' F
B D' F' B2 U' D2 F
B D' F' B2 U' F D
B D' F' B2 U' F D'
B D' F' B2 U' F D2
B D' F' B2 D U' F
B D' F' B2 D' U' F
B D' F' B2 D2 U' F
F2 D' F2 B2 L2 F' U'
F' D' B D B U' F
F' D' B D' B U' F
F' D' B D2 B U' F
U F2 R F U' L2 B'
F2 D' B F L2 B U'
U' F2 U F U' L2 F'
U' F2 U F U' F' L2
F' D' B' D B' U' F
B' D' B2 L F' U' F
F' D' B' D' B' U' F
B' D' B2 L' F' U' F
F' D' B' D2 B' U' F
B' D' B2 L2 F' U' F
U F2 R' F U' L2 B'
F' D' B2 L2 U B' U2
R2 F2 R2 F' U' L2 F'
R2 F2 R2 F' U' F' L2
B2 D' B2 L F' U' F
R F2 R' F' U' L2 F'
R F2 R' F' U' F' L2
B2 D' B2 L' F' U' F
B' D' B2 D F' U' F
B2 D' B2 L2 F' U' F
B' D' B2 D' F' U' F
F' D' B2 U B U2 F
F' D' B2 U B' U2 F
F' D' B2 U B2 U2 F
F' D' B2 U' R F R'
F2 D' B2 L2 U2 B' U
B' D' B2 D2 F' U' F
F' D' B2 U' R2 F R2
F' D' B2 U' D F D
F' D' B2 U' D F D'
F' D' B2 U' D F D2
F' D' B2 U' D' F D
F' D' B2 U' D' F D'
F' D' B2 U' D' F D2
F' D' B2 U' D2 F D
F' D' B2 U' D2 F D'
F' D' B2 U' D2 F D2
F' D' B2 U' F2 D F'
F' D' B2 U' F2 D' F'
F' D' B2 U' F2 D2 F'
F' D' B2 U2 R U F
F' D' B2 U2 R' U F
F' D' B2 U2 R2 U F
B' D' B2 F' U' D F
B' D' B2 F' U' D' F
B' D' B2 F' U' D2 F
B' D' B2 F' U' F D
B' D' B2 F' U' F D'
B' D' B2 F' U' F D2
B' D' B2 F' D U' F
B' D' B2 F' D' U' F
B' D' B2 F' D2 U' F
F' D' B2 D U' F D
F' D' B2 D U' F D'
F' D' B2 D U' F D2
F' D' B2 D' U' F D
F' D' B2 D' U' F D'
F' D' B2 D' U' F D2
F' D' B2 D2 U' F D
F' D' B2 D2 U' F D'
F' D' B2 D2 U' F D2
B2 D' B2 D F' U' F
U F2 R2 F U' L2 B'
B2 D' B2 D' F' U' F
F2 D' B2 D F U' F
B2 D' B2 D2 F' U' F
B2 D' B2 F' U' D F
B2 D' B2 F' U' D' F
B2 D' B2 F' U' D2 F
B2 D' B2 F' U' F D
B2 D' B2 F' U' F D'
B2 D' B2 F' U' F D2
B2 D' B2 F' D U' F
B2 D' B2 F' D' U' F
B2 D' B2 F' D2 U' F
F2 D' B2 F L2 U' D
F2 D' B2 F L2 U' D'
F2 D' B2 F L2 U' D2
F2 D' B2 F L2 D U'
F2 D' B2 F L2 D' U'
F2 D' B2 F L2 D2 U'
F2 D' B2 F U' D F2
F2 D' B2 F D U' F2
B D' B2 L F' U' F
F2 D' B2 F' L2 F2 U'
B D' B2 L' F' U' F
F2 D' B2 F2 L2 F' U'
B D' B2 L2 F' U' F
B D' B2 D F' U' F
B D' B2 D' F' U' F
B D' B2 D2 F' U' F
F D' B2 U L2 U2 F'
B D' B2 F' U' D F
B D' B2 F' U' D' F
B D' B2 F' U' D2 F
B D' B2 F' U' F D
B D' B2 F' U' F D'
B D' B2 F' U' F D2
B D' B2 F' D U' F
B D' B2 F' D' U' F
B D' B2 F' D2 U' F
F D' B2 U' D2 F' R2
F D' B2 U' F' D2 R2
F D' B2 D F2 U' F
F D' B2 D2 U' F' R2
U2 F2 U2 F U' L2 F'
U2 F2 U2 F U' F' L2
F' D2 L2 U R2 B' U2
F' D2 L2 U B' R2 U2
F' D2 L2 U' D2 L2 F
F' D2 L2 D2 U' L2 F
D2 F2 D' F L2 B' U'
L2 F2 D' F L2 U' L2
L F2 D' F L2 U' L'
F' D2 U R2 U2 D F
F' D2 U R2 U2 D' F
F' D2 U R2 U2 D2 F
F' D2 U R2 U2 F D
F' D2 U R2 U2 F D'
F' D2 U R2 U2 F D2
F' D2 U R2 D U2 F
F' D2 U R2 D' U2 F
F' D2 U R2 D2 U2 F
F' D2 U R2 B U2 F
F' D2 U R2 B' U2 F
F' D2 U R2 B2 U2 F
F' D2 U B R2 U2 F
D' F2 B2 D' F L2 U'
F' D2 U B' R2 U2 F
F' D2 U B2 R2 U2 F
F' D2 U' L2 D2 L2 F
F' D2 U' F L D2 L2
F' D2 U' F L' D2 L2
F' D2 U' F L2 D2 L2
F' D2 U' F U2 R2 U2
F' D2 U' F D2 L2 D
F' D2 U' F D2 L2 D'
F' D2 U' F D2 L2 D2
F' D2 U' F2 D2 L2 F'
F' D2 U' F2 D2 F' L2
D' B L F' B U' F
L' B L F' U' F L2
D' B L B F' U' F
L2 B L F' U' F L'
D' B L' F' B U' F
D' B L' B F' U' F
R' B L2 U R F' U'
L2 B L' F' U' F L
F2 D2 F U R2 B2 U2
F2 D2 F U B2 R2 U2
F2 D2 F U' D2 L2 F2
F2 D2 F U' D2 F2 L2
F2 D2 F D L2 B2 U'
D' B L2 F' B U' F
F2 D2 F D B2 L2 U'
B' D2 F' U R2 U2 F
L' B L2 F' U' F L
F2 D2 F D2 U' L2 F2
F2 D2 F D2 U' F2 L2
B' D2 F' U' D2 F L2
D' B L2 B F' U' F
B' D2 F' U' F D2 L2
B' D2 F' D B2 U' F
B' D2 F' D2 U' F L2
B2 D2 F' U R2 U2 F
R2 B L2 U R2 U' R2
B2 D2 F' U' D2 F L2
B2 D2 F' U' F D2 L2
L2 B L2 F' U' F L2
R' B R F' U' F L2
B2 D2 F' D B2 U' F
R2 B L2 D B2 D' R2
B2 D2 F' D2 U' F L2
U2 B R U L2 F R
B D2 F' U R2 U2 F
B D2 F' U' D2 F L2
B D2 F' U' F D2 L2
B D2 F' D B2 U' F
B D2 F' D2 U' F L2
L2 B R' U R F' U'
F' D2 B U R2 U2 F
F' D2 B U' D2 F L2
F' D2 B U' F D2 L2
F' D2 B D B2 U' F
F' D2 B D2 U' F L2
L2 B R2 U R2 F' U'
F' D2 B' U R2 U2 F
R' B U R F' U' L2
F' D2 B' U' D2 F L2
F' D2 B' U' F D2 L2
F' D2 B' D B2 U' F
F' D2 B' D2 U' F L2
U2 B U L2 F D R2
F' D2 B2 U R2 U2 F
F' D2 B2 U' D2 F L2
F' D2 B2 U' F D2 L2
F' D2 B2 D B2 U' F
R2 B U L2 D F2 B2
R2 B U L2 D B2 F2
F' D2 B2 D2 U' F L2
L2 B U F' U F U2
R2 B U R2 U' L2 R2
R2 B U R2 U' R2 L2
F' B L U' L' F L2
B' F L F2 U' F L
U' B U2 F' U' B' L2
B2 F L F2 U' F L
U2 B U2 F' U' L2 F
B F L F2 U' F L
D2 B D F' B2 U' F
D' B D F' B U' F
U B U' F' U' F L2
L' B D F' U' F L'
D' B D B F' U' F
D2 B D B2 F' U' F
F B L F2 U' F L
D' B D' F' B U' F
L' B D' F' U' F L'
D' B D' B F' U' F
R2 B D F2 U F2 B2
R2 B D F2 U B2 F2
R2 B D B2 D' L2 R2
R2 B D B2 D' R2 L2
D2 B D2 F' U' F L2
D' B D2 F' B U' F
L' B D2 F' U' F L'
D' B D2 B F' U' F
D B D' F' U' F L2
D B D2 F' B2 U' F
D2 B F' U R2 U2 F
D2 B F' U' D2 F L2
D2 B F' U' F D2 L2
D B D2 B2 F' U' F
D2 B F' D B2 U' F
L' B F' U' F L' D
L' B F' U' F L' D'
L' B F' U' F L' D2
L' B F' U' F D L'
L' B F' U' F D' L'
L' B F' U' F D2 L'
D' B F' D B U' F
D2 B F' D2 U' F L2
D' B F' D' B U' F
D' B F' D2 B U' F
L2 B F' L U' L' F
L2 B F' L2 U' L2 F
F' B U R U2 F L2
F' B U R' U2 F L2
F' B U R2 U2 F L2
F' B U D2 R2 U2 F
B' F U' L2 D F' R2
F' B U B U2 F L2
F' B U B' U2 F L2
F' B U B2 U2 F L2
D B F' U' F D' L2
F' B U' L2 U2 B' U2
D B F' U2 F' U F2
F' B U' R F L2 R'
F' B U' R F R' L2
B2 F U' L2 D F' R2
F' B U' R2 F L2 R2
F' B U' R2 F R2 L2
U B F' R U' L2 B'
F' B U' D' F D L2
U B F' R' U' L2 B'
F' B U' D2 F D2 L2
F' B U' F L D L
F' B U' F L D' L
F' B U' F L D2 L
F' B U' F L' D L'
F' B U' F L' D' L'
F' B U' F L' D2 L'
U B F' R2 U' L2 B'
L' B' L F' U' F L2
F' B U' F B' L2 B
F' B U' F B2 L2 B2
F' B U' F' L F2 L
F' B U' F' L2 F2 D
F' B U' F' L2 F2 D'
F' B U' F' L2 F2 D2
U B F' U F U2 L2
F' B U' F2 L F' L
F' B U' F2 L2 D F'
F' B U' F2 L2 D' F'
F' B U' F2 L2 D2 F'
F' B U' F2 L2 F' D
F' B U' F2 L2 F' D'
F' B U' F2 L2 F' D2
U B F' U' L2 D B'
U B F' U' L2 D' B'
U B F' U' L2 D2 B'
U B F' U' L2 B' D
U B F' U' L2 B' D'
U B F' U' L2 B' D2
L B F' U' D2 F L'
U B F' U' B L2 B'
U B F' U' B' L2 B'
U B F' U' B2 L2 B'
F' B U' B' F L2 B
F' B U' B2 F L2 B2
L B F' D2 U' F L'
F' B U2 R U F L2
L2 B' L F' U' F L'
F' B U2 R' U F L2
B F U' L2 D F' R2
F' B U2 R2 U F L2
F' B U2 D F2 U F'
R2 B' L D L B2 R'
F' B U2 F' U L2 F2
F' B U2 F' U F2 L2
F' B U2 F2 U L2 F'
F' B U2 F2 U F' L2
F B U' L2 D F' R2
R' B' L2 U R F' U'
L2 B' L' F' U' F L
F' B D U2 F2 U F'
L' B' L2 F' U' F L
L2 B' L2 F' U' F L2
R' B' R F' U' F L2
F' B D' U' F D L2
R2 B' L2 D B2 D2 R2
R2 B' L2 D' R2 D2 B2
F2 B D' F L2 B2 U'
F' B D' B2 U' D F
F' B D' B2 U' D' F
F' B D' B2 U' D2 F
F' B D' B2 U' F D
F' B D' B2 U' F D'
F' B D' B2 U' F D2
F' B D' B2 D U' F
F2 B D' F B2 L2 U'
F' B D' B2 D' U' F
F' B D' B2 D2 U' F
F2 B D' B2 F L2 U'
F' B D2 U R2 U2 F
F' B D2 U' F D2 L2
L2 B' R' U R F' U'
B' F' L U' L' F L2
F' B' L U' L' F L2
B2 F' L U' L' F L2
L2 B' R2 U R2 F' U'
R' B' U R F' U' L2
U2 B' R2 B U L2 F'
U2 B' R2 B U F' L2
B F' L U' L' F L2
L2 B' U F' U F U2
F B' L F2 U' F L
U' B' U2 F' U' L2 B
U' B' U2 F' U' B L2
D2 B' D F' B2 U' F
D' B' D F' B' U' F
L' B' D F' U' F L'
D2 B' D B2 F' U' F
U B' U' F' U' F L2
D' B' D B' F' U' F
D' B' D' F' B' U' F
L' B' D' F' U' F L'
D' B' D' B' F' U' F
B' F' U R U2 F L2
B' F' U R' U2 F L2
B' F' U R2 U2 F L2
B' F' U D2 R2 U2 F
F' B' U R U2 F L2
F' B' U R' U2 F L2
D2 B' D2 F' U' F L2
F' B' U R2 U2 F L2
B' F' U B U2 F L2
B2 F' U R U2 F L2
B' F' U B' U2 F L2
B2 F' U R' U2 F L2
D' B' D2 F' B' U' F
B' F' U B2 U2 F L2
F' B' U D2 R2 U2 F
B2 F' U R2 U2 F L2
L' B' D2 F' U' F L'
D' B' D2 B' F' U' F
B' F' U' L2 U2 B' U2
B2 F' U D2 R2 U2 F
B' F' U' R F L2 R'
B' F' U' R F R' L2
F' B' U B U2 F L2
F' B' U B' U2 F L2
B' F' U' R2 F L2 R2
B' F' U' R2 F R2 L2
D B' D' F' U' F L2
F' B' U B2 U2 F L2
B2 F' U B U2 F L2
B' F' U' D' F D L2
B2 F' U B' U2 F L2
B' F' U' D2 F D2 L2
B' F' U' F L D L
B' F' U' F L D' L
B' F' U' F L D2 L
B' F' U' F L' D L'
B' F' U' F L' D' L'
B' F' U' F L' D2 L'
F' B' U' L2 U2 B' U2
B2 F' U B2 U2 F L2
B' F' U' F B' L2 B
B' F' U' F B2 L2 B2
B' F' U' F' L F2 L
B' F' U' F' L2 F2 D
B' F' U' F' L2 F2 D'
B' F' U' F' L2 F2 D2
F' B' U' R F L2 R'
F' B' U' R F R' L2
B' F' U' F2 L F' L
B' F' U' F2 L2 D F'
B' F' U' F2 L2 D' F'
B' F' U' F2 L2 D2 F'
B' F' U' F2 L2 F' D
B' F' U' F2 L2 F' D'
B' F' U' F2 L2 F' D2
B2 F' U' L2 U2 B' U2
F' B' U' R2 F L2 R2
F' B' U' R2 F R2 L2
B F' U R U2 F L2
B2 F' U' R F L2 R'
B2 F' U' R F R' L2
B' F' U' B' F L2 B
B F' U R' U2 F L2
F' B' U' D' F D L2
B' F' U' B2 F L2 B2
F' B' U' D2 F D2 L2
B F' U R2 U2 F L2
F' B' U' F L D L
F' B' U' F L D' L
F' B' U' F L D2 L
F' B' U' F L' D L'
F' B' U' F L' D' L'
F' B' U' F L' D2 L'
B2 F' U' R2 F L2 R2
B2 F' U' R2 F R2 L2
F' B' U' F B' L2 B
F' B' U' F B2 L2 B2
F' B' U' F' L F2 L
F' B' U' F' L2 F2 D
F' B' U' F' L2 F2 D'
F' B' U' F' L2 F2 D2
U' B' F' U' B L2 F
B2 F' U' D' F D L2
F' B' U' F2 L F' L
F' B' U' F2 L2 D F'
F' B' U' F2 L2 D' F'
F' B' U' F2 L2 D2 F'
F' B' U' F2 L2 F' D
F' B' U' F2 L2 F' D'
F' B' U' F2 L2 F' D2
B F' U D2 R2 U2 F
B2 F' U' D2 F D2 L2
B' F' U2 R U F L2
B2 F' U' F L D L
B2 F' U' F L D' L
B2 F' U' F L D2 L
B2 F' U' F L' D L'
B2 F' U' F L' D' L'
B2 F' U' F L' D2 L'
B' F' U2 R' U F L2
B2 F' U' F B' L2 B
B2 F' U' F B2 L2 B2
B2 F' U' F' L F2 L
B2 F' U' F' L2 F2 D
B2 F' U' F' L2 F2 D'
B2 F' U' F' L2 F2 D2
D2 B' F' U R2 U2 F
B' F' U2 R2 U F L2
F' B' U' B' F L2 B
B2 F' U' F2 L F' L
B2 F' U' F2 L2 D F'
B2 F' U' F2 L2 D' F'
B2 F' U' F2 L2 D2 F'
B2 F' U' F2 L2 F' D
B2 F' U' F2 L2 F' D'
B2 F' U' F2 L2 F' D2
D2 B' F' U' D2 F L2
D2 B' F' U' F D2 L2
F' B' U' B2 F L2 B2
D B' D2 F' B2 U' F
B' F' U2 D F2 U F'
B F' U B U2 F L2
B F' U B' U2 F L2
B2 F' U' B' F L2 B
D2 B' F' D B2 U' F
B F' U B2 U2 F L2
B2 F' U' B2 F L2 B2
F' B' U2 R U F L2
B' F' U2 F' U L2 F2
B' F' U2 F' U F2 L2
D2 B' F' D2 U' F L2
L' B' F' U' F L' D
L' B' F' U' F L' D'
L' B' F' U' F L' D2
L' B' F' U' F D L'
L' B' F' U' F D' L'
L' B' F' U' F D2 L'
D B' D2 B2 F' U' F
F' B' U2 R' U F L2
B' F' U2 F2 U L2 F'
B' F' U2 F2 U F' L2
D' B' F' D B' U' F
F' B' U2 R2 U F L2
B F' U' L2 U2 B' U2
D' B' F' D' B' U' F
L2 B' F' L U' L' F
B2 F' U2 R U F L2
D' B' F' D2 B' U' F
B F' U' R F L2 R'
B F' U' R F R' L2
F' B' U2 D F2 U F'
B2 F' U2 R' U F L2
L2 B' F' L2 U' L2 F
B2 F' U2 R2 U F L2
B F' U' R2 F L2 R2
B F' U' R2 F R2 L2
B2 F' U2 D F2 U F'
F' B' U2 F' U L2 F2
F' B' U2 F' U F2 L2
B F' U' D' F D L2
F' B' U2 F2 U L2 F'
F' B' U2 F2 U F' L2
B F' U' D2 F D2 L2
B F' U' F L D L
B F' U' F L D' L
B F' U' F L D2 L
B F' U' F L' D L'
B F' U' F L' D' L'
B F' U' F L' D2 L'
B F' U' F B' L2 B
B F' U' F B2 L2 B2
B F' U' F' L F2 L
B F' U' F' L2 F2 D
B F' U' F' L2 F2 D'
B F' U' F' L2 F2 D2
B2 F' U2 F' U L2 F2
B2 F' U2 F' U F2 L2
B F' U' F2 L F' L
B F' U' F2 L2 D F'
B F' U' F2 L2 D' F'
B F' U' F2 L2 D2 F'
B F' U' F2 L2 F' D
B F' U' F2 L2 F' D'
B F' U' F2 L2 F' D2
F B' U' L2 D F' R2
B2 F' U2 F2 U L2 F'
B2 F' U2 F2 U F' L2
B' F' D U2 F2 U F'
B F' U' B' F L2 B
B F' U' B2 F L2 B2
B F' U2 R U F L2
B F' U2 R' U F L2
B F' U2 R2 U F L2
F' B' D U2 F2 U F'
D B' F' U' F D' L2
D B' F' U' F D' L2
B F' U2 D F2 U F'
D B' F' U2 F' U F2
D' B2 L D F' U' F
B2 F' D U2 F2 U F'
D' B2 L D' F' U' F
D' B2 L D2 F' U' F
B F' U2 F' U L2 F2
B F' U2 F' U F2 L2
B F' U2 F2 U L2 F'
B F' U2 F2 U F' L2
D' B2 L F' U' D F
D' B2 L F' U' D' F
D' B2 L F' U' D2 F
D' B2 L F' U' F D
D' B2 L F' U' F D'
D' B2 L F' U' F D2
D' B2 L F' D U' F
D' B2 L F' D' U' F
D' B2 L F' D2 U' F
B' F' D' U' F D L2
U B' F' R U' L2 B'
L' B2 L F' U' F L2
U B' F' R' U' L2 B'
U B' F' R2 U' L2 B'
U B' F' U F U2 L2
U B' F' U' L2 D B'
U B' F' U' L2 D' B'
U B' F' U' L2 D2 B'
U B' F' U' L2 B' D
U B' F' U' L2 B' D'
U B' F' U' L2 B' D2
U B' F' U' B L2 B'
U B' F' U' B' L2 B'
U B' F' U' B2 L2 B'
F' B' D' U' F D L2
B' F' D' B2 U' D F
B' F' D' B2 U' D' F
B' F' D' B2 U' D2 F
B' F' D' B2 U' F D
B' F' D' B2 U' F D'
B' F' D' B2 U' F D2
B' F' D' B2 D U' F
B' F' D' B2 D' U' F
B' F' D' B2 D2 U' F
B2 F' D' U' F D L2
L2 B2 L F' U' F L'
D' B2 L' D F' U' F
B F' D U2 F2 U F'
D' B2 L' D' F' U' F
D' B2 L' D2 F' U' F
F2 B' D' F L2 B2 U'
F' B' D' B2 U' D F
F' B' D' B2 U' D' F
F' B' D' B2 U' D2 F
F' B' D' B2 U' F D
F' B' D' B2 U' F D'
F' B' D' B2 U' F D2
B' F' D2 U R2 U2 F
F' B' D' B2 D U' F
F' B' D' B2 D' U' F
F' B' D' B2 D2 U' F
D' B2 L' F' U' D F
D' B2 L' F' U' D' F
D' B2 L' F' U' D2 F
D' B2 L' F' U' F D
D' B2 L' F' U' F D'
D' B2 L' F' U' F D2
F2 B' D' F B2 L2 U'
D' B2 L' F' D U' F
D' B2 L' F' D' U' F
D' B2 L' F' D2 U' F
B' F' D2 U' F D2 L2
B2 F' D' B2 U' D F
B2 F' D' B2 U' D' F
B2 F' D' B2 U' D2 F
B2 F' D' B2 U' F D
B2 F' D' B2 U' F D'
B2 F' D' B2 U' F D2
B2 F' D' B2 D U' F
B2 F' D' B2 D' U' F
B2 F' D' B2 D2 U' F
R' B2 L2 U R F' U'
F2 B' D' B2 F L2 U'
F' B' D2 U R2 U2 F
F' B' D2 U' F D2 L2
B2 F' D2 U R2 U2 F
B2 F' D2 U' F D2 L2
B F' D' U' F D L2
D' B2 L2 D F' U' F
L2 B2 L' F' U' F L
D' B2 L2 D' F' U' F
D' B2 L2 D2 F' U' F
D' B2 L2 F' U' D F
D' B2 L2 F' U' D' F
D' B2 L2 F' U' D2 F
D' B2 L2 F' U' F D
D' B2 L2 F' U' F D'
D' B2 L2 F' U' F D2
D' B2 L2 F' D U' F
D' B2 L2 F' D' U' F
D' B2 L2 F' D2 U' F
L' B2 L2 F' U' F L
B F' D' B2 U' D F
B F' D' B2 U' D' F
B F' D' B2 U' D2 F
B F' D' B2 U' F D
B F' D' B2 U' F D'
B F' D' B2 U' F D2
B F' D' B2 D U' F
B F' D' B2 D' U' F
B F' D' B2 D2 U' F
F' B2 L U' L' F L2
B F' D2 U R2 U2 F
B F' D2 U' F D2 L2
L2 B2 L2 F' U' F L2
R' B2 R F' U' F L2
R2 B2 L2 U R2 F U'
R2 B2 L2 U F R2 U'
L2 B2 R' U R F' U'
F B2 L F2 U' F L
L2 B2 R2 U R2 F' U'
R' B2 U R F' U' L2
L2 B2 U F' U F U2
U' B2 U2 F' U' L2 B2
U' B2 U2 F' U' B2 L2
F' B2 U R U2 F L2
F' B2 U R' U2 F L2
D' B2 D L F' U' F
F' B2 U R2 U2 F L2
D' B2 D L' F' U' F
D' B2 D L2 F' U' F
U' B2 D F2 L2 B' U
F' B2 U D2 R2 U2 F
F' B2 U B U2 F L2
D2 B2 D F' B2 U' F
F' B2 U B' U2 F L2
F' B2 U B2 U2 F L2
D' B2 D F' U' D F
D' B2 D F' U' D' F
D' B2 D F' U' D2 F
D' B2 D F' U' F D
D' B2 D F' U' F D'
D' B2 D F' U' F D2
D' B2 D F' D U' F
D' B2 D F' D' U' F
D' B2 D F' D2 U' F
L' B2 D F' U' F L'
D2 B2 D B2 F' U' F
F' B2 U' L2 U2 B' U2
F' B2 U' R F L2 R'
F' B2 U' R F R' L2
U B2 U' F' U' F L2
D' B2 D' L F' U' F
F' B2 U' R2 F L2 R2
F' B2 U' R2 F R2 L2
D' B2 D' L' F' U' F
D' B2 D' L2 F' U' F
F' B2 U' D' F D L2
F' B2 U' D2 F D2 L2
F' B2 U' F L D L
F' B2 U' F L D' L
F' B2 U' F L D2 L
F' B2 U' F L' D L'
F' B2 U' F L' D' L'
F' B2 U' F L' D2 L'
F' B2 U' F B' L2 B
F' B2 U' F B2 L2 B2
F' B2 U' F' L F2 L
F' B2 U' F' L2 F2 D
F' B2 U' F' L2 F2 D'
F' B2 U' F' L2 F2 D2
F' B2 U' F2 L F' L
F' B2 U' F2 L2 D F'
F' B2 U' F2 L2 D' F'
F' B2 U' F2 L2 D2 F'
F' B2 U' F2 L2 F' D
F' B2 U' F2 L2 F' D'
F' B2 U' F2 L2 F' D2
F' B2 U' B' F L2 B
F' B2 U' B2 F L2 B2
D' B2 D' F' U' D F
D' B2 D' F' U' D' F
D' B2 D' F' U' D2 F
D' B2 D' F' U' F D
D' B2 D' F' U' F D'
D' B2 D' F' U' F D2
D' B2 D' F' D U' F
D' B2 D' F' D' U' F
D' B2 D' F' D2 U' F
L' B2 D' F' U' F L'
F' B2 U2 R U F L2
