F2 L2 U R' U'
L2 U R' U' F2
R' U' L2 R F2
R' U' R L2 F2
R' U' R F2 L2
U R' U' L2 F2
U R' U' F2 L2
F2 U R' U' L2
L2 F2 U R' U'
L2 F D2 U R' U' F
L2 F D2 F U R' U'
B2 D R2 L F2 U R2
B2 D R2 F2 L U R2
F2 D U R' U' D' L2
F2 D U R' U2 F2 U
F2 D U R' D' U' L2
F2 D U R' D2 B2 U'
B2 D U' L R2 F2 U
B2 D U' L F2 R2 U
B2 D U' R2 L F2 U
B2 D U' R2 F2 L U
B2 D U' F2 L R2 U
B2 D U' F2 R2 L U
F2 D U' F2 U2 R' U'
D' F' L2 R' B2 U' R
L F' L F' U R' U'
B2 D F2 L R2 U R2
L2 F' R D R' F' B2
L2 F' R D R' B2 F'
D' F' R' L2 B2 U' R
B2 D F2 R2 L U R2
R F' L2 D F' R' B2
R F' L2 F' D R' B2
D' F' R' B2 L2 U' R
D' F' U L2 R' B2 U'
L F' R' U' L R F'
L F' R' U' R L F'
L F' R' U' R F' L
D' F' U R' L2 B2 U'
D' F' U R' B2 L2 U'
F2 D B2 L' D' L2 B2
F2 D B2 L' D' B2 L2
F2 D B2 U' L F2 U
F2 D B2 U' F2 L U
F2 D' L U R' B2 U'
F2 D' L' U R' B2 U'
F2 D' L2 U R' B2 U'
L2 F' D F' U R' U'
L2 F' D' F' U R' U'
F2 D' R D L2 R' B2
F2 D' R D R' L2 B2
F2 D' R D R' B2 L2
L2 F' D2 F' U R' U'
F' D' R' B2 U' R F'
F D' R' B2 U' R F
F2 D' U R B2 R2 U'
F2 D' U R' U' D L2
F2 D' U R' D U' L2
F2 D' U R' B2 U' D
F2 D' U R' B2 U' D'
F2 D' U R' B2 U' D2
F2 D' U R' B2 D U'
F2 D' U R' B2 D' U'
F2 D' U R' B2 D2 U'
F2 D' U R2 B2 R U'
B2 D' U B2 L2 R' U'
B2 D' U B2 R' L2 U'
F2 D' U B2 U2 L U
L2 F' B2 U' L U F'
L2 F2 L U R' U' L'
F D' U R' B2 U' F
R2 F2 L R2 D' L B2
L2 F2 L B2 L' D' B2
U' F2 L2 U R' U' R
L2 F2 L' U R' U' L
L F2 L R D R' B2
R' F2 L2 R2 D B2 R'
D' F2 L2 R' B2 U' R
L F2 L U R' U' D
L F2 L U R' U' D'
L F2 L U R' U' D2
L F2 L U R' D U'
L F2 L U R' D' U'
L F2 L U R' D2 U'
L F2 L U D R' U'
L F2 L U D' R' U'
L F2 L U D2 R' U'
L F2 L D U R' U'
L F2 L D' U R' U'
L F2 L D2 U R' U'
R F2 L D L R' B2
R F2 L D R' L B2
L F2 L B2 U' L U
L2 F2 L2 U R' U' L2
F' D' F' U R' B2 U'
L F2 L' U R' U' L2
R2 F2 L2 R2 U' L U
R2 F2 L2 U' L U R2
R F2 L' D L' R' B2
R F2 L' D R' L' B2
R F2 L' D R' B2 L'
F D' F U R' B2 U'
U F2 L2 R D R2 B2
L2 F2 R U R2 U' R
U F2 L2 R D B2 R2
U F2 L2 U R' F2 U'
D' F2 R' L2 B2 U' R
L2 F2 R D R B2 R2
L2 F2 R D R' B2 D
L2 F2 R D R' B2 D'
L2 F2 R D R' B2 D2
U F2 L2 U F2 R' U'
L2 F2 R D R2 B2 R
L F2 L2 U R' U' L'
L2 F2 R D' R' D2 B2
L2 F2 R D2 R' D' B2
R F2 L2 R' U R' U'
R F2 L2 U R2 U' R
R F2 L2 D R B2 R2
R F2 L2 D R' B2 D
R F2 L2 D R' B2 D'
R F2 L2 D R' B2 D2
R F2 L2 D R2 B2 R
L2 F2 R B2 D B2 R'
R F2 L2 D' R' D2 B2
R F2 L2 D2 R' D' B2
D' F2 R' B2 L2 U' R
L F2 L2 B2 L' D' B2
L F2 R L D R' B2
R' F2 R2 L2 D B2 R'
U F2 R L2 D R2 B2
U F2 R L2 D B2 R2
R F2 L2 B2 D B2 R'
L F2 R D L R' B2
L F2 R D R' L B2
L2 F2 R2 U R U' R
U' F2 U R' U' L2 R
U' F2 U R' U' R L2
D' F2 U L2 R' B2 U'
R2 F2 R2 L D' L B2
D' F2 U R' L2 B2 U'
R2 F2 R2 L2 U' L U
D' F2 U R' B2 L2 U'
L' F2 U R' U R2 U2
L' F2 U R' U' D2 L2
L' F2 U R' D B2 U'
R2 F2 R2 U' L' U L'
L' F2 U R' D2 U' L2
R F2 R' L2 U R' U'
R F2 R' U R' U' L2
U F2 R' F2 U' L2 F2
U F2 R' F2 U' F2 L2
D F2 R2 U2 R U' R
L2 F2 U R U' D B2
L2 F2 U R D U' B2
B2 D' B2 L2 R' U' R
L2 F2 U R2 D R U'
L2 F2 U R2 D' R U'
L2 F2 U R2 D2 R U'
L2 F2 U D R' U' D
L2 F2 U D R' U' D'
L2 F2 U D R' U' D2
B2 D' B2 R' L2 U' R
L2 F2 U D R' D U'
L2 F2 U D R' D' U'
L2 F2 U D R' D2 U'
L2 F2 U D' R' U' D
L2 F2 U D' R' U' D'
L2 F2 U D' R' U' D2
L2 F2 U D' R' D U'
L2 F2 U D' R' D' U'
L2 F2 U D' R' D2 U'
L2 F2 U D2 R' U' D
L2 F2 U D2 R' U' D'
L2 F2 U D2 R' U' D2
L2 F2 U D2 R' D U'
L2 F2 U D2 R' D' U'
L2 F2 U D2 R' D2 U'
L2 F2 U F' R' F U'
L2 F2 U F2 R' F2 U'
F2 D' B2 U' L U L'
L2 F2 U' L U2 R' U'
L2 F2 U' L' U2 R' U'
L2 F2 U' L2 U2 R' U'
R2 F2 U' L' U L' R2
R2 F2 U' L' U R2 L'
L F2 U R' U' L D
L F2 U R' U' L D'
L F2 U R' U' L D2
L F2 U R' U' D L
L F2 U R' U' D' L
L F2 U R' U' D2 L
L F2 U R' D U' L
L F2 U R' D' U' L
U F2 U R' F2 U' L2
L F2 U R' D2 U' L
L' F2 U2 R U' R2 U'
L' F2 U2 R U2 D B2
L' F2 U2 R D U2 B2
L' F2 U2 R D' F2 U2
L F2 U D R' U' L
L F2 U D' R' U' L
L F2 U D2 R' U' L
L2 F2 U' B2 L B2 U
R F2 U R2 U' L2 R
R F2 U R2 U' R L2
U F2 U F2 R' U' L2
L2 F2 U2 F U' R' U'
L2 F2 U2 F' U' R' U'
L2 F2 U2 F2 U' R' U'
L2 F2 D R D R' B2
L2 F2 D U R' U' D
L2 F2 D U R' U' D'
L2 F2 D U R' U' D2
L2 F2 D U R' D U'
L2 F2 D U R' D' U'
L2 F2 D U R' D2 U'
L2 F2 D B2 U' L U
L2 F2 D' R D R' B2
L F2 D L U R' U'
L2 F2 D' U R' U' D
L2 F2 D' U R' U' D'
L2 F2 D' U R' U' D2
L2 F2 D' U R' D U'
L2 F2 D' U R' D' U'
L2 F2 D' U R' D2 U'
L F2 D U R' U' L
L2 F2 D' B2 U' L U
R F2 D R' B2 D' L2
L2 F2 D2 R D R' B2
L F2 D' L U R' U'
L2 F2 D2 U R' U' D
L2 F2 D2 U R' U' D'
L2 F2 D2 U R' U' D2
L2 F2 D2 U R' D U'
L2 F2 D2 U R' D' U'
L2 F2 D2 U R' D2 U'
L F2 D' U R' U' L
L2 F2 D2 B2 U' L U
L F2 D2 L U R' U'
L2 F2 B U R U' B
L2 F2 B U' L' U B'
L F2 D2 U R' U' L
L2 F2 B' L' D L B'
R F2 D2 R' D' B2 L
L2 F2 B' R D' R' B
L2 F2 B' D L B' L'
L2 F2 B' D' R' B R
F2 D2 U R' U R' U2
F2 D2 U R' B2 U' L
L2 F2 B2 L' D' L B2
R' B L U' L R F2
R' B L U' R L F2
R' B L U' R F2 L
L2 F2 B2 U' L U D
L2 F2 B2 U' L U D'
L2 F2 B2 U' L U D2
L2 F2 B2 U' L D U
L2 F2 B2 U' L D' U
L2 F2 B2 U' L D2 U
L2 F2 B2 U' D L U
L2 F2 B2 U' D' L U
L2 F2 B2 U' D2 L U
L2 F2 B2 D U' L U
D F2 B2 L R2 U R2
L2 F2 B2 D' U' L U
L2 F2 B2 D2 U' L U
D F2 B2 R2 L U R2
L F2 B' D B L B'
R' B L' U' L' R F2
R' B L' U' R L' F2
L F2 B2 L' D' B2 L
F2 D2 U2 R2 U' R U'
U B L' U' L' F2 B'
U B L' U' L' B' F2
R2 B R U' L2 R F2
R2 B R U' R L2 F2
R2 B R U' R F2 L2
R' B U' L R F2 L
R' B U' L2 R F2 D
R' B U' L2 R F2 D'
R' B U' L2 R F2 D2
R' B U' L2 R' F2 R2
L2 B U R U' F2 B
L2 B U R U' B F2
R' B U' L2 R2 F2 R'
R' B U' R L F2 L
R' B U' R L2 F2 D
R' B U' R L2 F2 D'
R' B U' R L2 F2 D2
R' B U' R F' L2 F'
R' B U' R F2 L2 D
R' B U' R F2 L2 D'
R' B U' R F2 L2 D2
R' B U' R' L2 F2 R2
R' B U' R' F2 L2 R2
R' B U' R' F2 R2 L2
R' B U' R2 L2 F2 R'
R' B U' R2 F2 L2 R'
R' B U' R2 F2 R' L2
L2 B U' L' U F2 B'
L2 B U' L' U B' F2
U B U' L' B' L' F2
U B U' F2 L' B' L'
F2 B L' B L' D' B2
R' B D' L2 B2 U' R
F2 B L2 U R U' B
F2 B L2 U' L' U B'
R' B D' B2 L2 U' R
F2 B L2 B U' L U
F2 B L2 B' U R' U'
F2 B U R U' L2 B
F2 B U R U' B L2
R' B' L U' L R F2
R' B' L U' R L F2
R' B' L U' R F2 L
L2 B F2 U R U' B
L2 B F2 U' L' U B'
F2 B U' L' U B' L'
R' B' L' U' L' R F2
R' B' L' U' R L' F2
L2 B' L' F2 D L B'
L' B' L2 F2 D L B'
R2 B' R U' L2 R F2
L2 B' R F2 D' R' B
R2 B' R U' R L2 F2
R2 B' R U' R F2 L2
B' F' L D L F' B'
B' F' L D L B' F'
B' F' L D F' L B'
B' F' L F' D L B'
F' B' L D L F' B'
F' B' L D L B' F'
F' B' L D F' L B'
F' B' L F' D L B'
F2 B' L D L D B'
F2 B' L D L D' B'
F2 B' L D L D2 B'
F2 B' L D L B' D
F2 B' L D L B' D'
F2 B' L D L B' D2
R' B' U' L R F2 L
B2 F' L' D' L' F' B2
B2 F' L' D' L' B2 F'
F2 B' L' D L B' L2
B2 F' L' D' B2 L' F'
R' B' U' L2 R F2 D
R' B' U' L2 R F2 D'
R' B' U' L2 R F2 D2
R' B' U' L2 R' F2 R2
R' B' U' L2 R2 F2 R'
R' B' U' R L F2 L
R' B' U' R L2 F2 D
R' B' U' R L2 F2 D'
R' B' U' R L2 F2 D2
R' B' U' R F' L2 F'
R' B' U' R F2 L2 D
R' B' U' R F2 L2 D'
R' B' U' R F2 L2 D2
R' B' U' R' L2 F2 R2
R' B' U' R' F2 L2 R2
R' B' U' R' F2 R2 L2
R' B' U' R2 L2 F2 R'
R' B' U' R2 F2 L2 R'
R' B' U' R2 F2 R' L2
F2 B' L' B' L' D' B2
F2 B' L2 R D' R' B
B2 F' L2 U' L' U F'
F2 B' L2 D L B' L'
F2 B' L2 D' R' B R
F2 B' L2 B U R' U'
F2 B' L2 B' U' L U
F2 B' R L2 D' R' B
R' B' D' L2 B2 U' R
R' B' D' B2 L2 U' R
F2 B' U B R' U' L2
B2 F' U' L U L F'
B2 F' U' L U F' L
L2 B' F2 L' D L B'
R' B2 L U' L R F2
R' B2 L U' R L F2
R' B2 L U' R F2 L
F2 B' D L D' B' L2
F2 B' D L B' D' L2
F2 B' D L' D' L2 B'
L2 B' F2 R D' R' B
L2 B' F2 D L B' L'
L2 B' F2 D' R' B R
L' B2 L F2 L2 D' B2
U2 B2 L U F2 L R
U2 B2 L U F2 R L
R' B2 L' U' L' R F2
R' B2 L' U' R L' F2
L' B2 L' U' L2 U F2
L' B2 L' D' B2 D F2
D B2 L R2 F2 U R2
L' B2 L' F D' F B2
L' B2 L' F D' B2 F
L' B2 L' F' D' F' B2
L' B2 L' F' D' B2 F'
L' B2 L' F2 U' L2 U
L' B2 L' F2 D' B2 D
L' B2 L' F2 D' B2 D'
L' B2 L' F2 D' B2 D2
L' B2 L' F2 B D' B2
L' B2 L' F2 B' D' B2
L' B2 L' F2 B2 D' B2
L' B2 L' B F2 D' B2
L B' F2 D B L B'
L' B2 L' B' F2 D' B2
L' B2 L' B2 F2 D' B2
D B2 L F2 R2 U R2
U B2 L U L F2 R
L2 B2 L' F2 D' L B2
B' F2 L D L D B'
B' F2 L D L D' B'
B' F2 L D L D2 B'
B' F2 L D L B' D
B' F2 L D L B' D'
B' F2 L D L B' D2
D' B2 L2 F2 R U' R'
D B2 L' D' L2 F2 B2
D B2 L' D' L2 B2 F2
D B2 L' D' F2 L2 B2
D B2 L' D' F2 B2 L2
D B2 L' D' B2 L2 F2
D B2 L' D' B2 F2 L2
B' F2 L' D L B' L2
L B2 L' F2 D' B2 L
B' F2 L' B' L' D' B2
F' B2 L' D' L' F' B2
F' B2 L' D' L' B2 F'
B2 F2 L' U' L2 U L
F' B2 L' D' B2 L' F'
B' F2 L2 R D' R' B
B2 F2 L' D L' D2 B2
F2 B2 L' U' L2 U L
B2 F2 L' D' L B2 L2
B2 F2 L' D' L' B2 D
B2 F2 L' D' L' B2 D'
B2 F2 L' D' L' B2 D2
B2 F2 L' D' B L' B
B2 F2 L' D' B2 L' D
B2 F2 L' D' B2 L' D'
B2 F2 L' D' B2 L' D2
B2 F2 L' D' B2 D L'
B2 F2 L' D' B2 D' L'
B2 F2 L' D' B2 D2 L'
B2 F2 L' D2 L' D B2
F2 B2 L' D L' D2 B2
F2 B2 L' D' L B2 L2
F2 B2 L' D' L' B2 D
F2 B2 L' D' L' B2 D'
F2 B2 L' D' L' B2 D2
F2 B2 L' D' B L' B
F2 B2 L' D' B2 L' D
F2 B2 L' D' B2 L' D'
F2 B2 L' D' B2 L' D2
F2 B2 L' D' B2 D L'
F2 B2 L' D' B2 D' L'
F2 B2 L' D' B2 D2 L'
F2 B2 L' D2 L' D B2
R2 B2 R U' L2 R F2
B' F2 L2 D L B' L'
R2 B2 R U' R L2 F2
R2 B2 R U' R F2 L2
B' F2 L2 D' R' B R
B2 F2 L' B D' L' B2
B2 F2 L' B D' B2 L'
B2 F2 L' B' D' L' B2
B2 F2 L' B' D' B2 L'
B2 F2 L' B2 D' L' B2
B2 F2 L' B2 D' B2 L'
F2 B2 L' B D' L' B2
F2 B2 L' B D' B2 L'
F' B2 L2 U' L' U F'
F2 B2 L' B' D' L' B2
F2 B2 L' B' D' B2 L'
D2 B2 R2 U L U R2
F2 B2 L' B2 D' L' B2
B' F2 L2 B U R' U'
F2 B2 L' B2 D' B2 L'
B' F2 L2 B' U' L U
B2 F2 L2 U' L' U D
B2 F2 L2 U' L' U D'
B2 F2 L2 U' L' U D2
B2 F2 L2 U' L' D U
B2 F2 L2 U' L' D' U
B2 F2 L2 U' L' D2 U
B2 F2 L2 U' D L' U
B2 F2 L2 U' D' L' U
B2 F2 L2 U' D2 L' U
F2 B2 L2 U' L' U D
F2 B2 L2 U' L' U D'
F2 B2 L2 U' L' U D2
F2 B2 L2 U' L' D U
F2 B2 L2 U' L' D' U
F2 B2 L2 U' L' D2 U
B2 F2 L2 D U' L' U
F2 B2 L2 U' D L' U
F2 B2 L2 U' D' L' U
F2 B2 L2 U' D2 L' U
B' F2 R L2 D' R' B
B2 F2 L2 D' U' L' U
B2 F2 L2 D2 U' L' U
F2 B2 L2 D U' L' U
R B2 L2 F2 D R B2
R B2 L2 F2 D B2 R
F2 B2 L2 D' U' L' U
F2 B2 L2 D2 U' L' U
B F2 L' B L' D' B2
B2 F2 L2 B U' L' U
B2 F2 L2 B' U' L' U
B2 F2 L2 B2 U' L' U
F2 B2 L2 B U' L' U
F2 B2 L2 B' U' L' U
F2 B2 L2 B2 U' L' U
B F2 L2 U R U' B
B F2 L2 U' L' U B'
D B2 R2 L F2 U R2
B F2 L2 B U' L U
B F2 L2 B' U R' U'
U2 B2 U L U L F2
R' B2 U' L R F2 L
U2 B2 U L U F2 L
R' B2 U' L2 R F2 D
R' B2 U' L2 R F2 D'
R' B2 U' L2 R F2 D2
R' B2 U' L2 R' F2 R2
R' B2 U' L2 R2 F2 R'
R' B2 U' R L F2 L
R' B2 U' R L2 F2 D
R' B2 U' R L2 F2 D'
R' B2 U' R L2 F2 D2
R' B2 U' R F' L2 F'
R' B2 U' R F2 L2 D
R' B2 U' R F2 L2 D'
R' B2 U' R F2 L2 D2
R' B2 U' R' L2 F2 R2
L' B2 U' L U L2 F2
L' B2 U' L U F2 L2
R' B2 U' R' F2 L2 R2
R' B2 U' R' F2 R2 L2
R' B2 U' R2 L2 F2 R'
R' B2 U' R2 F2 L2 R'
R' B2 U' R2 F2 R' L2
D B2 R2 F2 L U R2
L2 B2 U' L R U F2
L2 B2 U' L R' U F2
L2 B2 U' L R2 U F2
L2 B2 U' L U F2 D
L2 B2 U' L U F2 D'
L2 B2 U' L U F2 D2
L2 B2 U' L D R2 U
L2 B2 U' R L U F2
R B2 R2 U' L2 F2 R
L2 B2 U' R' L U F2
L2 B2 U' R2 L U F2
L2 B2 U' D L R2 U
L2 B2 U' D R2 L U
D B2 U' L R2 F2 U
D B2 U' L F2 R2 U
D B2 U' R2 L F2 U
D B2 U' R2 F2 L U
B' F2 U B R' U' L2
L' B2 D L' D' F2 B2
L' B2 D L' D' B2 F2
D B2 U' F2 L R2 U
D B2 U' F2 R2 L U
B2 F2 U D' B2 R' U'
F2 B2 U D' B2 R' U'
F' B2 U' L U L F'
F' B2 U' L U F' L
B2 F2 U B2 R' U' L2
B2 F2 U' L U L D
B2 F2 U' L U L D'
B2 F2 U' L U L D2
B2 F2 U' L U D L
B2 F2 U' L U D' L
B2 F2 U' L U D2 L
B2 F2 U' L D U L
B2 F2 U' L D' U L
B2 F2 U' L D2 U L
B2 F2 U' L F U L
B2 F2 U' L F' U L
B2 F2 U' L F2 U L
R' B2 D' L2 B2 U' R
F2 B2 U B2 R' U' L2
F2 B2 U' L U L D
F2 B2 U' L U L D'
F2 B2 U' L U L D2
F2 B2 U' L U D L
F2 B2 U' L U D' L
F2 B2 U' L U D2 L
F2 B2 U' L D U L
F2 B2 U' L D' U L
F2 B2 U' L D2 U L
F2 B2 U' L F U L
F2 B2 U' L F' U L
F2 B2 U' L F2 U L
B F2 U R U' L2 B
B F2 U R U' B L2
L2 B2 D U' L R2 U
L2 B2 D U' R2 L U
U B2 U2 L U L F2
U B2 U2 L U F2 L
B2 F2 U' D L F2 U
B2 F2 U' D F2 L U
F2 B2 U' D L F2 U
B2 F2 U' F L U L
F2 B2 U' D F2 L U
B2 F2 U' F' L U L
B2 F2 U' F2 L U L
F2 B2 U' F L U L
F2 B2 U' F' L U L
R' B2 D' B2 L2 U' R
F2 B2 U' F2 L U L
B F2 U' L' U B' L'
B' F2 D L D' B' L2
B' F2 D L B' D' L2
B' F2 D L' D' L2 B'
B2 F2 D L' D' L2 B2
B2 F2 D L' D' B2 L2
F2 B2 D L' D' L2 B2
F2 B2 D L' D' B2 L2
B2 F2 D U' L F2 U
B2 F2 D U' F2 L U
F2 B2 D U' L F2 U
F2 B2 D U' F2 L U
U B2 D' B2 L2 R' U'
U B2 D' B2 R' L2 U'
B2 F2 D' U B2 R' U'
F2 B2 D' U B2 R' U'
L2 B2 F' U' L U F'
L2 B2 F2 L' D' L B2
L2 B2 F2 U' L U D
L2 B2 F2 U' L U D'
L2 B2 F2 U' L U D2
L2 B2 F2 U' L D U
L2 B2 F2 U' L D' U
L2 B2 F2 U' L D2 U
L2 B2 F2 U' D L U
L2 B2 F2 U' D' L U
L2 B2 F2 U' D2 L U
L2 B2 F2 D U' L U
L2 B2 F2 D' U' L U
L2 B2 F2 D2 U' L U
D B2 F2 L R2 U R2
D B2 F2 R2 L U R2
L B2 F2 L' D' B2 L
