L' F2 U F'
L' R F2 U F'
R' L' F2 U F'
L' R' F2 U F'
R2 L' F2 U F'
R L' F2 U F'
L' R2 F2 U F'
L' U D' F L2
L' D' U F L2
L' F2 U D F'
L' F2 U D' F'
L' F2 U D2 F'
L F2 L2 U F
L' F2 U F' D
L' F2 U F' D'
L' F2 U F' D2
L2 F2 L U F
L' F2 D U F'
L' F2 D' U F'
L' F2 D2 U F'
L2 F2 R2 L D' U F
L2 F2 R2 L D2 U F
L F2 R' L2 U D F
L F2 R' L2 U D' F
L F2 R' L2 U D2 F
L F2 R' L2 U F D
L F2 R' L2 U F D'
L F2 R' L2 U F D2
L F2 R' L2 D U F
L2 F2 R2 D L U F
L F2 R' L2 D' U F
L F2 R' L2 D2 U F
L' F2 U L D L' F'
L' F2 U L D' L' F'
L' F2 U L D2 L' F'
L2 F2 R2 D' L U F
L' F2 U L' D L F'
L' F2 U L' D F' L
L' F2 U L' D' L F'
L' F2 U L' D' F' L
L' F2 U L' D2 L F'
L' F2 U L' D2 F' L
L' F2 U L' F L F2
L' F2 U L' F' L D
L' F2 U L' F' L D'
L' F2 U L' F' L D2
L' F2 U L' F' D L
L' F2 U L' F' D' L
L' F2 U L' F' D2 L
L2 F2 R2 D2 L U F
L' F2 U L2 F L2 F2
L' F2 U L2 F' L2 D
L' F2 U L2 F' L2 D'
L' F2 U L2 F' L2 D2
L' F2 U R D R' F'
L' F2 U R D' R' F'
L' F2 U R D2 R' F'
L' F2 U R F R' F'
L' F2 U R F' R' F'
L' F2 U R F2 R' F'
L' F2 U R2 F R2 F'
L' F2 U R2 F' R2 F'
L' F2 U R2 F2 R2 F'
L' F2 U D L' F' L
L' F2 U D L2 F' L2
L' F2 U D F2 D F
L' F2 U D F2 D' F
L' F2 U D F2 D2 F
L' F2 U D' L' F' L
L' F2 U D' L2 F' L2
L' F2 U D' F2 D F
L' F2 U D' F2 D' F
L' F2 U D' F2 D2 F
L' F2 U D2 L' F' L
L' F2 U D2 L2 F' L2
L' F2 U D2 F2 D F
L' F2 U D2 F2 D' F
L' F2 U D2 F2 D2 F
L' F2 U F L' F2 L
L' F2 U F L2 F2 L2
L' F2 U F R F2 R'
L' F2 U F R2 F2 R2
L' F2 U F' L D L'
L' F2 U F' L D' L'
L' F2 U F' L D2 L'
L' F2 U F' L' D L
L' F2 U F' L' D' L
L' F2 U F' L' D2 L
L' F2 U F' R D R'
L' F2 U F' R D' R'
L' F2 U F' R D2 R'
L' F2 U F' R' D R
L' F2 U F' R' D' R
L' F2 U F' R' D2 R
L' F2 U F' B D B'
L' F2 U F' B D' B'
L' F2 U F' B D2 B'
L' F2 U F' B' D B
L' F2 U F' B' D' B
L' F2 U F' B' D2 B
L' F2 U F2 R F R'
L' F2 U F2 R2 F R2
L' F2 U F2 D F D
L' F2 U F2 D F D'
L' F2 U F2 D F D2
L' F2 U F2 D' F D
L' F2 U F2 D' F D'
L' F2 U F2 D' F D2
L' F2 U F2 D2 F D
L' F2 U F2 D2 F D'
L' F2 U F2 D2 F D2
L' F2 U B D F' B'
L' F2 U B D B' F'
L' F2 U B D' F' B'
L' F2 U B D' B' F'
L' F2 U B D2 F' B'
L' F2 U B D2 B' F'
L' F2 U B F' D B'
L' F2 U B F' D' B'
L' F2 U B F' D2 B'
L' F2 U B' D F' B
L' F2 U B' D B F'
L' F2 U B' D' F' B
L' F2 U B' D' B F'
L' F2 U B' D2 F' B
L' F2 U B' D2 B F'
L' F2 U B' F' D B
L' F2 U B' F' D' B
L' F2 U B' F' D2 B
L F2 R2 L2 U D F
L F2 R2 L2 U D' F
L F2 R2 L2 U D2 F
L F2 R2 L2 U F D
L F2 R2 L2 U F D'
L F2 R2 L2 U F D2
L F2 R2 L2 D U F
L F2 R2 L2 D' U F
L F2 R2 L2 D2 U F
L' F2 U' R2 B R2 U2
L' F2 U' D B U2 F'
L' F2 U' D B' U2 F'
L' F2 U' D B2 U2 F'
L' F2 U' D' B U2 F'
L' F2 U' D' B' U2 F'
L' F2 U' D' B2 U2 F'
L' F2 U' D2 B U2 F'
L' F2 U' D2 B' U2 F'
L' F2 U' D2 B2 U2 F'
R' F2 U2 L' R U' F
L' F2 U' B U2 D F'
L' F2 U' B U2 D' F'
L' F2 U' B U2 D2 F'
L' F2 U' B U2 F' D
L' F2 U' B U2 F' D'
L' F2 U' B U2 F' D2
L' F2 U' B D U2 F'
L' F2 U' B D' U2 F'
L' F2 U' B D2 U2 F'
L' F2 U' B' U2 D F'
L' F2 U' B' U2 D' F'
L' F2 U' B' U2 D2 F'
L' F2 U' B' U2 F' D
L' F2 U' B' U2 F' D'
L' F2 U' B' U2 F' D2
L' F2 U' B' D U2 F'
L' F2 U' B' D' U2 F'
L' F2 U' B' D2 U2 F'
R' F2 U2 R L' U' F
L' F2 U' B2 U2 D F'
L' F2 U' B2 U2 D' F'
L' F2 U' B2 U2 D2 F'
L' F2 U' B2 U2 F' D
L' F2 U' B2 U2 F' D'
L' F2 U' B2 U2 F' D2
L' F2 U' B2 D U2 F'
L' F2 U' B2 D' U2 F'
L' F2 U' B2 D2 U2 F'
L' F2 U2 L U' D F'
L' F2 U2 L U' D' F'
L' F2 U2 L U' D2 F'
L' F2 U2 L U' F' D
L' F2 U2 L U' F' D'
L' F2 U2 L U' F' D2
L' F2 U2 L D U' F'
L' F2 U2 L D' U' F'
L' F2 U2 L D2 U' F'
L' F2 U2 L' U' D F'
L' F2 U2 L' U' D' F'
L' F2 U2 L' U' D2 F'
L' F2 U2 L' U' F' D
L' F2 U2 L' U' F' D'
L' F2 U2 L' U' F' D2
D2 F2 U2 R B2 U' F'
L' F2 U2 L' D U' F'
L' F2 U2 L' D' U' F'
L' F2 U2 L' D2 U' F'
L' F2 U2 L2 U' D F'
L' F2 U2 L2 U' D' F'
L' F2 U2 L2 U' D2 F'
L' F2 U2 L2 U' F' D
L' F2 U2 L2 U' F' D'
L' F2 U2 L2 U' F' D2
L' F2 U2 L2 D U' F'
L' F2 U2 L2 D' U' F'
L' F2 U2 L2 D2 U' F'
F2 D2 L U2 R U' F'
R' F2 U2 D2 R U' F'
L' F2 U2 D L U' F'
L' F2 U2 D L' U' F'
L' F2 U2 D L2 U' F'
L' F2 U2 D' L U' F'
L' F2 U2 D' L' U' F'
L' F2 U2 D' L2 U' F'
L' F2 U2 D2 L U' F'
L' F2 U2 D2 L' U' F'
L' F2 U2 D2 L2 U' F'
D2 F2 U2 B2 R U' F'
R2 F2 U2 L' R U' F
F2 D2 L' U2 R U' F'
R2 F2 U2 R L' U' F
L F2 U' D F2 B' U2
L F2 U' D B' F2 U2
L' F2 D R2 U' B U2
L F2 U' D' B' U2 B'
L' F2 D U L' F' L
L' F2 D U L2 F' L2
L' F2 D U F2 D F
L' F2 D U F2 D' F
L' F2 D U F2 D2 F
L' F2 D U' B U2 F'
L' F2 D U' B' U2 F'
L' F2 D U' B2 U2 F'
L' F2 D U2 L U' F'
L' F2 D U2 L' U' F'
L' F2 D U2 L2 U' F'
D' F2 D F2 L' U F
R2 F2 U2 D2 R U' F'
L2 F2 D L R U F
L2 F2 D L R' U F
L2 F2 D L R2 U F
L2 F2 D L U D F
L2 F2 D L U D' F
L2 F2 D L U D2 F
L2 F2 D L U F D
L2 F2 D L U F D'
L2 F2 D L U F D2
L2 F2 D L D U F
L2 F2 D L D' U F
L2 F2 D L D2 U F
L F2 U' B' U L2 U
L F2 U' B' U2 D' B2
L F2 U' B' D F2 U2
L F2 U' B' D' U2 B2
L2 F2 D R L U F
L2 F2 D R' L U F
L2 F2 D R2 L U F
F2 D2 L2 U2 R U' F'
R F2 U2 L' R U' F
L' F2 D' R2 U' B U2
L' F2 D' U L' F' L
L' F2 D' U L2 F' L2
L' F2 D' U F2 D F
L' F2 D' U F2 D' F
L' F2 D' U F2 D2 F
R F2 U2 R L' U' F
L' F2 D' U' B U2 F'
L' F2 D' U' B' U2 F'
L' F2 D' U' B2 U2 F'
L' F2 D' U2 L U' F'
L' F2 D' U2 L' U' F'
L' F2 D' U2 L2 U' F'
L2 F2 D' L R U F
L2 F2 D' L R' U F
L2 F2 D' L R2 U F
L2 F2 D' L U D F
L2 F2 D' L U D' F
L2 F2 D' L U D2 F
L2 F2 D' L U F D
L2 F2 D' L U F D'
L2 F2 D' L U F D2
L2 F2 D' L D U F
L2 F2 D' L D' U F
L2 F2 D' L D2 U F
R F2 U2 D2 R U' F'
L2 F2 D' R L U F
L2 F2 D' R' L U F
L2 F2 D' R2 L U F
R' F2 D2 U2 R U' F'
L' F2 D2 R2 U' B U2
L F2 D U' F2 B' U2
L F2 D U' B' F2 U2
L' F2 D2 U L' F' L
L' F2 D2 U L2 F' L2
L' F2 D2 U F2 D F
L' F2 D2 U F2 D' F
L' F2 D2 U F2 D2 F
L' F2 D2 U' B U2 F'
L' F2 D2 U' B' U2 F'
L' F2 D2 U' B2 U2 F'
L' F2 D2 U2 L U' F'
L' F2 D2 U2 L' U' F'
L' F2 D2 U2 L2 U' F'
D2 F2 D2 F2 L' U F
L2 F2 D2 L R U F
L2 F2 D2 L R' U F
L2 F2 D2 L R2 U F
L2 F2 D2 L U D F
L2 F2 D2 L U D' F
L2 F2 D2 L U D2 F
L2 F2 D2 L U F D
L2 F2 D2 L U F D'
L2 F2 D2 L U F D2
L2 F2 D2 L D U F
L2 F2 D2 L D' U F
L2 F2 D2 L D2 U F
L2 F2 D2 R L U F
L2 F2 D2 R' L U F
L2 F2 D2 R2 L U F
L F2 D' L2 U F B2
L F2 D' L2 U B2 F
F2 D2 R' U2 R2 U' F'
L F2 D' U' B' U2 B'
R2 F2 D2 U2 R U' F'
L' F2 B D B' U F'
L' F2 B D' B' U F'
L' F2 B D2 B' U F'
L' F2 B' D B U F'
L' F2 B' D' B U F'
L' F2 B' D2 B U F'
R F2 D2 U2 R U' F'
L' F2 B2 U D' F' R2
L' F2 B2 U F' D' R2
L' F2 B2 D' U F' R2
F2 D2 U2 L R U' F'
F2 D2 U2 L' R U' F'
F2 D2 U2 L2 R U' F'
F2 D2 U2 R L U' F'
F2 D2 U2 R L' U' F'
F2 D2 U2 R L2 U' F'
F2 D2 U2 R U' D F'
F2 D2 U2 R U' D' F'
F2 D2 U2 R U' D2 F'
F2 D2 U2 R U' F' D
F2 D2 U2 R U' F' D'
F2 D2 U2 R U' F' D2
F2 D2 U2 R D U' F'
F2 D2 U2 R D' U' F'
F2 D2 U2 R D2 U' F'
U B L D' L2 F B2
U B L D' L2 B2 F
L' B R F2 B' U F'
F D2 F U2 R U' F'
L' B R B' F2 U F'
B2 D2 F2 R B2 U' F'
B2 D2 F2 B2 R U' F'
D' B R' B' L' U L'
L' B R' F2 B' U F'
L' B R' B' F2 U F'
U' B U L' F2 U F'
L' B R2 F2 B' U F'
L' B R2 B' F2 U F'
B2 D2 B2 F2 R U' F'
U2 B U2 L' F2 U F'
U B U' L' F2 U F'
L' B D' B' U F L2
L' B F2 D B' U F'
L' B F2 D' B' U F'
L' B F2 D2 B' U F'
R' B' L' F2 B U F'
R' B' L' B F2 U F'
U B' L D' L2 F B2
U B' L D' L2 B2 F
R2 B' L' F2 B U F'
R2 B' L' B F2 U F'
R B' L' F2 B U F'
R B' L' B F2 U F'
U' B' U L' F2 U F'
L B' U L2 F2 B U
L B' U L2 B F2 U
L B' U F2 L2 B U
U2 B' U2 L' F2 U F'
L B' U F2 B L2 U
L B' U B L2 F2 U
L B' U B F2 L2 U
U B' U' L' F2 U F'
L' B' D' B U F L2
L' B' F2 D B U F'
L' B' F2 D' B U F'
L' B' F2 D2 B U F'
R' B2 L' F2 B2 U F'
R' B2 L' B2 F2 U F'
U B2 L D' L2 F B2
U B2 L D' L2 B2 F
R2 B2 L' F2 B2 U F'
R2 B2 L' B2 F2 U F'
L' B2 R F2 B2 U F'
L' B2 R B2 F2 U F'
R B2 L' F2 B2 U F'
R B2 L' B2 F2 U F'
L' B2 R' F2 B2 U F'
L' B2 R' B2 F2 U F'
U' B2 U L' F2 U F'
L' B2 R2 F2 B2 U F'
L' B2 R2 B2 F2 U F'
L' B2 U D' R2 F L2
L' B2 U D' F L2 R2
L' B2 U D' F R2 L2
U2 B2 U2 L' F2 U F'
U B2 U' L' F2 U F'
L' B2 D' U R2 F L2
L' B2 D' U F L2 R2
L' B2 D' U F R2 L2
L B2 D' L2 R2 F' B2
L B2 D' L2 R2 B2 F'
L B2 D' R2 L2 F' B2
L B2 D' R2 L2 B2 F'
L B2 D' R2 F' L2 B2
L B2 D' R2 F' B2 L2
L B2 D' R2 B2 L2 F'
L B2 D' R2 B2 F' L2
L B2 D' B2 L2 R2 F
L B2 D' B2 L2 F R2
L B2 D' B2 R2 L2 F
L' B2 F2 U D' F' R2
L' B2 F2 U F' D' R2
L' B2 F2 D' U F' R2
