F R B U2 L'
F' R F2 B U2
F' R B F2 U2
F R' U2 L' F'
F U2 L F L2
R' F U2 L' F2
R F B U2 L'
R B F U2 L'
R F2 B D' F' U2 L'
R F2 B D2 F' U2 L'
U2 B L F L B' L2
B' D2 F R B R' U2
F D2 U' L2 U' L F
B2 D2 F R B R' U2
B' D2 F B R' U2 F'
B' D2 F B' U2 L F
F2 D2 F R F2 B U2
F2 D2 F R B F2 U2
F D2 U' B L U' L2
F D2 U2 L F L2 D
F D2 U2 L F L2 D'
F D2 U2 L F L2 D2
F D2 U2 L F' L2 F2
F D2 U2 L F2 L2 F'
F D2 U2 L' U2 B' U2
B2 D2 F B R' U2 F'
B2 D2 F B' U2 L F
F D2 U2 F' L F L'
B D2 F R B R' U2
F2 D2 F' R B U2 L'
F2 D2 F' R' U2 L' F'
U2 B L2 F B' L' F
D2 B R F R2 U2 F'
D2 B R F B R2 U2
F2 D2 F' U2 L F L2
U2 B L2 B' L' F L'
U2 B L2 B' F L' F
B D2 F B R' U2 F'
D2 B R B R2 F U2
B D2 F B' U2 L F
D2 B R B F R2 U2
F' D2 F2 L' B2 R' F'
D2 B R' U2 F' D2 B2
D2 B R' D F U2 F2
D2 B R' D' F U2 F2
D2 B R' D2 F U2 F2
D2 B R' F U2 F2 D
D2 B R' F U2 F2 D'
D2 B R' F U2 F2 D2
D2 B R' F D2 B2 U2
D2 B R' F B U2 F2
D2 B R' F B' U2 F2
D2 B R' F B2 U2 F2
B' D2 B R' F U2 F2
D2 B R' B F U2 F2
D2 B R' B' F U2 F2
R2 B R F U2 L' F2
D2 B R' B2 F U2 F2
B' D2 B F R' U2 F'
B2 D2 B R' F U2 F2
R' B R2 F B U2 L'
F D2 F2 R F2 B U2
F D2 F2 R B F2 U2
R' B R2 B F U2 L'
B2 D2 B F R' U2 F'
R2 B R' F B U2 L'
F' D2 B' R B U2 B2
R2 B R' B F U2 L'
R B R F R U2 L'
R B R F R' U2 L'
R B R F R2 U2 L'
R B R F U2 L' D
R B R F U2 L' D'
R B R F U2 L' D2
R B R F U2 D L'
R B R F U2 D' L'
R B R F U2 D2 L'
R B R F D U2 L'
R B R F D' U2 L'
R B R F D2 U2 L'
R B R F' R F2 U2
B' D2 B' F U2 L F
B D2 B R' F U2 F2
F D2 B R B U2 L'
F D2 B R' U2 L' F'
B D2 B F R' U2 F'
B2 D2 B' F U2 L F
F' D2 B2 R B U2 B'
F D2 B U2 L F L2
R B R' F R U2 L'
R B R' F R' U2 L'
R B R' F R2 U2 L'
R B R' F U2 L' D
R B R' F U2 L' D'
R B R' F U2 L' D2
R B R' F U2 D L'
R B R' F U2 D' L'
R B R' F U2 D2 L'
R B R' F D U2 L'
R B R' F D' U2 L'
R B R' F D2 U2 L'
R B R' F' R F2 U2
F D2 B' R B U2 L'
F D2 B' R' U2 L' F'
B D2 B' F U2 L F
F D2 B' U2 L F L2
R B R2 F R U2 L'
R B R2 F R' U2 L'
R B R2 F R2 U2 L'
R B R2 F U2 L' D
R B R2 F U2 L' D'
R B R2 F U2 L' D2
R B R2 F U2 D L'
R B R2 F U2 D' L'
R B R2 F U2 D2 L'
R B R2 F D U2 L'
R B R2 F D' U2 L'
R B R2 F D2 U2 L'
R B R2 F' R F2 U2
F D2 B2 R B U2 L'
F D2 B2 R' U2 L' F'
F D2 B2 U2 L F L2
D2 B D R' F U2 F2
D2 B D F R' U2 F'
D2 B D' R' F U2 F2
D2 B D' F R' U2 F'
R B U2 L2 D2 B' L
B' F R D B U2 L'
B' F R D' B U2 L'
B' F R D2 B U2 L'
R B U2 D2 L2 B' L
B' F R B R U2 L'
B' F R B R' U2 L'
B' F R B R2 U2 L'
B' F R B U2 L' D
B' F R B U2 L' D'
B' F R B U2 L' D2
B' F R B U2 D L'
B' F R B U2 D' L'
B' F R B U2 D2 L'
B' F R B D U2 L'
B' F R B D' U2 L'
B' F R B D2 U2 L'
D2 B D2 R' F U2 F2
F' B R D2 B U2 B
B2 F R D B U2 L'
B2 F R D' B U2 L'
F' B R F2 D B U2
B2 F R D2 B U2 L'
F' B R F2 D' B U2
F' B R F2 D2 B U2
F' B R F2 B U2 D
F' B R F2 B U2 D'
F' B R F2 B U2 D2
F' B R F2 B D U2
F' B R F2 B D' U2
F' B R F2 B D2 U2
F' B R B U2 D2 B2
D2 B D2 F R' U2 F'
F' B R B D2 U2 B2
F' B R B F2 U2 D
F' B R B F2 U2 D'
F' B R B F2 U2 D2
F' B R B F2 D U2
F' B R B F2 D' U2
F' B R B F2 D2 U2
B' F R' U2 L F' L2
B' F R' U2 L' D F'
B' F R' U2 L' D' F'
B' F R' U2 L' D2 F'
B' F R' U2 L' F' D
B' F R' U2 L' F' D'
B' F R' U2 L' F' D2
B' F R' U2 L2 F' L
B' F R' U2 D L' F'
B' F R' U2 D' L' F'
B' F R' U2 D2 L' F'
B2 F R B R U2 L'
B2 F R B R' U2 L'
B2 F R B R2 U2 L'
B2 F R B U2 L' D
B2 F R B U2 L' D'
B2 F R B U2 L' D2
B2 F R B U2 D L'
B2 F R B U2 D' L'
B2 F R B U2 D2 L'
B2 F R B D U2 L'
B2 F R B D' U2 L'
B' F R' D U2 L' F'
B2 F R B D2 U2 L'
B' F R' D' U2 L' F'
B' F R' D2 U2 L' F'
R' B F R U2 L' F2
B' F R' B U2 L' F'
D2 B F R B R2 U2
R' B F R' U2 L' F2
B2 F R' U2 L F' L2
B2 F R' U2 L' D F'
B2 F R' U2 L' D' F'
B2 F R' U2 L' D2 F'
B2 F R' U2 L' F' D
B2 F R' U2 L' F' D'
B2 F R' U2 L' F' D2
B2 F R' U2 L2 F' L
B' F R' B' U2 L' F'
D2 B F R' U2 D F'
D2 B F R' U2 D' F'
D2 B F R' U2 D2 F'
D2 B F R' U2 F' D
D2 B F R' U2 F' D'
D2 B F R' U2 F' D2
D2 B F R' D U2 F'
D2 B F R' D' U2 F'
B2 F R' U2 D L' F'
D2 B F R' D2 U2 F'
B2 F R' U2 D' L' F'
B2 F R' U2 D2 L' F'
D2 B F R' B U2 F'
D2 B F R' B' U2 F'
R' B F R2 U2 L' F2
D2 B F R' B2 U2 F'
B F R D B U2 L'
B' F R' B2 U2 L' F'
B2 F R' D U2 L' F'
B F R D' B U2 L'
B2 F R' D' U2 L' F'
B F R D2 B U2 L'
F' B R' F2 R2 U2 F
B2 F R' D2 U2 L' F'
R' B F U2 L F2 L2
R' B F U2 L' F2 D
R' B F U2 L' F2 D'
R' B F U2 L' F2 D2
R' B F U2 L2 F2 L
D2 B F D R' U2 F'
D2 B F D' R' U2 F'
B F R B R U2 L'
B' F R2 U2 D2 L' F
B F R B R' U2 L'
B F R B R2 U2 L'
B F R B U2 L' D
B F R B U2 L' D'
B F R B U2 L' D2
B F R B U2 D L'
B F R B U2 D' L'
B F R B U2 D2 L'
B F R B D U2 L'
B F R B D' U2 L'
D2 B F D2 R' U2 F'
B F R B D2 U2 L'
R' B F D2 B2 U2 L'
B2 F R' B U2 L' F'
B2 F R' B' U2 L' F'
F B R D B U2 L'
B2 F R' B2 U2 L' F'
B' F R2 D2 U2 L' F
F B R D' B U2 L'
F B R D2 B U2 L'
R' B F' R F2 U2 F2
D2 B F' R' F2 U2 F
B F R' U2 L F' L2
B F R' U2 L' D F'
B F R' U2 L' D' F'
B F R' U2 L' D2 F'
B F R' U2 L' F' D
B F R' U2 L' F' D'
B F R' U2 L' F' D2
F B R B R U2 L'
B F R' U2 L2 F' L
F B R B R' U2 L'
F B R B R2 U2 L'
B F R' U2 D L' F'
F B R B U2 L' D
F B R B U2 L' D'
F B R B U2 L' D2
B F R' U2 D' L' F'
F B R B U2 D L'
F B R B U2 D' L'
F B R B U2 D2 L'
B F R' U2 D2 L' F'
F B R B D U2 L'
F B R B D' U2 L'
F B R B D2 U2 L'
B2 F R2 U2 D2 L' F
B F R' D U2 L' F'
B F R' D' U2 L' F'
B F R' D2 U2 L' F'
F' B R2 F2 R' B U2
B2 F R2 D2 U2 L' F
R2 B F R U2 L' F'
R2 B F R' B U2 L'
F B R' U2 L F' L2
F B R' U2 L' D F'
F B R' U2 L' D' F'
F B R' U2 L' D2 F'
F B R' U2 L' F' D
F B R' U2 L' F' D'
F B R' U2 L' F' D2
B F R' B U2 L' F'
F B R' U2 L2 F' L
F B R' U2 D L' F'
F B R' U2 D' L' F'
F B R' U2 D2 L' F'
B F R' B' U2 L' F'
F B R' D U2 L' F'
B F R' B2 U2 L' F'
F B R' D' U2 L' F'
R2 B F U2 D2 L' F
F B R' D2 U2 L' F'
R2 B F D2 U2 L' F
R B D2 U2 L2 B' L
F B R' B U2 L' F'
B F R2 U2 D2 L' F
F B R' B' U2 L' F'
F B R' B2 U2 L' F'
R2 B F' R F2 U2 F
B F R2 D2 U2 L' F
B' F U' L2 U' L F
F B R2 U2 D2 L' F
R B F R U2 L' D
R B F R U2 L' D'
R B F R U2 L' D2
R B F R U2 D L'
R B F R U2 D' L'
R B F R U2 D2 L'
R B F R D U2 L'
R B F R D' U2 L'
R B F R D2 U2 L'
R B F R' U2 L' D
R B F R' U2 L' D'
R B F R' U2 L' D2
F B R2 D2 U2 L' F
R B F R' U2 D L'
R B F R' U2 D' L'
R B F R' U2 D2 L'
R B F R' D U2 L'
R B F R' D' U2 L'
R B F R' D2 U2 L'
R B F R2 U2 L' D
R B F R2 U2 L' D'
R B F R2 U2 L' D2
R B F R2 U2 D L'
R B F R2 U2 D' L'
R B F R2 U2 D2 L'
R B F R2 D U2 L'
R B F R2 D' U2 L'
R B F R2 D2 U2 L'
B2 F U' L2 U' L F
B' F U' B L U' L2
R B F U' B U' L'
R B F U' B' U' L'
R B F U' B2 U' L'
R B F U2 L2 D L
R B F U2 L2 D' L
R B F U2 L2 D2 L
R B F U2 D L' D
R B F U2 D L' D'
R B F U2 D L' D2
R B F U2 D' L' D
R B F U2 D' L' D'
R B F U2 D' L' D2
R B F U2 D2 L' D
R B F U2 D2 L' D'
R B F U2 D2 L' D2
R B F U2 B' L' B
R B F U2 B2 L' B2
R B F D R U2 L'
R B F D R' U2 L'
R B F D R2 U2 L'
R B F D U2 L' D
R B F D U2 L' D'
R B F D U2 L' D2
R B F D' R U2 L'
R B F D' R' U2 L'
R B F D' R2 U2 L'
R B F D' U2 L' D
R B F D' U2 L' D'
R B F D' U2 L' D2
B' F U2 L F L2 D
B' F U2 L F L2 D'
B' F U2 L F L2 D2
B' F U2 L F' L2 F2
B' F U2 L F2 L2 F'
R B F D2 R U2 L'
R B F D2 R' U2 L'
R B F D2 R2 U2 L'
B' F U2 L' U2 B' U2
R B F D2 U2 L' D
R B F D2 U2 L' D'
R B F D2 U2 L' D2
R B F' R U2 D2 B2
B2 F U' B L U' L2
R B F' R D2 U2 B2
R B F' R F2 U2 D
R B F' R F2 U2 D'
R B F' R F2 U2 D2
R B F' R F2 D U2
R B F' R F2 D' U2
R B F' R F2 D2 U2
B' F U2 D L F L2
R B F' R' F2 R2 U2
B' F U2 D' L F L2
B' F U2 D2 L F L2
R B F' R2 F2 R' U2
U2 B' L F L B' L2
B2 F U2 L F L2 D
B2 F U2 L F L2 D'
B2 F U2 L F L2 D2
B2 F U2 L F' L2 F2
B2 F U2 L F2 L2 F'
B' F U2 F' L F L'
B2 F U2 L' U2 B' U2
B F U' L2 U' L F
R B F' D2 R U2 B2
B2 F U2 D L F L2
B2 F U2 D' L F L2
B2 F U2 D2 L F L2
F B U' L2 U' L F
B2 F U2 F' L F L'
B' F D R B U2 L'
B' F D R' U2 L' F'
B F U' B L U' L2
R B F2 R2 U2 B L
B' F D U2 L F L2
B F U2 L F L2 D
B F U2 L F L2 D'
B F U2 L F L2 D2
B F U2 L F' L2 F2
B F U2 L F2 L2 F'
B F U2 L' U2 B' U2
R B F2 D F' U2 L'
R B F2 D' F' U2 L'
R B F2 D2 F' U2 L'
B2 F D R B U2 L'
F B U' B L U' L2
B2 F D R' U2 L' F'
B F U2 D L F L2
B F U2 D' L F L2
B F U2 D2 L F L2
F B U2 L F L2 D
F B U2 L F L2 D'
F B U2 L F L2 D2
F B U2 L F' L2 F2
B2 F D U2 L F L2
F B U2 L F2 L2 F'
F B U2 L' U2 B' U2
B F U2 F' L F L'
B' F D' R B U2 L'
B' F D' R' U2 L' F'
F B U2 D L F L2
B' F D' U2 L F L2
F B U2 D' L F L2
F B U2 D2 L F L2
U2 B' L2 F B' L' F
F B U2 F' L F L'
B F D R B U2 L'
U2 B' L2 B' L' F L'
B F D R' U2 L' F'
B2 F D' R B U2 L'
B2 F D' R' U2 L' F'
U2 B' L2 B' F L' F
B F D U2 L F L2
B2 F D' U2 L F L2
B' F D2 R B U2 L'
B' F D2 R' U2 L' F'
F B D R B U2 L'
F B D R' U2 L' F'
B' F D2 U2 L F L2
F B D U2 L F L2
F' B D2 R B U2 B
D2 B' R' F U2 L F2
D2 B' R' F U2 F2 L
B F D' R B U2 L'
B2 F D2 R B U2 L'
B F D' R' U2 L' F'
B2 F D2 R' U2 L' F'
B F D' U2 L F L2
R2 B' R F U2 L' F2
B2 F D2 U2 L F L2
F B D' R B U2 L'
F B D' R' U2 L' F'
L2 B' R' F L' F2 R
F B D' U2 L F L2
R' B' R2 F B U2 L'
B F D2 R B U2 L'
B F D2 R' U2 L' F'
R' B' R2 B F U2 L'
B F D2 U2 L F L2
R2 B' R' F B U2 L'
R2 B' R' B F U2 L'
F B D2 R B U2 L'
F B D2 R' U2 L' F'
R B' R F B2 U2 L'
F B D2 U2 L F L2
R B' R B2 F U2 L'
R B' R' F B2 U2 L'
R B' R' B2 F U2 L'
D2 B' U2 L2 B' L' F
R B' R2 F B2 U2 L'
B' F' R D2 B U2 B
B' F' R F2 D B U2
B' F' R F2 D' B U2
B' F' R F2 D2 B U2
B' F' R F2 B U2 D
B' F' R F2 B U2 D'
B' F' R F2 B U2 D2
B' F' R F2 B D U2
B' F' R F2 B D' U2
B' F' R F2 B D2 U2
B' F' R B U2 D2 B2
B' F' R B D2 U2 B2
R B' R2 B2 F U2 L'
B' F' R B F2 U2 D
B' F' R B F2 U2 D'
B' F' R B F2 U2 D2
B' F' R B F2 D U2
B' F' R B F2 D' U2
B' F' R B F2 D2 U2
F' B' R D2 B U2 B
B2 F' R D2 B U2 B
F' B' R F2 D B U2
F' B' R F2 D' B U2
F' B' R F2 D2 B U2
F' B' R F2 B U2 D
F' B' R F2 B U2 D'
F' B' R F2 B U2 D2
F' B' R F2 B D U2
F' B' R F2 B D' U2
F' B' R F2 B D2 U2
F' B' R B U2 D2 B2
F' B' R B D2 U2 B2
F' B' R B F2 U2 D
F' B' R B F2 U2 D'
F' B' R B F2 U2 D2
F' B' R B F2 D U2
F' B' R B F2 D' U2
F' B' R B F2 D2 U2
B2 F' R F2 D B U2
B2 F' R F2 D' B U2
B2 F' R F2 D2 B U2
B2 F' R F2 B U2 D
B2 F' R F2 B U2 D'
B2 F' R F2 B U2 D2
B2 F' R F2 B D U2
B2 F' R F2 B D' U2
B2 F' R F2 B D2 U2
B2 F' R B U2 D2 B2
B2 F' R B D2 U2 B2
B2 F' R B F2 U2 D
B2 F' R B F2 U2 D'
B2 F' R B F2 U2 D2
B2 F' R B F2 D U2
B2 F' R B F2 D' U2
B2 F' R B F2 D2 U2
D2 B' D F U2 L F
B' F' R' F2 R2 U2 F
B F' R D2 B U2 B
F' B' R' F2 R2 U2 F
B2 F' R' F2 R2 U2 F
B F' R F2 D B U2
B F' R F2 D' B U2
B F' R F2 D2 B U2
B F' R F2 B U2 D
B F' R F2 B U2 D'
B F' R F2 B U2 D2
B F' R F2 B D U2
B F' R F2 B D' U2
B F' R F2 B D2 U2
B F' R B U2 D2 B2
B F' R B D2 U2 B2
B F' R B F2 U2 D
B F' R B F2 U2 D'
B F' R B F2 U2 D2
B F' R B F2 D U2
B F' R B F2 D' U2
B F' R B F2 D2 U2
F B' R D B U2 L'
F B' R D' B U2 L'
D2 B' D' F U2 L F
B' F' R2 F2 R' B U2
F B' R D2 B U2 L'
F B' R B R U2 L'
F B' R B R' U2 L'
F B' R B R2 U2 L'
F B' R B U2 L' D
F B' R B U2 L' D'
F B' R B U2 L' D2
F B' R B U2 D L'
F B' R B U2 D' L'
F B' R B U2 D2 L'
F B' R B D U2 L'
F B' R B D' U2 L'
F B' R B D2 U2 L'
F' B' R2 F2 R' B U2
B F' R' F2 R2 U2 F
B2 F' R2 F2 R' B U2
F B' R' U2 L F' L2
F B' R' U2 L' D F'
F B' R' U2 L' D' F'
F B' R' U2 L' D2 F'
F B' R' U2 L' F' D
F B' R' U2 L' F' D'
F B' R' U2 L' F' D2
F B' R' U2 L2 F' L
F B' R' U2 D L' F'
F B' R' U2 D' L' F'
F B' R' U2 D2 L' F'
F B' R' D U2 L' F'
F B' R' D' U2 L' F'
D2 B' D2 F U2 L F
F B' R' D2 U2 L' F'
F B' R' B U2 L' F'
F B' R' B' U2 L' F'
F B' R' B2 U2 L' F'
R' B' F R U2 L' F2
R' B' F R' U2 L' F2
D2 B' F R' U2 L F'
D2 B' F R' U2 F' L
B F' R2 F2 R' B U2
R' B' F R2 U2 L' F2
L' B' F L' B' R' F'
F B' R2 U2 D2 L' F
D2 B' F U2 L D F
D2 B' F U2 L D' F
D2 B' F U2 L D2 F
D2 B' F U2 L F D
D2 B' F U2 L F D'
D2 B' F U2 L F D2
R' B' F U2 L F2 L2
R' B' F U2 L' F2 D
R' B' F U2 L' F2 D'
R' B' F U2 L' F2 D2
R' B' F U2 L2 F2 L
D2 B' F U2 D L F
D2 B' F U2 D' L F
D2 B' F U2 D2 L F
D2 B' F U2 F L F
D2 B' F U2 F' L F
D2 B' F U2 F2 L F
D2 B' F D U2 L F
F B' R2 D2 U2 L' F
D2 B' F D' U2 L F
D2 B' F D2 U2 L F
R' B' F D2 B2 U2 L'
R' B' F' R F2 U2 F2
R2 B' F R U2 L' F'
R2 B' F R' B U2 L'
R2 B' F U2 D2 L' F
R2 B' F D2 U2 L' F
F B' U' L2 U' L F
R2 B' F' R F2 U2 F
F B' U' B L U' L2
R B' F R B2 U2 L'
F B' U2 L F L2 D
F B' U2 L F L2 D'
F B' U2 L F L2 D2
F B' U2 L F' L2 F2
F B' U2 L F2 L2 F'
R B' F R' B2 U2 L'
F B' U2 L' U2 B' U2
R B' F R2 B2 U2 L'
R B' F U2 L' D2 F2
R B' F U2 D2 L' F2
F B' U2 D L F L2
F B' U2 D' L F L2
R B' F D2 U2 L' F2
F B' U2 D2 L F L2
F B' U2 F' L F L'
R B' F' R F2 B2 U2
R B' F' R B2 F2 U2
U2 B2 L F L B' L2
B' F' D2 R B U2 B
F B' D R B U2 L'
F B' D R' U2 L' F'
F' B' D2 R B U2 B
F B' D U2 L F L2
B2 F' D2 R B U2 B
F B' D' R B U2 L'
F B' D' R' U2 L' F'
F B' D' U2 L F L2
B F' D2 R B U2 B
U2 B2 L2 F B' L' F
D2 B2 R F B U2 L
U2 B2 L2 B' L' F L'
D2 B2 R B F U2 L
U2 B2 L2 B' F L' F
F B' D2 R B U2 L'
F B' D2 R' U2 L' F'
F B' D2 U2 L F L2
L' B2 R' F L' F2 B'
L' B2 R' F L' B' F2
R2 B2 R F U2 L' F2
R' B2 R2 F B U2 L'
R' B2 R2 B F U2 L'
R2 B2 R' F B U2 L'
R2 B2 R' B F U2 L'
F' B2 R D2 B U2 B
R B2 R F B' U2 L'
F' B2 R F2 D B U2
F' B2 R F2 D' B U2
F' B2 R F2 D2 B U2
F' B2 R F2 B U2 D
F' B2 R F2 B U2 D'
F' B2 R F2 B U2 D2
F' B2 R F2 B D U2
F' B2 R F2 B D' U2
F' B2 R F2 B D2 U2
F' B2 R B U2 D2 B2
F' B2 R B D2 U2 B2
F' B2 R B F2 U2 D
F' B2 R B F2 U2 D'
F' B2 R B F2 U2 D2
F' B2 R B F2 D U2
F' B2 R B F2 D' U2
F' B2 R B F2 D2 U2
R B2 R B' F U2 L'
R B2 R' F B' U2 L'
F' B2 R' F2 R2 U2 F
R B2 R' B' F U2 L'
F B2 R D B U2 L'
F B2 R D' B U2 L'
F B2 R D2 B U2 L'
F B2 R B R U2 L'
F B2 R B R' U2 L'
F B2 R B R2 U2 L'
F B2 R B U2 L' D
F B2 R B U2 L' D'
F B2 R B U2 L' D2
F B2 R B U2 D L'
F B2 R B U2 D' L'
F B2 R B U2 D2 L'
F B2 R B D U2 L'
F B2 R B D' U2 L'
F B2 R B D2 U2 L'
R B2 R2 F B' U2 L'
F' B2 R2 F2 R' B U2
R B2 R2 B' F U2 L'
F B2 R' U2 L F' L2
F B2 R' U2 L' D F'
F B2 R' U2 L' D' F'
F B2 R' U2 L' D2 F'
F B2 R' U2 L' F' D
F B2 R' U2 L' F' D'
F B2 R' U2 L' F' D2
F B2 R' U2 L2 F' L
F B2 R' U2 D L' F'
F B2 R' U2 D' L' F'
F B2 R' U2 D2 L' F'
F B2 R' D U2 L' F'
F B2 R' D' U2 L' F'
F B2 R' D2 U2 L' F'
F B2 R' B U2 L' F'
F B2 R' B' U2 L' F'
F B2 R' B2 U2 L' F'
F B2 R2 U2 D2 L' F
F B2 R2 D2 U2 L' F
R B2 U2 L2 F B' L'
R B2 U2 L2 B' F L'
F B2 U' L2 U' L F
R' B2 F R U2 L' F2
D2 B2 F R B U2 L
R' B2 F R' U2 L' F2
D2 B2 F R' U2 F' L'
R' B2 F R2 U2 L' F2
L' B2 F L' R' F' B'
L' B2 F L' R' B' F'
R' B2 F U2 L F2 L2
R' B2 F U2 L' F2 D
R' B2 F U2 L' F2 D'
R' B2 F U2 L' F2 D2
F B2 U' B L U' L2
R' B2 F U2 L2 F2 L
L' B2 F R' L' F' B'
L' B2 F R' L' B' F'
F B2 U2 L F L2 D
F B2 U2 L F L2 D'
F B2 U2 L F L2 D2
F B2 U2 L F' L2 F2
F B2 U2 L F2 L2 F'
R' B2 F D2 B2 U2 L'
F B2 U2 L' U2 B' U2
R' B2 F' R F2 U2 F2
F B2 U2 D L F L2
F B2 U2 D' L F L2
F B2 U2 D2 L F L2
F B2 U2 F' L F L'
R2 B2 F R U2 L' F'
R2 B2 F R' B U2 L'
F B2 D R B U2 L'
F B2 D R' U2 L' F'
F' B2 D2 R B U2 B
R2 B2 F U2 D2 L' F
L' B2 F2 R' F' L' B'
F B2 D U2 L F L2
R2 B2 F D2 U2 L' F
R B2 D2 F B' U2 L
R2 B2 F' R F2 U2 F
R B2 D2 B' F U2 L
F B2 D' R B U2 L'
F B2 D' R' U2 L' F'
R B2 F R B' U2 L'
F B2 D' U2 L F L2
R B2 F R' B' U2 L'
R B2 F R2 B' U2 L'
R B2 F U2 L2 F L
R B2 F D B' U2 L'
R B2 F D' B' U2 L'
R B2 F D2 B' U2 L'
F B2 D2 R B U2 L'
F B2 D2 R' U2 L' F'
R B2 F' R F2 B' U2
R B2 F' R B' F2 U2
F B2 D2 U2 L F L2
