F' B2 U2 R
B2 F' U2 R
B2 L F' U2 R
F' L B2 U2 R
B2 L' F' U2 R
F L' F2 B2 U2
F L' B2 F2 U2
F' L' B2 U2 R
B2 L2 F' U2 R
F' L2 B2 U2 R
F' U2 R D2 F2
F' U2 D2 R F2
L' F' B2 U2 R
L F' B2 U2 R
L2 F' B2 U2 R
F' D2 U2 R F2
B2 F L' F2 U2
B2 F' L U2 R
B2 F' L' U2 R
B2 F' L2 U2 R
B2 F' U2 R D
B2 F' U2 R D'
B2 F' U2 R D2
B2 F' U2 D R
B2 F' U2 D' R
B2 F' U2 D2 R
F B2 L' F2 U2
B2 F' D U2 R
F' B2 L U2 R
B2 F' D' U2 R
F' B2 L' U2 R
B2 F' D2 U2 R
F' B2 L2 U2 R
L' B2 F' U2 R
F' B2 U2 R D
F' B2 U2 R D'
F' B2 U2 R D2
F' B2 U2 D R
F' B2 U2 D' R
F' B2 U2 D2 R
F' B2 D U2 R
L B2 F' U2 R
F' B2 D' U2 R
F' B2 D2 U2 R
L2 B2 F' U2 R
D2 R' F2 R' B L' R'
D2 R' F2 R' B R' L'
R' U2 R B2 F' U2 R
D2 R' F2 B L' R' B
D2 R' F2 B R' L' B
D2 R' F2 B R' B L'
F' R' B R U2 R F'
U2 R' B R2 F' R B
D2 R' B F2 L' R' B
D2 R' B F2 R' L' B
D2 R' B F2 R' B L'
F R' F2 B2 U2 L' R
F R' F2 B2 U2 R L'
L' U2 R2 D2 F2 B R'
L' U2 R2 D2 B R' F2
L' U2 R2 D2 B F2 R'
B' R' B' R F' U2 R
F' R' B' R B' U2 R
L' U2 R2 B R2 F' R
L2 U2 R2 D2 F2 B R'
L2 U2 R2 D2 B R' F2
L2 U2 R2 D2 B F2 R'
L2 U2 R2 B R2 F' R
R2 U2 R2 F' B2 U2 R
F' R' B2 L R U2 R
L U2 R2 D2 F2 B R'
L U2 R2 D2 B R' F2
L U2 R2 D2 B F2 R'
F' R' B2 L' R U2 R
R2 U2 R2 B2 F' U2 R
F' R' B2 L2 R U2 R
F' R' B2 R L U2 R
F' R' B2 R L' U2 R
F' R' B2 R L2 U2 R
F' R' B2 R U2 R D
F' R' B2 R U2 R D'
F' R' B2 R U2 R D2
F' R' B2 R U2 D R
F' R' B2 R U2 D' R
F' R' B2 R U2 D2 R
F' R' B2 R D U2 R
F' R' B2 R D' U2 R
F' R' B2 R D2 U2 R
L U2 R2 B R2 F' R
F2 R' B2 R F U2 R
F' R' B2 D2 L2 R U2
F' R' B2 D2 R L2 U2
F R' B2 L' R F2 U2
F R' B2 L' F2 U2 L'
F R' B2 R L' F2 U2
F R' B2 R F2 U2 R
L' U2 D2 R2 F2 B R'
L' U2 D2 R2 B R' F2
L' U2 D2 R2 B F2 R'
F' R2 L B2 L R2 U2
F' R2 L B2 R2 L U2
F R' B2 F2 U2 L' R
F R' B2 F2 U2 R L'
R2 U2 D2 L2 F2 B R'
R2 U2 D2 L2 B R' F2
R2 U2 D2 L2 B F2 R'
L2 U2 D2 R2 F2 B R'
L2 U2 D2 R2 B R' F2
L2 U2 D2 R2 B F2 R'
R2 U2 D2 F2 L2 B R'
R2 U2 D2 F2 B L2 R'
R2 U2 D2 F2 B R' L2
R2 U2 D2 B L2 R' F2
R2 U2 D2 B L2 F2 R'
R2 U2 D2 B R' L2 F2
R2 U2 D2 B R' F2 L2
R2 U2 D2 B F2 L2 R'
R2 U2 D2 B F2 R' L2
L U2 D2 R2 F2 B R'
L U2 D2 R2 B R' F2
L U2 D2 R2 B F2 R'
F' R2 L' B2 L R2 U2
F' R2 L' B2 R2 L U2
L' U2 F D2 F2 R B2
L' U2 F D2 F2 B2 R
L' U2 F D2 B2 F2 R
L2 U2 F D2 F2 R B2
L2 U2 F D2 F2 B2 R
L2 U2 F D2 B2 F2 R
F R2 L' F2 R2 B2 U2
F R2 L' F2 B2 R2 U2
F' R2 L2 B2 L R2 U2
F' R2 L2 B2 R2 L U2
F R2 L' B2 R2 F2 U2
F R2 L' B2 F2 R2 U2
L U2 F D2 F2 R B2
L U2 F D2 F2 B2 R
L U2 F D2 B2 F2 R
U' R2 U' D2 F2 B R'
U' R2 U' D2 B R' F2
U' R2 U' D2 B F2 R'
U R2 U D2 F2 B R'
U R2 U D2 B R' F2
U R2 U D2 B F2 R'
U' R2 U' B R2 F' R
L' U2 B R2 F' B R
L' U2 B R2 B F' R
U R2 U B R2 F' R
L2 U2 B R2 F' B R
L2 U2 B R2 B F' R
F' R2 U2 D2 L2 R' F2
F' R2 U2 D2 L2 F2 R'
F' R2 U2 D2 R' L2 F2
F' R2 U2 D2 R' F2 L2
F' R2 U2 D2 F2 L2 R'
F' R2 U2 D2 F2 R' L2
B2 R2 U2 D2 L2 B R'
B2 R2 U2 D2 B L2 R'
B2 R2 U2 D2 B R' L2
L U2 B R2 F' B R
L U2 B R2 B F' R
R' U2 B2 R F' U2 R
D' R2 D' F2 U B R'
B' R2 D2 L2 F B R'
B' R2 D2 L2 B R' F
B' R2 D2 L2 B F R'
U' R2 D2 U' F2 B R'
U' R2 D2 U' B R' F2
U' R2 D2 U' B F2 R'
F' R2 D2 U2 L2 R' F2
F' R2 D2 U2 L2 F2 R'
F' R2 D2 U2 R' L2 F2
F' R2 D2 U2 R' F2 L2
F' R2 D2 U2 F2 L2 R'
F' R2 D2 U2 F2 R' L2
B2 R2 D2 U2 L2 B R'
B2 R2 D2 U2 B L2 R'
B2 R2 D2 U2 B R' L2
B R2 D2 L2 F' B R'
B R2 D2 L2 B F' R'
B2 R2 D2 B L2 R' F
B2 R2 D2 B L2 F R'
B2 R2 D2 B R' L2 F
U2 R2 D2 F B R' F
U2 R2 D2 F2 B R' D
U2 R2 D2 F2 B R' D'
U2 R2 D2 F2 B R' D2
U2 R2 D2 F2 B D R'
U2 R2 D2 F2 B D' R'
U2 R2 D2 F2 B D2 R'
F R2 D2 L2 F2 B2 R'
F R2 D2 L2 B2 R' F2
U2 R2 D2 B R F2 R2
F R2 D2 L2 B2 F2 R'
U2 R2 D2 B R' F2 D
U2 R2 D2 B R' F2 D'
U2 R2 D2 B R' F2 D2
U2 R2 D2 B F R' F
U2 R2 D2 B F2 R' D
U2 R2 D2 B F2 R' D'
U2 R2 D2 B F2 R' D2
U2 R2 D2 B F2 D R'
U2 R2 D2 B F2 D' R'
U2 R2 D2 B F2 D2 R'
B2 R2 F L' R2 F' U2
B R2 D2 F' L2 B R'
B R2 D2 F' B L2 R'
B R2 D2 F' B R' L2
B R2 D2 B L2 F' R'
B R2 D2 B F' L2 R'
B R2 D2 B F' R' L2
B2 R2 F R2 L' F' U2
U R2 D2 U F2 B R'
U R2 D2 U B R' F2
U R2 D2 U B F2 R'
F2 R2 F R2 B2 L U2
F R2 D2 F2 L2 R B2
F R2 D2 F2 L2 B2 R
F R2 D2 F2 R L2 B2
F R2 D2 F2 R B2 L2
F R2 D2 F2 B2 L2 R
F R2 D2 F2 B2 R L2
F R2 D2 B2 F2 L2 R
F R2 D2 B2 F2 R L2
U2 R2 F D2 F2 B R
U2 R2 F D2 B F2 R
F2 R2 F B2 R2 U2 R'
B2 R2 F' R2 F' U2 R'
U2 R2 F' D2 B R F2
U2 R2 F' B R2 F' R'
B R2 F' D2 L2 B R
B R2 F' D2 B L2 R
B R2 F' D2 B R L2
B2 R2 F2 R2 F' L' U2
B R2 F' B D2 L2 R
B R2 F' B D2 R L2
D2 R2 F2 B D2 L2 R'
D2 R2 F2 B D2 R' L2
D2 R2 B R F2 L' R2
D2 R2 B R F2 R2 L'
F R2 F2 R2 B2 L U2
U2 R2 B R F' R F'
U2 R2 B R2 F' R D
U2 R2 B R2 F' R D'
U2 R2 B R2 F' R D2
U2 R2 B R2 F' D R
U2 R2 B R2 F' D' R
U2 R2 B R2 F' D2 R
D2 R2 B F2 D2 L2 R'
D2 R2 B F2 D2 R' L2
F R2 F2 B2 R2 U2 R'
U2 R2 B F' R2 F' R'
F' R2 B' R2 B' L U2
B R2 B F' D2 L2 R
B R2 B F' D2 R L2
F' R2 B2 L R2 U2 D
F' R2 B2 L R2 U2 D'
F' R2 B2 L R2 U2 D2
F' R2 B2 L R2 D U2
F' R2 B2 L R2 D' U2
F' R2 B2 L R2 D2 U2
F' R2 B2 L U2 D2 L2
F' R2 B2 L D2 U2 L2
F' R2 B2 R2 L U2 D
F' R2 B2 R2 L U2 D'
F' R2 B2 R2 L U2 D2
F' R2 B2 R2 L D U2
F' R2 B2 R2 L D' U2
F' R2 B2 R2 L D2 U2
F' R2 B2 R2 D L U2
F' R2 B2 R2 D' L U2
F' R2 B2 R2 D2 L U2
F2 R2 B2 R2 F U2 R
F' R2 B2 D2 L U2 L
D' U L R2 B' U B2
F R2 B2 L' R2 F2 U2
F2 R2 B2 F R2 U2 R'
F R2 B2 L' F2 R2 U2
F R2 B2 R2 L' F2 U2
F R2 B2 R2 F2 U2 R
B2 U L U' F' U2 R
D' U L B' R2 U B
F R2 B2 F2 R2 U2 R'
B2 U L' U' F' U2 R
B2 U L2 U' F' U2 R
F' U R D' R2 U R2
F' U R' U R2 D2 F2
F' U R' U' B2 U2 R2
F' U R' B U R2 F'
D' U R2 L B' U B2
D' U R2 U D' B R'
D2 U R2 U F2 B R'
D2 U R2 U B R' F2
D2 U R2 U B F2 R'
F' U R2 U R' D2 F2
F' U R2 U D2 R' F2
F' U R2 U D2 F2 R'
F' U R2 U' B2 L U2
D' U R2 D' U B R'
F' U R2 D' R2 U R
F' U R2 D2 U R' F2
F' U R2 D2 U F2 R'
B U R2 U F' B R
B U R2 U B F' R
F' U D' R2 U R' D
F' U D' R2 U R' D'
F' U D' R2 U R' D2
F' U D' R2 U D R'
F' U D' R2 U D' R'
F' U D' R2 U D2 R'
F' U D' R2 D U R'
F' U D' R2 D' U R'
F' U D' R2 D2 U R'
F' U D' B R2 U R'
F' U D' B' R2 U R'
F' U D' B2 R2 U R'
F' U D2 R' U R2 F2
F' U D2 R' U F2 R2
F' U D2 R2 U R' F2
F' U D2 R2 U F2 R'
F' U D2 B U R F2
F' U D2 B' U R F2
F' U D2 B2 U R F2
F' U B R2 U F' R'
F' U B U R2 F' R'
F' U B U' B U2 R
B2 U B U' F' U2 R
F' U B' U' B' U2 R
B2 U B' U' F' U2 R
U D' L R2 B' U B2
U D' L B' R2 U B
B2 U B2 U' F' U2 R
F' U' L U B2 U2 R
F' U' L U' R D2 F2
F' U' L U' D2 R F2
F' U' L D L2 U' R
F' U' L D2 U' R F2
F' U' L' U B2 U2 R
F' U' L' U' R D2 F2
F' U' L' U' D2 R F2
F' U' L' D L2 U' R
F' U' L' D2 U' R F2
F' U' L2 U B2 U2 R
F' U' L2 U' R D2 F2
F' U' L2 U' D2 R F2
F' U' L2 D L2 U' R
F' U' L2 D2 U' R F2
D2 U' R2 U' F2 B R'
D2 U' R2 U' B R' F2
D2 U' R2 U' B F2 R'
U D' R2 L B' U B2
U D' R2 U D' B R'
U D' R2 D' U B R'
B2 U' R2 U' D2 B R'
B2 U' R2 D2 U' B R'
B2 U' R2 F' U' B R
F' U' D L2 U' R D
F' U' D L2 U' R D'
F' U' D L2 U' R D2
F' U' D L2 U' D R
F' U' D L2 U' D' R
F' U' D L2 U' D2 R
F' U' D L2 D U' R
F' U' D L2 D' U' R
F' U' D L2 D2 U' R
B U' R2 U' F' B R
B U' R2 U' B F' R
F2 U' D L2 U' B' R'
F' U' D2 L U' R F2
F' U' D2 L' U' R F2
F' U' D2 L2 U' R F2
B2 U' D2 R2 U' B R'
R2 D2 L F2 L B R'
B2 U' F U L' F2 U2
B2 U' F U F2 U2 R
R2 D2 L' B L' R' F2
R2 D2 L' B L' F2 R'
R2 D2 L' B R' L' F2
R2 D2 L2 F B R' F
R2 D2 L2 F2 B R' D
R2 D2 L2 F2 B R' D'
R2 D2 L2 F2 B R' D2
R2 D2 L2 F2 B D R'
R2 D2 L2 F2 B D' R'
R2 D2 L2 F2 B D2 R'
R2 D2 L2 B R F2 R2
R2 D2 L2 B R' F2 D
R2 D2 L2 B R' F2 D'
R2 D2 L2 B R' F2 D2
R2 D2 L2 B F R' F
R2 D2 L2 B F2 R' D
R2 D2 L2 B F2 R' D'
R2 D2 L2 B F2 R' D2
R2 D2 L2 B F2 D R'
R2 D2 L2 B F2 D' R'
R2 D2 L2 B F2 D2 R'
F' U' F2 U L' B2 U2
F' U' F2 U B2 L' U2
F' U' F2 U' D2 F2 R
F' U' F2 D2 U' F2 R
D2 U2 R F2 R B R'
U2 D2 R F2 R B R'
R2 D2 U L2 F2 B R'
R2 D2 U L2 B R' F2
R2 D2 U L2 B F2 R'
D2 U2 R' F2 R' B R'
D2 U2 R' F2 B R' B
D2 U2 R' B R' F2 B
D2 U2 R' B R' B F2
D2 U2 R' B F2 R' B
R2 D2 U F2 L2 B R'
R2 D2 U F2 B L2 R'
R2 D2 U F2 B R' L2
R2 D2 U B L2 R' F2
R2 D2 U B L2 F2 R'
U' D2 R2 U' F2 B R'
R2 D2 U B R' L2 F2
U' D2 R2 U' B R' F2
R2 D2 U B R' F2 L2
U' D2 R2 U' B F2 R'
R2 D2 U B F2 L2 R'
R2 D2 U B F2 R' L2
F' U2 L R D2 L' F2
U2 D2 R' F2 R' B R'
U2 D2 R' F2 B R' B
U2 D2 R' B R' F2 B
U2 D2 R' B R' B F2
R2 D2 U' L2 F2 B R'
R2 D2 U' L2 B R' F2
R2 D2 U' L2 B F2 R'
U2 D2 R' B F2 R' B
D2 U2 R2 F B R' F
L' D2 U2 R2 F2 B R'
L' D2 U2 R2 B R' F2
L' D2 U2 R2 B F2 R'
F' U2 L D2 L' R F2
F' U2 L D2 R L' F2
D2 U2 R2 F2 B R' D
D2 U2 R2 F2 B R' D'
D2 U2 R2 F2 B R' D2
D2 U2 R2 F2 B D R'
D2 U2 R2 F2 B D' R'
D2 U2 R2 F2 B D2 R'
D2 U2 R2 B R F2 R2
D2 U2 R2 B R' F2 D
D2 U2 R2 B R' F2 D'
D2 U2 R2 B R' F2 D2
D2 U2 R2 B F R' F
D2 U2 R2 B F2 R' D
D2 U2 R2 B F2 R' D'
D2 U2 R2 B F2 R' D2
D2 U2 R2 B F2 D R'
D2 U2 R2 B F2 D' R'
D2 U2 R2 B F2 D2 R'
R2 D2 U' F2 L2 B R'
R2 D2 U' F2 B L2 R'
R2 D2 U' F2 B R' L2
R2 D2 U' B L2 R' F2
R2 D2 U' B L2 F2 R'
R2 D2 U' B R' L2 F2
R2 D2 U' B R' F2 L2
R2 D2 U' B F2 L2 R'
R2 D2 U' B F2 R' L2
F' U2 L' R D2 L F2
F' U2 L' R D2 F2 L
L2 D2 U2 R2 F2 B R'
L2 D2 U2 R2 B R' F2
L2 D2 U2 R2 B F2 R'
U2 D2 R2 F B R' F
R2 D2 U2 L2 F2 B R'
R2 D2 U2 L2 B R' F2
R2 D2 U2 L2 B F2 R'
U2 D2 R2 F2 B R' D
U2 D2 R2 F2 B R' D'
U2 D2 R2 F2 B R' D2
U2 D2 R2 F2 B D R'
U2 D2 R2 F2 B D' R'
U2 D2 R2 F2 B D2 R'
U2 D2 R2 B R F2 R2
U2 D2 R2 B R' F2 D
U2 D2 R2 B R' F2 D'
U2 D2 R2 B R' F2 D2
U2 D2 R2 B F R' F
U2 D2 R2 B F2 R' D
U2 D2 R2 B F2 R' D'
U2 D2 R2 B F2 R' D2
U2 D2 R2 B F2 D R'
U2 D2 R2 B F2 D' R'
U2 D2 R2 B F2 D2 R'
R2 D2 U2 F2 L2 B R'
F' U2 L' D2 L R F2
F' U2 L' D2 R L F2
F' U2 L' D2 R F2 L
R2 D2 U2 F2 B L2 R'
R2 D2 U2 F2 B R' L2
R2 D2 U2 B L2 R' F2
R2 D2 U2 B L2 F2 R'
R2 D2 U2 B R' L2 F2
R2 D2 U2 B R' F2 L2
U D2 R2 U F2 B R'
U D2 R2 U B R' F2
U D2 R2 U B F2 R'
R2 D2 U2 B F2 L2 R'
R2 D2 U2 B F2 R' L2
L D2 U2 R2 F2 B R'
L D2 U2 R2 B R' F2
L D2 U2 R2 B F2 R'
L' D2 F' U2 D2 F' R
F' U2 L2 D2 R F2 L'
R2 D2 F B R' F L2
L' D2 F' D2 U2 F' R
L' D2 F' B U2 F' R'
L' D2 F' B' L U2 F'
R2 D2 F' L2 F' B R'
R2 D2 F' L2 B F' R'
F' U2 R L D2 L' F2
L2 D2 F' U2 D2 F' R
F' U2 R L' D2 L F2
F' U2 R L' D2 F2 L
F2 U2 L2 B' L2 R' F
F2 U2 L2 B' L2 F R'
F2 U2 L2 B' R' L2 F
F U2 L' F2 B2 R' U2
F' U2 R U D L2 U'
F' U2 R U' D' R2 U
L2 D2 F' D2 U2 F' R
F U2 L' B2 R' F2 U2
L2 D2 F' B U2 F' R'
L2 D2 F' B' L U2 F'
F' U2 R U2 B2 U2 D
F' U2 R U2 B2 U2 D'
F' U2 R U2 B2 U2 D2
F' U2 R U2 B2 D U2
F' U2 R U2 B2 D' U2
F' U2 R U2 B2 D2 U2
F U2 L' B2 F2 R' U2
F' U2 R D U L2 U'
F' U2 R D F D F2
F' U2 R D F' D F2
F' U2 R D F2 D F2
F' U2 R D' U' R2 U
F' U2 R D' F D' F2
F' U2 R D' F' D' F2
F' U2 R D' F2 D' F2
F' U2 R D2 L' F2 L
F' U2 R D2 L2 F2 L2
F' U2 R D2 R F2 R'
F' U2 R D2 R2 F2 R2
F' U2 R D2 F D F
F' U2 R D2 F D' F
F' U2 R D2 F D2 F
F' U2 R D2 F' D F'
F' U2 R D2 F' D' F'
F' U2 R D2 F' D2 F'
R2 D2 F' B L2 F' R'
F' U2 R F U2 B2 U2
F' U2 R F D2 F2 D
F' U2 R F D2 F2 D'
F' U2 R F D2 F2 D2
B2 U2 R D2 R B R'
F' U2 R F' U2 B2 U2
F' U2 R F' D2 F2 D
F' U2 R F' D2 F2 D'
F' U2 R F' D2 F2 D2
F' U2 R F2 U2 B2 U2
F' U2 R F2 D2 F2 D
F' U2 R F2 D2 F2 D'
F' U2 R F2 D2 F2 D2
B2 U2 R F' R F B
B2 U2 R F' R B F
R2 D2 F2 L' B L' R'
R2 D2 F2 L' B R' L'
R2 D2 F2 L2 B R' D
R2 D2 F2 L2 B R' D'
R2 D2 F2 L2 B R' D2
R2 D2 F2 L2 B D R'
R2 D2 F2 L2 B D' R'
R2 D2 F2 L2 B D2 R'
L D2 F' U2 D2 F' R
D2 U2 B R2 B R F2
L D2 F' D2 U2 F' R
F' U2 R' U2 B2 U2 R2
L D2 F' B U2 F' R'
L D2 F' B' L U2 F'
F' U2 R' D2 F2 D2 R2
R2 D2 F2 B L2 R' D
R2 D2 F2 B L2 R' D'
R2 D2 F2 B L2 R' D2
R2 D2 F2 B L2 D R'
R2 D2 F2 B L2 D' R'
R2 D2 F2 B L2 D2 R'
F' U2 R' F R2 D2 F2
R2 D2 F2 B R' L2 D
R2 D2 F2 B R' L2 D'
R2 D2 F2 B R' L2 D2
F' U2 R' F' R2 D2 F2
B U2 R F' R F' B
B U2 R F' R B F'
F' U2 R' F2 R2 D2 F2
R2 D2 B L R' F2 L
F' U2 R' B R2 F' B'
F' U2 R' B R2 B' F'
R2 D2 B L F2 L R'
R2 D2 B L F2 R' L
U2 D2 B R2 B R F2
L' D2 B F' U2 F' R'
R2 D2 B L2 R F2 R2
R2 D2 B L2 R' F2 D
R2 D2 B L2 R' F2 D'
R2 D2 B L2 R' F2 D2
R2 D2 B L2 F R' F
R2 D2 B L2 F2 R' D
R2 D2 B L2 F2 R' D'
R2 D2 B L2 F2 R' D2
R2 D2 B L2 F2 D R'
R2 D2 B L2 F2 D' R'
R2 D2 B L2 F2 D2 R'
F U2 R D2 F2 R B2
F U2 R D2 F2 B2 R
L' D2 B' L F' U2 F'
F U2 R D2 B2 F2 R
R2 D2 B R L2 F2 R2
R2 D2 B R F2 L2 R2
R2 D2 B R F2 R2 L2
R2 D2 B R' L F2 L
R2 D2 B R' L2 F2 D
R2 D2 B R' L2 F2 D'
R2 D2 B R' L2 F2 D2
R2 D2 B R' F' L2 F'
R2 D2 B R' F2 L2 D
R2 D2 B R' F2 L2 D'
R2 D2 B R' F2 L2 D2
F' U2 R2 U2 B2 L U2
F' U2 R2 D R' D F2
L2 D2 B F' U2 F' R'
L2 D2 B' L F' U2 F'
F' U2 R2 D2 R F2 R2
F' U2 R2 D2 R' F2 D
F' U2 R2 D2 R' F2 D'
F' U2 R2 D2 R' F2 D2
F' U2 R2 D2 F R' F
F' U2 R2 D2 F2 R' D
F' U2 R2 D2 F2 R' D'
F' U2 R2 D2 F2 R' D2
F' U2 R2 D2 F2 D R'
F' U2 R2 D2 F2 D' R'
F' U2 R2 D2 F2 D2 R'
F' U2 R2 F R' D2 F2
R2 D2 B F R' F L2
F' U2 R2 F D2 R' F2
F' U2 R2 F D2 F2 R'
R2 D2 B F' L2 F' R'
F' U2 R2 F' R' D2 F2
B2 U2 R2 D2 B R' D
B2 U2 R2 D2 B R' D'
B2 U2 R2 D2 B R' D2
B2 U2 R2 D2 B D R'
B2 U2 R2 D2 B D' R'
B2 U2 R2 D2 B D2 R'
F' U2 R2 F' D2 R' F2
F' U2 R2 F' D2 F2 R'
R2 D2 B F2 L2 R' D
R2 D2 B F2 L2 R' D'
R2 D2 B F2 L2 R' D2
R2 D2 B F2 L2 D R'
R2 D2 B F2 L2 D' R'
R2 D2 B F2 L2 D2 R'
R2 D2 B F2 R' L2 D
R2 D2 B F2 R' L2 D'
R2 D2 B F2 R' L2 D2
F' U2 R2 F2 R' D2 F2
F' U2 R2 F2 D2 R' F2
F' U2 R2 F2 D2 F2 R'
L' D2 B' F' L U2 F'
B2 U2 R2 F' B R F
R2 D2 B' L2 F2 R B2
R2 D2 B' L2 F2 B2 R
R2 D2 B' L2 B2 F2 R
F U2 R' D2 F2 R B2
F U2 R' D2 F2 B2 R
B2 U2 R2 B F' R F
F U2 R' D2 B2 F2 R
F' U2 D R U L2 U'
F' U2 D R D F2 D
F' U2 D R D F2 D'
F' U2 D R D F2 D2
F' U2 D R F D F2
F' U2 D R F' D F2
F' U2 D R F2 D F2
L2 D2 B' F' L U2 F'
F' U2 D R2 D R' F2
F' U2 D R2 D F2 R'
L D2 B F' U2 F' R'
L D2 B' L F' U2 F'
F' U2 D F2 D F2 R
B U2 R2 D2 F' B R'
B U2 R2 D2 B F' R'
B U2 R2 F' D B R
B U2 R2 F' D' B R
B U2 R2 F' D2 B R
B U2 R2 F' B R D
B U2 R2 F' B R D'
B U2 R2 F' B R D2
B U2 R2 F' B D R
B U2 R2 F' B D' R
B U2 R2 F' B D2 R
B U2 R2 F' B' R B2
B U2 R2 F' B2 R B'
B U2 R2 B F' R D
B U2 R2 B F' R D'
B U2 R2 B F' R D2
B U2 R2 B F' D R
B U2 R2 B F' D' R
B U2 R2 B F' D2 R
F U2 R2 D2 F2 R B2
F U2 R2 D2 F2 B2 R
B U2 R2 B' F' R B2
F U2 R2 D2 B2 F2 R
B U2 R2 B2 F' R B'
F' U2 D' R U' R U
B2 U2 D' R2 D' B R'
L D2 B' F' L U2 F'
F' U2 D' F2 D' F2 R
L' F L F2 L2 B2 U2
L' F L F2 B2 L2 U2
F' U2 D2 L' R F2 L
F' U2 D2 L2 R F2 L2
L' F L B2 L2 F2 U2
F' U2 D2 R L' F2 L
F' U2 D2 R L2 F2 L2
F' U2 D2 R F D F
F' U2 D2 R F D' F
F' U2 D2 R F D2 F
F' U2 D2 R F' D F'
F' U2 D2 R F' D' F'
F' U2 D2 R F' D2 F'
L' F L B2 F2 L2 U2
F' U2 D2 R' F R2 F
F' U2 D2 R' F2 R2 D
F' U2 D2 R' F2 R2 D'
F' U2 D2 R' F2 R2 D2
F' U2 D2 R2 F R' F
F' U2 D2 R2 F2 R' D
F' U2 D2 R2 F2 R' D'
F' U2 D2 R2 F2 R' D2
F' U2 D2 R2 F2 D R'
F' U2 D2 R2 F2 D' R'
F' U2 D2 R2 F2 D2 R'
B2 U2 D2 R' B R' B
B2 U2 D2 R2 B R' D
B2 U2 D2 R2 B R' D'
B2 U2 D2 R2 B R' D2
B2 U2 D2 R2 B D R'
B2 U2 D2 R2 B D' R'
B2 U2 D2 R2 B D2 R'
L2 F L F2 L2 B2 U2
F' U2 D2 F2 U2 L' U2
L2 F L F2 B2 L2 U2
L' F L' U2 D2 F2 B2
L' F L' U2 D2 B2 F2
F' U2 D2 B R F2 B'
F' U2 D2 B R B' F2
L2 F L B2 L2 F2 U2
B2 U2 D2 B R2 B R
F' U2 D2 B2 R F2 B2
F' U2 D2 B2 R B2 F2
L2 F L B2 F2 L2 U2
L' F L' D2 U2 F2 B2
L' F L' D2 U2 B2 F2
L' F L' F2 U2 D2 F2
L' F L' F2 D2 U2 F2
L' F L' F2 B2 U2 D
L' F L' F2 B2 U2 D'
L' F L' F2 B2 U2 D2
L' F L' F2 B2 D U2
L' F L' F2 B2 D' U2
L' F L' F2 B2 D2 U2
L2 F L' U2 D2 F2 B2
L2 F L' U2 D2 B2 F2
L' F L' B2 U2 D2 B2
L' F L' B2 D2 U2 B2
L' F L' B2 F2 U2 D
L' F L' B2 F2 U2 D'
L' F L' B2 F2 U2 D2
L' F L' B2 F2 D U2
L' F L' B2 F2 D' U2
L' F L' B2 F2 D2 U2
R2 F L' R2 F' B2 U2
R2 F L' R2 B2 F' U2
L2 F L' D2 U2 F2 B2
L2 F L' D2 U2 B2 F2
B U2 D2 R2 F' B R'
B U2 D2 R2 B F' R'
U2 F L' F2 B2 R' U2
L2 F L' F2 U2 D2 F2
L2 F L' F2 D2 U2 F2
L2 F L' F2 B2 U2 D
L2 F L' F2 B2 U2 D'
L2 F L' F2 B2 U2 D2
L2 F L' F2 B2 D U2
L2 F L' F2 B2 D' U2
L2 F L' F2 B2 D2 U2
L F L F2 L2 B2 U2
F U2 D2 R F2 R B2
F U2 D2 R F2 B2 R
F U2 D2 R B2 F2 R
L F L F2 B2 L2 U2
F U2 D2 R' F2 R B2
U2 F L' B2 R' F2 U2
F U2 D2 R' F2 B2 R
F U2 D2 R' B2 F2 R
U2 F L' B2 F2 R' U2
L2 F L' B2 U2 D2 B2
L2 F L' B2 D2 U2 B2
F U2 D2 R2 F2 R B2
F U2 D2 R2 F2 B2 R
L2 F L' B2 F2 U2 D
L2 F L' B2 F2 U2 D'
L2 F L' B2 F2 U2 D2
L2 F L' B2 F2 D U2
L2 F L' B2 F2 D' U2
L2 F L' B2 F2 D2 U2
F U2 D2 R2 B2 F2 R
L F L B2 L2 F2 U2
D2 F L2 F2 B' L U2
L F L B2 F2 L2 U2
D2 F L2 B' L F2 U2
F U2 D2 F2 R B2 D
F U2 D2 F2 R B2 D'
F U2 D2 F2 R B2 D2
F U2 D2 F2 R' B2 R2
L' F L2 F2 L B2 U2
F U2 D2 F2 B' R B'
F U2 D2 F2 B2 R D
F U2 D2 F2 B2 R D'
F U2 D2 F2 B2 R D2
F U2 D2 F2 B2 D R
F U2 D2 F2 B2 D' R
F U2 D2 F2 B2 D2 R
D2 F L2 B' F2 L U2
L' F L2 F2 B2 U2 R'
R2 F L' B2 R2 U2 B'
R F L' R' F' B2 U2
R F L' R' B2 F' U2
F U2 D2 B' F2 R B'
F U2 D2 B2 R F2 R
F U2 D2 B2 R' F2 R
F U2 D2 B2 R2 F2 R
F U2 D2 B2 F2 R D
F U2 D2 B2 F2 R D'
F U2 D2 B2 F2 R D2
F U2 D2 B2 F2 D R
F U2 D2 B2 F2 D' R
F U2 D2 B2 F2 D2 R
L F L' U2 D2 F2 B2
L F L' U2 D2 B2 F2
B2 U2 F' R' F R2 B
L' F L2 B2 F2 U2 R'
L F L' D2 U2 F2 B2
L F L' D2 U2 B2 F2
L2 F L2 F2 L B2 U2
L2 F L2 F2 B2 U2 R'
