F' U' L2 F2 R
B2 U' R' F L2
B2 U' F L2 R'
B2 U' F R' L2
U' F' L2 F2 R
D' B2 U' R' F
D' B2 U' F R'
F2 B2 U' L2 F' R' D'
F2 B2 U' L2 F' R' D2
F2 B2 U' L2 F' D R'
F2 B2 U' L2 F' D' R'
F2 B2 U' L2 F' D2 R'
F2 B2 U' L2 F2 R' F
D B2 U2 F2 U F' R'
F' B2 U' F R' F L2
F' B2 U' F' L2 F' R'
F' B2 U' F2 L2 R' D
F' B2 U' F2 L2 R' D'
F' B2 U' F2 L2 R' D2
F' B2 U' F2 L2 D R'
F' B2 U' F2 L2 D' R'
F' B2 U' F2 L2 D2 R'
F' B2 U' F2 R' L2 D
F' B2 U' F2 R' L2 D'
F' B2 U' F2 R' L2 D2
D' B2 D' U' R F R2
D' B2 D' U' R' D F
D' B2 D' U' R' D' F
D' B2 D' U' R' D2 F
D' B2 D' U' R' F D
D' B2 D' U' R' F D'
D' B2 D' U' R' F D2
B2 F2 U' F L2 R' F2
B2 F2 U' F L2 F2 R'
D' B2 D' U' F R' D
D' B2 D' U' F R' D'
D' B2 D' U' F R' D2
D' B2 D' U' F D R'
D' B2 D' U' F D' R'
D' B2 D' U' F D2 R'
D' B2 D' U' F' R' F2
B2 F2 U' F R' L2 F2
B2 F2 U' F R' F2 L2
U B2 U2 R F L2 R2
U B2 U2 R F R2 L2
U2 B2 D F2 U F' R'
B2 F2 U' F' L2 R' D
B2 F2 U' F' L2 R' D'
B2 F2 U' F' L2 R' D2
B2 F2 U' F' L2 D R'
B2 F2 U' F' L2 D' R'
B2 F2 U' F' L2 D2 R'
B2 F2 U' F' R' L2 D
B2 F2 U' F' R' L2 D'
B2 F2 U' F' R' L2 D2
U B2 U2 R' F L2 D
U B2 U2 R' F L2 D'
U B2 U2 R' F L2 D2
U B2 U2 R' F' L2 F2
U B2 U2 R' F2 L2 F'
B2 F2 U' F2 R' F L2
F2 B2 U' F L2 R' F2
F2 B2 U' F L2 F2 R'
F2 B2 U' F R' L2 F2
F2 B2 U' F R' F2 L2
D' B2 D' F' U' R' F2
D' B2 D' F' U' F2 R'
F2 B2 U' F' L2 R' D
F2 B2 U' F' L2 R' D'
F2 B2 U' F' L2 R' D2
F2 B2 U' F' L2 D R'
F2 B2 U' F' L2 D' R'
F2 B2 U' F' L2 D2 R'
F2 B2 U' F' R' L2 D
F2 B2 U' F' R' L2 D'
F2 B2 U' F' R' L2 D2
D' B2 D' F2 U' F' R'
F2 B2 U' F2 R' F L2
U B2 U2 F L2 R' D
U B2 U2 F L2 R' D'
U B2 U2 F L2 R' D2
U B2 U2 F L2 D R'
U B2 U2 F L2 D' R'
U B2 U2 F L2 D2 R'
U B2 U2 F R' L2 D
U B2 U2 F R' L2 D'
U B2 U2 F R' L2 D2
U B2 U2 F' L2 R' F2
U B2 U2 F' L2 F2 R'
U B2 U2 F' R' L2 F2
U B2 U2 F' R' F2 L2
U B2 U2 F2 L2 F' R'
B F2 U' L2 D2 F' R
D2 B2 D2 U' R' F L2
D2 B2 D2 U' F L2 R'
D2 B2 D2 U' F R' L2
D' B2 D2 U' R F R2
D' B2 D2 U' R' D F
D' B2 D2 U' R' D' F
D' B2 D2 U' R' D2 F
D' B2 D2 U' R' F D
D' B2 D2 U' R' F D'
D' B2 D2 U' R' F D2
D' B2 D2 U' F R' D
D' B2 D2 U' F R' D'
D' B2 D2 U' F R' D2
D' B2 D2 U' F D R'
D' B2 D2 U' F D' R'
D' B2 D2 U' F D2 R'
D' B2 D2 U' F' R' F2
U' B2 F L' R' B2 L'
U' B2 F L2 R B2 R2
U' B2 F L2 R' B2 D
U' B2 F L2 R' B2 D'
U' B2 F L2 R' B2 D2
U' B2 F L2 R2 B2 R
D' B2 D2 F' U' R' F2
D' B2 D2 F' U' F2 R'
U' B2 F R L2 B2 R2
D' B2 D2 F2 U' F' R'
U' B2 F R B2 L2 R2
U' B2 F R B2 R2 L2
U' B2 F R' L' B2 L'
U' B2 F R' L2 B2 D
U' B2 F R' L2 B2 D'
U' B2 F R' L2 B2 D2
U' B2 F R' B L2 B
U' B2 F R' B2 L2 D
U' B2 F R' B2 L2 D'
U' B2 F R' B2 L2 D2
U' B2 F R2 L2 B2 R
U' B2 F R2 B2 L2 R
U' B2 F R2 B2 R L2
R' B2 F L2 D R' B
D B2 D' U' R' F L2
D B2 D' U' F L2 R'
D B2 D' U' F R' L2
U' B2 F' L2 R' F2 B2
U' B2 F' L2 R' B2 F2
U' B2 F' L2 F2 R' B2
U' B2 F' R' L2 F2 B2
U' B2 F' R' L2 B2 F2
U' B2 F' R' F2 L2 B2
U' B2 F' R' F2 B2 L2
U' B2 F' R' B2 L2 F2
U' B2 F' R' B2 F2 L2
D' B2 F' L U' R' F2
D' B2 F' L U' F2 R'
D' B2 F' L' U' R' F2
D' B2 F' L' U' F2 R'
U2 B2 F L2 R' D' B2
U2 B2 F L2 D' R' B2
D' B2 F' L2 U' R' F2
D' B2 F' L2 U' F2 R'
U2 B2 F R' L2 D' B2
D' B2 F' U' R F2 R2
D' B2 F' U' R' F2 D
D' B2 F' U' R' F2 D'
D' B2 F' U' R' F2 D2
U' B2 F2 L2 F' R' B2
D' B2 F' U' F R' F
D' B2 F' U' F2 R' D
D' B2 F' U' F2 R' D'
D' B2 F' U' F2 R' D2
D' B2 F' U' F2 D R'
D' B2 F' U' F2 D' R'
D' B2 F' U' F2 D2 R'
D' B2 F' D' L2 U' R'
R2 B2 F L2 D R' B2
U B2 D2 R2 U2 R F
D' B2 F2 L U' F' R'
D' B2 F2 L' U' F' R'
D' B2 F2 L2 U' F' R'
U2 B2 F' U L2 R' F2
U2 B2 F' U L2 F2 R'
U2 B2 F' U R' L2 F2
U2 B2 F' U R' F2 L2
U2 B2 F' U F2 L2 R'
U2 B2 F' U F2 R' L2
D' B2 F2 U' D F' R'
D' B2 F2 U' D' F' R'
D' B2 F2 U' D2 F' R'
D' B2 F2 U' F R' F2
D' B2 F2 U' F' R' D
D' B2 F2 U' F' R' D'
D' B2 F2 U' F' R' D2
D' B2 F2 U' F' D R'
D' B2 F2 U' F' D' R'
D' B2 F2 U' F' D2 R'
D' B2 F2 U' F2 R' F
D' B2 F2 D U' F' R'
D' B2 F2 D' U' F' R'
U B2 F L2 R2 B R
D' B2 F2 D2 U' F' R'
U B2 F R2 L2 B R
U B2 F R2 B L2 R
U B2 F R2 B R L2
U2 B2 F2 U L2 F' R'
U2 B2 F2 U F' L2 R'
U2 B2 F2 U F' R' L2
U B2 F' L2 R' F2 B'
U B2 F' L2 R' B' F2
U B2 F' L2 F2 R' B'
U B2 F' R' L2 F2 B'
U B2 F' R' L2 B' F2
