U2 F B U'
U2 B F U'
U2 D F B U'
U2 D B F U'
U2 D' F B U'
U2 D' B F U'
D U2 F B U'
D' U2 F B U'
D U2 B F U'
U2 D2 F B U'
D2 U2 F B U'
D' U2 B F U'
U2 D2 B F U'
D2 U2 B F U'
B' U2 F B2 U'
B2 U2 F B' U'
F' U2 F2 B U'
F2 U2 F' B U'
F' U2 B F2 U'
B' U2 B2 F U'
F2 U2 B F' U'
B2 U2 B' F U'
U2 F D B U'
U2 F D' B U'
U2 F D2 B U'
U2 F B U' D
U2 F B U' D'
U2 F B U' D2
U2 F B D U'
U2 F B D' U'
U2 F B D2 U'
U2 B D F U'
U2 B D' F U'
U2 B D2 F U'
U2 B F U' D
U2 B F U' D'
U2 B F U' D2
U2 B F D U'
U2 B F D' U'
U2 B F D2 U'
F2 U2 B2 F' D2 B' U'
U2 F U' B' D L2 B
U2 F U' B' D B L2
B U2 B2 F U2 F' U
D' F U2 B U2 B' U
D2 F U2 B U2 B' U
F U2 B2 D' B' U' R2
F U2 B2 D2 F2 B' U'
F U2 B2 D2 B' F2 U'
U2 F U2 R2 F' R2 U
U2 F U2 F U2 B U'
U2 F U2 F' U2 B U'
U2 F U2 F2 U2 B U'
U2 F D L B L' U'
U2 F D L2 B L2 U'
D F U2 B U2 B' U
B' D L2 B' L2 U L2
B2 D L2 F B' L2 U
U2 F D B' U' D L2
U2 F D B' D U' L2
U2 F D B2 D B' U'
U2 F D B2 D' B' U'
U2 F D B2 D2 B' U'
B2 D L2 B' F L2 U
U2 F D' L B L' U'
U2 F D' L2 B L2 U'
U F D B U' F' B'
U F D B U' B' F'
U2 F D' B' U' D L2
U2 F D' B' D U' L2
U2 F D' B2 D B' U'
U2 F D' B2 D' B' U'
U2 F D' B2 D2 B' U'
U2 F D2 L B L' U'
U2 F D2 L2 B L2 U'
U' F B U F' B' U2
U' F B U B' F' U2
U F D' B U' F' B'
U F D' B U' B' F'
U2 F D2 B' U' D L2
U2 F D2 B' D U' L2
U2 F D2 B2 D B' U'
U2 F D2 B2 D' B' U'
U2 F D2 B2 D2 B' U'
U2 F B L D L' U'
U2 F B L D' L' U'
U2 F B L D2 L' U'
U2 F B L' D L U'
U2 F B L' D' L U'
U2 F B L' D2 L U'
U2 F B L2 U' D F2
U2 F B L2 D U' F2
U2 F B R D R' U'
U2 F B R D' R' U'
U2 F B R D2 R' U'
U2 F B R' D R U'
U2 F B R' D' R U'
U2 F B R' D2 R U'
U2 F B R2 U' D B2
U2 F B R2 D U' B2
U2 F B U' L D L'
U2 F B U' L D' L'
U2 F B U' L D2 L'
U2 F B U' L' D L
U2 F B U' L' D' L
U2 F B U' L' D2 L
U2 F B U' R D R'
U2 F B U' R D' R'
U2 F B U' R D2 R'
U2 F B U' R' D R
U2 F B U' R' D' R
U2 F B U' R' D2 R
U2 F B U' F D F'
U2 F B U' F D' F'
U2 F B U' F D2 F'
U2 F B U' F' D F
U2 F B U' F' D' F
U2 F B U' F' D2 F
U2 F B U' B D B'
U2 F B U' B D' B'
U2 F B U' B D2 B'
U2 F B U' B' D B
U2 F B U' B' D' B
U2 F B U' B' D2 B
F' D R2 F' R2 U R2
B' D U L2 U' B' U
U F D2 B U' F' B'
U F D2 B U' B' F'
U2 F B' L B2 L' U'
F2 D R2 F' B R2 U
L2 F B' L2 U D L2
L2 F B' L2 U2 B2 U'
L2 F B' L2 D U L2
L2 F B' L2 D2 F2 U
U2 F B' L2 B2 L2 U'
F2 D R2 B F' R2 U
U2 F B' R' B2 R U'
U2 F B' R2 B2 R2 U'
U2 F B' U D' R2 U2
U2 F B' U' L D L2
U2 F B' U' L' D L2
F' D U R2 U' F' U
U2 F B' U' L2 D L2
U2 F B' U' D L2 D
U2 F B' U' D L2 D'
U2 F B' U' D L2 D2
U2 F B' U2 D2 F2 U
U2 F B' D U' L2 D
U2 F B' D U' L2 D'
U2 F B' D U' L2 D2
U2 F B' D B U' L2
U2 F B' D B' U' L2
U2 F B' D B2 U' L2
U2 F B' D' U R2 U2
U F B U' D F' B'
U F B U' D B' F'
U F B U' D' F' B'
U F B U' D' B' F'
U F B U' D2 F' B'
U F B U' D2 B' F'
U F B U' F' D B'
U F B U' F' D' B'
U F B U' F' D2 B'
U F B U' F' B' D
U F B U' F' B' D'
U F B U' F' B' D2
U F B U' B' D F'
U F B U' B' D' F'
U F B U' B' D2 F'
U F B U' B' F' D
U F B U' B' F' D'
U F B U' B' F' D2
U2 F B' D2 U2 F2 U
U F B D U' F' B'
U F B D U' B' F'
U F B D' U' F' B'
U F B D' U' B' F'
U F B D2 U' F' B'
U F B D2 U' B' F'
L2 F B2 L2 F B U
L2 F B2 L2 B F U
U2 F B2 R' B' R U'
U2 F B2 R2 B' R2 U'
L' F' L U2 F B U'
L' F' L U2 B F U'
U2 F B2 D B' U' D
U2 F B2 D B' U' D'
U2 F B2 D B' U' D2
U2 F B2 D B' D U'
U2 F B2 D B' D' U'
U2 F B2 D B' D2 U'
U2 F B2 D' B' U' D
U2 F B2 D' B' U' D'
U2 F B2 D' B' U' D2
U2 F B2 D' B' D U'
U2 F B2 D' B' D' U'
U2 F B2 D' B' D2 U'
U2 F B2 D2 B' U' D
U2 F B2 D2 B' U' D'
U2 F B2 D2 B' U' D2
U2 F B2 D2 B' D U'
U2 F B2 D2 B' D' U'
U2 F B2 D2 B' D2 U'
B' D U2 F U' L2 D
B' D U2 F U' L2 D'
B' D U2 F U' L2 D2
B' D U2 F D' B2 U'
B' D U2 F B U' L2
B' D U2 F B' U' L2
B' D U2 F B2 U' L2
B' D U2 B F U' L2
F' D U2 F B U' R2
B' D U2 B' F U' L2
F' D U2 F' B U' R2
B' D U2 B2 F U' L2
F' D U2 F2 B U' R2
B2 D U2 F D B' U'
B2 D U2 F D' B' U'
F' D U2 B U' R2 D
F' D U2 B U' R2 D'
F' D U2 B U' R2 D2
B2 D U2 F D2 B' U'
B2 D U2 F B' U' D
B2 D U2 F B' U' D'
B2 D U2 F B' U' D2
B2 D U2 F B' D U'
B2 D U2 F B' D' U'
B2 D U2 F B' D2 U'
F' D U2 B D' F2 U'
U2 F' L B L' F2 U'
F' D U2 B F U' R2
F' D U2 B F' U' R2
F' D U2 B F2 U' R2
F2 D U2 F' D B U'
F2 D U2 F' D' B U'
F2 D U2 F' D2 B U'
F2 D U2 F' B U' D
F2 D U2 F' B U' D'
F2 D U2 F' B U' D2
F2 D U2 F' B D U'
F2 D U2 F' B D' U'
F2 D U2 F' B D2 U'
B2 D U2 B' D F U'
B2 D U2 B' D' F U'
B2 D U2 B' D2 F U'
B2 D U2 B' F U' D
B2 D U2 B' F U' D'
B2 D U2 B' F U' D2
B2 D U2 B' F D U'
B2 D U2 B' F D' U'
B2 D U2 B' F D2 U'
F2 D U2 B D F' U'
F2 D U2 B D' F' U'
F2 D U2 B D2 F' U'
F2 D U2 B F' U' D
F2 D U2 B F' U' D'
F2 D U2 B F' U' D2
F2 D U2 B F' D U'
F2 D U2 B F' D' U'
F2 D U2 B F' D2 U'
B' D F U L2 D2 R2
F' D F U2 B U' R2
B D U2 F U2 F' U
U2 F' L' F2 L B U'
F2 D F U2 F2 B U'
F2 D F U2 B F2 U'
B' D F' U L2 D R2
F D U2 B U2 B' U
B' D F' U2 F2 U' L2
L2 F' L2 U2 F B U'
B' D F' D F2 U R2
L2 F' L2 U2 B F U'
F' D F' U2 B U' R2
U2 F' L2 F2 L2 B U'
B2 D F' U2 F2 B' U'
B2 D F' U2 B' F2 U'
U2 F' L2 F2 B L2 U'
U2 F' L2 B L2 F2 U'
U2 F' L2 B F2 L2 U'
F D F U2 F' B U'
F D F U2 B F' U'
B' D F2 U2 F' U' L2
F' D F2 U2 B U' R2
R2 F' R U2 F2 L' U'
U2 F' R F2 R' B U'
B2 D F2 U2 F' B' U'
R2 F' R D R U R
B2 D F2 U2 B' F' U'
F2 D F2 U2 F B U'
F2 D F2 U2 B F U'
R2 F' R D2 R B2 U
R2 F' R D2 B2 R U
F D F' U2 F B U'
F D F' U2 B F U'
B' D B U2 F U' L2
F' D B U R2 D2 L2
B2 D B U2 F B2 U'
R2 F' R' D R' U R'
B2 D B U2 B2 F U'
R2 F' R' D2 R' B2 U
D2 F' R2 F' R2 B U
D' F' R2 F' R2 B U
R F' R F' R2 B U
F D F2 U2 F2 B U'
F D F2 U2 B F2 U'
B' D B' U2 F U' L2
F' D B' U R2 D L2
R2 F' R2 U R D R2
R2 F' R2 U R' D R2
R2 F' R2 U R2 D R2
R2 F' R2 U D R2 D
R2 F' R2 U D R2 D'
R2 F' R2 U D R2 D2
F' D B' U2 B2 U' R2
R2 F' R2 U' D' L2 U2
F' D B' D B2 U L2
B D B U2 F B' U'
B D B U2 B' F U'
R2 F' R2 U2 F2 U' D
R2 F' R2 U2 F2 U' D'
R2 F' R2 U2 F2 U' D2
R2 F' R2 U2 F2 D U'
R2 F' R2 U2 F2 D' U'
R2 F' R2 U2 F2 D2 U'
R F' R' U2 F2 B U'
R F' R' U2 B F2 U'
R2 F' R2 D U R2 D
R2 F' R2 D U R2 D'
R2 F' R2 D U R2 D2
R2 F' R2 D B U R2
R2 F' R2 D B' U R2
R2 F' R2 D B2 U R2
R2 F' R2 D' U' L2 U2
F2 D B' U2 F' B2 U'
F2 D B' U2 B2 F' U'
R2 F' R2 D2 B2 U D
R2 F' R2 D2 B2 U D'
R2 F' R2 D2 B2 U D2
R2 F' R2 D2 B2 D U
R2 F' R2 D2 B2 D' U
R2 F' R2 D2 B2 D2 U
R2 F' R2 B U D R2
R2 F' R2 B U2 F2 U'
R2 F' R2 B D U R2
R2 F' R2 B D2 B2 U
R2 F' R2 B' U D R2
R2 F' R2 B' U2 F2 U'
R2 F' R2 B' D U R2
R2 F' R2 B' D2 B2 U
B' D B2 U2 F U' L2
D F' R2 F' R2 B U
R2 F' R2 B2 U D R2
R2 F' R2 B2 U2 F2 U'
R2 F' R2 B2 D U R2
R2 F' R2 B2 D2 B2 U
F' D B2 U2 B' U' R2
B D B' U2 F B U'
B D B' U2 B F U'
B2 D B2 U2 F B U'
B2 D B2 U2 B F U'
R2 F' U D R2 D2 F2
R2 F' U D' F2 D2 R2
F2 D B2 U2 F' B' U'
F2 D B2 U2 B' F' U'
D2 F' U2 D B U' R2
D' F' U2 D B U' R2
B D B2 U2 F B2 U'
B D B2 U2 B2 F U'
R2 F' U' D B2 U2 R2
R2 F' U' D' L2 U2 F2
U F' U F2 B U' F'
U F' U B F2 U' F'
D2 F' U2 F2 D B U'
D2 F' U2 F2 D' B U'
D2 F' U2 F2 D2 B U'
D2 F' U2 F2 B U' D
D2 F' U2 F2 B U' D'
D2 F' U2 F2 B U' D2
D2 F' U2 F2 B D U'
D2 F' U2 F2 B D' U'
D2 F' U2 F2 B D2 U'
D' F' U2 F2 D B U'
D' F' U2 F2 D' B U'
D' F' U2 F2 D2 B U'
D' F' U2 F2 B U' D
D' F' U2 F2 B U' D'
D' F' U2 F2 B U' D2
D' F' U2 F2 B D U'
D' F' U2 F2 B D' U'
D' F' U2 F2 B D2 U'
D2 F' U2 B U' D R2
D2 F' U2 B D U' R2
D' F' U2 B U' D R2
D' F' U2 B D U' R2
D2 F' U2 B F2 U' D
D2 F' U2 B F2 U' D'
D2 F' U2 B F2 U' D2
D2 F' U2 B F2 D U'
D2 F' U2 B F2 D' U'
D2 F' U2 B F2 D2 U'
D' F' U2 B F2 U' D
D' F' U2 B F2 U' D'
D' F' U2 B F2 U' D2
D' F' U2 B F2 D U'
D' F' U2 B F2 D' U'
D' F' U2 B F2 D2 U'
D2 F' D U2 B U' R2
D' F' D U2 B U' R2
D F' U2 D B U' R2
R2 F' U2 F2 U' D' F2
R2 F' U2 F2 U2 R2 U
R2 F' U2 F2 D' U' F2
R2 F' U2 F2 D2 L2 U'
D F' U2 F2 D B U'
D F' U2 F2 D' B U'
D F' U2 F2 D2 B U'
D F' U2 F2 B U' D
D F' U2 F2 B U' D'
D F' U2 F2 B U' D2
D F' U2 F2 B D U'
D F' U2 F2 B D' U'
D F' U2 F2 B D2 U'
D F' U2 B U' D R2
D F' U2 B D U' R2
D F' U2 B F2 U' D
D F' U2 B F2 U' D'
D F' U2 B F2 U' D2
D F' U2 B F2 D U'
D F' U2 B F2 D' U'
D F' U2 B F2 D2 U'
U2 F' D F B U' R2
U2 F' D F' B U' R2
U2 F' D F2 B U' R2
B2 D' L2 F B' L2 U
R2 F' D U R2 D2 F2
U2 F' D B U' R2 D
U2 F' D B U' R2 D'
U2 F' D B U' R2 D2
U2 F' D B D' F2 U'
U2 F' D B F U' R2
U2 F' D B F' U' R2
U2 F' D B F2 U' R2
R2 F' D U' B2 U2 R2
B2 D' L2 B' F L2 U
D F' D U2 B U' R2
R2 F' D B U R2 F'
U F' D R2 F D' L2
U2 F' D' B U L2 U2
U2 F' D' B U' D2 R2
U2 F' D' B D F2 U'
U2 F' D' B D2 U' R2
R2 F' D' U F2 D2 R2
R2 F' D' U' L2 U2 F2
D2 F' D2 B2 U2 B' U'
D' F' D2 B2 U2 B' U'
U2 F' D2 B U2 B U
U2 F' B L' F2 L U'
U2 F' B L2 F2 L2 U'
U2 F' B R F2 R' U'
R2 F' D2 B2 U D F2
R2 F' D2 B2 U2 L2 U'
R2 F' D2 B2 D U F2
R2 F' D2 B2 D2 R2 U
U2 F' B R2 F2 R2 U'
U2 F' B U D' L2 U2
D2 F' B' U D L2 R2
D2 F' B' U D R2 L2
U2 F' B U' R D R2
U2 F' B U' R' D R2
D' F' B' U D L2 R2
D' F' B' U D R2 L2
U2 F' B U' R2 D R2
U2 F' B U' D R2 D
U2 F' B U' D R2 D'
U2 F' B U' D R2 D2
U2 F' B U2 D2 B2 U
D F' D2 B2 U2 B' U'
D2 F' B' U2 F2 B2 U'
D2 F' B' U2 B2 F2 U'
U2 F' B D U' R2 D
U2 F' B D U' R2 D'
U2 F' B D U' R2 D2
U2 F' B D F U' R2
U2 F' B D F' U' R2
D' F' B' U2 F2 B2 U'
D2 F' B' D U L2 R2
U2 F' B D F2 U' R2
D2 F' B' D U R2 L2
D' F' B' U2 B2 F2 U'
D' F' B' D U L2 R2
D' F' B' D U R2 L2
U2 F' B D' U L2 U2
R2 F' B R2 U D R2
R2 F' B R2 U2 F2 U'
R2 F' B R2 D U R2
U2 F' B D2 U2 B2 U
R2 F' B R2 D2 B2 U
D2 F' B' D2 F2 B2 U
D2 F' B' D2 B2 F2 U
D' F' B' D2 F2 B2 U
D' F' B' D2 B2 F2 U
L2 F' B' L2 U D L2
L2 F' B' L2 U2 B2 U'
L2 F' B' L2 D U L2
L2 F' B' L2 D2 F2 U
F2 D' R2 F' B R2 U
F2 D' R2 B F' R2 U
U2 F' B' U' D L2 R2
U2 F' B' U' D R2 L2
D2 F' B2 U2 F2 B' U'
D2 F' B2 U2 B' F2 U'
D' F' B2 U2 F2 B' U'
U2 F' B' D U' L2 R2
U2 F' B' D U' R2 L2
D' F' B2 U2 B' F2 U'
R2 F' B' R2 U D R2
R2 F' B' R2 U2 F2 U'
R2 F' B' R2 D U R2
R2 F' B' R2 D2 B2 U
L2 F' B2 L2 F B U
L2 F' B2 L2 B F U
D F' B' U D L2 R2
D F' B' U D R2 L2
B' D' U' R2 U' F U'
F' D' U' L2 U' B U'
D F' B' U2 F2 B2 U'
D F' B' U2 B2 F2 U'
D F' B' D U L2 R2
D F' B' D U R2 L2
L' F2 L U2 F B U'
L' F2 L U2 B F U'
D F' B' D2 F2 B2 U
D F' B' D2 B2 F2 U
U2 F' B2 D B' U' R2
R2 F' B2 R2 U D R2
R2 F' B2 R2 U2 F2 U'
R2 F' B2 R2 D U R2
R2 F' B2 R2 D2 B2 U
B' D' U2 F U R2 U2
B' D' U2 F U' D2 L2
B' D' U2 F D B2 U'
B' D' U2 F D2 U' L2
D F' B2 U2 F2 B' U'
D F' B2 U2 B' F2 U'
F' D' U2 B U L2 U2
F' D' U2 B U' D2 R2
F' D' U2 B D F2 U'
U2 F2 L B L' F' U'
F' D' U2 B D2 U' R2
B2 D' U2 F D B' U'
B2 D' U2 F D' B' U'
B2 D' U2 F D2 B' U'
B2 D' U2 F B' U' D
B2 D' U2 F B' U' D'
B2 D' U2 F B' U' D2
B2 D' U2 F B' D U'
B2 D' U2 F B' D' U'
B2 D' U2 F B' D2 U'
F2 D' U2 F' D B U'
F2 D' U2 F' D' B U'
F2 D' U2 F' D2 B U'
F2 D' U2 F' B U' D
F2 D' U2 F' B U' D'
F2 D' U2 F' B U' D2
F2 D' U2 F' B D U'
F2 D' U2 F' B D' U'
F2 D' U2 F' B D2 U'
B2 D' U2 B' D F U'
B2 D' U2 B' D' F U'
B2 D' U2 B' D2 F U'
B2 D' U2 B' F U' D
B2 D' U2 B' F U' D'
B2 D' U2 B' F U' D2
B2 D' U2 B' F D U'
B2 D' U2 B' F D' U'
B2 D' U2 B' F D2 U'
F2 D' U2 B D F' U'
F2 D' U2 B D' F' U'
F2 D' U2 B D2 F' U'
F2 D' U2 B F' U' D
F2 D' U2 B F' U' D'
F2 D' U2 B F' U' D2
F2 D' U2 B F' D U'
F2 D' U2 B F' D' U'
F2 D' U2 B F' D2 U'
B' D' F U' R2 U2 R2
U2 F2 L' F' L B U'
B D' U2 F U2 F' U
F2 D' F U2 F2 B U'
F2 D' F U2 B F2 U'
L2 F2 L2 U2 F B U'
L2 F2 L2 U2 B F U'
F D' U2 B U2 B' U
B' D' F' D2 B2 U L2
U2 F2 L2 F' L2 B U'
U2 F2 L2 F' B L2 U'
B2 D' F' U2 F2 B' U'
B2 D' F' U2 B' F2 U'
U2 F2 L2 B L2 F' U'
U2 F2 L2 B F' L2 U'
F D' F U2 F' B U'
F D' F U2 B F' U'
B2 D' F2 U2 F' B' U'
B2 D' F2 U2 B' F' U'
F2 D' F2 U2 F B U'
F2 D' F2 U2 B F U'
F D' F' U2 F B U'
F D' F' U2 B F U'
F' D' B U' L2 U2 L2
B2 D' B U2 F B2 U'
B2 D' B U2 B2 F U'
D2 F2 R2 F' B R2 U
D' F2 R2 F' B R2 U
R2 F2 R' F R' B U
D2 F2 R2 B F' R2 U
D' F2 R2 B F' R2 U
F D' F2 U2 F2 B U'
F D' F2 U2 B F2 U'
B D' B U2 F B' U'
B D' B U2 B' F U'
F' D' B' D2 F2 U R2
R2 F2 R2 D F B U
R2 F2 R2 D B F U
F2 D' B' U2 F' B2 U'
F2 D' B' U2 B2 F' U'
R2 F2 R2 D' F B U
R2 F2 R2 D' B F U
R2 F2 R2 D2 F B U
R2 F2 R2 D2 B F U
R2 F2 R2 F D B U
R2 F2 R2 F D' B U
R2 F2 R2 F D2 B U
R2 F2 R2 F B U D
R2 F2 R2 F B U D'
R2 F2 R2 F B U D2
R2 F2 R2 F B D U
R2 F2 R2 F B D' U
R2 F2 R2 F B D2 U
R2 F2 R2 B D F U
R2 F2 R2 B D' F U
R2 F2 R2 B D2 F U
R2 F2 R2 B F U D
R2 F2 R2 B F U D'
R2 F2 R2 B F U D2
R2 F2 R2 B F D U
R2 F2 R2 B F D' U
R2 F2 R2 B F D2 U
D F2 R2 F' B R2 U
D F2 R2 B F' R2 U
B D' B' U2 F B U'
B D' B' U2 B F U'
B2 D' B2 U2 F B U'
B2 D' B2 U2 B F U'
F2 D' B2 U2 F' B' U'
F2 D' B2 U2 B' F' U'
R' F2 U2 L' F' B' U'
R' F2 U2 L' B' F' U'
D2 F2 U2 D F' B U'
D2 F2 U2 D B F' U'
D' F2 U2 D F' B U'
D' F2 U2 D B F' U'
B D' B2 U2 F B2 U'
D2 F2 U2 D' F' B U'
D2 F2 U2 D' B F' U'
B D' B2 U2 B2 F U'
D' F2 U2 D' F' B U'
D' F2 U2 D' B F' U'
D2 F2 U2 D2 F' B U'
D2 F2 U2 D2 B F' U'
D' F2 U2 D2 F' B U'
D' F2 U2 D2 B F' U'
D2 F2 U2 F' D B U'
D2 F2 U2 F' D' B U'
D2 F2 U2 F' D2 B U'
D2 F2 U2 F' B U' D
D2 F2 U2 F' B U' D'
D2 F2 U2 F' B U' D2
D2 F2 U2 F' B D U'
D2 F2 U2 F' B D' U'
D2 F2 U2 F' B D2 U'
D' F2 U2 F' D B U'
D' F2 U2 F' D' B U'
D' F2 U2 F' D2 B U'
D' F2 U2 F' B U' D
D' F2 U2 F' B U' D'
D' F2 U2 F' B U' D2
D' F2 U2 F' B D U'
D' F2 U2 F' B D' U'
D' F2 U2 F' B D2 U'
U F2 U F' B U' F'
D2 F2 U2 B D F' U'
D2 F2 U2 B D' F' U'
D2 F2 U2 B D2 F' U'
D2 F2 U2 B F' U' D
D2 F2 U2 B F' U' D'
D2 F2 U2 B F' U' D2
D2 F2 U2 B F' D U'
D2 F2 U2 B F' D' U'
D2 F2 U2 B F' D2 U'
D' F2 U2 B D F' U'
D' F2 U2 B D' F' U'
D' F2 U2 B D2 F' U'
U F2 U B F' U' F'
D' F2 U2 B F' U' D
D' F2 U2 B F' U' D'
D' F2 U2 B F' U' D2
D' F2 U2 B F' D U'
D' F2 U2 B F' D' U'
D' F2 U2 B F' D2 U'
D2 F2 D U2 F' B U'
D2 F2 D U2 B F' U'
D' F2 D U2 F' B U'
D' F2 D U2 B F' U'
D F2 U2 D F' B U'
D F2 U2 D B F' U'
D F2 U2 D' F' B U'
D F2 U2 D' B F' U'
D F2 U2 D2 F' B U'
D F2 U2 D2 B F' U'
D F2 U2 F' D B U'
D F2 U2 F' D' B U'
D F2 U2 F' D2 B U'
D F2 U2 F' B U' D
D F2 U2 F' B U' D'
D F2 U2 F' B U' D2
D F2 U2 F' B D U'
D F2 U2 F' B D' U'
D F2 U2 F' B D2 U'
B' D2 L2 F2 B' L2 U
B' D2 L2 B' L2 F2 U
D F2 U2 B D F' U'
D F2 U2 B D' F' U'
D F2 U2 B D2 F' U'
D F2 U2 B F' U' D
D F2 U2 B F' U' D'
D F2 U2 B F' U' D2
D F2 U2 B F' D U'
D F2 U2 B F' D' U'
D F2 U2 B F' D2 U'
B' D2 L2 B' F2 L2 U
U2 F2 D F' D B U'
U2 F2 D F' D' B U'
U2 F2 D F' D2 B U'
U2 F2 D F' B U' D
U2 F2 D F' B U' D'
U2 F2 D F' B U' D2
U2 F2 D F' B D U'
U2 F2 D F' B D' U'
U2 F2 D F' B D2 U'
D2 F2 D' U2 F' B U'
D2 F2 D' U2 B F' U'
D' F2 D' U2 F' B U'
B2 D2 L2 F B' L2 U
D' F2 D' U2 B F' U'
U2 F2 D B D F' U'
U2 F2 D B D' F' U'
U2 F2 D B D2 F' U'
U2 F2 D B F' U' D
U2 F2 D B F' U' D'
U2 F2 D B F' U' D2
U2 F2 D B F' D U'
U2 F2 D B F' D' U'
U2 F2 D B F' D2 U'
F' D2 L2 B2 L2 F U
B2 D2 L2 B' F L2 U
D F2 D U2 F' B U'
D F2 D U2 B F' U'
U2 F2 D' F' D B U'
U2 F2 D' F' D' B U'
U2 F2 D' F' D2 B U'
U2 F2 D' F' B U' D
U2 F2 D' F' B U' D'
U2 F2 D' F' B U' D2
U2 F2 D' F' B D U'
U2 F2 D' F' B D' U'
U2 F2 D' F' B D2 U'
D2 F2 D2 U2 F' B U'
D2 F2 D2 U2 B F' U'
D' F2 D2 U2 F' B U'
D' F2 D2 U2 B F' U'
U2 F2 D' B D F' U'
U2 F2 D' B D' F' U'
U2 F2 D' B D2 F' U'
U2 F2 D' B F' U' D
U2 F2 D' B F' U' D'
U2 F2 D' B F' U' D2
U2 F2 D' B F' D U'
U2 F2 D' B F' D' U'
U2 F2 D' B F' D2 U'
D F2 D' U2 F' B U'
D F2 D' U2 B F' U'
U2 F2 D2 F' D B U'
U2 F2 D2 F' D' B U'
U2 F2 D2 F' D2 B U'
U2 F2 D2 F' B U' D
U2 F2 D2 F' B U' D'
U2 F2 D2 F' B U' D2
U2 F2 D2 F' B D U'
U2 F2 D2 F' B D' U'
U2 F2 D2 F' B D2 U'
U2 F2 D2 B D F' U'
U2 F2 D2 B D' F' U'
U2 F2 D2 B D2 F' U'
U2 F2 D2 B F' U' D
U2 F2 D2 B F' U' D'
U2 F2 D2 B F' U' D2
U2 F2 D2 B F' D U'
U2 F2 D2 B F' D' U'
U2 F2 D2 B F' D2 U'
U2 F2 B L' F' L U'
U2 F2 B L2 F' L2 U'
D F2 D2 U2 F' B U'
D F2 D2 U2 B F' U'
B' D2 R2 F2 R2 B U
F' D2 R2 F' R2 B2 U
D2 F2 B' U2 F' B2 U'
D2 F2 B' U2 B2 F' U'
D' F2 B' U2 F' B2 U'
F' D2 R2 F' B2 R2 U
U2 F2 B D F' U' D
U2 F2 B D F' U' D'
U2 F2 B D F' U' D2
U2 F2 B D F' D U'
U2 F2 B D F' D' U'
U2 F2 B D F' D2 U'
D' F2 B' U2 B2 F' U'
U2 F2 B D' F' U' D
U2 F2 B D' F' U' D'
U2 F2 B D' F' U' D2
U2 F2 B D' F' D U'
U2 F2 B D' F' D' U'
U2 F2 B D' F' D2 U'
U2 F2 B D2 F' U' D
U2 F2 B D2 F' U' D'
U2 F2 B D2 F' U' D2
U2 F2 B D2 F' D U'
U2 F2 B D2 F' D' U'
U2 F2 B D2 F' D2 U'
R2 F2 B R2 F B U
R2 F2 B R2 B F U
F' D2 R2 B2 F' R2 U
L2 F2 B' L2 U D L2
L2 F2 B' L2 U2 B2 U'
L2 F2 B' L2 D U L2
F2 D2 R2 F' B R2 U
L2 F2 B' L2 D2 F2 U
F2 D2 R2 B F' R2 U
D2 F2 B2 U2 F' B' U'
D2 F2 B2 U2 B' F' U'
D' F2 B2 U2 F' B' U'
D' F2 B2 U2 B' F' U'
U2 F2 B' D F' U' L2
R2 F2 B' R2 F B U
R2 F2 B' R2 B F U
L2 F2 B2 L2 F B U
L2 F2 B2 L2 B F U
D F2 B' U2 F' B2 U'
D F2 B' U2 B2 F' U'
U2 F2 B2 D F' B' U'
U2 F2 B2 D B' F' U'
U2 F2 B2 D' F' B' U'
U2 F2 B2 D' B' F' U'
U2 F2 B2 D2 F' B' U'
U2 F2 B2 D2 B' F' U'
R2 F2 B2 R2 F B U
R2 F2 B2 R2 B F U
B' D2 U2 F U2 F U
D F2 B2 U2 F' B' U'
D F2 B2 U2 B' F' U'
F' D2 U2 B U2 B U
B2 D2 U2 F D B' U'
B2 D2 U2 F D' B' U'
B2 D2 U2 F D2 B' U'
B2 D2 U2 F B' U' D
B2 D2 U2 F B' U' D'
B2 D2 U2 F B' U' D2
B2 D2 U2 F B' D U'
B2 D2 U2 F B' D' U'
B2 D2 U2 F B' D2 U'
F2 D2 U2 F' D B U'
F2 D2 U2 F' D' B U'
F2 D2 U2 F' D2 B U'
F2 D2 U2 F' B U' D
F2 D2 U2 F' B U' D'
F2 D2 U2 F' B U' D2
F2 D2 U2 F' B D U'
F2 D2 U2 F' B D' U'
F2 D2 U2 F' B D2 U'
B2 D2 U2 B' D F U'
B2 D2 U2 B' D' F U'
B2 D2 U2 B' D2 F U'
B2 D2 U2 B' F U' D
B2 D2 U2 B' F U' D'
B2 D2 U2 B' F U' D2
B2 D2 U2 B' F D U'
B2 D2 U2 B' F D' U'
B2 D2 U2 B' F D2 U'
F2 D2 U2 B D F' U'
F2 D2 U2 B D' F' U'
F2 D2 U2 B D2 F' U'
F2 D2 U2 B F' U' D
F2 D2 U2 B F' U' D'
F2 D2 U2 B F' U' D2
F2 D2 U2 B F' D U'
F2 D2 U2 B F' D' U'
F2 D2 U2 B F' D2 U'
U2 B L' D L F U'
U2 B L' D' L F U'
U2 B L' D2 L F U'
U2 B L' F L F U'
U2 B L' F' L F U'
U2 B L' F2 L F U'
B D2 U2 F U2 F' U
F2 D2 F U2 F2 B U'
F2 D2 F U2 B F2 U'
F' D2 F B2 U2 B' U'
B' D2 F' D F' U R2
B' D2 F' D2 F' B2 U
