U L' R U2 B
U R L' U2 B
F2 U' L' R B'
F2 U' L' B' R
F2 U' R L' B'
F2 D2 U' L' D2 R B'
F2 D2 U' L' D2 B' R
F2 D2 U' L' B R B2
F2 D2 U' L' B' R D
F2 D2 U' L' B' R D'
F2 D2 U' L' B' R D2
F2 D2 U' L' B' D R
F2 D2 U' L' B' D' R
F2 D2 U' L' B' D2 R
F2 D2 U' R L' D B'
F2 D2 U' R L' D' B'
F2 D2 U' R L' D2 B'
F2 D2 U' R L' B' D
F2 D2 U' R L' B' D'
F2 D2 U' R L' B' D2
F2 D2 U' R D L' B'
F2 D2 U' R D' L' B'
F2 D2 U' R D2 L' B'
F2 D2 U' R B L' B'
F2 D2 U' R B' L' B'
F2 D2 U' R B2 L' B'
F2 D2 U' R' L' B' R2
F2 D2 U' B L' R B'
F2 D2 U' B L' B' R
F2 D2 U' B R L' B'
F2 D2 U' B' L' R B'
F2 D2 U' B' L' B' R
F2 D2 U' B' R L' B'
F2 D2 U' B2 L' R B'
F2 D2 U' B2 L' B' R
F2 D2 U' B2 R L' B'
B' D2 F2 R' U' L' R2
B' D2 F2 R' U' R2 L'
B2 D2 F2 U' L' R B
B2 D2 F2 U' R L' B
B2 D2 F2 U' R B L'
U B R B' L' U2 B2
F2 D2 B' R' U' L' R2
F2 D2 B' R' U' R2 L'
U' B U2 L' R U2 B
U' B U2 R L' U2 B
U2 B U' L' R U2 B
U2 B U' R L' U2 B
B' F R' F U' L' R
B' F R' F U' R L'
U' B F2 L' R F2 B'
U' B F2 L' R B' F2
U' B F2 L' B' R F2
U' B F2 R L' F2 B'
U' B F2 R L' B' F2
F2 B U' L' R D' B2
F2 B U' L' D' R B2
F2 B U' L' D' B2 R
F2 B U' R L' D' B2
F2 B U2 L U L2 R
F2 B U2 L U R L2
R B' L' U' L R' U'
R B' L' U' R' L U'
U B' L' B R U2 B
R' B' R' U L' R' U2
D2 B' R' U L' R2 U2
R' B' R' U R' L' U2
D2 B' R' U R2 L' U2
D' B' R' U L' R2 U2
D' B' R' U R2 L' U2
D B' R' U L' R2 U2
D B' R' U R2 L' U2
R B' R' U L' R U2
R B' R' U R L' U2
R B' R' F2 U' L' R
R B' R' F2 U' R L'
U' B' U2 L' R U2 B
U' B' U2 R L' U2 B
U2 B' U' L' R U2 B
U2 B' U' R L' U2 B
B' F' R' F' U' L' R
B' F' R' F' U' R L'
F2 B' R' U' L' R2 D
F2 B' R' U' L' R2 D'
F2 B' R' U' L' R2 D2
F2 B' R' U' R2 L' D
F2 B' R' U' R2 L' D'
F2 B' R' U' R2 L' D2
F2 B' R' U' R2 D L'
F2 B' R' U' R2 D' L'
F2 B' R' U' R2 D2 L'
F' B' R' F' U' L' R
F' B' R' F' U' R L'
F2 B' R' B U' L' R2
F2 B' R' B U' R2 L'
F2 B' R' B' U' L' R2
F2 B' R' B' U' R2 L'
F2 B' R' B2 U' L' R2
F2 B' R' B2 U' R2 L'
F B' R' F U' L' R
F B' R' F U' R L'
F2 B' U' L' R D B2
F2 B' U' R L' D B2
F2 B' U' R D L' B2
F2 B' U' R D B2 L'
U' B' F2 L' R F2 B'
U' B' F2 L' R B' F2
U' B' F2 L' B' R F2
U' B' F2 R L' F2 B'
U' B' F2 R L' B' F2
D2 B' F2 R' U' L' R2
D2 B' F2 R' U' R2 L'
D' B' F2 R' U' L' R2
D' B' F2 R' U' R2 L'
F2 B' D R' U' L' R2
F2 B' D R' U' R2 L'
D B' F2 R' U' L' R2
D B' F2 R' U' R2 L'
F2 B' D' R' U' L' R2
F2 B' D' R' U' R2 L'
F2 B' D2 R' U' L' R2
F2 B' D2 R' U' R2 L'
U B2 L' R B2 U2 B'
U B2 L' B2 R U2 B
U B2 R L' B2 U2 B'
B' F2 R' U' L' R2 D
B' F2 R' U' L' R2 D'
B' F2 R' U' L' R2 D2
B' F2 R' U' R2 L' D
B' F2 R' U' R2 L' D'
B' F2 R' U' R2 L' D2
B' F2 R' U' R2 D L'
B' F2 R' U' R2 D' L'
B' F2 R' U' R2 D2 L'
B' F2 R' B U' L' R2
B' F2 R' B U' R2 L'
B' F2 R' B' U' L' R2
B' F2 R' B' U' R2 L'
B' F2 R' B2 U' L' R2
B' F2 R' B2 U' R2 L'
U' B2 U2 L' R U2 B
U' B2 U2 R L' U2 B
U2 B2 U' L' R U2 B
U2 B2 U' R L' U2 B
B' F2 U' L' R D B2
B' F2 U' R L' D B2
B' F2 U' R D L' B2
B' F2 U' R D B2 L'
B F2 U' L' R D' B2
B F2 U' L' D' R B2
B F2 U' L' D' B2 R
B F2 U' R L' D' B2
B' F2 D R' U' L' R2
B' F2 D R' U' R2 L'
B F2 U2 L U L2 R
B F2 U2 L U R L2
B' F2 D' R' U' L' R2
B' F2 D' R' U' R2 L'
U' B2 F2 L' R F2 B'
U' B2 F2 L' R B' F2
U' B2 F2 L' B' R F2
U' B2 F2 R L' F2 B'
U' B2 F2 R L' B' F2
B' F2 D2 R' U' L' R2
B' F2 D2 R' U' R2 L'
U B2 D2 F2 L' R B
U B2 D2 F2 R L' B
U B2 D2 F2 R B L'
