U R2 F' L'
U L R2 F' L'
U L' R2 F' L'
U L2 R2 F' L'
U R2 L F' L'
U R2 L' F' L'
U R2 L2 F' L'
U R2 D F' L'
U R2 D' F' L'
U R2 D2 F' L'
U R2 F' L' D
U R2 F' L' D'
U R2 F' L' D2
U R2 F' D L'
U R2 F' D' L'
U R2 F' D2 L'
F U R2 F' L'
F' U R2 F' L'
F2 U R2 F' L'
U F' L' R2 F'
U F' R2 L' F'
U' B U2 L R2
U' B U2 R2 L
F' U' B L2 U2 R2 L'
U' D2 L2 D2 B U2 L
F' U' B R U2 L R
F' U' B R U2 R L
F' U' B R' U2 L R'
F' U' B R' U2 R' L
F2 U' B L' U2 L2 R2
F2 U' B L' U2 R2 L2
U' D2 L2 B R U2 L
U' D2 L2 B R' U2 L
F2 U' B L2 U2 L' R2
F2 U' B L2 U2 R2 L'
U' D2 L2 B R2 U2 L
B' U' B U2 L R2 F'
U' D2 L2 B U2 L D
U' D2 L2 B U2 L D'
U' D2 L2 B U2 L D2
U' D2 L2 B U2 D L
U' D2 L2 B U2 D' L
U' D2 L2 B U2 D2 L
U' D2 L2 B D U2 L
U' D2 L2 B D' U2 L
B' U' B U2 R2 L F'
B' U' B U2 R2 F' L
U' D2 L2 B D2 U2 L
F2 U' B R U2 L R
F2 U' B R U2 R L
U' D2 L2 B' R' B2 U2
F' U' B U2 L R2 D
F' U' B U2 L R2 D'
F' U' B U2 L R2 D2
F' U' B U2 R2 L D
F' U' B U2 R2 L D'
F' U' B U2 R2 L D2
F' U' B U2 R2 D L
F' U' B U2 R2 D' L
F2 U' B R' U2 L R'
F' U' B U2 R2 D2 L
F2 U' B R' U2 R' L
F' U' B D2 L2 U2 L'
F2 U' B U2 L R2 D
F2 U' B U2 L R2 D'
F2 U' B U2 L R2 D2
F2 U' B U2 R2 L D
F2 U' B U2 R2 L D'
F2 U' B U2 R2 L D2
F2 U' B U2 R2 D L
F2 U' B U2 R2 D' L
F2 U' B U2 R2 D2 L
F2 U' B D2 L2 U2 L'
B2 U' B' L R' U2 R'
B2 U' B' L' R' U2 R'
B2 U' B' L2 R' U2 R'
F' U' B' R' B2 L U2
B2 U' B' R' L U2 R'
B2 U' B' R' L' U2 R'
B2 U' B' R' L2 U2 R'
B2 U' B' R' U2 R' D
B2 U' B' R' U2 R' D'
B2 U' B' R' U2 R' D2
B2 U' B' R' U2 D R'
B2 U' B' R' U2 D' R'
B2 U' B' R' U2 D2 R'
B2 U' B' R' D U2 R'
B2 U' B' R' D' U2 R'
B2 U' B' R' D2 U2 R'
F U' B L' U2 L2 R2
F U' B L' U2 R2 L2
F U' B L2 U2 L' R2
F U' B L2 U2 R2 L'
F2 U' B' R' B2 L U2
F U' B R U2 L R
F U' B R U2 R L
F U' B R' U2 L R'
F U' B R' U2 R' L
B2 U' B' D2 L2 R' U2
B2 U' B' D2 R' L2 U2
F U' B U2 L R2 D
F U' B U2 L R2 D'
F U' B U2 L R2 D2
F U' B U2 R2 L D
F U' B U2 R2 L D'
F U' B U2 R2 L D2
F U' B U2 R2 D L
F U' B U2 R2 D' L
F U' B U2 R2 D2 L
F U' B D2 L2 U2 L'
F U' B' R' B2 L U2
U' D2 R2 L2 U2 F' L'
R' D2 F' R U R2 F'
U D2 R2 D2 F' L' R2
U D2 R2 D2 F' R2 L'
R' D2 F' R2 U R F'
U D2 R2 F' D2 L' R2
U D2 R2 F' D2 R2 L'
D' U2 F2 U B U2 L
U' D2 B L2 R U2 L'
U' D2 B L2 R' U2 L'
U' D2 B L2 R2 U2 L'
U' D2 B L2 U2 L' D
U' D2 B L2 U2 L' D'
U' D2 B L2 U2 L' D2
U' D2 B L2 U2 D L'
U' D2 B L2 U2 D' L'
U' D2 B L2 U2 D2 L'
U' D2 B L2 D U2 L'
U' D2 B L2 D' U2 L'
U' D2 B L2 D2 U2 L'
U' D2 B R L2 U2 L'
U' D2 B R' L2 U2 L'
U' D2 B R2 L2 U2 L'
U D2 F' D2 L' R2 F'
U D2 F' D2 R2 L' F'
U' D2 B U2 D2 L R2
U' D2 B U2 D2 R2 L
U' D2 B D2 U2 L R2
U' D2 B D2 U2 R2 L
U' D2 B' L2 R' B2 U2
U' D2 B' L2 B2 U2 L
U' D2 B' R' L2 B2 U2
U' D2 B' R' B2 L2 U2
U D2 B L2 F R U2
U' F L R2 F' B L
U' F L R2 B L F'
U' F L R2 B F' L
L' F L U R2 F' L'
U' F L' R2 F' B L
U' F L' R2 B L F'
U' F L' R2 B F' L
U' F L2 R2 F' B L
U' F L2 R2 B L F'
U' F L2 R2 B F' L
F' U2 F U' R2 F' L'
U F L F' R2 F' L'
U F L F2 L' R2 F'
U F L F2 R2 L' F'
F2 U2 F U' R2 F' L'
L2 F L2 U R2 F' L'
F' U2 F' U' R2 F' L'
B U2 F U' F' L' R2
B U2 F U' F' R2 L'
U F L' F' R2 F' L'
U F L' F2 L' R2 F'
U F L' F2 R2 L' F'
F2 U2 F' U' R2 F' L'
F U2 F U' R2 F' L'
R' F R F2 U R2 F'
F' U2 F2 U' R2 F' L'
U F L2 F' R2 F' L'
U F L2 F2 L' R2 F'
U F L2 F2 R2 L' F'
F2 U2 F2 U' R2 F' L'
F U2 F' U' R2 F' L'
R2 F R F' U F' R'
U' F R2 L F' B L
U' F R2 L B L F'
U' F R2 L B F' L
U' F R2 L' F' B L
U' F R2 L' B L F'
U' F R2 L' B F' L
U' F R2 L2 F' B L
U' F R2 L2 B L F'
U' F R2 L2 B F' L
B' U2 B U' R2 F' L'
U' F R2 D F' B L
U' F R2 D B L F'
U' F R2 D B F' L
U' F R2 D' F' B L
U' F R2 D' B L F'
U' F R2 D' B F' L
U' F R2 D2 F' B L
U' F R2 D2 B L F'
U' F R2 D2 B F' L
U' F R2 F B L F2
U' F R2 F' L B L
U' F R2 F' L' B L
U' F R2 F' L2 B L
U' F R2 F' D B L
U' F R2 F' D' B L
U' F R2 F' D2 B L
U' F R2 F' B L D
U' F R2 F' B L D'
U' F R2 F' B L D2
U' F R2 F' B D L
U' F R2 F' B D' L
U' F R2 F' B D2 L
U' F R2 B L D F'
U' F R2 B L D' F'
U' F R2 B L D2 F'
U' F R2 B L F' D
U' F R2 B L F' D'
U' F R2 B L F' D2
U' F R2 B L' F' L2
F U2 F2 U' R2 F' L'
U' F R2 B D L F'
U' F R2 B D F' L
U' F R2 B D' L F'
U' F R2 B D' F' L
U' F R2 B D2 L F'
U' F R2 B D2 F' L
U' F R2 B F L F2
U' F R2 B F' L D
U' F R2 B F' L D'
U' F R2 B F' L D2
U' F R2 B F' D L
U' F R2 B F' D' L
U' F R2 B F' D2 L
U F R' D2 L2 R' F'
U F R' D2 R' L2 F'
U F R' D2 R' F' L2
D2 F U D2 R2 F' L'
D2 F U' L2 B U2 L
B2 U2 B2 U' R2 F' L'
U F R2 F' U2 R' U2
U F R2 F' B2 L B2
U2 F U B U2 L R2
U2 F U B U2 R2 L
U F R2 B2 L F' B2
U F R2 B2 L B2 F'
U2 F U' L R2 F' L'
U F R2 B2 F' L B2
U2 F U' L' R2 F' L'
D F U D' R2 F' L'
D2 F U' B L2 U2 L'
U2 F U' L2 R2 F' L'
U2 F U' R2 L F' L'
U2 F U' R2 L' F' L'
U2 F U' R2 L2 F' L'
U2 F U' R2 D F' L'
U2 F U' R2 D' F' L'
U2 F U' R2 D2 F' L'
U2 F U' R2 F' L' D
U2 F U' R2 F' L' D'
U2 F U' R2 F' L' D2
U2 F U' R2 F' D L'
U2 F U' R2 F' D' L'
U2 F U' R2 F' D2 L'
U' F U2 R2 F' L' B
U' F U2 R2 F' B L'
U' F U2 R2 B F' L'
L F U R2 F' L' B'
U2 F U' F' L' R2 F'
U2 F U' F' R2 L' F'
U F U2 R U2 R F'
U F U2 B R U2 R
D2 F D2 U R2 F' L'
D F D' U R2 F' L'
U' F B U2 L R2 B
U' F B U2 R2 L B
U F B R U2 R B'
U F B R U2 B' R
L' F' L U R2 F' L'
D F B2 U' B' R' U2
U F' L R2 F L2 F2
U F' L R2 F' L2 D
U F' L R2 F' L2 D'
U F' L R2 F' L2 D2
U F' L F L2 R2 F'
U F' L F R2 L2 F'
U F' L F R2 F' L2
U F' L F' L2 R2 F'
U F' L F' R2 L2 F'
U F' L F' R2 F' L2
U F' L F2 L2 R2 F'
U F' L F2 R2 L2 F'
U F' L F2 R2 F' L2
U F' L' R' D R' F'
U F' L' R' D' R' F'
U F' L' R' D2 R' F'
U F' L' R' F R' F'
U F' L' R' F' R' F'
U F' L' R' F2 R' F'
L2 F' L2 U R2 F' L'
U F' L' R2 D F' D
U F' L' R2 D F' D'
U F' L' R2 D F' D2
U F' L' R2 D' F' D
U F' L' R2 D' F' D'
U F' L' R2 D' F' D2
U F' L' R2 D2 F' D
U F' L' R2 D2 F' D'
U F' L' R2 D2 F' D2
U F' L' R2 F2 D F
U F' L' R2 F2 D' F
U F' L' R2 F2 D2 F
R' F' R U R2 D F'
R' F' R U R2 D' F'
R' F' R U R2 D2 F'
R' F' R U R2 F' D
R' F' R U R2 F' D'
R' F' R U R2 F' D2
R' F' R U F R2 F'
R' F' R U F' R2 F'
R' F' R U F2 R2 F'
U F' L' U2 B U2 R2
R' F' R U' B U2 R2
U F' L' F R2 D F'
U F' L' F R2 D' F'
U F' L' F R2 D2 F'
U F' L' F R2 F' D
U F' L' F R2 F' D'
U F' L' F R2 F' D2
U F' L' F' R2 D F'
U F' L' F' R2 D' F'
U F' L' F' R2 D2 F'
U F' L' F' R2 F' D
U F' L' F' R2 F' D'
U F' L' F' R2 F' D2
U F' L' F2 R2 D F'
U F' L' F2 R2 D' F'
U F' L' F2 R2 D2 F'
U F' L' F2 R2 F' D
U F' L' F2 R2 F' D'
U F' L' F2 R2 F' D2
U F' L2 R2 D L F'
U F' L2 R2 D F' L
U F' L2 R2 D' L F'
U F' L2 R2 D' F' L
U F' L2 R2 D2 L F'
U F' L2 R2 D2 F' L
U F' L2 R2 F L F2
U F' L2 R2 F' L D
U F' L2 R2 F' L D'
U F' L2 R2 F' L D2
U F' L2 R2 F' D L
U F' L2 R2 F' D' L
U F' L2 R2 F' D2 L
U F' L2 F L R2 F'
U F' L2 F R2 L F'
U F' L2 F R2 F' L
U F' L2 F' L R2 F'
U F' L2 F' R2 L F'
U F' L2 F' R2 F' L
U F' L2 F2 L R2 F'
U F' L2 F2 R2 L F'
U F' L2 F2 R2 F' L
R2 F' R F' U R' F
R2 F' R F' U F R'
R' F' R2 U R D F'
R' F' R2 U R D' F'
R' F' R2 U R D2 F'
R' F' R2 U R F' D
R' F' R2 U R F' D'
R' F' R2 U R F' D2
U F' R D2 L' R F
U F' R D2 R L' F
R' F' R2 B U R F'
R' F' R2 B' U R F'
R' F' R2 B2 U R F'
U F' R' L' D R' F'
U F' R' L' D' R' F'
U F' R' L' D2 R' F'
U F' R' L' F R' F'
U F' R' L' F' R' F'
U F' R' L' F2 R' F'
U F' R' D L' R' F'
U F' R' D R' L' F'
U F' R' D' L' R' F'
U F' R' D' R' L' F'
U F' R' D2 L' R' F'
U F' R' D2 R' L' F'
U F' R' F R' F' L'
R' F' U F R' D' F2
D2 F' U D2 R2 F' L'
U F' R2 L F L2 F2
U F' R2 L F' L2 D
U F' R2 L F' L2 D'
U F' R2 L F' L2 D2
U F' R2 L' D F' D
U F' R2 L' D F' D'
U F' R2 L' D F' D2
U F' R2 L' D' F' D
U F' R2 L' D' F' D'
U F' R2 L' D' F' D2
U F' R2 L' D2 F' D
U F' R2 L' D2 F' D'
U F' R2 L' D2 F' D2
U F' R2 L' F2 D F
U F' R2 L' F2 D' F
U F' R2 L' F2 D2 F
U F' R2 L2 D L F'
U F' R2 L2 D F' L
U F' R2 L2 D' L F'
U F' R2 L2 D' F' L
U F' R2 L2 D2 L F'
U F' R2 L2 D2 F' L
U F' R2 L2 F L F2
U F' R2 L2 F' L D
U F' R2 L2 F' L D'
U F' R2 L2 F' L D2
U F' R2 L2 F' D L
U F' R2 L2 F' D' L
U F' R2 L2 F' D2 L
D2 F' U' L2 B U2 L
U F' R2 D L F' L2
U F' R2 D L' D F'
U F' R2 D L' D' F'
U F' R2 D L' D2 F'
U F' R2 D L' F' D
U F' R2 D L' F' D'
U F' R2 D L' F' D2
U F' R2 D L2 F' L
F' D B2 U' B' R' U2
U F' R2 D' L F' L2
U F' R2 D' L' D F'
U F' R2 D' L' D' F'
U F' R2 D' L' D2 F'
U F' R2 D' L' F' D
U F' R2 D' L' F' D'
U F' R2 D' L' F' D2
U F' R2 D' L2 F' L
U F' R2 D2 L F' L2
U F' R2 D2 L' D F'
U F' R2 D2 L' D' F'
U F' R2 D2 L' D2 F'
U F' R2 D2 L' F' D
U F' R2 D2 L' F' D'
U F' R2 D2 L' F' D2
U F' R2 D2 L2 F' L
R2 F' U R' B U' B'
B2 D B2 U' B U2 L
F2 D B2 U' B' R' U2
U2 F' U B U2 L R2
U2 F' U B U2 R2 L
U F' R2 B' L' F' B
U F' R2 B' L' B F'
U2 F' U' L R2 F' L'
D2 F' U' B L2 U2 L'
U F' R2 B2 L' F' B2
U F' R2 B2 L' B2 F'
U2 F' U' L' R2 F' L'
D F' U D' R2 F' L'
R' F' U2 L U' R' F
R' F' U2 L U' F R'
U2 F' U' L2 R2 F' L'
U2 F' U' R2 L F' L'
U2 F' U' R2 L' F' L'
U2 F' U' R2 L2 F' L'
U2 F' U' R2 D F' L'
U2 F' U' R2 D' F' L'
U2 F' U' R2 D2 F' L'
U2 F' U' R2 F' L' D
U2 F' U' R2 F' L' D'
U2 F' U' R2 F' L' D2
U2 F' U' R2 F' D L'
U2 F' U' R2 F' D' L'
U2 F' U' R2 F' D2 L'
U2 F' U' F' L' R2 F'
U2 F' U' F' R2 L' F'
F D B2 U' B' R' U2
R' F' D R U R2 F'
R' F' D R2 U R F'
R' F' D' R U R2 F'
R' F' D' R2 U R F'
U F' U2 B U2 L' R2
U F' U2 B U2 R2 L'
U F' D L' D' R2 F'
R' F' D2 R U R2 F'
R' F' D2 R2 U R F'
D2 F' D2 U R2 F' L'
D F' D' U R2 F' L'
U F' D' L' D R2 F'
U F' B U2 R2 B' L'
U F' B U2 B' L' R2
U F' B U2 B' R2 L'
L' F2 L U R2 F' L'
U F' B' L' B R2 F'
D F' B2 U' B' R' U2
U F2 L R2 F L' F2
U F2 L F L' R2 F'
U F2 L F R2 L' F'
U F2 L F2 R2 F' L'
L2 F2 L2 U R2 F' L'
U F2 L' R2 F L' F2
R' F2 R F U R2 F'
U F2 L' F L' R2 F'
U F2 L' F R2 L' F'
U F2 L' F2 R2 F' L'
U F2 L2 R2 F L' F2
U F2 L2 F L' R2 F'
U F2 L2 F R2 L' F'
U F2 L2 F2 R2 F' L'
R2 F2 R F' U R' F2
R2 F2 R F' U F2 R'
L F2 R B U' R F'
D2 F2 U D2 R2 F' L'
U F2 R' F L' R' F'
U F2 R' F R' L' F'
U F2 R' F2 R' F' L'
U F2 R2 L F L' F2
U F2 R2 L' F L' F2
U F2 R2 L2 F L' F2
D2 F2 U' L2 B U2 L
U F2 R2 F L F2 L2
U F2 R2 F L' F2 D
U F2 R2 F L' F2 D'
U F2 R2 F L' F2 D2
U F2 R2 F L2 F2 L
U2 F2 U B U2 L R2
U2 F2 U B U2 R2 L
U F2 R2 F' U2 R U2
D2 F2 U' B L2 U2 L'
U2 F2 U' L R2 F' L'
U2 F2 U' L' R2 F' L'
U2 F2 U' L2 R2 F' L'
D F2 U D' R2 F' L'
U2 F2 U' R2 L F' L'
U2 F2 U' R2 L' F' L'
U2 F2 U' R2 L2 F' L'
U2 F2 U' R2 D F' L'
U2 F2 U' R2 D' F' L'
U2 F2 U' R2 D2 F' L'
U2 F2 U' R2 F' L' D
U2 F2 U' R2 F' L' D'
U2 F2 U' R2 F' L' D2
U2 F2 U' R2 F' D L'
U2 F2 U' R2 F' D' L'
U2 F2 U' R2 F' D2 L'
U2 F2 U' F' L' R2 F'
U2 F2 U' F' R2 L' F'
D2 F2 D2 U R2 F' L'
D F2 D' U R2 F' L'
U' B L U2 R2 D2 L2
U' B L D2 L2 U2 L2
F' D2 U' L2 B U2 L
F2 D2 U' L2 B U2 L
F' D2 U' B L2 U2 L'
U' B L' R U2 L2 R
U' B L' R U2 R L2
U' B L' R' U2 L2 R'
U' B L' R' U2 R' L2
B2 D2 U' B' L2 R' U2
B2 D2 U' B' R' L2 U2
U' B L' U2 L2 R2 D
U' B L' U2 L2 R2 D'
U' B L' U2 L2 R2 D2
U' B L' U2 R2 L2 D
U' B L' U2 R2 L2 D'
U' B L' U2 R2 L2 D2
F2 D2 U' B L2 U2 L'
D F2 B2 U' B' R' U2
U' B L' D2 L2 R2 U2
U' B L' D2 R2 L2 U2
U' B L2 R U2 L' R
U' B L2 R U2 R L'
U' B L2 R' U2 L' R'
U' B L2 R' U2 R' L'
F D2 U' L2 B U2 L
U' B L2 U2 L' R2 D
U' B L2 U2 L' R2 D'
U' B L2 U2 L' R2 D2
U' B L2 U2 R2 L' D
U' B L2 U2 R2 L' D'
U' B L2 U2 R2 L' D2
U' B L2 U2 R2 D L'
U' B L2 U2 R2 D' L'
U' B L2 U2 R2 D2 L'
U' B L2 D2 L2 U2 L
F D2 U' B L2 U2 L'
U2 B L' B' U' R2 F'
U' B R L' U2 L2 R
U' B R L' U2 R L2
U' B R L2 U2 L' R
U' B R L2 U2 R L'
U' B R U2 L R D
U' B R U2 L R D'
U' B R U2 L R D2
U' B R U2 L D R
U' B R U2 L D' R
U' B R U2 L D2 R
U' B R U2 R L D
U' B R U2 R L D'
U' B R U2 R L D2
U' B R U2 R D L
U' B R U2 R D' L
U' B R U2 R D2 L
U' B R U2 D L R
U' B R U2 D R L
U' B R U2 D' L R
U' B R U2 D' R L
U' B R U2 D2 L R
U' B R U2 D2 R L
U' B R D U2 L R
U' B R D U2 R L
U' B R D' U2 L R
U' B R D' U2 R L
U' B R D2 U2 L R
U' B R D2 U2 R L
U' B R' L' U2 L2 R'
U' B R' L' U2 R' L2
U' B R' L2 U2 L' R'
U' B R' L2 U2 R' L'
U' B R' U2 L R' D
U' B R' U2 L R' D'
U' B R' U2 L R' D2
U' B R' U2 L D R'
U' B R' U2 L D' R'
U' B R' U2 L D2 R'
U' B R' U2 R' L D
U' B R' U2 R' L D'
U' B R' U2 R' L D2
U' B R' U2 R' D L
U' B R' U2 R' D' L
U' B R' U2 R' D2 L
U' B R' U2 D L R'
U' B R' U2 D R' L
U' B R' U2 D' L R'
U' B R' U2 D' R' L
U' B R' U2 D2 L R'
U' B R' U2 D2 R' L
U' B R' D U2 L R'
U' B R' D U2 R' L
U' B R' D' U2 L R'
U' B R' D' U2 R' L
U' B R' D2 U2 L R'
U' B R' D2 U2 R' L
U B L2 F R U2 R
U' B U F U L R2
U' B U F U R2 L
U' B U F' U L R2
U' B U F' U R2 L
U' B U F2 U L R2
U' B U F2 U R2 L
R2 B R2 U R2 F' L'
U' B U' D' F2 U' L
U' B U' F U' L R2
U' B U' F U' R2 L
U' B U' F' U' L R2
U' B U' F' U' R2 L
U' B U' F2 U' L R2
U' B U' F2 U' R2 L
U' B U2 L R D R
U' B U2 L R D' R
U' B U2 L R D2 R
U' B U2 L R' D R'
U' B U2 L R' D' R'
U' B U2 L R' D2 R'
U' B U2 L F' R2 F
U' B U2 L F2 R2 F2
U' B U2 L B R2 B'
U' B U2 L B2 R2 B2
U' B U2 L2 R2 D L'
U' B U2 L2 R2 D' L'
U' B U2 L2 R2 D2 L'
U' B U2 R L D R
U' B U2 R L D' R
U' B U2 R L D2 R
U' B U2 R D L R
U' B U2 R D R L
U' B U2 R D' L R
U' B U2 R D' R L
U' B U2 R D2 L R
U' B U2 R D2 R L
U' B U2 R' L D R'
U' B U2 R' L D' R'
U' B U2 R' L D2 R'
U' B U2 R' D L R'
U' B U2 R' D R' L
U' B U2 R' D' L R'
U' B U2 R' D' R' L
U' B U2 R' D2 L R'
U' B U2 R' D2 R' L
U' B U2 R2 L2 D L'
U' B U2 R2 L2 D' L'
U' B U2 R2 L2 D2 L'
U' B U2 R2 D L D
U' B U2 R2 D L D'
U' B U2 R2 D L D2
U' B U2 R2 D' L D
U' B U2 R2 D' L D'
U' B U2 R2 D' L D2
U' B U2 R2 D2 L D
U' B U2 R2 D2 L D'
U' B U2 R2 D2 L D2
U' B U2 R2 F L F'
U' B U2 R2 F2 L F2
U' B U2 D L D' R2
U' B U2 D' L D R2
U' B U2 F L F' R2
U' B U2 F' R2 F L
U' B U2 F2 L R2 F2
U' B U2 F2 L F2 R2
U' B U2 F2 R2 L F2
U' B U2 F2 R2 F2 L
U' B U2 B R2 B' L
U' B D U2 L D' R2
U' B D' U' F2 U' L
U' B D' U2 L D R2
U B U2 R2 B L B2
U' B D2 L2 R U2 L'
U' B D2 L2 R' U2 L'
U' B D2 L2 R2 U2 L'
U' B D2 L2 U2 L' D
U' B D2 L2 U2 L' D'
U' B D2 L2 U2 L' D2
U' B D2 L2 U2 D L'
U' B D2 L2 U2 D' L'
U' B D2 L2 U2 D2 L'
U' B D2 L2 D U2 L'
U' B D2 L2 D' U2 L'
U' B D2 L2 D2 U2 L'
U' B D2 R L2 U2 L'
U B U2 B L R2 B2
U B U2 B L B2 R2
U B U2 B R2 L B2
U' B D2 R' L2 U2 L'
U' B D2 R2 L2 U2 L'
U' B F U2 L R2 B
U' B F U2 R2 L B
U B D2 L2 F R U2
U' B' L R' B2 L U2
U B F R U2 R B'
U B F R U2 B' R
U' B' L B2 U2 L R2
U' B' L B2 U2 R2 L
U' B' L' R' B2 L U2
U B F' U2 R2 B' L'
U B F' U2 B' L' R2
U B F' U2 B' R2 L'
B2 F U' B' R' U2 R'
U' B' L' B2 U2 L R2
U' B' L' B2 U2 R2 L
U' B' L2 R' B2 L U2
U' B' L2 B2 U2 L R2
U' B' L2 B2 U2 R2 L
U B' L B R2 F' L'
U' B' R B2 R2 U2 R'
U' B' R' L B2 L U2
U' B' R' L' B2 L U2
U' B' R' L2 B2 L U2
U' B' R' U2 R' D2 F2
U B' L' B R2 F' L'
U' B' R' U2 D2 R' F2
U' B' R' U2 D2 F2 R'
U' B' R' D2 U2 R' F2
U' B' R' D2 U2 F2 R'
U' B' R' B2 L U2 D
U' B' R' B2 L U2 D'
U' B' R' B2 L U2 D2
U' B' R' B2 L D U2
U' B' R' B2 L D' U2
U' B' R' B2 L D2 U2
U' B' R' B2 D L U2
U' B' R' B2 D' L U2
U' B' R' B2 D2 L U2
U B' L2 B R2 F' L'
U' B' R2 B2 R U2 R'
R2 B' R2 U R2 F' L'
U' B' U2 R2 D2 F2 L'
R B' U R D L2 F'
R B' U R D F' L2
R B' U R F' D L2
U' B' D2 L2 R' U2 F2
U' B' D2 R' L2 U2 F2
U B' U2 B L R2 F'
U B' U2 B R2 L F'
U B' U2 B R2 F' L
R B' U2 B2 U' R F'
B2 F' U' B' R' U2 R'
U B' F' L' B R2 F'
U' B2 R B' U2 L R
U' B2 R B' U2 R L
U B2 L2 F R2 B2 L
D B2 R' F' U' B' U2
R2 B2 R2 U R2 F' L'
D B2 U L' F' L' F
U2 B2 U B' R' U2 R'
D2 B2 U' B' L2 R' U2
D2 B2 U' B' R' L2 U2
D B2 U L2 F' L' F2
D B2 U F' L2 F L
D B2 U F2 L2 F L'
D B2 U' R B' R' U2
D B2 U' R' B' R' U2
D B2 U' R2 B' R' U2
D B2 U' D B' R' U2
D B2 U' D' B' R' U2
D B2 U' D2 B' R' U2
D B2 U' B' R' U2 D
D B2 U' B' R' U2 D'
D B2 U' B' R' U2 D2
D B2 U' B' R' D U2
D B2 U' B' R' D' U2
D B2 U' B' R' D2 U2
D B2 U' B' D R' U2
D B2 U' B' D' R' U2
D B2 U' B' D2 R' U2
F' B2 U' B' R' U2 R'
U' B2 D2 L2 U2 F L'
B2 F2 U' B' R' U2 R'
F2 B2 U' B' R' U2 R'
D B2 D U' B' R' U2
R B2 U2 B' U' R F'
D B2 D' U' B' R' U2
F B2 U' B' R' U2 R'
D B2 D2 U' B' R' U2
D B2 F U' B' R' U2
D B2 F' U' B' R' U2
D B2 F2 U' B' R' U2
