B' D L2 U2 B'
B' D F L2 U2
B' D' F U2 R2
B' F U B2 U
B' F U2 D' R2
B' F D L2 U2
B' F D' U2 R2
F B' U B2 U
F B' U2 D' R2
F B' D L2 U2
F B' D' U2 R2
D' B' D L2 D' U2 B'
D' B' D L2 D2 U2 B'
D' B' D L2 F U2 B'
F B' L2 U B2 U D
F B' L2 U B2 U D'
F B' L2 U B2 U D2
F B' L2 U B2 D U
D' B' D L2 F' U2 B'
F B' L2 U B2 D' U
F B' L2 U B2 D2 U
D' B' D L2 F2 U2 B'
F B' L2 U' D2 F2 U'
L2 B' U2 D' F R2 B
F B' L2 U2 R D' R2
F B' L2 U2 R' D' R2
F B' L2 U2 R2 D' R2
F B' L2 U2 D' R2 D
F B' L2 U2 D' R2 D'
F B' L2 U2 D' R2 D2
F B' L2 D L2 U2 D
F B' L2 D L2 U2 D'
F B' L2 D L2 U2 D2
F B' L2 D L2 D U2
F B' L2 D L2 D' U2
F B' L2 D L2 D2 U2
F B' L2 D' L U2 R2
L2 B' U2 F D' R2 B
F B' L2 D' L' U2 R2
F B' L2 D' L2 U2 R2
F B' L2 D' U2 R2 D
F B' L2 D' U2 R2 D'
F B' L2 D' U2 R2 D2
D2 B' D F L2 U2 D
D2 B' D F L2 U2 D'
D2 B' D F L2 U2 D2
D2 B' D F L2 D U2
D2 B' D F L2 D' U2
D2 B' D F L2 D2 U2
D2 B' D F U2 D2 R2
D2 B' D F D2 U2 R2
F B' L2 D2 U' F2 U'
D2 B' D F' L2 F2 U2
D2 B' D F2 L2 F' U2
D' B' D F L2 U2 D
D' B' D F L2 U2 D'
D' B' D F L2 U2 D2
D' B' D F L2 D U2
D' B' D F L2 D' U2
D' B' D F L2 D2 U2
D' B' D F U2 D2 R2
D' B' D F D2 U2 R2
D' B' D F' L2 F2 U2
D' B' D F2 L2 F' U2
U2 B' D L2 U2 B' L2
L2 B' D L2 B' U2 B
D2 B' D' L2 U2 R2 B'
D2 B' D' L2 U2 B' R2
D' B' D' L2 U2 R2 B'
D' B' D' L2 U2 B' R2
F B' R U B2 U L
F B' R D L2 R' U2
F B' R D R' L2 U2
U2 B' D F L2 U2 L2
F B' R D' R' U2 R'
D2 B' D' F L U2 R2
D2 B' D' F L' U2 R2
D2 B' D' F L2 U2 R2
D2 B' D' F U2 R2 D
D2 B' D' F U2 R2 D'
D2 B' D' F U2 R2 D2
D2 B' D' F D2 L2 U2
D' B' D' F L U2 R2
D' B' D' F L' U2 R2
D' B' D' F L2 U2 R2
D2 B' D' F2 U2 R2 B
D' B' D' F U2 R2 D
D' B' D' F U2 R2 D'
D' B' D' F U2 R2 D2
D B' D L2 U2 D B'
D B' D L2 U2 D' B'
D B' D L2 U2 D2 B'
D B' D L2 U2 B' D
D B' D L2 U2 B' D'
D B' D L2 U2 B' D2
D' B' D' F D2 L2 U2
D B' D L2 D U2 B'
D B' D L2 D' U2 B'
D B' D L2 D2 U2 B'
D B' D L2 F U2 B'
D B' D L2 F' U2 B'
D B' D L2 F2 U2 B'
D' B' D' F2 U2 R2 B
D B' D F L2 U2 D
D B' D F L2 U2 D'
D B' D F L2 U2 D2
D B' D F L2 D U2
D B' D F L2 D' U2
D B' D F L2 D2 U2
D B' D F U2 D2 R2
D B' D F D2 U2 R2
L2 B' D' R2 D2 F L2
D B' D F' L2 F2 U2
L2 B' D' R2 F D2 L2
D B' D F2 L2 F' U2
B' F' U D' L2 U R2
L2 B' D' U2 F R2 B
F B' R' D L2 R U2
F B' R' D R L2 U2
L2 B' D' F R2 D2 L2
F B' R' D' R U2 R
D2 B' D2 F U' F U'
D' B' D2 F U' F U'
D B' D' L2 U2 R2 B'
D B' D' L2 U2 B' R2
F' B' U D' L2 U R2
B' F' U B2 U D2 B2
B' F' U B2 U' F2 U2
B' F' U B2 D' L2 U
B' F' U B2 D2 U B2
D2 B' F L U B2 U
D2 B' F L U2 D' R2
D2 B' F L D L2 U2
D2 B' F L D' U2 R2
D2 B' F L' U B2 U
D2 B' F L' U2 D' R2
D2 B' F L' D L2 U2
D2 B' F L' D' U2 R2
D2 B' F L2 U B2 U
D2 B' F L2 U2 D' R2
D2 B' F L2 D L2 U2
D2 B' F L2 D' U2 R2
D' B' F L U B2 U
D' B' F L U2 D' R2
D' B' F L D L2 U2
D' B' F L D' U2 R2
D B' D' F L U2 R2
D B' D' F L' U2 R2
D B' D' F L2 U2 R2
D' B' F L' U B2 U
D' B' F L' U2 D' R2
D' B' F L' D L2 U2
D' B' F L' D' U2 R2
D B' D' F U2 R2 D
D B' D' F U2 R2 D'
D B' D' F U2 R2 D2
D B' D' F D2 L2 U2
D' B' F L2 U B2 U
D' B' F L2 U2 D' R2
D' B' F L2 D L2 U2
F' B' U B2 U D2 B2
D' B' F L2 D' U2 R2
F' B' U B2 U' F2 U2
F' B' U B2 D' L2 U
F' B' U B2 D2 U B2
D B' D' F2 U2 R2 B
D2 B' F U B2 U D
D2 B' F U B2 U D'
D2 B' F U B2 U D2
D2 B' F U B2 D U
D2 B' F U B2 D' U
D2 B' F U B2 D2 U
B' F' U' D2 F2 U' B2
D2 B' F U' D2 F2 U'
D2 B' F U2 R D' R2
D2 B' F U2 R' D' R2
D2 B' F U2 R2 D' R2
D2 B' F U2 D' R2 D
D2 B' F U2 D' R2 D'
D2 B' F U2 D' R2 D2
D2 B' F D L2 U2 D
D2 B' F D L2 U2 D'
D2 B' F D L2 U2 D2
D2 B' F D L2 D U2
D2 B' F D L2 D' U2
D2 B' F D L2 D2 U2
D' B' F U B2 U D
D' B' F U B2 U D'
D' B' F U B2 U D2
D' B' F U B2 D U
D' B' F U B2 D' U
D' B' F U B2 D2 U
F2 B' U B2 U' F' U2
D2 B' F D' L U2 R2
D2 B' F D' L' U2 R2
D' B' F U' D2 F2 U'
D2 B' F D' L2 U2 R2
D2 B' F D' U2 R2 D
D2 B' F D' U2 R2 D'
D2 B' F D' U2 R2 D2
D' B' F U2 R D' R2
D' B' F U2 R' D' R2
D' B' F U2 R2 D' R2
D' B' F U2 D' R2 D
D' B' F U2 D' R2 D'
D' B' F U2 D' R2 D2
D2 B' F D2 U' F2 U'
D' B' F D L2 U2 D
D' B' F D L2 U2 D'
D' B' F D L2 U2 D2
D' B' F D L2 D U2
D' B' F D L2 D' U2
D' B' F D L2 D2 U2
D' B' F D' L U2 R2
D' B' F D' L' U2 R2
D' B' F D' L2 U2 R2
D' B' F D' U2 R2 D
D' B' F D' U2 R2 D'
D' B' F D' U2 R2 D2
F' B' U' D2 F2 U' B2
D' B' F D2 U' F2 U'
F B' U L B2 L' U
D B' D2 F U' F U'
F B' U L2 B2 L2 U
B' F' U2 D' R2 D' B2
F B' U R' B2 R U
B' F' U2 D2 B2 D R2
F B' U R2 B2 R2 U
U2 B' F D L2 U2 L2
L2 B' F D' R2 D2 L2
F B' U D' B U R2
F B' U D' B' U R2
F B' U D' B2 U R2
D B' F L U B2 U
D B' F L U2 D' R2
D B' F L D L2 U2
D B' F L D' U2 R2
D B' F L' U B2 U
D B' F L' U2 D' R2
D B' F L' D L2 U2
D B' F L' D' U2 R2
D B' F L2 U B2 U
D B' F L2 U2 D' R2
D B' F L2 D L2 U2
D B' F L2 D' U2 R2
R2 B' F R2 U' F2 U'
R2 B' F R2 U2 D R2
R2 B' F R2 D U2 R2
R2 B' F R2 D' L2 U2
F' B' U2 D' R2 D' B2
F' B' U2 D2 B2 D R2
F B' U B D B U
F B' U B D' B U
F B' U B D2 B U
F B' U B' D B' U
F B' U B' D' B' U
F B' U B' D2 B' U
B' F' D L2 U' R2 U'
B' F' D L2 U2 D B2
F2 B' U2 R2 D' B R2
B' F' D L2 D U2 B2
B' F' D L2 D' F2 U2
D B' F U B2 U D
D B' F U B2 U D'
D B' F U B2 U D2
D B' F U B2 D U
D B' F U B2 D' U
D B' F U B2 D2 U
D B' F U' D2 F2 U'
F2 B' U2 D' R2 D B
F2 B' U2 D' R2 D' B
F2 B' U2 D' R2 D2 B
F2 B' U2 D' R2 B D
F2 B' U2 D' R2 B D'
F2 B' U2 D' R2 B D2
D B' F U2 R D' R2
D B' F U2 R' D' R2
F2 B' U2 D' B R2 B
D B' F U2 R2 D' R2
F2 B' U2 D' B' R2 B
F2 B' U2 D' B2 R2 B
D B' F U2 D' R2 D
D B' F U2 D' R2 D'
D B' F U2 D' R2 D2
D2 B' F2 U2 D' R2 B
D B' F D L2 U2 D
D B' F D L2 U2 D'
D B' F D L2 U2 D2
D B' F D L2 D U2
D B' F D L2 D' U2
D B' F D L2 D2 U2
D2 B' F2 D L2 F' U2
D2 B' F2 D F' L2 U2
D B' F D' L U2 R2
D B' F D' L' U2 R2
D B' F D' L2 U2 R2
D B' F D' U2 R2 D
D B' F D' U2 R2 D'
D B' F D' U2 R2 D2
D2 B' F2 D' U2 R2 B
D2 B' F2 D' F' U2 R2
D' B' F2 U2 D' R2 B
D B' F D2 U' F2 U'
D' B' F2 D L2 F' U2
D' B' F2 D F' L2 U2
F' B' D L2 U' R2 U'
F' B' D L2 U2 D B2
F' B' D L2 D U2 B2
F' B' D L2 D' F2 U2
D' B' F2 D' U2 R2 B
D' B' F2 D' F' U2 R2
F B' U' D' F U' R2
F B' U' D' F' U' R2
F B' U' D' F2 U' R2
F B' U' D2 F2 U' D
F B' U' D2 F2 U' D'
F B' U' D2 F2 U' D2
F B' U' D2 F2 D U'
F B' U' D2 F2 D' U'
F B' U' D2 F2 D2 U'
F2 B' D L F' L U2
F B' U' F U' D' R2
F B' U' F U2 B2 U
F B' U' F D' U' R2
F B' U' F D2 F2 U'
U B' F U F' B2 U
F B' U' F' U' D' R2
F B' U' F' U2 B2 U
U B' F U B2 F' U
F B' U' F' D' U' R2
F B' U' F' D2 F2 U'
F2 B' D L2 D F' U2
F2 B' D L2 D' F' U2
F2 B' D L2 D2 F' U2
F2 B' D L2 F' U2 D
F2 B' D L2 F' U2 D'
F2 B' D L2 F' U2 D2
F2 B' D L2 F' D U2
F2 B' D L2 F' D' U2
F2 B' D L2 F' D2 U2
F B' U' F2 U' D' R2
F B' U' F2 U2 B2 U
F B' U' F2 D' U' R2
F B' U' F2 D2 F2 U'
F B' U2 L D' L' R2
F B' U2 L D' R2 L'
F B' U2 L' D' L R2
F B' U2 L' D' R2 L
F2 B' D F L2 F2 U2
B' F' D' U L2 U R2
F2 B' D F' L2 U2 D
F2 B' D F' L2 U2 D'
F2 B' D F' L2 U2 D2
F2 B' D F' L2 D U2
F2 B' D F' L2 D' U2
F2 B' D F' L2 D2 U2
F B' U2 R U' B2 U
F B' U2 R D' R2 D
F B' U2 R D' R2 D'
F B' U2 R D' R2 D2
F2 B' D F' U2 D2 R2
F2 B' D F' D2 U2 R2
F2 B' D F2 L2 U2 B'
F B' U2 R' U' B2 U
F B' U2 R' D' R2 D
F B' U2 R' D' R2 D'
F B' U2 R' D' R2 D2
B' F' D' U2 R2 D' B2
F B' U2 R2 U' B2 U
F B' U2 R2 D' R2 D
F B' U2 R2 D' R2 D'
F B' U2 R2 D' R2 D2
F B' U2 D R D2 R2
F B' U2 D R' D2 R2
F B' U2 D R2 D2 R2
F B' U2 D' R D R
F B' U2 D' R D' R
F B' U2 D' R D2 R
F B' U2 D' R' D R'
F B' U2 D' R' D' R'
F B' U2 D' R' D2 R'
F B' U2 D' F' R2 F
F B' U2 D' F2 R2 F2
F B' U2 D' B R2 B'
F B' U2 D' B2 R2 B2
F B' U2 D2 R D R2
F B' U2 D2 R' D R2
F B' U2 D2 R2 D R2
F2 B' D' L U2 R2 B
F2 B' D' L F' U2 R2
F' B' D' U L2 U R2
F B' U2 F D' F' R2
F2 B' D' L' U2 R2 B
F2 B' D' L' F' U2 R2
F B' U2 F' D' R2 F
F B' U2 F' D' F R2
F2 B' D' L2 U2 R2 B
D B' F2 U2 D' R2 B
F2 B' D' L2 F' U2 R2
F' B' D' U2 R2 D' B2
D B' F2 D L2 F' U2
D B' F2 D F' L2 U2
D B' F2 D' U2 R2 B
D B' F2 D' F' U2 R2
F B' D L D L U2
F B' D L D' L U2
F B' D L D2 L U2
F B' D L' D L' U2
F B' D L' D' L' U2
F B' D L' D2 L' U2
F2 B' D' U2 R2 D B
F2 B' D' U2 R2 D' B
F2 B' D' U2 R2 D2 B
F2 B' D' U2 R2 B D
F2 B' D' U2 R2 B D'
F2 B' D' U2 R2 B D2
F2 B' D' U2 B R2 B
F2 B' D' U2 B' R2 B
F2 B' D' U2 B2 R2 B
F2 B' D' F' L U2 R2
F2 B' D' F' L' U2 R2
F2 B' D' F' L2 U2 R2
B' F' D2 U' F2 U' B2
F2 B' D' F' U2 R2 D
F2 B' D' F' U2 R2 D'
F2 B' D' F' U2 R2 D2
F2 B' D' F' D2 L2 U2
B' F' D2 U2 B2 D R2
F B' D U2 R D2 R2
F B' D U2 R' D2 R2
F B' D U2 R2 D2 R2
F B' D F L2 F' U2
F B' D F' L2 U2 B'
F' B' D2 U' F2 U' B2
F B' D F2 L2 F2 U2
F' B' D2 U2 B2 D R2
F B' D B L2 U2 F
F B' D B' L2 B U2
F B' D B2 L2 B2 U2
F B' D' L U2 R2 D
F B' D' L U2 R2 D'
F B' D' L U2 R2 D2
F B' D' L D2 L2 U2
B' F2 L U2 D' R2 B
F B' D' L' U2 R2 D
F B' D' L' U2 R2 D'
F B' D' L' U2 R2 D2
F B' D' L' D2 L2 U2
B' F2 L D L2 F' U2
B' F2 L D F' L2 U2
F B' D' L2 U2 R2 D
F B' D' L2 U2 R2 D'
F B' D' L2 U2 R2 D2
F B' D' L2 D2 L2 U2
B' F2 L D' U2 R2 B
B' F2 L D' F' U2 R2
F2 B' D2 F' U' F' U'
B' F2 L F' U B2 U
B' F2 L F' U2 D' R2
B' F2 L F' D L2 U2
B' F2 L F' D' U2 R2
F B' D' U B U R2
F B' D' U B' U R2
F B' D' U B2 U R2
F B' D' U' F U' R2
F B' D' U' F' U' R2
F B' D' U' F2 U' R2
F B' D' U2 R D R
F B' D' U2 R D' R
F B' D' U2 R D2 R
F B' D' U2 R' D R'
F B' D' U2 R' D' R'
F B' D' U2 R' D2 R'
F B' D' U2 F' R2 F
F B' D' U2 F2 R2 F2
F B' D' U2 B R2 B'
F B' D' U2 B2 R2 B2
F B' D' F U2 R2 B
F B' D' B' U2 R2 F'
F B' D2 L U' F2 U'
F B' D2 L U2 D R2
F B' D2 L D U2 R2
F B' D2 L D' L2 U2
B' F2 L' U2 D' R2 B
F B' D2 L' U' F2 U'
F B' D2 L' U2 D R2
F B' D2 L' D U2 R2
F B' D2 L' D' L2 U2
B' F2 L' D L2 F' U2
B' F2 L' D F' L2 U2
F B' D2 L2 U' F2 U'
F B' D2 L2 U2 D R2
F B' D2 L2 D U2 R2
F B' D2 L2 D' L2 U2
B' F2 L' D' U2 R2 B
B' F2 L' D' F' U2 R2
B' F2 L' F' U B2 U
B' F2 L' F' U2 D' R2
B' F2 L' F' D L2 U2
B' F2 L' F' D' U2 R2
F B' D2 U' F2 U' D
F B' D2 U' F2 U' D'
F B' D2 U' F2 U' D2
F B' D2 U' F2 D U'
F B' D2 U' F2 D' U'
F B' D2 U' F2 D2 U'
F B' D2 U2 R D R2
F B' D2 U2 R' D R2
F B' D2 U2 R2 D R2
B' F2 L2 U2 D' R2 B
B' F2 L2 D L2 F' U2
B' F2 L2 D F' L2 U2
B' F2 L2 D' U2 R2 B
B' F2 L2 D' F' U2 R2
B' F2 L2 F' U B2 U
B' F2 L2 F' U2 D' R2
B' F2 L2 F' D L2 U2
B' F2 L2 F' D' U2 R2
F B2 L' D' B U2 R'
F B2 L2 B U' F U'
L2 B2 U B' U F B2
L2 B2 U B' U B2 F
B' F2 U B2 U' F' U2
L2 B2 U2 F B D' R2
L2 B2 U2 B D' R2 F
L2 B2 U2 B D' F R2
L2 B2 U2 B F D' R2
B' F2 U2 R2 D' B R2
B' F2 U2 D' R2 D B
B' F2 U2 D' R2 D' B
B' F2 U2 D' R2 D2 B
B' F2 U2 D' R2 B D
B' F2 U2 D' R2 B D'
B' F2 U2 D' R2 B D2
B' F2 U2 D' B R2 B
B' F2 U2 D' B' R2 B
B' F2 U2 D' B2 R2 B
F B2 U R2 B' U F'
B' F2 D L F' L U2
B' F2 D L2 D F' U2
B' F2 D L2 D' F' U2
B' F2 D L2 D2 F' U2
B' F2 D L2 F' U2 D
B' F2 D L2 F' U2 D'
B' F2 D L2 F' U2 D2
B' F2 D L2 F' D U2
B' F2 D L2 F' D' U2
B' F2 D L2 F' D2 U2
F B2 U B' U D2 F2
F B2 U B' U' B2 U2
F B2 U B' D' R2 U
F B2 U B' D2 U F2
B' F2 D F L2 F2 U2
B' F2 D F' L2 U2 D
B' F2 D F' L2 U2 D'
B' F2 D F' L2 U2 D2
B' F2 D F' L2 D U2
B' F2 D F' L2 D' U2
B' F2 D F' L2 D2 U2
B' F2 D F' U2 D2 R2
B' F2 D F' D2 U2 R2
B' F2 D F2 L2 U2 B'
B' F2 D' L U2 R2 B
B' F2 D' L F' U2 R2
B' F2 D' L' U2 R2 B
B' F2 D' L' F' U2 R2
B' F2 D' L2 U2 R2 B
B' F2 D' L2 F' U2 R2
B' F2 D' U2 R2 D B
B' F2 D' U2 R2 D' B
B' F2 D' U2 R2 D2 B
B' F2 D' U2 R2 B D
B' F2 D' U2 R2 B D'
B' F2 D' U2 R2 B D2
B' F2 D' U2 B R2 B
B' F2 D' U2 B' R2 B
B' F2 D' U2 B2 R2 B
B' F2 D' F' L U2 R2
B' F2 D' F' L' U2 R2
B' F2 D' F' L2 U2 R2
B' F2 D' F' U2 R2 D
B' F2 D' F' U2 R2 D'
B' F2 D' F' U2 R2 D2
B' F2 D' F' D2 L2 U2
B' F2 D2 F' U' F' U'
F B2 D B U B2 U
F B2 D B U2 D' R2
F B2 D B D L2 U2
F B2 D B D' U2 R2
F B2 D' B U B2 U
F B2 D' B U2 D' R2
F B2 D' B D L2 U2
F B2 D' B D' U2 R2
F B2 D2 B U B2 U
F B2 D2 B U2 D' R2
F B2 D2 B D L2 U2
F B2 D2 B D' U2 R2
