R' L U R2
L R' U R2
R' L U R2 D
R' L U R2 D'
R' L U R2 D2
D L R' U R2
D' L R' U R2
D2 L R' U R2
R' L D B2 U
R' L B U R2
R' L B' U R2
R' L B2 U R2
L R' U R2 D
L R' U R2 D'
L R' U R2 D2
L R' D B2 U
L R' B U R2
L R' B' U R2
L R' B2 U R2
L U R D' F2
D' R' L U R2
D R' L U R2
D2 R' L U R2
R' D L B2 U
R' D L B2 U
L D R' U R2
L D' R' U R2
L D2 R' U R2
D' R' D L2 B2 L' U
D R' D L U D' R2
D R' D L D' U R2
D R' D L B2 U D
D R' D L B2 U D'
D R' D L B2 U D2
D R' D L B2 D U
D R' D L B2 D' U
D R' D L B2 D2 U
F' R' D F L U R
D R' D L' B2 L2 U
D R' D L2 B2 L' U
D2 R' D B2 U2 R' U'
D' R' D B2 U2 R' U'
L U' B' U2 D' R F'
D2 R' D' L U D R2
D' R' D' L U D R2
D2 R' D' L U2 F2 U'
D2 R' D' L D U R2
D' R' D' L U2 F2 U'
D' R' D' L D U R2
D2 R' D' L D2 B2 U
D' R' D' L D2 B2 U
U R' D L B2 U L'
L U' B' D' U2 R F'
D R' D B2 U2 R' U'
D R' D' L U D R2
D R' D' L U2 F2 U'
D R' D' L D U R2
D R' D' L D2 B2 U
F' R' D' F L U R
L U' B2 U' L U' R
D2 R' D2 L U' L U2
D' R' D2 L U' L U2
D2 R' D2 L B2 U R'
D' R' D2 L B2 U R'
D R' D2 L U' L U2
L U2 L U' R D' F2
F' R' D2 F L U R
D R' D2 L B2 U R'
L U2 L U2 R' U R2
D2 R' F L F' U R2
D' R' F L F' U R2
F' R' F L U R D
F' R' F L U R D'
F' R' F L U R D2
F' R' F L U D R
F' R' F L U D' R
F' R' F L U D2 R
F' R' F L D U R
F' R' F L D' U R
F' R' F L D2 U R
F' R' F L B U R
F' R' F L B' U R
F' R' F L B2 U R
L U2 L' U' R D' F2
D R' F L F' U R2
F' R' F D L U R
L U2 L' U2 R' U R2
F' R' F D' L U R
F' R' F D2 L U R
F' R' F B' U R B
U R' F L U L' R2
U R' F L U R2 L'
F2 R' F' L F' U R
R' U2 R U2 L U R
L U2 L2 U' R D' F2
L U2 L2 U2 R' U R2
D2 R' F2 L F2 U R2
D' R' F2 L F2 U R2
U R' F' L U L' R2
U R' F' L U R2 L'
U' R' F2 L U L2 R2
U' R' F2 L U R2 L2
F' R' F2 L F' U R
F2 R' F2 L U R D
F2 R' F2 L U R D'
F2 R' F2 L U R D2
F2 R' F2 L U D R
F2 R' F2 L U D' R
F2 R' F2 L U D2 R
F2 R' F2 L D U R
F2 R' F2 L D' U R
F2 R' F2 L D2 U R
F2 R' F2 L B U R
F2 R' F2 L B' U R
F2 R' F2 L B2 U R
R' U2 R' U2 L U R'
D R' F2 L F2 U R2
F2 R' F2 D L U R
U R' F2 L U L' R2
U R' F2 L U R2 L'
F2 R' F2 D' L U R
B' R' B L R' U R'
F2 R' F2 D2 L U R
F2 R' F2 B' U R B
B' R' B R' L U R'
D2 R' B' U R B R
D' R' B' U R B R
B R' B' L R' U R'
F' R' B' F U R B
B R' B' R' L U R'
D R' B' U R B R
F2 R' B' F2 U R B
D2 R' B2 U2 R' U' R'
D' R' B2 U2 R' U' R'
D2 R' B2 D B2 L U
D' R' B2 D B2 L U
R' U2 D' F2 U2 L U
D2 R2 L U R' D' F2
D' R2 L U R' D' F2
D2 R2 L D R U R2
D' R2 L D R U R2
D2 R2 L D' R U R2
D R' B2 U2 R' U' R'
D' R2 L D' R U R2
D2 R2 L D2 R U R2
D' R2 L D2 R U R2
D R' B2 D B2 L U
D R2 L U R' D' F2
D R2 L D R U R2
D R2 L D' R U R2
D R2 L D2 R U R2
R' U2 F U2 L U R2
R' U2 F' U2 L U R2
R' U2 F2 U2 L U R2
B R2 U D' R' F' B
B R2 U D' R' B F'
U R2 U' L R U R2
B2 R2 U2 L R U' R2
U R2 U' R L U R2
U2 R2 U2 L R U R2
B2 R2 U2 R L U' R2
U2 R2 U2 R L U R2
D2 R2 D L R U R2
D' R2 D L R U R2
D2 R2 D R L U R2
D' R2 D R L U R2
D R2 D L R U R2
D R2 D R L U R2
D2 R2 D' L R U R2
D' R2 D' L R U R2
D2 R2 D' R L U R2
D' R2 D' R L U R2
R' D L R' B2 R U
R' D L R2 B2 R2 U
R' D L U R D' R2
R' D L U R' D' R2
R' D L U R2 D' R2
R' D L U D' R2 D
R' D L U D' R2 D'
R' D L U D' R2 D2
R' D L U' D L2 U2
R' D L U2 D2 F2 U'
R' D L D U' L2 U2
L U2 B2 L B2 U' R
R' D L D' U R2 D
R' D L D' U R2 D'
R' D L D' U R2 D2
D R2 D' L R U R2
R' D L D' B U R2
R' D L D' B' U R2
R' D L D' B2 U R2
R' D L D2 U2 F2 U'
D2 R2 D2 L R U R2
D R2 D' R L U R2
D' R2 D2 L R U R2
R' D L B D B U
R' D L B D' B U
R' D L B D2 B U
R2 D L R U R2 D
R2 D L R U R2 D'
R2 D L R U R2 D2
D2 R2 D2 R L U R2
D' R2 D2 R L U R2
R2 D L R D B2 U
B R2 D' U R' F' B
B R2 D' U R' B F'
R' D L B' D B' U
R' D L B' D' B' U
R2 D L R B U R2
R' D L B' D2 B' U
R2 D L R B' U R2
R2 D L R B2 U R2
R2 D L U R' D' F2
R' D L' U D' R2 B2
R' D L' U D' B2 R2
R2 D L D R U R2
R2 D L D' R U R2
R2 D L D2 R U R2
D R2 D2 L R U R2
R' D L' D' U R2 B2
R' D L' D' U B2 R2
D R2 D2 R L U R2
L2 D L' R' U R2 D
L2 D L' R' U R2 D'
L2 D L' R' U R2 D2
L2 D L' R' D B2 U
R' D L' B L2 B U
L2 D L' R' B U R2
L2 D L' R' B' U R2
L2 D L' R' B2 U R2
R D L D' R2 U R2
L2 D L' U R D' F2
R' D L' B2 L2 U D
R' D L' B2 L2 U D'
R' D L' B2 L2 U D2
R' D L' B2 L2 D U
R' D L' B2 L2 D' U
R' D L' B2 L2 D2 U
R' D L' B2 U D' B2
R' D L' B2 D' U B2
L2 D L' D R' U R2
L2 D L' D' R' U R2
L2 D L' D2 R' U R2
R' D L2 D' L' U R2
R' D L2 B L' B U
R' D L2 B2 L' U D
R' D L2 B2 L' U D'
R' D L2 B2 L' U D2
R' D L2 B2 L' D U
R' D L2 B2 L' D' U
R' D L2 B2 L' D2 U
R' D L2 B2 D L' U
R' D L2 B2 D' L' U
R' D L2 B2 D2 L' U
R2 D R L U R2 D
R2 D R L U R2 D'
R2 D R L U R2 D2
R2 D R L D B2 U
R2 D R L B U R2
R2 D R L B' U R2
R2 D R L B2 U R2
R' D R' L B2 R U
R2 D R D L B2 U
L' D R' U R2 D2 B2
L' D R' U' F2 U2 R2
L2 D R' L' U R2 D
L2 D R' L' U R2 D'
L2 D R' L' U R2 D2
L2 D R' L' D B2 U
L2 D R' L' B U R2
L2 D R' L' B' U R2
L2 D R' L' B2 U R2
R' D R2 L B2 R2 U
L2 D R' D L' B2 U
L2 D R' D B2 L' U
L D R B R2 U R2
L D R B' R2 U R2
L D R B2 R2 U R2
L2 D R' B L' U R2
L D R' U R D R
L D R' U R D' R
L D R' U R D2 R
L D R' U R' D R'
L D R' U R' D' R'
L D R' U R' D2 R'
L2 D R' B' L' U R2
L D R' U F' R2 F
L D R' U F2 R2 F2
L D R' U B R2 B'
L D R' U B2 R2 B2
L D R' U' L U2 R2
L D R' U' L' U2 R2
L D R' U' L2 U2 R2
L2 D R' B2 L' U R2
L D R' U' D2 L2 U2
L D R' U2 D' F2 U'
L D R' U2 F U' R2
L D R' U2 F' U' R2
L D R' U2 F2 U' R2
L D R' D B2 U D
L D R' D B2 U D'
L D R' D B2 U D2
L D R' D B2 D U
L D R' D B2 D' U
L D R' D B2 D2 U
L D R' D' U2 F2 U'
L D R' D2 U' L2 U2
L D R' B U R2 D
L D R' B U R2 D'
L D R' B U R2 D2
L D R' B D B2 U
L D R' B' U R2 D
L D R' B' U R2 D'
L D R' B' U R2 D2
L D R' B' D B2 U
L D R' B2 U R2 D
L D R' B2 U R2 D'
L D R' B2 U R2 D2
L D R' B2 D B2 U
L D R2 U R' D' F2
L D R2 D R U R2
L D R2 D' R U R2
L D R2 D2 R U R2
D' U L R' U L' R2
D' U L R' U R2 L'
L D U R U' R2 U
L D U R D' F2 D
L D U R D' F2 D'
L D U R D' F2 D2
D2 U L R' U L' R2
D2 U L R' U R2 L'
L D U R F D' F2
L D U R F' D' F2
L D U R F2 D' F2
B2 U L R' U' L' R2
B2 U L R' U' R2 L'
R' D F L F' B2 U
R' D F L B2 F' U
D U L R' U L' R2
D U L R' U R2 L'
U D L R' U L' R2
U D L R' U R2 L'
F U L F' R' U R2
R' D F2 L F2 B2 U
R' D F2 L B2 F2 U
D' U R U' L R2 U
D' U R U' R2 L U
D2 U R U' L R2 U
D2 U R U' R2 L U
B2 U R U L R2 U'
B2 U R U R2 L U'
L D F' R' F U R
B' U R B U' R' U
D' U R' L U L' R2
D' U R' L U R2 L'
D2 U R' L U L' R2
D2 U R' L U R2 L'
D U R U' L R2 U
D U R U' R2 L U
B2 U R' L U' L' R2
B2 U R' L U' R2 L'
U D R U' L R2 U
U D R U' R2 L U
L D F2 R' F2 U R
D U R' L U L' R2
D U R' L U R2 L'
F2 U R' F2 L U R
U D R' L U L' R2
U D R' L U R2 L'
L D B R2 U R' F'
L D B U R' F' R2
R' D B2 L U2 R' U'
R' D B2 L' U2 R' U'
R' D B2 L2 U2 R' U'
R' D B2 U2 R' U' D
R' D B2 U2 R' U' D'
R' D B2 U2 R' U' D2
R' D B2 U2 R' D U'
R' D B2 U2 R' D' U'
R' D B2 U2 R' D2 U'
R' D B2 U2 D R' U'
R' D B2 U2 D' R' U'
R' D B2 U2 D2 R' U'
R' D B2 D U2 R' U'
R' D B2 D' U2 R' U'
R' D B2 D2 U2 R' U'
L D B' U D' R F'
R' D' L U R D R2
R' D' L U R' D R2
R' D' L U R2 D R2
R' D' L U D R2 D
R' D' L U D R2 D'
R' D' L U D R2 D2
R' D' L U' D' L2 U2
B' U D' R D F' B
B' U D' R D B F'
B' U D' R D' F' B
B' U D' R D' B F'
B' U D' R D2 F' B
B' U D' R D2 B F'
B' U D' R F' D B
B' U D' R F' D' B
B' U D' R F' D2 B
B' U D' R F' B D
B' U D' R F' B D'
B' U D' R F' B D2
B' U D' R B D F'
B' U D' R B D' F'
B' U D' R B D2 F'
B' U D' R B F' D
B' U D' R B F' D'
B' U D' R B F' D2
L D B' D' U R F'
L' D' L R' U R2 B2
L' D' L R' U B2 R2
R' D' L U2 F2 U' D
R' D' L U2 F2 U' D'
R' D' L U2 F2 U' D2
R' D' L U2 F2 D U'
R' D' L U2 F2 D' U'
R' D' L U2 F2 D2 U'
R' D' L D U R2 D
R' D' L D U R2 D'
R' D' L D U R2 D2
R' D' L D B U R2
R' D' L D B' U R2
R' D' L D B2 U R2
R' D' L D' U' L2 U2
R' D' L D2 B2 U D
R' D' L D2 B2 U D'
R' D' L D2 B2 U D2
R' D' L D2 B2 U D
R' D' L D2 B2 U D'
R' D' L D2 B2 U D2
R' D' L D2 B2 D U
R' D' L D2 B2 D' U
R' D' L D2 B2 D2 U
B' U D' B R F' B
B' U D' B R B F'
B' U D' B' R F' B
B' U D' B' R B F'
B' U D' B2 R F' B
B' U D' B2 R B F'
R' D' L B U D R2
R' D' L B U2 F2 U'
R' D' L B D U R2
R' D' L B D2 B2 U
R' D' L B' U D R2
R' D' L B' U2 F2 U'
R' D' L B' D U R2
R' D' L B' D2 B2 U
R' D' L B2 U D R2
R' D' L B2 U2 F2 U'
R' D' L B2 D U R2
R' D' L B2 D2 B2 U
R2 D' L R U R2 D
R2 D' L R U R2 D'
R2 D' L R U R2 D2
R2 D' L R D B2 U
R2 D' L R B U R2
R2 D' L R B' U R2
R2 D' L R B2 U R2
L D B2 U2 L U' R
R2 D' L U R' D' F2
B U D' R' F' B R2
B U D' R' B F' R2
L' D' L' R' U R2 B2
L' D' L' R' U B2 R2
R2 D' L D R U R2
R2 D' L D' R U R2
R2 D' L D2 R U R2
R D' L R U R' F2
R D' L R U F2 R'
R D' L R' U R F2
R D' L R2 U R2 F2
R D' L R2 U F2 R2
L2 D' L' R' U R2 D
L2 D' L' R' U R2 D'
L2 D' L' R' U R2 D2
L2 D' L' R' D B2 U
L2 D' L' R' B U R2
R D' L U F2 D R2
L2 D' L' R' B' U R2
L2 D' L' R' B2 U R2
L2 D' L' U R D' F2
R D' L D R2 U R2
L2 D' L' D R' U R2
L' D' L2 R' U R2 B2
L' D' L2 R' U B2 R2
L2 D' L' D' R' U R2
R' D' L2 U2 F2 R U'
R' D' L2 D L' U R2
L2 D' L' D2 R' U R2
R' D' L2 D2 L' B2 U
R' D' L2 D2 B2 L' U
R D' L' F2 D' L2 B2
R D' L' F2 D' B2 L2
R2 D' R L U R2 D
R2 D' R L U R2 D'
R2 D' R L U R2 D2
R2 D' R L D B2 U
F U F' L R' U R2
R2 D' R L B U R2
R2 D' R L B' U R2
R2 D' R L B2 U R2
F2 U F2 L R' U R2
L' D' R' L U R2 B2
L' D' R' L U B2 R2
F U F' R' L U R2
L' D' R' L' U R2 B2
L' D' R' L' U B2 R2
F2 U F2 R' L U R2
L' D' R' L2 U R2 B2
L' D' R' L2 U B2 R2
R2 D' R D L B2 U
L' D' R' U R B2 R
L' D' R' U R2 B2 D
L' D' R' U R2 B2 D'
L' D' R' U R2 B2 D2
L' D' R' U B' R2 B'
L' D' R' U B2 R2 D
L' D' R' U B2 R2 D'
L' D' R' U B2 R2 D2
L' D' R' D L2 B2 U
L' D' R' D B2 L2 U
R D' R L U R' F2
R D' R L U F2 R'
L2 D' R' L' U R2 D
L2 D' R' L' U R2 D'
L2 D' R' L' U R2 D2
L2 D' R' L' D B2 U
L2 D' R' L' B U R2
B' U B R D' F2 B
B' U B R D' B F2
L2 D' R' L' B' U R2
L2 D' R' L' B2 U R2
B' U B R B D' F2
L' D' R' B U B R2
L' D' R' B' U R2 B'
L' D' R' B' U B' R2
L2 D' R' D L' B2 U
L2 D' R' D B2 L' U
L D' R B R2 U R2
L D' R B' R2 U R2
L D' R B2 R2 U R2
L2 D' R' B L' U R2
L2 D' R' B' L' U R2
L2 D' R' B2 L' U R2
R D' R' L U R F2
L D' R' U R D R
L D' R' U R D' R
L D' R' U R D2 R
L D' R' U R' D R'
L D' R' U R' D' R'
L D' R' U R' D2 R'
L D' R' U F' R2 F
L D' R' U F2 R2 F2
L D' R' U B R2 B'
L D' R' U B2 R2 B2
L D' R' U' L U2 R2
L D' R' U' L' U2 R2
L D' R' U' L2 U2 R2
L D' R' U' D2 L2 U2
L D' R' U2 D' F2 U'
L D' R' U2 F U' R2
L D' R' U2 F' U' R2
L D' R' U2 F2 U' R2
L D' R' D B2 U D
L D' R' D B2 U D'
L D' R' D B2 U D2
L D' R' D B2 D U
L D' R' D B2 D' U
L D' R' D B2 D2 U
L D' R' D' U2 F2 U'
L D' R' D2 U' L2 U2
L D' R' B U R2 D
L D' R' B U R2 D'
L D' R' B U R2 D2
L D' R' B D B2 U
L' D' U R B2 D' F2
L D' R' B' U R2 D
L D' R' B' U R2 D'
L D' R' B' U R2 D2
L D' R' B' D B2 U
L D' R' B2 U R2 D
L D' R' B2 U R2 D'
L D' R' B2 U R2 D2
L D' R' B2 D B2 U
U D' L R' U L' R2
U D' L R' U R2 L'
R D' R2 L U R2 F2
R D' R2 L U F2 R2
L D' R2 U R' D' F2
L D' R2 D R U R2
L D' R2 D' R U R2
L D' R2 D2 R U R2
L D' U R U' R2 U
L D' U R D' F2 D
L D' U R D' F2 D'
L D' U R D' F2 D2
L D' U R F D' F2
L D' U R F' D' F2
L D' U R F2 D' F2
R' D' U2 F2 U2 L U
U D' R U' L R2 U
F U' L F' R' U R2
U D' R U' R2 L U
U D' R' L U L' R2
U D' R' L U R2 L'
L D' F' R' F U R
R D' F2 L' D' L2 B2
R D' F2 L' D' B2 L2
L D' F2 R' F2 U R
R D' F2 U' L F2 U
F2 U' R' F2 L U R
R D' F2 U' F2 L U
L D' B R2 U R' F'
L D' B U R' F' R2
R' D' B2 U2 R' F2 U'
R' D' B2 U2 F2 R' U'
R' D' B2 D2 B2 L U
L D' B' U D' R F'
R' D2 L U B2 R' B2
R' D2 L U' L U2 D
R' D2 L U' L U2 D'
R' D2 L U' L U2 D2
R' D2 L U' L D U2
R' D2 L U' L D' U2
R' D2 L U' L D2 U2
R' D2 L U' D L U2
R' D2 L U' D' L U2
R' D2 L U' D2 L U2
R' D2 L D U' L U2
R' D2 L D B2 U R'
R' D2 L D' U' L U2
L D' B' D' U R F'
R' D2 L D' B2 U R'
R' D2 L D2 U' L U2
R' D2 L D2 B2 U R'
R' D2 L B2 U R' D
R' D2 L B2 U R' D'
R' D2 L B2 U R' D2
R' D2 L B2 U D R'
R' D2 L B2 U D' R'
R' D2 L B2 U D2 R'
R' D2 L B2 D U R'
R' D2 L B2 D' U R'
R' D2 L B2 D2 U R'
R2 D2 L R U R2 D
R2 D2 L R U R2 D'
R2 D2 L R U R2 D2
R2 D2 L R D B2 U
R2 D2 L R B U R2
R2 D2 L R B' U R2
R2 D2 L R B2 U R2
R2 D2 L U R' D' F2
L D' B2 U2 L U' R
R2 D2 L D R U R2
R2 D2 L D' R U R2
R2 D2 L D2 R U R2
L2 D2 L' R' U R2 D
L2 D2 L' R' U R2 D'
L2 D2 L' R' U R2 D2
L2 D2 L' R' D B2 U
L2 D2 L' R' B U R2
L2 D2 L' R' B' U R2
L2 D2 L' R' B2 U R2
L2 D2 L' U R D' F2
L2 D2 L' D R' U R2
L2 D2 L' D' R' U R2
L2 D2 L' D2 R' U R2
R D2 L B2 R' U R
R2 D2 R L U R2 D
R2 D2 R L U R2 D'
R2 D2 R L U R2 D2
R2 D2 R L D B2 U
F2 U' F2 L R' U R2
R2 D2 R L B U R2
R2 D2 R L B' U R2
R2 D2 R L B2 U R2
U D2 L R' U L' R2
U D2 L R' U R2 L'
F U' F' L R' U R2
F2 U' F2 R' L U R2
R2 D2 R D L B2 U
F U' F' R' L U R2
L' D2 R' U2 R' U' R'
L' D2 R' D B2 L U
L2 D2 R' L' U R2 D
L2 D2 R' L' U R2 D'
L2 D2 R' L' U R2 D2
L2 D2 R' L' D B2 U
L2 D2 R' L' B U R2
L2 D2 R' L' B' U R2
L2 D2 R' L' B2 U R2
L2 D2 R' D L' B2 U
L' D2 R' B2 L U R2
L2 D2 R' D B2 L' U
L2 D2 R' B L' U R2
L D2 R B R2 U R2
L2 D2 R' B' L' U R2
L D2 R B' R2 U R2
L2 D2 R' B2 L' U R2
L D2 R B2 R2 U R2
L D2 R' U R D R
L D2 R' U R D' R
L D2 R' U R D2 R
L D2 R' U R' D R'
L D2 R' U R' D' R'
L D2 R' U R' D2 R'
L D2 R' U F' R2 F
L D2 R' U F2 R2 F2
L D2 R' U B R2 B'
L D2 R' U B2 R2 B2
L D2 R' U' L U2 R2
L D2 R' U' L' U2 R2
L D2 R' U' L2 U2 R2
L D2 R' U' D2 L2 U2
L D2 R' U2 D' F2 U'
L D2 R' U2 F U' R2
L D2 R' U2 F' U' R2
L D2 R' U2 F2 U' R2
L D2 R' D B2 U D
L D2 R' D B2 U D'
L D2 R' D B2 U D2
L D2 R' D B2 D U
L D2 R' D B2 D' U
L D2 R' D B2 D2 U
L D2 R' D' U2 F2 U'
L D2 R' D2 U' L2 U2
L D2 R' B U R2 D
L D2 R' B U R2 D'
L D2 R' B U R2 D2
L D2 R' B D B2 U
L D2 R' B' U R2 D
L D2 R' B' U R2 D'
L D2 R' B' U R2 D2
L D2 R' B' D B2 U
L D2 R' B2 U R2 D
L D2 R' B2 U R2 D'
L D2 R' B2 U R2 D2
L D2 R' B2 D B2 U
R' D2 U' L2 U L' U
L D2 R2 U R' D' F2
L D2 R2 D R U R2
L D2 R2 D' R U R2
L D2 R2 D2 R U R2
U D2 R U' L R2 U
U D2 R U' R2 L U
B2 U2 L R' U' R2 D
B2 U2 L R' U' R2 D'
B2 U2 L R' U' R2 D2
B2 U2 L R' D' F2 U'
B2 U2 L R' F U' R2
B2 U2 L R' F' U' R2
B2 U2 L R' F2 U' R2
L D2 U R U' R2 U
L D2 U R D' F2 D
L D2 U R D' F2 D'
L D2 U R D' F2 D2
L D2 U R F D' F2
L D2 U R F' D' F2
L D2 U R F2 D' F2
B2 U2 L U' R D B2
U D2 R' L U L' R2
U D2 R' L U R2 L'
B2 U2 L D R' U' R2
B2 U2 L D' R' U' R2
B2 U2 L D2 R' U' R2
F U2 L F' R' U R2
L D2 F' R' F U R
B2 U2 R' L U' R2 D
B2 U2 R' L U' R2 D'
B2 U2 R' L U' R2 D2
B2 U2 R' L D' F2 U'
B2 U2 R' L F U' R2
B2 U2 R' L F' U' R2
B2 U2 R' L F2 U' R2
B2 U2 R' D' L F2 U'
B2 U2 R' D' F2 L U'
B2 U2 R' F L U' R2
B2 U2 R' F' L U' R2
B2 U2 R' F2 L U' R2
L D2 F2 R' F2 U R
F2 U2 R' F2 L U R
L D2 B R2 U R' F'
L D2 B U R' F' R2
B2 U2 D L R' U' R2
B2 U2 D R' L U' R2
R' D2 B2 D' B2 L U
B2 U2 D' L R' U' R2
L D2 B' U D' R F'
R' F L D F' B2 U
R' F L D B2 F' U
B2 U2 D' R' L U' R2
L D2 B' D' U R F'
R' F L F' U R2 D
R' F L F' U R2 D'
R' F L F' U R2 D2
R' F L F' D B2 U
D' F L F' R' U R2
R' F L F' B U R2
R' F L F' B' U R2
R' F L F' B2 U R2
D2 F L F' R' U R2
R' F L B F' U R2
R' F L B' F' U R2
R' F L B2 F' U R2
B2 U2 D2 L R' U' R2
B2 U2 D2 R' L U' R2
L D2 B2 U2 L U' R
R' F L' F' L2 U R2
R2 F L F' R U R2
D F L F' R' U R2
R F L F' R2 U R2
L' F L2 F' R' U R2
F2 U2 F2 L R' U R2
F U2 F' L R' U R2
F2 U2 F2 R' L U R2
F U2 F' R' L U R2
B' D L' U R F B
B' D L' U R B F
R' F D L F' B2 U
R' F D L B2 F' U
R F U' L F' R2 U
R' F D F' L B2 U
R F U' F' L R2 U
R F U' F' R2 L U
F D L F' R' B U
L F D F' R' B U
F' D R' F L U R
B2 D U2 L R' U' R2
B2 D U2 R' L U' R2
F' D F L R' U R2
F' D F R' L U R2
F D F' L R' B U
F D F' R' L B U
D2 F' R' F L U R
D' F' R' F L U R
L' F' R' F L2 U R
L2 F' R' F L' U R
L F' R F R2 U R'
D F' R' F L U R
L F' R' D F U R
L F' R' D' F U R
L F' R' D2 F U R
L F' R' F U R D
L F' R' F U R D'
L F' R' F U R D2
L F' R' F U D R
L F' R' F U D' R
L F' R' F U D2 R
L F' R' F D U R
L F' R' F D' U R
L F' R' F D2 U R
L F' R' F B U R
L F' R' F B' U R
L F' R' F B2 U R
L F' R' B F U R
L F' R' B' F U R
B2 D B2 L R' U R2
L F' R' B2 F U R
B2 D B2 R' L U R2
B' D' L U R F' B
B' D' L U R B F'
R F' R2 F L U R2
B' D' L' U R F' B
B' D' L' U R B F'
R' F' D F L B2 U
R F' U' R2 F L U
B' D' L2 U R F' B
B' D' L2 U R B F'
R F' U' F L R2 U
R F' U' F R2 L U
F D' L F' R' B' U
L F' D R' F U R
L F' D F R' U R2
L F' D' R' F U R
F' D' R' F L U R
L F' D' F R' U R2
L F' D2 R' F U R
L F' D2 F R' U R2
B' D' U R D F' B
B' D' U R D B F'
B' D' U R D' F' B
B' D' U R D' B F'
B' D' U R D2 F' B
B' D' U R D2 B F'
B' D' U R F' D B
B' D' U R F' D' B
B' D' U R F' D2 B
B' D' U R F' B D
B' D' U R F' B D'
B' D' U R F' B D2
B' D' U R B D F'
B' D' U R B D' F'
B' D' U R B D2 F'
B' D' U R B F' D
B' D' U R B F' D'
B' D' U R B F' D2
B' D' U B R F' B
B' D' U B R B F'
B' D' U B' R F' B
B' D' U B' R B F'
B' D' U B2 R F' B
B' D' U B2 R B F'
R' F2 L U R2 D' L2
R' F2 L F2 U R2 D
R' F2 L F2 U R2 D'
R' F2 L F2 U R2 D2
R' F2 L F2 D B2 U
R' F2 L F2 B U R2
R' F2 L F2 B' U R2
R' F2 L F2 B2 U R2
B D' U R' F' B R2
B D' U R' B F' R2
R' F2 L B F2 U R2
R' F2 L B' F2 U R2
U' F2 L' U L2 R' U
R' F2 L B2 F2 U R2
U' F2 L' U R' L2 U
B2 D' U2 L R' U' R2
B2 D' U2 R' L U' R2
R' F2 L' F2 L2 U R2
F' D' F L R' U R2
F' D' F R' L U R2
R F2 L R2 F2 U R2
R F2 L F2 R2 U R2
R F2 L' D' L2 F2 B2
R F2 L' D' L2 B2 F2
R F2 L' D' F2 L2 B2
R F2 L' D' F2 B2 L2
R F2 L' D' B2 L2 F2
R F2 L' D' B2 F2 L2
F D' F' L R' B' U
B' D' B L U R F'
F D' F' R' L B' U
D2 F2 R' F2 L U R
D' F2 R' F2 L U R
L' F2 R' F2 L2 U R
L F2 R F2 R2 U R'
D F2 R' F2 L U R
L F2 R' F2 U R D
L F2 R' F2 U R D'
L F2 R' F2 U R D2
L F2 R' F2 U D R
L F2 R' F2 U D' R
L F2 R' F2 U D2 R
L F2 R' F2 D U R
L F2 R' F2 D' U R
L F2 R' F2 D2 U R
L F2 R' F2 B U R
L F2 R' F2 B' U R
L F2 R' F2 B2 U R
L F2 R' B F2 U R
B2 D' B2 L R' U R2
L F2 R' B' F2 U R
L F2 R' B2 F2 U R
B D' B' R' U B R2
B2 D' B2 R' L U R2
R F2 R2 L F2 U R2
R F2 R2 F2 L U R2
R F2 U' L R2 F2 U
R F2 U' L F2 R2 U
R F2 U' R2 L F2 U
R F2 U' R2 F2 L U
R F2 U' F2 L R2 U
R F2 U' F2 R2 L U
F' D2 R' F L U R
R' B L B' L U R2
B2 D2 U2 L R' U' R2
B2 D2 U2 R' L U' R2
F' D2 F L R' U R2
R' B L' B' L U R2
L2 B L' R2 U R' F'
F' D2 F R' L U R2
L2 B L' U R' F' R2
L' B L2 R2 U R' F'
L' B L2 U R' F' R2
L2 B L' B' R' U R2
R' B L2 B' L U R2
L' B L2 B' R' U R2
R2 B R B' L U R'
L' B R2 L2 U R' F'
L2 B R2 L' U R' F'
L B R B' R' U R
R' B U R' D' R' B
L B R' U R' F' R'
B2 D2 B2 L R' U R2
L B R' B' R' U R'
B2 D2 B2 R' L U R2
L B R2 U R' D F'
L B R2 U R' D' F'
L B R2 U R' D2 F'
L B R2 U R' F' D
L B R2 U R' F' D'
L B R2 U R' F' D2
L B R2 U D R' F'
L B R2 U D' R' F'
L B R2 U D2 R' F'
L B R2 U F R' F'
L B R2 U F' R' F'
L B R2 U F2 R' F'
L B R2 D U R' F'
L B R2 D' U R' F'
L B R2 D2 U R' F'
L B U R U2 B U2
L B U R' F R2 F2
L B U R' F' R2 D
L B U R' F' R2 D'
L B U R' F' R2 D2
R B R2 B' L U R2
L B U R' F2 R2 F
L B U D R' F' R2
L B U D' R' F' R2
L B U D2 R' F' R2
L B U F R' F' R
R' B D L B2 U B
L B U' L U2 R F
L B U' L' B' U2 R
R' B D B2 L U B'
L B D R2 U R' F'
L B D U R' F' R2
L B D B' R' U R2
L B D' R2 U R' F'
L B D' U R' F' R2
L B D' B' R' U R2
L B D2 R2 U R' F'
L B D2 U R' F' R2
L B D2 B' R' U R2
R' B' L U R B R
R' B' L B L U R2
R' B' L' U R B R
R' B' L' B L U R2
L2 B' L' U D' R F'
R' B' L2 U R B R
L2 B' L' D' U R F'
L' B' L2 U D' R F'
L2 B' L' B R' U R2
L' B' L2 D' U R F'
R' B' L2 B L U R2
L' B' L2 B R' U R2
R2 B' R U R B R'
R2 B' R B L U R'
L B' R B R' U R
R' B' U R D B R
R' B' U R D' B R
