B2 L U L' B
B2 L U B L'
B2 L' U L B
B2 L2 U L2 B
B2 L2 U B L2
D' R2 D' F2 B'
D' R2 D' B' F2
D' R2 B' D' F2
R2 D' R2 F2 B'
R2 D' R2 B' F2
R2 D' F2 R2 B'
R2 D' F2 B' R2
R2 D' B' R2 F2
R2 D' B' F2 R2
D' B' R2 D' F2
L2 B2 U L2 B'
B2 U B U D B' U'
B2 U B U D' B' U'
B2 U B U D2 B' U'
B2 U B U B' U' D
B2 U B U B' U' D'
B2 U B U B' U' D2
B2 U B U B' D U'
B2 U B U B' D' U'
B2 U B U B' D2 U'
R2 D' R' F R' F B'
R2 D' R' F R' B' F
B2 U B D U B' U'
R D' R B' D' R F2
B2 U B D' U B' U'
R2 D' R' F2 R B' R2
R2 D' R' F2 R' D B'
R2 D' R' F2 R' D' B'
R2 D' R' F2 R' D2 B'
R2 D' R' F2 R' B' D
R2 D' R' F2 R' B' D'
R2 D' R' F2 R' B' D2
R2 D' R' F2 R2 B' R
R2 D' R' F2 D R' B'
R2 D' R' F2 D' R' B'
R2 D' R' F2 D2 R' B'
B2 U B D2 U B' U'
R2 D' R2 L' F2 L B'
R2 D' R2 D B' D' F2
B2 U B' U B U' B
R2 D' R2 D' B' D F2
L' D' U R2 D L B'
R2 D' R2 F D F B'
R2 D' R2 F D B' F
R2 D' R2 F D' F B'
R2 D' R2 F D' B' F
R2 D' R2 F D2 F B'
R2 D' R2 F D2 B' F
R2 D' R2 F B' D F
R2 D' R2 F B' D' F
R2 D' R2 F B' D2 F
R2 D' R2 F' D F' B'
R2 D' R2 F' D B' F'
R2 D' R2 F' D' F' B'
R2 D' R2 F' D' B' F'
R2 D' R2 F' D2 F' B'
R2 D' R2 F' D2 B' F'
R2 D' R2 F' B' D F'
R2 D' R2 F' B' D' F'
R2 D' R2 F' B' D2 F'
L D' R2 L' D' F2 B'
L D' R2 L' D' B' F2
R2 D' R2 F2 R' B' R
R2 D' R2 F2 R2 B' R2
L D' R2 L' B' D' F2
R2 D' R2 F2 D B' D
R2 D' R2 F2 D B' D'
R2 D' R2 F2 D B' D2
R2 D' R2 F2 D' B' D
R2 D' R2 F2 D' B' D'
R2 D' R2 F2 D' B' D2
R2 D' R2 F2 D2 B' D
R2 D' R2 F2 D2 B' D'
R2 D' R2 F2 D2 B' D2
R2 D' R2 F2 B2 D B
R2 D' R2 F2 B2 D' B
R2 D' R2 F2 B2 D2 B
R2 D' R2 B' L' F2 L
R2 D' R2 B' L2 F2 L2
R2 D' R2 B' R F2 R'
R2 D' R2 B' R2 F2 R2
R2 D' R2 B' F D F
R2 D' R2 B' F D' F
R2 D' R2 B' F D2 F
R2 D' R2 B' F' D F'
R2 D' R2 B' F' D' F'
R2 D' R2 B' F' D2 F'
R2 D' R2 B2 F2 D B
R2 D' R2 B2 F2 D' B
R2 D' R2 B2 F2 D2 B
R' D' U' R U R B'
R' D' U' R U B' R
R D' R2 U' R U B'
L D' R2 D' L' F2 B'
L D' R2 D' L' B' F2
B2 U B2 L2 D L2 B'
L2 D' U R2 D L2 B'
B2 U B2 U B2 U' B
R D' R2 B' U' R U
B2 U B2 D B L2 B2
B2 U B2 D B' L2 D
B2 U B2 D B' L2 D'
B2 U B2 D B' L2 D2
B2 U B2 D B2 L2 B
B2 U B2 D' B' D2 L2
B2 U B2 D2 B' D' L2
D U' L2 F U F' U
R D' U' R' U R' B'
R2 D' F R B' R F
R2 D' F R' F R' B'
R2 D' F R2 D F B'
R2 D' F R2 D B' F
R2 D' F R2 D' F B'
R2 D' F R2 D' B' F
R2 D' F R2 D2 F B'
R2 D' F R2 D2 B' F
R2 D' F R2 F D B'
R2 D' F R2 F D' B'
R2 D' F R2 F D2 B'
R2 D' F R2 F B' D
R2 D' F R2 F B' D'
R2 D' F R2 F B' D2
R2 D' F R2 B' D F
R2 D' F R2 B' D' F
R2 D' F R2 B' D2 F
R2 D' F R2 B' F D
R2 D' F R2 B' F D'
R2 D' F R2 B' F D2
R2 D' F B R2 F B2
R2 D' F B R2 B2 F
R2 D' F B' R' F R'
R2 D' F B' R2 D F
R2 D' F B' R2 D' F
R2 D' F B' R2 D2 F
R2 D' F B' R2 F D
R2 D' F B' R2 F D'
R2 D' F B' R2 F D2
R2 D' F' R2 B' D2 F2
B' U' R B' R2 U F'
B' U' R B' U' B U2
R2 D' F2 R D R B'
R2 D' F2 R D B' R
R2 D' F2 R D' R B'
R2 D' F2 R D' B' R
R2 D' F2 R D2 R B'
R2 D' F2 R D2 B' R
R2 D' F2 R B R B2
R2 D' F2 R B' R D
R2 D' F2 R B' R D'
R2 D' F2 R B' R D2
R2 D' F2 R B' D R
R2 D' F2 R B' D' R
R2 D' F2 R B' D2 R
R2 D' F2 R' D R' B'
R2 D' F2 R' D' R' B'
R2 D' F2 R' D2 R' B'
R2 D' F2 R2 D B' D
R2 D' F2 R2 D B' D'
R2 D' F2 R2 D B' D2
R2 D' F2 R2 D' B' D
R2 D' F2 R2 D' B' D'
R2 D' F2 R2 D' B' D2
R2 D' F2 R2 D2 B' D
R2 D' F2 R2 D2 B' D'
R2 D' F2 R2 D2 B' D2
R2 D' F2 R2 B2 D B
R2 D' F2 R2 B2 D' B
R2 D' F2 R2 B2 D2 B
R2 D' F2 D' B' D R2
R2 D' F2 D2 B' D2 R2
R2 D' F2 B R B2 R
R2 D' F2 B R2 B2 D
R2 D' F2 B R2 B2 D'
R2 D' F2 B R2 B2 D2
R2 D' F2 B' R D R
R2 D' F2 B' R D' R
R2 D' F2 B' R D2 R
R2 D' F2 B' R' D R'
R2 D' F2 B' R' D' R'
R2 D' F2 B' R' D2 R'
U D' R2 B' U B U'
U D' R2 B2 D L2 B
U D' R2 B2 D B L2
B' U' R' B' R2 U F'
B' U' R' B' U' B U2
R2 D' B R B2 R F2
R' D' B' R' D' R' F2
R' D' B' R' D' F2 R'
R2 D' B R' F2 R' B2
R' D' B' R2 U' R' U
R2 D' B R2 F2 B2 D
R2 D' B R2 F2 B2 D'
R2 D' B R2 F2 B2 D2
R2 D' B R2 B2 F2 D
R2 D' B R2 B2 F2 D'
R2 D' B R2 B2 F2 D2
R' D' B' U' R U R
U D' F U' F' R2 B'
U D' F U' F' B' R2
U D' F U' B' F' R2
R2 D' B F R2 F B2
R2 D' B F R2 B2 F
R2 D' B F2 R B2 R
R2 D' B F2 R2 B2 D
R2 D' B F2 R2 B2 D'
R2 D' B F2 R2 B2 D2
R2 D' B' L' R2 F2 L
B' U' R2 B' R2 U F'
B' U' R2 B' U' B U2
R2 D' B' L' F2 L R2
R2 D' B' L' F2 R2 L
B2 U' R2 F' U F U
R2 D' B' L2 R2 F2 L2
R2 D' B' L2 F2 L2 R2
R2 D' B' L2 F2 R2 L2
R2 D' B' R' F R' F
R2 D' B' R' F2 R' D
R2 D' B' R' F2 R' D'
R2 D' B' R' F2 R' D2
R2 D' B' R' F2 D R'
R2 D' B' R' F2 D' R'
R2 D' B' R' F2 D2 R'
R2 D' B' R2 L' F2 L
R2 D' B' R2 L2 F2 L2
R2 D' B' R2 F D F
R2 D' B' R2 F D' F
R2 D' B' R2 F D2 F
R2 D' B' R2 F' D F'
R2 D' B' R2 F' D' F'
R2 D' B' R2 F' D2 F'
U D' F' U' R2 F B'
U D' F' U' R2 B' F
U D' F' U' F R2 B'
U D' F' U' F B' R2
U D' F' U' B' R2 F
U D' F' U' B' F R2
R2 D' B' F R' F R'
R2 D' B' F R2 D F
R2 D' B' F R2 D' F
R2 D' B' F R2 D2 F
R2 D' B' F R2 F D
R2 D' B' F R2 F D'
R2 D' B' F R2 F D2
D' U' B U B2 R2 F'
U' D' B U B2 R2 F'
B' U' D B' R2 U F'
B' U' D B' U' B U2
R2 D' B' F2 R D R
R2 D' B' F2 R D' R
R2 D' B' F2 R D2 R
R2 D' B' F2 R' D R'
R2 D' B' F2 R' D' R'
R2 D' B' F2 R' D2 R'
R D' B' R D' R F'
U D' F2 U' R2 F2 B'
U D' F2 U' R2 B' F2
U D' F2 U' F2 R2 B'
U D' F2 U' F2 B' R2
U D' F2 U' B' R2 F2
U D' F2 U' B' F2 R2
B' U' D' B' R2 U F'
B' U' D' B' U' B U2
B U' D B L2 U F
B' U' D2 B' R2 U F'
B' U' D2 B' U' B U2
U' D' B2 U B R2 F'
D' U' B2 U B R2 F'
B2 U' F U F' U B
U D' B' R2 U' F' U
U D' B' U B U' R2
B2 U' F' U F U B
B2 U' F2 U F2 U B
R2 D2 R D R2 F2 B'
R2 D2 R D R2 B' F2
R2 D2 R D F2 R2 B'
R2 D2 R D F2 B' R2
R2 D2 R D B' R2 F2
R2 D2 R D B' F2 R2
B2 U' F2 U2 D' L2 B
B2 U' F2 U2 D' B L2
B2 U' F2 U2 B D' L2
B2 U' F2 D R2 F' U2
B2 U' F2 D' U2 L2 B
B2 U' F2 D' U2 B L2
R2 D2 R B' D R2 F2
R2 D2 R B' D F2 R2
R2 D2 R' D R2 F2 B'
R2 D2 R' D R2 B' F2
R2 D2 R' D F2 R2 B'
R2 D2 R' D F2 B' R2
R2 D2 R' D B' R2 F2
R2 D2 R' D B' F2 R2
R2 D2 R' B' D R2 F2
R2 D2 R' B' D F2 R2
B U' B L2 U F B
B U' B L2 U B F
D U2 L2 U' L2 U' B'
B' U' B' R2 U D F'
B' U' B' R2 U D' F'
B' U' B' R2 U D2 F'
B' U' B' R2 U F' D
B' U' B' R2 U F' D'
B' U' B' R2 U F' D2
B' U' B' R2 D U F'
B' U' B' R2 D' U F'
B' U' B' R2 D2 U F'
B' U' B' U R2 F' R2
D U2 L2 D F U2 F
B' U' B' U' D B U2
B' U' B' U' D' B U2
B' U' B' U' D2 B U2
B' U' B' U' B U2 D
B' U' B' U' B U2 D'
B' U' B' U' B U2 D2
B' U' B' U' B D U2
B' U' B' U' B D' U2
B' U' B' U' B D2 U2
D U2 L2 D' F B2 U2
D U2 L2 D' B2 F U2
B U' B U B D2 F2
B' U' B' D R2 U F'
B' U' B' D U' B U2
B U' B U' B' U2 B2
D U2 L2 F U' L2 U'
B' U' B' D' R2 U F'
D U2 L2 F U2 D F2
D U2 L2 F D U2 F2
B' U' B' D' U' B U2
D U2 L2 F D' B2 U2
B' U' B' D2 R2 U F'
R2 D2 R2 D R2 F2 B'
B' U' B' D2 U' B U2
R2 D2 R2 D R2 B' F2
R2 D2 R2 D F2 R2 B'
R2 D2 R2 D F2 B' R2
R2 D2 R2 D B' R2 F2
R2 D2 R2 D B' F2 R2
R2 D2 R2 B' D R2 F2
R2 D2 R2 B' D F2 R2
F' U' B2 U D2 F2 B
F' U' B2 U D2 B F2
F' U' B2 U' B2 U2 B'
D2 U2 R' F2 U' B' L'
B' U' B2 D' B R2 U
B' U' B2 D2 B U F2
F2 U' B2 U D2 F2 B
F2 U' B2 U D2 B F2
F' U' B2 D2 U F2 B
F' U' B2 D2 U B F2
F2 U' B2 U' B2 U2 B'
F2 U' B2 D2 U F2 B
F2 U' B2 D2 U B F2
U D2 R F2 U' F2 B'
U D2 R F2 U' B' F2
U2 D2 R' F2 U' B' L'
F U' B2 U D2 F2 B
F U' B2 U D2 B F2
F U' B2 U' B2 U2 B'
U D2 R' F2 U' F2 B'
U D2 R' F2 U' B' F2
F U' B2 D2 U F2 B
F U' B2 D2 U B F2
B' U2 L2 U' F L2 U'
U D2 R2 F2 U' F2 B'
U D2 R2 F2 U' B' F2
R' D2 F2 L' U' L B'
B2 U2 R U R' U2 B
R2 D2 F2 L2 U' L2 B'
U D2 F2 R U' F2 B'
U D2 F2 R U' B' F2
U D2 F2 R' U' F2 B'
U D2 F2 R' U' B' F2
U D2 F2 R2 U' F2 B'
U D2 F2 R2 U' B' F2
U D2 F2 U' F2 D B'
U D2 F2 U' F2 D' B'
U D2 F2 U' F2 D2 B'
U D2 F2 U' F2 B' D
U D2 F2 U' F2 B' D'
U D2 F2 U' F2 B' D2
U D2 F2 U' B' F2 D
U D2 F2 U' B' F2 D'
U D2 F2 U' B' F2 D2
R' D2 B' U F2 L' U'
B2 U2 R2 U R2 U2 B
B2 U2 R2 U F' R2 U2
R2 D2 B' R D R2 F2
R2 D2 B' R D F2 R2
R2 D2 B' R' D R2 F2
R2 D2 B' R' D F2 R2
R2 D2 B' R2 D R2 F2
R2 D2 B' R2 D F2 R2
R2 D2 B' U L2 F2 U'
R2 D2 B' U F2 L2 U'
R2 D2 B' D R' F2 R'
R2 D2 B' D R2 F2 D
R2 D2 B' D R2 F2 D'
R2 D2 B' D R2 F2 D2
R2 D2 B' D F R2 F
R2 D2 B' D F2 R2 D
R2 D2 B' D F2 R2 D'
R2 D2 B' D F2 R2 D2
U D2 B' U F2 B U'
U D2 B' U B F2 U'
R2 D2 B2 D F2 B R2
R2 D2 B2 D B R2 F2
R2 D2 B2 D B F2 R2
D' F L' U L R2 B'
D' F L' U L B' R2
D' F L' U R2 L B'
D2 F L' U L B' R'
U D2 B2 D L2 B R2
U D2 B2 D B L2 R2
U D2 B2 D B R2 L2
D' F L2 U L2 R2 B'
D' F L2 U L2 B' R2
L' F L' B2 U L2 B'
D' F L2 U R2 L2 B'
D2 F L2 B' U L2 B'
D' F R B' D' R F'
D' F R2 U' R2 U B'
D' F R2 D' F2 D B'
D' F R2 D' F2 D' B'
D' F R2 D' F2 D2 B'
D' F R2 D' F2 B' D
D' F R2 D' F2 B' D'
D' F R2 D' F2 B' D2
R F R D' R2 F2 B'
R F R D' R2 B' F2
D' F R2 D' B' F2 D
D' F R2 D' B' F2 D'
D' F R2 D' B' F2 D2
R F R D' F2 R2 B'
R F R D' F2 B' R2
R F R D' B' R2 F2
R F R D' B' F2 R2
D' F R2 D2 B' D F2
D' F R2 F D' F2 B'
D' F R2 F D' B' F2
D' F R2 F B' D' F2
D' F R2 F' D' F2 B'
D' F R2 F' D' B' F2
D' F R2 F' B' D' F2
D' F R2 F2 D' F2 B'
D' F R2 F2 D' B' F2
D' F R2 F2 B' D' F2
D' F R2 B' U' R2 U
D' F R2 B' D' F2 D
D' F R2 B' D' F2 D'
D' F R2 B' D' F2 D2
D' F R2 B' F D' F2
D' F R2 B' F' D' F2
D' F R2 B' F2 D' F2
D' F R2 B2 D' F2 B
D' F R2 B2 D' B F2
B2 U2 B' R U' B2 L
L' F U L D' R2 B'
L' F U L D' B' R2
B2 U2 B' U' B2 D L2
U' F U F' B2 U B
D2 F U F U' F' B'
D2 F U F U' B' F'
U' F U B2 F' U B
L2 F U L2 D' R2 B2
L2 F U L2 D' B2 R2
B2 D L U L B L2
B2 D L U L' D B
B2 D L U L' D' B
B2 D L U L' D2 B
B2 D L U L' B D
B2 D L U L' B D'
B2 D L U L' B D2
B2 D L U D L' B
B2 D L U D B L'
B2 D L U D' L' B
B2 D L U D' B L'
B2 D L U D2 L' B
B2 D L U D2 B L'
B2 D L U B L' D
B2 D L U B L' D'
B2 D L U B L' D2
B2 D L U B D L'
B2 D L U B D' L'
B2 D L U B D2 L'
B2 D L U B' L' B2
B2 D L D U L' B
B2 D L D U B L'
B2 D L D' U L' B
B2 D L D' U B L'
B2 D L D2 U L' B
B2 D L D2 U B L'
R2 F U' R2 B2 U B
B2 D L' U L D B
B2 D L' U L D' B
B2 D L' U L D2 B
B2 D L' U L B D
B2 D L' U L B D'
B2 D L' U L B D2
B2 D L' U L' B L2
B2 D L' U L2 B L'
B2 D L' U D L B
B2 D L' U D' L B
B2 D L' U D2 L B
B2 D L' D U L B
U F U' D' F' R2 B'
U F U' D' F' B' R2
U F U' D' B' F' R2
B2 D L' D' U L B
R F U' R' B2 U B
B2 D L' D2 U L B
B2 D L' F U L B
U F U' F' D' R2 B'
U F U' F' D' B' R2
B2 D L' F' U L B
B2 D L' F2 U L B
B2 D L2 U L' B L'
B2 D L2 U L2 D B
B2 D L2 U L2 D' B
B2 D L2 U L2 D2 B
B2 D L2 U L2 B D
B2 D L2 U L2 B D'
B2 D L2 U L2 B D2
B2 D L2 U B L2 D
B2 D L2 U B L2 D'
B2 D L2 U B L2 D2
B2 D L2 U B' L2 B2
B2 D L2 D F2 U B
B2 D L2 F U L2 B
B2 D L2 F U B L2
B2 D L2 F' U L2 B
B2 D L2 F' U B L2
B2 D L2 F2 U L2 B
B2 D L2 F2 U B L2
B' D R U' R' B' U
U F U2 B2 U F' B
U F U2 B2 U B F'
B D L2 D F2 B U
B D L2 D B F2 U
R2 F D' R B' R F2
R2 F D' R' F2 R' B'
B D L2 F B U L2
R2 F D' R2 F2 D B'
R2 F D' R2 F2 D' B'
R2 F D' R2 F2 D2 B'
R2 F D' R2 F2 B' D
R2 F D' R2 F2 B' D'
R2 F D' R2 F2 B' D2
B D L2 F' B U L2
R2 F D' R2 B' F2 D
R2 F D' R2 B' F2 D'
R2 F D' R2 B' F2 D2
B D L2 F2 B U L2
B D L2 B U L2 D
B D L2 B U L2 D'
B D L2 B U L2 D2
B D L2 B D F2 U
B D L2 B F U L2
B D L2 B F' U L2
B D L2 B F2 U L2
R2 F D' F R2 F B'
R2 F D' F R2 B' F
B' D R' U' R B' U
R2 F D' F B' R2 F
B' D R' U' B' R U
R2 F D' F2 R B' R
R2 F D' F2 R2 D B'
R2 F D' F2 R2 D' B'
R2 F D' F2 R2 D2 B'
R2 F D' F2 R2 B' D
R2 F D' F2 R2 B' D'
R2 F D' F2 R2 B' D2
R2 F D' F2 B R2 B2
R2 F D' F2 B' R2 D
R2 F D' F2 B' R2 D'
R2 F D' F2 B' R2 D2
R2 F D' B R2 F2 B2
R2 F D' B R2 B2 F2
R2 F D' B F2 R2 B2
R2 F D' B' R' F2 R'
R2 F D' B' R2 F2 D
R2 F D' B' R2 F2 D'
R2 F D' B' R2 F2 D2
R2 F D' B' F R2 F
R2 F D' B' F2 R2 D
R2 F D' B' F2 R2 D'
R2 F D' B' F2 R2 D2
U F D' U' F' R2 B'
U F D' U' F' B' R2
U F D' U' B' F' R2
D' F B R2 B2 D' F2
D F D2 R2 D' F2 B'
D F D2 R2 D' B' F2
B' D R2 U' R2 B' U
D F D2 R2 B' D' F2
B' D R2 U' B' R2 U
R2 F D2 B' D R2 F2
R2 F D2 B' D F2 R2
D' F B' R2 U' R2 U
D' F B' R2 D' F2 D
D' F B' R2 D' F2 D'
D' F B' R2 D' F2 D2
D' F B' R2 F D' F2
D' F B' R2 F' D' F2
D' F B' R2 F2 D' F2
D F D2 B' R2 D' F2
D2 F B' U F U' F'
U F D2 F2 U' F B'
U F D2 F2 U' B' F
B' D U L2 F U' F'
L' F B2 U B2 L B'
R2 F B' U' R2 B' U
R2 F B' U' B' R2 U
B2 D U B U B' U'
B2 D U B2 D B' L2
L2 F B2 U L2 D' B2
D F B' D2 R2 D' F2
B' D U' B' R2 U F'
B' D U' B' U' B U2
D' F' L' U L R2 B'
D' F' L' U L B' R2
D' F' L' U R2 L B'
B D U' B L2 U F
B2 D F L U L' B
B2 D F L U B L'
B2 D F L' U L B
B2 D F L2 U L2 B
B2 D F L2 U B L2
L' F' L' B2 U L2 B'
D' F' L2 U L2 R2 B'
D' F' L2 U L2 B' R2
D' F' L2 U R2 L2 B'
B2 D F' L U L' B
B2 D F' L U B L'
B2 D F' L' U L B
B D F L2 B U L2
B2 D F' L2 U L2 B
B2 D F' L2 U B L2
B D F B L2 U L2
D' F' R B' D' R F'
B2 D F2 L U L' B
B2 D F2 L U B L'
B2 D F2 L' U L B
B D F' L2 B U L2
B2 D F2 L2 U L2 B
B2 D F2 L2 U B L2
B D F' B L2 U L2
B D F2 L2 B U L2
D' F' R2 U' R2 U B'
B' D B' L U L' B
B' D B' L U B L'
D' F' R2 D' F2 D B'
D' F' R2 D' F2 D' B'
D' F' R2 D' F2 D2 B'
D' F' R2 D' F2 B' D
D' F' R2 D' F2 B' D'
D' F' R2 D' F2 B' D2
D' F' R2 D' B' F2 D
D' F' R2 D' B' F2 D'
D' F' R2 D' B' F2 D2
B' D B' L' U L B
D' F' R2 D2 B' D F2
B' D B' L2 U L2 B
B' D B' L2 U B L2
R F' R D' R2 F2 B'
R F' R D' R2 B' F2
R F' R D' F2 R2 B'
D' F' R2 F D' F2 B'
R F' R D' F2 B' R2
D' F' R2 F D' B' F2
R F' R D' B' R2 F2
R F' R D' B' F2 R2
D' F' R2 F B' D' F2
B D F2 B L2 U L2
D' F' R2 F' D' F2 B'
D' F' R2 F' D' B' F2
D' F' R2 F' B' D' F2
D' F' R2 F2 D' F2 B'
D' F' R2 F2 D' B' F2
D' F' R2 F2 B' D' F2
D' F' R2 B' U' R2 U
D2 F' R2 B' D' R2 F2
D2 F' R2 B' D' F2 R2
D' F' R2 B' D' F2 D
D' F' R2 B' D' F2 D'
D' F' R2 B' D' F2 D2
D' F' R2 B' F D' F2
D' F' R2 B' F' D' F2
D' F' R2 B' F2 D' F2
D' F' R2 B2 D' F2 B
D' F' R2 B2 D' B F2
B D B L2 U L2 D
B D B L2 U L2 D'
B D B L2 U L2 D2
B D B L2 D F2 U
B D B L2 F U L2
B D B L2 F' U L2
B D B L2 F2 U L2
L' F' U L D' R2 B'
L' F' U L D' B' R2
U' F' U F B2 U B
F' D B' D2 R2 D' F2
D2 F' U F' U' F B'
D2 F' U F' U' B' F
B D B F L2 U L2
U' F' U B2 F U B
B D B F' L2 U L2
B D B F2 L2 U L2
F2 D B' D2 R2 D' F2
B D B' L2 B2 U L2
F D B' D2 R2 D' F2
B2 D' L U L B L2
B2 D' L U L' D B
B2 D' L U L' D' B
B2 D' L U L' D2 B
B2 D' L U L' B D
B2 D' L U L' B D'
B2 D' L U L' B D2
B2 D' L U D L' B
B2 D' L U D B L'
B2 D' L U D' L' B
B2 D' L U D' B L'
B2 D' L U D2 L' B
B2 D' L U D2 B L'
B2 D' L U B L' D
B2 D' L U B L' D'
B2 D' L U B L' D2
B2 D' L U B D L'
B2 D' L U B D' L'
B2 D' L U B D2 L'
B2 D' L U B' L' B2
B2 D' L D U L' B
B2 D' L D U B L'
B2 D' L D' U L' B
B2 D' L D' U B L'
B2 D' L D2 U L' B
B2 D' L D2 U B L'
R2 F' U' R2 B2 U B
F' D' L' U L R2 B'
F' D' L' U L B' R2
F' D' L' U R2 L B'
B2 D' L' U L D B
B2 D' L' U L D' B
B2 D' L' U L D2 B
B2 D' L' U L B D
B2 D' L' U L B D'
B2 D' L' U L B D2
B2 D' L' U L' B L2
B2 D' L' U L2 B L'
B2 D' L' U D L B
B2 D' L' U D' L B
B2 D' L' U D2 L B
F2 D' L' U L R2 B'
F2 D' L' U L B' R2
F2 D' L' U R2 L B'
B2 D' L' D U L B
U F' U' D' R2 F B'
U F' U' D' R2 B' F
U F' U' D' F R2 B'
U F' U' D' F B' R2
U F' U' D' B' R2 F
U F' U' D' B' F R2
B2 D' L' D' U L B
B2 D' L' D2 U L B
U F' U' F D' R2 B'
U F' U' F D' B' R2
R F' U' R' B2 U B
B2 D' L' F U L B
B2 D' L' F' U L B
B2 D' L' F2 U L B
F' D' L2 U L2 R2 B'
F' D' L2 U L2 B' R2
F' D' L2 U R2 L2 B'
B2 D' L2 U L' B L'
B2 D' L2 U L2 D B
B2 D' L2 U L2 D' B
B2 D' L2 U L2 D2 B
B2 D' L2 U L2 B D
B2 D' L2 U L2 B D'
B2 D' L2 U L2 B D2
B2 D' L2 U B L2 D
B2 D' L2 U B L2 D'
B2 D' L2 U B L2 D2
B2 D' L2 U B' L2 B2
F2 D' L2 U L2 R2 B'
F2 D' L2 U L2 B' R2
F2 D' L2 U R2 L2 B'
B2 D' L2 D F2 U B
F D' L' U L R2 B'
F D' L' U L B' R2
F D' L' U R2 L B'
B2 D' L2 F U L2 B
B2 D' L2 F U B L2
B2 D' L2 F' U L2 B
B2 D' L2 F' U B L2
B2 D' L2 F2 U L2 B
B2 D' L2 F2 U B L2
B' D' R U' R' B' U
U F' U2 B2 U F B
U F' U2 B2 U B F
R2 F' D' R B' R F2
R2 F' D' R' F2 R' B'
F D' L2 U L2 R2 B'
F D' L2 U L2 B' R2
F D' L2 U R2 L2 B'
R2 F' D' R2 F2 D B'
R2 F' D' R2 F2 D' B'
R2 F' D' R2 F2 D2 B'
R2 F' D' R2 F2 B' D
R2 F' D' R2 F2 B' D'
R2 F' D' R2 F2 B' D2
R2 F' D' R2 B' F2 D
R2 F' D' R2 B' F2 D'
R2 F' D' R2 B' F2 D2
F' D' R B' D' R F'
B' D' R' U' R B' U
R2 F' D' F R2 F B'
R2 F' D' F R2 B' F
B' D' R' U' B' R U
R2 F' D' F B' R2 F
R2 F' D' F2 R B' R
R2 F' D' F2 R2 D B'
R2 F' D' F2 R2 D' B'
R2 F' D' F2 R2 D2 B'
R2 F' D' F2 R2 B' D
R2 F' D' F2 R2 B' D'
R2 F' D' F2 R2 B' D2
R2 F' D' F2 B R2 B2
R2 F' D' F2 B' R2 D
R2 F' D' F2 B' R2 D'
R2 F' D' F2 B' R2 D2
R2 F' D' B R2 F2 B2
R2 F' D' B R2 B2 F2
F2 D' R B' D' R F'
R2 F' D' B F2 R2 B2
R2 F' D' B' R' F2 R'
R2 F' D' B' R2 F2 D
R2 F' D' B' R2 F2 D'
R2 F' D' B' R2 F2 D2
R2 F' D' B' F R2 F
R2 F' D' B' F2 R2 D
R2 F' D' B' F2 R2 D'
R2 F' D' B' F2 R2 D2
U F' D' U' R2 F B'
U F' D' U' R2 B' F
U F' D' U' F R2 B'
U F' D' U' F B' R2
D' F' B R2 B2 D' F2
U F' D' U' B' R2 F
U F' D' U' B' F R2
B' D' R2 U' R2 B' U
D F' D2 R2 D' F2 B'
D F' D2 R2 D' B' F2
B' D' R2 U' B' R2 U
D F' D2 R2 B' D' F2
F' D' R2 U' R2 U B'
R2 F' D2 B' D R2 F2
R2 F' D2 B' D F2 R2
D' F' B' R2 U' R2 U
D' F' B' R2 D' F2 D
D' F' B' R2 D' F2 D'
D' F' B' R2 D' F2 D2
D' F' B' R2 F D' F2
F' D' R2 D' F2 D B'
F' D' R2 D' F2 D' B'
F' D' R2 D' F2 D2 B'
D' F' B' R2 F' D' F2
F' D' R2 D' F2 B' D
F' D' R2 D' F2 B' D'
F' D' R2 D' F2 B' D2
D' F' B' R2 F2 D' F2
F' D' R2 D' B' F2 D
F' D' R2 D' B' F2 D'
F' D' R2 D' B' F2 D2
F D' R B' D' R F'
D2 F' B' U F' U' F
D F' D2 B' R2 D' F2
F' D' R2 D2 B' D F2
F2 D' R2 U' R2 U B'
F' D' R2 F D' F2 B'
F' D' R2 F D' B' F2
F' D' R2 F B' D' F2
F' D' R2 F' D' F2 B'
F' D' R2 F' D' B' F2
F' D' R2 F' B' D' F2
F' D' R2 F2 D' F2 B'
F' D' R2 F2 D' B' F2
F' D' R2 F2 B' D' F2
F2 D' R2 D' F2 D B'
F2 D' R2 D' F2 D' B'
F2 D' R2 D' F2 D2 B'
F2 D' R2 D' F2 B' D
F2 D' R2 D' F2 B' D'
F2 D' R2 D' F2 B' D2
F2 D' R2 D' B' F2 D
F2 D' R2 D' B' F2 D'
F2 D' R2 D' B' F2 D2
F' D' R2 B' U' R2 U
F' D' R2 B' D' F2 D
F' D' R2 B' D' F2 D'
F' D' R2 B' D' F2 D2
F' D' R2 B' F D' F2
F' D' R2 B' F' D' F2
F' D' R2 B' F2 D' F2
F2 D' R2 D2 B' D F2
B' D' U L2 F U' F'
U F' D2 F2 U' F' B'
U F' D2 F2 U' B' F'
F' D' R2 B2 D' F2 B
F' D' R2 B2 D' B F2
F2 D' R2 F D' F2 B'
F2 D' R2 F D' B' F2
F2 D' R2 F B' D' F2
F2 D' R2 F' D' F2 B'
F2 D' R2 F' D' B' F2
F2 D' R2 F' B' D' F2
F2 D' R2 F2 D' F2 B'
F2 D' R2 F2 D' B' F2
F2 D' R2 F2 B' D' F2
F2 D' R2 B' U' R2 U
F2 D' R2 B' D' F2 D
