U L' R U
U R L' U
U L' R U D
U L' R U D'
U L' R U D2
U L' R D U
U L' R D' U
U L' R D2 U
U L' D R U
U L' D' R U
U L' D2 R U
U R L' U D
U R L' U D'
U R L' U D2
U R L' D U
U R L' D' U
U R L' D2 U
U R D L' U
U R D' L' U
U R D2 L' U
B' U L' R U
U D L' R U
B' U R L' U
D' U L' R U
D U L' R U
U D R L' U
B U L' R U
B2 U L' R U
D2 U L' R U
D U R L' U
D' U R L' U
B U R L' U
B2 U R L' U
D2 U R L' U
U D' L' R U
U D' R L' U
F2 U' L' R U'
F2 U' R L' U'
U D2 L' R U
U D2 R L' U
U D2 R L' U
D2 U B2 R B2 L' U
U D B' L' B R U
B' U B R B' L' U
B2 U B R B' L' U
U2 D B2 U' L' R U
U2 D B2 U' R L' U
D U B2 L' R B2 U
D U B2 L' B2 R U
D U B2 R L' B2 U
D' U' L U2 L2 R U
D' U' L U2 R L2 U
U' D' L U2 L2 R U
U' D' L U2 R L2 U
D U B2 R B2 L' U
D2 U' L U2 L2 R U
D2 U' L U2 R L2 U
U D B2 L' R B2 U
U D B2 L' B2 R U
U D B2 R L' B2 U
B' U B' L' B R U
U D B2 R B2 L' U
R D' R' U L' R U
B U B R B' L' U
R D' R' U R L' U
R' D' U L' U F2 L'
B2 U B' L' B R U
D U' L U2 L2 R U
D U' L U2 R L2 U
U D' L R U D' B2
U D' L R D' U B2
U2 D' L' R U L R'
U2 D' L' R U R' L
B' U B2 L' R B2 U
L2 D' U L R B2 U
B' U B2 L' B2 R U
B U B' L' B R U
L2 D' U L B2 R U
B' U B2 R L' B2 U
B' U B2 R B2 L' U
L2 D' U R L B2 U
U D' L D' R U B2
R2 D' U L' R' F2 U
B2 U B2 L' R B2 U
R2 D' U L' F2 R' U
B2 U B2 L' B2 R U
B2 U B2 R L' B2 U
R2 D' U R' L' F2 U
B2 U B2 R B2 L' U
U' D' L2 U2 L R U
D' U' L2 U2 L R U
U' D' L2 U2 R L U
D' U' L2 U2 R L U
D2 U' L2 U2 L R U
D2 U' L2 U2 R L U
U D' L' R' U D' F2
U D' L' R' D' U F2
U D' L' R2 D R' U
U D' L' R2 D' R' U
U D' L' R2 D2 R' U
B U B2 L' R B2 U
B U B2 L' B2 R U
B U B2 R L' B2 U
U D' L' D R U D
U D' L' D R U D'
U D' L' D R U D2
U D' L' D R D U
U D' L' D R D' U
U D' L' D R D2 U
B U B2 R B2 L' U
B' U' L U2 L2 R U
B' U' L U2 R L2 U
U D' L' D' R U D
U D' L' D' R U D'
U D' L' D' R U D2
U D' L' D' R D U
U D' L' D' R D' U
U D' L' D' R D2 U
F2 U' L R U' D F2
U D' L' D2 R U D
U D' L' D2 R U D'
U D' L' D2 R U D2
U D' L' D2 R D U
U D' L' D2 R D' U
U D' L' D2 R D2 U
F2 U' L R D U' F2
B2 U' L U2 L2 R U
B2 U' L U2 R L2 U
U D' L' B R B' U
F2 U' L D R U' F2
U D' L' B2 R B2 U
D U' L2 U2 L R U
D U' L2 U2 R L U
U D' L2 R D L U
U D' L2 R D' L U
U D' L2 R D2 L U
U2 D' R L' U L R'
U2 D' R L' U R' L
U D' L2 D L R U
U D' L2 D R L U
U D' L2 D' L R U
U D' L2 D' R L U
B U' L U2 L2 R U
B U' L U2 R L2 U
U D' L2 D2 L R U
U D' L2 D2 R L U
F2 U' L' R' U' D B2
F2 U' L' R' D U' B2
F2 U' L' R2 D R' U'
F2 U' L' R2 D' R' U'
F2 U' L' R2 D2 R' U'
U' D' R' U2 L' R2 U
D' U' R' U2 L' R2 U
U' D' R' U2 R2 L' U
D' U' R' U2 R2 L' U
D2 U' R' U2 L' R2 U
D2 U' R' U2 R2 L' U
F2 U' L' D R U' D
F2 U' L' D R U' D'
F2 U' L' D R U' D2
F2 U' L' D R D U'
F2 U' L' D R D' U'
F2 U' L' D R D2 U'
F2 U' L' D' R U' D
F2 U' L' D' R U' D'
F2 U' L' D' R U' D2
F2 U' L' D' R D U'
F2 U' L' D' R D' U'
F2 U' L' D' R D2 U'
U D' R L U D' B2
U D' R L D' U B2
F2 U' L' D2 R U' D
F2 U' L' D2 R U' D'
F2 U' L' D2 R U' D2
F2 U' L' D2 R D U'
F2 U' L' D2 R D' U'
F2 U' L' D2 R D2 U'
U D' R L2 D L U
U D' R L2 D' L U
U D' R L2 D2 L U
F2 U' L' B R B' U'
U D' R D L' U D
U D' R D L' U D'
U D' R D L' U D2
U D' R D L' D U
U D' R D L' D' U
U D' R D L' D2 U
B' U' L2 U2 L R U
U D' R D' L' U D
U D' R D' L' U D'
U D' R D' L' U D2
B' U' L2 U2 R L U
U D' R D' L' D U
U D' R D' L' D' U
U D' R D' L' D2 U
F2 U' L' B2 R B2 U'
U D' R D2 L' U D
U D' R D2 L' U D'
U D' R D2 L' U D2
U D' R D2 L' D U
U D' R D2 L' D' U
U D' R D2 L' D2 U
F2 U' L2 R D L U'
F2 U' L2 R D' L U'
F2 U' L2 R D2 L U'
B2 U' L2 U2 L R U
B2 U' L2 U2 R L U
U' D' R2 U2 L' R' U
D' U' R2 U2 L' R' U
D' U' R2 U2 R' L' U
U' D' R2 U2 R' L' U
U D' R B' L' B U
D2 U' R2 U2 L' R' U
D2 U' R2 U2 R' L' U
F2 U' L2 D L R U'
F2 U' L2 D R L U'
U D' R B2 L' B2 U
F2 U' L2 D' L R U'
D U' R' U2 L' R2 U
F2 U' L2 D' R L U'
D U' R' U2 R2 L' U
F2 U' L2 D2 L R U'
F2 U' L2 D2 R L U'
U D' R' L' U D' F2
U D' R' L' D' U F2
U D' R' D' L' U F2
B U' L2 U2 L R U
B U' L2 U2 R L U
F2 U' R L U' D F2
F2 U' R L D U' F2
F2 U' R L2 D L U'
F2 U' R L2 D' L U'
F2 U' R L2 D2 L U'
F2 U' R D L' U' D
F2 U' R D L' U' D'
F2 U' R D L' U' D2
F2 U' R D L' D U'
F2 U' R D L' D' U'
F2 U' R D L' D2 U'
D U' R2 U2 L' R' U
D U' R2 U2 R' L' U
F2 U' R D' L' U' D
F2 U' R D' L' U' D'
F2 U' R D' L' U' D2
F2 U' R D' L' D U'
F2 U' R D' L' D' U'
F2 U' R D' L' D2 U'
F2 U' R D2 L' U' D
F2 U' R D2 L' U' D'
F2 U' R D2 L' U' D2
F2 U' R D2 L' D U'
F2 U' R D2 L' D' U'
F2 U' R D2 L' D2 U'
U D' R2 L' D R' U
U D' R2 L' D' R' U
U D' R2 L' D2 R' U
U D' R2 D L' R' U
U D' R2 D R' L' U
F2 U' R B' L' B U'
U D' R2 D' L' R' U
B' U' R' U2 L' R2 U
U D' R2 D' R' L' U
F2 U' R B2 L' B2 U'
B' U' R' U2 R2 L' U
U D' R2 D2 L' R' U
U D' R2 D2 R' L' U
F2 U' R' L' U' D B2
F2 U' R' L' D U' B2
B2 U' R' U2 L' R2 U
B2 U' R' U2 R2 L' U
F2 U' R' D L' U' B2
B' U' R2 U2 L' R' U
U' D' F2 L' R F2 U'
D' U' F2 L' R F2 U'
B' U' R2 U2 R' L' U
B U' R' U2 L' R2 U
B U' R' U2 R2 L' U
F2 U' R2 L' D R' U'
F2 U' R2 L' D' R' U'
D' U' F2 R L' F2 U'
U' D' F2 R L' F2 U'
F2 U' R2 L' D2 R' U'
D2 U' F2 L' R F2 U'
B2 U' R2 U2 L' R' U
B2 U' R2 U2 R' L' U
D2 U' F2 R L' F2 U'
F2 U' R2 D L' R' U'
F2 U' R2 D R' L' U'
F2 U' R2 D' L' R' U'
F2 U' R2 D' R' L' U'
F2 U' R2 D2 L' R' U'
F2 U' R2 D2 R' L' U'
F' U' D R' U' F' B
F' U' D R' U' B F'
B U' R2 U2 L' R' U
B U' R2 U2 R' L' U
F2 U' D L' R U' D
F2 U' D L' R U' D'
F2 U' D L' R U' D2
U2 D' F2 U L' R U'
F2 U' D L' R D U'
F2 U' D L' R D' U'
F2 U' D L' R D2 U'
U2 D' F2 U R L' U'
F2 U' D L' D R U'
F2 U' D L' D' R U'
F2 U' D L' D2 R U'
D U' F2 L' R F2 U'
F2 U' D R L' U' D
F2 U' D R L' U' D'
F2 U' D R L' U' D2
F2 U' D R L' D U'
F2 U' D R L' D' U'
F2 U' D R L' D2 U'
F2 U' D R D L' U'
F2 U' D R D' L' U'
F2 U' D R D2 L' U'
D U' F2 R L' F2 U'
L' D2 L U L' R U
L' D2 L U R L' U
F2 U' D' L' R U' D
F2 U' D' L' R U' D'
F2 U' D' L' R U' D2
F2 U' D' L' R D U'
F2 U' D' L' R D' U'
F2 U' D' L' R D2 U'
F2 U' D' L' D R U'
F2 U' D' L' D' R U'
F2 U' D' L' D2 R U'
F2 U' D' R L' U' D
F2 U' D' R L' U' D'
F2 U' D' R L' U' D2
F2 U' D' R L' D U'
F2 U' D' R L' D' U'
F2 U' D' R L' D2 U'
F2 U' D' R D L' U'
F2 U' D' R D' L' U'
F2 U' D' R D2 L' U'
U2 D' B U' L' R U
U2 D' B U' R L' U
F U' D R U' F' B
F U' D R U' B F'
F2 U' D2 L' R U' D
F2 U' D2 L' R U' D'
F2 U' D2 L' R U' D2
F2 U' D2 L' R D U'
F2 U' D2 L' R D' U'
F2 U' D2 L' R D2 U'
F2 U' D2 L' D R U'
F2 U' D2 L' D' R U'
F2 U' D2 L' D2 R U'
U D' B R B' L' U
F2 U' D2 R L' U' D
F2 U' D2 R L' U' D'
F2 U' D2 R L' U' D2
F2 U' D2 R L' D U'
F2 U' D2 R L' D' U'
F2 U' D2 R L' D2 U'
F2 U' D2 R D L' U'
F2 U' D2 R D' L' U'
F2 U' D2 R D2 L' U'
U2 D' B' U' L' R U
U2 D' B' U' R L' U
U D' B' L' B R U
U' D2 L U2 L2 R U
U' D2 L U2 R L2 U
U2 D' B2 U' L' R U
U2 D' B2 U' R L' U
R D2 L' U' L R' U2
R D2 L' U' R' L U2
U D' B2 L' R B2 U
U D' B2 L' B2 R U
U D' B2 R L' B2 U
U D' B2 R B2 L' U
D' U2 L' R U L R'
D' U2 L' R U R' L
L' D2 R U' L R' U2
L' D2 R U' R' L U2
D2 U2 L' R U L R'
D2 U2 L' R U R' L
B' U' F2 L' R F2 U'
R D2 L' B2 U L R'
R D2 L' B2 U R' L
B' U' F2 R L' F2 U'
B2 U' F2 L' R F2 U'
U D2 L R U D' B2
B2 U' F2 R L' F2 U'
U D2 L R D' U B2
L' D2 R B2 U L R'
L' D2 R B2 U R' L
U2 D2 L' R U L R'
U2 D2 L' R U R' L
U D2 L D' R U B2
U' D2 L2 U2 L R U
U' D2 L2 U2 R L U
D U2 L' R U L R'
D U2 L' R U R' L
B U' F2 L' R F2 U'
B U' F2 R L' F2 U'
U D2 L' R' U D' F2
U D2 L' R' D' U F2
U D2 L' R2 D R' U
U D2 L' R2 D' R' U
U D2 L' R2 D2 R' U
F2 U' B R B' L' U'
D' U2 R L' U L R'
D' U2 R L' U R' L
U D2 L' D R U D
U D2 L' D R U D'
U D2 L' D R U D2
U D2 L' D R D U
U D2 L' D R D' U
U D2 L' D R D2 U
U D2 L' D' R U D
U D2 L' D' R U D'
U D2 L' D' R U D2
U D2 L' D' R D U
U D2 L' D' R D' U
U D2 L' D' R D2 U
D2 U2 R L' U L R'
D2 U2 R L' U R' L
U D2 L' D2 R U D
U D2 L' D2 R U D'
U D2 L' D2 R U D2
U D2 L' D2 R D U
U D2 L' D2 R D' U
U D2 L' D2 R D2 U
U D2 L' B R B' U
R D2 R' U L' R U
U D2 L' B2 R B2 U
R D2 R' U R L' U
U D2 L2 R D L U
U D2 L2 R D' L U
U D2 L2 R D2 L U
F2 U' B' L' B R U'
U2 D2 R L' U L R'
U2 D2 R L' U R' L
U D2 L2 D L R U
U D2 L2 D R L U
U D2 L2 D' L R U
U D2 L2 D' R L U
U D2 L2 D2 L R U
U D2 L2 D2 R L U
U' D2 R' U2 L' R2 U
U' D2 R' U2 R2 L' U
L2 D2 U L R U R
D U2 R L' U L R'
D U2 R L' U R' L
L2 D2 U R L U R
R2 D2 U L' R' U L'
F2 U' B2 L' R B2 U'
U D2 R L U D' B2
U D2 R L D' U B2
F2 U' B2 L' B2 R U'
F2 U' B2 R L' B2 U'
U D2 R L2 D L U
U D2 R L2 D' L U
U D2 R L2 D2 L U
R2 D2 U R' L' U L'
F2 U' B2 R B2 L' U'
U D2 R D L' U D
U D2 R D L' U D'
U D2 R D L' U D2
U D2 R D L' D U
U D2 R D L' D' U
U D2 R D L' D2 U
U D2 R D' L' U D
U D2 R D' L' U D'
U D2 R D' L' U D2
U D2 R D' L' D U
U D2 R D' L' D' U
U D2 R D' L' D2 U
U D2 R D2 L' U D
U D2 R D2 L' U D'
U D2 R D2 L' U D2
U D2 R D2 L' D U
U D2 R D2 L' D' U
U D2 R D2 L' D2 U
U' D2 R2 U2 L' R' U
U' D2 R2 U2 R' L' U
U D2 R B' L' B U
U D2 R B2 L' B2 U
U D2 R' L' U D' F2
U D2 R' L' D' U F2
U D2 R' D' L' U F2
B' U2 L' R U L R'
B' U2 L' R U R' L
B2 U2 L' R U L R'
B2 U2 L' R U R' L
F2 U2 L' R U' L R'
F2 U2 L' R U' R' L
U D2 R2 L' D R' U
U D2 R2 L' D' R' U
U D2 R2 L' D2 R' U
U D2 R2 D L' R' U
U D2 R2 D R' L' U
U D2 R2 D' L' R' U
U D2 R2 D' R' L' U
U D2 R2 D2 L' R' U
U D2 R2 D2 R' L' U
B U2 L' R U L R'
B U2 L' R U R' L
U' D2 F2 L' R F2 U'
U' D2 F2 R L' F2 U'
B' U2 R L' U L R'
B' U2 R L' U R' L
D' U2 F2 U L' R U'
D' U2 F2 U R L' U'
B2 U2 R L' U L R'
B2 U2 R L' U R' L
D2 U2 F2 U L' R U'
D2 U2 F2 U R L' U'
F2 U2 R L' U' L R'
F2 U2 R L' U' R' L
U2 D2 F2 U L' R U'
U2 D2 F2 U R L' U'
B U2 R L' U L R'
B U2 R L' U R' L
D' U2 B U' L' R U
D' U2 B U' R L' U
D2 U2 B U' L' R U
D2 U2 B U' R L' U
D U2 F2 U L' R U'
D U2 F2 U R L' U'
U2 D2 B U' L' R U
U2 D2 B U' R L' U
D' U2 B' U' L' R U
D' U2 B' U' R L' U
D2 U2 B' U' L' R U
D2 U2 B' U' R L' U
D U2 B U' L' R U
D U2 B U' R L' U
U D2 B R B' L' U
U2 D2 B' U' L' R U
U2 D2 B' U' R L' U
D' U2 B2 U' L' R U
D' U2 B2 U' R L' U
D2 U2 B2 U' L' R U
D2 U2 B2 U' R L' U
D U2 B' U' L' R U
D U2 B' U' R L' U
U D2 B' L' B R U
U2 D2 B2 U' L' R U
U2 D2 B2 U' R L' U
D U2 B2 U' L' R U
U D2 B2 L' R B2 U
D U2 B2 U' R L' U
U D2 B2 L' B2 R U
U D2 B2 R L' B2 U
U D2 B2 R B2 L' U
U F L F' L' R U
U F L F' R L' U
U F L' F' L' R U
U F L' F' R L' U
B' U2 F2 U L' R U'
B' U2 F2 U R L' U'
B2 U2 F2 U L' R U'
B2 U2 F2 U R L' U'
U F L2 F' L' R U
U F L2 F' R L' U
F2 U2 F2 U' L' R U
F2 U2 F2 U' R L' U
B' U2 B U' L' R U
B' U2 B U' R L' U
B U2 F2 U L' R U'
B U2 F2 U R L' U'
B2 U2 B U' L' R U
B2 U2 B U' R L' U
F2 U2 B U L' R U'
F2 U2 B U R L' U'
B' U2 B' U' L' R U
B' U2 B' U' R L' U
B U2 B U' L' R U
B U2 B U' R L' U
B2 U2 B' U' L' R U
B2 U2 B' U' R L' U
F2 U2 B' U L' R U'
F2 U2 B' U R L' U'
B' U2 B2 U' L' R U
B' U2 B2 U' R L' U
B U2 B' U' L' R U
B U2 B' U' R L' U
B2 U2 B2 U' L' R U
B2 U2 B2 U' R L' U
F2 U2 B2 U L' R U'
F2 U2 B2 U R L' U'
B U2 B2 U' L' R U
B U2 B2 U' R L' U
U F D' F' L' U F
B' D U L' R U D
B' D U L' R U D'
B' D U L' R U D2
B' D U L' R D U
B' D U L' R D' U
B' D U L' R D2 U
B' D U L' D R U
B' D U L' D' R U
B' D U L' D2 R U
B' D U R L' U D
B' D U R L' U D'
B' D U R L' U D2
B' D U R L' D U
B' D U R L' D' U
B' D U R L' D2 U
B' D U R D L' U
B' D U R D' L' U
B' D U R D2 L' U
B2 D U L' R U D
B2 D U L' R U D'
B2 D U L' R U D2
B2 D U L' R D U
B2 D U L' R D' U
B2 D U L' R D2 U
B2 D U L' D R U
B2 D U L' D' R U
B2 D U L' D2 R U
B2 D U R L' U D
B2 D U R L' U D'
B2 D U R L' U D2
B2 D U R L' D U
B2 D U R L' D' U
B2 D U R L' D2 U
B2 D U R D L' U
B2 D U R D' L' U
B2 D U R D2 L' U
F' D U' R' U' F' B
F' D U' R' U' B F'
B D U L' R U D
B D U L' R U D'
B D U L' R U D2
B D U L' R D U
B D U L' R D' U
B D U L' R D2 U
F2 D U' L' R U' D
F2 D U' L' R U' D'
F2 D U' L' R U' D2
F2 D U' L' R D U'
F2 D U' L' R D' U'
F2 D U' L' R D2 U'
B D U L' D R U
B D U L' D' R U
B D U L' D2 R U
F2 D U' L' D R U'
F2 D U' L' D' R U'
F2 D U' L' D2 R U'
B D U R L' U D
B D U R L' U D'
B D U R L' U D2
B D U R L' D U
B D U R L' D' U
B D U R L' D2 U
F2 D U' R L' U' D
F2 D U' R L' U' D'
F2 D U' R L' U' D2
F2 D U' R L' D U'
F2 D U' R L' D' U'
F2 D U' R L' D2 U'
B D U R D L' U
B D U R D' L' U
B D U R D2 L' U
F2 D U' R D L' U'
F2 D U' R D' L' U'
F2 D U' R D2 L' U'
F D U' R U' F' B
F D U' R U' B F'
F D F U' R U' F'
B' D F2 U' L' R U'
B' D F2 U' R L' U'
B2 D F2 U' L' R U'
B2 D F2 U' R L' U'
F2 D F2 U L' R U
F2 D F2 U R L' U
B' D B U L' R U
B' D B U R L' U
B D F2 U' L' R U'
B D F2 U' R L' U'
B2 D B U L' R U
B2 D B U R L' U
U F' R F L' R U
U F' R F R L' U
F2 D B U' L' R U'
F2 D B U' R L' U'
B' D B' U L' R U
B' D B' U R L' U
B D B U L' R U
B D B U R L' U
B2 D B' U L' R U
B2 D B' U R L' U
U F' R' F L' R U
U F' R' F R L' U
F2 D B' U' L' R U'
F2 D B' U' R L' U'
B' D B2 U L' R U
B' D B2 U R L' U
B D B' U L' R U
B D B' U R L' U
B2 D B2 U L' R U
B2 D B2 U R L' U
U F' R2 F L' R U
U F' R2 F R L' U
F2 D B2 U' L' R U'
F2 D B2 U' R L' U'
B D B2 U L' R U
B D B2 U R L' U
B' D' U L' R U D
B' D' U L' R U D'
B' D' U L' R U D2
B' D' U L' R D U
B' D' U L' R D' U
B' D' U L' R D2 U
B' D' U L' D R U
B' D' U L' D' R U
B' D' U L' D2 R U
B' D' U R L' U D
B' D' U R L' U D'
B' D' U R L' U D2
B' D' U R L' D U
B' D' U R L' D' U
B' D' U R L' D2 U
B' D' U R D L' U
B' D' U R D' L' U
B' D' U R D2 L' U
F' D' U L U F B'
F' D' U L U B' F
B2 D' U L' R U D
B2 D' U L' R U D'
B2 D' U L' R U D2
B2 D' U L' R D U
B2 D' U L' R D' U
B2 D' U L' R D2 U
B2 D' U L' D R U
B2 D' U L' D' R U
B2 D' U L' D2 R U
B2 D' U R L' U D
B2 D' U R L' U D'
B2 D' U R L' U D2
B2 D' U R L' D U
B2 D' U R L' D' U
B2 D' U R L' D2 U
B2 D' U R D L' U
B2 D' U R D' L' U
B2 D' U R D2 L' U
U' F2 L R F2 L2 U'
F2 D' U' L' R U' D
F2 D' U' L' R U' D'
F2 D' U' L' R U' D2
B D' U L' R U D
B D' U L' R U D'
B D' U L' R U D2
F2 D' U' L' R D U'
F2 D' U' L' R D' U'
F2 D' U' L' R D2 U'
B D' U L' R D U
B D' U L' R D' U
B D' U L' R D2 U
F2 D' U' L' D R U'
B D' U L' D R U
F2 D' U' L' D' R U'
B D' U L' D' R U
F2 D' U' L' D2 R U'
B D' U L' D2 R U
B D' U R L' U D
B D' U R L' U D'
B D' U R L' U D2
B D' U R L' D U
F2 D' U' R L' U' D
F2 D' U' R L' U' D'
F2 D' U' R L' U' D2
B D' U R L' D' U
B D' U R L' D2 U
F2 D' U' R L' D U'
F2 D' U' R L' D' U'
F2 D' U' R L' D2 U'
B D' U R D L' U
F2 D' U' R D L' U'
B D' U R D' L' U
F2 D' U' R D' L' U'
B D' U R D2 L' U
F2 D' U' R D2 L' U'
U' F2 L' R U' D R2
U' F2 L' R D U' R2
U' F2 L' R F2 U' D
U' F2 L' R F2 U' D'
U' F2 L' R F2 U' D2
U' F2 L' R F2 D U'
U' F2 L' R F2 D' U'
U' F2 L' R F2 D2 U'
U' F2 L' R' F2 R2 U'
U' F2 L' R2 F2 R' U'
F D' U L' U F B'
F D' U L' U B' F
U' F2 L' D R U' R
U' F2 L' F2 U2 L' U
U2 F2 L' R U' L R'
U2 F2 L' R U' R' L
U' F2 L2 R F2 L U'
U' F2 R L F2 L2 U'
U' F2 R L' U' D R2
U' F2 R L' D U' R2
U' F2 R L' F2 U' D
U' F2 R L' F2 U' D'
U' F2 R L' F2 U' D2
U' F2 R L' F2 D U'
U' F2 R L' F2 D' U'
U' F2 R L' F2 D2 U'
U' F2 R L2 F2 L U'
U' F2 R D L' U' R2
U' F2 R F2 U2 R U
U' F2 R' L' F2 R2 U'
U2 F2 R L' U' L R'
U2 F2 R L' U' R' L
B' D' F2 U' L' R U'
B' D' F2 U' R L' U'
B2 D' F2 U' L' R U'
B2 D' F2 U' R L' U'
F2 D' F2 U L' R U
F2 D' F2 U R L' U
F D' F' U L' U F
U' F2 R2 L' F2 R' U'
B' D' B U L' R U
B' D' B U R L' U
B2 D' B U L' R U
B2 D' B U R L' U
B D' F2 U' L' R U'
B D' F2 U' R L' U'
F2 D' B U' L' R U'
F2 D' B U' R L' U'
B' D' B' U L' R U
B' D' B' U R L' U
B D' B U L' R U
B D' B U R L' U
B2 D' B' U L' R U
B2 D' B' U R L' U
F2 D' B' U' L' R U'
F2 D' B' U' R L' U'
B' D' B2 U L' R U
B' D' B2 U R L' U
U2 F2 U L' R U' D
U2 F2 U L' R U' D'
U2 F2 U L' R U' D2
U2 F2 U L' R D U'
U2 F2 U L' R D' U'
U2 F2 U L' R D2 U'
U2 F2 U L' D R U'
U2 F2 U L' D' R U'
U2 F2 U L' D2 R U'
U2 F2 U R L' U' D
U2 F2 U R L' U' D'
U2 F2 U R L' U' D2
U2 F2 U R L' D U'
U2 F2 U R L' D' U'
U2 F2 U R L' D2 U'
U2 F2 U R D L' U'
U2 F2 U R D' L' U'
U2 F2 U R D2 L' U'
D2 F2 U' L' R U' D
D2 F2 U' L' R U' D'
D2 F2 U' L' R U' D2
D2 F2 U' L' R D U'
D2 F2 U' L' R D' U'
D2 F2 U' L' R D2 U'
D2 F2 U' L' D R U'
D2 F2 U' L' D' R U'
D2 F2 U' L' D2 R U'
D' F2 U' L' R U' D
D' F2 U' L' R U' D'
D' F2 U' L' R U' D2
D' F2 U' L' R D U'
D' F2 U' L' R D' U'
D' F2 U' L' R D2 U'
D' F2 U' L' D R U'
D' F2 U' L' D' R U'
D' F2 U' L' D2 R U'
D2 F2 U' R L' U' D
D2 F2 U' R L' U' D'
D2 F2 U' R L' U' D2
D2 F2 U' R L' D U'
D2 F2 U' R L' D' U'
D2 F2 U' R L' D2 U'
U2 F2 U D L' R U'
D2 F2 U' R D L' U'
U2 F2 U D R L' U'
D2 F2 U' R D' L' U'
D' F2 U' R L' U' D
D' F2 U' R L' U' D'
D' F2 U' R L' U' D2
D' F2 U' R L' D U'
D' F2 U' R L' D' U'
D' F2 U' R L' D2 U'
D2 F2 U' R D2 L' U'
D' F2 U' R D L' U'
D' F2 U' R D' L' U'
D' F2 U' R D2 L' U'
U2 F2 U D' L' R U'
U2 F2 U D' R L' U'
U2 F2 U D2 L' R U'
B D' B' U L' R U
U2 F2 U D2 R L' U'
B D' B' U R L' U
B2 D' B2 U L' R U
B2 D' B2 U R L' U
D2 F2 U' D L' R U'
D2 F2 U' D R L' U'
D' F2 U' D L' R U'
D' F2 U' D R L' U'
D2 F2 U' D' L' R U'
D2 F2 U' D' R L' U'
D' F2 U' D' L' R U'
D' F2 U' D' R L' U'
D2 F2 U' D2 L' R U'
D2 F2 U' D2 R L' U'
D' F2 U' D2 L' R U'
D' F2 U' D2 R L' U'
F2 D' B2 U' L' R U'
F2 D' B2 U' R L' U'
B D' B2 U L' R U
B D' B2 U R L' U
D F2 U' L' R U' D
D F2 U' L' R U' D'
D F2 U' L' R U' D2
D F2 U' L' R D U'
D F2 U' L' R D' U'
D F2 U' L' R D2 U'
D F2 U' L' D R U'
D F2 U' L' D' R U'
D F2 U' L' D2 R U'
D F2 U' R L' U' D
D F2 U' R L' U' D'
D F2 U' R L' U' D2
D F2 U' R L' D U'
D F2 U' R L' D' U'
D F2 U' R L' D2 U'
D F2 U' R D L' U'
D F2 U' R D' L' U'
D F2 U' R D2 L' U'
U' F2 D L' R U' R
D F2 U' D L' R U'
D F2 U' D R L' U'
U' F2 D R L' U' R
D F2 U' D' L' R U'
D F2 U' D' R L' U'
D F2 U' D2 L' R U'
D F2 U' D2 R L' U'
D2 F2 D U' L' R U'
D2 F2 D U' R L' U'
D' F2 D U' L' R U'
D' F2 D U' R L' U'
U2 F2 D U L' R U'
U2 F2 D U R L' U'
D2 F2 D' U' L' R U'
D2 F2 D' U' R L' U'
D' F2 D' U' L' R U'
D' F2 D' U' R L' U'
D F2 D U' L' R U'
D F2 D U' R L' U'
U2 F2 D' U L' R U'
U2 F2 D' U R L' U'
D2 F2 D2 U' L' R U'
D2 F2 D2 U' R L' U'
D' F2 D2 U' L' R U'
D' F2 D2 U' R L' U'
D F2 D' U' L' R U'
D F2 D' U' R L' U'
U2 F2 D2 U L' R U'
U2 F2 D2 U R L' U'
D2 F2 B U' L' R U'
D2 F2 B U' R L' U'
D' F2 B U' L' R U'
D' F2 B U' R L' U'
D F2 D2 U' L' R U'
D F2 D2 U' R L' U'
U2 F2 B U L' R U'
U2 F2 B U R L' U'
D2 F2 B' U' L' R U'
D2 F2 B' U' R L' U'
D' F2 B' U' L' R U'
D' F2 B' U' R L' U'
B' D2 U L' R U D
B' D2 U L' R U D'
B' D2 U L' R U D2
B' D2 U L' R D U
B' D2 U L' R D' U
B' D2 U L' R D2 U
B' D2 U L' D R U
B' D2 U L' D' R U
B' D2 U L' D2 R U
B' D2 U R L' U D
B' D2 U R L' U D'
B' D2 U R L' U D2
B' D2 U R L' D U
B' D2 U R L' D' U
B' D2 U R L' D2 U
B' D2 U R D L' U
B' D2 U R D' L' U
B' D2 U R D2 L' U
D F2 B U' L' R U'
D F2 B U' R L' U'
B2 D2 U L' R U D
B2 D2 U L' R U D'
B2 D2 U L' R U D2
B2 D2 U L' R D U
B2 D2 U L' R D' U
B2 D2 U L' R D2 U
B2 D2 U L' D R U
U2 F2 B' U L' R U'
B2 D2 U L' D' R U
B2 D2 U L' D2 R U
U2 F2 B' U R L' U'
D2 F2 B2 U' L' R U'
D2 F2 B2 U' R L' U'
B2 D2 U R L' U D
B2 D2 U R L' U D'
B2 D2 U R L' U D2
B2 D2 U R L' D U
B2 D2 U R L' D' U
B2 D2 U R L' D2 U
D' F2 B2 U' L' R U'
D' F2 B2 U' R L' U'
B2 D2 U R D L' U
B2 D2 U R D' L' U
B2 D2 U R D2 L' U
D F2 B' U' L' R U'
D F2 B' U' R L' U'
U2 F2 B2 U L' R U'
U2 F2 B2 U R L' U'
B D2 U L' R U D
B D2 U L' R U D'
B D2 U L' R U D2
B D2 U L' R D U
B D2 U L' R D' U
B D2 U L' R D2 U
F2 D2 U' L' R U' D
F2 D2 U' L' R U' D'
F2 D2 U' L' R U' D2
