F' U2 L' F
F' R U2 L' F
F' R' U2 L' F
F' R2 U2 L' F
F' U2 L' D F
F' U2 L' D' F
F' U2 L' D2 F
F' U2 L' F D
F' U2 L' F D'
F' U2 L' F D2
F' B U2 L' F
F' B U2 L' F
B' F' U2 L' F
F' B' U2 L' F
B2 F' U2 L' F
B F' U2 L' F
F' B2 U2 L' F
R B' F' U2 L' F B'
R B' F' U2 L' B' F
F' B' D2 R U2 L' F'
F' B' D2 R' B U2 L'
B2 F' D2 R U2 L' F'
B2 F' D2 R' B U2 L'
B F' D2 R U2 L' F'
B F' D2 R' B U2 L'
L2 B2 L2 F' U2 L' F
R' B2 R F' U2 L' F
F' B2 L B' L' U2 L'
F B' D2 R U2 F' B2
F B' D2 R U2 B2 F'
L B2 L' F' B U2 L'
L B2 L' B F' U2 L'
D2 B2 R2 U2 B L F
B' F2 R F U2 L' F
F' B2 R U2 L' D F
F' B2 R U2 L' D' F
F' B2 R U2 L' D2 F
F' B2 R U2 L' F D
F' B2 R U2 L' F D'
F' B2 R U2 L' F D2
U' B2 U F' U2 L' F
F' B2 R B U2 L' F
B2 F2 R F U2 L' F
F' B2 R B' U2 L' F
F' B2 R B2 U2 L' F
F2 B2 R F U2 L' F
B' F2 R' F U2 L' F
F' B2 R' U2 L' D F
F' B2 R' U2 L' D' F
F' B2 R' U2 L' D2 F
F' B2 R' U2 L' F D
F' B2 R' U2 L' F D'
F' B2 R' U2 L' F D2
R B2 R' F' U2 L' F
F' B2 R' B U2 L' F
B2 F2 R' F U2 L' F
B F2 R F U2 L' F
F' B2 R' B' U2 L' F
F' B2 R' B2 U2 L' F
F2 B2 R' F U2 L' F
B' F2 R2 F U2 L' F
F' B2 R2 U2 L' D F
F' B2 R2 U2 L' D' F
F' B2 R2 U2 L' D2 F
F' B2 R2 U2 L' F D
F' B2 R2 U2 L' F D'
F' B2 R2 U2 L' F D2
B2 F2 R2 F U2 L' F
F' B2 R2 B U2 L' F
B F2 R' F U2 L' F
F' B2 R2 B' U2 L' F
F' B2 R2 B2 U2 L' F
F2 B2 R2 F U2 L' F
F' B2 U R U L' F
F' B2 U R' U L' F
F' B2 U R2 U L' F
B F2 R2 F U2 L' F
F' B2 U' L U' L2 F
B' F2 U2 L' F L' B'
F' B2 U' B U' L' F
F' B2 U' B' U' L' F
F' B2 U' B2 U' L' F
F' B2 U2 L F L2 F
F' B2 U2 L F' L2 F
F' B2 U2 L F2 L2 F
F' B2 U2 L' R F R'
F' B2 U2 L' R2 F R2
F' B2 U2 L' D F D
F' B2 U2 L' D F D'
F' B2 U2 L' D F D2
F' B2 U2 L' D' F D
F' B2 U2 L' D' F D'
F' B2 U2 L' D' F D2
F' B2 U2 L' D2 F D
F' B2 U2 L' D2 F D'
F' B2 U2 L' D2 F D2
F' B2 U2 L' F2 D F'
F' B2 U2 L' F2 D' F'
F' B2 U2 L' F2 D2 F'
F' B2 U2 L2 D L F
F' B2 U2 L2 D' L F
F' B2 U2 L2 D2 L F
F' B2 U2 L2 F L F
F' B2 U2 L2 F' L F
F' B2 U2 L2 F2 L F
F' B2 U2 R L' F R'
B2 F2 U2 L' F L' B'
F' B2 U2 R2 L' F R2
F2 B2 U2 L' F L' B'
F' B2 U2 F' L' F L'
D2 B2 D2 F' U2 L' F
F' B2 U2 B' L' F B
F' B2 U2 B' L' B F
F' B2 U2 B2 L' F B2
F' B2 U2 B2 L' B2 F
B F2 U2 L' F L' B'
D2 B2 F R F2 U2 F
D B2 D' F' U2 L' F
L' B2 F R' D2 L2 B2
L' B2 F R' D2 B2 L2
D2 B2 F' R U2 L' F'
D2 B2 F' R' B U2 L'
D2 B2 F' U2 D2 L' F
D2 B2 F' D2 U2 L' F
L' B2 F' U2 L' R' F2
L' B2 F' U2 L' F2 R'
L' B2 F' U2 R' L' F2
F' B2 D2 R U2 L' F'
F' B2 D2 R' B U2 L'
U2 B2 F2 L2 B' L F
D B2 F' U R U L'
R2 B2 F' U2 B' L' F
F B2 D2 R U2 F' B2
F B2 D2 R U2 B2 F'
R B2 F' U2 L' F B'
R B2 F' U2 L' B' F
