D' L2 U L R2
D' L2 U R2 L
B2 U L' D2 B2
B2 U D2 L' B2
B2 U D2 B2 L'
B2 U' F2 R U2
B2 D' L2 U L
B2 D2 U L' B2
B2 D2 U B2 L'
U F2 U2 F2 L' D' R2
U F2 U2 F2 D' L' R2
U F2 U2 F2 D' R2 L'
U' F2 D2 R U' F2 U'
U' F2 D2 R U2 D R2
U' F2 D2 R D U2 R2
U' F2 D2 R D' L2 U2
R2 F2 D B2 L2 R U2
R2 F2 D B2 R L2 U2
U' F2 D2 U' F2 U' L'
R2 F2 D' R U2 R F2
R2 F2 D' U2 F2 L' R2
R2 F2 D' U2 F2 R2 L'
B2 D2 U L B L2 B
B2 D2 U L B2 L2 D
B2 D2 U L B2 L2 D'
B2 D2 U L B2 L2 D2
B2 D2 U L' R' B2 R
B2 D2 U L' R2 B2 R2
B2 D2 U L' B D B
B2 D2 U L' B D' B
B2 D2 U L' B D2 B
B2 D2 U L' B' D B'
B2 D2 U L' B' D' B'
B2 D2 U L' B' D2 B'
B2 D2 U R' L' B2 R
B2 D2 U R' B2 L' R
B2 D2 U R' B2 R L'
B2 D2 U R2 L' B2 R2
B2 D2 U R2 B2 L' R2
B2 D2 U R2 B2 R2 L'
B2 D2 U B L B L2
B2 D2 U B L' D B
B2 D2 U B L' D' B
B2 D2 U B L' D2 B
B2 D2 U B L' B D
B2 D2 U B L' B D'
B2 D2 U B L' B D2
B2 D2 U B D L' B
B2 D2 U B D B L'
B2 D2 U B D' L' B
B2 D2 U B D' B L'
B2 D2 U B D2 L' B
B2 D2 U B D2 B L'
B2 D2 U B' D B' L'
B2 D2 U B' D' B' L'
B2 D2 U B' D2 B' L'
B2 D2 U B2 L2 D L
B2 D2 U B2 L2 D' L
B2 D2 U B2 L2 D2 L
B2 D2 U B2 D L' D
B2 D2 U B2 D L' D'
B2 D2 U B2 D L' D2
B2 D2 U B2 D' L' D
B2 D2 U B2 D' L' D'
B2 D2 U B2 D' L' D2
B2 D2 U B2 D2 L' D
B2 D2 U B2 D2 L' D'
B2 D2 U B2 D2 L' D2
B2 D2 U' R U2 L' B2
B2 D2 U' R U2 B2 L'
B2 D2 U' R' U2 L' B2
B2 D2 U' R' U2 B2 L'
B2 D2 U' R2 U2 L' B2
B2 D2 U' R2 U2 B2 L'
B2 D2 U' F2 R U2 B2
B2 D2 U2 R U' L' B2
B2 D2 U2 R U' B2 L'
B2 D2 U2 R' U' L' B2
B2 D2 U2 R' U' B2 L'
B2 D2 U2 R2 U' L' B2
B2 D2 U2 R2 U' B2 L'
L F2 B2 U L2 D' B2
B2 D2 U2 B U' L' B
B2 D2 U2 B U' B L'
B2 D2 U2 B' U' B' L'
D' B L2 U L R2 D
D' B L2 U L R2 D'
D' B L2 U L R2 D2
D' B L2 U R2 L D
D' B L2 U R2 L D'
D' B L2 U R2 L D2
D' B L2 U R2 D L
D' B L2 U R2 D' L
D' B L2 U R2 D2 L
D' B L2 F U L R2
D' B L2 F U R2 L
D' B L2 F' U L R2
D' B L2 F' U R2 L
D' B L2 F2 U L R2
D' B L2 F2 U R2 L
B2 D2 F2 U' R U2 B2
D' B R2 D' L' F2 B2
D' B R2 D' L' B2 F2
D' B R2 D' B2 L' F2
B' D2 B' U D B' L'
B' D2 B' U D' B' L'
B' D2 B' U D2 B' L'
B' D2 B' U B L' B2
B' D2 B' U B' L' D
B' D2 B' U B' L' D'
B' D2 B' U B' L' D2
B' D2 B' U B' D L'
B' D2 B' U B' D' L'
B' D2 B' U B' D2 L'
B' D2 B' U B2 L' B
B D2 B L U L2 B
B D2 B L U B L2
B' D2 B' D U B' L'
B D2 B L2 U L B
B' D2 B' D' U B' L'
D2 B U L' D B R2
D2 B U L' B D R2
B' D2 B' D2 U B' L'
B D2 B U L B L2
B D2 B U L' D B
B D2 B U L' D' B
B D2 B U L' D2 B
B D2 B U L' B D
B D2 B U L' B D'
B D2 B U L' B D2
B D2 B U D L' B
B D2 B U D B L'
B D2 B U D' L' B
B D2 B U D' B L'
B D2 B U D2 L' B
B D2 B U D2 B L'
B D2 B U B L' D
B D2 B U B L' D'
B D2 B U B L' D2
B D2 B U B D L'
B D2 B U B D' L'
B D2 B U B D2 L'
B D2 B U B' L' B2
D2 B U D L' B R2
D' B U R2 D' L' B2
D2 B U D B L' R2
D' B U R2 D' B2 L'
D2 B U D B R2 L'
B D2 B D U L' B
B D2 B D U B L'
B D2 B D' U L' B
B D2 B D' U B L'
B D2 B D2 U L' B
B D2 B D2 U B L'
D2 B U B L' D R2
D2 B U B D L' R2
D2 B U B D R2 L'
D2 B D U L' B R2
D2 B D U B L' R2
D2 B D U B R2 L'
L' B D' L2 B U L2
B2 F L2 F' U B' L'
L' B D' B L2 U L2
F2 B R U R' B U
D2 B D2 B2 U B' L'
D B D2 L2 U L R2
D B D2 L2 U R2 L
B2 F U L2 D' B' L
D' B' L2 U L R2 D
D' B' L2 U L R2 D'
D' B' L2 U L R2 D2
D' B' L2 U R2 L D
D' B' L2 U R2 L D'
D' B' L2 U R2 L D2
D' B' L2 U R2 D L
D' B' L2 U R2 D' L
D' B' L2 U R2 D2 L
D' B' L2 F U L R2
D' B' L2 F U R2 L
D' B' L2 F' U L R2
D' B' L2 F' U R2 L
D' B' L2 F2 U L R2
D' B' L2 F2 U R2 L
D' B' R2 D' L' F2 B2
D' B' R2 D' L' B2 F2
D' B' R2 D' B2 L' F2
B2 F' L U' F' R U2
D2 B' U D R2 B' L'
D2 B' U D B' L' R2
D2 B' U D B' R2 L'
D' B' U R2 D' L' B2
D' B' U R2 D' B2 L'
B2 F' L' U' F' R U2
D2 B' U B' L' D R2
D2 B' U B' D L' R2
D2 B' U B' D R2 L'
B2 F' L2 U' F' R U2
F2 B' R U R' B' U
D2 B' D U R2 B' L'
D2 B' D U B' L' R2
D2 B' D U B' R2 L'
L' B' D' B' L2 U L2
D2 B' D2 B2 U L' B
D2 B' D2 B2 U B L'
D B' D2 L2 U L R2
D B' D2 L2 U R2 L
L B' D' B' L2 F U
B2 F' U' F' R U2 D
B2 F' U' F' R U2 D'
B2 F' U' F' R U2 D2
B2 F' U' F' R D U2
B2 F' U' F' R D' U2
B2 F' U' F' R D2 U2
B2 F' U' F' D R U2
B2 F' U' F' D' R U2
B2 F' U' F' D2 R U2
L' B2 L U L' D2 B2
L' B2 L U D2 L' B2
L' B2 L U D2 B2 L'
L' B2 L U' F2 R U2
L' B2 L D' L2 U L
L' B2 L D2 U L' B2
L' B2 L D2 U B2 L'
L2 B2 L U D2 B2 L
L2 B2 L U' R' F2 U2
L2 B2 L U' F2 R' U2
D2 B2 L' U F2 U' F2
D2 B2 L' D R2 D' F2
L' B2 L' U L D2 B2
L2 B2 L D2 U B2 L
L' B2 L' U D2 L B2
L' B2 L' U' F2 U2 L
L' B2 L' D' L2 U L'
L' B2 L' D2 U L B2
L2 B2 L' U D2 B2 L
L2 B2 L' U' R' F2 U2
L2 B2 L' U' F2 R' U2
D' B2 L2 U L R2 D
D' B2 L2 U L R2 D'
D' B2 L2 U L R2 D2
D' B2 L2 U R2 L D
D' B2 L2 U R2 L D'
D' B2 L2 U R2 L D2
D' B2 L2 U R2 D L
D' B2 L2 U R2 D' L
D' B2 L2 U R2 D2 L
L' B2 L2 U L2 D2 B2
L2 B2 L' D2 U B2 L
L B2 L U L D2 B2
L B2 L U D2 L B2
L' B2 L2 U' F2 U2 L2
L B2 L U' F2 U2 L
D' B2 L2 F U L R2
D' B2 L2 F U R2 L
L B2 L D' L2 U L'
D' B2 L2 F' U L R2
D' B2 L2 F' U R2 L
L' B2 L2 F U L2 B'
L B2 L D2 U L B2
D' B2 L2 F2 U L R2
D' B2 L2 F2 U R2 L
L2 B2 L2 U D2 B2 L
F' B2 L U' F' R U2
R' B2 R U L' D2 B2
L2 B2 L2 U' R' F2 U2
R' B2 R U D2 L' B2
R' B2 R U D2 B2 L'
L2 B2 L2 U' F2 R' U2
R' B2 R U' F2 R U2
R' B2 R D' L2 U L
L2 B2 L2 D2 U B2 L
L B2 L' U L' D2 B2
R' B2 R D2 U L' B2
R' B2 R D2 U B2 L'
L B2 L' U D2 L' B2
L B2 L' U D2 B2 L'
L B2 L' U' F2 R U2
L B2 L' D' L2 U L
L B2 L' D2 U L' B2
L B2 L' D2 U B2 L'
U B2 L' D2 B2 D' R2
F' B2 L' U' F' R U2
L B2 L2 D' L2 U L2
F' B2 L2 U' F' R U2
D2 B2 R2 D' L' F2 R
B' F2 R U R' B' U
D' B2 R2 D' L' F2 B2
D' B2 R2 D' L' B2 F2
D' B2 R2 D' B2 L' F2
U' B2 U L' D2 F2 B2
U' B2 U L' D2 B2 F2
U' B2 U D2 L' F2 B2
U' B2 U D2 L' B2 F2
B2 F2 R U R' U R
U' B2 U D2 B2 L' F2
F2 B2 R U R' U R
D' B2 U R2 D' L' B2
D' B2 U R2 D' B2 L'
R2 B2 R2 U L' D2 B2
R2 B2 R2 U D2 L' B2
R2 B2 R2 U D2 B2 L'
D2 B2 U F2 U' F2 L'
R2 B2 R2 U' F2 R U2
L' B2 U D2 B2 D L2
L2 B2 U L D2 B2 L
R2 B2 R2 D' L2 U L
L2 B2 U L' D2 B2 L
R2 B2 R2 D2 U L' B2
R2 B2 R2 D2 U B2 L'
L2 B2 U L2 D2 B2 L
B F2 R U R' B U
F B2 L2 F' U B' L'
U' B2 U' F2 R B2 U2
L2 B2 U D2 L B2 L
L2 B2 U D2 L' B2 L
L2 B2 U D2 L2 B2 L
U' B2 U' F2 B2 R U2
L2 B2 U D2 B2 L D
L2 B2 U D2 B2 L D'
L2 B2 U D2 B2 L D2
L2 B2 U D2 B2 D L
L2 B2 U D2 B2 D' L
L2 B2 U D2 B2 D2 L
U' B2 U' B2 F2 R U2
U2 B2 U F2 R U2 R'
L2 B2 U B2 L D2 B2
L2 B2 U B2 D2 L B2
L' B2 U' F2 U F2 U
L' B2 U' F2 U2 D' L2
L' B2 U' F2 D R2 U2
L' B2 U' F2 D' U2 L2
U2 B2 U' L' D2 B2 R'
L2 B2 U' R F2 R2 U2
L2 B2 U' R' U2 D2 B2
L2 B2 U' R' D2 U2 B2
L2 B2 U' R' F2 U2 D
L2 B2 U' R' F2 U2 D'
L2 B2 U' R' F2 U2 D2
L2 B2 U' R' F2 D U2
L2 B2 U' R' F2 D' U2
L2 B2 U' R' F2 D2 U2
L2 B2 U' R2 F2 U2 L'
L B2 U L D2 L B2
L2 B2 U' D2 R' U2 B2
L B2 U L' D2 L' B2
L B2 U L' D2 B2 L'
U2 B2 U' D2 L' B2 R'
L2 B2 U' F R' F U2
L B2 U L2 U2 F2 U2
L B2 U L2 D2 B2 D
L B2 U L2 D2 B2 D'
L B2 U L2 D2 B2 D2
L B2 U L2 B D2 B2
L B2 U L2 B' D2 B2
L B2 U L2 B2 D2 B2
L2 B2 U' F2 R' U2 D
L2 B2 U' F2 R' U2 D'
L2 B2 U' F2 R' U2 D2
L2 B2 U' F2 R' D U2
L2 B2 U' F2 R' D' U2
L2 B2 U' F2 R' D2 U2
L2 B2 U' F2 D R' U2
L2 B2 U' F2 D' R' U2
L2 B2 U' F2 D2 R' U2
U2 B2 U' F2 R U2 F2
U2 B2 U' F2 U2 F2 L'
L B2 U D2 B2 D2 L2
L B2 U F L2 F' B'
L B2 U F L2 B' F'
D2 B2 D L' R2 D' F2
L B2 U B L2 D2 B2
L B2 U B' L2 D2 B2
L B2 U B2 L2 D2 B2
D2 B2 D R2 L' D' F2
D2 B2 D R2 D' L' F2
L B2 U' R F2 U2 L2
L B2 U' R' F2 U2 L2
L B2 U' R2 F2 U2 L2
U' B2 D' L2 R2 U L
L B2 U' D2 R2 U2 B2
L B2 U' F U2 L2 B'
U' B2 D' R2 L2 U L
R' B2 D' L2 R U L
L B2 U' F2 R U2 L2
L B2 U' F2 R' U2 L2
L B2 U' F2 R2 U2 L2
L B2 U' F2 U2 L2 D
L B2 U' F2 U2 L2 D'
L B2 U' F2 U2 L2 D2
L B2 U' F2 D2 R2 U2
R' B2 D' R L2 U L
B2 F2 U' R U' R' U'
L' B2 D' L2 U L2 D
L' B2 D' L2 U L2 D'
L' B2 D' L2 U L2 D2
L' B2 D' L2 D F2 U
L' B2 D' L2 F U L2
L' B2 D' L2 F' U L2
L' B2 D' L2 F2 U L2
F2 B2 U' R U' R' U'
F' B2 U' F' R U2 D
F' B2 U' F' R U2 D'
F' B2 U' F' R U2 D2
F' B2 U' F' R D U2
F' B2 U' F' R D' U2
F' B2 U' F' R D2 U2
F' B2 U' F' D R U2
F' B2 U' F' D' R U2
F' B2 U' F' D2 R U2
L' B2 D' F L2 U L2
F B2 U L2 D' B' L
L' B2 D' F' L2 U L2
L' B2 D' F2 L2 U L2
L2 B2 D' L2 U' R' U2
U' B2 D2 U L' F2 B2
U' B2 D2 U L' B2 F2
U' B2 D2 U B2 L' F2
R' B2 D2 R U L' B2
R' B2 D2 R U B2 L'
L' B2 D2 L U L' B2
L' B2 D2 L U B2 L'
L' B2 D2 L' U L B2
L' B2 D2 L2 U L2 B2
L' B2 D2 L2 U B2 L2
R2 B2 D' L2 U L F2
R2 B2 D' L2 U F2 L
L' B2 D2 U B2 D L2
D2 B2 D2 B2 U L' B2
D2 B2 D2 B2 U B2 L'
L2 B2 D2 L U B2 L
L2 B2 D2 L' U B2 L
L2 B2 D2 L2 U B2 L
L B2 D F2 U D B2
L B2 D F2 U2 R2 U'
L B2 D F2 D U B2
L B2 D F2 D2 L2 U
L2 B2 D2 U L B2 L
L2 B2 D2 U L' B2 L
L2 B2 D2 U L2 B2 L
L2 B2 D2 U B2 L D
L2 B2 D2 U B2 L D'
L2 B2 D2 U B2 L D2
L2 B2 D2 U B2 D L
L2 B2 D2 U B2 D' L
L2 B2 D2 U B2 D2 L
L' B2 F L2 U B' L2
L2 B2 D2 U' R' U2 B2
U2 B2 D2 U' L' B2 R'
L2 B2 D2 F U B2 L
L B2 D' L2 U D L2
L B2 D' L2 U2 B2 U'
L B2 D' L2 D U L2
L B2 D' L2 D2 F2 U
L2 B2 D2 F' U B2 L
L2 B2 D2 F2 U B2 L
D B2 D2 L2 U L R2
D B2 D2 L2 U R2 L
L2 B2 F U' R' F U2
L2 B2 F U' F R' U2
U B2 D2 L' B2 D' R2
L B2 D2 U B2 D2 L2
L B2 D2 U' R2 U2 B2
L2 B2 F' U' F' R' U2
U B2 D2 B2 L' D' R2
L B2 F L U L B'
U B2 D2 B2 D' L' R2
U B2 D2 B2 D' R2 L'
L B2 F U L2 D B'
L B2 F U L2 D' B'
L B2 F U L2 D2 B'
L B2 F U L2 B' D
L B2 F U L2 B' D'
L B2 F U L2 B' D2
L B2 F U B L2 B'
L B2 F U B' L2 B'
L B2 F U B2 L2 B'
L B2 F U' F U2 L2
L B2 F' U' F' U2 L2
L B2 F2 U L2 D' B2
