L2 R' F2 U' F'
R' L2 F2 U' F'
F2 L2 R' U' F
F2 R' L2 U' F
F2 R' U B' U2
R' F2 L2 U' F
R' F2 U B' U2
D B' U' B R' U' R'
R B' U' F2 B R2 U'
R B' U' B R2 F2 U'
R B' U' B F2 R2 U'
U B' D L U2 R2 B'
U B' D L U2 B' R2
U B' D L' F U2 R2
B' F' U' F' B R' U'
B' F' U' B F' R' U'
F' B' U' F' B R' U'
F' B' U' B F' R' U'
F2 B' U' B R' U' R
F B' U' F B R' U'
F B' U' B R' F U'
F B' U' B F R' U'
U2 B2 L U D R2 F'
U2 B2 L D U R2 F'
R' B2 U' D L2 R2 F'
R' B2 U' D R2 L2 F'
R' B2 U' D R2 F' L2
B2 F2 R' B2 R' U' F'
F2 B2 R' B2 R' U' F'
R B2 R2 F2 B2 U' F
R B2 R2 B2 F2 U' F
R' B2 D U' L2 R2 F'
R' B2 D U' R2 L2 F'
R' B2 D U' R2 F' L2
U2 B2 D L U R2 F'
B' F2 U' B R' U' R
R B2 D L2 R2 F' B2
R B2 D L2 R2 B2 F'
R B2 D R2 L2 F' B2
R B2 D R2 L2 B2 F'
R B2 D R2 F' L2 B2
R B2 D R2 F' B2 L2
R B2 D R2 B2 L2 F'
R B2 D R2 B2 F' L2
R B2 D B2 L2 R2 F
R B2 D B2 L2 F R2
R B2 D B2 R2 L2 F
B F2 D B' L2 R' U'
B F2 D B' R' L2 U'
B F2 D2 B' R' U' F2
R B2 F2 R2 B2 U' F'
