F2 U' F R B'
F2 U' F B' R
F2 U' B' F R
U' F R F2 B'
U' F R B' F2
U' F B' R F2
U' B' F R F2
D' F2 U' D' F B' R
R' F2 U' F R F' B'
R' F2 U' F R B' F'
D' F2 U' D' B' F R
D2 F2 U' D2 F R B'
D2 F2 U' D2 F B' R
D2 F2 U' D2 B' F R
D' F2 U' D2 F R B'
R' F2 U' F B' R F'
D' F2 U' D2 F B' R
D2 F2 U' F R D B'
D2 F2 U' F R D' B'
D2 F2 U' F R D2 B'
D2 F2 U' F R B' D
D2 F2 U' F R B' D'
D2 F2 U' F R B' D2
D' F2 U' D2 B' F R
D2 F2 U' F R' B' R2
D' F2 U' F R D B'
D2 F2 U' F D R B'
D' F2 U' F R D' B'
D' F2 U' F R D2 B'
D' F2 U' F R B' D
D' F2 U' F R B' D'
D' F2 U' F R B' D2
D2 F2 U' F D B' R
D2 F2 U' F D' R B'
D' F2 U' F R' B' R2
D2 F2 U' F D' B' R
D2 F2 U' F D2 R B'
D2 F2 U' F D2 B' R
D2 F2 U' F B R B2
D2 F2 U' F B' R D
D2 F2 U' F B' R D'
D2 F2 U' F B' R D2
D2 F2 U' F B' D R
D2 F2 U' F B' D' R
D2 F2 U' F B' D2 R
D' F2 U' F D R B'
D' F2 U' F D B' R
D' F2 U' F D' R B'
D' F2 U' F D' B' R
D' F2 U' F D2 R B'
D' F2 U' F D2 B' R
D' F2 U' F B R B2
D' F2 U' F B' R D
D' F2 U' F B' R D'
D' F2 U' F B' R D2
D' F2 U' F B' D R
D' F2 U' F B' D' R
D' F2 U' F B' D2 R
D2 F2 U' B F R B2
R' F2 U' B' F R F'
D' F2 U' B F R B2
D2 F2 U' B' R F R
D2 F2 U' B' R' F R
D2 F2 U' B' R2 F R
D' F2 U' B' R F R
D2 F2 U' B' D F R
D' F2 U' B' R' F R
D2 F2 U' B' D' F R
D' F2 U' B' R2 F R
D2 F2 U' B' D2 F R
D2 F2 U' B' F R D
D2 F2 U' B' F R D'
D2 F2 U' B' F R D2
D2 F2 U' B' F D R
D2 F2 U' B' F D' R
D2 F2 U' B' F D2 R
D' F2 U' B' D F R
D' F2 U' B' D' F R
D' F2 U' B' D2 F R
D' F2 U' B' F R D
D' F2 U' B' F R D'
D' F2 U' B' F R D2
D' F2 U' B' F D R
D' F2 U' B' F D' R
D' F2 U' B' F D2 R
R2 F2 U B L U2 B2
R2 F2 U B U2 B2 R'
D F2 U' R F R B'
D F2 U' R F B' R
D F2 U' R B' F R
D F2 U' R' F R B'
D F2 U' R' F B' R
D F2 U' R' B' F R
D F2 U' R2 F R B'
D F2 U' R2 F B' R
D F2 U' R2 B' F R
D F2 U' D F R B'
D F2 U' D F B' R
D F2 U' D B' F R
D F2 U' D' F R B'
D F2 U' D' F B' R
D F2 U' D' B' F R
D F2 U' D2 F R B'
D F2 U' D2 F B' R
D F2 U' D2 B' F R
D F2 U' F R D B'
D F2 U' F R D' B'
D F2 U' F R D2 B'
D F2 U' F R B' D
D F2 U' F R B' D'
D F2 U' F R B' D2
D F2 U' F R' B' R2
D F2 U' F D R B'
D F2 U' F D B' R
D F2 U' F D' R B'
D F2 U' F D' B' R
D F2 U' F D2 R B'
D F2 U' F D2 B' R
D F2 U' F B R B2
D F2 U' F B' R D
D F2 U' F B' R D'
D F2 U' F B' R D2
D F2 U' F B' D R
D F2 U' F B' D' R
D F2 U' F B' D2 R
D F2 U' B F R B2
D F2 U' B' R F R
D F2 U' B' R' F R
D F2 U' B' R2 F R
D F2 U' B' D F R
D F2 U' B' D' F R
D F2 U' B' D2 F R
D F2 U' B' F R D
D F2 U' B' F R D'
D F2 U' B' F R D2
D F2 U' B' F D R
D F2 U' B' F D' R
D F2 U' B' F D2 R
D2 F2 D U' F R B'
D2 F2 D U' F B' R
D2 F2 D U' B' F R
D' F2 D U' F R B'
D' F2 D U' F B' R
D' F2 D U' B' F R
U F2 U2 R F R B'
U F2 U2 R F B' R
U F2 U2 R B' F R
U F2 U2 R' F R B'
U F2 U2 R' F B' R
U F2 U2 R' B' F R
U F2 U2 R2 F R B'
U F2 U2 R2 F B' R
U F2 U2 R2 B' F R
U F2 U2 D F R B'
U F2 U2 D F B' R
U F2 U2 D B' F R
D2 F2 D' U' F R B'
D2 F2 D' U' F B' R
D2 F2 D' U' B' F R
U F2 U2 D' F R B'
D' F2 D' U' F R B'
U F2 U2 D' F B' R
D' F2 D' U' F B' R
U F2 U2 D' B' F R
D' F2 D' U' B' F R
U F2 U2 D2 F R B'
U F2 U2 D2 F B' R
U F2 U2 D2 B' F R
U F2 U2 F R D B'
U F2 U2 F R D' B'
U F2 U2 F R D2 B'
U F2 U2 F R B' D
U F2 U2 F R B' D'
U F2 U2 F R B' D2
U F2 U2 F R' B' R2
U F2 U2 F D R B'
U F2 U2 F D B' R
U F2 U2 F D' R B'
U F2 U2 F D' B' R
U F2 U2 F D2 R B'
U F2 U2 F D2 B' R
U F2 U2 F B R B2
U F2 U2 F B' R D
U F2 U2 F B' R D'
U F2 U2 F B' R D2
U F2 U2 F B' D R
U F2 U2 F B' D' R
U F2 U2 F B' D2 R
U F2 U2 B F R B2
U F2 U2 B' R F R
U F2 U2 B' R' F R
U F2 U2 B' R2 F R
U F2 U2 B' D F R
U F2 U2 B' D' F R
U F2 U2 B' D2 F R
U F2 U2 B' F R D
U F2 U2 B' F R D'
U F2 U2 B' F R D2
U F2 U2 B' F D R
U F2 U2 B' F D' R
U F2 U2 B' F D2 R
D F2 D U' F R B'
D F2 D U' F B' R
D F2 D U' B' F R
U' F2 D2 F B R' B2
F2 D2 R U' F R B'
F2 D2 R U' F B' R
F2 D2 R U' B' F R
D2 F2 D2 U' F R B'
D2 F2 D2 U' F B' R
D2 F2 D2 U' B' F R
D' F2 D2 U' F R B'
D' F2 D2 U' F B' R
U' F2 D2 B R' F B2
U' F2 D2 B R' B2 F
D' F2 D2 U' B' F R
U' F2 D2 B F R' B2
U F2 D U2 F R B'
U F2 D U2 F B' R
U F2 D U2 B' F R
D F2 D' U' F R B'
D F2 D' U' F B' R
D F2 D' U' B' F R
F2 D2 R' U' F R B'
F2 D2 R' U' F B' R
F2 D2 R' U' B' F R
U F2 D' U2 F R B'
U F2 D' U2 F B' R
U F2 D' U2 B' F R
U' F2 B' R F' R F2
U' F2 B' R' F' R F2
U' F2 B' R2 F' R F2
D F2 D2 U' F R B'
D F2 D2 U' F B' R
D F2 D2 U' B' F R
F2 D2 R2 U' F R B'
F2 D2 R2 U' F B' R
F2 D2 R2 U' B' F R
U F2 D2 U2 F R B'
U F2 D2 U2 F B' R
U F2 D2 U2 B' F R
U' F2 B2 D2 F B R'
U' F2 B2 D2 B R' F
U' F2 B2 D2 B F R'
U F2 B U2 F B2 R'
U F2 B U2 B2 R' F
U F2 B U2 B2 F R'
F2 D2 U' R F R B'
F2 D2 U' R F B' R
F2 D2 U' R B' F R
U F2 B' R' F2 L' F'
F2 D2 U' R' F R B'
F2 D2 U' R' F B' R
F2 D2 U' R' B' F R
F2 D2 U' R2 F R B'
F2 D2 U' R2 F B' R
F2 D2 U' R2 B' F R
F2 D2 U' F R D B'
F2 D2 U' F R D' B'
F2 D2 U' F R D2 B'
F2 D2 U' F R B' D
F2 D2 U' F R B' D'
F2 D2 U' F R B' D2
F2 D2 U' F R' B' R2
F2 D2 U' F D R B'
F2 D2 U' F D B' R
F2 D2 U' F D' R B'
F2 D2 U' F D' B' R
F2 D2 U' F D2 R B'
F2 D2 U' F D2 B' R
F2 D2 U' F B R B2
F2 D2 U' F B' R D
F2 D2 U' F B' R D'
F2 D2 U' F B' R D2
F2 D2 U' F B' D R
F2 D2 U' F B' D' R
F2 D2 U' F B' D2 R
F2 D2 U' B F R B2
F2 D2 U' B' R F R
F2 D2 U' B' R' F R
F2 D2 U' B' R2 F R
F2 D2 U' B' D F R
F2 D2 U' B' D' F R
F2 D2 U' B' D2 F R
F2 D2 U' B' F R D
F2 D2 U' B' F R D'
F2 D2 U' B' F R D2
F2 D2 U' B' F D R
F2 D2 U' B' F D' R
F2 D2 U' B' F D2 R
F D2 U B2 U2 B R'
U F2 B2 U2 F B R'
U F2 B2 U2 B R' F
U F2 B2 U2 B F R'
U' B L2 F' L2 B2 R'
U B L U2 F' B2 D
U B L U2 F' B2 D'
U B L U2 F' B2 D2
U B L U2 B2 D F'
U B L U2 B2 D' F'
U B L U2 B2 D2 F'
U B L U2 B2 F' D
U B L U2 B2 F' D'
U B L U2 B2 F' D2
U B L D2 F2 U2 F
U B L F U2 F2 B2
U B L F U2 B2 F2
U B L F2 U2 F B2
U B L F2 U2 B2 F
U B L B U2 F' B
U B L B U2 B F'
U B L B' U2 F' B'
U B L B' U2 B' F'
F' D2 F' U' F R B'
F' D2 F' U' F B' R
F' D2 F' U' B' F R
U' B R' F R F' B2
U' B R' F R B2 F'
U' B R' F B2 R F'
U' B R' B2 F R F'
U B R B2 L R' F'
U B R B2 R' L F'
U B R B2 R' F' L
U2 B U F R F2 B2
U2 B U F R B2 F2
U2 B U F B2 R F2
U2 B U B2 F R F2
U B U2 R B2 R' F'
U B U2 F B2 R' F2
U B U2 F' R B2 R'
U B U2 F' R' B2 R'
U B U2 F' R2 B2 R'
U B U2 F' B2 R' D
U B U2 F' B2 R' D'
U B U2 F' B2 R' D2
U B U2 F' B2 D R'
U B U2 F' B2 D' R'
U B U2 F' B2 D2 R'
U B U2 F2 B2 R' F
U B U2 B2 D F' R'
U B U2 B2 D' F' R'
U B U2 B2 D2 F' R'
U B U2 B2 F R' F2
U B U2 B2 F' R' D
U B U2 B2 F' R' D'
U B U2 B2 F' R' D2
U B U2 B2 F' D R'
U B U2 B2 F' D' R'
U B U2 B2 F' D2 R'
U B U2 B2 F2 R' F
U' B F R F2 B2 D
U' B F R F2 B2 D'
U' B F R F2 B2 D2
U' B F R B2 F2 D
U' B F R B2 F2 D'
U' B F R B2 F2 D2
U' B F R' F2 R2 B2
U' B F R' F2 B2 R2
U' B F R' B2 R2 F2
U' B F R' B2 F2 R2
U' B F R2 F2 R' B2
U' B F' L2 B2 L2 R'
U' B F' L2 B2 R' L2
U' B F' U2 L' U2 B2
U B D2 L F2 U2 F
U B F L U2 F2 B2
U B F L U2 B2 F2
F' B U B' U' R' B'
U B F U2 F2 B2 R'
U B F U2 B2 R' F2
U B F U2 B2 F2 R'
U B F' R B2 L R'
U B F' R B2 R' L
U' B' L' F L R F2
U' B' L' F R L F2
U' B' L' F R F2 L
U' B' L' F' L D2 R2
U B F2 U2 F B2 R'
U B F2 U2 B2 R' F
U B F2 U2 B2 F R'
U' B' L2 F L2 R F2
U' B' L2 F R L2 F2
U' B' L2 F R F2 L2
U B' L F R' F2 L'
U' B' R F R' F' R2
U' B' R F2 R' F' R
U B' L' F R' F2 L'
U' B' R' F R D F'
U' B' R' F R D' F'
U' B' R' F R D2 F'
U' B' R' F R F' D
U' B' R' F R F' D'
U' B' R' F R F' D2
U' B' R' F2 R F' R
U B' L2 F R' F2 L'
U' B' R2 U2 B L U2
B' F' L U F B U'
B' F' L U B F U'
U' B' R2 F R2 F' R'
U' B' R2 F2 R2 F' R
F' B' L U F B U'
F' B' L U B F U'
U' B' U L F U' F2
U' B' U F2 U' F R
U B' R' U2 R U2 F'
U B' R' D2 F2 L' F
U B' R' F2 D2 L' F
U' B' U2 B L U2 F'
U' B' U2 B' U2 F' R'
U' B' D R' F R F'
U' B' D F R F2 D
U' B' D F R F2 D'
U' B' D F R F2 D2
U' B' D F R' F2 R2
U' B' D F R2 F2 R'
U' B' D F' U2 L' U2
U' B' D' R' F R F'
U' B' D' F R F2 D
U' B' D' F R F2 D'
U' B' D' F R F2 D2
U' B' D' F R' F2 R2
U' B' D' F R2 F2 R'
U' B' D' F' U2 L' U2
U' B' D2 R' F R F'
U' B' D2 F R F2 D
U' B' D2 F R F2 D'
U' B' D2 F R F2 D2
U' B' D2 F R' F2 R2
U' B' D2 F R2 F2 R'
U' B' D2 F' U2 L' U2
B' F' U B U L U2
U' B' F L' R F2 L
U' B' F L2 R F2 L2
U' B' F R L' F2 L
U' B' F R L2 F2 L2
U B' D F R' F2 L'
U' B' F R F D F
U' B' F R F D' F
U' B' F R F D2 F
U' B' F R F' D F'
U' B' F R F' D' F'
U' B' F R F' D2 F'
U' B' F R' F R2 F
U' B' F R' F2 R2 D
U' B' F R' F2 R2 D'
U' B' F R' F2 R2 D2
U' B' F R2 F R' F
U' B' F R2 F2 R' D
U' B' F R2 F2 R' D'
U' B' F R2 F2 R' D2
U' B' F R2 F2 D R'
U' B' F R2 F2 D' R'
U' B' F R2 F2 D2 R'
F' B' U B U L U2
U' B' F D' R D F2
U' B' F D2 R D2 F2
U' B' F' L D2 L' R2
U' B' F' L D2 R2 L'
U' B' F' R U2 L' U2
U' B' F' R F2 R F2
U' B' F' R' U2 L' U2
U' B' F' R' F2 R F2
U' B' F' R2 U2 L' U2
U' B' F' R2 F2 R F2
U B' D' F R' F2 L'
U' B' F' U F2 U' R
U' B' F' U2 L' U2 D
U' B' F' U2 L' U2 D'
U' B' F' U2 L' U2 D2
U' B' F' U2 L' D U2
U' B' F' U2 L' D' U2
U' B' F' U2 L' D2 U2
U' B' F' U2 D L' U2
U' B' F' U2 D' L' U2
U' B' F' U2 D2 L' U2
U' B' F' D U2 L' U2
U' B' F' D F2 R F2
U' B' F' D' U2 L' U2
U' B' F' D' F2 R F2
U' B' F' D2 U2 L' U2
U' B' F' D2 F2 R F2
B F' U B' U' R' B'
U' B' F2 R F' R F2
U' B' F2 R' F' R F2
U' B' F2 R2 F' R F2
U B' D2 F R' F2 L'
U B' F L R' F2 L'
U B' F L' R' F2 L'
U B' F L2 R' F2 L'
U B' F R' L F2 L'
U B' F R' L' F2 L'
U B' F R' L2 F2 L'
U B' F R' F2 L' D
U B' F R' F2 L' D'
U B' F R' F2 L' D2
U B' F R' F2 D L'
U B' F R' F2 D' L'
U B' F R' F2 D2 L'
B2 F' D L2 D' B R'
U B' F' R' U2 R U2
U B' F' R' F2 L' F2
U B' F' R2 D2 L2 R
U B' F' R2 D2 R L2
U B' F2 R' F2 L' F'
U B2 L U2 F' B R'
U B2 L U2 B F' R'
U B2 L' U2 F' B R'
U B2 L' U2 B F' R'
U' B2 R' F R F' B
U' B2 R' F R B F'
U B2 L2 U2 F' B R'
U B2 L2 U2 B F' R'
U2 B2 U F B R F2
U2 B2 U B F R F2
U' B2 D F B R F2
U' B2 D B F R F2
L2 B2 D L2 F' R B'
L2 B2 D L2 F' B' R
L2 B2 D L2 B' F' R
U' B2 D' F B R F2
U' B2 D' B F R F2
U B2 U2 D2 F' B R
U B2 U2 D2 B F' R
U B2 U2 F B R' F2
U B2 U2 F' B R' D
U B2 U2 F' B R' D'
U B2 U2 F' B R' D2
U B2 U2 F' B D R'
U B2 U2 F' B D' R'
U B2 U2 F' B D2 R'
U B2 U2 F2 B R' F
U B2 U2 B D F' R'
U B2 U2 B D' F' R'
U B2 U2 B D2 F' R'
U B2 U2 B F R' F2
U B2 U2 B F' R' D
U B2 U2 B F' R' D'
U B2 U2 B F' R' D2
U B2 U2 B F' D R'
U B2 U2 B F' D' R'
U B2 U2 B F' D2 R'
U B2 U2 B F2 R' F
U' B2 D2 F B R F2
U' B2 D2 B F R F2
F' B2 D L2 D' B R'
U' B2 F' U2 L' U2 B
U B2 D2 U2 F' B R
U B2 D2 U2 B F' R
U' B2 F2 D2 F B R'
U' B2 F2 D2 B R' F
U' B2 F2 D2 B F R'
U B2 F U2 F2 B R'
U B2 F U2 B R' F2
U B2 F U2 B F2 R'
U B2 F2 U2 F B R'
U B2 F2 U2 B R' F
U B2 F2 U2 B F R'
