D R' F B
D R' B F
D F R' B
F R' U' L' U
D R' D F B
D R' D B F
D R' D' F B
D R' D' B F
D R' D2 F B
D R' D2 B F
D R' F D B
D R' F D' B
D R' F D2 B
D R' F B D
D R' F B D'
D R' F B D2
F' R' F2 D B2
D R' B D F
D R' B D' F
D R' B D2 F
D R' B F D
D R' B F D'
D R' B F D2
F U' L' U R'
R' F U' L' U
D F R' D B
D F R' D' B
D F R' D2 B
D F R' B D
D F R' B D'
D F R' B D2
D' F D2 R' B
D2 F D' R' B
D F' R' F2 B
D F' R' B F2
F U D F2 R U' R2
U2 D F' R' F2 L' B
U2 D F' R' F2 B L'
U2 D F' R' B F2 L'
R2 D' L R B' L' F
U2 D F' U2 R' F2 B
U2 D F' U2 R' B F2
U2 D F' U2 F2 R' B
D U F' U' R' F2 B
D U F' U' R' B F2
D U F' U' F2 R' B
F U D' F2 R U' R2
R2 D' L B' L' R F
R2 D' L B' R L' F
U D F' U' R' F2 B
U D F' U' R' B F2
U D F' U' F2 R' B
U2 D F2 U2 F' R' B
D U F2 U' F' R' B
F U D2 F2 R U' R2
U D F2 U' F' R' B
L' D' R L F R2 B'
L' D' R L F B' R2
L' D' R L B' R2 F
L' D' R L B' F R2
F U F R2 U' R B
F U F U' R B R2
R' D' R D2 R' F B
R' D' R D2 R' B F
R' D' R D2 F R' B
R' D' R F D2 R' B
R2 D' R L B' L' F
L' D' R' L D F B'
L' D' R' L D B' F
L' D' R' L D' F B'
L' D' R' L D' B' F
L' D' R' L D2 F B'
L' D' R' L D2 B' F
L' D' R' L F D B'
L' D' R' L F D' B'
L' D' R' L F D2 B'
L' D' R' L F B' D
L' D' R' L F B' D'
L' D' R' L F B' D2
L' D' R' L B' D F
L' D' R' L B' D' F
L' D' R' L B' D2 F
L' D' R' L B' F D
L' D' R' L B' F D'
L' D' R' L B' F D2
F U F' U' D R' B
R2 D' R F L B' L'
F U F' D U' R' B
L' D' R' F L F B'
L' D' R' F L B' F
L' D' R' F' L F B'
L' D' R' F' L B' F
L' D' R' F2 L F B'
L' D' R' F2 L B' F
F U F2 R U' R2 D
F U F2 R U' R2 D'
F U F2 R U' R2 D2
F U F2 R D' F2 U'
F U F2 R F U' R2
L' D' R2 L B' R F
F U F2 R F' U' R2
F U F2 R F2 U' R2
F U F2 U' R' D B2
F U F2 D R U' R2
F U F2 D' R U' R2
F U F2 D2 R U' R2
R2 D' R2 D2 R' F B
R2 D' R2 D2 R' B F
R2 D' R2 D2 F R' B
R2 D' R2 F D2 R' B
U2 D' L' F U2 R' F'
L' D' U2 L R' F' B'
L' D' U2 L R' B' F'
L' D' U2 R' L F' B'
L' D' U2 R' L B' F'
L' D' U2 R' F' L B'
R' D' F L D B' L'
R' D' F L D' B' L'
R' D' F L D2 B' L'
R' D' F L B L' B2
R' D' F L B' L' D
R' D' F L B' L' D'
R' D' F L B' L' D2
R' D' F L B' D L'
R' D' F L B' D' L'
R' D' F L B' D2 L'
R' D' F L B2 L' B
R' D' F R D2 R' B
L' D' F L R' F B'
L' D' F L R' B' F
L' D' F L F R' B'
R' D' F U' L U B'
L' D' F R' L F B'
L' D' F R' L B' F
R' D' F D2 R' B R
R' D' F B L B' L'
F U' L U R' D' B2
R' D' F B' L B' L'
F U' L U D' R' B2
R' D' F B2 L B' L'
D U' R U R2 F B
D U' R U R2 B F
R' D' F' L B' L' F2
F U' L D' U R' B2
L' D' F' L R' F B'
L' D' F' L R' B' F
L' D' F' L F R' B'
L' D' F' R' L F B'
L' D' F' R' L B' F
R2 D' F D2 R' B R'
R2 D' F D2 B R' B
F U' L' U R2 D R
F U' L' U R2 D' R
F U' L' U R2 D2 R
F U' L' U D R' D
F U' L' U D R' D'
F U' L' U D R' D2
F U' L' U D' R' D
F U' L' U D' R' D'
F U' L' U D' R' D2
F U' L' U D2 R' D
F U' L' U D2 R' D'
F U' L' U D2 R' D2
F U' L' U F' R' F
F U' L' U F2 R' F2
F U' L' U' L U2 R'
F U' L' U' L' U2 R'
F U' L' U' L2 U2 R'
F U' L' U2 F U' R'
R' D' F2 L B' L' F'
F U' L' U2 F' U' R'
F U' L' U2 F2 U' R'
F U' L' D U R' D
F U' L' D U R' D'
F U' L' D U R' D2
F U' L' D' U R' D
F U' L' D' U R' D'
F U' L' D' U R' D2
F U' L' D2 U R' D
F U' L' D2 U R' D'
F U' L' D2 U R' D2
L' D' F2 L R' F B'
L' D' F2 L R' B' F
L' D' F2 L F R' B'
L' D' F2 R' L F B'
L' D' F2 R' L B' F
F U' L' B2 U' L U2
R' D' B L B' L' F
F U' L2 D L U R'
F U' L2 D' L U R'
F U' L2 D2 L U R'
R' D' B F L B' L'
R' D' B' L B' L' F
R' D' B' F L B' L'
R' D' B2 L B' L' F
R' D' B2 F L B' L'
L' D2 L D' R' F B
L' D2 L D' R' B F
L' D2 L D' F R' B
F U' D L' U R' D
F U' D L' U R' D'
F U' D L' U R' D2
F U' D L' U D R'
F U' D L' U D' R'
F U' D L' U D2 R'
F U' D L' D U R'
F U' D L' D' U R'
F U' D L' D2 U R'
L' D2 L F D' R' B
R' D2 L' D L F B'
R' D2 L' D L B' F
F U' D' L' U R' D
F U' D' L' U R' D'
F U' D' L' U R' D2
F U' D' L' U D R'
F U' D' L' U D' R'
F U' D' L' U D2 R'
F U' D' L' D U R'
F U' D' L' D' U R'
F U' D' L' D2 U R'
F U' D2 L' U R' D
F U' D2 L' U R' D'
F U' D2 L' U R' D2
F U' D2 L' U D R'
F U' D2 L' U D' R'
F U' D2 L' U D2 R'
F U' D2 L' D U R'
F U' D2 L' D' U R'
F U' D2 L' D2 U R'
R' D2 R D' R' F B
R' D2 R D' R' B F
R' D2 R D' F R' B
R' D2 R F D' R' B
D' U2 L' F U2 R' F'
L' D2 R' D L F B'
L' D2 R' D L B' F
D U2 L' U2 R' F' B
D U2 L' U2 R' B F'
F U' B L' B' U R'
R2 D2 R2 D' R' F B
R2 D2 R2 D' R' B F
R2 D2 R2 D' F R' B
R2 D2 R2 F D' R' B
F U' B' L' B U R'
F U' B2 L' U D2 R2
F U' B2 L' U' L2 U2
F U' B2 L' D' B2 U
F U' B2 L' D2 U R2
D U2 R' F2 L' F' B
D U2 R' F2 L' B F'
D U2 R' F2 B L' F'
R' D2 F L' D L B'
D U2 R' B F2 L' F'
R' D2 F R D' R' B
R' D2 F D L B' L'
R' D2 F D' R' B R
R' D2 F B U R' U'
F U2 L U L2 U R'
R' D2 F B' U' L U
F U2 L U2 R' D' B2
F U2 L U2 D' R' B2
F U2 L D F2 U2 R'
F U2 L D' U2 R' B2
F' U2 R U' R2 F2 L'
D U2 F' R' F2 L' B
D U2 F' R' F2 B L'
D U2 F' R' B F2 L'
D U2 F' U2 R' F2 B
D U2 F' U2 R' B F2
F U2 L2 U L U R'
D U2 F' U2 F2 R' B
R' D2 B U R' U' F
R' D2 B F U R' U'
D U2 F2 U2 F' R' B
F' U2 R' F2 L' D B2
F' U2 R' F2 D L' B2
F' U2 R' F2 D B2 L'
R2 D2 B R D F B2
R2 D2 B R D B2 F
R2 D2 B R F D B2
R' D2 B' F U' L U
D' F L R B' L' R2
D' F L R B' R2 L'
D' F L R' D B' L'
D' F L R' D' B' L'
D' F L R' D2 B' L'
D' F L R' B L' B2
D' F L R' B' L' D
D' F L R' B' L' D'
D' F L R' B' L' D2
D' F L R' B' D L'
D' F L R' B' D' L'
D' F L R' B' D2 L'
D' F L R' B2 L' B
D' F L R2 B' L' R
D' F L R2 B' R L'
R' F L U' L2 U L
L' F L R' D' F B2
L' F L R' D' B2 F
L' F L R' F D' B2
R' F L D L' D2 B2
D' F L D R' B' L'
R' F L D' L B2 L2
R' F L D' L' B2 D
R' F L D' L' B2 D'
R' F L D' L' B2 D2
D' F L D' R' B' L'
R' F L D' B L' B
R' F L D' B2 L' D
R' F L D' B2 L' D'
R' F L D' B2 L' D2
R' F L D' B2 D L'
R' F L D' B2 D' L'
R' F L D' B2 D2 L'
R' F L D2 L' D B2
D' F L D2 R' B' L'
D2 F L D' L' R' B
D2 F L D' R' L' B
D2 F L D' R' B L'
L' F L D' R' F B2
L' F L D' R' B2 F
L' F L D' F R' B2
R' F L B D' L' B2
R' F L B D' B2 L'
L' F L F R' D' B2
L' F L F D' R' B2
R' F L B' D' L' B2
R' F L B' D' B2 L'
R' F L B2 D' L' B2
R' F L B2 D' B2 L'
D2 F L' R' D L B'
D F L R' D L' B
D F L R' D B L'
D F L R' D' L' B
D F L R' D' B L'
D F L R' D2 L' B
D F L R' D2 B L'
D F L R' B L' D
D F L R' B L' D'
D F L R' B L' D2
D F L R' B D L'
D F L R' B D' L'
D F L R' B D2 L'
D F L R' B' L' B2
L' F L' U L2 R' F
L' F L' U L2 F R'
L' F L' U R' L2 F
D2 F L' D L R' B'
D2 F L' D R' L B'
D2 F L' D' L R' B
D2 F L' D' R' L B
U' F L' F' U R' F
U' F L' F' U F R'
L2 F L' U L' R' F
L2 F L' U L' F R'
L2 F L' U R' L' F
R F L R2 D' L' B2
R F L R2 D' B2 L'
R' F L2 U' L U L
D F L' R' D L B
D F L' R' D' L B
D F L' R' D2 L B
D F L' D2 L R' B'
D F L' D2 R' L B'
D' F R L B' L' R2
D' F R L B' R2 L'
R' F R U' L' U R'
D F L2 R' B L2 D
D F L2 R' B L2 D'
D F L2 R' B L2 D2
D F L2 R' B' L2 B2
D' F R' L D B' L'
D' F R' L D' B' L'
D' F R' L D2 B' L'
D' F R' L B L' B2
D' F R' L B' L' D
D' F R' L B' L' D'
D' F R' L B' L' D2
D' F R' L B' D L'
D' F R' L B' D' L'
D' F R' L B' D2 L'
D' F R' L B2 L' B
D2 F R' L' D L B'
R' F R' U' L' U R
D' F R' U' L U B'
L' F R' L D' F B2
L' F R' L D' B2 F
L' F R' L F D' B2
D2 F R' D L B' L'
D2 F R' D' R' B R
D' F R' D2 R' B R
D F R U2 F' U2 R2
F U2 F' U2 D R' B
D' F R' B L B' L'
F U2 F' D U2 R' B
D' F R' B' L B' L'
D2 F R' B U R' U'
D' F R' B2 L B' L'
D2 F R' B' U' L U
D' F R2 L B' L' R
D' F R2 L B' R L'
D F R B R2 D B
D F R B R2 D' B
D F R B R2 D2 B
D F R B R2 B D
D F R B R2 B D'
D F R B R2 B D2
R' F R2 U' L' U R2
D F R B' R2 D B
D F R B' R2 D' B
D F R B' R2 D2 B
D F R B' R2 B D
D F R B' R2 B D'
D F R B' R2 B D2
R F R U' L' U R
D F R B2 R2 D B
D F R B2 R2 D' B
D F R B2 R2 D2 B
D F R B2 R2 B D
D F R B2 R2 B D'
D F R B2 R2 B D2
D F R' L D L' B
D F R' L D B L'
D F R' L D' L' B
D F R' L D' B L'
D F R' L D2 L' B
D F R' L D2 B L'
D F R' L B L' D
D F R' L B L' D'
D F R' L B L' D2
D F R' L B D L'
D F R' L B D' L'
D F R' L B D2 L'
D F R' L B' L' B2
D F R' L' D L B
D F R' L' D' L B
D F R' L' D2 L B
D F R' L2 B L2 D
D F R' L2 B L2 D'
D F R' L2 B L2 D2
D F R' L2 B' L2 B2
D2 F R2 D' R' B R2
D' F R2 D2 R' B R2
D F R' U' L U B
D F R' U' L' U B
D F R' U' L2 U B
D F R' U2 F U2 B
F U2 F2 U' R U' R2
D F R' U2 F' U2 B
D F R' U2 F2 U2 B
D F R' D L B L'
D F R' D L2 B L2
F U2 F2 U2 R' D B2
D F R' D B2 D B'
D F R' D B2 D' B'
D F R' D B2 D2 B'
D F R' D' L B L'
D F R' D' L2 B L2
D F R' D' B2 D B'
D F R' D' B2 D' B'
D F R' D' B2 D2 B'
D F R' D2 L B L'
D2 F R2 B R D B2
D F R' D2 L2 B L2
D F R' D2 B2 D B'
D F R' D2 B2 D' B'
D F R' D2 B2 D2 B'
D F R' F D F' B
D F R' F D B F'
D F R' F D' F' B
D F R' F D' B F'
D F R' F D2 F' B
D F R' F D2 B F'
D F R' F B D F'
D F R' F B D' F'
D F R' F B D2 F'
U F R' U' L' U L
D F R' F' D F B
D F R' F' D B F
D F R' F' D' F B
D F R' F' D' B F
D F R' F' D2 F B
D F R' F' D2 B F
D F R' F' B D F
D F R' F' B D' F
D F R' F' B D2 F
D F R' B L D L'
D F R' B L D' L'
D F R' B L D2 L'
D F R' B L' D L
D F R' B L' D' L
D F R' B L' D2 L
D F R' B R D R'
D F R' B R D' R'
D F R' B R D2 R'
D F R' B R' D R
D F R' B R' D' R
D F R' B R' D2 R
R' F U R U2 L' U
D F R' B F D F'
D F R' B F D' F'
D F R' B F D2 F'
D F R' B F' D F
D F R' B F' D' F
D F R' B F' D2 F
D F R' B' L B2 L'
D F R' B' L2 B2 L2
D F R' B' R' B2 R
D F R' B' R2 B2 R2
R' F U R' U2 L' U
R F R' U' L' U R'
D F R' B2 R' B' R
D F R' B2 R2 B' R2
D F R' B2 D B' D
D F R' B2 D B' D'
D F R' B2 D B' D2
R' F U R2 U2 L' U
D F R' B2 D' B' D
D F R' B2 D' B' D'
D F R' B2 D' B' D2
D F R' B2 D2 B' D
D F R' B2 D2 B' D'
D F R' B2 D2 B' D2
R' F U F2 R F2 U'
D F R2 D R D B
D F R2 D R D' B
D F R2 D R D2 B
D F R2 D R B D
D F R2 D R B D'
D F R2 D R B D2
D F R2 D B R B
D F R2 D B' R B
D F R2 D B2 R B
D F R2 D' R D B
D F R2 D' R D' B
D F R2 D' R D2 B
D F R2 D' R B D
D F R2 D' R B D'
D F R2 D' R B D2
D F R2 D' B R B
D F R2 D' B' R B
D F R2 D' B2 R B
D F R2 D2 R D B
D F R2 D2 R D' B
D F R2 D2 R D2 B
D F R2 D2 R B D
D F R2 D2 R B D'
D F R2 D2 R B D2
D F R2 D2 B R B
D F R2 D2 B' R B
D F R2 D2 B2 R B
R' F U' L U D' B2
U' F U' L' F' U R'
R' F U' L D' U B2
D' F U' L U R' B'
R F R2 L D' L' B2
R F R2 L D' B2 L'
R' F U' L2 D L U
R' F U' L2 D' L U
R' F U' L2 D2 L U
D F R2 B R D B
D F R2 B R D' B
D F R2 B R D2 B
D F R2 B R B D
D F R2 B R B D'
D F R2 B R B D2
D F R2 B D R B
D F R2 B D' R B
D F R2 B D2 R B
D F R2 B' R D B
D F R2 B' R D' B
D F R2 B' R D2 B
D F R2 B' R B D
D F R2 B' R B D'
D F R2 B' R B D2
D F R2 B' D R B
D F R2 B' D' R B
D F R2 B' D2 R B
D F R2 B2 R D B
D F R2 B2 R D' B
D F R2 B2 R D2 B
R F R2 U' L' U D
R F R2 U' L' U D'
R F R2 U' L' U D2
D F R2 B2 R B D
D F R2 B2 R B D'
D F R2 B2 R B D2
R F R2 U' L' D U
R F R2 U' L' D' U
R F R2 U' L' D2 U
R F R2 U' D L' U
D F R2 B2 D R B
R F R2 U' D' L' U
D F R2 B2 D' R B
R F R2 U' D2 L' U
D F R2 B2 D2 R B
R' F U' D L' U D
R' F U' D L' U D'
R' F U' D L' U D2
R' F U' D L' D U
R' F U' D L' D' U
R' F U' D L' D2 U
R' F U' D' L' U D
R' F U' D' L' U D'
R' F U' D' L' U D2
R' F U' D' L' D U
R' F U' D' L' D' U
R' F U' D' L' D2 U
R F R2 D U' L' U
R' F U' D2 L' U D
R' F U' D2 L' U D'
R' F U' D2 L' U D2
R' F U' D2 L' D U
R' F U' D2 L' D' U
R' F U' D2 L' D2 U
R F R2 D' U' L' U
D F U R U' R2 B
R F R2 D2 U' L' U
R' F U' B' L' B U
R F R2 B U' L' U
R' F U' B2 L' B2 U
R F R2 B' U' L' U
D F U F U' R' B
R F R2 B2 U' L' U
D' F U2 L U2 R' B'
D F U F' U' R' B
D' F U2 L' F U2 R'
D F U F2 U' R' B
D F U' L U R' B
D F U' L' U R' B
D F U' L2 U R' B
R F U D' F2 R U'
R' F U2 F2 U' R U'
R F U F2 R U' R
U F U' L' U L R'
U F U' L' U R' L
R' F D L D' L' B2
R' F D L D' B2 L'
D2 F D L R' B' L'
R F U' L' U R2 D
R F U' L' U R2 D'
R F U' L' U R2 D2
R F U' L' D B2 U
R F U' L' B U R2
R F U' L' B' U R2
R F U' L' B2 U R2
F D L R' D' L' B2
F D L R' D' B2 L'
D2 F D R' L B' L'
D F U2 L U2 R' B
R' F D U' L' U D
R' F D U' L' U D'
R' F D U' L' U D2
R' F D U' L' D U
R' F D U' L' D' U
R' F D U' L' D2 U
D F U2 L' U2 R' B
R F U' D L' B2 U
D F U2 L2 U2 R' B
R F U' D B2 L' U
F D L D' L' R' B2
F D L D' R' L' B2
F D L D' R' B2 L'
R' F D B U' L' U
R' F D B' U' L' U
R F U' B L' U R2
R' F D B2 U' L' U
R F U' B' L' U R2
R' F D' L D' L' B2
R' F D' L D' B2 L'
D F U2 F U2 R' B
R F U' B2 L' U R2
D2 F D' L R' B L'
D F U2 F' U2 R' B
D F U2 F2 U2 R' B
D2 F D' L2 R' B L2
D2 F D' R B R2 B
D2 F D' R B' R2 B
D2 F D' R B2 R2 B
D2 F D' R' L B L'
D2 F D' R' L2 B L2
D2 F D' R' D B D
D2 F D' R' D B D'
D2 F D' R' D B D2
D2 F D' R' D' B D
D2 F D' R' D' B D'
D2 F D' R' D' B D2
D2 F D' R' D2 B D
D2 F D' R' D2 B D'
D2 F D' R' D2 B D2
D2 F D' R' B2 D B'
D2 F D' R' B2 D' B'
D2 F D' R' B2 D2 B'
D2 F D' R2 D R B
D2 F D' R2 D' R B
D2 F D' R2 D2 R B
R' F D' U' L' U D
R' F D' U' L' U D'
R' F D' U' L' U D2
R' F D' U' L' D U
R' F D' U' L' D' U
R' F D' U' L' D2 U
D2 F D' R2 B R B
D2 F D' R2 B' R B
D2 F D' R2 B2 R B
D2 F D' F' R' F B
D2 F D' F' R' B F
R' F D' B U' L' U
D2 F D' F2 R' F2 B
D2 F D' F2 R' B F2
R' F D' B' U' L' U
R' F D' B2 U' L' U
D2 F D' B' R' B R'
R' F D2 L D' L' B2
R' F D2 L D' B2 L'
D' F D2 L R' B L'
D' F D2 L2 R' B L2
D' F D2 R B R2 B
D' F D2 R B' R2 B
D' F D2 R B2 R2 B
D' F D2 R' L B L'
D' F D2 R' L2 B L2
D' F D2 R' D B D
D' F D2 R' D B D'
D' F D2 R' D B D2
D' F D2 R' D' B D
D' F D2 R' D' B D'
D' F D2 R' D' B D2
D' F D2 R' D2 B D
D' F D2 R' D2 B D'
D' F D2 R' D2 B D2
D' F D2 R' B2 D B'
D' F D2 R' B2 D' B'
D' F D2 R' B2 D2 B'
D' F D2 R2 D R B
D' F D2 R2 D' R B
D' F D2 R2 D2 R B
D' F D2 R2 B R B
D' F D2 R2 B' R B
D' F D2 R2 B2 R B
R' F D2 U' L' U D
R' F D2 U' L' U D'
R' F D2 U' L' U D2
R' F D2 U' L' D U
R' F D2 U' L' D' U
R' F D2 U' L' D2 U
B2 D R F D2 B2 R'
R F D U' L' B2 U
R F D U' B2 L' U
D' F D2 F' R' F B
D' F D2 F' R' B F
D' F D2 F2 R' F2 B
D' F D2 F2 R' B F2
R' F D2 B U' L' U
R' F D2 B' U' L' U
D' F D2 B' R' B R'
R' F D2 B2 U' L' U
R' F B L D' L' B2
R' F B L D' B2 L'
B' D R' D' F B R'
B' D R' D' B R' F
B' D R' D' B F R'
D' F B L B' L' R'
D' F B L B' R' L'
B' D R' F D' B R'
D F D2 L R' B' L'
R' F B U' L' U D
R' F B U' L' U D'
R' F B U' L' U D2
R' F B U' L' D U
R' F B U' L' D' U
R' F B U' L' D2 U
D2 F B U R' F' U'
F D R U' L' U R2
R' F B U' D L' U
R' F B U' D' L' U
R' F B U' D2 L' U
R F D' U F2 R U'
B2 D R' F B2 R' B'
R' F B D U' L' U
D F D2 R' L B' L'
R' F B D' U' L' U
R' F B D2 U' L' U
R' F B' L D' L' B2
R' F B' L D' B2 L'
D' F B D2 B' R' B
B2 D R' B2 R' F B'
B2 D R' B2 R' B' F
B2 D R' B2 F R' B'
F D R' L D' L' B2
F D R' L D' B2 L'
R' F B' U' L' U D
R' F B' U' L' U D'
R' F B' U' L' U D2
R' F B' U' L' D U
R' F B' U' L' D' U
R' F B' U' L' D2 U
R' F B' U' D L' U
R' F B' U' D' L' U
R' F B' U' D2 L' U
R' F B' D U' L' U
B D R' F B' R' B2
F D R' U' L' U D
F D R' U' L' U D'
F D R' U' L' U D2
F D R' U' L' D U
F D R' U' L' D' U
F D R' U' L' D2 U
F D R' U' D L' U
R' F B' D' U' L' U
F D R' U' D' L' U
F D R' U' D2 L' U
R' F B' D2 U' L' U
R' F B2 L D' L' B2
F D R' D U' L' U
R' F B2 L D' B2 L'
B D R' B' R' F B2
B D R' B' R' B2 F
F D R' D' U' L' U
D F B R' B' R' B2
B D R' B' F R' B2
F D R' D2 U' L' U
F D R' B U' L' U
R' F B2 U' L' U D
R' F B2 U' L' U D'
R' F B2 U' L' U D2
R' F B2 U' L' D U
R' F B2 U' L' D' U
R' F B2 U' L' D2 U
R' F B2 U' D L' U
R' F B2 U' D' L' U
F D R' B' U' L' U
R' F B2 U' D2 L' U
F D R' B2 U' L' U
D' F B2 U2 L U2 B'
R' F B2 D U' L' U
R' F B2 D' U' L' U
R' F B2 D2 U' L' U
F D R2 U' L' U R
R F B R2 U' L' U
D' F B2 D2 B2 R' B
D F B' R' B R' D
D F B' R' B R' D'
D F B' R' B R' D2
D F B' R' B D R'
D F B' R' B D' R'
D F B' R' B D2 R'
R F B U' L' U R2
D' F' L R' B' L' F2
L' F' L R' D F B2
L' F' L R' D B2 F
L' F' L R' F D B2
R F B' R2 U' L' U
L' F' L F D R' B
D F B2 R' B2 R' B'
R F B' U' L' U R2
F D U F2 R U' R2
D F' L R' B L' F2
R' F' L' F2 L D' B2
R F B2 R2 U' L' U
F D U' L' U R' D
F D U' L' U R' D'
F D U' L' U R' D2
F D U' L' U D R'
F D U' L' U D' R'
F D U' L' U D2 R'
F D U' L' D U R'
F D U' L' D' U R'
F D U' L' D2 U R'
B' D F R' D' B R'
R F B2 U' L' U R2
U F' L R U' R2 F2
U F' L R U' F2 R2
B2 D F R' B2 R' B'
F2 D F R' F2 D B2
D F' L' R' F2 L B
B2 D F B R' B R'
L2 F' L2 R' D F B2
L2 F' L2 R' D B2 F
U F' L' R U' R2 F2
U F' L' R U' F2 R2
L2 F' L2 R' F D B2
B2 D F B2 R' D B
B2 D F B2 R' D' B
B2 D F B2 R' D2 B
B2 D F B2 R' B D
B2 D F B2 R' B D'
B2 D F B2 R' B D2
D F' L' F2 L R' B
D F' L' F2 R' L B
B D F R' B' R' B2
F2 D F' R' U' L' U
L2 F' L2 F D R' B
D F' L2 R' F2 L2 B
D F' L2 R' F2 B L2
D F' L2 R' B L2 F2
D F' L2 R' B F2 L2
F2 D F' U' L' U R'
B D F B' R' D B
B D F B' R' D' B
B D F B' R' D2 B
B D F B' R' B D
B D F B' R' B D'
B D F B' R' B D2
B D F B2 R' B R'
U F' L2 R U' R2 F2
U F' L2 R U' F2 R2
B2 D F' B2 R' F2 B
B2 D F' B2 R' B F2
L2 F' R U' L2 R2 F
L2 F' R U' L2 F R2
L2 F' R U' R2 L2 F
U2 F' R U' R2 F2 L'
D' F' R' L B' L' F2
D F' L2 F2 L2 R' B
D F' L2 F2 R' L2 B
D F' L2 F2 R' B L2
L' F' R' L D F B2
L' F' R' L D B2 F
L' F' R' L F D B2
L' F' R' D L F B2
L' F' R' D L B2 F
F2 D F2 D R' F B
F2 D F2 D R' B F
F2 D F2 D F R' B
D' F' R' F2 L B' L'
B D F' B' R' F2 B
B D F' B' R' B F2
U F' R L U' R2 F2
U F' R L U' F2 R2
F D F' D R' F B
F D F' D R' B F
L2 F' R' L2 D F B2
L2 F' R' L2 D B2 F
L2 F' R' L2 F D B2
U F' R L' U' R2 F2
F D F' D F R' B
U F' R L' U' F2 R2
U F' R L2 U' R2 F2
U F' R L2 U' F2 R2
U F' R U' R' F2 R'
U F' R U' R2 F2 D
U F' R U' R2 F2 D'
U F' R U' R2 F2 D2
U F' R U' F R2 F
U F' R U' F2 R2 D
U F' R U' F2 R2 D'
U F' R U' F2 R2 D2
D F' R B R2 F2 B
D F' R B R2 B F2
B2 D B R' F B R'
B2 D B R' B R' F
B2 D B R' B F R'
D F' R B' R2 F2 B
D F' R B' R2 B F2
U F' R D' L2 F2 U'
D F' R B2 R2 F2 B
D F' R B2 R2 B F2
U F' R D' F2 L2 U'
D F' R' L B L' F2
D F' R' L' F2 L B
U F' R F U' R2 F
U F' R F U' F R2
U2 F' R' F2 L' D B2
U2 F' R' F2 D L' B2
U2 F' R' F2 D B2 L'
D F' R' L2 F2 L2 B
D F' R' L2 F2 B L2
D F' R' L2 B L2 F2
D F' R' L2 B F2 L2
U F' R F' U' F' R2
F D F2 R' F2 D B2
B2 D B F R' B R'
D F' R' D B D' F2
D F' R' D' B D F2
R' F' U L R U' F2
R' F' U L' R U' F2
D F' R' F D F B
D F' R' F D B F
D F' R' F D' F B
D F' R' F D' B F
D F' R' F D2 F B
D F' R' F D2 B F
D F' R' F B D F
D F' R' F B D' F
D F' R' F B D2 F
R' F' U L2 R U' F2
D F' R' F' D F' B
D F' R' F' D B F'
D F' R' F' D' F' B
D F' R' F' D' B F'
D F' R' F' D2 F' B
D F' R' F' D2 B F'
D F' R' F' B D F'
D F' R' F' B D' F'
D F' R' F' B D2 F'
D F' R' F2 L B L'
R' F' U R L U' F2
R' F' U R L' U' F2
R' F' U R L2 U' F2
D F' R' F2 L2 B L2
R' F' U R U' F2 D
R' F' U R U' F2 D'
R' F' U R U' F2 D2
R' F' U R D' L2 U'
D F' R' F2 D B D
D F' R' F2 D B D'
D F' R' F2 D B D2
D F' R' F2 D' B D
D F' R' F2 D' B D'
D F' R' F2 D' B D2
D F' R' F2 D2 B D
D F' R' F2 D2 B D'
D F' R' F2 D2 B D2
D F' R' F2 B2 D B'
D F' R' F2 B2 D' B'
D F' R' F2 B2 D2 B'
D F' R' B L' F2 L
D F' R' B L2 F2 L2
D F' R' B R F2 R'
D F' R' B R2 F2 R2
D F' R' B F D F
D F' R' B F D' F
D F' R' B F D2 F
D F' R' B F' D F'
D F' R' B F' D' F'
D F' R' B F' D2 F'
R' F' U D' L2 R U'
D F' R' B2 F2 D B'
D F' R' B2 F2 D' B'
D F' R' B2 F2 D2 B'
R' F' U D' R L2 U'
F D B U' L' B' U
R F' R' F2 D R' B2
B D B' R' D F B
B D B' R' D B F
B D B' R' D' F B
B D B' R' D' B F
B D B' R' D2 F B
B D B' R' D2 B F
B D B' R' F D B
B D B' R' F D' B
B D B' R' F D2 B
B D B' R' F B D
B D B' R' F B D'
B D B' R' F B D2
B D B' R' B D F
B D B' R' B D' F
B D B' R' B D2 F
B D B' R' B F D
B D B' R' B F D'
B D B' R' B F D2
D F' R2 B R F2 B
D F' R2 B R B F2
B2 D B2 R' D F B
B2 D B2 R' D B F
B2 D B2 R' D' F B
B2 D B2 R' D' B F
B2 D B2 R' D2 F B
B2 D B2 R' D2 B F
B2 D B2 R' F D B
B2 D B2 R' F D' B
B2 D B2 R' F D2 B
B2 D B2 R' F B D
B2 D B2 R' F B D'
B2 D B2 R' F B D2
D F' R2 B' R F2 B
D F' R2 B' R B F2
B2 D B2 R' B D F
B2 D B2 R' B D' F
B2 D B2 R' B D2 F
B2 D B2 R' B F D
B2 D B2 R' B F D'
B2 D B2 R' B F D2
D F' R2 B2 R F2 B
D F' R2 B2 R B F2
R F' R2 U R' U' F2
B D B' F R' D B
B D B' F R' D' B
B D B' F R' D2 B
B D B' F R' B D
B D B' F R' B D'
B D B' F R' B D2
B D B' F' R' F2 B
B D B' F' R' B F2
B2 D B2 F R' D B
B2 D B2 F R' D' B
B2 D B2 F R' D2 B
B2 D B2 F R' B D
B2 D B2 F R' B D'
B2 D B2 F R' B D2
B2 D B2 F' R' F2 B
