B' R2 U D2 L2
B' R2 U' R2 U2
B' R2 D' F2 U
B' R2 D2 U L2
U R2 B' U B
R2 D' F2 B' U
R2 D' B' F2 U
R2 D2 B' U L2
R2 B' U D2 L2
R2 B' U' R2 U2
R2 B' D' F2 U
R2 B' D2 U L2
B U2 D2 F2 L2 U' L2
R' F R' D2 B' U L
R' F R' F B' U L'
R' F R' B' F U L'
B' U2 B D2 L2 U' L2
L' F U L R2 B' U
L' F U L B' R2 U
B' U2 B' D2 L2 U' L2
L' F U R2 L B' U
D' F U B' U F B
D' F U B' U B F
B' U2 B2 D2 L2 U' L2
U2 F U' R2 B' U B
D2 F U2 L2 F U' L2
U' F U2 R2 B' U B2
R2 F U' R2 U B' U
U' F U2 B' R2 U B
L2 F U2 L2 R2 U L2
L2 F U2 R2 L2 U L2
U F U' F' R2 B' U
U F U' F' B' R2 U
U F U' B' F' R2 U
B' D R U' R' B2 U2
B' D R U' B2 U2 L
R2 F D B' U2 B' U'
R' F D2 R' B' U L
B' D R' U D2 F2 L'
B' D R' U' R B2 U2
B D L2 B2 U L2 U
B D L2 B2 U2 D' B2
B D L2 B2 D F2 U2
B D L2 B2 D' U2 B2
B' D R' U' B2 R U2
R2 F D' F2 D B' U
R2 F D' F2 D' B' U
R2 F D' F2 D2 B' U
R2 F D' F2 B' U D
R2 F D' F2 B' U D'
R2 F D' F2 B' U D2
R2 F D' F2 B' D U
R2 F D' F2 B' D' U
R2 F D' F2 B' D2 U
U2 F D2 L2 F U' L2
R2 F D' B' U D' L2
R2 F D' B' D' U L2
B' D R' D2 U F2 L'
R2 F D' B' F2 U D
R2 F D' B' F2 U D'
R2 F D' B' F2 U D2
R2 F D' B' F2 D U
R2 F D' B' F2 D' U
R2 F D' B' F2 D2 U
B' D R2 U D2 L2 F2
B' D R2 U D2 F2 L2
B' D R2 U' R2 B2 U2
R2 F D2 F B' U L2
B' D R2 U' B2 R2 U2
R2 F D2 F' B' U L2
R2 F D2 F2 B' U L2
B' D R2 D' R2 F2 U
B' D R2 D' F2 R2 U
R2 F D2 B' U L2 D
R2 F D2 B' U L2 D'
R2 F D2 B' U L2 D2
R2 F D2 B' D F2 U
B' D R2 D2 U L2 F2
B' D R2 D2 U F2 L2
R2 F D2 B' F U L2
R2 F D2 B' F' U L2
R2 F D2 B' F2 U L2
U' F B' R2 F' U B
D2 F B' U2 L2 U' L2
R2 F B D' F2 U R2
R2 F B' U L D2 L2
R2 F B' U L' D2 L2
R2 F B' U L2 D2 L2
R2 F B' U D2 L2 D
R2 F B' U D2 L2 D'
R2 F B' U D2 L2 D2
R2 F B' U' R2 U2 D
R2 F B' U' R2 U2 D'
R2 F B' U' R2 U2 D2
R2 F B' U' R2 D U2
R2 F B' U' R2 D' U2
R2 F B' U' R2 D2 U2
R2 F B' U2 D B2 U'
R2 F B' D U2 B2 U'
R2 F B' D' F2 U D
R2 F B' D' F2 U D'
R2 F B' D' F2 U D2
R2 F B' D' F2 D U
R2 F B' D' F2 D' U
R2 F B' D' F2 D2 U
R2 F B' D2 U L2 D
R2 F B' D2 U L2 D'
R2 F B' D2 U L2 D2
R2 F B' D2 F U L2
R2 F B' D2 F' U L2
R2 F B' D2 F2 U L2
B' D U' B2 U' B2 U'
B' D U' B2 U2 D L2
B' D U' B2 D U2 L2
B' D U' B2 D' R2 U2
D F B2 U B U B'
R2 F B2 D' F2 B U
R2 F B2 D' B F2 U
R2 F B2 D2 B U L2
R' F' R' F' B' U L'
R' F' R' B' F' U L'
L' F' U L R2 B' U
L' F' U L B' R2 U
L' F' U R2 L B' U
D' F' U B' U F' B
D' F' U B' U B F'
B' D B2 U B2 U B2
F' D B2 U B U B'
B2 D B2 U B' U B
F2 D B2 U B U B'
U F' R2 F B' U B
U F' R2 B' F U B
B D B2 L2 U L2 U
B D B2 L2 U2 D' B2
B D B2 L2 D F2 U2
B D B2 L2 D' U2 B2
U2 F' U' R2 B' U B
D2 F' U2 L2 F U' L2
R2 F' U' R2 U B' U
F D B2 U B U B'
U F' U' R2 F B' U
U F' U' R2 B' F U
U F' U' F R2 B' U
U F' U' F B' R2 U
U F' U' B' R2 F U
U F' U' B' F R2 U
L2 F' D F2 B2 U2 R2
B' D' R U' R' U2 F2
L2 F' D B2 F2 U2 R2
U' F' D2 L2 F U' B'
L2 F' D' L2 U2 F2 B2
L2 F' D' L2 U2 B2 F2
R2 F' D B' U2 B' U'
B' D' R' U L F2 L'
B' D' R' U L' F2 L'
B' D' R' U L2 F2 L'
B' D' R' U F2 L' D
B' D' R' U F2 L' D'
B' D' R' U F2 L' D2
B' D' R' U F2 D L'
B' D' R' U F2 D' L'
B' D' R' U F2 D2 L'
B' D' R' U' R U2 F2
R2 F' D' F2 D B' U
R2 F' D' F2 D' B' U
R2 F' D' F2 D2 B' U
U2 F' D2 L2 F U' L2
R2 F' D' F2 B' U D
R2 F' D' F2 B' U D'
R2 F' D' F2 B' U D2
R2 F' D' F2 B' D U
R2 F' D' F2 B' D' U
R2 F' D' F2 B' D2 U
R2 F' D' B' U D' L2
R2 F' D' B' D' U L2
R2 F' D' B' F2 U D
R2 F' D' B' F2 U D'
R2 F' D' B' F2 U D2
R2 F' D' B' F2 D U
R2 F' D' B' F2 D' U
R2 F' D' B' F2 D2 U
B' D' R' F U F L'
F' D' R' B' U F2 L'
B' D' R2 U F2 D2 L2
B' D' R2 U' R2 U2 F2
R2 F' D2 F B' U L2
R2 F' D2 F' B' U L2
R2 F' D2 F2 B' U L2
F2 D' R' B' U F2 L'
R2 F' D2 B' U L2 D
R2 F' D2 B' U L2 D'
R2 F' D2 B' U L2 D2
R2 F' D2 B' D F2 U
R2 F' D2 B' F U L2
R2 F' D2 B' F' U L2
R2 F' D2 B' F2 U L2
B D' R' U F2 L' R'
B D' R' U F2 R' L'
D2 F' B' U2 L2 U' L2
B' D' U L F2 D' L2
B' D' U L' F2 D' L2
B' D' U L2 F2 D' L2
R2 F' B D' F2 U R2
B' D' U F2 L D' L2
B' D' U F2 L' D' L2
B' D' U F2 L2 D' L2
B' D' U F2 U' F2 U
B' D' U F2 D' L2 D
B' D' U F2 D' L2 D'
B' D' U F2 D' L2 D2
F D' R' B' U F2 L'
R2 F' B' U L D2 L2
R2 F' B' U L' D2 L2
R2 F' B' U L2 D2 L2
F' D' U B' U F2 B
F' D' U B' U B F2
R2 F' B' U D2 L2 D
R2 F' B' U D2 L2 D'
R2 F' B' U D2 L2 D2
R2 F' B' U' R2 U2 D
R2 F' B' U' R2 U2 D'
R2 F' B' U' R2 U2 D2
R2 F' B' U' R2 D U2
R2 F' B' U' R2 D' U2
R2 F' B' U' R2 D2 U2
R2 F' B' U2 D B2 U'
B2 D' U B U F2 B'
B2 D' U B U B' F2
R2 F' B' D U2 B2 U'
R2 F' B' D' F2 U D
R2 F' B' D' F2 U D'
R2 F' B' D' F2 U D2
R2 F' B' D' F2 D U
R2 F' B' D' F2 D' U
R2 F' B' D' F2 D2 U
F2 D' U B' U F2 B
F2 D' U B' U B F2
R2 F' B' D2 U L2 D
R2 F' B' D2 U L2 D'
R2 F' B' D2 U L2 D2
R2 F' B' D2 F U L2
R2 F' B' D2 F' U L2
R2 F' B' D2 F2 U L2
B' D' U2 L U' L' F2
B' D' U2 L' U' L F2
B' D' U2 L' U' F2 L
B' D' U2 L2 U' L2 F2
B' D' U2 L2 U' F2 L2
B D' U R2 F2 D' L2
B D' U F2 R2 D' L2
D F' B2 U B U B'
R2 F' B2 D' F2 B U
R2 F' B2 D' B F2 U
R2 F' B2 D2 B U L2
F D' U B' U F2 B
F D' U B' U B F2
B D' U2 R2 F2 D B2
B D' U2 F2 R2 D B2
R' F2 R B' R2 U L'
R' F2 R' D B' U L'
R' F2 R' D' B' U L'
R' F2 R' D2 B' U L'
R' F2 R' B' U L' D
R' F2 R' B' U L' D'
R' F2 R' B' U L' D2
R' F2 R' B' U D L'
R' F2 R' B' U D' L'
R' F2 R' B' U D2 L'
R' F2 R' B' D U L'
R' F2 R' B' D' U L'
R' F2 R' B' D2 U L'
B2 D' B R' U F2 L'
B2 D' B U F2 D' L2
R' F2 R2 B' R U L'
F' D' B' R' U F2 L'
L' F2 U L R2 B' U
F' D' B' U F2 D' L2
L' F2 U L B' R2 U
F2 D' B' R' U F2 L'
L' F2 U R2 L B' U
F2 D' B' U F2 D' L2
L2 F2 U L2 R2 B U
L2 F2 U R2 L2 B U
L2 F2 U R2 B L2 U
F D' B' R' U F2 L'
U F2 R2 F2 B' U B
F D' B' U F2 D' L2
U F2 R2 B' F2 U B
D2 F2 U2 L2 F U' L2
U2 F2 U' R2 B' U B
R2 F2 U' R2 U B' U
R' F2 D R' B' U L'
U F2 U' R2 F2 B' U
U F2 U' R2 B' F2 U
U F2 U' F2 R2 B' U
U F2 U' F2 B' R2 U
U F2 U' B' R2 F2 U
U F2 U' B' F2 R2 U
R' F2 D' R' B' U L'
U' F2 D2 L2 F U' B2
R2 F2 D B' U2 B' U'
R' F2 D2 R' B' U L'
B' D2 R' U D F2 L'
B' D2 R' D U F2 L'
U2 F2 D2 L2 F U' L2
R2 F2 D' F2 D B' U
R2 F2 D' F2 D' B' U
R2 F2 D' F2 D2 B' U
R2 F2 D' F2 B' U D
R2 F2 D' F2 B' U D'
R2 F2 D' F2 B' U D2
R2 F2 D' F2 B' D U
R2 F2 D' F2 B' D' U
R2 F2 D' F2 B' D2 U
R2 F2 D' B' U D' L2
R2 F2 D' B' D' U L2
R2 F2 D' B' F2 U D
R2 F2 D' B' F2 U D'
R2 F2 D' B' F2 U D2
R2 F2 D' B' F2 D U
R2 F2 D' B' F2 D' U
R2 F2 D' B' F2 D2 U
R2 F2 D2 F B' U L2
R2 F2 D2 F' B' U L2
B' D2 R2 D2 R2 U L2
R2 F2 D2 F2 B' U L2
R2 F2 D2 B' U L2 D
R2 F2 D2 B' U L2 D'
R2 F2 D2 B' U L2 D2
R2 F2 D2 B' D F2 U
R2 F2 D2 B' F U L2
R2 F2 D2 B' F' U L2
R2 F2 D2 B' F2 U L2
R' F2 B' U D L' F
D2 F2 B' U2 L2 U' L2
R' F2 B' D U L' F
R2 F2 B D' F2 U R2
R2 F2 B' U L D2 L2
R2 F2 B' U L' D2 L2
R2 F2 B' U L2 D2 L2
R2 F2 B' U D2 L2 D
R2 F2 B' U D2 L2 D'
R2 F2 B' U D2 L2 D2
R2 F2 B' U' R2 U2 D
R2 F2 B' U' R2 U2 D'
R2 F2 B' U' R2 U2 D2
R2 F2 B' U' R2 D U2
R2 F2 B' U' R2 D' U2
R2 F2 B' U' R2 D2 U2
R2 F2 B' U2 D B2 U'
R2 F2 B' D U2 B2 U'
R2 F2 B' D' F2 U D
R2 F2 B' D' F2 U D'
R2 F2 B' D' F2 U D2
R2 F2 B' D' F2 D U
R2 F2 B' D' F2 D' U
R2 F2 B' D' F2 D2 U
R2 F2 B' D2 U L2 D
R2 F2 B' D2 U L2 D'
R2 F2 B' D2 U L2 D2
R2 F2 B' D2 F U L2
R2 F2 B' D2 F' U L2
R2 F2 B' D2 F2 U L2
B' D2 U2 L2 U' L2 D
B' D2 U2 L2 U' L2 D'
B' D2 U2 L2 U' L2 D2
B' D2 U2 L2 D' B2 U'
B' D2 U2 L2 B U' L2
B' D2 U2 L2 B' U' L2
B' D2 U2 L2 B2 U' L2
F' D2 U2 L2 F U' L2
D F2 B2 U B U B'
R2 F2 B2 D' F2 B U
R2 F2 B2 D' B F2 U
B' D2 U2 B L2 U' L2
R2 F2 B2 D2 B U L2
B' D2 U2 B' L2 U' L2
B' D2 U2 B2 L2 U' L2
F2 D2 U2 L2 F U' L2
B' D2 F U2 L2 U' L2
B D2 U2 L2 F2 U' L2
B D2 U2 F2 L2 U' L2
F D2 U2 L2 F U' L2
B' D2 F' U2 L2 U' L2
B' D2 F2 U2 L2 U' L2
D' B R B2 U L F2
D' B R B2 U F2 L
D' B R' B2 U F2 L'
B2 D2 B U2 L2 U' L2
R2 B R' B2 R U L
F' D2 B' U2 L2 U' L2
F2 D2 B' U2 L2 U' L2
U' B U B2 R2 F' U
D' B U F2 D' L2 R2
D' B U F2 D' R2 L2
L2 B U L2 R2 B' U
D' B U B2 U F2 B2
D' B U B2 U B2 F2
L2 B U L2 B' R2 U
L2 B U R2 L2 B' U
U B R2 U D' R2 B'
U B R2 U D' B' R2
U B R2 D' U R2 B'
U B R2 D' U B' R2
R2 B U D' R2 D' L2
R2 B U D2 L2 D R2
F D2 B' U2 L2 U' L2
U B R2 B2 L U B
U B R2 B2 L' U B
U B R2 B2 L2 U B
U B R2 B2 U D B
U B R2 B2 U D' B
U B R2 B2 U D2 B
U B R2 B2 U B D
U B R2 B2 U B D'
U B R2 B2 U B D2
U B R2 B2 D U B
U B R2 B2 D' U B
U B R2 B2 D2 U B
U2 B U' R2 B2 U B2
U B U D' R2 F2 B'
U B U D' R2 B' F2
U B U D' F2 R2 B'
U B U D' F2 B' R2
U B U D' B' R2 F2
U B U D' B' F2 R2
R2 B U' R2 U B2 U
R2 B U' R2 U2 D' R2
R2 B U' R2 D L2 U2
R2 B U' R2 D' U2 R2
U2 B U' B2 R2 U B2
R2 B U2 D2 F2 U' L2
U2 B D' R2 F2 D B2
U2 B D' F2 R2 D B2
F' B R B2 R U L
R2 B D' U R2 D' L2
F2 B R B2 R U L
U2 B D2 L2 F2 U' L2
R2 B D' F2 U R2 D
R2 B D' F2 U R2 D'
R2 B D' F2 U R2 D2
R2 B D' F2 D B2 U
B' F R' F2 R' U L'
R2 B D' F2 B U R2
R2 B D' F2 B' U R2
R2 B D' F2 B2 U R2
R2 B D' B F2 U R2
R2 B D' B' F2 U R2
R2 B D' B2 F2 U R2
B' F R2 U L D2 L2
B' F R2 U L' D2 L2
B' F R2 U L2 D2 L2
B' F R2 U D2 L2 D
B' F R2 U D2 L2 D'
B' F R2 U D2 L2 D2
U2 B D2 F2 L2 U' L2
U B D' U R2 F2 B'
U B D' U R2 B' F2
U B D' U F2 R2 B'
U B D' U F2 B' R2
U B D' U B' R2 F2
U B D' U B' F2 R2
B' F R2 U' R2 U2 D
B' F R2 U' R2 U2 D'
B' F R2 U' R2 U2 D2
B' F R2 U' R2 D U2
B' F R2 U' R2 D' U2
B' F R2 U' R2 D2 U2
B' F R2 U2 D B2 U'
R2 B D2 U L2 D R2
B' F R2 D U2 B2 U'
B F R B2 R U L
B' F R2 D' F2 U D
B' F R2 D' F2 U D'
B' F R2 D' F2 U D2
B' F R2 D' F2 D U
B' F R2 D' F2 D' U
B' F R2 D' F2 D2 U
R2 B D2 U2 F2 U' L2
B' F R2 D2 U L2 D
B' F R2 D2 U L2 D'
B' F R2 D2 U L2 D2
B' F R2 D2 F U L2
B' F R2 D2 F' U L2
B' F R2 D2 F2 U L2
B' F R2 F U D2 L2
B' F R2 F U' R2 U2
B' F R2 F D' F2 U
B' F R2 F D2 U L2
B' F R2 F' U D2 L2
B' F R2 F' U' R2 U2
B' F R2 F' D' F2 U
B' F R2 F' D2 U L2
B' F R2 F2 U D2 L2
B' F R2 F2 U' R2 U2
B' F R2 F2 D' F2 U
B' F R2 F2 D2 U L2
F' B R2 D' F2 U R2
F B R B2 R U L
F2 B R2 D' F2 U R2
F' B R2 B2 U D2 L2
F' B R2 B2 U' R2 U2
F' B R2 B2 D' F2 U
F' B R2 B2 D2 U L2
B' F U D' F2 D' L2
F2 B R2 B2 U D2 L2
F2 B R2 B2 U' R2 U2
F2 B R2 B2 D' F2 U
F2 B R2 B2 D2 U L2
R2 B F D' F2 U R2
B' F U F2 D' L2 F2
B' F U F2 D' F2 L2
F' B U R2 B2 U B2
B F R2 D' F2 U R2
F2 B U R2 B2 U B2
F' B U B2 R2 U B2
B2 F U B R2 U B'
B F R2 B2 U D2 L2
B F R2 B2 U' R2 U2
B F R2 B2 D' F2 U
B F R2 B2 D2 U L2
F B R2 D' F2 U R2
R2 B F' D' F2 U R2
F2 B U B2 R2 U B2
B F U R2 B2 U B2
F B R2 B2 U D2 L2
F B R2 B2 U' R2 U2
F B R2 B2 D' F2 U
F B R2 B2 D2 U L2
R2 B F2 D' F2 U R2
F B U R2 B2 U B2
B F U B2 R2 U B2
B' F U2 D2 L2 U' L2
R2 B' L D' L' F2 U
R2 B' L D2 L' U L'
F B U B2 R2 U B2
U B' L R2 U' F' U2
U B' L U D' F2 B
U B' L U D' B F2
U B' L U B D' F2
U B' L D' U F2 B
U B' L D' U B F2
R2 B' L' D' L F2 U
R2 B' L' D' F2 L U
R2 B' L' D2 L U L
B' F D' R' U F2 L'
U B' L' R2 U' F' U2
D' B' R U' R' U2 F2
B' F D' U F2 D' L2
U B' L' U D' F2 B
U B' L' U D' B F2
U B' L' U B D' F2
U B' L' D' U F2 B
U B' L' D' U B F2
R2 B' L2 D' F2 U B2
D2 B' R' U D F2 L'
D' B' R' U L F2 L'
D' B' R' U L' F2 L'
D' B' R' U L2 F2 L'
D' B' R' U F2 L' D
D' B' R' U F2 L' D'
D' B' R' U F2 L' D2
D' B' R' U F2 D L'
D' B' R' U F2 D' L'
D' B' R' U F2 D2 L'
U B' L2 R2 U' F' U2
D' B' R' U' R U2 F2
D2 B' R' D U F2 L'
U B' L2 U D' F2 B
U B' L2 U D' B F2
B' F D2 U2 L2 U' L2
U B' L2 U B D' F2
U B' L2 D' U F2 B
U B' L2 D' U B F2
D' B' R' F U F L'
D B' R U' R' B' U2
R2 B' R F2 R' U L'
D' B' R2 U F2 D2 L2
U' B' R2 F' L2 U B'
D' B' R2 U' R2 U2 F2
U' B' R2 F' U' F U2
D2 B' R2 D2 R2 U L2
D B' R' U' R B' U2
D B' R' U' B' R U2
R B' R U B' L B
U' B' U R2 F' U R2
R B' R U2 B' U' L
D' B' U L F2 D' L2
D' B' U L' F2 D' L2
D' B' U L2 F2 D' L2
R B' R D2 F U L'
R' B' U D F2 L' F
D2 B' U D F2 D' L2
U2 B' R2 D2 L2 U L2
R' B' U F2 D L' F
D B' R2 U D2 L2 F
D' B' U F2 L D' L2
D B' R2 U' R2 B' U2
D' B' U F2 L' D' L2
D' B' U F2 L2 D' L2
D B' R2 U' B' R2 U2
D' B' U F2 U' F2 U
D' B' U F2 D' L2 D
D' B' U F2 D' L2 D'
D' B' U F2 D' L2 D2
L2 B' U L2 R2 B' U
L2 B' U L2 B' R2 U
D B' R2 D2 U L2 F
L2 B' U R2 L2 B' U
U B' R2 L U' F' U2
U B' R2 L' U' F' U2
U B' R2 L2 U' F' U2
R2 B' U L U2 R2 U2
R' B' U' D' R U2 F'
R2 B' U L D2 L2 D
R2 B' U L D2 L2 D'
R2 B' U L D2 L2 D2
U B' R2 U R2 B R2
R2 B' U L' U2 R2 U2
R2 B' U L' D2 L2 D
R2 B' U L' D2 L2 D'
R2 B' U L' D2 L2 D2
U B' R2 U' D F' U2
U B' R2 U' D' F' U2
U B' R2 U' D2 F' U2
U B' R2 U' F' U2 D
U B' R2 U' F' U2 D'
U B' R2 U' F' U2 D2
U B' R2 U' F' D U2
U B' R2 U' F' D' U2
U B' R2 U' F' D2 U2
R2 B' U L2 U2 R2 U2
R2 B' U L2 D2 L2 D
R2 B' U L2 D2 L2 D'
R2 B' U L2 D2 L2 D2
U B' R2 U2 R2 U' B
U B' R2 D U' F' U2
U B' R2 D' U' F' U2
U B' R2 D2 U' F' U2
R2 B' U D L D L2
R2 B' U D L' D L2
R2 B' U D L2 D L2
R2 B' U D' L D' L2
R2 B' U D' L' D' L2
R2 B' U D' L2 D' L2
R2 B' U D2 L D L
R2 B' U D2 L D' L
R2 B' U D2 L D2 L
R2 B' U D2 L' D L'
R2 B' U D2 L' D' L'
R2 B' U D2 L' D2 L'
R2 B' U D2 F L2 F'
R2 B' U D2 F2 L2 F2
R2 B' U D2 B' L2 B
R2 B' U D2 B2 L2 B2
R2 B' U F D2 L2 F'
R2 B' U F D2 F' L2
D' B' U2 L U' L' F2
R2 B' U F' D2 F L2
D2 B' U2 L2 U' L2 D
D2 B' U2 L2 U' L2 D'
D2 B' U2 L2 U' L2 D2
D2 B' U2 L2 D' B2 U'
D2 B' U2 L2 B U' L2
D2 B' U2 L2 B' U' L2
D2 B' U2 L2 B2 U' L2
D' B' U2 L' U' L F2
D' B' U2 L' U' F2 L
D' B' U2 L2 U' L2 F2
D' B' U2 L2 U' F2 L2
R2 B' U B D2 B' L2
R2 B' U B' D2 L2 B
R2 B' U B' D2 B L2
D B' U F2 D' L2 F
D' B' U2 D' L2 U' L2
R2 B' U' R D R U2
R2 B' U' R D' R U2
R2 B' U' R D2 R U2
R2 B' U' R' D R' U2
R2 B' U' R' D' R' U2
R2 B' U' R' D2 R' U2
D2 B' U2 B L2 U' L2
U B' U D' F2 D B
U B' U D' F2 D' B
U B' U D' F2 D2 B
U B' U D' F2 B D
U B' U D' F2 B D'
U B' U D' F2 B D2
U B' U D' B F2 D
U B' U D' B F2 D'
U B' U D' B F2 D2
D2 B' U2 B' L2 U' L2
U B' U D2 B D F2
D2 B' U2 B2 L2 U' L2
U B' U F D' F2 B
U B' U F D' B F2
U B' U F B D' F2
R2 B' U' D2 R U2 L2
R2 B' U' D2 R' U2 L2
R2 B' U' D2 R2 U2 L2
U B' U F' D' F2 B
U B' U F' D' B F2
U B' U F' B D' F2
R2 B' U' F R2 U2 B
U B' U F2 D' F2 B
U B' U F2 D' B F2
U B' U F2 B D' F2
R2 B' U' F' R2 F U2
U B' U B U' R2 U
U B' U B D' F2 D
U B' U B D' F2 D'
U B' U B D' F2 D2
U B' U B F D' F2
U B' U B F' D' F2
U B' U B F2 D' F2
R2 B' U' F2 R2 F2 U2
R2 B' U' B R2 B' U2
D2 B' D R' U F2 L'
U B' U B2 D' F2 B'
U B' U B2 D' B' F2
R2 B' U' B' R2 U2 F'
R2 B' U' B2 R2 B2 U2
R' B' D U F2 L' F
D2 B' D U F2 D' L2
D' B' D R2 U D2 L2
D' B' D R2 U' R2 U2
D' B' D R2 D' F2 U
D B' U' B' U' B U'
D' B' D R2 D2 U L2
B' F' R' F2 R' U L'
R' B' D F2 U L' F
U B' U' D B2 U2 B'
D B' U2 L2 U' F L2
R2 B' U2 D B2 U' D
R2 B' U2 D B2 U' D'
R2 B' U2 D B2 U' D2
R2 B' U2 D B2 D U'
R2 B' U2 D B2 D' U'
R2 B' U2 D B2 D2 U'
R2 B' U2 D2 B U' L2
R2 B' U2 D2 B' U' L2
R2 B' U2 D2 B2 U' L2
B' F' R2 U L D2 L2
B' F' R2 U L' D2 L2
F' B' R' F2 R' U L'
B' F' R2 U L2 D2 L2
B' F' R2 U D2 L2 D
B' F' R2 U D2 L2 D'
B' F' R2 U D2 L2 D2
B' F' R2 U' R2 U2 D
B' F' R2 U' R2 U2 D'
B' F' R2 U' R2 U2 D2
B' F' R2 U' R2 D U2
B' F' R2 U' R2 D' U2
B' F' R2 U' R2 D2 U2
R2 B' U2 B U R2 U2
B' F' R2 U2 D B2 U'
R2 B' U2 B U' D2 L2
R2 B' U2 B D B2 U'
R2 B' U2 B D2 U' L2
R2 B' U2 B' U R2 U2
R2 B' U2 B' U' D2 L2
B' F' R2 D U2 B2 U'
R2 B' U2 B' D B2 U'
R2 B' U2 B' D2 U' L2
R2 B' U2 B2 U R2 U2
R2 B' U2 B2 U' D2 L2
F2 B' R' F2 R' U L'
R2 B' U2 B2 D B2 U'
B' F' R2 D' F2 U D
B' F' R2 D' F2 U D'
B' F' R2 D' F2 U D2
B' F' R2 D' F2 D U
B' F' R2 D' F2 D' U
B' F' R2 D' F2 D2 U
R2 B' U2 B2 D2 U' L2
R' B' D' U' R U2 F'
B' F' R2 D2 U L2 D
B' F' R2 D2 U L2 D'
B' F' R2 D2 U L2 D2
B' F' R2 D2 F U L2
B F' R B2 R U L
B' F' R2 D2 F' U L2
B' F' R2 D2 F2 U L2
F' B' R2 U L D2 L2
F' B' R2 U L' D2 L2
B' F' R2 F U D2 L2
F' B' R2 U L2 D2 L2
B' F' R2 F U' R2 U2
B' F' R2 F D' F2 U
B' F' R2 F D2 U L2
F' B' R2 U D2 L2 D
F' B' R2 U D2 L2 D'
F' B' R2 U D2 L2 D2
B' F' R2 F' U D2 L2
B' F' R2 F' U' R2 U2
F' B' R2 U' R2 U2 D
F' B' R2 U' R2 U2 D'
F' B' R2 U' R2 U2 D2
F' B' R2 U' R2 D U2
F' B' R2 U' R2 D' U2
F' B' R2 U' R2 D2 U2
B' F' R2 F' D' F2 U
B' F' R2 F' D2 U L2
B' F' R2 F2 U D2 L2
B' F' R2 F2 U' R2 U2
D' B' D' U2 L2 U' L2
B' F' R2 F2 D' F2 U
B' F' R2 F2 D2 U L2
F' B' R2 U2 D B2 U'
F' B' R2 D U2 B2 U'
F2 B' R2 U L D2 L2
U B' U2 D2 L2 U' B
F2 B' R2 U L' D2 L2
F2 B' R2 U L2 D2 L2
F' B' R2 D' F2 U D
F' B' R2 D' F2 U D'
F' B' R2 D' F2 U D2
F' B' R2 D' F2 D U
F' B' R2 D' F2 D' U
F' B' R2 D' F2 D2 U
R2 B' D U L D L2
R2 B' D U L' D L2
R2 B' D U L2 D L2
F2 B' R2 U D2 L2 D
F2 B' R2 U D2 L2 D'
F2 B' R2 U D2 L2 D2
F' B' R2 D2 U L2 D
F' B' R2 D2 U L2 D'
F' B' R2 D2 U L2 D2
F' B' R2 D2 F U L2
F' B' R2 D2 F' U L2
F' B' R2 D2 F2 U L2
F2 B' R2 U' R2 U2 D
F2 B' R2 U' R2 U2 D'
F2 B' R2 U' R2 U2 D2
F2 B' R2 U' R2 D U2
F2 B' R2 U' R2 D' U2
F2 B' R2 U' R2 D2 U2
F' B' R2 F U D2 L2
F' B' R2 F U' R2 U2
F' B' R2 F D' F2 U
F' B' R2 F D2 U L2
F2 B' R2 U2 D B2 U'
R2 B' D U2 B2 U' D
R2 B' D U2 B2 U' D'
R2 B' D U2 B2 U' D2
R2 B' D U2 B2 D U'
R2 B' D U2 B2 D' U'
R2 B' D U2 B2 D2 U'
F' B' R2 F' U D2 L2
F' B' R2 F' U' R2 U2
F' B' R2 F' D' F2 U
F' B' R2 F' D2 U L2
R2 B' D F U D L2
R2 B' D F U2 B2 U'
R2 B' D F D U L2
R2 B' D F D2 F2 U
F2 B' R2 D U2 B2 U'
F' B' R2 F2 U D2 L2
F' B' R2 F2 U' R2 U2
F' B' R2 F2 D' F2 U
F' B' R2 F2 D2 U L2
R2 B' D F' U D L2
R2 B' D F' U2 B2 U'
R2 B' D F' D U L2
R2 B' D F' D2 F2 U
F2 B' R2 D' F2 U D
F2 B' R2 D' F2 U D'
F2 B' R2 D' F2 U D2
F2 B' R2 D' F2 D U
F2 B' R2 D' F2 D' U
F2 B' R2 D' F2 D2 U
R2 B' D F2 U D L2
R2 B' D F2 U2 B2 U'
R2 B' D F2 D U L2
F2 B' R2 D2 U L2 D
F2 B' R2 D2 U L2 D'
F2 B' R2 D2 U L2 D2
R2 B' D F2 D2 F2 U
F2 B' R2 D2 F U L2
F2 B' R2 D2 F' U L2
F2 B' R2 D2 F2 U L2
F2 B' R2 F U D2 L2
F2 B' R2 F U' R2 U2
F2 B' R2 F D' F2 U
F2 B' R2 F D2 U L2
D2 B' D2 R2 U D2 L2
D2 B' D2 R2 U' R2 U2
D2 B' D2 R2 D' F2 U
D2 B' D2 R2 D2 U L2
F2 B' R2 F' U D2 L2
F2 B' R2 F' U' R2 U2
F2 B' R2 F' D' F2 U
F2 B' R2 F' D2 U L2
F2 B' R2 F2 U D2 L2
F2 B' R2 F2 U' R2 U2
B' F' U D' F2 D' L2
F2 B' R2 F2 D' F2 U
F2 B' R2 F2 D2 U L2
R2 B' D' L' F2 L U
R2 B' D' L2 F2 L2 U
B' F' U F2 D' L2 F2
B' F' U F2 D' F2 L2
R2 B' D' R F2 R' U
F B' R' F2 R' U L'
