L' R U L2 U2
L' R U' D2 R2
L' R D F2 U'
L' R D2 U' R2
R L' U L2 U2
R L' U' D2 R2
R L' D F2 U'
R L' D2 U' R2
L' D R F2 U'
L' D2 R U' R
L' D2 R D U' R D
L' D2 R D U' R D'
L' D2 R D U' R D2
R D2 L' F2 D F2 U'
R D2 L' F2 D2 U' R2
L' D2 R D' U' R D
L' D2 R D' U' R D'
L' D2 R D' U' R D2
L2 D2 R L U L2 U2
L2 D2 R L U' D2 R2
L2 D2 R L D F2 U'
L2 D2 R L D2 U' R2
L' D2 R D2 U' R D
L' D2 R D2 U' R D'
L' D2 R D2 U' R D2
L' D2 R F2 U L' U2
U D2 L U' L2 R U'
U D2 L U' R L2 U'
L2 D2 R F2 L U' R
L' D2 R' U' D R' B2
R D2 L2 F2 L U' R
L' D2 R' D U' R' B2
L' D2 R' F R2 U' R
L' D2 R' F' R2 U' R
L' D2 R' F2 R2 U' R
L D2 R U2 R U R'
R2 D2 R' L' U L2 U2
R2 D2 R' L' U' D2 R2
R2 D2 R' L' D F2 U'
R2 D2 R' L' D2 U' R2
L' D2 R2 D R' U' R
L' D2 R2 D' R' U' R
L' D2 R2 D2 R' U' R
L' D2 R2 F R' U' R
L' D2 R2 F' R' U' R
L' D2 R2 F2 R' U' R
L' D2 U' R' D R' B2
L' D2 U' R2 U R' U'
R D2 U L U' L2 U'
R D2 U L U2 D F2
R D2 U L D U2 F2
R D2 U L D' B2 U2
F U' B2 D R' F' B
F U' B2 D R' B F'
B2 U2 L' R B2 U' R2
F2 U2 L' R U D2 R2
F2 U2 L' R U' L2 U2
F2 U2 L' R D' B2 U
F2 U2 L' R D2 U R2
F2 U2 L' D' R B2 U
F2 U2 L' D' B2 R U
F2 U2 L' D2 R U R
L' D2 F' R U' R B
L' D2 F' U' R B R
R D2 F U L U2 F
B2 U2 R L' B2 U' R2
F2 U2 R L' U D2 R2
F2 U2 R L' U' L2 U2
F2 U2 R L' D' B2 U
F2 U2 R L' D2 U R2
L' D2 F2 U2 L' U R2
L' D2 F2 D' F2 R U'
B2 U2 R B2 L' U' R2
L' D2 B R B' U' R
F2 U2 R B2 L' U R'
L' D2 B2 R B2 U' R
R F L2 U L' B' U2
R' F R2 U L U2 F
R2 F R' U L U2 F
F2 U2 B2 L' R U R2
F2 U2 B2 R L' U R2
R' F U' D B2 R' F'
R F U L U2 D F
R F U L U2 D' F
R F U L U2 D2 F
R F U L U2 F D
R F U L U2 F D'
R F U L U2 F D2
R F U L D U2 F
R F U L D' U2 F
R F U L D2 U2 F
R F U L B U2 F
R F U L B' U2 F
R F U L B2 U2 F
R F U L' B' L2 U2
R F U D L U2 F
R F U D' L U2 F
R F U D2 L U2 F
B2 D L' R U' L' R2
B2 D L' R U' R2 L'
R F U B2 U2 R' F'
R' F D U' B2 R' F'
L' F D R' F2 U' B
L' F D F2 R' U' B
R F U' B2 R' F' B2
R F U' B2 R' B2 F'
B2 D R L' U' L' R2
B2 D R L' U' R2 L'
R F D U L U2 F
R F D' U L U2 F
B D R B' L' F U'
R F D2 U L U2 F
F D U' B2 R' F' B
F D U' B2 R' B F'
L' F' U L F L U2
B D B' L' R F U'
B D B' R L' F U'
L' F' U' R D2 B R2
L' F' U' R B D2 R2
L' F' U' R' D2 R2 B
L' F' U' D2 R B R
R F' U D' L B' U2
L' F' D F R F U'
L' F' D2 R U' R B
L' F' D2 U' R B R
L' F' D2 F R U' R
R F' D' U L B' U2
B D' R B' L' F' U'
F' D' U L F B' U2
F' D' U L B' F U2
F D' U L U2 F B'
F D' U L U2 B' F
L2 F2 L U' R D' B2
L2 F2 L U' D' R B2
L2 F2 L U' D' B2 R
L2 F2 L U2 L2 U R
L2 F2 L D' U' R B2
L2 F2 L D' U' B2 R
L2 F2 L D2 R2 U' R'
U F2 L U L2 R U
U F2 L U R L2 U
R F2 L U2 R U R'
L' F2 R D F2 R U'
R F2 L' D F2 L' U'
L' F2 R' D F2 R U'
R F2 L2 F2 L' U' R
L' F2 R2 D F2 R U'
L' F2 U L2 U L U
B D' B' L' R F' U'
B D' B' R L' F' U'
L' F2 U2 L' U' L' U2
R F2 U L U R U
L' F2 U2 D' L' B2 U
L' F2 U2 D' B2 L' U
L' F2 U2 D2 L' U R2
L' F2 D R F2 R U'
L' F2 D R' F2 R U'
L' F2 D R2 F2 R U'
L' F2 D F2 R U' D
L' F2 D F2 R U' D'
L' F2 D F2 R U' D2
L' F2 D F2 R D U'
L' F2 D F2 R D' U'
L' F2 D F2 R D2 U'
L' F2 D F2 D R U'
L' F2 D F2 D' R U'
L' F2 D F2 D2 R U'
R F2 U2 R U' L U2
R F2 U2 R B2 U R'
L' F2 D' U2 L' B2 U
L' F2 D' U2 B2 L' U
R F2 U2 B2 R U R2
L' F2 D2 U2 L' U R2
L' F2 D2 F2 R U' R
L' B R D F2 B' U'
L' B R D B' F2 U'
L' B R D2 B' U' R2
B2 D2 F2 L' R U R2
L' B R B' U L2 U2
L' B R B' U' D2 R2
L' B R B' D F2 U'
L' B R B' D2 U' R2
B2 D2 F2 R L' U R2
L B U' R B' L2 U'
L' B D R F2 B' U'
L' B D R B' F2 U'
L B U' B' L2 R U'
L B U' B' R L2 U'
L' B D B' R F2 U'
L' B D2 R B' U' R
L' B D2 B' R U' R
R B D B' L' F U'
R B' L' B U L U2
L B' U' L2 B R U'
L' B' D B R F2 U'
L B' U' B L2 R U'
L B' U' B R L2 U'
L' B' D2 B R U' R
U' B2 L' R U' L R2
U' B2 L' R U' R2 L
D2 B2 L' R B2 U' R2
R' B2 L' R2 B2 U' R
D' B2 L' R B2 U' R2
D B2 L' R B2 U' R2
U' B2 R L' U' L R2
U' B2 R L' U' R2 L
D2 B2 R L' B2 U' R2
D' B2 R L' B2 U' R2
L' B2 R D F2 U' L2
U' B2 R' U L' R2 U'
U' B2 R' U R2 L' U'
D2 B2 R B2 L' U' R2
D' B2 R B2 L' U' R2
R B2 L' U' R' D L2
R B2 L' U' D L2 R'
R B2 L' U' D R' L2
L' B2 R B2 U L2 U2
L' B2 R B2 U' D2 R2
L' B2 R B2 D F2 U'
L' B2 R B2 D2 U' R2
R B2 L' D U' L2 R'
R B2 L' D U' R' L2
D B2 R L' B2 U' R2
R B2 L' B2 U L U2
R' B2 R2 L' B2 U' R
D B2 R B2 L' U' R2
U' B2 U L' R U' R2
R' B2 R2 B2 L' U' R
U' B2 U R L' U' R2
U2 B2 U2 L' R U' R2
U2 B2 U2 R L' U' R2
L' B2 D R F2 U' L2
U B2 U' L' R U' R2
L B2 U' L2 R B2 U'
L B2 U' L2 B2 R U'
L B2 U' R L2 B2 U'
U B2 U' R L' U' R2
L B2 U' R B2 L2 U'
L B2 U' B2 L2 R U'
L B2 U' B2 R L2 U'
R B2 D L' U' L' R'
R B2 D L' U' R' L'
