B' U' F' B2 U
B' U' B2 F' U
U' F' B U B2
F' B U F B2
F' B U B2 F
U' B F' U B2
B F' U F B2
B F' U B2 F
R2 B' F D L2 F' R2
B F' U' D2 F2 U2 F'
R2 B' F D F' L2 R2
R2 B' F D F' R2 L2
B F' U' F' U2 F2 B2
B F' U' F' U2 B2 F2
B F' U' F2 U2 F' B2
B F' U' F2 U2 B2 F'
D B' F D' L2 F' R2
D B' F D' F' L2 R2
D B' F D' F' R2 L2
B F' U' B U2 F B
B F' U' B U2 B F
B F' U' B' U2 F B'
B F' U' B' U2 B' F
B F' U2 R U' F B2
B F' U2 R U' B2 F
B F' U2 R' U' F B2
B F' U2 R' U' B2 F
B F' U2 R2 U' F B2
B F' U2 R2 U' B2 F
F B' U' F2 B2 U F
B F' U2 D' R2 U' F
F B' U' B2 F2 U F
B2 F' D B' U F B2
B2 F' D B' U B2 F
B F' D L2 U' B' U2
B F' D U F D' B2
B2 F' D' B' U F B2
B2 F' D' B' U B2 F
F B' D F' D2 L2 R2
F B' D F' D2 R2 L2
B F' D' U F D B2
B F' D' U2 R2 U' F
F B' D' L F' L R2
F B' D' L F' R2 L
F B' D' L2 F R2 F2
F B' D' L2 F' R2 D
F B' D' L2 F' R2 D'
F B' D' L2 F' R2 D2
F B' D' L2 F2 R2 F
B2 F' D2 B' U F B2
B2 F' D2 B' U B2 F
F B' D' F L2 R2 F2
F B' D' F L2 F2 R2
F B' D' F R2 L2 F2
F B' D' F R2 F2 L2
F B' D' F' L2 R2 D
F B' D' F' L2 R2 D'
F B' D' F' L2 R2 D2
F B' D' F' R2 L2 D
F B' D' F' R2 L2 D'
F B' D' F' R2 L2 D2
F B' D' F2 R2 F L2
B F' D2 U' F2 U2 F'
B F2 R F U F B2
B F2 R F U B2 F
D2 B2 U' F' B' U B2
D' B2 U' F' B' U B2
D2 B2 U' B' F' U B2
D' B2 U' B' F' U B2
R2 B2 U F' B' U' B2
R2 B2 U B' F' U' B2
B F2 R' F U F B2
B F2 R' F U B2 F
U' B2 D F' B' U B2
D B2 U' F' B' U B2
F' B2 U F B D' R2
U' B2 D B' F' U B2
D B2 U' B' F' U B2
B F2 R2 F U F B2
B F2 R2 F U B2 F
F' B2 U B D' R2 F
F' B2 U B D' F R2
F' B2 U B F D' R2
B' F2 U' F B2 U F
L B2 U' F' B' L' U
L B2 U' B' F' L' U
B' F2 U' B2 F U F
U' B2 D' F' B' U B2
U' B2 D' B' F' U B2
U B2 U2 F' B' U B2
U B2 U2 B' F' U B2
U' B2 D2 F' B' U B2
U' B2 D2 B' F' U B2
F' B2 D B' U F B2
F' B2 D B' U B2 F
U' B2 F' U B D' R2
U' B2 F' D B' U B2
U' B2 F' D' B' U B2
U' B2 F' D2 B' U B2
B F2 D R2 F L2 U
B F2 D F L2 R2 U
B F2 D F R2 L2 U
F' B2 D' B' U F B2
F' B2 D' B' U B2 F
F' B2 D2 B' U F B2
F' B2 D2 B' U B2 F
