L2 R' B' R' B
R' L2 B' R' B
B2 L2 R2 B R'
B' L2 R2 B R
R2 L2 B' R' B2
L2 R2 B' R' B2
F2 L2 F2 B' R'
F2 L2 B' R' F2
F2 L2 B' F2 R'
B' R2 L2 B R
L2 U2 F' L' U2
B2 R2 L2 B R'
B' R2 B L2 R
B' R2 B R L2
B2 R2 B L2 R'
B2 R2 B R' L2
F' U2 F L2 R
F' U2 F R L2
U2 F' L' U2 L'
R' B' L2 R' B
R' B' R' L2 B
R' B' R' B L2
R2 B' L2 R' B2
R2 B' R' L2 B2
R2 B' R' B2 L2
L2 B' R2 B R
L2 B2 R2 B R'
F2 R L2 F2 D2 B' R'
F2 R L2 F2 B' R' D
F2 R L2 F2 B' R' D'
F2 R L2 F2 B' R' D2
F2 R L2 F2 B' D R'
F2 R L2 F2 B' D' R'
F2 R L2 F2 B' D2 R'
F2 R L2 B' R F2 R2
F2 R L2 B' R' F2 D
F2 R L2 B' R' F2 D'
F2 R L2 B' R' F2 D2
F2 R L2 B' F R' F
F2 R L2 B' F2 R' D
F2 R L2 B' F2 R' D'
F2 R L2 B' F2 R' D2
F2 R L2 B' F2 D R'
F2 R L2 B' F2 D' R'
F2 R L2 B' F2 D2 R'
B R L2 F2 R F2 B
B R L2 F2 R B F2
L2 U F2 U F U2 R
F' R U2 R F L2 R
F' R U2 R F R L2
F' R U2 R' F L2 R
F' R U2 R' F R L2
F' R U2 R2 F L2 R
F' R U2 R2 F R L2
U2 R U2 L' B' L' R'
U2 R U2 L' B' R' L'
B R U2 L F U2 L
F' R U2 F L2 R D
F' R U2 F L2 R D'
F' R U2 F L2 R D2
F' R U2 F L2 D R
F' R U2 F L2 D' R
F' R U2 F L2 D2 R
F' R U2 F R L2 D
F' R U2 F R L2 D'
F' R U2 F R L2 D2
F' R U2 F2 L2 F' R
R2 U B2 U' B' L2 R'
R2 U B2 U' B' R' L2
F' R D2 R2 U2 F R
U2 R F R B L2 F
L2 U' L' B' U' F' U2
F2 R F U2 F L2 R
F2 R F U2 F R L2
F R F L2 B' R' F'
R2 U' L' B' U L' B2
R2 U' L' B' U B2 L'
F' R F' L2 F2 B' R'
F' R F' L2 B' R' F2
F' R F' L2 B' F2 R'
U2 R F' L' U2 L' B'
B R F2 L2 F2 R B
B' R B L2 R B R
B' R B R L2 B R
B' R B R B L2 R
B' R B R B R L2
B2 R B L2 R B R2
B2 R B R L2 B R2
B2 R B R B L2 R2
B2 R B R B R2 L2
F2 R B L2 F2 R B'
F2 R B L2 F2 B' R
F2 R B L2 B' F2 R
U2 R B L2 F R B
B R B L2 R B R'
B R B R L2 B R'
B R B R B L2 R'
B R B R B R' L2
B' R B' L2 R B R
B' R B' R L2 B R
B' R B' R B L2 R
B' R B' R B R L2
F2 R B' L2 R' F2 B'
F2 R B' L2 R' B' F2
F2 R B' L2 F2 R' B'
F2 R B' R' L2 F2 B'
F2 R B' R' L2 B' F2
F' R B' U2 R' F L2
F' R B' U2 F L2 R'
F' R B' U2 F R' L2
B' R B2 L2 R B R
B' R B2 R L2 B R
B' R B2 R B L2 R
B' R B2 R B R L2
B R B2 L2 R B R2
B R B2 R L2 B R2
B R B2 R B L2 R2
B R B2 R B R2 L2
B' R' L D2 L D B'
B' R' L D2 L D' B'
B' R' L D2 L D2 B'
B' R' L D2 L B' D
B' R' L D2 L B' D'
B' R' L D2 L B' D2
F2 R' L F2 L B' R'
B' R' L' D2 L B' L2
B2 R' L' B L' R' B
B2 R' L' B R' L' B
B2 R' L' B R' B L'
B' R' L2 U R' U' B
B' R' L2 D2 L B' L'
B' R' L2 B R' B R
B' R' L2 B' R' B R
F2 R' L2 F B' R' F
B' R' L2 B2 R' B R
B2 R' L2 B R' D B
B2 R' L2 B R' D' B
B2 R' L2 B R' D2 B
B2 R' L2 B R' B D
B2 R' L2 B R' B D'
B2 R' L2 B R' B D2
F2 R' L2 F2 R B' R'
F2 R' L2 F2 R' B' R'
F2 R' L2 F2 R2 B' R'
F2 R' L2 F2 D B' R'
F2 R' L2 F2 D' B' R'
F2 R' L2 F2 D2 B' R'
F2 R' L2 F2 B' R' D
F2 R' L2 F2 B' R' D'
F2 R' L2 F2 B' R' D2
F2 R' L2 F2 B' D R'
F2 R' L2 F2 B' D' R'
F2 R' L2 F2 B' D2 R'
F2 R' L2 B' R F2 R2
F2 R' L2 B' R' F2 D
F2 R' L2 B' R' F2 D'
F2 R' L2 B' R' F2 D2
F2 R' L2 B' F R' F
F2 R' L2 B' F2 R' D
F2 R' L2 B' F2 R' D'
F2 R' L2 B' F2 R' D2
F2 R' L2 B' F2 D R'
F2 R' L2 B' F2 D' R'
F2 R' L2 B' F2 D2 R'
B' R' U R' U' L2 B
B' R' U R' U' B L2
B' R' U2 R F' U2 L2
F' R' U2 R F L2 R
F' R' U2 R F R L2
B' R' U2 R' U2 L2 B
B' R' U2 R' U2 B L2
L2 U' B U' F' L' U2
F' R' U2 R' F L2 R
F' R' U2 R' F R L2
F' R' U2 R2 F L2 R
F' R' U2 R2 F R L2
U2 R' U2 L2 B' R' B
F' R' U2 F L2 R D
F' R' U2 F L2 R D'
F' R' U2 F L2 R D2
F' R' U2 F L2 D R
F' R' U2 F L2 D' R
F' R' U2 F L2 D2 R
F' R' U2 F R L2 D
F' R' U2 F R L2 D'
F' R' U2 F R L2 D2
F' R' U2 F2 L2 F' R
U2 R' U2 B' L2 R' B
U2 R' U2 B' R' L2 B
U2 R' U2 B' R' B L2
L2 U' B' U' F' L' U2
L2 U' B2 U' F' L' U2
R2 U' B2 U B' L2 R'
R2 U' B2 U B' R' L2
B' R' D2 L D2 B' L2
B' R' D2 L B' D2 L2
L' U2 L F' L' U2 L'
B' R' D2 L' D2 L2 B'
L2 U2 L D F' L' U2
L2 U2 L D' F' L' U2
F' R' D2 R2 U2 F R
L2 U2 L D2 F' L' U2
L2 U2 L F' L' U2 D
L2 U2 L F' L' U2 D'
L2 U2 L F' L' U2 D2
L2 U2 L F' L' D U2
L2 U2 L F' L' D' U2
L2 U2 L F' L' D2 U2
L2 U2 L F' D L' U2
L2 U2 L F' D' L' U2
L2 U2 L F' D2 L' U2
U R' D' F' R B2 U'
U R' D' F' B2 R U'
U R' D' B2 F' R U'
L U2 L F' L' U2 L
R U2 L F U2 L R
R U2 L F U2 R L
L' U2 L' F' L' U2 L
L2 U2 L' D F' L' U2
L2 U2 L' D' F' L' U2
L2 U2 L' D2 F' L' U2
L2 U2 L' F' L' U2 D
L2 U2 L' F' L' U2 D'
L2 U2 L' F' L' U2 D2
L2 U2 L' F' L' D U2
L2 U2 L' F' L' D' U2
L2 U2 L' F' L' D2 U2
L2 U2 L' F' D L' U2
L2 U2 L' F' D' L' U2
L2 U2 L' F' D2 L' U2
R U2 L' U2 B' L' R'
R U2 L' U2 B' R' L'
F2 R' F U2 F L2 R
F2 R' F U2 F R L2
L U2 L' F' L' U2 L'
L' U2 L2 F' L' U2 L2
F' R' F' L2 F2 B' R'
F' R' F' L2 B' R' F2
F' R' F' L2 B' F2 R'
L2 U2 L2 D F' L' U2
L2 U2 L2 D' F' L' U2
L2 U2 L2 D2 F' L' U2
L2 U2 L2 F' L' U2 D
L2 U2 L2 F' L' U2 D'
L2 U2 L2 F' L' U2 D2
L2 U2 L2 F' L' D U2
L2 U2 L2 F' L' D' U2
L2 U2 L2 F' L' D2 U2
L2 U2 L2 F' D L' U2
L2 U2 L2 F' D' L' U2
L2 U2 L2 F' D2 L' U2
L' U2 R U2 L' B' R'
R' U2 R F' L' U2 L'
U R' F' R' U' L2 B
U R' F' R' U' B L2
B' R' B L D2 L B'
R' U2 R' B L2 F R
B' R' B L2 R' B R
B' R' B R' L2 B R
B2 R' B L' R' B L'
B' R' B R' B L2 R
B' R' B R' B R L2
B2 R' B L2 R' D B
B2 R' B L2 R' D' B
B2 R' B L2 R' D2 B
B2 R' B L2 R' B D
B2 R' B L2 R' B D'
B2 R' B L2 R' B D2
F2 R' B L2 F2 R B'
F2 R' B L2 F2 B' R
F2 R' B L2 B' F2 R
B2 R' B R' L' B L'
B2 R' B R' L2 D B
B2 R' B R' L2 D' B
B2 R' B R' L2 D2 B
B2 R' B R' L2 B D
B2 R' B R' L2 B D'
B2 R' B R' L2 B D2
B2 R' B R' B L2 D
B2 R' B R' B L2 D'
B2 R' B R' B L2 D2
B2 R' B R' B' L2 B2
B R' B L2 R' B R'
B R' B L2 B R' B
B R' B R' L2 B R'
B R' B R' B L2 R'
B R' B R' B R' L2
B' R' B' L D2 L B'
B' R' B' L2 R' B R
D2 R' B' R' B' L B2
D' R' B' R' B D L2
B' R' B' R' L2 B R
B' R' B' R' B L2 R
B' R' B' R' B R L2
F2 R' B' L2 R' F2 B'
F2 R' B' L2 R' B' F2
F2 R' B' L2 F2 R' B'
F' R' B' U2 R' F L2
F2 R' B' R' L2 F2 B'
F2 R' B' R' L2 B' F2
F' R' B' U2 F L2 R'
F' R' B' U2 F R' L2
R2 U2 R2 F' L' U2 L'
B R' B' L2 B' R' B
D2 R' B2 L R' B R'
L2 U2 D L F' L' U2
D2 R' B2 L B R' B
D R' B' R' D' L2 B
D R' B' R' D' B L2
D R' B' R' B D' L2
L2 U2 D L' F' L' U2
B' R' B2 L D2 L B'
L2 U2 D L2 F' L' U2
B' R' B2 L2 R' B R
D2 R' B2 R' L B R'
B' R' B2 R' L2 B R
B' R' B2 R' B L2 R
B' R' B2 R' B R L2
L2 U2 D F' L' U2 D
L2 U2 D F' L' U2 D'
L2 U2 D F' L' U2 D2
L2 U2 D F' L' D U2
L2 U2 D F' L' D' U2
L2 U2 D F' L' D2 U2
L2 U2 D F' D L' U2
L2 U2 D F' D' L' U2
L2 U2 D F' D2 L' U2
B2 R' B2 L2 B' R' B
B R' B2 L' R' B L'
L2 U2 D' L F' L' U2
B R' B2 L2 R' D B
B R' B2 L2 R' D' B
B R' B2 L2 R' D2 B
B R' B2 L2 R' B D
B R' B2 L2 R' B D'
B R' B2 L2 R' B D2
L2 U2 D' L' F' L' U2
L2 U2 D' L2 F' L' U2
B R' B2 R' L' B L'
B R' B2 R' L2 D B
B R' B2 R' L2 D' B
B R' B2 R' L2 D2 B
B R' B2 R' L2 B D
B R' B2 R' L2 B D'
B R' B2 R' L2 B D2
L U2 D F' L' U2 L2
B R' B2 R' B L2 D
B R' B2 R' B L2 D'
B R' B2 R' B L2 D2
B R' B2 R' B' L2 B2
L2 U2 D' F' L' U2 D
L2 U2 D' F' L' U2 D'
L2 U2 D' F' L' U2 D2
L2 U2 D' F' L' D U2
L2 U2 D' F' L' D' U2
B' R2 L D L B R
L2 U2 D' F' L' D2 U2
L2 U2 D' F' D L' U2
L2 U2 D' F' D' L' U2
L2 U2 D' F' D2 L' U2
B' R2 L D' L B R
B' R2 L D2 L B R
L2 U2 D2 L F' L' U2
L2 U2 D2 L' F' L' U2
L2 U2 D2 L2 F' L' U2
L U2 D' F' L' U2 L2
F2 R2 L F2 L B' R'
L2 U2 D2 F' L' U2 D
L2 U2 D2 F' L' U2 D'
L2 U2 D2 F' L' U2 D2
L2 U2 D2 F' L' D U2
L2 U2 D2 F' L' D' U2
L2 U2 D2 F' L' D2 U2
B' R2 L' D L' B R
L2 U2 D2 F' D L' U2
L2 U2 D2 F' D' L' U2
L2 U2 D2 F' D2 L' U2
B' R2 L' D B L' R
B' R2 L' D B R L'
B' R2 L' D' L' B R
R2 U2 D2 R2 F' L' U2
B' R2 L' D' B L' R
B' R2 L' D' B R L'
B' R2 L' D2 L' B R
B' R2 L' D2 B L' R
B' R2 L' D2 B R L'
L2 U2 F L F2 L' U2
B' R2 L' B L' R D
B' R2 L' B L' R D'
B' R2 L' B L' R D2
B' R2 L' B L' D R
B' R2 L' B L' D' R
B' R2 L' B L' D2 R
B' R2 L' B R L' D
B' R2 L' B R L' D'
B' R2 L' B R L' D2
B' R2 L' B R D L'
B' R2 L' B R D' L'
B' R2 L' B R D2 L'
B' R2 L' B D L' R
B' R2 L' B D R L'
L2 U2 F L' F2 L' U2
B' R2 L' B D' L' R
B' R2 L' B D' R L'
B' R2 L' B D2 L' R
B' R2 L' B D2 R L'
B' R2 L' B' L' R B2
B' R2 L' B' L' B2 R
B' R2 L' B' R L' B2
B' R2 L' B' R B2 L'
L2 U2 F L2 F2 L' U2
L U2 D2 F' L' U2 L2
B' R2 L' B2 R B' L'
B2 R2 L' B L' R' D
B2 R2 L' B L' R' D'
B2 R2 L' B L' R' D2
B2 R2 L' B L' D R'
B2 R2 L' B L' D' R'
B2 R2 L' B L' D2 R'
B2 R2 L' B R' L' D
B2 R2 L' B R' L' D'
B2 R2 L' B R' L' D2
B2 R2 L' B R' D L'
B2 R2 L' B R' D' L'
B2 R2 L' B R' D2 L'
B2 R2 L' B D L' R'
B2 R2 L' B D R' L'
B2 R2 L' B D' L' R'
B2 R2 L' B D' R' L'
B2 R2 L' B D2 L' R'
B2 R2 L' B D2 R' L'
B R2 L' D2 L' B R2
B R2 L' D2 B L' R2
B R2 L' D2 B R2 L'
B' R2 L2 D B R D
B' R2 L2 D B R D'
B' R2 L2 D B R D2
B' R2 L2 D B D R
B' R2 L2 D B D' R
B' R2 L2 D B D2 R
B' R2 L2 D B' R B2
B' R2 L2 D B2 R B'
L2 U2 F U2 R D2 B2
L2 U2 F U2 D2 R B2
L2 U2 F U2 D2 B2 R
B' R2 L2 D' B R D
B' R2 L2 D' B R D'
B' R2 L2 D' B R D2
B' R2 L2 D' B D R
B' R2 L2 D' B D' R
B' R2 L2 D' B D2 R
B' R2 L2 D' B' R B2
U' R2 L2 D' F2 B R'
U' R2 L2 D' B R' F2
B' R2 L2 D' B2 R B'
U' R2 L2 D' B F2 R'
B' R2 L2 D2 B R D
B' R2 L2 D2 B R D'
B' R2 L2 D2 B R D2
B' R2 L2 D2 B D R
B' R2 L2 D2 B D' R
B' R2 L2 D2 B D2 R
B' R2 L2 D2 B' R B2
B' R2 L2 D2 B2 R B'
B R2 L' B D2 L' R2
B R2 L' B D2 R2 L'
R2 U2 F U2 L2 B R
R2 U2 F U2 B L2 R
R2 U2 F U2 B R L2
L2 U2 F D2 U2 R B2
L2 U2 F D2 U2 B2 R
B' R2 L2 B R2 D R'
B' R2 L2 B R2 D' R'
B' R2 L2 B R2 D2 R'
B' R2 L2 B D R D
B' R2 L2 B D R D'
B' R2 L2 B D R D2
B' R2 L2 B D' R D
B' R2 L2 B D' R D'
B' R2 L2 B D' R D2
B' R2 L2 B D2 R D
B' R2 L2 B D2 R D'
B' R2 L2 B D2 R D2
B' R2 L2 B' R B2 D
B' R2 L2 B' R B2 D'
B' R2 L2 B' R B2 D2
B' R2 L2 B' R' B2 R2
R2 U2 F B L2 R F
F2 R2 L2 F B' R' F
L2 U2 F' L U2 D2 R2
R2 U2 F B R L2 F
B' R2 L2 B2 R D B'
B' R2 L2 B2 R D' B'
B' R2 L2 B2 R D2 B'
B2 R2 L2 F' B R' F
B' R2 L2 B2 R B' D
B' R2 L2 B2 R B' D'
B' R2 L2 B2 R B' D2
B' R2 L2 B2 R' B' R2
L2 U2 F' L D2 U2 R2
B R2 L2 U2 L' U2 B
B' R2 L2 B2 D R B'
B' R2 L2 B2 D B' R
B' R2 L2 B2 D' R B'
B' R2 L2 B2 D' B' R
B' R2 L2 B2 D2 R B'
B' R2 L2 B2 D2 B' R
B2 R2 L2 F2 B R' F2
F2 R2 L2 F2 R B' R'
F2 R2 L2 F2 R' B' R'
F2 R2 L2 F2 R2 B' R'
B2 R2 L2 B R2 D R
B2 R2 L2 B R2 D' R
B2 R2 L2 B R2 D2 R
F2 R2 L2 F2 D B' R'
B2 R2 L2 B D R' D
B2 R2 L2 B D R' D'
B2 R2 L2 B D R' D2
F2 R2 L2 F2 D' B' R'
B2 R2 L2 B D' R' D
B2 R2 L2 B D' R' D'
B2 R2 L2 B D' R' D2
F2 R2 L2 F2 D2 B' R'
B2 R2 L2 B D2 R' D
B2 R2 L2 B D2 R' D'
B2 R2 L2 B D2 R' D2
F2 R2 L2 F2 B' R' D
F2 R2 L2 F2 B' R' D'
F2 R2 L2 F2 B' R' D2
F2 R2 L2 F2 B' D R'
F2 R2 L2 F2 B' D' R'
F2 R2 L2 F2 B' D2 R'
L2 U2 F' L2 D L U2
B2 R2 L2 B F' R' F
L2 U2 F' L2 D' L U2
B2 R2 L2 B F2 R' F2
L2 U2 F' L2 D2 L U2
B2 R2 L2 B' R B2 R'
B2 R2 L2 B' R' B2 R'
R U2 F U2 L2 R B
B2 R2 L2 B' R2 B2 R'
R U2 F U2 R L2 B
R U2 F U2 R B L2
F2 R2 L2 B' R F2 R2
F2 R2 L2 B' R' F2 D
F2 R2 L2 B' R' F2 D'
F2 R2 L2 B' R' F2 D2
B2 R2 L2 B2 R B' R'
B2 R2 L2 B2 R' B' R'
B2 R2 L2 B2 R2 B' R'
R2 U2 F' L' U2 L' B
R2 U2 F' L' U2 B L'
B2 R2 L2 B2 D B' R'
B2 R2 L2 B2 D' B' R'
F2 R2 L2 B' F R' F
B2 R2 L2 B2 D2 B' R'
F2 R2 L2 B' F2 R' D
F2 R2 L2 B' F2 R' D'
F2 R2 L2 B' F2 R' D2
F2 R2 L2 B' F2 D R'
F2 R2 L2 B' F2 D' R'
F2 R2 L2 B' F2 D2 R'
B R2 L2 F2 B R F2
L2 U2 F' U' F2 U' R
B R2 L2 B U2 L' U2
U R2 L2 D F2 B R'
U R2 L2 D B R' F2
U R2 L2 D B F2 R'
B R2 L2 B F2 R F2
L2 U2 F' U2 F2 R F2
L2 U2 F' D L' U2 D
L2 U2 F' D L' U2 D'
L2 U2 F' D L' U2 D2
L2 U2 F' D L' D U2
L2 U2 F' D L' D' U2
L2 U2 F' D L' D2 U2
L U2 F' L' R U2 L2
L U2 F' L' R' U2 L2
L U2 F' L' R2 U2 L2
L U2 F' L' U2 L2 D
L U2 F' L' U2 L2 D'
L U2 F' L' U2 L2 D2
L U2 F' L' D2 R2 U2
L2 U2 F' D' L' U2 D
L2 U2 F' D' L' U2 D'
L2 U2 F' D' L' U2 D2
L2 U2 F' D' L' D U2
L2 U2 F' D' L' D' U2
L2 U2 F' D' L' D2 U2
R U2 F' L' U2 B' L'
L2 U2 F' D2 L' U2 D
L2 U2 F' D2 L' U2 D'
L2 U2 F' D2 L' U2 D2
L2 U2 F' D2 L' D U2
L2 U2 F' D2 L' D' U2
L2 U2 F' D2 L' D2 U2
L U2 F' R L' U2 L2
L' U2 F2 R F L' U2
L U2 F' R' L' U2 L2
L2 U2 F' B' L' B U2
L U2 F' R2 L' U2 L2
L2 U2 F' B2 L' B2 U2
D' R2 U B2 U' B' R'
L U2 F' U2 L D2 R2
L U2 F' D L' U2 L2
L U2 F' D' L' U2 L2
L U2 F' D2 L' U2 L2
R2 U2 B L2 R F R
R2 U2 B L2 R' F R
R2 U2 B L2 R2 F R
F' R2 U2 R F L2 R
R2 U2 B L2 D F R
F' R2 U2 R F R L2
R2 U2 B L2 D' F R
R2 U2 B L2 D2 F R
U R2 U' L2 D B R'
R2 U2 B L2 F R D
R2 U2 B L2 F R D'
R2 U2 B L2 F R D2
R2 U2 B L2 F D R
R2 U2 B L2 F D' R
R2 U2 B L2 F D2 R
R2 U2 B R L2 F R
F' R2 U2 R' F L2 R
F' R2 U2 R' F R L2
R2 U2 B R' L2 F R
F' R2 U2 R2 F L2 R
F' R2 U2 R2 F R L2
R2 U2 B R2 L2 F R
U2 R2 U2 L2 B' R' B2
F' R2 U2 F L2 R D
F' R2 U2 F L2 R D'
F' R2 U2 F L2 R D2
F' R2 U2 F L2 D R
F' R2 U2 F L2 D' R
F' R2 U2 F L2 D2 R
F' R2 U2 F R L2 D
F' R2 U2 F R L2 D'
F' R2 U2 F R L2 D2
B R2 U2 L U2 L B
F' R2 U2 F2 L2 F' R
B' R2 U2 B L2 R F
B' R2 U2 B R L2 F
R2 U2 B F L2 R F
R2 U2 B F R L2 F
B2 R2 U2 B L2 R' F
B2 R2 U2 B L2 F R'
B2 R2 U2 B R' L2 F
D' R2 D L2 B' R' B2
U2 R2 U2 B' L2 R' B2
U2 R2 U2 B' R' L2 B2
U2 R2 U2 B' R' B2 L2
D' R2 D B' L2 R' B2
D' R2 D B' R' L2 B2
D' R2 D B' R' B2 L2
L2 U2 B' F' L' B U2
B' R2 D B R D' L2
B' R2 D B D' L2 R
B' R2 D B D' R L2
D R2 D B' R' B2 L
D' R2 D' B' R' B2 L
L2 U2 B2 F' L' B2 U2
D R2 D' L2 B' R' B2
F' R2 D2 R2 U2 F R
D R2 D' B' L2 R' B2
D R2 D' B' R' L2 B2
D R2 D' B' R' B2 L2
L' D L' R' B' R' B
L' D L' R2 B' R' B2
L D L R' B' R' B
L D L R2 B' R' B2
U2 R2 D2 R2 F' L' U2
B' R2 D2 B D2 L2 R
B' R2 D2 B D2 R L2
L' D L' U2 F' L' U2
L D L U2 F' L' U2
B' R2 F L2 F' B R
B' R2 F L2 B F' R
L' D L' B' R2 B R
B2 R2 F L2 F' B R'
B2 R2 F L2 B F' R'
L' D L' B2 R2 B R'
L D L B' R2 B R
L D L B2 R2 B R'
B' R2 F B L2 F' R
F2 R2 F U2 F L2 R
F2 R2 F U2 F R L2
U2 R2 F U2 L2 B R
U2 R2 F U2 B L2 R
U2 R2 F U2 B R L2
B2 R2 F B L2 F' R'
F' R2 F' L2 F2 B' R'
F' R2 F' L2 B' R' F2
F' R2 F' L2 B' F2 R'
U2 R2 F B L2 R F
U2 R2 F B R L2 F
U2 R2 F' L' U2 L' B
U2 R2 F' L' U2 B L'
D2 R2 F' U2 F B R
D2 R2 F' U2 B F R
B2 R2 F' B R' F L2
B2 R2 F2 L2 F2 B R'
B2 R2 F2 L2 B R' F2
B2 R2 F2 L2 B F2 R'
L' D R' L' B' R' B
L2 D R B' R B R2
B R2 F2 L2 F2 B R
B R2 F2 L2 B F2 R
L2 D R B2 R B R'
B' R2 B L R D L
B' R2 B L R D' L
B' R2 B L R D2 L
B' R2 B L D L R
B' R2 B L D R L
B' R2 B L D' L R
B' R2 B L D' R L
B' R2 B L D2 L R
B' R2 B L D2 R L
B2 R2 F2 B L2 R' F2
B2 R2 F2 B L2 F2 R'
B2 R2 F2 B R' L2 F2
B2 R2 F2 B R' F2 L2
B' R2 B L' R D L'
B' R2 B L' R D' L'
B' R2 B L' R D2 L'
B' R2 B L' D L' R
B' R2 B L' D R L'
B' R2 B L' D' L' R
B' R2 B L' D' R L'
B' R2 B L' D2 L' R
B' R2 B L' D2 R L'
B' R2 B L2 R2 D R'
B' R2 B L2 R2 D' R'
B' R2 B L2 R2 D2 R'
B' R2 B L2 D R D
B' R2 B L2 D R D'
B' R2 B L2 D R D2
B' R2 B L2 D' R D
B' R2 B L2 D' R D'
B' R2 B L2 D' R D2
B' R2 B L2 D2 R D
B' R2 B L2 D2 R D'
B' R2 B L2 D2 R D2
B' R2 B L2 B R B'
B' R2 B L2 B2 R B2
B' R2 B R L D L
B' R2 B R L D' L
B' R2 B R L D2 L
B' R2 B R L' D L'
B' R2 B R L' D' L'
B' R2 B R L' D2 L'
B2 R2 B L R' D L
B2 R2 B L R' D' L
B2 R2 B L R' D2 L
B2 R2 B L D L R'
B2 R2 B L D R' L
B2 R2 B L D' L R'
B2 R2 B L D' R' L
B' R2 B R F L2 F'
B2 R2 B L D2 L R'
B2 R2 B L D2 R' L
B' R2 B R F2 L2 F2
B' R2 B R B' L2 B
B' R2 B R B2 L2 B2
B2 R2 B L' R' D L'
B2 R2 B L' R' D' L'
B2 R2 B L' R' D2 L'
B2 R2 B L' D L' R'
B2 R2 B L' D R' L'
B2 R2 B L' D' L' R'
B2 R2 B L' D' R' L'
B2 R2 B L' D2 L' R'
B2 R2 B L' D2 R' L'
B' R2 B R2 L2 D R'
B' R2 B R2 L2 D' R'
B' R2 B R2 L2 D2 R'
B2 R2 B L2 R2 D R
B2 R2 B L2 R2 D' R
B2 R2 B L2 R2 D2 R
L' D R' B' L' R' B
B2 R2 B L2 D R' D
B2 R2 B L2 D R' D'
B2 R2 B L2 D R' D2
B2 R2 B L2 D' R' D
B2 R2 B L2 D' R' D'
B2 R2 B L2 D' R' D2
B2 R2 B L2 D2 R' D
B2 R2 B L2 D2 R' D'
B2 R2 B L2 D2 R' D2
L' D R' B' R' L' B
L' D R' B' R' B L'
B2 R2 B L2 F' R' F
B2 R2 B L2 F2 R' F2
D2 R2 B U2 L U2 L'
F2 R2 B L2 F2 R B'
F2 R2 B L2 F2 B' R
B2 R2 B R' L D L
B2 R2 B R' L D' L
B2 R2 B R' L D2 L
B2 R2 B R' L' D L'
B2 R2 B R' L' D' L'
B2 R2 B R' L' D2 L'
F2 R2 B L2 B' F2 R
B2 R2 B R' F L2 F'
U2 R2 B L2 R F R
U2 R2 B L2 R' F R
B2 R2 B R' F2 L2 F2
U2 R2 B L2 R2 F R
B2 R2 B R' B' L2 B
B2 R2 B R' B2 L2 B2
U2 R2 B L2 D F R
B2 R2 B R2 L2 D R
B2 R2 B R2 L2 D' R
B2 R2 B R2 L2 D2 R
U2 R2 B L2 D' F R
U2 R2 B L2 D2 F R
U2 R2 B L2 F R D
U2 R2 B L2 F R D'
U2 R2 B L2 F R D2
U2 R2 B L2 F D R
U2 R2 B L2 F D' R
U2 R2 B L2 F D2 R
L' D R2 L' B' R' B2
U2 R2 B R L2 F R
B' R2 B D R D' L2
U2 R2 B R' L2 F R
B' R2 B D' R D L2
L D R' L B' R' B
U2 R2 B R2 L2 F R
B' R2 B F L2 F' R
F R2 F2 B L U2 L
B2 R2 B D R' D' L2
L2 D R' B' R' D B
L2 D R' B' R' D' B
L2 D R' B' R' D2 B
L2 D R' B' R' B D
L2 D R' B' R' B D'
L2 D R' B' R' B D2
B2 R2 B D' R' D L2
B R2 B L2 B R' B'
L2 D R' B2 R' B R'
B' R2 B' L' R B2 L'
B2 R2 B F L2 F' R'
F R2 B L F2 U2 L
B' R2 B' L' B2 L' R
B' R2 B' L' B2 R L'
B2 R2 B F' R' F L2
B' R2 B' L2 R B2 D
B' R2 B' L2 R B2 D'
B' R2 B' L2 R B2 D2
B' R2 B' L2 R' B2 R2
D2 R2 B' R B2 L R2
D2 R2 B' R B2 R2 L
B2 R2 B F2 L2 R' F2
B2 R2 B F2 L2 F2 R'
B2 R2 B F2 R' L2 F2
B2 R2 B F2 R' F2 L2
L D R' D2 L B' R'
B' R2 B' L2 B' R B'
B' R2 B' L2 B2 R D
B' R2 B' L2 B2 R D'
B' R2 B' L2 B2 R D2
B' R2 B' L2 B2 D R
B' R2 B' L2 B2 D' R
B' R2 B' L2 B2 D2 R
B' R2 B' R L' B2 L'
B' R2 B' R L2 B2 D
B' R2 B' R L2 B2 D'
B' R2 B' R L2 B2 D2
U2 R2 B F L2 R F
U2 R2 B F R L2 F
B' R2 B' R B L2 B
B' R2 B' R B2 L2 D
B' R2 B' R B2 L2 D'
B' R2 B' R B2 L2 D2
B' R2 B' R' L2 B2 R2
L' D R2 B L' D2 R2
B' R2 B' R' B2 L2 R2
B' R2 B' R' B2 R2 L2
L' D R2 B' L' R' B2
L' D R2 B' R' L' B2
L' D R2 B' R' B2 L'
F2 R2 B' L2 R' F2 B'
F2 R2 B' L2 R' B' F2
L2 D R2 D B' R' B2
F2 R2 B' L2 F2 R' B'
B2 R2 B' R B2 L2 R'
B2 R2 B' R B2 R' L2
L2 D R2 D' B' R' B2
F' R2 B' U2 R' F L2
L D R' B' R' B L
F' R2 B' U2 F L2 R'
F' R2 B' U2 F R' L2
B2 R2 B' R' B2 L2 R'
B2 R2 B' R' B2 R' L2
F2 R2 B' R' L2 F2 B'
F2 R2 B' R' L2 B' F2
L2 D R2 D2 B' R' B2
B2 R2 B' R2 B2 L2 R'
B2 R2 B' R2 B2 R' L2
L D R2 L B' R' B2
