F2 L2 R F' B
F2 L2 R B F'
F2 R L2 F' B
F2 R L2 B F'
F2 R F' L2 B
F2 R F' B L2
F2 R B L2 F'
F2 R B F' L2
R B' L2 F' B2 D R'
R B' L2 F' B2 D' R'
R B' L2 F' B2 D2 R'
R B' L2 F2 B2 R' F
F2 B' L R F' L B
R B' L2 B2 D F' R'
R B' L2 B2 D' F' R'
R B' L2 B2 D2 F' R'
R B' L2 B2 F R' F2
R B' L2 B2 F' R' D
R B' L2 B2 F' R' D'
R B' L2 B2 F' R' D2
R B' L2 B2 F' D R'
R B' L2 B2 F' D' R'
R B' L2 B2 F' D2 R'
R B' L2 B2 F2 R' F
R B' R L2 B2 R' F'
F2 B' L' R B L' F'
L2 B' R2 B' R' F' B
L2 B' R2 B' R' B F'
B' F' L2 R F' B R
B' F' L2 R B F' R
F' B' L2 R F' B R
F' B' L2 R B F' R
B2 F' L2 R F' B R
B2 F' L2 R B F' R
B' F' L2 F' R F' B
B' F' L2 F' R B F'
F2 B' L2 R D F' B
F2 B' L2 R D B F'
F2 B' L2 R D' F' B
F2 B' L2 R D' B F'
F2 B' L2 R D2 F' B
F2 B' L2 R D2 B F'
F2 B' L2 R F' D B
F2 B' L2 R F' D' B
F2 B' L2 R F' D2 B
F2 B' L2 R F' B D
F2 B' L2 R F' B D'
F2 B' L2 R F' B D2
F2 B' L2 R B D F'
F2 B' L2 R B D' F'
F2 B' L2 R B D2 F'
F2 B' L2 R B F' D
F2 B' L2 R B F' D'
F2 B' L2 R B F' D2
F' B' L2 F' R F' B
F' B' L2 F' R B F'
B' F' R L2 F' B R
B' F' R L2 B F' R
B2 F' L2 F' R F' B
B2 F' L2 F' R B F'
F2 B' L2 B R F' B
F2 B' L2 B R B F'
F' B' R L2 F' B R
F' B' R L2 B F' R
F2 B' L2 B' R F' B
F2 B' L2 B' R B F'
B F' L2 R F' B R
B F' L2 R B F' R
B' F' R F' L2 B R
F2 B' L2 B2 R F' B
F2 B' L2 B2 R B F'
B' F' R F' B L2 R
B' F' R F' B R L2
F2 B' R L F' L B
B2 F' R L2 F' B R
B2 F' R L2 B F' R
B' F' R B L2 F' R
F2 B' R L' B L' F'
B' F' R B F' L2 R
B' F' R B F' R L2
L' B' U2 D2 L' F B'
L' B' U2 D2 L' B' F
F2 B' R L2 D F' B
F2 B' R L2 D B F'
F2 B' R L2 D' F' B
F2 B' R L2 D' B F'
F2 B' R L2 D2 F' B
F2 B' R L2 D2 B F'
F2 B' R L2 F' D B
F2 B' R L2 F' D' B
F2 B' R L2 F' D2 B
F2 B' R L2 F' B D
F2 B' R L2 F' B D'
F2 B' R L2 F' B D2
F2 B' R L2 B D F'
F2 B' R L2 B D' F'
F2 B' R L2 B D2 F'
F2 B' R L2 B F' D
F2 B' R L2 B F' D'
F2 B' R L2 B F' D2
R B' U L2 F' B2 R'
R B' U L2 B2 F' R'
F' B' R F' L2 B R
F' B' R F' B L2 R
F' B' R F' B R L2
F' B' R B L2 F' R
B F' L2 F' R F' B
B F' L2 F' R B F'
F' B' R B F' L2 R
F' B' R B F' R L2
B2 F' R F' L2 B R
B2 F' R F' B L2 R
B2 F' R F' B R L2
F2 B' R F L2 F2 B
F2 B' R F L2 B F2
F2 B' R F B L2 F2
F2 B' R F' L' B L'
F2 B' R F' L2 D B
F2 B' R F' L2 D' B
F2 B' R F' L2 D2 B
F2 B' R F' L2 B D
F2 B' R F' L2 B D'
F2 B' R F' L2 B D2
B2 F' R B L2 F' R
F2 B' R F' B L2 D
F2 B' R F' B L2 D'
F2 B' R F' B L2 D2
F2 B' R F' B' L2 B2
B2 F' R B F' L2 R
B2 F' R B F' R L2
F2 B' R B L F' L
F2 B' R B L2 D F'
F2 B' R B L2 D' F'
F2 B' R B L2 D2 F'
F2 B' R B L2 F' D
F2 B' R B L2 F' D'
F2 B' R B L2 F' D2
F2 B' R B F L2 F2
F2 B' R B F' L2 D
F2 B' R B F' L2 D'
F2 B' R B F' L2 D2
F2 B' R B' L2 F' B2
F2 B' R B' L2 B2 F'
F2 B' R B' F' L2 B2
B F' R L2 F' B R
F B' L2 F R F' B
B F' R L2 B F' R
F B' L2 F R B F'
R B' U' L2 F' B2 R'
R B' U' L2 B2 F' R'
B F' R F' L2 B R
B F' R F' B L2 R
B F' R F' B R L2
B F' R B L2 F' R
B F' R B F' L2 R
B F' R B F' R L2
R B' U2 L2 F' B2 R'
R B' U2 L2 B2 F' R'
L' B' D2 U2 L' F B'
L' B' D2 U2 L' B' F
L' B' F2 R U2 F' B
L' B' F2 R U2 B F'
R B' F2 R F L2 B2
R B' F2 R F B2 L2
R B' F2 R B2 F L2
B' F2 L R F' L B
R' B2 L2 F D2 B2 R'
B2 F2 L R F' L B
F2 B2 L R F' L B
B' F2 L' R B L' F'
L' B2 R U2 L' F' B
L' B2 R U2 L' B F'
L' B2 R U2 B L' F'
B F2 L R F' L B
B2 F2 L' R B L' F'
F2 B2 L' R B L' F'
B' F2 L2 R D F' B
B' F2 L2 R D B F'
B' F2 L2 R D' F' B
B' F2 L2 R D' B F'
B' F2 L2 R D2 F' B
B' F2 L2 R D2 B F'
B' F2 L2 R F' D B
B' F2 L2 R F' D' B
B' F2 L2 R F' D2 B
B' F2 L2 R F' B D
B' F2 L2 R F' B D'
B' F2 L2 R F' B D2
B' F2 L2 R B D F'
B' F2 L2 R B D' F'
B' F2 L2 R B D2 F'
B' F2 L2 R B F' D
B' F2 L2 R B F' D'
B' F2 L2 R B F' D2
L B2 L2 R' F' B U2
L B2 L2 R' B F' U2
R2 B2 L2 B2 R' F' B
R2 B2 L2 B2 R' B F'
L2 B2 R F B R2 F2
L2 B2 R F' B R2 D
L2 B2 R F' B R2 D'
L2 B2 R F' B R2 D2
L2 B2 R F' B' R2 B2
L2 B2 R F' B2 R2 B'
L2 B2 R F2 B R2 F
L2 B2 R B F R2 F2
L2 B2 R B F' R2 D
L2 B2 R B F' R2 D'
L2 B2 R B F' R2 D2
L2 B2 R B F2 R2 F
L2 B2 R B' F' R2 B2
F' B2 L2 R F' B R
L2 B2 R B2 F' R2 B'
F' B2 L2 R B F' R
B2 F2 L2 R D F' B
B2 F2 L2 R D B F'
B2 F2 L2 R D' F' B
B2 F2 L2 R D' B F'
B2 F2 L2 R D2 F' B
B2 F2 L2 R D2 B F'
B2 F2 L2 R F' D B
B2 F2 L2 R F' D' B
B2 F2 L2 R F' D2 B
B2 F2 L2 R F' B D
B2 F2 L2 R F' B D'
B2 F2 L2 R F' B D2
B2 F2 L2 R B D F'
B2 F2 L2 R B D' F'
B2 F2 L2 R B D2 F'
B2 F2 L2 R B F' D
B2 F2 L2 R B F' D'
B2 F2 L2 R B F' D2
B F2 L' R B L' F'
B' F2 L2 B R F' B
B' F2 L2 B R B F'
F2 B2 L2 R D F' B
F2 B2 L2 R D B F'
F2 B2 L2 R D' F' B
F2 B2 L2 R D' B F'
F2 B2 L2 R D2 F' B
F2 B2 L2 R D2 B F'
F2 B2 L2 R F' D B
F2 B2 L2 R F' D' B
B' F2 L2 B' R F' B
F2 B2 L2 R F' D2 B
F2 B2 L2 R F' B D
F2 B2 L2 R F' B D'
F2 B2 L2 R F' B D2
B' F2 L2 B' R B F'
F2 B2 L2 R B D F'
F2 B2 L2 R B D' F'
F2 B2 L2 R B D2 F'
F2 B2 L2 R B F' D
F2 B2 L2 R B F' D'
F2 B2 L2 R B F' D2
L2 B2 R' U2 F' B U2
L2 B2 R' U2 B F' U2
B' F2 L2 B2 R F' B
B' F2 L2 B2 R B F'
B' F2 R L F' L B
B' F2 R L' B L' F'
B' F2 R L2 D F' B
B' F2 R L2 D B F'
B' F2 R L2 D' F' B
B' F2 R L2 D' B F'
B' F2 R L2 D2 F' B
B' F2 R L2 D2 B F'
B' F2 R L2 F' D B
B' F2 R L2 F' D' B
B' F2 R L2 F' D2 B
B' F2 R L2 F' B D
B' F2 R L2 F' B D'
B' F2 R L2 F' B D2
B' F2 R L2 B D F'
B' F2 R L2 B D' F'
B' F2 R L2 B D2 F'
B' F2 R L2 B F' D
B' F2 R L2 B F' D'
B' F2 R L2 B F' D2
F' B2 L2 F' R F' B
F' B2 L2 F' R B F'
R B2 L2 F' D2 B2 R'
B2 F2 L2 B R F' B
B2 F2 L2 B R B F'
B2 F2 L2 B' R F' B
B2 F2 L2 B' R B F'
B' F2 R F L2 F2 B
B' F2 R F L2 B F2
B' F2 R F B L2 F2
F' B2 R L2 F' B R
F' B2 R L2 B F' R
B2 F2 L2 B2 R F' B
F2 B2 L2 B R F' B
B2 F2 L2 B2 R B F'
F2 B2 L2 B R B F'
B' F2 R F' L' B L'
B' F2 R F' L2 D B
B' F2 R F' L2 D' B
B' F2 R F' L2 D2 B
B' F2 R F' L2 B D
B' F2 R F' L2 B D'
B' F2 R F' L2 B D2
B' F2 R F' B L2 D
B' F2 R F' B L2 D'
B' F2 R F' B L2 D2
B' F2 R F' B' L2 B2
B F2 L2 R D F' B
B F2 L2 R D B F'
B F2 L2 R D' F' B
B F2 L2 R D' B F'
F2 B2 L2 B' R F' B
F2 B2 L2 B' R B F'
B F2 L2 R D2 F' B
B F2 L2 R D2 B F'
B F2 L2 R F' D B
B F2 L2 R F' D' B
B F2 L2 R F' D2 B
B F2 L2 R F' B D
B F2 L2 R F' B D'
B F2 L2 R F' B D2
B2 F2 R L F' L B
B F2 L2 R B D F'
B F2 L2 R B D' F'
B F2 L2 R B D2 F'
B F2 L2 R B F' D
B F2 L2 R B F' D'
B F2 L2 R B F' D2
B' F2 R B L F' L
F2 B2 L2 B2 R F' B
F2 B2 L2 B2 R B F'
B' F2 R B L2 D F'
B' F2 R B L2 D' F'
B' F2 R B L2 D2 F'
B' F2 R B L2 F' D
B' F2 R B L2 F' D'
B' F2 R B L2 F' D2
B2 F2 R L' B L' F'
B2 F2 R L2 D F' B
B2 F2 R L2 D B F'
B2 F2 R L2 D' F' B
B2 F2 R L2 D' B F'
B2 F2 R L2 D2 F' B
B2 F2 R L2 D2 B F'
B' F2 R B F L2 F2
B' F2 R B F' L2 D
B' F2 R B F' L2 D'
B' F2 R B F' L2 D2
B2 F2 R L2 F' D B
B2 F2 R L2 F' D' B
B2 F2 R L2 F' D2 B
B2 F2 R L2 F' B D
B2 F2 R L2 F' B D'
B2 F2 R L2 F' B D2
B2 F2 R L2 B D F'
B2 F2 R L2 B D' F'
B2 F2 R L2 B D2 F'
B2 F2 R L2 B F' D
B2 F2 R L2 B F' D'
B2 F2 R L2 B F' D2
B' F2 R B' L2 F' B2
B' F2 R B' L2 B2 F'
F2 B2 R L F' L B
B' F2 R B' F' L2 B2
F2 B2 R L' B L' F'
F2 B2 R L2 D F' B
F2 B2 R L2 D B F'
F2 B2 R L2 D' F' B
F2 B2 R L2 D' B F'
F2 B2 R L2 D2 F' B
F2 B2 R L2 D2 B F'
F2 B2 R L2 F' D B
F2 B2 R L2 F' D' B
F2 B2 R L2 F' D2 B
F2 B2 R L2 F' B D
F2 B2 R L2 F' B D'
F2 B2 R L2 F' B D2
F2 B2 R L2 B D F'
F2 B2 R L2 B D' F'
F2 B2 R L2 B D2 F'
F2 B2 R L2 B F' D
F2 B2 R L2 B F' D'
F2 B2 R L2 B F' D2
L B2 R' L2 F' B U2
L B2 R' L2 B F' U2
F' B2 R F' L2 B R
F' B2 R F' B L2 R
F' B2 R F' B R L2
F' B2 R B L2 F' R
B2 F2 R F L2 F2 B
B2 F2 R F L2 B F2
B2 F2 R F B L2 F2
F' B2 R B F' L2 R
F' B2 R B F' R L2
B2 F2 R F' L' B L'
B2 F2 R F' L2 D B
B2 F2 R F' L2 D' B
B2 F2 R F' L2 D2 B
B2 F2 R F' L2 B D
B2 F2 R F' L2 B D'
B2 F2 R F' L2 B D2
B2 F2 R F' B L2 D
B2 F2 R F' B L2 D'
B2 F2 R F' B L2 D2
B2 F2 R F' B' L2 B2
F2 B2 R F L2 F2 B
F2 B2 R F L2 B F2
F2 B2 R F B L2 F2
B2 F2 R B L F' L
B2 F2 R B L2 D F'
B2 F2 R B L2 D' F'
B2 F2 R B L2 D2 F'
B2 F2 R B L2 F' D
B2 F2 R B L2 F' D'
B2 F2 R B L2 F' D2
B F2 L2 B R F' B
B F2 L2 B R B F'
F2 B2 R F' L' B L'
F2 B2 R F' L2 D B
F2 B2 R F' L2 D' B
F2 B2 R F' L2 D2 B
F2 B2 R F' L2 B D
F2 B2 R F' L2 B D'
F2 B2 R F' L2 B D2
B2 F2 R B F L2 F2
B2 F2 R B F' L2 D
B2 F2 R B F' L2 D'
B2 F2 R B F' L2 D2
F2 B2 R F' B L2 D
F2 B2 R F' B L2 D'
F2 B2 R F' B L2 D2
F2 B2 R F' B' L2 B2
B2 F2 R B' L2 F' B2
B F2 L2 B' R F' B
B2 F2 R B' L2 B2 F'
B F2 L2 B' R B F'
B2 F2 R B' F' L2 B2
F2 B2 R B L F' L
B F2 L2 B2 R F' B
B F2 L2 B2 R B F'
F2 B2 R B L2 D F'
F2 B2 R B L2 D' F'
F2 B2 R B L2 D2 F'
F2 B2 R B L2 F' D
F2 B2 R B L2 F' D'
F2 B2 R B L2 F' D2
L B2 R' F' L2 B U2
F2 B2 R B F L2 F2
L B2 R' F' B L2 U2
F2 B2 R B F' L2 D
F2 B2 R B F' L2 D'
F2 B2 R B F' L2 D2
F2 B2 R B' L2 F' B2
F2 B2 R B' L2 B2 F'
B F2 R L F' L B
F2 B2 R B' F' L2 B2
L B2 R' B L2 F' U2
B F2 R L' B L' F'
B F2 R L2 D F' B
B F2 R L2 D B F'
B F2 R L2 D' F' B
B F2 R L2 D' B F'
B F2 R L2 D2 F' B
B F2 R L2 D2 B F'
L B2 R' B F' L2 U2
B F2 R L2 F' D B
B F2 R L2 F' D' B
B F2 R L2 F' D2 B
B F2 R L2 F' B D
B F2 R L2 F' B D'
B F2 R L2 F' B D2
B F2 R L2 B D F'
B F2 R L2 B D' F'
B F2 R L2 B D2 F'
B F2 R L2 B F' D
B F2 R L2 B F' D'
B F2 R L2 B F' D2
F B2 L2 F R F' B
F B2 L2 F R B F'
B F2 R F L2 F2 B
B F2 R F L2 B F2
B F2 R F B L2 F2
B F2 R F' L' B L'
B F2 R F' L2 D B
B F2 R F' L2 D' B
B F2 R F' L2 D2 B
B F2 R F' L2 B D
B F2 R F' L2 B D'
B F2 R F' L2 B D2
B F2 R F' B L2 D
B F2 R F' B L2 D'
B F2 R F' B L2 D2
B F2 R F' B' L2 B2
B F2 R B L F' L
B F2 R B L2 D F'
B F2 R B L2 D' F'
B F2 R B L2 D2 F'
B F2 R B L2 F' D
B F2 R B L2 F' D'
B F2 R B L2 F' D2
B F2 R B F L2 F2
B F2 R B F' L2 D
B F2 R B F' L2 D'
B F2 R B F' L2 D2
B F2 R B' L2 F' B2
B F2 R B' L2 B2 F'
B F2 R B' F' L2 B2
L' B2 U2 D2 L' F B'
L' B2 U2 D2 L' B' F
L' B2 D2 U2 L' F B'
L' B2 D2 U2 L' B' F
L2 B2 F R F' B R2
L2 B2 F R B F' R2
R' B2 F2 L2 R F B'
R' B2 F2 L2 R B' F
R' B2 F2 L2 B' R F
R' B2 F2 R L2 F B'
R' B2 F2 R L2 B' F
L2 B2 F' R F' B R2
L2 B2 F' R B F' R2
L' B2 F2 R U2 F' B
L' B2 F2 R U2 B F'
L2 B2 F2 R F' B R2
L2 B2 F2 R B F' R2
R B2 F2 R F B' L2
R B2 F2 R B' F L2
