R2 U R2 B U2
R2 U' D2 L2 F'
R2 U' D2 F' L2
R2 U' F' D2 L2
U' R2 U' F' R2
R2 D B2 U' F'
B U' R2 U' R2
R2 D2 U' L2 F'
R2 D2 U' F' L2
B' R2 U' F' D2 L2 F2
B' R2 U' F' D2 F2 L2
U' R2 U' F' B R2 B'
U' R2 U' F' B2 R2 B2
U' R2 U' F2 R' F R'
U' R2 U' F2 R2 D F
U' R2 U' F2 R2 D' F
U' R2 U' F2 R2 D2 F
U' R2 U' F2 R2 F D
U' R2 U' F2 R2 F D'
U' R2 U' F2 R2 F D2
B2 R2 U' D2 L2 D F
B2 R2 U' D2 L2 D' F
B2 R2 U' D2 L2 D2 F
B2 R2 U' D2 L2 F D
B2 R2 U' D2 L2 F D'
B2 R2 U' D2 L2 F D2
B2 R2 U' D2 F L2 F
B' R2 U' F2 D2 L2 F2
B2 R2 U' D2 F' L2 F
B' R2 U' F2 D2 F2 L2
B2 R2 U' D2 F2 L2 F
R2 U2 F2 D' F2 U F'
U' R2 U' B F' R2 B'
B2 R2 U' F D2 L2 F
R2 U2 F2 D2 U F L2
B2 R2 U' F' D2 L2 F
U' R2 U' B2 F' R2 B2
B2 R2 U' F2 D2 L2 F
B R2 U' D2 L2 D F2
D R2 U' F' B2 D2 L2
U' R2 U2 D B2 U F'
B' R2 U2 D' R2 F2 U
B' R2 U2 D' F2 R2 U
D R2 U' B2 D2 L2 F'
D R2 U' B2 D2 F' L2
D R2 U' B2 F' D2 L2
U' R2 U2 B U F' R2
U' R2 U2 B' U F' R2
U' R2 U2 B2 U F' R2
B' R2 D L' B2 L' U'
B' R2 D L2 U' D L2
B' R2 D L2 D U' L2
B R2 U2 D' F2 U F2
B' R2 D L2 B2 U' D
B' R2 D L2 B2 U' D'
B' R2 D L2 B2 U' D2
B' R2 D L2 B2 D U'
B' R2 D L2 B2 D' U'
B' R2 D L2 B2 D2 U'
B2 R2 D L2 B2 U' F
U' R2 D U' F' D' R2
U' R2 D U2 B2 U F'
F' R2 D F B2 U' F2
B' R2 D B L2 B U'
B' R2 D B2 L2 U' D
B' R2 D B2 L2 U' D'
B' R2 D B2 L2 U' D2
B' R2 D B2 L2 D U'
B' R2 D B2 L2 D' U'
B' R2 D B2 L2 D2 U'
B' R2 D B2 U' D F2
B' R2 D B2 D U' F2
F' R2 D B2 F U' F2
U' R2 D' L F2 U' F
U' R2 D' L' F2 U' F
U' R2 D' L2 F2 U' F
B2 R2 D B2 U B U2
F2 R2 D B2 U' F' R2
B' R2 D' U2 R2 F2 U
B' R2 D' U2 F2 R2 U
B R2 D B2 U B2 U2
B R2 D B2 U' D2 F2
B R2 D B2 D L2 U'
B R2 D B2 D2 U' F2
U' R2 D' F2 U' D F
U' R2 D' F2 U' D' F
U' R2 D' F2 U' D2 F
U' R2 D' F2 U' F D
U' R2 D' F2 U' F D'
U' R2 D' F2 U' F D2
U' R2 D' F2 D U' F
U' R2 D' F2 D' U' F
U' R2 D' F2 D2 U' F
B' R2 D2 L U' L F2
B' R2 D2 L U' F2 L
B' R2 D2 L' U' L' F2
B R2 D' U2 F2 U F2
B2 R2 D2 L' U' L' F
R2 D L U' D L2 F'
R2 D L U' D F' L2
D' R2 D2 U' L2 F' B2
D' R2 D2 U' L2 B2 F'
R2 D L U' F' D L2
D' R2 D2 U' F' L2 B2
U' R2 D2 U L2 U2 F'
D' R2 D2 U' F' B2 L2
D' R2 D2 U' B2 L2 F'
D' R2 D2 U' B2 F' L2
B' R2 D2 U' L F2 L
B' R2 D2 U' L2 F2 D
B' R2 D2 U' L2 F2 D'
B' R2 D2 U' L2 F2 D2
U' R2 D2 U' F' D2 R2
B' R2 D2 U' F' L2 F'
B' R2 D2 U' F2 L2 D
B' R2 D2 U' F2 L2 D'
B' R2 D2 U' F2 L2 D2
R2 D L D U' L2 F'
R2 D L D U' F' L2
F' R2 D2 F U' L2 F2
F' R2 D2 F U' F2 L2
B2 R2 D2 U B' U2 L2
B2 R2 D2 U' L2 D F
B2 R2 D2 U' L2 D' F
B2 R2 D2 U' L2 D2 F
B2 R2 D2 U' L2 F D
B2 R2 D2 U' L2 F D'
B2 R2 D2 U' L2 F D2
B2 R2 D2 U' F L2 F
B2 R2 D2 U' F' L2 F
B2 R2 D2 U' F2 L2 F
B' R2 D2 B U' L2 F2
B' R2 D2 B U' F2 L2
B' R2 D2 B' U' L2 F2
B' R2 D2 B' U' F2 L2
B' R2 D2 B2 U' L2 F2
B' R2 D2 B2 U' F2 L2
U' R2 F L U' R2 F2
U' R2 F L U' F2 R2
R2 D L B2 L U' F'
R2 D L B2 L' U' F'
R2 D L B2 L2 U' F'
U' R2 F L' U' R2 F2
U' R2 F L' U' F2 R2
R2 D L B2 U' D F'
R2 D L B2 U' D' F'
R2 D L B2 U' D2 F'
R2 D L B2 U' F' D
R2 D L B2 U' F' D'
R2 D L B2 U' F' D2
R2 D L B2 D U' F'
R2 D L B2 D' U' F'
R2 D L B2 D2 U' F'
U' R2 F L2 U' R2 F2
U' R2 F L2 U' F2 R2
B R2 D2 U' L2 D F2
R2 D L' U' D L2 F'
R2 D L' U' D F' L2
R2 D L' U' F' D L2
F' R2 F U R2 U2 F2
U' R2 F U' R' F2 R'
U' R2 F U' R2 F2 D
U' R2 F U' R2 F2 D'
U' R2 F U' R2 F2 D2
U' R2 F U' F R2 F
B R2 D2 B U' L2 F
U' R2 F U' F2 R2 D
U' R2 F U' F2 R2 D'
U' R2 F U' F2 R2 D2
R2 D L' D U' L2 F'
R2 D L' D U' F' L2
F' R2 F U' F2 D2 L2
U' R2 F D' L2 F2 U'
U' R2 F D' F2 L2 U'
R2 D L' B2 L U' F'
R2 D L' B2 L' U' F'
R2 D L' B2 L2 U' F'
R2 D L' B2 U' D F'
R2 D L' B2 U' D' F'
R2 D L' B2 U' D2 F'
R2 D L' B2 U' F' D
R2 D L' B2 U' F' D'
R2 D L' B2 U' F' D2
R2 D L' B2 D U' F'
R2 D L' B2 D' U' F'
R2 D L' B2 D2 U' F'
R2 D L2 U' D L2 F'
R2 D L2 U' D F' L2
R2 D L2 U' F' D L2
U' R2 F' U' R2 D' F2
R2 D L2 D U' L2 F'
R2 D L2 D U' F' L2
U' R2 F' D' F2 U' F2
R2 D L2 B2 L U' F'
R2 D L2 B2 L' U' F'
R2 D L2 B2 L2 U' F'
R2 D L2 B2 U' D F'
R2 D L2 B2 U' D' F'
R2 D L2 B2 U' D2 F'
R2 D L2 B2 U' F' D
R2 D L2 B2 U' F' D'
R2 D L2 B2 U' F' D2
R2 D L2 B2 D U' F'
R2 D L2 B2 D' U' F'
R2 D L2 B2 D2 U' F'
R' D R' U R2 B U2
U' R2 F2 U' R' F R'
U' R2 F2 U' R2 D F
U' R2 F2 U' R2 D' F
U' R2 F2 U' R2 D2 F
U' R2 F2 U' R2 F D
U' R2 F2 U' R2 F D'
U' R2 F2 U' R2 F D2
U' R2 F2 U' F R2 D
U' R2 F2 U' F R2 D'
U' R2 F2 U' F R2 D2
U' R2 F2 U' F' R2 F2
R' D R' U' D2 L2 F'
R' D R' U' D2 F' L2
R' D R' U' F' D2 L2
R' D R' D B2 U' F'
U' R2 F2 D' F2 U' F'
F2 R2 F2 U R2 U2 F
R' D R' D2 U' L2 F'
R' D R' D2 U' F' L2
F2 R2 F2 U' D2 F L2
F2 R2 F2 U' F D2 L2
F2 R2 F2 D B2 U' F
F2 R2 F2 D2 U' F L2
B' R2 B U R2 U2 F'
B' R2 B U B R2 U2
B2 R2 B U R2 B2 U2
B2 R2 B U B2 R2 U2
B2 R2 B U' D2 L2 F2
B2 R2 B U' D2 F2 L2
B2 R2 B D L2 B2 U'
B2 R2 B D B2 L2 U'
B2 R2 B D2 U' L2 F2
B2 R2 B D2 U' F2 L2
R2 D R' B2 R U' F'
B R2 B U R2 B' U2
B R2 B U B' R2 U2
B R2 B U' D2 L2 F
B' R2 B' U R2 B' U2
B' R2 B' U B' R2 U2
B' R2 B' U' D2 L2 F
B R2 B D2 U' L2 F
B' R2 B' D2 U' L2 F
B R2 B' U R2 U2 F'
B R2 B' U B R2 U2
B2 R2 B2 U R2 U2 F'
B2 R2 B2 U B R2 U2
R2 D U' L D L2 F'
R2 D U' L D F' L2
R2 D U' L F' D L2
R2 D U' L' D L2 F'
R2 D U' L' D F' L2
R2 D U' L' F' D L2
L' D U' B2 D L2 F
R2 D U' L2 D L2 F'
R2 D U' L2 D F' L2
R2 D U' L2 F' D L2
B R2 B2 U R2 B2 U2
B R2 B2 U B2 R2 U2
B R2 B2 U' D2 L2 F2
B R2 B2 U' D2 F2 L2
B R2 B2 D L2 B2 U'
B R2 B2 D B2 L2 U'
R2 D U' F' L D L2
R2 D U' F' L' D L2
R2 D U' F' L2 D L2
R2 D U' F' U B2 U'
R2 D U' F' D L2 D
R2 D U' F' D L2 D'
R2 D U' F' D L2 D2
B R2 B2 D2 U' L2 F2
B R2 B2 D2 U' F2 L2
R2 D U' F2 D F L2
L2 D U' B2 D L2 F
U' D L B2 D L2 F
L D U' B2 D L2 F
U' D L' B2 D L2 F
B U L' U D B2 R'
D2 U L2 U D2 R2 F'
D2 U L2 U' L2 B U2
D2 U L2 U' B L2 U2
B U L' D U B2 R'
D2 U L2 D2 U R2 F'
U2 D L2 U B2 L2 F
U' D L2 B2 D L2 F
B U L2 D2 L2 U R2
R2 D B L B U' F'
R2 D B L' B U' F'
R2 D B L2 B U' F'
U' D R2 U' F' R2 B2
U' D R2 U' F' B2 R2
U' D R2 U' B2 F' R2
R2 D B D B U' F'
R2 D B D' B U' F'
R2 D B D2 B U' F'
R2 D B' L U' F' L'
U2 D R2 F' B2 D' R2
U2 D R2 B2 D' F' R2
R2 D B' D B' U' F'
U2 D R2 B2 F' D' R2
R2 D B' D' B' U' F'
R2 D B' D2 B' U' F'
R2 D B2 L U' D F'
R2 D B2 L U' D' F'
R2 D B2 L U' D2 F'
R2 D B2 L U' F' D
R2 D B2 L U' F' D'
R2 D B2 L U' F' D2
R2 D B2 L D U' F'
R2 D B2 L D' U' F'
R2 D B2 L D2 U' F'
R2 D B2 L' U' D F'
R2 D B2 L' U' D' F'
R2 D B2 L' U' D2 F'
R2 D B2 L' U' F' D
R2 D B2 L' U' F' D'
R2 D B2 L' U' F' D2
R2 D B2 L' D U' F'
R2 D B2 L' D' U' F'
R2 D B2 L' D2 U' F'
U' D F B2 D L2 F
R2 D B2 L2 U' D F'
R2 D B2 L2 U' D' F'
R2 D B2 L2 U' D2 F'
R2 D B2 L2 U' F' D
R2 D B2 L2 U' F' D'
R2 D B2 L2 U' F' D2
R2 D B2 L2 D U' F'
R2 D B2 L2 D' U' F'
R2 D B2 L2 D2 U' F'
B U D L' U B2 R'
R2 D B2 U B U2 F'
R2 D B2 U B' U2 F'
R2 D B2 U B2 U2 F'
R2 D B2 U' L' F' L
R2 D B2 U' L2 F' L2
R2 D B2 U' D F' D
R2 D B2 U' D F' D'
R2 D B2 U' D F' D2
R2 D B2 U' D' F' D
R2 D B2 U' D' F' D'
R2 D B2 U' D' F' D2
R2 D B2 U' D2 F' D
R2 D B2 U' D2 F' D'
R2 D B2 U' D2 F' D2
R2 D B2 U' F2 D F
R2 D B2 U' F2 D' F
R2 D B2 U' F2 D2 F
R2 D B2 D L U' F'
R2 D B2 D L' U' F'
R2 D B2 D L2 U' F'
R2 D B2 D U' F' D
R2 D B2 D U' F' D'
R2 D B2 D U' F' D2
R2 D B2 D' L U' F'
R2 D B2 D' L' U' F'
R2 D B2 D' L2 U' F'
R2 D B2 D' U' F' D
R2 D B2 D' U' F' D'
R2 D B2 D' U' F' D2
R2 D B2 D2 L U' F'
R2 D B2 D2 L' U' F'
R2 D B2 D2 L2 U' F'
R2 D B2 D2 U' F' D
R2 D B2 D2 U' F' D'
R2 D B2 D2 U' F' D2
R D B2 R U' L F
U' D F' B2 D L2 F
R2 D' L U' D' L2 F'
R2 D' L U' D' F' L2
R2 D' L U2 F2 U F
R2 D' L D' U' L2 F'
R2 D' L D' U' F' L2
R2 D' L D2 B2 U' F'
D' U F2 D R2 U2 F'
D' U F2 D B R2 U2
D' U F2 D' B U2 L2
B U D2 L2 U D2 R2
B U D2 L2 U' L2 U2
B U D2 L2 D' B2 U
B U D2 L2 D2 U R2
D' U F2 B U F2 U
D' U F2 B U2 D' L2
D' U F2 B D R2 U2
D' U F2 B D' U2 L2
F2 U D2 B2 L2 U F
U' D F2 B2 D L2 F
F' U F R2 B U' F'
R2 D' L' U' D' L2 F'
R2 D' L' U' D' F' L2
R2 D' L' U2 F2 U F
R2 D' L' D' U' L2 F'
R2 D' L' D' U' F' L2
R2 D' L' D2 B2 U' F'
D2 U B U L2 U L2
D' U B F2 U F2 U
D' U B F2 U2 D' L2
D' U B F2 D R2 U2
D' U B F2 D' U2 L2
R2 D' L2 U' D' L2 F'
R2 D' L2 U' D' F' L2
R2 D' L2 U2 F2 U F
R2 D' L2 D' U' L2 F'
R2 D' L2 D' U' F' L2
R2 D' L2 D2 B2 U' F'
R' D' R' U R2 B U2
R' D' R' U' D2 L2 F'
R' D' R' U' D2 F' L2
R' D' R' U' F' D2 L2
U' D B2 L2 D F L2
U' D B2 L2 F D L2
R' D' R' D B2 U' F'
R' D' R' D2 U' L2 F'
R' D' R' D2 U' F' L2
U' D B2 D L2 D F
U' D B2 D L2 D' F
U' D B2 D L2 D2 F
U' D B2 D L2 F D
U' D B2 D L2 F D'
U' D B2 D L2 F D2
U' D B2 D F L2 F
U' D B2 D F' L2 F
U' D B2 D F2 L2 F
U' D B2 F D L2 F
U' D B2 F' D L2 F
U' D B2 F2 D L2 F
B U B U2 R2 U' R2
D U' L B2 D L2 F
B U B' U2 R2 U' R2
R2 D' U' L D' L2 F'
R2 D' U' L D' F' L2
R2 D' U' L' D' L2 F'
R2 D' U' L' D' F' L2
R2 D' U' L2 D' L2 F'
R2 D' U' L2 D' F' L2
D U' L' B2 D L2 F
F2 U' L R2 F2 U' F
B U B2 U2 R2 U' R2
R2 D' U' F' U' F' U
F2 U' L F2 R2 U' F'
D U' L2 B2 D L2 F
R2 D' U2 F2 R U F
R2 D' U2 F2 R' U F
R2 D' U2 F2 R2 U F
R2 D' U2 F2 U D F
R2 D' U2 F2 U D' F
R2 D' U2 F2 U D2 F
R2 D' U2 F2 U F D
R2 D' U2 F2 U F D'
R2 D' U2 F2 U F D2
R2 D' U2 F2 D U F
R2 D' U2 F2 D' U F
R2 D' U2 F2 D2 U F
F2 U' L' R2 F2 U' F
F U' L F' R2 U' F'
F2 U' L' F2 R2 U' F'
B2 U' L2 R2 U' R2 F
B2 U' L2 R2 U' F R2
F2 U' L2 R2 F2 U' F
U' D' R2 U' F' R2 B
D' U' R2 U' F' R2 B
F2 U' L2 F2 R2 U' F'
F U' L' F' R2 U' F'
L' D' F2 U2 D R2 F'
L' D' F2 D U2 R2 F'
L' D' F2 D B U2 R2
L' D' F2 D' L2 B U2
L' D' F2 D' B L2 U2
D U' R2 U' F' R2 B2
D U' R2 U' F' B2 R2
D U' R2 U' B2 F' R2
L' D' F2 B U' F2 U'
L' D' F2 B U2 D R2
L' D' F2 B D U2 R2
L' D' F2 B D' L2 U2
L2 D' F2 U2 D R2 F'
F U' L2 F' R2 U' F'
L2 D' F2 D U2 R2 F'
L2 D' F2 D B U2 R2
L2 D' F2 D' L2 B U2
L2 D' F2 D' B L2 U2
B U' R U' R' D B2
L2 D' F2 B U' F2 U'
L2 D' F2 B U2 D R2
L2 D' F2 B D U2 R2
L2 D' F2 B D' L2 U2
B U' R D R U' R2
B U' R D' R U' R2
B U' R D2 R U' R2
F' U' R' F R' U' F'
L' D' B F2 U' F2 U'
L' D' B F2 U2 D R2
L' D' B F2 D U2 R2
L' D' B F2 D' L2 U2
L D' F2 U2 D R2 F'
L D' F2 D U2 R2 F'
F2 U' R' F2 R' U' F'
L D' F2 D B U2 R2
L D' F2 D' L2 B U2
L D' F2 D' B L2 U2
B' U' R2 U B2 U2 R2
B' U' R2 U' R2 D2 F2
R2 D' B U' D' L2 F'
R2 D' B U' D' F' L2
L D' F2 B U' F2 U'
L D' F2 B U2 D R2
L D' F2 B D U2 R2
L D' F2 B D' L2 U2
B U' R' U' R D B2
B2 U' R2 L2 U' R2 F
F' U' R2 U' F' D R2
B2 U' R2 L2 U' F R2
R2 D' B U2 F2 U F
F2 U' R2 L F2 U' F
F2 U' R2 L' F2 U' F
B2 U' R2 U B' U2 R2
B U' R' D R' U' R2
D U' F B2 D L2 F
F' U' R2 D F U' F2
R2 D' B D' U' L2 F'
R2 D' B D' U' F' L2
L2 D' B F2 U' F2 U'
F2 U' R2 L2 F2 U' F
L2 D' B F2 U2 D R2
L2 D' B F2 D U2 R2
L2 D' B F2 D' L2 U2
B U' R' D' R' U' R2
F' U' R2 D' F U' F2
R2 D' B D2 B2 U' F'
B U' R' D2 R' U' R2
F' U' R2 D2 F U' F2
F2 U' R2 U' D F' R2
F' U' R2 F L U' F2
F' U' R2 F L' U' F2
F' U' R2 F L2 U' F2
F' U' R2 F U' F2 D
F' U' R2 F U' F2 D'
F' U' R2 F U' F2 D2
F' U' R2 F D' L2 U'
F2 U' R2 D U' F' R2
F2 U' R2 F2 U' D F
F2 U' R2 F2 U' D' F
F2 U' R2 F2 U' D2 F
F2 U' R2 F2 U' F D
F2 U' R2 F2 U' F D'
F2 U' R2 F2 U' F D2
F2 U' R2 F2 D U' F
F2 U' R2 F2 D' U' F
F2 U' R2 F2 D2 U' F
B U' R2 U L U2 R2
B U' R2 U L' U2 R2
B U' R2 U L2 U2 R2
B U' R2 U D2 L2 U2
R2 D' B' U' D' L2 F'
R2 D' B' U' D' F' L2
B U' R2 U' R D R
B U' R2 U' R D' R
B U' R2 U' R D2 R
B U' R2 U' R' D R'
B U' R2 U' R' D' R'
B U' R2 U' R' D2 R'
B U' R2 U' F' R2 F
B U' R2 U' F2 R2 F2
B U' R2 U' B R2 B'
R2 D' B' U2 F2 U F
B U' R2 U' B2 R2 B2
B U' R2 U2 D B2 U
B U' R2 U2 B U R2
B U' R2 U2 B' U R2
B U' R2 U2 B2 U R2
L D' B F2 U' F2 U'
L D' B F2 U2 D R2
L D' B F2 D U2 R2
L D' B F2 D' L2 U2
D U' F' B2 D L2 F
R2 D' B' D' U' L2 F'
B U' R2 D U2 B2 U
R2 D' B' D' U' F' L2
B U' R2 D' F2 U' D
B U' R2 D' F2 U' D'
B U' R2 D' F2 U' D2
B U' R2 D' F2 D U'
B U' R2 D' F2 D' U'
B U' R2 D' F2 D2 U'
R2 D' B' D2 B2 U' F'
B U' R2 D2 U L2 U2
B U' R2 F U' R2 D
B U' R2 F U' R2 D'
B U' R2 F U' R2 D2
B U' R2 F D' F2 U'
B U' R2 F' U' R2 D
B U' R2 F' U' R2 D'
B U' R2 F' U' R2 D2
B' U' D B2 D L2 F2
B' U' D B2 D F2 L2
B U' R2 F' D' F2 U'
F U' R2 U2 B U F'
B U' R2 F2 U' R2 D
B U' R2 F2 U' R2 D'
B U' R2 F2 U' R2 D2
B U' R2 F2 D' F2 U'
R2 D' B2 U' D' L2 F'
R2 D' B2 U' D' F' L2
B U' D R U' R' B2
B U' D R' U' R B2
B U' D R' U' B2 R
R2 D' B2 U2 F2 U F
B U' D R2 U' R2 B2
B U' D R2 U' B2 R2
D U' F2 B2 D L2 F
R2 D' B2 D' U' L2 F'
R2 D' B2 D' U' F' L2
U D' F2 D R2 U2 F'
U D' F2 D B R2 U2
R2 D' B2 D2 B2 U' F'
U D' F2 D' B U2 L2
U D' F2 B U F2 U
U D' F2 B U2 D' L2
U D' F2 B D R2 U2
U D' F2 B D' U2 L2
R2 D2 L U' L D F'
R2 D2 L U' L D' F'
R2 D2 L U' L D2 F'
R2 D2 L U' L F' D
R2 D2 L U' L F' D'
R2 D2 L U' L F' D2
R2 D2 L U' L' F' L2
R2 D2 L U' D L F'
R2 D2 L U' D F' L
R2 D2 L U' D' L F'
R2 D2 L U' D' F' L
R2 D2 L U' D2 L F'
R2 D2 L U' D2 F' L
R2 D2 L U' F L F2
R2 D2 L U' F' L D
R2 D2 L U' F' L D'
R2 D2 L U' F' L D2
R2 D2 L U' F' D L
R2 D2 L U' F' D' L
R2 D2 L U' F' D2 L
R2 D2 L D U' L F'
R2 D2 L D U' F' L
R2 D2 L D' U' L F'
R2 D2 L D' U' F' L
R2 D2 L D2 U' L F'
R2 D2 L D2 U' F' L
F' U' F L R2 U' F'
F' U' F L' R2 U' F'
F' U' F L2 R2 U' F'
U D' B F2 U F2 U
U D' B F2 U2 D' L2
U D' B F2 D R2 U2
U D' B F2 D' U2 L2
F' U' F R2 L U' F'
F' U' F R2 L' U' F'
F' U' F R2 L2 U' F'
F' U' F R2 U' D F'
F' U' F R2 U' D' F'
F' U' F R2 U' D2 F'
F' U' F R2 U' F' D
F' U' F R2 U' F' D'
F' U' F R2 U' F' D2
F' U' F R2 D U' F'
F' U' F R2 D' U' F'
F' U' F R2 D2 U' F'
R2 D2 L' U' L F' L2
R2 D2 L' U' L' D F'
R2 D2 L' U' L' D' F'
R2 D2 L' U' L' D2 F'
R2 D2 L' U' L' F' D
R2 D2 L' U' L' F' D'
R2 D2 L' U' L' F' D2
R2 D2 L' U' L2 F' L
R2 D2 L' U' D L' F'
R2 D2 L' U' D' L' F'
R2 D2 L' U' D2 L' F'
R2 D2 L' D U' L' F'
F2 U' F R2 F U' F2
R2 D2 L' D' U' L' F'
R2 D2 L' D2 U' L' F'
R2 D2 L' B U' L' F'
D U' B2 L2 D F L2
D U' B2 L2 F D L2
R2 D2 L' B' U' L' F'
R2 D2 L' B2 U' L' F'
B U' F R2 U' R2 D
B U' F R2 U' R2 D'
B U' F R2 U' R2 D2
F' U' F' R2 F2 U' F
B U' F R2 D' F2 U'
B U' F R2 F U' R2
B U' F R2 F' U' R2
B U' F R2 F2 U' R2
D U' B2 D L2 D F
D U' B2 D L2 D' F
D U' B2 D L2 D2 F
D U' B2 D L2 F D
D U' B2 D L2 F D'
D U' B2 D L2 F D2
D U' B2 D F L2 F
D U' B2 D F' L2 F
D U' B2 D F2 L2 F
F U' F R2 F2 U' F
D U' B2 F D L2 F
D U' B2 F' D L2 F
D U' B2 F2 D L2 F
F2 U' F2 L R2 U' F'
F2 U' F2 L' R2 U' F'
B U' F' R2 U' R2 D
B U' F' R2 U' R2 D'
B U' F' R2 U' R2 D2
R' D2 R' U R2 B U2
B U' F' R2 D' F2 U'
F U' F' L R2 U' F'
F2 U' F2 L2 R2 U' F'
B U' F' R2 F U' R2
B U' F' R2 F' U' R2
B U' F' R2 F2 U' R2
F U' F' L' R2 U' F'
R' D2 R' U' D2 L2 F'
R' D2 R' U' D2 F' L2
R' D2 R' U' F' D2 L2
F U' F' L2 R2 U' F'
F2 U' F2 R2 L U' F'
F2 U' F2 R2 L' U' F'
F2 U' F2 R2 L2 U' F'
F2 U' F2 R2 U' D F'
F2 U' F2 R2 U' D' F'
F2 U' F2 R2 U' D2 F'
F2 U' F2 R2 U' F' D
F2 U' F2 R2 U' F' D'
F2 U' F2 R2 U' F' D2
F2 U' F2 R2 D U' F'
F2 U' F2 R2 D' U' F'
R' D2 R' D B2 U' F'
F2 U' F2 R2 D2 U' F'
F U' F' R2 L U' F'
F U' F' R2 L' U' F'
F U' F' R2 L2 U' F'
R' D2 R' D2 U' L2 F'
R' D2 R' D2 U' F' L2
F U' F' R2 U' D F'
F U' F' R2 U' D' F'
F U' F' R2 U' D2 F'
F U' F' R2 U' F' D
F U' F' R2 U' F' D'
F U' F' R2 U' F' D2
F U' F' R2 D U' F'
F U' F' R2 D' U' F'
F U' F' R2 D2 U' F'
D2 U2 L2 R2 U L2 F'
D2 U2 L2 R2 U F' L2
D2 U2 L2 U' B U2 L2
B U' F2 R2 U' R2 D
B U' F2 R2 U' R2 D'
B U' F2 R2 U' R2 D2
B U' F2 R2 D' F2 U'
B U' F2 R2 F U' R2
B U' F2 R2 F' U' R2
B U' F2 R2 F2 U' R2
U2 D2 L2 R2 U L2 F'
U2 D2 L2 R2 U F' L2
U2 D2 L2 U' B U2 L2
F U' F2 R2 F U' F2
D U2 L2 U B2 L2 F
B U' B R2 B' U' R2
U D2 L2 U D2 R2 F'
U D2 L2 U' L2 B U2
U D2 L2 U' B L2 U2
U D2 L2 D2 U R2 F'
R2 D2 U R2 B U2 L2
B2 U' B2 D B2 L2 F
D2 U2 R2 L2 U L2 F'
R2 D2 U B U2 L2 F'
D2 U2 R2 L2 U F' L2
R2 D2 U B U2 F' L2
R2 D2 U B' U2 L2 F'
R2 D2 U B' U2 F' L2
R2 D2 U B2 U2 L2 F'
R2 D2 U B2 U2 F' L2
R2 D2 U' L D L F'
R2 D2 U' L D F' L
R2 D2 U' L D' L F'
R2 D2 U' L D' F' L
R2 D2 U' L D2 L F'
R2 D2 U' L D2 F' L
R2 D2 U' L F L F2
R2 D2 U' L F' L D
R2 D2 U' L F' L D'
R2 D2 U' L F' L D2
R2 D2 U' L F' D L
R2 D2 U' L F' D' L
R2 D2 U' L F' D2 L
R2 D2 U' L' D L' F'
R2 D2 U' L' D' L' F'
R2 D2 U' L' D2 L' F'
R2 D2 U' L2 D F' D
R2 D2 U' L2 D F' D'
R2 D2 U' L2 D F' D2
R2 D2 U' L2 D' F' D
R2 D2 U' L2 D' F' D'
R2 D2 U' L2 D' F' D2
R2 D2 U' L2 D2 F' D
R2 D2 U' L2 D2 F' D'
R2 D2 U' L2 D2 F' D2
R2 D2 U' L2 F2 D F
R2 D2 U' L2 F2 D' F
R2 D2 U' L2 F2 D2 F
B U' B2 R2 B2 U' R2
R2 D2 U' F L F2 L
R2 D2 U' F L2 F2 D
R2 D2 U' F L2 F2 D'
R2 D2 U' F L2 F2 D2
U2 D2 R2 L2 U L2 F'
U2 D2 R2 L2 U F' L2
R2 D2 U' F' L D L
R2 D2 U' F' L D' L
R2 D2 U' F' L D2 L
R2 D2 U' F' L' D L'
R2 D2 U' F' L' D' L'
R2 D2 U' F' L' D2 L'
R2 D2 U' F' B' L2 B
R2 D2 U' F' B2 L2 B2
R2 D2 U' B' L2 F' B
R2 D2 U' B' L2 B F'
R2 D2 U' B' F' L2 B
R2 D2 U' B2 L2 F' B2
R2 D2 U' B2 L2 B2 F'
R2 D2 U' B2 F' L2 B2
R2 D2 U2 F U L2 F2
R2 D2 U2 F U F2 L2
R2 D2 U2 F2 U F L2
D U2 R2 F' B2 D' R2
D U2 R2 B2 D' F' R2
D U2 R2 B2 F' D' R2
B U2 R U R U' R'
R2 D2 B L U' L F'
R2 D2 B L U' F' L
R2 D2 B L' U' L' F'
B U2 R' U R' U' R
R2 D2 B U' L F' L
R2 D2 B U' L2 D F'
R2 D2 B U' L2 D' F'
R2 D2 B U' L2 D2 F'
R2 D2 B U' L2 F' D
R2 D2 B U' L2 F' D'
R2 D2 B U' L2 F' D2
R2 D2 B U' F L2 F2
R2 D2 B U' F' L2 D
R2 D2 B U' F' L2 D'
R2 D2 B U' F' L2 D2
R2 D2 B D' B2 U' F'
R2 D2 B' L U' L F'
R2 D2 B' L U' F' L
U D2 B U L2 U L2
R2 D2 B' L' U' L' F'
R2 D2 B' U' L F' L
R2 D2 B' U' L2 D F'
R2 D2 B' U' L2 D' F'
R2 D2 B' U' L2 D2 F'
R2 D2 B' U' L2 F' D
R2 D2 B' U' L2 F' D'
R2 D2 B' U' L2 F' D2
R2 D2 B' U' F L2 F2
R2 D2 B' U' F' L2 D
R2 D2 B' U' F' L2 D'
R2 D2 B' U' F' L2 D2
R2 D2 B' D' B2 U' F'
D2 U2 B2 D' B2 R2 F'
F2 U2 D R B2 R F'
F2 U2 D R2 F' B2 D
F2 U2 D R2 F' B2 D'
F2 U2 D R2 F' B2 D2
F2 U2 D R2 B2 D F'
