U' L2 U' R2 B
U2 R2 D F2 B
U2 R2 D B F2
U2 R2 B D F2
F' U' L2 U' R2
F' U2 R2 D F2
D2 F' L2 D' B' U2 F2
D2 F' L2 D' B2 U2 F2
D2 F' L2 D2 U' L2 U'
F2 D F U2 D' R2 F
F2 D F U2 D' F R2
F2 D F U2 F D' R2
D F' L' U B2 U F'
F2 D F D L2 B' U2
D F' L' U2 D' F' R2
D F' L' U2 F' D' R2
F2 D F D' U2 R2 F
F2 D F D' U2 F R2
D F' L' D L2 U2 F'
D2 F' L2 B U R2 U
D2 F' L2 B U2 D' F2
D2 F' L2 B D B2 U2
D2 F' L2 B D' U2 F2
D F' L' D' U2 F' R2
D2 F' L2 B' U R2 U
D2 F' L2 B' U2 D' F2
D2 F' L2 B' D B2 U2
D2 F' L2 B' D' U2 F2
B' D F' U B2 U F'
D2 F' L2 B2 U R2 U
D2 F' L2 B2 U2 D' F2
D' F' L2 B2 U' F' U'
D2 F' L2 B2 D B2 U2
D2 F' L2 B2 D' U2 F2
L2 F' L2 U' L2 U' R2
B' D F' U2 D' F' R2
B' D F' U2 F' D' R2
B' D F' D L2 U2 F'
L2 F' L2 U2 R2 D F2
B' D F' D' U2 F' R2
L F' L' U' L2 U' R2
L F' L' U2 R2 D F2
B2 D F' U B2 U F'
B2 D F' U2 D' F' R2
B2 D F' U2 F' D' R2
B2 D F' D L2 U2 F'
D F' L2 U B2 U F'
B2 D F' D' U2 F' R2
D F' L2 U2 D' F' R2
D F' L2 U2 F' D' R2
D F' L2 D L2 U2 F'
D F' L2 D' U2 F' R2
L F' L2 U' L' U' R2
B D F' U B2 U F'
B D F' U2 D' F' R2
B D F' U2 F' D' R2
B D F' D L2 U2 F'
B D F' D' U2 F' R2
F' D B U B U F2
U2 F' R2 D F2 D2 B2
F' D B' U B' U F2
D2 F' U R2 U D2 R2
D2 F' U R2 U' L2 U2
D2 F' U R2 D' B2 U
D2 F' U R2 D2 U R2
D' F' U D' R2 B U
D2 F' U D' B2 U F2
U' F' U' L2 U' L2 R2
U' F' U' L2 U' R2 L2
U' F' U' R2 D F2 B2
U' F' U' R2 D B2 F2
F' D B2 U2 F2 D R2
D' F' U' D L2 F' U'
D' F' U' D F' L2 U'
D2 F' U' D2 L2 U' R2
D' F' U' D2 F' U' F'
L2 F' U B' U R2 F'
D' F' U' F' U B2 U2
D' F' U' F' U' D2 F2
D' F' U' F' D L2 U'
D' F' U' F' D2 U' F2
L' F' U' F L' U' R2
L2 F' U' D' F2 U' F2
D F' U B2 U D F'
D F' U B2 U D' F'
D F' U B2 U D2 F'
D F' U B2 U F' D
D F' U B2 U F' D'
D F' U B2 U F' D2
D F' U B2 D U F'
D F' U B2 D' U F'
D F' U B2 D2 U F'
L2 F' U' F U' F' R2
L' F' U2 R D R F'
L F' U D B2 R' U
L2 F' U' F' U' R2 F
L2 F' U' F' U' F R2
D2 F' U2 D' F2 D' R2
L2 F' U' F2 U' R2 F2
L2 F' U' F2 U' F2 R2
D2 F' U2 D2 R2 D F2
F' D' L B2 U' F2 U'
F' D' L B2 U2 D R2
F' D' L B2 D U2 R2
F' D' L B2 D' L2 U2
L F' U B2 R' U R'
D F' U' D2 F2 U' F
L F' U' L U' R2 D
L F' U' L U' R2 D'
L F' U' L U' R2 D2
L F' U' L D' F2 U'
L F' U' L F U' R2
L F' U' L F' U' R2
L F' U' L F2 U' R2
U F' U' L2 B' U' R2
L2 F' U2 R2 U' R2 U
L2 F' U2 R2 D' F2 D
L2 F' U2 R2 D' F2 D'
L2 F' U2 R2 D' F2 D2
L2 F' U2 R2 F D' F2
L2 F' U2 R2 F' D' F2
L2 F' U2 R2 F2 D' F2
L2 F' U2 F R2 D' F2
L F' U' D' L F2 U'
L2 F' U2 F' R2 D' F2
L F' U' D' F2 L U'
D' F' D U' L2 F' U'
D' F' D U' F' L2 U'
L2 F' U2 F2 R2 D' F2
L F' U' F L U' R2
L F' U' F' L U' R2
L F' U' F2 L U' R2
F' D' L' B2 U' F2 U'
F' D' L' B2 U2 D R2
F' D' L' B2 D U2 R2
F' D' L' B2 D' L2 U2
D F' U2 R2 D' R2 F'
D F' U2 D F' D2 R2
D F' U2 D' F R2 F2
D F' U2 D' F' R2 D
D F' U2 D' F' R2 D'
D F' U2 D' F' R2 D2
D F' U2 D' F2 R2 F
D2 F' D B2 U' F2 U'
D2 F' D B2 U2 D R2
D2 F' D B2 D U2 R2
D2 F' D B2 D' L2 U2
D F' U2 F' R D' R2
D F' U2 F' R' D' R2
D F' U2 F' R2 D' R2
D F' U2 F' U' B2 U
D F' U2 F' D' R2 D
D F' U2 F' D' R2 D'
D F' U2 F' D' R2 D2
D F' U2 F2 D' R2 F
D F' U2 F2 D' F R2
L F' U2 R2 U L U'
D2 F' D' U B2 U F2
D' F' D' U R2 B U
D2 F' D' U2 F2 D' R2
D F' D L2 U2 D F'
D F' D L2 U2 D' F'
D F' D L2 U2 D2 F'
D F' D L2 U2 F' D
D F' D L2 U2 F' D'
D F' D L2 U2 F' D2
D F' D L2 D U2 F'
D F' D L2 D' U2 F'
D F' D L2 D2 U2 F'
D F' D L2 B U2 F'
D F' D L2 B' U2 F'
D F' D L2 B2 U2 F'
F' D' L2 B2 U' F2 U'
F' D' L2 B2 U2 D R2
F' D' L2 B2 D U2 R2
F' D' L2 B2 D' L2 U2
R2 F' D F2 D L2 B
R2 F' D F2 D B L2
D F' D U2 F' D2 R2
D F' D B L2 U2 F'
D F' D B' L2 U2 F'
L2 F' D' U' F2 U' F2
D F' D B2 L2 U2 F'
D F' D' L U2 F' R2
D2 F' D2 U' L2 U' R2
L F' D U B2 R' U
D F' D' L' U2 F' R2
D' F' D2 U' F' U' F'
D2 F' D2 U2 R2 D F2
D F' D' L2 U2 F' R2
L2 F' D2 L2 U' L2 U'
L2 F' D2 L2 U2 D F2
L2 F' D2 L2 D U2 F2
D F' D' U2 F R2 F2
D F' D' U2 F' R2 D
D F' D' U2 F' R2 D'
D F' D' U2 F' R2 D2
L2 F' D2 L2 D' B2 U2
D F' D' U2 F2 R2 F
D2 F' B L2 U R2 U
D2 F' B L2 U2 D' F2
D2 F' B L2 D B2 U2
D2 F' B L2 D' U2 F2
D F' D' B U2 F' R2
D F' D' B' U2 F' R2
R2 F' D2 L2 D' F2 B
R2 F' D2 L2 D' B F2
D F' D' B2 U2 F' R2
R2 F' D2 L2 B D' F2
L F' D' U' L F2 U'
L F' D' U' F2 L U'
D F' D2 U' F2 U' F
D2 F' B' L2 U R2 U
D2 F' B' L2 U2 D' F2
D2 F' B' L2 D B2 U2
D2 F' B' L2 D' U2 F2
R2 F' D2 B L2 D' F2
L F' D2 L2 U' L' U'
L2 F' B U2 R2 D' F2
D' F' B2 L U' F' U'
D' F' B2 L' U' F' U'
D2 F' B2 L2 U R2 U
D2 F' B2 L2 U2 D' F2
D2 F' B2 L2 D B2 U2
D2 F' B2 L2 D' U2 F2
D' F' B2 L2 U' F' U'
R2 F' B D F2 D L2
D F' B U B U F'
R2 F' B D2 L2 D' F2
D' F' B2 U' D F' U'
D' F' B2 U' D' F' U'
D' F' B2 U' D2 F' U'
D' F' B2 U' F' U' D
D' F' B2 U' F' U' D'
D' F' B2 U' F' U' D2
D' F' B2 U' F' D U'
D' F' B2 U' F' D' U'
D' F' B2 U' F' D2 U'
L2 F' B' U2 R2 D' F2
D' F' B2 D U' F' U'
D' F' B2 D' U' F' U'
D' F' B2 D2 U' F' U'
D F' B' U B' U F'
L2 F' B2 U2 R2 D' F2
F' D' U' F2 U B2 U2
F' D' U' F2 U' D2 F2
F' D' U' F2 D L2 U'
F' D' U' F2 D2 U' F2
L F' B2 U R' U R'
U' F2 L2 R U' R B'
U' F2 L2 R U' B' R
U' F2 L2 R' U' R' B'
U' F2 L2 U' R B' R
U' F2 L2 U' R2 D B'
U' F2 L2 U' R2 D' B'
U' F2 L2 U' R2 D2 B'
U' F2 L2 U' R2 B' D
U' F2 L2 U' R2 B' D'
U' F2 L2 U' R2 B' D2
U' F2 L2 U' B R2 B2
U' F2 L2 U' B' R2 D
U' F2 L2 U' B' R2 D'
U' F2 L2 U' B' R2 D2
D2 F2 L2 U R2 U B'
R' F2 L2 U' L R' B
R' F2 L2 U' R' L B
U' F2 L2 D' F2 U' B'
D2 F2 L2 U2 D' F2 B'
D2 F2 L2 U2 D' B' F2
D2 F2 L2 U2 B' D' F2
U' F2 L2 F U' R2 B'
U' F2 L2 F U' B' R2
D2 F2 L2 D B2 U2 B
U' F2 L2 F' U' R2 B'
U' F2 L2 F' U' B' R2
D2 F2 L2 D' U2 F2 B'
D2 F2 L2 D' U2 B' F2
U' F2 L2 F2 U' R2 B'
U' F2 L2 F2 U' B' R2
U' F2 R L2 U' R B'
U' F2 R L2 U' B' R
U2 F2 L2 U' R2 B' L2
F2 D' F B2 U' F U'
U2 F2 L2 U' B' L2 R2
U2 F2 L2 U' B' R2 L2
B' D' F' B2 U' F' U'
U' F2 R' L2 U' R' B'
B2 D' F' B2 U' F' U'
R' F2 R' D L' F2 B
R' F2 R' D L' B F2
R' F2 R' D B L' F2
R' F2 R' B D L' F2
B D' F' B2 U' F' U'
F' D' B U2 D R2 F'
F' D' B D U2 R2 F'
F' D' B D B U2 R2
F' D' B D' L2 B U2
F' D' B D' B L2 U2
U2 F2 R2 U L2 U' B'
F' D' B' D B' U2 R2
F' D' B' D' L2 U2 F
F' D' B' D' B' L2 U2
F' D' B2 L U' F2 U'
F' D' B2 L U2 D R2
F' D' B2 L D U2 R2
F' D' B2 L D' L2 U2
F' D' B2 L' U' F2 U'
F' D' B2 L' U2 D R2
F' D' B2 L' D U2 R2
F' D' B2 L' D' L2 U2
F' D' B2 L2 U' F2 U'
F' D' B2 L2 U2 D R2
F' D' B2 L2 D U2 R2
F' D' B2 L2 D' L2 U2
U2 F2 U L2 U' R2 B'
U2 F2 U L2 U' B' R2
B' D' B2 U2 D R2 B
B' D' B2 D U2 R2 B
B' D' B2 D F' U2 R2
B' D' B2 D' L2 F' U2
B' D' B2 D' F' L2 U2
F' D' B2 U D2 B2 U
F' D' B2 U' F2 U' D
F' D' B2 U' F2 U' D'
F' D' B2 U' F2 U' D2
F' D' B2 U' F2 D U'
F' D' B2 U' F2 D' U'
F' D' B2 U' F2 D2 U'
F' D' B2 U2 R D R2
F' D' B2 U2 R' D R2
F' D' B2 U2 R2 D R2
F' D' B2 U2 D R2 D
F' D' B2 U2 D R2 D'
F' D' B2 U2 D R2 D2
B' D' B2 F' U' F' U'
F' D' B2 D L U2 R2
F' D' B2 D L' U2 R2
F' D' B2 D L2 U2 R2
F' D' B2 D U2 R2 D
F' D' B2 D U2 R2 D'
F' D' B2 D U2 R2 D2
F' D' B2 D' L2 U2 D
F' D' B2 D' L2 U2 D'
F' D' B2 D' L2 U2 D2
F' D' B2 D' L2 D U2
F' D' B2 D' L2 D' U2
F' D' B2 D' L2 D2 U2
F' D' B2 D2 U B2 U
B2 D' B2 U2 D R2 B
B2 D' B2 D U2 R2 B
B2 D' B2 D F' U2 R2
B2 D' B2 D' L2 F' U2
B2 D' B2 D' F' L2 U2
F2 D' B2 D F U2 R2
F2 D' B2 D' L2 U2 B'
F2 D' B2 D' F L2 U2
B2 D' B2 F' U' F' U'
F2 D' B2 F U' F U'
F' D2 L D L B2 U2
F' D2 L D B2 U2 R'
F' D2 L D' L U2 F2
B D' B2 U2 D R2 B
B D' B2 D U2 R2 B
B D' B2 D F' U2 R2
B D' B2 D' L2 F' U2
B D' B2 D' F' L2 U2
B D' B2 F' U' F' U'
F D' B2 D F2 U2 R2
F D' B2 D' L2 U2 B2
F' D2 L' U2 D' F2 R
F' D2 L' D L' B2 U2
F' D2 L' D B2 L' U2
F' D2 L' D' L' U2 F2
F' D2 L' D' U2 F2 R
B' D2 L2 U R2 U B
B' D2 L2 D F' B2 U2
B' D2 L2 D B2 F' U2
B' D2 L2 D' F' U2 F'
F' D2 L2 U R2 U D
F' D2 L2 U R2 U D'
F' D2 L2 U R2 U D2
F' D2 L2 U R2 D U
F' D2 L2 U R2 D' U
F' D2 L2 U R2 D2 U
F' D2 L2 U' D2 L2 U'
F' D2 L2 U2 D' F2 D
F' D2 L2 U2 D' F2 D'
F' D2 L2 U2 D' F2 D2
F' D2 L2 U2 F D' F2
F' D2 L2 U2 F' D' F2
F' D2 L2 U2 F2 D' F2
B' D2 L2 F' U R2 U
B' D2 L2 F' U2 D' F2
B' D2 L2 F' D B2 U2
B' D2 L2 F' D' U2 F2
B2 D2 L2 U R2 U B
F' D2 L2 D B2 U2 D
F' D2 L2 D B2 U2 D'
F' D2 L2 D B2 U2 D2
F' D2 L2 D B2 D U2
F' D2 L2 D B2 D' U2
F' D2 L2 D B2 D2 U2
F' D2 L2 D' U2 F2 D
F' D2 L2 D' U2 F2 D'
F' D2 L2 D' U2 F2 D2
F' D2 L2 D' B U2 F2
F' D2 L2 D' B' U2 F2
F' D2 L2 D' B2 U2 F2
F2 D2 L2 U R2 U B'
F' D2 L2 D2 U' L2 U'
B2 D2 L2 D F' B2 U2
B2 D2 L2 D B2 F' U2
F2 D2 L2 U2 D' F2 B'
F2 D2 L2 U2 D' B' F2
B2 D2 L2 D' F' U2 F'
F2 D2 L2 U2 B' D' F2
F2 D2 L2 D B2 U2 B
F' D2 L2 B U R2 U
F' D2 L2 B U2 D' F2
F' D2 L2 B D B2 U2
U2 F2 D F2 D' R2 B
F2 D2 L2 D' U2 F2 B'
F' D2 L2 B D' U2 F2
F2 D2 L2 D' U2 B' F2
F' D2 L2 B' U R2 U
B2 D2 L2 F' U R2 U
F' D2 L2 B' U2 D' F2
B2 D2 L2 F' U2 D' F2
F' D2 L2 B' D B2 U2
B2 D2 L2 F' D B2 U2
F' D2 L2 B' D' U2 F2
B2 D2 L2 F' D' U2 F2
F' D2 L2 B2 U R2 U
F' D2 L2 B2 U2 D' F2
F' D2 L2 B2 D B2 U2
F' D2 L2 B2 D' U2 F2
R2 F2 D F2 D L2 B
R2 F2 D F2 D B L2
D F2 D F L2 U2 F'
B D2 L2 U R2 U B
B D2 L2 D F' B2 U2
B D2 L2 D B2 F' U2
B D2 L2 D' F' U2 F'
F D2 L2 U R2 U B2
B D2 L2 F' U R2 U
B D2 L2 F' U2 D' F2
B D2 L2 F' D B2 U2
B D2 L2 F' D' U2 F2
F D2 L2 U2 B2 D' F2
D F2 D' R2 D2 L2 B'
D F2 D' F U2 F' R2
R2 F2 D2 L2 D' F2 B
R2 F2 D2 L2 D' B F2
R2 F2 D2 L2 B D' F2
R2 F2 D2 B L2 D' F2
R2 F2 B D F2 D L2
R2 F2 B D2 L2 D' F2
F' D2 U R2 U D2 R2
F' D2 U R2 U' L2 U2
F' D2 U R2 D' B2 U
F' D2 U R2 D2 U R2
D2 B L2 U R2 U B
F2 D2 F L2 U R2 U
F2 D2 F L2 U2 D' F2
F2 D2 F L2 D B2 U2
F2 D2 F L2 D' U2 F2
D2 B L2 D F' B2 U2
D2 B L2 D B2 F' U2
D2 B L2 D' F' U2 F'
B' D2 F' L2 U R2 U
B' D2 F' L2 U2 D' F2
B' D2 F' L2 D B2 U2
B' D2 F' L2 D' U2 F2
D2 B L2 F' U R2 U
D2 B L2 F' U2 D' F2
D2 B L2 F' D B2 U2
D2 B L2 F' D' U2 F2
U2 B L2 U' L2 R2 B
U2 B L2 U' R2 L2 B
U2 B L2 U' R2 B L2
B2 D2 F' L2 U R2 U
B2 D2 F' L2 U2 D' F2
B2 D2 F' L2 D B2 U2
B2 D2 F' L2 D' U2 F2
R2 B L2 D2 L2 D F2
B D2 F' L2 U R2 U
B D2 F' L2 U2 D' F2
B D2 F' L2 D B2 U2
B D2 F' L2 D' U2 F2
U2 B R D R F2 B
U2 B R D R B F2
R2 B R D F2 L' R'
R2 B R D F2 R' L'
F' D2 B L2 U R2 U
F' D2 B L2 U2 D' F2
F' D2 B L2 D B2 U2
F' D2 B L2 D' U2 F2
U' B R2 B D L2 F2
U' B R2 B D F2 L2
F' D2 B' L2 U R2 U
F' D2 B' L2 U2 D' F2
F' D2 B' L2 D B2 U2
F' D2 B' L2 D' U2 F2
R B R D F2 B L
R B R D B L F2
R B R D B F2 L
U2 B R2 U L2 U' B
U2 B R2 D F2 D B
U2 B R2 D F2 D' B
U2 B R2 D F2 D2 B
U2 B R2 D F2 B D
U2 B R2 D F2 B D'
U2 B R2 D F2 B D2
U2 B R2 D B F2 D
U2 B R2 D B F2 D'
U2 B R2 D B F2 D2
R B R B D L F2
R B R B D F2 L
U2 B R2 D2 B D' F2
U2 B R2 F D F2 B
U2 B R2 F D B F2
U2 B R2 F B D F2
U2 B R2 F' D F2 B
U2 B R2 F' D B F2
U2 B R2 F' B D F2
U2 B R2 F2 D F2 B
U2 B R2 F2 D B F2
U2 B R2 F2 B D F2
U2 B R2 B U L2 U'
U2 B R2 B D F2 D
U2 B R2 B D F2 D'
U2 B R2 B D F2 D2
U2 B R2 B F D F2
U2 B R2 B F' D F2
U2 B R2 B F2 D F2
U2 B R2 B2 D F2 B'
U2 B R2 B2 D B' F2
F' D2 B2 L2 U R2 U
F' D2 B2 L2 U2 D' F2
F' D2 B2 L2 D B2 U2
F' D2 B2 L2 D' U2 F2
U2 B U L2 U' R2 B
L' B U' L' U' R2 B
R2 B U L2 U R2 U2
R2 B U L2 U' D2 L2
R2 B U L2 D B2 U'
R2 B U L2 D2 U' L2
R2 B U D B2 U' F2
F' B L U' L U' R2
D' B U2 D R2 F' B
D' B U2 D R2 B F'
U B U R2 D F2 B
U B U R2 D B F2
U B U R2 B D F2
R2 B U' D2 R2 U L2
F' B L' U' L' U' R2
L2 B U2 R2 D' F2 B
L2 B U2 R2 D' B F2
L2 B U2 R2 B D' F2
D' B D U2 R2 F' B
D' B D U2 R2 B F'
R2 B U2 R2 U' L2 U'
R2 B U2 R2 U2 D F2
R2 B U2 R2 D U2 F2
R2 B U2 R2 D' B2 U2
D' B D F' U2 R2 F'
D' B D F' B U2 R2
D' B D B U2 R2 B
D' B D B F' U2 R2
F' B L2 U2 R2 D' F2
D' B D' L2 F' B U2
D' B D' L2 B F' U2
U B U2 L2 U' R2 B
R2 B D L F2 D L2
R2 B D L' F2 D L2
R2 B D L2 F2 D L2
D' B D' F' L2 B U2
D' B D' F' B L2 U2
R2 B D U B2 U' F2
D' B D' B L2 F' U2
D' B D' B F' L2 U2
R2 B D F D F L2
R2 B D F' D L2 F'
R2 B D F' D F' L2
R2 B D F2 L D L2
R2 B D F2 L' D L2
R2 B D F2 L2 D L2
R2 B D F2 U B2 U'
R2 B D F2 D L2 D
R2 B D F2 D L2 D'
R2 B D F2 D L2 D2
R B D R F2 B L
R B D R B L F2
R B D R B F2 L
R2 B D2 L D' L F2
R2 B D2 L D' F2 L
R2 B D2 L' D' L' F2
R2 B D2 L2 U' R2 U
R2 B D2 L2 D' F2 D
R2 B D2 L2 D' F2 D'
R2 B D2 L2 D' F2 D2
R2 B D2 L2 F D' F2
R2 B D2 L2 F' D' F2
R2 B D2 L2 F2 D' F2
R2 B D2 U' R2 U L2
R2 B D2 F L2 D' F2
D2 B F' L2 U R2 U
D2 B F' L2 U2 D' F2
D2 B F' L2 D B2 U2
D2 B F' L2 D' U2 F2
R2 B D2 F' L2 D' F2
R2 B D2 F2 L2 D' F2
R2 B F D F2 D L2
R2 B F D2 L2 D' F2
F' B U D B2 U F2
L2 B F' U2 R2 D' F2
D B F' U B U F'
R2 B F' D F2 D L2
F' B U' L2 U' R2 D
F' B U' L2 U' R2 D'
F' B U' L2 U' R2 D2
F' B U' L2 D' F2 U'
F' B U' L2 F U' R2
F' B U' L2 F' U' R2
F' B U' L2 F2 U' R2
R2 B F' D2 L2 D' F2
F2 B U' L2 U' R2 B'
F2 B U' L2 U' B' R2
F' B U' F L2 U' R2
F' B U' F' L2 U' R2
F' B U' F2 L2 U' R2
R2 B F2 D F2 D L2
R2 B F2 D2 L2 D' F2
F' B U2 R D R F2
F' B U2 R' D R' F2
F' B U2 R' D F2 R'
F' B U2 R2 U L2 U'
F' B U2 R2 D F2 D
F' B U2 R2 D F2 D'
F' B U2 R2 D F2 D2
F' B U2 R2 F D F2
F' B U2 R2 F' D F2
F' B U2 R2 F2 D F2
F' B U2 D F2 D' R2
F' B U2 F R2 D F2
F' B U2 F' R2 D F2
F' B U2 F2 R2 D F2
D2 B' L2 U R2 U B
D2 B' L2 D F' B2 U2
D2 B' L2 D B2 F' U2
D2 B' L2 D' F' U2 F'
U' B' L2 B U' R2 B
D2 B' L2 F' U R2 U
D2 B' L2 F' U2 D' F2
D2 B' L2 F' D B2 U2
D2 B' L2 F' D' U2 F2
F' B D U B2 U F2
F' B D U2 F2 D' R2
U2 B' L2 U' L2 R2 B
U2 B' L2 U' R2 L2 B
U2 B' L2 U' R2 B L2
F' B D' B2 U' F2 U'
F' B D' B2 U2 D R2
F' B D' B2 D U2 R2
F' B D' B2 D' L2 U2
U2 B' R D R F2 B
U2 B' R D R B F2
F' B D2 L2 U R2 U
F' B D2 L2 U2 D' F2
F' B D2 L2 D B2 U2
F' B D2 L2 D' U2 F2
B' F' L U' L U' R2
F' B' L U' L U' R2
B2 F' L U' L U' R2
U2 B' R2 U L2 U' B
B' F' L' U' L' U' R2
U2 B' R2 D F2 D B
U2 B' R2 D F2 D' B
U2 B' R2 D F2 D2 B
U2 B' R2 D F2 B D
U2 B' R2 D F2 B D'
U2 B' R2 D F2 B D2
U2 B' R2 D B F2 D
U2 B' R2 D B F2 D'
U2 B' R2 D B F2 D2
U2 B' R2 D2 B D' F2
U2 B' R2 F D F2 B
U2 B' R2 F D B F2
U2 B' R2 F B D F2
F' B' L' U' L' U' R2
U2 B' R2 F' D F2 B
U2 B' R2 F' D B F2
U2 B' R2 F' B D F2
U2 B' R2 F2 D F2 B
U2 B' R2 F2 D B F2
U2 B' R2 F2 B D F2
U2 B' R2 B U L2 U'
B F' L U' L U' R2
U2 B' R2 B D F2 D
U2 B' R2 B D F2 D'
U2 B' R2 B D F2 D2
U2 B' R2 B F D F2
U2 B' R2 B F' D F2
U2 B' R2 B F2 D F2
B2 F' L' U' L' U' R2
U2 B' R2 B2 D F2 B'
U2 B' R2 B2 D B' F2
U2 B' U L2 U' R2 B
B' F' L2 U2 R2 D' F2
L' B' U' L' U' R2 B
F' B' L2 U2 R2 D' F2
B F' L' U' L' U' R2
B2 F' L2 U2 R2 D' F2
U B' U R2 D F2 B
U B' U R2 D B F2
U B' U R2 B D F2
B F' L2 U2 R2 D' F2
L2 B' U2 R2 D' F2 B
L2 B' U2 R2 D' B F2
L2 B' U2 R2 B D' F2
D' B' D F' B' U2 R2
D' B' D B' U2 R2 B
D' B' D B' F' U2 R2
D' B' D' L2 F' U2 F2
U B' U2 L2 U' R2 B
D' B' D' F' L2 U2 F
D' B' D' F' B' L2 U2
D' B' D' B' L2 F' U2
D' B' D' B' F' L2 U2
B' F' U D B2 U F2
F' B' U D B2 U F2
B2 F' U D B2 U F2
B' F' U' L2 U' R2 D
B' F' U' L2 U' R2 D'
B' F' U' L2 U' R2 D2
B' F' U' L2 D' F2 U'
B' F' U' L2 F U' R2
B' F' U' L2 F' U' R2
B' F' U' L2 F2 U' R2
B' F' U' F L2 U' R2
F' B' U' L2 U' R2 D
F' B' U' L2 U' R2 D'
F' B' U' L2 U' R2 D2
F' B' U' L2 D' F2 U'
F' B' U' L2 F U' R2
F' B' U' L2 F' U' R2
F' B' U' L2 F2 U' R2
B' F' U' F' L2 U' R2
B' F' U' F2 L2 U' R2
B2 F' U' L2 U' R2 D
B2 F' U' L2 U' R2 D'
B2 F' U' L2 U' R2 D2
B2 F' U' L2 D' F2 U'
B2 F' U' L2 F U' R2
B2 F' U' L2 F' U' R2
B2 F' U' L2 F2 U' R2
F2 B' U' L2 U' R2 B'
F2 B' U' L2 U' B' R2
F' B' U' F L2 U' R2
D2 B' F' L2 U R2 U
D2 B' F' L2 U2 D' F2
D2 B' F' L2 D B2 U2
D2 B' F' L2 D' U2 F2
F' B' U' F' L2 U' R2
B F' U D B2 U F2
F' B' U' F2 L2 U' R2
B' F' U2 R D R F2
B2 F' U' F L2 U' R2
B' F' U2 R' D R' F2
B' F' U2 R' D F2 R'
B2 F' U' F' L2 U' R2
B' F' U2 R2 U L2 U'
B' F' U2 R2 D F2 D
B' F' U2 R2 D F2 D'
B' F' U2 R2 D F2 D2
B' F' U2 R2 F D F2
B' F' U2 R2 F' D F2
B2 F' U' F2 L2 U' R2
B' F' U2 R2 F2 D F2
B' F' U2 D F2 D' R2
B' F' U2 F R2 D F2
B' F' U2 F' R2 D F2
F' B' U2 R D R F2
B' F' U2 F2 R2 D F2
F' B' U2 R' D R' F2
F' B' U2 R' D F2 R'
F' B' U2 R2 U L2 U'
B F' U' L2 U' R2 D
B F' U' L2 U' R2 D'
B F' U' L2 U' R2 D2
B F' U' L2 D' F2 U'
F' B' U2 R2 D F2 D
F' B' U2 R2 D F2 D'
F' B' U2 R2 D F2 D2
B F' U' L2 F U' R2
B F' U' L2 F' U' R2
F' B' U2 R2 F D F2
B F' U' L2 F2 U' R2
F' B' U2 R2 F' D F2
F' B' U2 R2 F2 D F2
B2 F' U2 R D R F2
F' B' U2 D F2 D' R2
B2 F' U2 R' D R' F2
B2 F' U2 R' D F2 R'
B2 F' U2 R2 U L2 U'
B2 F' U2 R2 D F2 D
B2 F' U2 R2 D F2 D'
B2 F' U2 R2 D F2 D2
B2 F' U2 R2 F D F2
B2 F' U2 R2 F' D F2
B2 F' U2 R2 F2 D F2
F' B' U2 F R2 D F2
B2 F' U2 D F2 D' R2
F' B' U2 F' R2 D F2
F' B' U2 F2 R2 D F2
B F' U' F L2 U' R2
B2 F' U2 F R2 D F2
B F' U' F' L2 U' R2
B2 F' U2 F' R2 D F2
B F' U' F2 L2 U' R2
L2 B' F' U2 R2 D' F2
B2 F' U2 F2 R2 D F2
B' F' D U B2 U F2
B' F' D U2 F2 D' R2
B F' U2 R D R F2
F' B' D U B2 U F2
B F' U2 R' D R' F2
B F' U2 R' D F2 R'
B F' U2 R2 U L2 U'
F' B' D U2 F2 D' R2
B F' U2 R2 D F2 D
B F' U2 R2 D F2 D'
B F' U2 R2 D F2 D2
D B' F' U B' U F'
B F' U2 R2 F D F2
B F' U2 R2 F' D F2
B F' U2 R2 F2 D F2
D' B2 L U2 D R2 B
B F' U2 D F2 D' R2
B2 F' D U B2 U F2
D' B2 L D U2 R2 B
D' B2 L D F' U2 R2
D' B2 L D' L2 F' U2
B2 F' D U2 F2 D' R2
D' B2 L D' F' L2 U2
B F' U2 F R2 D F2
B F' U2 F' R2 D F2
B F' U2 F2 R2 D F2
D' B2 L F' U' F' U'
B' F' D' B2 U' F2 U'
B' F' D' B2 U2 D R2
B' F' D' B2 D U2 R2
B' F' D' B2 D' L2 U2
D' B2 L' U2 D R2 B
B F' D U B2 U F2
B' F' D2 L2 U R2 U
B' F' D2 L2 U2 D' F2
B' F' D2 L2 D B2 U2
B' F' D2 L2 D' U2 F2
D' B2 L' D U2 R2 B
D' B2 L' D F' U2 R2
D' B2 L' D' L2 F' U2
B F' D U2 F2 D' R2
D' B2 L' D' F' L2 U2
F' B' D' B2 U' F2 U'
F' B' D' B2 U2 D R2
F' B' D' B2 D U2 R2
F' B' D' B2 D' L2 U2
D' B2 L' F' U' F' U'
F' B' D2 L2 U R2 U
F' B' D2 L2 U2 D' F2
F' B' D2 L2 D B2 U2
F' B' D2 L2 D' U2 F2
B2 F' D' B2 U' F2 U'
B2 F' D' B2 U2 D R2
B2 F' D' B2 D U2 R2
B2 F' D' B2 D' L2 U2
D2 B2 L2 U R2 U B
B2 F' D2 L2 U R2 U
B2 F' D2 L2 U2 D' F2
B2 F' D2 L2 D B2 U2
