U' L' U' B' U'
B U L D2 R2
B' U' L' R' U2
B U' L' U2 L2
B' U' R' L' U2
F2 B U L R
F2 B U R L
B F2 U L R
B F2 U R L
F2 B' U D2 R D2 L2
L B' D' L' B2 U L
B F' U L F' R F
F2 B' U B2 L R B2
F2 B' U B2 L B2 R
F2 B' U B2 R L B2
F2 B' U' L R' U2 R2
F2 B' U' L' R' U2 R2
F2 B' U' L2 R' U2 R2
F2 B' U' R' L U2 R2
F2 B' U' R' L' U2 R2
F2 B' U' R' L2 U2 R2
F2 B' U' R' U2 R2 D
F2 B' U' R' U2 R2 D'
F2 B' U' R' U2 R2 D2
F2 B' U' R' D2 L2 U2
D B' D2 U' L' R' U2
D B' D2 U' R' L' U2
F2 B' U' D R' U2 R2
F2 B' U' D' R' U2 R2
B F' U F' R F L
F2 B' U' D2 R' U2 R2
L B' D' B2 L' U L2
D2 B' F2 U R D2 L2
D2 B' F2 U' R' U2 R2
D' B' F2 U R D2 L2
D' B' F2 U' R' U2 R2
F B' U' R' U' F' U'
F2 B' U2 B2 U' L R
F2 B' U2 B2 U' R L
F2 B' D U R D2 L2
F2 B' D U' R' U2 R2
B F' U2 F' U' L R
B F' U2 F' U' R L
F2 B' D B2 U L R
F2 B' D B2 U R L
D B' F2 U R D2 L2
D B' F2 U' R' U2 R2
U' B2 L' B2 U' B U'
F2 B' D' U R D2 L2
F2 B' D' U' R' U2 R2
F2 B' D' B2 U L R
F2 B' D' B2 U R L
F2 B' D2 U R D2 L2
F2 B' D2 U' R' U2 R2
F2 B' D2 B2 U L R
F2 B' D2 B2 U R L
U2 B2 U L' U' B' U'
B' F2 U L R D2 L2
B' F2 U L' R D2 L2
B' F2 U L2 R D2 L2
B' F2 U R L D2 L2
B' F2 U R L' D2 L2
B' F2 U R L2 D2 L2
B' F2 U R U2 R2 U2
B' F2 U R D2 L2 D
B' F2 U R D2 L2 D'
B' F2 U R D2 L2 D2
B' F2 U D R D2 L2
B' F2 U D' R D2 L2
B' F2 U D2 R D2 L2
B' F2 U B2 L R B2
B' F2 U B2 L B2 R
B' F2 U B2 R L B2
B2 F2 U R B' L B
B' F2 U' L R' U2 R2
B' F2 U' L' R' U2 R2
B' F2 U' L2 R' U2 R2
F2 B2 U R B' L B
B' F2 U' R' L U2 R2
B' F2 U' R' L' U2 R2
B' F2 U' R' L2 U2 R2
B' F2 U' R' U2 R2 D
B' F2 U' R' U2 R2 D'
B' F2 U' R' U2 R2 D2
B' F2 U' R' D2 L2 U2
B' F2 U' D R' U2 R2
B' F2 U' D' R' U2 R2
B' F2 U' D2 R' U2 R2
B2 F2 U B' L B R
B F2 U L R2 D R'
B F2 U L R2 D' R'
B F2 U L R2 D2 R'
F2 B2 U B' L B R
B F2 U L D R D
B F2 U L D R D'
B F2 U L D R D2
B F2 U L D' R D
B F2 U L D' R D'
B F2 U L D' R D2
B F2 U L D2 R D
B F2 U L D2 R D'
B F2 U L D2 R D2
B F2 U L B R B'
B F2 U L B2 R B2
B F2 U L2 R D L'
B F2 U L2 R D' L'
B F2 U L2 R D2 L'
B F2 U L2 D L' R
B F2 U L2 D R L'
B F2 U L2 D' L' R
B F2 U L2 D' R L'
B F2 U L2 D2 L' R
B F2 U L2 D2 R L'
B F2 U R L2 D L'
B F2 U R L2 D' L'
B F2 U R L2 D2 L'
B F2 U R D L D
B F2 U R D L D'
B F2 U R D L D2
B F2 U R D' L D
B F2 U R D' L D'
B F2 U R D' L D2
B F2 U R D2 L D
B F2 U R D2 L D'
B F2 U R D2 L D2
B F2 U R F L F'
B F2 U R F2 L F2
B F2 U R2 L D R'
B F2 U R2 L D' R'
B F2 U R2 L D2 R'
B F2 U R2 D L R'
B F2 U R2 D R' L
B F2 U R2 D' L R'
B F2 U R2 D' R' L
B F2 U R2 D2 L R'
B F2 U R2 D2 R' L
B F2 U D L R D
B F2 U D L R D'
B F2 U D L R D2
B F2 U D L D R
B F2 U D L D' R
B F2 U D L D2 R
B F2 U D R L D
B F2 U D R L D'
B F2 U D R L D2
B F2 U D R D L
B F2 U D R D' L
B F2 U D R D2 L
B F2 U D' L R D
B F2 U D' L R D'
B F2 U D' L R D2
B F2 U D' L D R
B F2 U D' L D' R
B F2 U D' L D2 R
B F2 U D' R L D
B F2 U D' R L D'
B F2 U D' R L D2
B F2 U D' R D L
B F2 U D' R D' L
B F2 U D' R D2 L
B F2 U D2 L R D
B F2 U D2 L R D'
B F2 U D2 L R D2
B F2 U D2 L D R
B F2 U D2 L D' R
B F2 U D2 L D2 R
B F2 U D2 R L D
B F2 U D2 R L D'
B F2 U D2 R L D2
B F2 U D2 R D L
B F2 U D2 R D' L
B F2 U D2 R D2 L
B F2 U F L F' R
B F2 U B R B' L
B F2 U' L' U2 L2 R
B F2 U' L' U2 R L2
B F2 U' L2 U2 L' R
B F2 U' L2 U2 R L'
B' F2 U2 B2 U' L R
B' F2 U2 B2 U' R L
B F2 U' R' U2 L R2
B F2 U' R' U2 R2 L
B F2 U' R2 U2 L R'
B F2 U' R2 U2 R' L
B' F2 D U R D2 L2
B' F2 D U' R' U2 R2
B2 F2 U2 B' U' L R
B2 F2 U2 B' U' R L
F2 B2 U2 B' U' L R
F2 B2 U2 B' U' R L
B' F2 D B2 U L R
B' F2 D B2 U R L
B' F2 D' U R D2 L2
B' F2 D' U' R' U2 R2
B' F2 D' B2 U L R
B' F2 D' B2 U R L
B F2 D U L R D
B F2 D U L R D'
B F2 D U L R D2
B F2 D U L D R
B F2 D U L D' R
B F2 D U L D2 R
B F2 D U R L D
B F2 D U R L D'
B F2 D U R L D2
B F2 D U R D L
B F2 D U R D' L
B F2 D U R D2 L
F B2 U2 B' U' L R'
F B2 U2 B' U' R' L
B' F2 D2 U R D2 L2
B' F2 D2 U' R' U2 R2
B' F2 D2 B2 U L R
B' F2 D2 B2 U R L
B F2 D' U L R D
B F2 D' U L R D'
B F2 D' U L R D2
B F2 D' U L D R
B F2 D' U L D' R
B F2 D' U L D2 R
B F2 D' U R L D
B F2 D' U R L D'
B F2 D' U R L D2
B F2 D' U R D L
B F2 D' U R D' L
B F2 D' U R D2 L
B F2 D2 U L R D
B F2 D2 U L R D'
B F2 D2 U L R D2
B F2 D2 U L D R
B F2 D2 U L D' R
B F2 D2 U L D2 R
B F2 D2 U R L D
B F2 D2 U R L D'
B F2 D2 U R L D2
B F2 D2 U R D L
B F2 D2 U R D' L
B F2 D2 U R D2 L
F B2 D2 F U L' R
F B2 D2 F U R L'
