F' U' L F'
F' U' F' L
F' L' U' L2 F'
F' L' U' F' L2
F' L2 U' L' F'
F' U' L D F'
F' U' L D' F'
F' U' L D2 F'
F' U' L F' D
F' U' L F' D'
F' U' L F' D2
F' U' L' F' L2
F' U' D L F'
F' U' D F' L
F' U' D' L F'
F' U' D' F' L
F' U' D2 L F'
F' U' D2 F' L
F' U' F L F2
F' U' F' L D
F' U' F' L D'
F' U' F' L D2
F' U' F' D L
F' U' F' D' L
F' U' F' D2 L
F' D U' L F'
F' D U' F' L
D' F' L2 U' L'
L' F' U' L2 F'
L' F' U' F' L2
F' D' U' L F'
F' D' U' F' L
F' D2 U' L F'
F' D2 U' F' L
D' F' L2 B' D2 U' L'
D' F' L2 B2 U' L' D
D' F' L2 B2 U' L' D'
D' F' L2 B2 U' L' D2
D' F' L2 B2 U' D L'
D' F' L2 B2 U' D' L'
D' F' L2 B2 U' D2 L'
D' F' L2 B2 D U' L'
D' F' L2 B2 D' U' L'
D' F' L2 B2 D2 U' L'
L2 F' L2 U' F L' F2
L F' L' U' L D F'
L F' L' U' L D' F'
L F' L' U' L D2 F'
L F' L' U' L F' D
L F' L' U' L F' D'
L F' L' U' L F' D2
L F' L' U' L' F' L2
L F' L' U' D L F'
L F' L' U' D F' L
L F' L' U' D' L F'
L F' L' U' D' F' L
L F' L' U' D2 L F'
L F' L' U' D2 F' L
L F' L' U' F L F2
L F' L' U' F' L D
L F' L' U' F' L D'
L F' L' U' F' L D2
L F' L' U' F' D L
L F' L' U' F' D' L
L F' L' U' F' D2 L
F D F L R2 D B2
L F' L' D U' L F'
L F' L' D U' F' L
L F' L' D' U' L F'
L F' L' D' U' F' L
L F' L' D2 U' L F'
L F' L' D2 U' F' L
F D F R2 L D B2
F D F R2 D L B2
D F' L2 U' L' D' F2
D F' L2 U' D' L' F2
D F' L2 U2 R2 U L'
D F' L2 D' U' L' F2
D F' L2 D2 L2 U' L
U F' L2 U' B' L' F'
L F' L2 U' L F' L
L F' L2 U' L2 D F'
L F' L2 U' L2 D' F'
L F' L2 U' L2 D2 F'
L F' L2 U' L2 F' D
L F' L2 U' L2 F' D'
L F' L2 U' L2 F' D2
L F' L2 U' F L2 F2
L F' L2 U' F' L2 D
L F' L2 U' F' L2 D'
L F' L2 U' F' L2 D2
L F' L2 D' B2 U' F'
F D F' U' L R2 F2
F D F' U' L F2 R2
F D F' U' R2 L F2
F D F' U' R2 F2 L
L F' L2 B U' L2 F'
L F' L2 B U' F' L2
F D F' U' F2 L R2
F D F' U' F2 R2 L
L F' L2 B' U' L2 F'
L F' L2 B' U' F' L2
L F' L2 B2 U' L2 F'
L F' L2 B2 U' F' L2
F D F2 U' L F' R2
F D F2 U' F' L R2
F D F2 U' F' R2 L
D2 F' U R B2 R' U2
D2 F' U R' B2 R' U2
D2 F' U R2 B2 R' U2
D' F' U D' B2 R' U2
L' F' U R2 B U2 L2
L' F' U D2 R2 B U2
U2 F' U L F2 R F
D2 F' U B2 R' U2 D
D2 F' U B2 R' U2 D'
D2 F' U B2 R' U2 D2
D2 F' U B2 R' D U2
D2 F' U B2 R' D' U2
D2 F' U B2 R' D2 U2
D2 F' U B2 D R' U2
D2 F' U B2 D' R' U2
D2 F' U B2 D2 R' U2
L' F' U B U2 L2 F'
D' F' U' L U L U'
L' F' U B U2 F' L2
D2 F' U' L U2 B2 U2
D2 F' U' L D2 F2 D
D2 F' U' L D2 F2 D'
D2 F' U' L D2 F2 D2
D2 F' U' L F D2 F2
D2 F' U' L F' D2 F2
D2 F' U' L F2 D2 F2
L' F' U B' U2 L2 F'
L' F' U B' U2 F' L2
L' F' U B2 U2 L2 F'
L' F' U B2 U2 F' L2
D2 F' U' L2 D2 L' F2
L' F' U' L D L F'
L' F' U' L D F' L
L' F' U' L D' L F'
L' F' U' L D' F' L
L' F' U' L D2 L F'
L' F' U' L D2 F' L
L' F' U' L F L F2
L' F' U' L F' L D
L' F' U' L F' L D'
L' F' U' L F' L D2
L' F' U' L F' D L
L' F' U' L F' D' L
L' F' U' L F' D2 L
L' F' U' L' D L' F'
L' F' U' L' D' L' F'
L' F' U' L' D2 L' F'
L' F' U' L2 D F' D
L' F' U' L2 D F' D'
L' F' U' L2 D F' D2
U2 F' U F L F2 R
L' F' U' L2 D' F' D
L' F' U' L2 D' F' D'
L' F' U' L2 D' F' D2
L' F' U' L2 D2 F' D
L' F' U' L2 D2 F' D'
L' F' U' L2 D2 F' D2
L' F' U' L2 F2 D F
L' F' U' L2 F2 D' F
L' F' U' L2 F2 D2 F
D' F' U' D L F2 D
D' F' U' D L F2 D'
D' F' U' D L F2 D2
D' F' U' D L' F2 L2
D' F' U' D F' L F'
D' F' U' D F2 L D
D' F' U' D F2 L D'
D' F' U' D F2 L D2
D' F' U' D F2 D L
D' F' U' D F2 D' L
D' F' U' D F2 D2 L
D2 F' U' D' L D' F2
D' F' U' D' L D2 F2
D2 F' U' D2 L F2 D
D2 F' U' D2 L F2 D'
D2 F' U' D2 L F2 D2
D2 F' U' D2 L' F2 L2
D' F' U' D2 L D' F2
D2 F' U' D2 F' L F'
D2 F' U' D2 F2 L D
D2 F' U' D2 F2 L D'
D2 F' U' D2 F2 L D2
D2 F' U' D2 F2 D L
D2 F' U' D2 F2 D' L
D2 F' U' D2 F2 D2 L
D2 F' U' F L D2 F2
D2 F' U' F D2 L F2
D2 F' U' F D2 F2 L
D' F' U' F D L F2
D' F' U' F D F2 L
D2 F' U' F' L D2 F2
L' F' U' D' F' D L2
D2 F' U' F' D2 L F2
D2 F' U' F' D2 F2 L
D' F' U' F' D L F2
D' F' U' F' D F2 L
D2 F' U' F2 L D2 F2
L' F' U' D2 F' D2 L2
L' F' U' F L F2 L
D2 F' U' F2 D2 L F2
D2 F' U' F2 D2 F2 L
D' F' U' F2 D L F2
L' F' U' F L2 F2 D
L' F' U' F L2 F2 D'
L' F' U' F L2 F2 D2
D' F' U' F2 D F2 L
L2 F' U' L F L' F2
L' F' U' F' L D L
L' F' U' F' L D' L
L' F' U' F' L D2 L
L' F' U' F' L' D L'
L' F' U' F' L' D' L'
L' F' U' F' L' D2 L'
D F' U D B2 R' U2
U2 F' U' L' F' L2 B'
L2 F' U' L' F L' F2
L' F' U' F' B' L2 B
L' F' U' F' B2 L2 B2
L2 F' U' L2 F L' F2
L' F' U' B' L2 F' B
L' F' U' B' L2 B F'
L' F' U' B' F' L2 B
L' F' U' B2 L2 F' B2
L' F' U' B2 L2 B2 F'
L' F' U' B2 F' L2 B2
L2 F' U' F L F2 L2
L2 F' U' F L' F2 D
L2 F' U' F L' F2 D'
L2 F' U' F L' F2 D2
L2 F' U' F L2 F2 L
D F' U' L U' R2 U
U2 F' U' F' L2 B' L'
D F' U' L D' F2 D
D F' U' L D' F2 D'
D F' U' L D' F2 D2
D F' U' L F D' F2
D F' U' L F' D' F2
D F' U' L F2 D' F2
L2 F' U' F' U2 R U2
D2 F' U2 D' R2 U L
U F' U F U2 L F2
U F' U F U2 F2 L
D' F' U2 D2 R2 U L
D F' U' L2 D' L' F2
L' F' U2 D F2 U F
L' F' U2 F U L2 F2
L' F' U2 F U F2 L2
D F' U' D L D2 F2
D F' U' D' L F2 D
D F' U' D' L F2 D'
D F' U' D' L F2 D2
D F' U' D' L' F2 L2
D F' U' D' F' L F'
D F' U' D' F2 L D
D F' U' D' F2 L D'
D F' U' D' F2 L D2
D F' U' D' F2 D L
D F' U' D' F2 D' L
D F' U' D' F2 D2 L
L' F' U2 F2 U F L2
D F' U' F L D' F2
F' D' L' U' L F' L
F' D' L' U' L2 D F'
F' D' L' U' L2 D' F'
F' D' L' U' L2 D2 F'
F' D' L' U' L2 F' D
F' D' L' U' L2 F' D'
F' D' L' U' L2 F' D2
D F' U' F D' L F2
F' D' L' U' F L2 F2
D F' U' F D' F2 L
F' D' L' U' F' L2 D
F' D' L' U' F' L2 D'
F' D' L' U' F' L2 D2
D F' U' F' L D' F2
D' F' D L' U' L2 F2
D' F' D L' U' F2 L2
U F' U' L2 B' L' F'
D F' U' F' D' L F2
D F' U' F' D' F2 L
D F' U' F2 L D' F2
D2 F' D L2 U' L' D
D2 F' D L2 U' L' D'
D2 F' D L2 U' L' D2
D2 F' D L2 U' D L'
D2 F' D L2 U' D' L'
D2 F' D L2 U' D2 L'
D2 F' D L2 D U' L'
D2 F' D L2 D' U' L'
D2 F' D L2 D2 U' L'
D' F' D L2 U' L' F2
D F' U' F2 D' L F2
D F' U' F2 D' F2 L
D2 F' D L2 B U' L'
D2 F' D L2 B' U' L'
D2 F' D L2 B2 U' L'
F' D' L' D' B2 U' F'
L2 F' U2 F U L' F2
D' F' D U' L F2 D
D' F' D U' L F2 D'
D' F' D U' L F2 D2
D' F' D U' L' F2 L2
D' F' D U' F' L F'
D' F' D U' F2 L D
D' F' D U' F2 L D'
D' F' D U' F2 L D2
D' F' D U' F2 D L
D' F' D U' F2 D' L
D' F' D U' F2 D2 L
U F' U' F' L D2 B2
F' D' L' B U' L2 F'
F' D' L' B U' F' L2
U F' U' F' D2 L B2
F' D' L' B' U' L2 F'
F' D' L' B' U' F' L2
L F' U' F' U' F U
F' D' L' B2 U' L2 F'
F' D' L' B2 U' F' L2
L F' U' F2 D' F L2
D F' U2 R2 U L D
D F' U2 R2 U L D'
D F' U2 R2 U L D2
D F' U2 R2 U D L
D F' U2 R2 U D' L
D F' U2 R2 U D2 L
L' F' D U2 F2 U F
D F' U2 R2 D U L
D F' U2 R2 D' U L
D F' U2 R2 D2 U L
D F' U2 R2 F U L
D F' U2 R2 F' U L
D F' U2 R2 F2 U L
F' D' L2 U' L F' L2
F' D' L2 U' L' D F'
F' D' L2 U' L' D' F'
F' D' L2 U' L' D2 F'
F' D' L2 U' L' F' D
F' D' L2 U' L' F' D'
F' D' L2 U' L' F' D2
F' D' L2 U' L2 F' L
F' D' L2 U' D L' F'
D F' U2 F R2 U L
F' D' L2 U' D' L' F'
F' D' L2 U' D2 L' F'
D F' U2 F' R2 U L
D F' U2 F2 R2 U L
F' D' L2 D U' L' F'
B' D' L2 F' B U' L
F' D' L2 D' U' L' F'
L' F' D' L B2 U' F'
F' D' L2 D2 U' L' F'
L' F' D' L' B2 U' F'
B' D' L2 B F' U' L
L' F' D' L2 B2 U' F'
D2 F' D' U' L D' F2
D' F' D' U B2 R' U2
D' F' D' U' L D2 F2
D' F' D' U' L D2 F2
D2 F' D' U2 R2 U L
F' D' L2 B U' L' F'
B2 D' L2 F' U R' U2
F' D' L2 B' U' L' F'
B2 D' L2 F' B2 U' L
L' F' D' U' F' D L2
F' D' L2 B2 U' L' F'
L2 F' D' L B' U' F'
D F' D U B2 R' U2
D F' D U' L D2 F2
L2 F' D' L2 U' F' L'
B2 D' L2 B2 F' U' L
L F' D L U' L' F'
D2 F' D2 L' U' L2 F2
D2 F' D2 L' U' F2 L2
L F' D L' U' L F'
L F' D L' U' F' L
L' F' D' B2 L U' F'
L' F' D' B2 L' U' F'
D2 F' D2 L2 U' L' F2
L' F' D' B2 L2 U' F'
L F' D L2 U' L2 F'
L F' D L2 U' F' L2
L' F' D' B2 U' D F'
L' F' D' B2 U' D' F'
L' F' D' B2 U' D2 F'
L' F' D' B2 U' F' D
L' F' D' B2 U' F' D'
L' F' D' B2 U' F' D2
L' F' D' B2 D U' F'
L' F' D' B2 D' U' F'
L' F' D' B2 D2 U' F'
D2 F' D2 U' L F2 D
D2 F' D2 U' L F2 D'
D2 F' D2 U' L F2 D2
D2 F' D2 U' L' F2 L2
D' F' D2 U' L D' F2
D2 F' D2 U' F' L F'
D2 F' D2 U' F2 L D
D2 F' D2 U' F2 L D'
D2 F' D2 U' F2 L D2
D F' D' L' U' L2 F2
D2 F' D2 U' F2 D L
D2 F' D2 U' F2 D' L
D2 F' D2 U' F2 D2 L
D F' D' L' U' F2 L2
D F' D' L2 U' L' F2
D' F' D2 U2 R2 U L
L' F' D2 U R2 B U2
L' F' D2 U' F' D2 L2
D F' D' U' L F2 D
D F' D' U' L F2 D'
D F' D' U' L F2 D2
D F' D' U' L' F2 L2
D F' D' U' F' L F'
D F' D' U' F2 L D
D F' D' U' F2 L D'
D F' D' U' F2 L D2
D F' D' U' F2 D L
D F' D' U' F2 D' L
D F' D' U' F2 D2 L
L F' D' L U' L' F'
L F' D' L' U' L F'
L F' D' L' U' F' L
L F' D' L2 U' L2 F'
L F' D' L2 U' F' L2
L' F' B L U' L F'
L' F' B L U' F' L
D' F' B L2 B' U' L
L' F' B L' U' L' F'
U' F' B U' F' B' L
U' F' B U' B' L F'
U' F' B U' B' F' L
D2 F' B U B R' U2
D F' D2 L2 U' L' D
D F' D2 L2 U' L' D'
D F' D2 L2 U' L' D2
D F' D2 L2 U' D L'
D F' D2 L2 U' D' L'
D F' D2 L2 U' D2 L'
D F' D2 L2 D U' L'
D F' D2 L2 D' U' L'
D F' D2 L2 D2 U' L'
D F' D2 L2 B U' L'
D F' D2 L2 B' U' L'
D F' D2 L2 B2 U' L'
L' F' B U' L F' L
L2 F' D2 B' U' L F'
L' F' B U' L2 D F'
L' F' B U' L2 D' F'
L' F' B U' L2 D2 F'
L' F' B U' L2 F' D
L' F' B U' L2 F' D'
L' F' B U' L2 F' D2
L2 F' D2 B' U' F' L
L' F' B U' F L2 F2
L' F' B U' F' L2 D
L' F' B U' F' L2 D'
L' F' B U' F' L2 D2
L' F' B D' B2 U' F'
L F' D2 L U' L' F'
L' F' B' L U' L F'
L' F' B' L U' F' L
D' F' B' L2 B U' L
L F' D2 L' U' L F'
L F' D2 L' U' F' L
L' F' B' L' U' L' F'
L F' D2 L2 U' L2 F'
L F' D2 L2 U' F' L2
L2 F' B U' F L' F2
L' F' B' U' L F' L
L' F' B' U' L2 D F'
L' F' B' U' L2 D' F'
L' F' B' U' L2 D2 F'
L' F' B' U' L2 F' D
L' F' B' U' L2 F' D'
L' F' B' U' L2 F' D2
L' F' B' U' F L2 F2
L' F' B' U' F' L2 D
L' F' B' U' F' L2 D'
L' F' B' U' F' L2 D2
L' F' B' D' B2 U' F'
D' F' B2 L2 U R' U2
L' F' B2 L U' L F'
L' F' B2 L U' F' L
D' F' B2 L2 B2 U' L
L' F' B2 L' U' L' F'
U' F' B2 U' F' B2 L
U' F' B2 U' B2 L F'
U' F' B2 U' B2 F' L
F' D' U R U2 L F
L F' B L U' L' F'
L F' B L' U' L F'
L F' B L' U' F' L
L2 F' B' U' F L' F2
L F' B L2 U' L2 F'
L F' B L2 U' F' L2
L' F' B2 U' L F' L
L' F' B2 U' L2 D F'
L' F' B2 U' L2 D' F'
L' F' B2 U' L2 D2 F'
L' F' B2 U' L2 F' D
L' F' B2 U' L2 F' D'
L' F' B2 U' L2 F' D2
L' F' B2 U' F L2 F2
L' F' B2 U' F' L2 D
L' F' B2 U' F' L2 D'
L' F' B2 U' F' L2 D2
F' D' U B' U2 F' L'
L' F' B2 D' B2 U' F'
F' D' U' L D F' D
F' D' U' L D F' D'
F' D' U' L D F' D2
F' D' U' L D' F' D
F' D' U' L D' F' D'
F' D' U' L D' F' D2
F' D' U' L D2 F' D
F' D' U' L D2 F' D'
F' D' U' L D2 F' D2
F' D' U' L F2 D F
F' D' U' L F2 D' F
F' D' U' L F2 D2 F
U' F2 L D F' R F
F' D' U' L' F L2 F2
F' D' U' L' F' L2 D
F' D' U' L' F' L2 D'
F' D' U' L' F' L2 D2
U' F2 L D' B R' B'
F' D' U' L2 D L' F'
F' D' U' L2 D' L' F'
F' D' U' L2 D2 L' F'
L F' B' L U' L' F'
U' F2 L F D F' R
L F' B' L' U' L F'
L F' B' L' U' F' L
L2 F' B2 U' F L' F2
F' D' U' F L F2 D
F' D' U' F L F2 D'
F' D' U' F L F2 D2
F' D' U' F L' F2 L2
L F' B' L2 U' L2 F'
L F' B' L2 U' F' L2
F' D' U' F' L2 D L'
F' D' U' F' L2 D' L'
F' D' U' F' L2 D2 L'
F' D' U' F' D L D
F' D' U' F' D L D'
F' D' U' F' D L D2
F' D' U' F' D' L D
F' D' U' F' D' L D'
F' D' U' F' D' L D2
F' D' U' F' D2 L D
F' D' U' F' D2 L D'
F' D' U' F' D2 L D2
U' F2 L B' D' B R'
F' D' U' F2 D F L
F' D' U' F2 D' F L
F' D' U' F2 D2 F L
F D' U L2 B' U2 L'
L F' B2 L U' L' F'
L F' B2 L' U' L F'
L F' B2 L' U' F' L
L F' B2 L2 U' L2 F'
L F' B2 L2 U' F' L2
F' D' U2 F U L F2
F' D' U2 F U F2 L
R2 F2 L U R2 F' U'
F' D' U2 F2 U F L
U' F2 L2 U' B' U L'
F D' U' F D2 L R2
F D' U' F D2 R2 L
F2 D' F L' U' L2 F'
F2 D' F L' U' F' L2
F2 D' F L2 U' L' F'
D' F2 L2 U2 B' U L'
L' F2 L2 U' B' U B
F2 D' F U' L D F'
F2 D' F U' L D' F'
F2 D' F U' L D2 F'
F2 D' F U' L F' D
F2 D' F U' L F' D'
F2 D' F U' L F' D2
F2 D' F U' L' F' L2
F2 D' F U' D L F'
F2 D' F U' D F' L
F2 D' F U' D' L F'
F2 D' F U' D' F' L
F2 D' F U' D2 L F'
F2 D' F U' D2 F' L
F2 D' F U' F L F2
F2 D' F U' F' L D
F2 D' F U' F' L D'
F2 D' F U' F' L D2
F2 D' F U' F' D L
F2 D' F U' F' D' L
F2 D' F U' F' D2 L
B' D' F' L2 B U' L
F2 D' F D U' L F'
F2 D' F D U' F' L
F2 D' F D' U' L F'
F2 D' F D' U' F' L
F2 D' F D2 U' L F'
F2 D' F D2 U' F' L
U' F2 R U F U' L
B2 D' F' L2 U R' U2
B2 D' F' L2 B2 U' L
B' D' F' B L2 U' L'
B2 D' F' B2 L2 U' L'
U' F2 R' U F U' L
U' F2 R2 U F U' L
L F2 R U R' F U'
L F2 R U F R' U'
B' D' B F' L2 U' L'
U' F2 U D F U' L
L F2 R' U R F U'
U' F2 U D' F U' L
U' F2 U D2 F U' L
U' F2 U F U' L D
U' F2 U F U' L D'
U' F2 U F U' L D2
U' F2 U F U' D L
U' F2 U F U' D' L
U' F2 U F U' D2 L
U' F2 U F D U' L
U' F2 U F D' U' L
U' F2 U F D2 U' L
R2 F2 R2 F' U' F L
R F2 R' F' U' F L
L F2 R2 U R2 F U'
L F2 R2 U F R2 U'
R2 F2 U R2 F' U' L
B2 D' B2 F' L2 U' L'
L F2 U F R2 U' B
L F2 U F U F' U2
F' D2 L' U' L F' L
F' D2 L' U' L2 D F'
F' D2 L' U' L2 D' F'
F' D2 L' U' L2 D2 F'
F' D2 L' U' L2 F' D
F' D2 L' U' L2 F' D'
F' D2 L' U' L2 F' D2
F' D2 L' U' F L2 F2
F' D2 L' U' F' L2 D
F' D2 L' U' F' L2 D'
F' D2 L' U' F' L2 D2
U' F2 D U F U' L
L F2 U' L2 B' U B
F' D2 L' D' B2 U' F'
F' D2 L' B U' L2 F'
F' D2 L' B U' F' L2
D2 F2 D F L2 U' L'
F' D2 L' B' U' L2 F'
F' D2 L' B' U' F' L2
D' F2 D F U' F L
F' D2 L' B2 U' L2 F'
F' D2 L' B2 U' F' L2
F' D2 L2 U' L F' L2
F' D2 L2 U' L' D F'
F' D2 L2 U' L' D' F'
F' D2 L2 U' L' D2 F'
F' D2 L2 U' L' F' D
F' D2 L2 U' L' F' D'
F' D2 L2 U' L' F' D2
F' D2 L2 U' L2 F' L
F' D2 L2 U' D L' F'
F' D2 L2 U' D' L' F'
F' D2 L2 U' D2 L' F'
F' D2 L2 D U' L' F'
U' F2 D' U F U' L
F' D2 L2 D' U' L' F'
F' D2 L2 D2 U' L' F'
F' D2 L2 B U' L' F'
F' D2 L2 B' U' L' F'
F' D2 L2 B2 U' L' F'
L' F2 D' F B2 U' F'
L' F2 D' B2 F U' F'
U' F2 D2 U F U' L
D2 F2 D2 F U' F L
D F2 D' F U' F L
D F2 D2 F L2 U' L'
F' D2 U R U2 L F
F' D2 U B' U2 F' L'
F' D2 U' L D F' D
F' D2 U' L D F' D'
F' D2 U' L D F' D2
F' D2 U' L D' F' D
F' D2 U' L D' F' D'
F' D2 U' L D' F' D2
F' D2 U' L D2 F' D
F' D2 U' L D2 F' D'
F' D2 U' L D2 F' D2
F' D2 U' L F2 D F
F' D2 U' L F2 D' F
F' D2 U' L F2 D2 F
F' D2 U' L' F L2 F2
F' D2 U' L' F' L2 D
F' D2 U' L' F' L2 D'
F' D2 U' L' F' L2 D2
F' D2 U' L2 D L' F'
F' D2 U' L2 D' L' F'
F' D2 U' L2 D2 L' F'
F' D2 U' F L F2 D
F' D2 U' F L F2 D'
F' D2 U' F L F2 D2
F' D2 U' F L' F2 L2
F' D2 U' F' L2 D L'
F' D2 U' F' L2 D' L'
F' D2 U' F' L2 D2 L'
F' D2 U' F' D L D
F' D2 U' F' D L D'
F' D2 U' F' D L D2
F' D2 U' F' D' L D
F' D2 U' F' D' L D'
F' D2 U' F' D' L D2
F' D2 U' F' D2 L D
F' D2 U' F' D2 L D'
F' D2 U' F' D2 L D2
F' D2 U' F2 D F L
F' D2 U' F2 D' F L
F' D2 U' F2 D2 F L
L' B L F' U' L F'
L' B L F' U' F' L
F' D2 U2 F U L F2
F' D2 U2 F U F2 L
F' D2 U2 F2 U F L
L2 B L F' U' L2 F'
L2 B L F' U' F' L2
F D2 U' F L D' R2
F2 D2 F L' U' L2 F'
F2 D2 F L' U' F' L2
F D2 U' F D' L R2
F D2 U' F D' R2 L
F2 D2 F L2 U' L' F'
F2 D2 F U' L D F'
F2 D2 F U' L D' F'
F2 D2 F U' L D2 F'
F2 D2 F U' L F' D
F2 D2 F U' L F' D'
F2 D2 F U' L F' D2
F2 D2 F U' L' F' L2
F2 D2 F U' D L F'
F2 D2 F U' D F' L
F2 D2 F U' D' L F'
F2 D2 F U' D' F' L
F2 D2 F U' D2 L F'
F2 D2 F U' D2 F' L
F2 D2 F U' F L F2
F2 D2 F U' F' L D
F2 D2 F U' F' L D'
F2 D2 F U' F' L D2
F2 D2 F U' F' D L
F2 D2 F U' F' D' L
F2 D2 F U' F' D2 L
F2 D2 F D U' L F'
F2 D2 F D U' F' L
D' B L2 F' B' U' L
F2 D2 F D' U' L F'
F2 D2 F D' U' F' L
F2 D2 F D2 U' L F'
F2 D2 F D2 U' F' L
D' B L2 B' F' U' L
B2 D2 F' U R' B2 U2
B2 D2 F' U B2 U2 L
L2 B L2 F' U' L F'
L2 B L2 F' U' F' L
L B L' F' U' L F'
L B L' F' U' F' L
B D2 F' U R B2 U2
B D2 F' U B2 R U2
B D2 F' U' D2 F2 L'
B D2 F' D2 U' F2 L'
L B L2 F' U' L2 F'
L B L2 F' U' F' L2
F' B L B' U' L F'
F' B L B' U' F' L
F' B L' B' U' L F'
F' B L' B' U' F' L
L' B D' L2 F' B2 U'
L' B D' L2 B2 F' U'
F' B L2 B' U' L F'
F' B L2 B' U' F' L
L' B D' F' L2 B2 U'
L' B D' F' B2 L2 U'
L2 B D' L2 F' U' L
L' B D' B2 L2 F' U'
L' B D' B2 F' L2 U'
L B D' L2 F' U' L2
L B D' F' L2 U' L2
L' B F' L U' L F'
L' B F' L U' F' L
U' B F' U' F' B' L
U' B F' U' B' L F'
U' B F' U' B' F' L
D' B F' L2 B' U' L
L' B F' L' U' L' F'
D2 B F' U B R' U2
L' B F' U' L F' L
L' B F' U' L2 D F'
L' B F' U' L2 D' F'
L' B F' U' L2 D2 F'
L' B F' U' L2 F' D
L' B F' U' L2 F' D'
L' B F' U' L2 F' D2
L' B F' U' F L2 F2
L' B F' U' F' L2 D
L' B F' U' F' L2 D'
L' B F' U' F' L2 D2
L' B F' D' B2 U' F'
F' B U R2 B R' U2
L2 B F' U' F L' F2
F' B U B' U2 L F'
F' B U B' U2 F' L
F' B U B2 U2 F' L'
L B F' L U' L' F'
L B F' L' U' L F'
L B F' L' U' F' L
L B F' L2 U' L2 F'
L B F' L2 U' F' L2
F' B U' D2 F L' F2
L' B' L F' U' L F'
L' B' L F' U' F' L
F' B U' F' B' L B
F' B U' F2 D2 F L'
F' B U' B' L F' B
F' B U' B' L B F'
F' B U' B' F' L B
L2 B' L F' U' L2 F'
L2 B' L F' U' F' L2
F' B D L B' U' F'
F' B D L2 U' F' L'
D' B' L2 F' B U' L
D' B' L2 B F' U' L
L2 B' L2 F' U' L F'
L2 B' L2 F' U' F' L
L B' L' F' U' L F'
L B' L' F' U' F' L
F' B D2 U' F L' F2
L B' L2 F' U' L2 F'
L B' L2 F' U' F' L2
F2 B D2 F U' L' F'
B' F' L B U' L F'
B' F' L B U' F' L
F' B' L B U' L F'
F' B' L B U' F' L
B2 F' L B2 U' L F'
B2 F' L B2 U' F' L
U2 B' R2 B U L F2
U2 B' R2 B U F2 L
B' F' L' B U' L F'
B' F' L' B U' F' L
F' B' L' B U' L F'
F' B' L' B U' F' L
B F' L B' U' L F'
B F' L B' U' F' L
B2 F' L' B2 U' L F'
B2 F' L' B2 U' F' L
B' F' L2 B U' L F'
B' F' L2 B U' F' L
F' B' L2 B U' L F'
F' B' L2 B U' F' L
B F' L' B' U' L F'
B F' L' B' U' F' L
B2 F' L2 B2 U' L F'
B2 F' L2 B2 U' F' L
B F' L2 B' U' L F'
B F' L2 B' U' F' L
U2 B' U2 F' U' L' F'
U B' U' F' U' F' L'
U2 B' D R2 B U L
L' B' D' L2 F' B2 U'
L' B' D' L2 B2 F' U'
L' B' D' F' L2 B2 U'
L' B' D' F' B2 L2 U'
L2 B' D' L2 F' U' L
L' B' D' B2 L2 F' U'
L' B' D' B2 F' L2 U'
B2 F' U R2 B R U2
B' F' U' L F' D' L2
B2 F' U B U2 F' L'
F' B' U' L F' D' L2
L B' D' L2 F' U' L2
B2 F' U B2 U2 L F'
B2 F' U B2 U2 F' L
B F' U R2 B R' U2
L B' D' F' L2 U' L2
L' B' F' L U' L F'
L' B' F' L U' F' L
D' B' F' L2 B U' L
L' B' F' L' U' L' F'
B2 F' U' F' U2 R' U2
B2 F' U' F' B2 L B2
B F' U B' U2 L F'
B F' U B' U2 F' L
B2 F' U' B2 L F' B2
B2 F' U' B2 L B2 F'
B' F' U2 F U F2 L'
B F' U B2 U2 F' L'
B2 F' U' B2 F' L B2
L' B' F' U' L F' L
L' B' F' U' L2 D F'
L' B' F' U' L2 D' F'
L' B' F' U' L2 D2 F'
L' B' F' U' L2 F' D
L' B' F' U' L2 F' D'
L' B' F' U' L2 F' D2
L' B' F' U' F L2 F2
L' B' F' U' F' L2 D
L' B' F' U' F' L2 D'
L' B' F' U' F' L2 D2
B' F' U2 F2 U F L'
L' B' F' D' B2 U' F'
F' B' U2 F U F2 L'
F' B' U2 F2 U F L'
B F' U' D2 F L' F2
L2 B' F' U' F L' F2
B F' U' F' B' L B
B F' U' F2 D2 F L'
B F' U' B' L F' B
B F' U' B' L B F'
B F' U' B' F' L B
B' F' D B U' L F'
B' F' D B U' F' L
L B' F' L U' L' F'
F' B' D B U' L F'
F' B' D B U' F' L
L B' F' L' U' L F'
L B' F' L' U' F' L
L B' F' L2 U' L2 F'
L B' F' L2 U' F' L2
L' B2 L F' U' L F'
L' B2 L F' U' F' L
B2 F' D B2 U' L F'
B2 F' D B2 U' F' L
B F' D L B' U' F'
B F' D L2 U' F' L'
B' F' D' B U' L F'
B' F' D' B U' F' L
L2 B2 L F' U' L2 F'
L2 B2 L F' U' F' L2
F' B' D' B U' L F'
F' B' D' B U' F' L
B2 F' D' B2 U' L F'
B2 F' D' B2 U' F' L
B' F' D2 B U' L F'
B' F' D2 B U' F' L
F' B' D2 B U' L F'
F' B' D2 B U' F' L
D' B2 L2 F' U R' U2
D' B2 L2 F' B2 U' L
B2 F' D2 B2 U' L F'
B2 F' D2 B2 U' F' L
D' B2 L2 B2 F' U' L
B F' D2 U' F L' F2
L2 B2 L2 F' U' L F'
