U R U2 B
R2 U R' F' U2
U R U2 D B
U R U2 D' B
U R U2 D2 B
U R U2 B D
U R U2 B D'
U R U2 B D2
U R D U2 B
U R D' U2 B
U R D2 U2 B
U R F U2 B
U R F' U2 B
U R F2 U2 B
B' R' U R2 U2
B' R' U' D2 L2
B' R' D B2 U'
B' R' D2 U' L2
U R' F' R2 U2
U D R U2 B
D U R U2 B
D' U R U2 B
D2 U R U2 B
U D' R U2 B
U D2 R U2 B
U' F2 L' F2 B'
U' F2 L' B' F2
U F2 U2 L' B'
U R2 F R' U2 B D'
U R2 F R' U2 B D2
U R2 F R' D U2 B
U R2 F R' D' U2 B
U R2 F R' D2 U2 B
U R2 F R' F U2 B
U R2 F R' F' U2 B
U R2 F R' F2 U2 B
R' D R B' R' B' U'
U' R2 F2 R2 F2 L' B'
U R2 F' R F' R2 U2
U R2 F' R' U2 D B
U R2 F' R' U2 D' B
U R2 F' R' U2 D2 B
U R2 F' R' U2 B D
U R2 F' R' U2 B D'
U R2 F' R' U2 B D2
U R2 F' R' D U2 B
U R2 F' R' D' U2 B
U R2 F' R' D2 U2 B
U R2 F' R' F U2 B
U R2 F' R' F' U2 B
U R2 F' R' F2 U2 B
F2 R2 F2 U R U2 B
R D R U R' F' U2
R' D R' B' R' B' U'
B' R2 B R B U' L
U R2 F2 R F' R2 U2
U R2 F2 R' U2 D B
U R2 F2 R' U2 D' B
U R2 F2 R' U2 D2 B
U R2 F2 R' U2 B D
U R2 F2 R' U2 B D'
U R2 F2 R' U2 B D2
U R2 F2 R' D U2 B
U R2 F2 R' D' U2 B
U R2 F2 R' D2 U2 B
U R2 F2 R' F U2 B
U R2 F2 R' F' U2 B
U R2 F2 R' F2 U2 B
B2 R2 B R' B U' L
R D R' U R U2 B
U' R2 B' L' R2 B' L
U' R2 B' L' B' L R2
U' R2 B' L' B' R2 L
R' D R2 B' R' B' U'
D' R2 B' R' B' U' L
D2 R2 B' R' B' U' L
B' R2 B' R B' U' L
U' R2 B' R2 L' B' L
R2 D R2 U R U2 B
D' R2 B' D' R' B U'
D2 R2 B' D' R' B U'
U' R2 B2 L' R2 B' L2
U' R2 B2 L' B' L2 R2
U' R2 B2 L' B' R2 L2
R' D U' L D L2 B'
D R2 B' R' B' U' L
R' D U' L' D B' L2
B' R2 B2 R U' L D
B' R2 B2 R U' L D'
B' R2 B2 R U' L D2
B' R2 B2 R U' D L
B' R2 B2 R U' D' L
B' R2 B2 R U' D2 L
B' R2 B2 R D U' L
B' R2 B2 R D' U' L
B' R2 B2 R D2 U' L
B R2 B' U' L' B' L
L2 D U R U2 F2 B
L2 D U R U2 B F2
U' R2 B2 R2 L' B' L2
D' R2 B2 U' D L B'
D2 R2 B2 U' D L B'
R2 D U R' D F' U2
R2 D U R' D' F' U2
R2 D U R' D2 F' U2
R2 D U R' F' U2 D
R2 D U R' F' U2 D'
R2 D U R' F' U2 D2
R2 D U R' F' D U2
R2 D U R' F' D' U2
R2 D U R' F' D2 U2
D R2 B' D' R' B U'
D' R2 B2 D U' L B'
D2 R2 B2 D U' L B'
R2 D U F R' F' U2
B' R2 B2 D R U' L
R2 D U F' R' F' U2
B' R2 B2 D' R U' L
B2 R2 B2 U' L' B' L2
B' R2 B2 D2 R U' L
R2 D U F2 R' F' U2
L2 D U' L' F2 B' L'
L2 D U' L' B' F2 L'
B R2 B2 R' U' L D
B R2 B2 R' U' L D'
B R2 B2 R' U' L D2
B R2 B2 R' U' D L
B R2 B2 R' U' D' L
B R2 B2 R' U' D2 L
B R2 B2 R' D U' L
B R2 B2 R' D' U' L
B R2 B2 R' D2 U' L
R2 D U' L' B2 L B
R2 D U' L2 B2 L B'
U' D L U2 R F U2
D R2 B2 U' D L B'
B R2 B2 D R' U' L
L2 D U' F2 L' D B'
L2 D U' F2 L' D' B'
L2 D U' F2 L' D2 B'
L2 D U' F2 L' B' D
L2 D U' F2 L' B' D'
L2 D U' F2 L' B' D2
D R2 B2 D U' L B'
L2 D U' F2 D L' B'
L2 D U' F2 D' L' B'
B R2 B2 D' R' U' L
L2 D U' F2 D2 L' B'
L2 D U' F2 B L' B'
L2 D U' F2 B' L' B'
L2 D U' F2 B2 L' B'
B R2 B2 D2 R' U' L
L2 D U' B F2 L' B'
L2 D U' B' F2 L' B'
U2 D L U' R U2 B
L2 D U' B2 F2 L' B'
R2 D U' B' L' B' L
R2 D U' B2 L' B' L2
U' D L' U2 R U2 B'
R D U2 L U L' B'
U2 D L' U' R U2 B
U' D L' F2 B' L' F2
U' D L' B' U2 R U2
U' D L' B' F2 L' F2
R D U2 F' L' U L
U2 D L2 U' R U2 B
D' U R U L U B
D' U R U L' U B
D' U R U L2 U B
D2 U R U L U B
D2 U R U L' U B
D2 U R U L2 U B
D' U R U2 L B L'
D' U R U2 L2 B L2
B' U R U D2 L2 U
D' U R U2 D B D
D' U R U2 D B D'
D' U R U2 D B D2
D' U R U2 D' B D
D' U R U2 D' B D'
D' U R U2 D' B D2
D' U R U2 D2 B D
D' U R U2 D2 B D'
D' U R U2 D2 B D2
D2 U R U2 L B L'
D' U R U2 B2 D B'
D' U R U2 B2 D' B'
D' U R U2 B2 D2 B'
D2 U R U2 L2 B L2
B' U R U' R2 U' D
B' U R U' R2 U' D'
B' U R U' R2 U' D2
B' U R U' R2 D U'
B' U R U' R2 D' U'
B' U R U' R2 D2 U'
D2 U R U2 D B D
D2 U R U2 D B D'
D2 U R U2 D B D2
D2 U R U2 D' B D
D2 U R U2 D' B D'
D2 U R U2 D' B D2
D2 U R U2 D2 B D
D2 U R U2 D2 B D'
D2 U R U2 D2 B D2
D' U R D U2 B D
D' U R D U2 B D'
D' U R D U2 B D2
D' U R D F U2 B
D' U R D F' U2 B
D' U R D F2 U2 B
D2 U R U2 B2 D B'
D2 U R U2 B2 D' B'
D2 U R U2 B2 D2 B'
B' U R U2 D B2 D
B' U R U2 D B2 D'
B' U R U2 D B2 D2
D2 U R D U2 B D
D2 U R D U2 B D'
D2 U R D U2 B D2
B' U R U2 B D B2
D2 U R D F U2 B
B' U R U2 B' D B2
D2 U R D F' U2 B
D' U R D' U2 B D
D' U R D' U2 B D'
D' U R D' U2 B D2
B' U R U2 B2 D B2
D' U R D' F U2 B
D2 U R D F2 U2 B
D' U R D' F' U2 B
D' U R D' F2 U2 B
B' U R D U2 B2 D
B' U R D U2 B2 D'
B' U R D U2 B2 D2
B' U R D F U2 B2
B' U R D F' U2 B2
B' U R D F2 U2 B2
D2 U R D' U2 B D
D2 U R D' U2 B D'
D2 U R D' U2 B D2
D2 U R D' F U2 B
D2 U R D' F' U2 B
D' U R D2 U2 B D
D' U R D2 U2 B D'
D' U R D2 U2 B D2
D2 U R D' F2 U2 B
D' U R D2 F U2 B
D' U R D2 F' U2 B
D' U R D2 F2 U2 B
B' U R D' F2 U2 D
B' U R D' F2 U2 D'
B' U R D' F2 U2 D2
B' U R D' F2 D U2
B' U R D' F2 D' U2
B' U R D' F2 D2 U2
D2 U R D2 U2 B D
D2 U R D2 U2 B D'
D2 U R D2 U2 B D2
D2 U R D2 F U2 B
D2 U R D2 F' U2 B
D2 U R D2 F2 U2 B
D' U R F U2 D B
D' U R F U2 D' B
D' U R F U2 D2 B
D' U R F U2 B D
D' U R F U2 B D'
D' U R F U2 B D2
D' U R F D U2 B
D' U R F D' U2 B
D' U R F D2 U2 B
B' U R D2 U L2 U
D2 U R F U2 D B
D2 U R F U2 D' B
D2 U R F U2 D2 B
D2 U R F U2 B D
D2 U R F U2 B D'
D2 U R F U2 B D2
D2 U R F D U2 B
D2 U R F D' U2 B
D' U R F' U2 D B
D' U R F' U2 D' B
D' U R F' U2 D2 B
D' U R F' U2 B D
D' U R F' U2 B D'
D' U R F' U2 B D2
D2 U R F D2 U2 B
D' U R F' D U2 B
D' U R F' D' U2 B
D' U R F' D2 U2 B
B' U R F U' R2 U'
B' U R F U2 D B2
B' U R F D U2 B2
B' U R F D' F2 U2
D2 U R F' U2 D B
D2 U R F' U2 D' B
D2 U R F' U2 D2 B
D2 U R F' U2 B D
D2 U R F' U2 B D'
D2 U R F' U2 B D2
D2 U R F' D U2 B
D' U R F2 U2 D B
D' U R F2 U2 D' B
D' U R F2 U2 D2 B
D' U R F2 U2 B D
D' U R F2 U2 B D'
D' U R F2 U2 B D2
D2 U R F' D' U2 B
D' U R F2 D U2 B
D2 U R F' D2 U2 B
D' U R F2 D' U2 B
D' U R F2 D2 U2 B
B' U R F' U' R2 U'
B' U R F' U2 D B2
B' U R F' D U2 B2
B' U R F' D' F2 U2
D2 U R F2 U2 D B
D2 U R F2 U2 D' B
D2 U R F2 U2 D2 B
D2 U R F2 U2 B D
D2 U R F2 U2 B D'
D2 U R F2 U2 B D2
D2 U R F2 D U2 B
D2 U R F2 D' U2 B
D2 U R F2 D2 U2 B
B' U R F2 U' R2 U'
B' U R F2 U2 D B2
B' U R F2 D U2 B2
B' U R F2 D' F2 U2
B U R U L U D
B U R U L U D'
B U R U L U D2
B U R U L D U
B U R U L D' U
B U R U L D2 U
D U R U L U B
D U R U L' U B
D U R U L2 U B
B U R U D L U
B U R U D' L U
B U R U D2 L U
D U R U2 L B L'
D U R U2 L2 B L2
D U R U2 D B D
D U R U2 D B D'
D U R U2 D B D2
D U R U2 D' B D
D U R U2 D' B D'
D U R U2 D' B D2
D U R U2 D2 B D
D U R U2 D2 B D'
D U R U2 D2 B D2
D U R U2 B2 D B'
D U R U2 B2 D' B'
D U R U2 B2 D2 B'
B U R D U L U
D U R D U2 B D
D U R D U2 B D'
D U R D U2 B D2
D U R D F U2 B
D U R D F' U2 B
D U R D F2 U2 B
B U R D' U L U
D U R D' U2 B D
D U R D' U2 B D'
D U R D' U2 B D2
D U R D' F U2 B
D U R D' F' U2 B
D U R D' F2 U2 B
B U R D2 U L U
D U R D2 U2 B D
D U R D2 U2 B D'
D U R D2 U2 B D2
D U R D2 F U2 B
D U R D2 F' U2 B
D U R D2 F2 U2 B
B U R F U L U
U D R U L U B
D' U R' D2 F' U2 L2
U D R U L' U B
U D R U L2 U B
D U R F U2 D B
D U R F U2 D' B
D U R F U2 D2 B
D U R F U2 B D
D U R F U2 B D'
D U R F U2 B D2
D U R F D U2 B
D U R F D' U2 B
D U R F D2 U2 B
D2 U R' D2 F' U2 L2
D' U R' F R2 F2 U2
B U R F' U L U
D2 U R' F R2 F2 U2
D U R F' U2 D B
D U R F' U2 D' B
D U R F' U2 D2 B
D U R F' U2 B D
D U R F' U2 B D'
D U R F' U2 B D2
D U R F' D U2 B
D U R F' D' U2 B
D U R F' D2 U2 B
D' U R' F' R2 U2 D
D' U R' F' R2 U2 D'
D' U R' F' R2 U2 D2
D' U R' F' R2 D U2
D' U R' F' R2 D' U2
D' U R' F' R2 D2 U2
D' U R' F' U2 D2 L2
U D R U2 L B L'
B U R F2 U L U
D' U R' F' D2 U2 L2
U D R U2 L2 B L2
D2 U R' F' R2 U2 D
D2 U R' F' R2 U2 D'
D2 U R' F' R2 U2 D2
D2 U R' F' R2 D U2
D2 U R' F' R2 D' U2
D2 U R' F' R2 D2 U2
U D R U2 D B D
U D R U2 D B D'
U D R U2 D B D2
D U R F2 U2 D B
D U R F2 U2 D' B
U D R U2 D' B D
U D R U2 D' B D'
U D R U2 D' B D2
D U R F2 U2 D2 B
D U R F2 U2 B D
D U R F2 U2 B D'
D U R F2 U2 B D2
U D R U2 D2 B D
U D R U2 D2 B D'
U D R U2 D2 B D2
D U R F2 D U2 B
D2 U R' F' U2 D2 L2
D U R F2 D' U2 B
D U R F2 D2 U2 B
D' U R' F2 R2 F U2
D2 U R' F' D2 U2 L2
U D R U2 B2 D B'
U D R U2 B2 D' B'
U D R U2 B2 D2 B'
D2 U R' F2 R2 F U2
U D R D U2 B D
U D R D U2 B D'
U D R D U2 B D2
U D R D F U2 B
U D R D F' U2 B
U D R D F2 U2 B
U D R D' U2 B D
U D R D' U2 B D'
U D R D' U2 B D2
U D R D' F U2 B
U D R D' F' U2 B
U D R D' F2 U2 B
U D R D2 U2 B D
U D R D2 U2 B D'
U D R D2 U2 B D2
U D R D2 F U2 B
U D R D2 F' U2 B
U D R D2 F2 U2 B
U D R F U2 D B
U D R F U2 D' B
U D R F U2 D2 B
U D R F U2 B D
U D R F U2 B D'
U D R F U2 B D2
U D R F D U2 B
U D R F D' U2 B
U D R F D2 U2 B
U D R F' U2 D B
U D R F' U2 D' B
U D R F' U2 D2 B
U D R F' U2 B D
U D R F' U2 B D'
U D R F' U2 B D2
U D R F' D U2 B
U D R F' D' U2 B
U D R F' D2 U2 B
U D R F2 U2 D B
U D R F2 U2 D' B
U D R F2 U2 D2 B
U D R F2 U2 B D
U D R F2 U2 B D'
U D R F2 U2 B D2
U D R F2 D U2 B
U D R F2 D' U2 B
U D R F2 D2 U2 B
R' D B' R B' R2 U'
R' D B' R' D B' U'
R' D B' R' D' B' U'
R' D B' R' D2 B' U'
R' D B' R' B' U' D
R' D B' R' B' U' D'
R' D B' R' B' U' D2
R' D B' R' B' D U'
R' D B' R' B' D' U'
R' D B' R' B' D2 U'
R' D B' R2 B' R U'
D U R' D2 F' U2 L2
R' D B' D R' B' U'
D U R' F R2 F2 U2
D' U R2 F R' U2 B
R' D B' D' R' B' U'
D U R' F' R2 U2 D
D U R' F' R2 U2 D'
D U R' F' R2 U2 D2
D U R' F' R2 D U2
D U R' F' R2 D' U2
D U R' F' R2 D2 U2
D' U R2 F' R' U2 B
D U R' F' U2 D2 L2
D2 U R2 F R' U2 B
D U R' F' D2 U2 L2
R' D B' D2 R' B' U'
D U R' F2 R2 F U2
D' U R2 F2 R' U2 B
D2 U R2 F' R' U2 B
D2 U R2 F2 R' U2 B
B2 U R2 D' R' U2 B
U D R' D2 F' U2 L2
U D R' F R2 F2 U2
U D R' F' R2 U2 D
U D R' F' R2 U2 D'
U D R' F' R2 U2 D2
U D R' F' R2 D U2
U D R' F' R2 D' U2
U D R' F' R2 D2 U2
U D R' F' U2 D2 L2
U D R' F' D2 U2 L2
R D B U2 L U L'
U D R' F2 R2 F U2
R2 D B' R' B' U' L
D' U F R' F' R U2
B' U D R U' R2 U'
B' U D R U2 D B2
B' U D R D U2 B2
B' U D R D' F2 U2
D2 U F R' F' R U2
D U R2 F R' U2 B
R2 D B' D' R' B U'
R' D B2 D' R' U' B
D U R2 F' R' U2 B
D U R2 F2 R' U2 B
R D B' R' U R U2
U D R2 F R' U2 B
U D R2 F' R' U2 B
U D R2 F2 R' U2 B
B' U D' R U' R2 U'
B' U D' R U2 D B2
B' U D' R D U2 B2
B' U D' R D' F2 U2
B U D R U L U
D' U F' R U2 B L
D U F R' F' R U2
D2 U F' R U2 B L
D' U F' R' F' U2 L'
L' D' L U R U2 B
R2 D B2 U' D L B'
D2 U F' R' F' U2 L'
B2 U D' R D F' U2
B2 U D' R D' F' U2
B2 U D' R D2 F' U2
B2 U D' R F' U2 D
B2 U D' R F' U2 D'
B2 U D' R F' U2 D2
B2 U D' R F' D U2
B2 U D' R F' D' U2
B2 U D' R F' D2 U2
R2 D B2 D U' L B'
U2 D F' L' F' U L'
U D F R' F' R U2
B' U D2 R U' R2 U'
B' U D2 R U2 D B2
B' U D2 R D U2 B2
B' U D2 R D' F2 U2
B U D' R U L U
U' D F2 L' F2 D B'
U' D F2 L' F2 D' B'
U' D F2 L' F2 D2 B'
U' D F2 L' F2 B' D
U' D F2 L' F2 B' D'
U' D F2 L' F2 B' D2
U' D F2 L' B' F2 D
U' D F2 L' B' F2 D'
U' D F2 L' B' F2 D2
U' D F2 L2 F2 L B'
D' U F2 R U2 L' B
D U F' R U2 B L
D' U F2 R U2 B L'
D2 U F2 R U2 L' B
D2 U F2 R U2 B L'
D U F' R' F' U2 L'
D' U F2 U2 L' D B'
D' U F2 U2 L' D' B'
D' U F2 U2 L' D2 B'
D' U F2 U2 L' B' D
D' U F2 U2 L' B' D'
D' U F2 U2 L' B' D2
D' U F2 U2 D L' B'
D' U F2 U2 D' L' B'
D' U F2 U2 D2 L' B'
D' U F2 U2 B L' B'
D' U F2 U2 B' L' B'
D' U F2 U2 B2 L' B'
D2 U F2 U2 L' D B'
D2 U F2 U2 L' D' B'
D2 U F2 U2 L' D2 B'
D2 U F2 U2 L' B' D
D2 U F2 U2 L' B' D'
D2 U F2 U2 L' B' D2
D' U F2 D U2 L' B'
D2 U F2 U2 D L' B'
D2 U F2 U2 D' L' B'
D2 U F2 U2 D2 L' B'
U D F' R U2 B L
D2 U F2 U2 B L' B'
D2 U F2 U2 B' L' B'
D2 U F2 U2 B2 L' B'
D' U F2 D' U2 L' B'
D2 U F2 D U2 L' B'
U D F' R' F' U2 L'
D' U F2 D2 U2 L' B'
D2 U F2 D' U2 L' B'
U' D F2 B L' F2 B'
U' D F2 B L' B' F2
D2 U F2 D2 U2 L' B'
B U D2 R U L U
U' D F2 B' L' F2 B'
U' D F2 B' L' B' F2
U' D F2 B2 L' F2 B'
U' D F2 B2 L' B' F2
D U F2 R U2 L' B
D U F2 R U2 B L'
D' U B R B' U2 B2
D2 U B R B' U2 B2
D U F2 U2 L' D B'
D U F2 U2 L' D' B'
D U F2 U2 L' D2 B'
D U F2 U2 L' B' D
D U F2 U2 L' B' D'
D U F2 U2 L' B' D2
D U F2 U2 D L' B'
U' D B U2 R U2 B
D U F2 U2 D' L' B'
D U F2 U2 D2 L' B'
D U F2 U2 B L' B'
D U F2 U2 B' L' B'
D U F2 U2 B2 L' B'
D U F2 D U2 L' B'
U D F2 R U2 L' B
U D F2 R U2 B L'
L D' L' U R U2 B
D U F2 D' U2 L' B'
D U F2 D2 U2 L' B'
U' D B F2 L' F2 B'
U' D B F2 L' B' F2
U D F2 U2 L' D B'
U D F2 U2 L' D' B'
U D F2 U2 L' D2 B'
U D F2 U2 L' B' D
U D F2 U2 L' B' D'
U D F2 U2 L' B' D2
U D F2 U2 D L' B'
U D F2 U2 D' L' B'
U D F2 U2 D2 L' B'
U D F2 U2 B L' B'
U D F2 U2 B' L' B'
U D F2 U2 B2 L' B'
U D F2 D U2 L' B'
U D F2 D' U2 L' B'
U D F2 D2 U2 L' B'
D U B R B' U2 B2
U' D B' U2 R U2 B
U D B R B' U2 B2
B U F' U L F U
U' D B' F2 L' F2 B'
U' D B' F2 L' B' F2
B' U F2 U' R' U' L'
D' U B2 R B2 U2 B'
D2 U B2 R B2 U2 B'
U' D B2 U2 R U2 B
R D' R U R' F' U2
B U F2 U L U L2
U' D B2 F2 L' F2 B'
U' D B2 F2 L' B' F2
B U F2 U2 L' D' B2
D' U' L U2 R F U2
U' D' L U2 R F U2
D U B2 R B2 U2 B'
D2 U' L U2 R F U2
U D B2 R B2 U2 B'
R D' R' U R U2 B
U2 D' L U' R U2 B
R2 D' R2 U R U2 B
U' D' L' U2 R U2 B'
D' U' L' U2 R U2 B'
D2 U' L' U2 R U2 B'
D U' L U2 R F U2
R' D' U' L D' L2 B'
U' D' L' F2 B' L' F2
D' U' L' F2 B' L' F2
R' D' U' L' D' B' L2
R' D' U' L' B' D' L2
D2 U' L' F2 B' L' F2
U' D' L' B' U2 R U2
D' U' L' B' U2 R U2
U2 D' L' U' R U2 B
U' D' L' B' F2 L' F2
D' U' L' B' F2 L' F2
L2 D' U R B2 U2 B'
D2 U' L' B' U2 R U2
D2 U' L' B' F2 L' F2
R2 D' U R' D F' U2
R2 D' U R' D' F' U2
R2 D' U R' D2 F' U2
R2 D' U R' F' U2 D
R2 D' U R' F' U2 D'
R2 D' U R' F' U2 D2
R2 D' U R' F' D U2
R2 D' U R' F' D' U2
R2 D' U R' F' D2 U2
R2 D' U F R' F' U2
R2 D' U F' R' F' U2
R2 D' U F2 R' F' U2
D U' L' U2 R U2 B'
L2 D' U B2 R U2 B
R2 D' U' L' B2 L B
D U' L' F2 B' L' F2
U2 D' L2 U' R U2 B
R2 D' U' L2 B2 L B'
R' D' U2 F' L' F' U
D U' L' B' U2 R U2
D U' L' B' F2 L' F2
R2 D' U' B' L' B' L
R2 D' U' B2 L' B' L2
F2 U' L' R D R2 B'
F2 U' L' R D B' R2
F2 U' L' R B' D R2
F2 U' L' R' D R2 B'
F2 U' L' R' D B' R2
F2 U' L' R' B' D R2
F2 U' L' R2 D R2 B'
F2 U' L' R2 D B' R2
F2 U' L' R2 B' D R2
F2 U' L' U F2 U' B'
R D' U2 L U L' B'
F2 U' L' D R B' R
F2 U' L' D R2 D B'
F2 U' L' D R2 D' B'
F2 U' L' D R2 D2 B'
F2 U' L' D R2 B' D
F2 U' L' D R2 B' D'
F2 U' L' D R2 B' D2
F2 U' L' D B R2 B2
F2 U' L' D B' R2 D
F2 U' L' D B' R2 D'
F2 U' L' D B' R2 D2
F2 U' L' D' B' D2 R2
U D' R U L U B
U D' R U L' U B
U D' R U L2 U B
U D' R U2 L B L'
U D' R U2 L2 B L2
U D' R U2 D B D
U D' R U2 D B D'
U D' R U2 D B D2
U D' R U2 D' B D
U D' R U2 D' B D'
U D' R U2 D' B D2
U D' R U2 D2 B D
U D' R U2 D2 B D'
U D' R U2 D2 B D2
R D' U2 F' L' U L
U D' R U2 B2 D B'
U D' R U2 B2 D' B'
U D' R U2 B2 D2 B'
F2 U' L' B' R D R2
F2 U' L' B' R' D R2
F2 U' L' B' R2 D R2
U D' R D U2 B D
U D' R D U2 B D'
U D' R D U2 B D2
U D' R D F U2 B
F2 U' L' B' U F2 U'
U D' R D F' U2 B
U D' R D F2 U2 B
F2 U' L' B' D R2 D
F2 U' L' B' D R2 D'
F2 U' L' B' D R2 D2
U D' R D' U2 B D
U D' R D' U2 B D'
U D' R D' U2 B D2
U D' R D' F U2 B
U D' R D' F' U2 B
U D' R D' F2 U2 B
F2 U' L' B2 D B R2
U D' R D2 U2 B D
U D' R D2 U2 B D'
U D' R D2 U2 B D2
U D' R D2 F U2 B
U D' R D2 F' U2 B
U D' R D2 F2 U2 B
U D' R F U2 D B
U D' R F U2 D' B
U D' R F U2 D2 B
U D' R F U2 B D
U D' R F U2 B D'
U D' R F U2 B D2
U D' R F D U2 B
U D' R F D' U2 B
U D' R F D2 U2 B
U D' R F' U2 D B
U D' R F' U2 D' B
U D' R F' U2 D2 B
U D' R F' U2 B D
U D' R F' U2 B D'
U D' R F' U2 B D2
U D' R F' D U2 B
U D' R F' D' U2 B
U D' R F' D2 U2 B
U D' R F2 U2 D B
U D' R F2 U2 D' B
U D' R F2 U2 D2 B
U D' R F2 U2 B D
U D' R F2 U2 B D'
U D' R F2 U2 B D2
U D' R F2 D U2 B
U D' R F2 D' U2 B
U D' R F2 D2 U2 B
U D' R' D2 F' U2 L2
F2 U' R L' D R2 B'
F2 U' R L' D B' R2
U D' R' F R2 F2 U2
F2 U' R L' B' D R2
U D' R' F' R2 U2 D
U D' R' F' R2 U2 D'
U D' R' F' R2 U2 D2
U D' R' F' R2 D U2
U D' R' F' R2 D' U2
U D' R' F' R2 D2 U2
U D' R' F' U2 D2 L2
U D' R' F' D2 U2 L2
U D' R' F2 R2 F U2
F2 U' R D L' R2 B'
F2 U' R D L' B' R2
F2 U' R D R2 L' B'
R' D' B U2 L F2 U
R' D' B U2 F2 L U
U D' R2 F R' U2 B
F2 U' R' L' D R2 B'
F2 U' R' L' D B' R2
F2 U' R' L' B' D R2
U D' R2 F' R' U2 B
R' D' B D2 B2 R' U'
U D' R2 F2 R' U2 B
F2 U' R' D L' R2 B'
F2 U' R' D L' B' R2
F2 U' R' D R2 L' B'
R' D' B' R' U' D' L2
R' D' B' R' U2 F2 U
R' D' B' R' D' U' L2
R' D' B' R' D2 B2 U'
U2 D' F' L' F' U L'
U D' F R' F' R U2
U' D' F2 L' F2 D B'
U' D' F2 L' F2 D' B'
U' D' F2 L' F2 D2 B'
U' D' F2 L' F2 B' D
U' D' F2 L' F2 B' D'
U' D' F2 L' F2 B' D2
D' U' F2 L' F2 D B'
D' U' F2 L' F2 D' B'
D' U' F2 L' F2 D2 B'
D' U' F2 L' F2 B' D
D' U' F2 L' F2 B' D'
D' U' F2 L' F2 B' D2
U' D' F2 L' B' F2 D
U' D' F2 L' B' F2 D'
U' D' F2 L' B' F2 D2
D' U' F2 L' B' F2 D
D' U' F2 L' B' F2 D'
D' U' F2 L' B' F2 D2
D' U' F2 L2 F2 L B'
U' D' F2 L2 F2 L B'
F2 U' R2 L' D R2 B'
F2 U' R2 L' D B' R2
R' D' B' D' R' U' L2
F2 U' R2 L' B' D R2
D2 U' F2 L' F2 D B'
D2 U' F2 L' F2 D' B'
D2 U' F2 L' F2 D2 B'
D2 U' F2 L' F2 B' D
D2 U' F2 L' F2 B' D'
D2 U' F2 L' F2 B' D2
D2 U' F2 L' B' F2 D
D2 U' F2 L' B' F2 D'
D2 U' F2 L' B' F2 D2
R' D' B' D2 R' B2 U'
D2 U' F2 L2 F2 L B'
F2 U' R2 D L' R2 B'
F2 U' R2 D L' B' R2
F2 U' R2 D R2 L' B'
D' U' F2 B L' F2 B'
D' U' F2 B L' B' F2
U' D' F2 B L' F2 B'
U' D' F2 B L' B' F2
D' U' F2 B' L' F2 B'
D' U' F2 B' L' B' F2
U' D' F2 B' L' F2 B'
U' D' F2 B' L' B' F2
U D' F' R U2 B L
R2 D' B' R' B' U' L
D' U' F2 B2 L' F2 B'
D' U' F2 B2 L' B' F2
U' D' F2 B2 L' F2 B'
U' D' F2 B2 L' B' F2
R D' B U2 L U L'
U D' F' R' F' U2 L'
D2 U' F2 B L' F2 B'
D2 U' F2 B L' B' F2
D2 U' F2 B' L' F2 B'
D2 U' F2 B' L' B' F2
D2 U' F2 B2 L' F2 B'
D2 U' F2 B2 L' B' F2
F2 U' D L' R B' R
F2 U' D L' R2 D B'
F2 U' D L' R2 D' B'
F2 U' D L' R2 D2 B'
F2 U' D L' R2 B' D
F2 U' D L' R2 B' D'
F2 U' D L' R2 B' D2
F2 U' D L' B R2 B2
F2 U' D L' B' R2 D
F2 U' D L' B' R2 D'
F2 U' D L' B' R2 D2
R2 D' B' D' R' B U'
F2 U' D R L' B' R
D U' F2 L' F2 D B'
D U' F2 L' F2 D' B'
D U' F2 L' F2 D2 B'
D U' F2 L' F2 B' D
D U' F2 L' F2 B' D'
D U' F2 L' F2 B' D2
D U' F2 L' B' F2 D
D U' F2 L' B' F2 D'
D U' F2 L' B' F2 D2
D U' F2 L2 F2 L B'
F2 U' D R2 L' D B'
F2 U' D R2 L' D' B'
F2 U' D R2 L' D2 B'
F2 U' D R2 L' B' D
F2 U' D R2 L' B' D'
F2 U' D R2 L' B' D2
F2 U' D R2 D L' B'
F2 U' D R2 D' L' B'
F2 U' D R2 D2 L' B'
F2 U' D R2 B L' B'
F2 U' D R2 B' L' B'
F2 U' D R2 B2 L' B'
D' U' B U2 R U2 B
U' D' B U2 R U2 B
R D' B' R' U R U2
D2 U' B U2 R U2 B
F2 U' D B L' R2 B'
F2 U' D B L' B' R2
F2 U' D B R2 L' B'
F2 U' D B' L' R2 B'
F2 U' D B' L' B' R2
F2 U' D B' R2 L' B'
U D' F2 R U2 L' B
U D' F2 R U2 B L'
F2 U' D B2 L' R2 B'
F2 U' D B2 L' B' R2
F2 U' D B2 R2 L' B'
U' D' B F2 L' F2 B'
U' D' B F2 L' B' F2
D' U' B F2 L' F2 B'
D' U' B F2 L' B' F2
L' D2 L U R U2 B
R2 D' B2 U' D L B'
D U' F2 B L' F2 B'
D U' F2 B L' B' F2
D2 U' B F2 L' F2 B'
D2 U' B F2 L' B' F2
D U' F2 B' L' F2 B'
D U' F2 B' L' B' F2
R2 D' B2 D U' L B'
U D' F2 U2 L' D B'
U D' F2 U2 L' D' B'
U D' F2 U2 L' D2 B'
U D' F2 U2 L' B' D
U D' F2 U2 L' B' D'
U D' F2 U2 L' B' D2
D U' F2 B2 L' F2 B'
D U' F2 B2 L' B' F2
