B L D' B2
B L U' L2 U
B' L D' B2 L
B L D' B2 D
B L D' B2 D'
B L D' B2 D2
U' L F L2 U
B L B D' B2
B L B' D' B2
B L B2 D' B2
U' L' U2 B' U'
L2 U' L F U
B U' L' U L2
L D' B L B
B D L D' B2
B D' L D' B2
B D2 L D' B2
D B L D' B2
D' B L D' B2
D2 B L D' B2
L B D' L B2
L2 B D L B'
L B' D' B2 L
L D' B L2 B L' D
L D' B L2 B L' D'
L D' B L2 B L' D2
L D' B L2 B D L'
L D' B L2 B D' L'
L D' B L2 B D2 L'
L D' B L2 B' L' B2
U' D' F2 U2 R B U'
D' U' F2 U2 R B U'
D2 U' F2 U2 R B U'
B' U' D L' U' R' U2
L D' B D L D B
L D' B D L D' B
L D' B D L D2 B
L D' B D L B D
L D' B D L B D'
L D' B D L B D2
L D' B D L' B L2
L D' B D L2 B L'
L D' B D' L D B
L D' B D' L D' B
L D' B D' L D2 B
L D' B D' L B D
L D' B D' L B D'
L D' B D' L B D2
L D' B D' L' B L2
L D' B D' L2 B L'
L D' B D2 L D B
L D' B D2 L D' B
L D' B D2 L D2 B
L D' B D2 L B D
L D' B D2 L B D'
L D' B D2 L B D2
L D' B D2 L' B L2
L D' B D2 L2 B L'
L D' B F L F' B
L D' B F L B F'
B2 U' D L' D F U
B2 U' D L' D' F U
B2 U' D L' D2 F U
B2 U' D L' F U D
B2 U' D L' F U D'
B2 U' D L' F U D2
B2 U' D L' F D U
B2 U' D L' F D' U
B2 U' D L' F D2 U
L D' B F2 L F2 B
L D' B F2 L B F2
L D' B' L' B2 L B'
B' U' D' L' U' R' U2
D U' F2 U2 R B U'
L D' B' U2 R' U2 B'
U D' F2 R F2 B U'
U D' F2 R B F2 U'
B U' D L' U L2 D
B U' D L' U L2 D'
B U' D L' U L2 D2
B U' D L' D F2 U
L D' B' D B2 L B
B U' D L' F U L2
B U' D L' F' U L2
B U' D L' F2 U L2
L D' B' D' B2 L B
L D' B' D2 B2 L B
L D' B2 L B' L B
L D' B2 L' B' L B
L D' B2 L2 B' L B
B' U' D2 L' U' R' U2
L' D2 L B L D' B2
B2 U' D2 L' F U L'
L D' B2 U B' U' L
B U' D' L' U L2 D
B U' D' L' U L2 D'
B U' D' L' U L2 D2
B U' D' L' D F2 U
B U' D' L' F U L2
B U' D' L' F' U L2
B U' D' L' F2 U L2
L' D2 L' U' L F U
B2 U' D2 F U L' B'
L D' B2 D2 F L' F'
L D' B2 F' D2 F L'
B U' D2 L' U L2 D
B U' D2 L' U L2 D'
B U' D2 L' U L2 D2
B U' D2 L' D F2 U
L' D2 L' B D L B'
B U' D2 L' F U L2
B U' D2 L' F' U L2
B U' D2 L' F2 U L2
L D2 L D B L B
B' U' F U' R' F' U2
L2 D2 L' D' B L B
B2 U' F U L' B' L
L D2 L B L D B2
L D2 L B D L B2
L2 D2 L' B D' L B2
L D2 L B' D B2 L
L2 D2 L' B' D' B2 L
L' D2 L2 D' B L B
U' D2 L D' F U B2
B U' F L2 U L' B'
U' D2 L F L2 U D
U' D2 L F L2 U D'
U' D2 L F L2 U D2
U' D2 L F L2 D U
U' D2 L F L2 D' U
U' D2 L F L2 D2 U
U' D2 L F U D' B2
U' D2 L F D' U B2
U' D2 L F' L2 F2 U
L' D2 L2 B D' L B2
U' D2 L F2 L2 F' U
L' D2 L2 B' D' B2 L
L D2 L' D B L B
B U' F U L' B' L2
L2 D2 L2 B L D' B2
L D2 L' B L D B2
L D2 L' B D L B2
L D2 L' B' D B2 L
U' D2 L' U2 D B' U'
U' D2 L' U2 D' B' U'
U' D2 L' U2 D2 B' U'
U' D2 L' U2 B' U' D
U' D2 L' U2 B' U' D'
U' D2 L' U2 B' U' D2
U' D2 L' U2 B' D U'
R' D2 R B L D' B2
U' D2 L' U2 B' D' U'
U' D2 L' U2 B' D2 U'
U' D2 L' D U2 B' U'
U' D2 L' D' U2 B' U'
U' D2 L' D2 U2 B' U'
U' D2 L' F U2 B' U'
U' D2 L' F' U2 B' U'
U' D2 L' F2 U2 B' U'
L D2 L2 D B L B
B U' F' U D' L B'
B U' F' D' U L B'
L D2 L2 B L D B2
L D2 L2 B D L B2
L D2 L2 B' D B2 L
B U' F2 U2 R U' L
B2 U' B' L' B U L2
L' D2 U R B U' B'
R D2 R' B L D' B2
B' U' B2 L' B2 U L2
B U' B' L' B U L
L' D2 U B' U' B L
L2 D2 U' L D F U
L2 D2 U' L D' F U
L2 D2 U' L D2 F U
L2 D2 U' L F U D
L2 D2 U' L F U D'
L2 D2 U' L F U D2
L2 D2 U' L F D U
L2 D2 U' L F D' U
L2 D2 U' L F D2 U
B U' B2 L' B2 U L
U D2 R B U2 L' U
L2 D2 U' F L F U
L D2 U R B R U'
L2 D2 U' F' L F U
L2 D2 U' F2 L F U
U D2 R' U2 L' F' U
U' D2 F' L F L' U
U' D2 F2 U2 R B U'
R' D2 B L R D' B2
R' D2 B L D' R B2
R' D2 B L D' B2 R
R' D2 B R L D' B2
L' D2 B L U' L' U
B' U2 R' U L' U D
B' U2 R' U L' U D'
B' U2 R' U L' U D2
B' U2 R' U L' D U
B' U2 R' U L' D' U
B' U2 R' U L' D2 U
B' U2 R' U D L' U
B' U2 R' U D' L' U
B' U2 R' U D2 L' U
L' D2 B L2 D' L' B2
L' D2 B L2 D' B2 L'
B U2 R U L' U L2
B' U2 R' D U L' U
B' U2 R' D' U L' U
B U2 R U2 L D' B2
B' U2 R' D2 U L' U
B' U2 R' F2 U' R U'
U D2 F2 R F2 B U'
U D2 F2 R B F2 U'
R2 D2 B L D' B2 R'
L' D2 B' L2 D' B2 L
L2 D2 B D L D B'
L2 D2 B D L D' B'
L2 D2 B D L D2 B'
L2 D2 B D L B' D
L2 D2 B D L B' D'
L2 D2 B D L B' D2
B U2 R' U L' U L2
B U2 R' U2 L D' B2
L D2 B L U R2 U'
L D2 B L D B2 D
L D2 B L D B2 D'
L D2 B L D B2 D2
L D2 B L B D B2
L D2 B L B' D B2
L D2 B L B2 D B2
L D2 B L2 D L' B2
L D2 B L2 D B2 L'
L D2 B U R2 U' L
B' U2 D R' U L' U
L D2 B D L B2 D
L D2 B D L B2 D'
L D2 B D L B2 D2
L D2 B D L' B2 L2
L D2 B D L2 B2 L'
B U2 R2 U L' U L2
L D2 B D' L D2 B2
B U2 R2 U2 L D' B2
L D2 B' L D B2 L
L D2 B' L' D B2 L
L D2 B' L2 D B2 L
B' U2 D' R' U L' U
L D2 B' D L B2 L
L D2 B' D L' B2 L
L D2 B' D L2 B2 L
U' F L F U2 R U'
L D2 B' D B2 L D
L D2 B' D B2 L D'
L D2 B' D B2 L D2
L D2 B' D B2 D L
L D2 B' D B2 D' L
L D2 B' D B2 D2 L
U' F L F' L' F2 U
B' U2 D2 R' U L' U
U' F L' U2 B' R' U'
U' F L2 F' L' F U
B' U2 F' D R' U2 B
B' U2 F2 R' U' R2 U'
B' U2 F2 R' U2 D B2
B' U2 F2 R' D U2 B2
B' U2 F2 R' D' F2 U2
U2 F R U L' U B'
U2 F R U' R U' B
U2 F R F U' R U'
B U2 F' U2 D' L B'
U2 F R F' U L' U
B U2 F' D' U2 L B'
B U2 F2 U' R U' L
U' F U L' B L B2
U' F U L2 B L B'
U' F U B L' B' L2
U' F U B2 L' B' L
U' F U' R U2 B L
U' F U' R' F' U2 L'
U' F U' F R U2 B
U' F U' F' U2 L' B'
L2 F U' L F U F2
B' D L D' L B2 L
B' D L D' L' B2 L
B' D L D' L2 B2 L
B' D L D' B2 L D
B' D L D' B2 L D'
B' D L D' B2 L D2
B' D L D' B2 D L
B' D L D' B2 D' L
B' D L D' B2 D2 L
B2 D L U' L2 F U
B' D L B2 D' L B2
B D L R D' R' B2
B D L R' D' R B2
B D L R' D' B2 R
B D L U D2 R2 U'
B D L U' L2 U D
B D L U' L2 U D'
B D L U' L2 U D2
B D L U' L2 D U
B D L U' L2 D' U
B D L U' L2 D2 U
B D L U2 D F2 U2
B D L D U2 F2 U2
B D L D B D2 B2
B D L D B' D2 B2
B D L D B2 D2 B2
B D L D' L B2 L'
B D L D' L2 B2 L2
B D L D' R' B2 R
B D L D' R2 B2 R2
B D L D' B D B
B D L D' B D' B
B D L D' B D2 B
B D L D' B' D B'
B D L D' B' D' B'
B D L D' B' D2 B'
B D L D2 U R2 U'
B D L D2 B D B2
B D L D2 B' D B2
B D L D2 B2 D B2
B D L F D' F' B2
B D L F D' B2 F'
B D L F' D' F B2
B D L F' D' B2 F
B D L B U' L2 U
B D L B D' B2 D
B D L B D' B2 D'
B D L B D' B2 D2
B D L B' U' L2 U
B D L B' D' B2 D
B D L B' D' B2 D'
B D L B' D' B2 D2
B D L B2 U' L2 U
B D L B2 D' B2 D
B D L B2 D' B2 D'
B D L B2 D' B2 D2
B D L' B L2 D' B2
B D L' B' L2 D' B2
B D L' B2 L2 D' B2
B D L2 U' L U L2
B D L2 D L' D' B2
B D L2 D' L' D' B2
B D L2 D2 L' D' B2
B D R L D' R' B2
F' D R' B R F L
L F D' F' B L B
L F D' B L F' B
L F D' B L B F'
L F D' B F' L B
B D R' L D' R B2
B D R' L D' B2 R
L2 F B D L F' B'
L2 F B D L B' F'
L2 F B D F' L B'
B' D U' L' U' R' U2
L F B D' L F' B2
L F B D' L B2 F'
L F B D' F' L B2
B2 D U' L' D F U
B2 D U' L' D' F U
B2 D U' L' D2 F U
B2 D U' L' F U D
B2 D U' L' F U D'
B2 D U' L' F U D2
B2 D U' L' F D U
B2 D U' L' F D' U
B2 D U' L' F D2 U
U' F' L F L' U D
U' F' L F L' U D'
U' F' L F L' U D2
U' F' L F L' D U
U' F' L F L' D' U
U' F' L F L' D2 U
U' F' L F D L' U
U' F' L F D' L' U
U' F' L F D2 L' U
B' D U2 R' U L' U
L F B' D' F' B2 L
L F B' D' B2 L F'
L F B' D' B2 F' L
B D U' L' U L2 D
B D U' L' U L2 D'
B D U' L' U L2 D2
B D U' L' D F2 U
B D U' L' F U L2
B D U' L' F' U L2
B D U' L' F2 U L2
F' D F R' B L R
F' D F R' B R L
U' F' L2 F L' F U
F' D F D2 B L B'
F' D F B D2 L B'
B D F' D' F L B'
F D F' B L D' B2
B2 D B U' L' F U
F' D B D2 F L B'
F' D B F D2 L B'
U' F' U D' B L B'
B2 D B' U' L' F U
B' D B2 L U' L2 U
B' D B2 L D' B2 D
B' D B2 L D' B2 D'
B' D B2 L D' B2 D2
B' D B2 L B D' B2
B' D B2 L B' D' B2
B' D B2 L B2 D' B2
U' F' U B D' L B'
B' D B2 U' L' U L2
B' D B2 D L D' B2
B' D B2 D' L D' B2
F D B F' L D' B2
B' D B2 D2 L D' B2
B2 D B2 U' L' F U
B D B2 L D' B2 L
B' D' L D' L B2 L
B' D' L D' L' B2 L
B' D' L D' L2 B2 L
B' D' L D' B2 L D
B' D' L D' B2 L D'
B' D' L D' B2 L D2
B' D' L D' B2 D L
B' D' L D' B2 D' L
B' D' L D' B2 D2 L
B' D' L B2 D' L B2
B D' L R D' R' B2
U2 F' U2 L2 D' L B'
B D' L R' D' R B2
B D' L R' D' B2 R
B D' L U D2 R2 U'
B D' L U' L2 U D
B D' L U' L2 U D'
B D' L U' L2 U D2
B D' L U' L2 D U
B D' L U' L2 D' U
B D' L U' L2 D2 U
U2 F' U2 D' L B' L2
B D' L U2 D F2 U2
B D' L D U2 F2 U2
B D' L D B D2 B2
B D' L D B' D2 B2
B D' L D B2 D2 B2
B D' L D' L B2 L'
B D' L D' L2 B2 L2
B D' L D' R' B2 R
B D' L D' R2 B2 R2
B D' L D' B D B
B D' L D' B D' B
B D' L D' B D2 B
B D' L D' B' D B'
B D' L D' B' D' B'
B D' L D' B' D2 B'
B D' L D2 U R2 U'
B D' L D2 B D B2
B D' L D2 B' D B2
B D' L D2 B2 D B2
B D' L F D' F' B2
B D' L F D' B2 F'
B D' L F' D' F B2
B D' L F' D' B2 F
B D' L B U' L2 U
B D' L B D' B2 D
B D' L B D' B2 D'
B D' L B D' B2 D2
U' F' D' L F U B'
B D' L B' U' L2 U
B D' L B' D' B2 D
B D' L B' D' B2 D'
B D' L B' D' B2 D2
B D' L B2 U' L2 U
B D' L B2 D' B2 D
B D' L B2 D' B2 D'
B D' L B2 D' B2 D2
U2 F' D R' U2 L' B
U2 F' D R' U2 B L'
U2 F' D R2 U2 L' B'
U' F' D' U B L B'
U2 F' D F2 R F' U2
D2 F' D' F B L B'
D' F' D' F B L B'
B D' L' B L2 D' B2
B D' L' B' L2 D' B2
D2 F' D' B F L B'
B D' L' B2 L2 D' B2
D' F' D' B F L B'
B D' L2 U' L U L2
B D' L2 D L' D' B2
U2 F' D' U2 L B' L2
B D' L2 D' L' D' B2
B D' L2 D2 L' D' B2
R F' D R' F B L
R F' D R' B F L
R F' D F R' B L
B D' R L D' R' B2
D F' D' F B L B'
D F' D' B F L B'
L F' D' F B L B
D2 F' B D' F L B'
D' F' B D' F L B'
L F' D' B F L B
B D' R' L D' R B2
B D' R' L D' B2 R
L F' D' B2 D2 F L'
L2 F' B D F L B'
D F' B D' F L B'
F2 D' U L2 R B U'
F2 D' U R L2 B U'
F2 D' U R B L2 U'
B' D' U' L' U' R' U2
L F' B D' F L B2
U' F2 L F2 L' F' U
B' D' U2 R' U L' U
U' F2 L' U2 R B' U'
L F' B' D' F B2 L
L F' B' D' B2 F L
U' F2 L' U2 B' R U'
B D' U' L' U L2 D
B D' U' L' U L2 D'
B D' U' L' U L2 D2
B D' U' L' D F2 U
B D' U' L' F U L2
B D' U' L' F' U L2
B D' U' L' F2 U L2
F' D' F L B L B2
U' F2 L2 F2 L' F U
F' D' F B L D B'
F' D' F B L D' B'
F' D' F B L D2 B'
F' D' F B L B' D
F' D' F B L B' D'
F' D' F B L B' D2
F' D' F B2 L B' L
F' D' F' B L F2 B'
F' D' F' B L B' F2
F' D' F2 B L F' B'
F' D' F2 B L B' F'
B D' F' D' F L B'
F D' F' B L D' B2
U F2 R D B U' R2
F' D' B F L D B'
F' D' B F L D' B'
F' D' B F L D2 B'
F' D' B F L B' D
F' D' B F L B' D'
F' D' B F L B' D2
F' D' B F' L F2 B'
F' D' B F' L B' F2
F' D' B F2 L F' B'
F' D' B F2 L B' F'
U F2 R F2 D B U'
U F2 R F2 D' B U'
U F2 R F2 D2 B U'
U F2 R F2 B U' D
U F2 R F2 B U' D'
U F2 R F2 B U' D2
U F2 R F2 B D U'
U F2 R F2 B D' U'
U F2 R F2 B D2 U'
U F2 R B U' D R2
U F2 R B D U' R2
U F2 R B F2 U' D
U F2 R B F2 U' D'
U F2 R B F2 U' D2
U F2 R B F2 D U'
U F2 R B F2 D' U'
U F2 R B F2 D2 U'
D2 F2 U R B U' F2
D' F2 U R B U' F2
B' D' B2 L U' L2 U
B' D' B2 L D' B2 D
B' D' B2 L D' B2 D'
B' D' B2 L D' B2 D2
B' D' B2 L B D' B2
B' D' B2 L B' D' B2
B' D' B2 L B2 D' B2
B' D' B2 U' L' U L2
B' D' B2 D L D' B2
B' D' B2 D' L D' B2
B' D' B2 D2 L D' B2
F D' B F' L D' B2
F' D' B2 F L B' L
D F2 U R B U' F2
U F2 R2 F2 R' B U'
L2 F2 U' L F U F
B' D2 L D' L B2 L
B' D2 L D' L' B2 L
B' D2 L D' L2 B2 L
B D' B2 L D' B2 L
B' D2 L D' B2 L D
B' D2 L D' B2 L D'
B' D2 L D' B2 L D2
B' D2 L D' B2 D L
B' D2 L D' B2 D' L
B' D2 L D' B2 D2 L
U' F2 U2 R D B U'
U' F2 U2 R D' B U'
U' F2 U2 R D2 B U'
U' F2 U2 R B U' D
U' F2 U2 R B U' D'
U' F2 U2 R B U' D2
U' F2 U2 R B D U'
U' F2 U2 R B D' U'
U' F2 U2 R B D2 U'
U' F2 U2 D R B U'
U' F2 U2 D' R B U'
U' F2 U2 D2 R B U'
B' D2 L B2 D' L B2
U' F2 U2 B R B U'
U' F2 U2 B' R B U'
U' F2 U2 B2 R B U'
B D2 L R D' R' B2
B D2 L R' D' R B2
B D2 L R' D' B2 R
B D2 L U D2 R2 U'
B D2 L U' L2 U D
B D2 L U' L2 U D'
B D2 L U' L2 U D2
B D2 L U' L2 D U
B D2 L U' L2 D' U
B D2 L U' L2 D2 U
B D2 L U2 D F2 U2
U' F2 D U2 R B U'
B D2 L D U2 F2 U2
B D2 L D B D2 B2
B D2 L D B' D2 B2
B D2 L D B2 D2 B2
B D2 L D' L B2 L'
B D2 L D' L2 B2 L2
B D2 L D' R' B2 R
B D2 L D' R2 B2 R2
B D2 L D' B D B
B D2 L D' B D' B
B D2 L D' B D2 B
B D2 L D' B' D B'
B D2 L D' B' D' B'
B D2 L D' B' D2 B'
B D2 L D2 U R2 U'
B D2 L D2 B D B2
B D2 L D2 B' D B2
B D2 L D2 B2 D B2
B D2 L F D' F' B2
B D2 L F D' B2 F'
B D2 L F' D' F B2
B D2 L F' D' B2 F
B D2 L B U' L2 U
B D2 L B D' B2 D
B D2 L B D' B2 D'
B D2 L B D' B2 D2
B D2 L B' U' L2 U
B D2 L B' D' B2 D
B D2 L B' D' B2 D'
B D2 L B' D' B2 D2
B D2 L B2 U' L2 U
B D2 L B2 D' B2 D
B D2 L B2 D' B2 D'
B D2 L B2 D' B2 D2
U' F2 D' U2 R B U'
B D2 L' B L2 D' B2
B D2 L' B' L2 D' B2
B D2 L' B2 L2 D' B2
B D2 L2 U' L U L2
U' F2 D2 U2 R B U'
B D2 L2 D L' D' B2
U F2 D R B U' R
B D2 L2 D' L' D' B2
B D2 L2 D2 L' D' B2
B D2 R L D' R' B2
B D2 R' L D' R B2
B D2 R' L D' B2 R
U F2 B R F2 B U'
U F2 B R B F2 U'
B' D2 U' L' U' R' U2
R' B L R U' L2 U
R' B L R D' B2 D
R' B L R D' B2 D'
R' B L R D' B2 D2
R' B L R B D' B2
R' B L R B' D' B2
R' B L R B2 D' B2
D2 B L R D' R' B2
D' B L R D' R' B2
R' B L R2 D' R' B2
D2 B L R' D' R B2
D2 B L R' D' B2 R
D' B L R' D' R B2
D' B L R' D' B2 R
R' B L U' L2 U R
D2 B L U D2 R2 U'
D' B L U D2 R2 U'
D2 B L U' L2 U D
D2 B L U' L2 U D'
D2 B L U' L2 U D2
D2 B L U' L2 D U
D2 B L U' L2 D' U
D2 B L U' L2 D2 U
D' B L U' L2 U D
D' B L U' L2 U D'
D' B L U' L2 U D2
D' B L U' L2 D U
D' B L U' L2 D' U
D' B L U' L2 D2 U
R' B L D R D2 B2
D2 B L U2 D F2 U2
D' B L U2 D F2 U2
R' B L D' R B2 D
R' B L D' R B2 D'
R' B L D' R B2 D2
R' B L D' R' B2 R2
B2 D2 U' L' F U L'
D2 B L D U2 F2 U2
L' B L U' L' U D
L' B L U' L' U D'
L' B L U' L' U D2
L' B L U' L' D U
L' B L U' L' D' U
L' B L U' L' D2 U
R' B L D' B' R B'
R' B L D' B2 R D
R' B L D' B2 R D'
R' B L D' B2 R D2
R' B L D' B2 D R
R' B L D' B2 D' R
R' B L D' B2 D2 R
D2 B L D B D2 B2
D2 B L D B' D2 B2
D2 B L D B2 D2 B2
L' B L U' D L' U
D2 B L D' L B2 L'
L' B L U' D' L' U
D' B L D U2 F2 U2
L' B L U' D2 L' U
D2 B L D' L2 B2 L2
D2 B L D' R' B2 R
D' B L D B D2 B2
D2 B L D' R2 B2 R2
D' B L D B' D2 B2
D' B L D B2 D2 B2
D' B L D' L B2 L'
D' B L D' L2 B2 L2
D2 B L D' B D B
D2 B L D' B D' B
D2 B L D' B D2 B
D' B L D' R' B2 R
D2 B L D' B' D B'
D2 B L D' B' D' B'
D2 B L D' B' D2 B'
D' B L D' R2 B2 R2
D' B L D' B D B
D' B L D' B D' B
D' B L D' B D2 B
D2 B L D2 U R2 U'
D' B L D' B' D B'
D' B L D' B' D' B'
D' B L D' B' D2 B'
D2 B L D2 B D B2
D2 B L D2 B' D B2
D2 B L D2 B2 D B2
D' B L D2 U R2 U'
L' B L D U' L' U
D' B L D2 B D B2
D' B L D2 B' D B2
D' B L D2 B2 D B2
D2 B L F D' F' B2
D2 B L F D' B2 F'
L' B L D' U' L' U
D' B L F D' F' B2
D' B L F D' B2 F'
U F2 B' R F2 B U'
U F2 B' R B F2 U'
D2 B L F' D' F B2
D2 B L F' D' B2 F
L' B L D2 U' L' U
R' B L B R D' B2
B2 D2 U' F U L' B'
D' B L F' D' F B2
D' B L F' D' B2 F
R' B L B D' R B2
R' B L B D' B2 R
R' B L B' R D' B2
D2 B L B U' L2 U
R' B L B' D' R B2
R' B L B' D' B2 R
D2 B L B D' B2 D
D2 B L B D' B2 D'
D2 B L B D' B2 D2
L2 B L R D' R' B
D' B L B U' L2 U
R' B L B2 R D' B2
B' D2 U2 R' U L' U
D' B L B D' B2 D
D' B L B D' B2 D'
D' B L B D' B2 D2
D2 B L B' U' L2 U
R' B L B2 D' R B2
R' B L B2 D' B2 R
D2 B L B' D' B2 D
D2 B L B' D' B2 D'
D2 B L B' D' B2 D2
D' B L B' U' L2 U
D' B L B' D' B2 D
D' B L B' D' B2 D'
D' B L B' D' B2 D2
D2 B L B2 U' L2 U
D2 B L B2 D' B2 D
D2 B L B2 D' B2 D'
D2 B L B2 D' B2 D2
D' B L B2 U' L2 U
L' B L B U' L' U
D' B L B2 D' B2 D
D' B L B2 D' B2 D'
D' B L B2 D' B2 D2
L' B L B' U' L' U
L' B L B2 U' L' U
L2 B L D L B' L'
R2 B L R D' R B2
R2 B L R D' B2 R
L2 B L D' R' B R
R2 B L R' D' R' B2
B D2 U' L' U L2 D
B D2 U' L' U L2 D'
B D2 U' L' U L2 D2
B D2 U' L' D F2 U
B D2 U' L' F U L2
R2 B L R2 U' L2 U
B D2 U' L' F' U L2
B D2 U' L' F2 U L2
R2 B L R2 D' B2 D
R2 B L R2 D' B2 D'
R2 B L R2 D' B2 D2
R2 B L R2 B D' B2
R2 B L R2 B' D' B2
L' B L' U' L U L
R2 B L R2 B2 D' B2
D B L R D' R' B2
R2 B L U' L2 U R2
U F2 B2 R F2 B U'
U F2 B2 R B F2 U'
D B L R' D' R B2
D B L R' D' B2 R
L2 B L B U R' U'
D B L U D2 R2 U'
L2 B L B' U' L U
D B L U' L2 U D
D B L U' L2 U D'
D B L U' L2 U D2
D B L U' L2 D U
D B L U' L2 D' U
D B L U' L2 D2 U
R2 B L D' B2 D R2
D2 B L' B L2 D' B2
D B L U2 D F2 U2
D' B L' B L2 D' B2
D2 B L' B' L2 D' B2
D B L D U2 F2 U2
D' B L' B' L2 D' B2
D B L D B D2 B2
D B L D B' D2 B2
D B L D B2 D2 B2
D2 B L' B2 L2 D' B2
D B L D' L B2 L'
D B L D' L2 B2 L2
D B L D' R' B2 R
D B L D' R2 B2 R2
D' B L' B2 L2 D' B2
D B L D' B D B
D B L D' B D' B
D B L D' B D2 B
D B L D' B' D B'
D B L D' B' D' B'
D B L D' B' D2 B'
D B L D2 U R2 U'
D B L D2 B D B2
D B L D2 B' D B2
D B L D2 B2 D B2
R2 B L B R2 D' B2
D B L F D' F' B2
D B L F D' B2 F'
R2 B L B' R2 D' B2
D B L F' D' F B2
D B L F' D' B2 F
R2 B L B2 R2 D' B2
D2 B L2 U' L U L2
D' B L2 U' L U L2
L B L U' L U D
L B L U' L U D'
L B L U' L U D2
L B L U' L D U
L B L U' L D' U
L B L U' L D2 U
D B L B U' L2 U
D B L B D' B2 D
D B L B D' B2 D'
D B L B D' B2 D2
L B L U' D L U
L B L U' D' L U
L B L U' D2 L U
D2 B L2 D L' D' B2
D B L B' U' L2 U
D B L B' D' B2 D
D B L B' D' B2 D'
D B L B' D' B2 D2
F' D2 F D B L B'
L' B L2 U' L2 U L
D' B L2 D L' D' B2
D2 B L2 D' L' D' B2
D B L B2 U' L2 U
D B L B2 D' B2 D
D B L B2 D' B2 D'
D B L B2 D' B2 D2
L B L D U' L U
D' B L2 D' L' D' B2
D2 B L2 D2 L' D' B2
L B L D' U' L U
L' B L2 D L' D2 B2
D' B L2 D2 L' D' B2
L B L D2 U' L U
L' B L2 D' L B2 L2
L' B L2 D' L' B2 D
L' B L2 D' L' B2 D'
L' B L2 D' L' B2 D2
L' B L2 D' B L' B
L' B L2 D' B2 L' D
L' B L2 D' B2 L' D'
L' B L2 D' B2 L' D2
L' B L2 D' B2 D L'
L' B L2 D' B2 D' L'
L' B L2 D' B2 D2 L'
L' B L2 D2 L' D B2
R' B R L U' L2 U
R' B R L D' B2 D
R' B R L D' B2 D'
R' B R L D' B2 D2
R' B R L B D' B2
R' B R L B' D' B2
R' B R L B2 D' B2
D2 B R L D' R' B2
R B L D' B' R' B'
L' B L2 B D' L' B2
L' B L2 B D' B2 L'
L B L B2 U R' U'
D' B R L D' R' B2
L' B L2 B' D' L' B2
L' B L2 B' D' B2 L'
L' B L2 B2 D' L' B2
L' B L2 B2 D' B2 L'
R' B R U' L' U L2
L2 B L2 D L B' L2
D B L' B L2 D' B2
R' B R D L D' B2
L B L' U' L' U L'
R B L B D' B2 R'
D B L' B' L2 D' B2
R' B R D' L D' B2
R B L B' R' D' B2
R B L B' D' R' B2
D B L' B2 L2 D' B2
R' B R D2 L D' B2
L2 B L2 B' L' D' B2
D B L2 U' L U L2
L2 B R L D' R' B
D B L2 D L' D' B2
D B L2 D' L' D' B2
D2 B R' L D' R B2
D2 B R' L D' B2 R
D B L2 D2 L' D' B2
D' B R' L D' R B2
D' B R' L D' B2 R
L2 B R D L R' B'
L2 B R D R' L B'
L2 B R D' L R' B
R2 B R L D' R B2
R2 B R L D' B2 R
L2 B R D' R' L B
D B R L D' R' B2
B D2 F' D' F L B'
R' B R2 L D' R' B2
L2 B R' D L R B'
L2 B R' D L B' R
F D2 F' B L D' B2
L2 B R' D R L B'
R2 B R' L D' R' B2
D B R' L D' R B2
D B R' L D' B2 R
L B R D' L R' B2
L B R D' R' L B2
U B R B U2 L' U
R2 B R2 L U' L2 U
R2 B R2 L D' B2 D
R2 B R2 L D' B2 D'
R2 B R2 L D' B2 D2
R2 B R2 L B D' B2
R2 B R2 L B' D' B2
R2 B R2 L B2 D' B2
B' D2 B2 L U' L2 U
B' D2 B2 L D' B2 D
B' D2 B2 L D' B2 D'
B' D2 B2 L D' B2 D2
B' D2 B2 L B D' B2
B' D2 B2 L B' D' B2
B' D2 B2 L B2 D' B2
U B R' U2 L' F' U
R2 B R2 U' L' U L2
L B R' D' L R B2
L B R' D' L B2 R
L B R' D' R L B2
R2 B R2 D L D' B2
R2 B R2 D' L D' B2
R2 B R2 D2 L D' B2
B' D2 B2 U' L' U L2
B' D2 B2 D L D' B2
L' B U B U' B' L
R' B U' L' U L2 R
R' B U' L' U R L2
B' D2 B2 D' L D' B2
D2 B U' L' U L2 D
D2 B U' L' U L2 D'
D2 B U' L' U L2 D2
D2 B U' L' D F2 U
B' D2 B2 D2 L D' B2
D2 B U' L' F U L2
D2 B U' L' F' U L2
D2 B U' L' F2 U L2
D' B U' L' U L2 D
D' B U' L' U L2 D'
D' B U' L' U L2 D2
L' B U B2 U' B2 L
D' B U' L' D F2 U
D' B U' L' F U L2
D' B U' L' F' U L2
D' B U' L' F2 U L2
F D2 B F' L D' B2
D2 B U' D L' U L2
D2 B U' D' L' U L2
D' B U' D L' U L2
D2 B U' D2 L' U L2
D' B U' D' L' U L2
D' B U' D2 L' U L2
B D2 B2 L D' B2 L
F2 B L U R U' F2
R2 B U' L' U L2 R2
R2 B U' L' U R2 L2
D B U' L' U L2 D
D B U' L' U L2 D'
D B U' L' U L2 D2
D B U' L' D F2 U
D B U' L' F U L2
D B U' L' F' U L2
D B U' L' F2 U L2
L B U D2 R2 U' L
F2 B L F2 U' L' U
D B U' D L' U L2
R' B D L R D' B2
R' B D L D' R B2
R' B D L D' B2 R
D B U' D' L' U L2
D2 B D L U' L2 U
