D2 L2 R' F' U'
D2 R' L2 F' U'
D' R' F' U' F'
D2 R' F' L2 U'
R' F' U2 R' U
D2 F2 R' L2 D' F' U'
D2 F2 R' L2 D2 F' U'
D2 F2 R' L2 F' U' D
D2 F2 R' L2 F' U' D'
D2 F2 R' L2 F' U' D2
D2 F2 R' L2 F' D U'
D2 F2 R' L2 F' D' U'
D2 F2 R' L2 F' D2 U'
D' F2 R' L2 F' U' F
F2 D' F2 R' F' U' F
D2 F2 R' D F' U' F'
D' F2 R' D F' U' F
R F2 L2 R2 F' L U'
D' F2 R' D' F' U' F
D' F2 R' D2 F' U' F
D2 F2 R' F L2 F2 U'
D2 F2 R' F' L2 U' D
D2 F2 R' F' L2 U' D'
D2 F2 R' F' L2 U' D2
D2 F2 R' F' L2 D U'
D2 F2 R' F' L2 D' U'
D2 F2 R' F' L2 D2 U'
D2 F2 R' F' U' D F2
D2 F2 R' F' D U' F2
D' F2 R' F' U' D F
D' F2 R' F' U' D' F
D' F2 R' F' U' D2 F
D' F2 R' F' U' F D
D' F2 R' F' U' F D'
D' F2 R' F' U' F D2
D' F2 R' F' D U' F
D' F2 R' F' D' U' F
D' F2 R' F' D2 U' F
L' F2 R' F' U2 R' U
L2 F2 R' F' U2 R' U
F D' F2 R' F' U' F
D F2 R' D L2 F' U'
D F2 R' D F' L2 U'
D F2 R' D2 F' U' F'
D F2 R' F' U B2 U2
D F2 R' F' U' D2 F2
D F2 R' F' D L2 U'
D F2 R' F' D2 U' F2
U2 F2 R2 F2 L' B' U
L F2 R' F' U2 R' U
B D' B' R' F' U' F'
R F2 R2 L F' L2 U'
R F2 R2 L' D F' U'
R F2 R2 L' D' F' U'
R F2 R2 L' D2 F' U'
R F2 R2 L' F' U' D
R F2 R2 L' F' U' D'
R F2 R2 L' F' U' D2
R F2 R2 L' F' D U'
R F2 R2 L' F' D' U'
R F2 R2 L' F' D2 U'
R F2 R2 L2 F' L U'
R F2 R2 D L' F' U'
F' D2 L R' F' L U'
R F2 R2 D' L' F' U'
R F2 R2 D2 L' F' U'
F2 D2 L R' F' L U'
R' F2 U2 R' U2 F U'
D2 F2 D R' F' U' F'
D' F2 D R' F' U' F
F D2 L R' F' L U'
R' F2 D F U2 R' U
F' D2 L2 R' D F' U'
F' D2 L2 R' D' F' U'
F' D2 L2 R' D2 F' U'
F' D2 L2 R' F' U' D
F' D2 L2 R' F' U' D'
F' D2 L2 R' F' U' D2
F' D2 L2 R' F' D U'
F' D2 L2 R' F' D' U'
F' D2 L2 R' F' D2 U'
F' D2 L2 D R' F' U'
F2 D2 L2 R' D F' U'
F2 D2 L2 R' D' F' U'
F2 D2 L2 R' D2 F' U'
F2 D2 L2 R' F' U' D
F2 D2 L2 R' F' U' D'
F2 D2 L2 R' F' U' D2
F2 D2 L2 R' F' D U'
F2 D2 L2 R' F' D' U'
F2 D2 L2 R' F' D2 U'
F' D2 L2 D' R' F' U'
F' D2 L2 D2 R' F' U'
D' F2 D' R' F' U' F
F' D2 L2 F R' F' U'
F' D2 L2 F' R' F' U'
F' D2 L2 F2 R' F' U'
F2 D2 L2 D R' F' U'
L' F2 D' R' F' U' F'
R' F2 D' F U2 R' U
F2 D2 L2 D' R' F' U'
D F2 D L2 R' F' U'
F2 D2 L2 D2 R' F' U'
F2 D2 L2 F R' F' U'
D F2 D R' L2 F' U'
F2 D2 L2 F' R' F' U'
D F2 D R' F' L2 U'
F2 D2 L2 F2 R' F' U'
L2 F2 D' R' F' U' F'
L' F2 D2 L2 R' F' U'
D' F2 D2 R' F' U' F
L' F2 D2 R' L2 F' U'
F D2 L2 R' D F' U'
F D2 L2 R' D' F' U'
F D2 L2 R' D2 F' U'
F D2 L2 R' F' U' D
F D2 L2 R' F' U' D'
F D2 L2 R' F' U' D2
F D2 L2 R' F' D U'
F D2 L2 R' F' D' U'
F D2 L2 R' F' D2 U'
L' F2 D2 R' F' L2 U'
R' F2 D2 F U2 R' U
F' D2 R' L F' L U'
F D2 L2 D R' F' U'
F D2 L2 D' R' F' U'
F' D2 R' L2 D F' U'
F' D2 R' L2 D' F' U'
F' D2 R' L2 D2 F' U'
F' D2 R' L2 F' U' D
F' D2 R' L2 F' U' D'
F' D2 R' L2 F' U' D2
F' D2 R' L2 F' D U'
F' D2 R' L2 F' D' U'
F' D2 R' L2 F' D2 U'
F D2 L2 D2 R' F' U'
L2 F2 D2 L2 R' F' U'
F D2 L2 F R' F' U'
F D2 L2 F' R' F' U'
L2 F2 D2 R' L2 F' U'
L2 F2 D2 R' F' L2 U'
F2 D2 R' L F' L U'
F D2 L2 F2 R' F' U'
F' D2 R' D F' U' F'
F2 D2 R' L2 D F' U'
F2 D2 R' L2 D' F' U'
F2 D2 R' L2 D2 F' U'
F2 D2 R' L2 F' U' D
F2 D2 R' L2 F' U' D'
F2 D2 R' L2 F' U' D2
F2 D2 R' L2 F' D U'
F2 D2 R' L2 F' D' U'
F2 D2 R' L2 F' D2 U'
F' D2 R' F L2 F2 U'
L F2 D' R' F' U' F'
F' D2 R' F' L2 U' D
F' D2 R' F' L2 U' D'
F' D2 R' F' L2 U' D2
F' D2 R' F' L2 D U'
F' D2 R' F' L2 D' U'
F' D2 R' F' L2 D2 U'
F' D2 R' F' U' D F2
F' D2 R' F' D U' F2
F2 D2 R' D F' U' F'
F2 D2 R' F L2 F2 U'
F2 D2 R' F' L2 U' D
F2 D2 R' F' L2 U' D'
F2 D2 R' F' L2 U' D2
F2 D2 R' F' L2 D U'
F2 D2 R' F' L2 D' U'
F2 D2 R' F' L2 D2 U'
F2 D2 R' F' U' D F2
D F2 D2 R' F' U' F'
F2 D2 R' F' D U' F2
L F2 D2 L2 R' F' U'
U' F2 B' D' R' F2 B
U' F2 B' D' R' B F2
U' F2 B' D' F2 R' B
L F2 D2 R' L2 F' U'
L F2 D2 R' F' L2 U'
F D2 R' L F' L U'
F D2 R' L2 D F' U'
F D2 R' L2 D' F' U'
F D2 R' L2 D2 F' U'
F D2 R' L2 F' U' D
F D2 R' L2 F' U' D'
F D2 R' L2 F' U' D2
F D2 R' L2 F' D U'
F D2 R' L2 F' D' U'
F D2 R' L2 F' D2 U'
F D2 R' D F' U' F'
F D2 R' F L2 F2 U'
F D2 R' F' L2 U' D
F D2 R' F' L2 U' D'
F D2 R' F' L2 U' D2
F D2 R' F' L2 D U'
F D2 R' F' L2 D' U'
F D2 R' F' L2 D2 U'
F D2 R' F' U' D F2
F D2 R' F' D U' F2
F' D2 F L2 R' F' U'
F' D2 F R' L2 F' U'
F' D2 F R' F' L2 U'
F2 D2 F L2 R' F' U'
F2 D2 F R' L2 F' U'
F2 D2 F R' F' L2 U'
F' D2 F' L2 R' F' U'
F' D2 F' R' L2 F' U'
F' D2 F' R' F' L2 U'
F2 D2 F' L2 R' F' U'
F2 D2 F' R' L2 F' U'
F2 D2 F' R' F' L2 U'
F D2 F L2 R' F' U'
F D2 F R' L2 F' U'
F D2 F R' F' L2 U'
F' D2 F2 L2 R' F' U'
F' D2 F2 R' L2 F' U'
F' D2 F2 R' F' L2 U'
F2 D2 F2 L2 R' F' U'
F2 D2 F2 R' L2 F' U'
F2 D2 F2 R' F' L2 U'
F D2 F' L2 R' F' U'
F D2 F' R' L2 F' U'
F D2 F' R' F' L2 U'
F D2 F2 L2 R' F' U'
F D2 F2 R' L2 F' U'
F D2 F2 R' F' L2 U'
R B R U2 R B' U'
R B R U2 B' R U'
B D2 B' L2 R' F' U'
B D2 B' R' L2 F' U'
B D2 B' R' F' L2 U'
R2 B U2 R F' B' U'
R2 B U2 R B' F' U'
R2 B U2 B' R F' U'
R B D2 L2 R F U
R B D2 R L2 F U
U2 B' L' R2 B' L U
U2 B' L' B' L R2 U
U2 B' L' B' R2 L U
D2 B' L2 B R' F' U'
U2 B' R2 L' B' L U
U' B' D' R' F2 D B
U' B' D' R' F2 D' B
U' B' D' R' F2 D2 B
U' B' D' R' F2 B D
U' B' D' R' F2 B D'
U' B' D' R' F2 B D2
U' B' D' R' B F2 D
U' B' D' R' B F2 D'
U' B' D' R' B F2 D2
R2 B' U2 B R F' U'
U' B' D' F R' F B
U' B' D' F R' B F
U' B' D' F2 R' D B
U' B' D' F2 R' D' B
U' B' D' F2 R' D2 B
U' B' D' F2 R' B D
U' B' D' F2 R' B D'
U' B' D' F2 R' B D2
U' B' F D' R' F2 B
U' B' F D' R' B F2
U' B' F D' F2 R' B
U' B' F' D' R' F2 B
U' B' F' D' R' B F2
U' B' F' D' F2 R' B
U' B' F2 D' R' F2 B
U' B' F2 D' R' B F2
U' B' F2 D' F2 R' B
R' B2 L D F' U' L2
R' B2 L F' U' D L2
R' B2 L F' D U' L2
R' B2 L F' B2 U' D
R' B2 L F' B2 U' D'
R' B2 L F' B2 U' D2
R' B2 L F' B2 D U'
R' B2 L F' B2 D' U'
R' B2 L F' B2 D2 U'
R' B2 L B2 D F' U'
R' B2 L B2 D' F' U'
R' B2 L B2 D2 F' U'
R' B2 L B2 F' U' D
R' B2 L B2 F' U' D'
R' B2 L B2 F' U' D2
R' B2 L B2 F' D U'
R' B2 L B2 F' D' U'
R' B2 L B2 F' D2 U'
U2 B2 L R2 U2 F U'
R' B2 L' F' L2 B2 U'
R' B2 L' F' B2 L2 U'
R' B2 L' B2 L2 F' U'
R' B2 L' B2 F' L2 U'
U2 B2 L' R2 B' L2 U
U2 B2 L' B' L2 R2 U
U2 B2 L' B' R2 L2 U
R' B2 L2 B2 L' F' U'
R2 B2 R F' B2 L U'
R2 B2 R B2 L F' U'
R2 B2 R B2 F' L U'
U2 B2 R2 L U2 F U'
U2 B2 R2 L' B' L2 U
R' B2 D L F' U' L
R' B2 D F' L U' L
R2 B2 U2 R F' B2 U'
R2 B2 U2 R B2 F' U'
R2 B2 U2 B2 R F' U'
R' B2 F L F2 B2 U'
R' B2 F L B2 F2 U'
R' B2 F' L U' D L2
R' B2 F' L D U' L2
R' B2 F' L B2 U' D
R' B2 F' L B2 U' D'
R' B2 F' L B2 U' D2
R' B2 F' L B2 D U'
R' B2 F' L B2 D' U'
R' B2 F' L B2 D2 U'
R' B2 F' L' B2 L2 U'
R' B2 F' L2 B2 L' U'
R' B2 F' D L U' L
