D' L2 U' R B'
D' L2 U' B' R
L2 U' R F2 B'
L2 U' R B' F2
R' U' F2 R2 B
L2 U' B' R F2
U' R' F2 R2 B
B' D' B L2 U' R B'
B' D' B L2 U' B' R
U' F2 R2 U2 L' U2 B
U' F2 R2 F2 B R F2
U' F2 R2 B U2 L' U2
U' F2 R2 B F2 R F2
R' F2 R2 B U B' U'
R' F2 R2 B2 D B' L2
D2 F2 U L' F' B2 U2
D2 F2 U L' B2 F' U2
D2 F2 U B2 L' F' U2
B D' B' L2 U' R B'
B D' B' L2 U' B' R
R' F2 U' R2 D' F2 B
R' F2 U' R2 D' B F2
R' F2 U' R2 B D' F2
U' F2 U2 L F' L2 U2
U' F2 U2 L' D F' U2
U' F2 U2 L' D' F' U2
U' F2 U2 L' D2 F' U2
U' F2 U2 L' F' U2 D
U' F2 U2 L' F' U2 D'
U' F2 U2 L' F' U2 D2
U' F2 U2 L' F' D U2
U' F2 U2 L' F' D' U2
U' F2 U2 L' F' D2 U2
U' F2 U2 L2 F' L U2
U' F2 U2 D L' F' U2
U' F2 U2 D' L' F' U2
U' F2 U2 D2 L' F' U2
U' F2 D U2 L' F' U2
U F2 U2 L' F' U2 L
U' F2 D' U2 L' F' U2
R F2 U2 F' U F U
U F2 D L' F' U2 F
U' F2 D2 U2 L' F' U2
U F2 D' L' F' U2 F
U' F2 B U2 L' F' U2
R' F2 B R2 B D L2
U' F2 B' U2 L' F' U2
U F2 D2 L' F' U2 F
U' F2 B2 U2 L' F' U2
R' F2 B2 R2 D L2 B
R' F2 B2 R2 D B L2
U F2 B L' F' U2 F
U F2 B' L' F' U2 F
U F2 B2 L' F' U2 F
U' B L2 R F2 B' L2
U' B L2 R B' L2 F2
U' B L2 R B' F2 L2
F' D2 F U' R F2 B2
F' D2 F U' R B2 F2
F' D2 F U' B2 R F2
U' B L2 B' L2 R F2
U' B L2 B' R L2 F2
U' B L2 B' R F2 L2
U' B R L2 F2 B' L2
U' B R L2 B' L2 F2
U' B R L2 B' F2 L2
U2 B L2 U R F2 B'
U2 B L2 U R B' F2
U2 B L2 U B' R F2
U' B R U2 F U2 F
U' B R F' D2 F' B2
U' B R F' D2 B2 F'
U B L' U2 R F2 B
U B L' U2 R B F2
U' B R F2 R2 B R2
U' B R F2 U2 F' U2
U B L2 U2 R F2 B'
U B L2 U2 R B' F2
U' B R' F2 R2 D B
U' B R' F2 R2 D' B
U' B R' F2 R2 D2 B
U' B R' F2 R2 B D
U' B R' F2 R2 B D'
U' B R' F2 R2 B D2
U B L2 U2 B' R F2
U' B R' F2 B R2 B
U' B R' F2 B' R2 B
U' B R' F2 B2 R2 B
U' B R' B F2 R2 B
U' B R' B' F2 R2 B
U' B R' B2 F2 R2 B
U2 B R' U F2 R2 B
U' B R2 F2 R2 B R
U B R' F2 L' R2 B
U B R' F2 R2 L' B
U B R' F2 R2 B L'
U2 B U R' F2 R2 B
U B U2 R' F2 R2 B
U' B F2 U2 L' F' U2
R' B F2 R2 B D L2
U B F U2 F' R F2
U B F2 L' F' U2 F
U' B' L2 R F2 B' L2
U' B' L2 R B' L2 F2
U' B' L2 R B' F2 L2
U' B' L2 B' L2 R F2
U' B' L2 B' R L2 F2
U' B' L2 B' R F2 L2
U' B' R L2 F2 B' L2
U' B' R L2 B' L2 F2
U' B' R L2 B' F2 L2
D' B' L2 B U' R B2
D' B' L2 B U' B2 R
U' B' R U2 F U2 F
U2 B' L2 U R F2 B'
U2 B' L2 U R B' F2
U2 B' L2 U B' R F2
U' B' R F' D2 F' B2
U' B' R F' D2 B2 F'
U' B' R F2 R2 B R2
U' B' R F2 U2 F' U2
U B' L' U2 R F2 B
U B' L' U2 R B F2
U' B' R' F2 R2 D B
U' B' R' F2 R2 D' B
U' B' R' F2 R2 D2 B
U' B' R' F2 R2 B D
U' B' R' F2 R2 B D'
U' B' R' F2 R2 B D2
U' B' R' F2 B R2 B
U' B' R' F2 B' R2 B
U' B' R' F2 B2 R2 B
L2 B' R F D' F L'
U B' L2 U2 R F2 B'
U B' L2 U2 R B' F2
U' B' R' B F2 R2 B
U B' L2 U2 B' R F2
U' B' R' B' F2 R2 B
U' B' R' B2 F2 R2 B
U2 B' R' U F2 R2 B
U' B' R2 F2 R2 B R
R B' L2 F2 B' D L2
R B' L2 B' F2 D L2
U B' R' F2 L' R2 B
U B' R' F2 R2 L' B
U B' R' F2 R2 B L'
U2 B' U R' F2 R2 B
L2 B' U B U' R F2
U B' U2 R' F2 R2 B
U' B' F2 U2 L' F' U2
U B' F U2 F' R F2
U B' F2 L' F' U2 F
U' B2 L2 R F2 B' L2
U' B2 L2 R B' L2 F2
U' B2 L2 R B' F2 L2
U' B2 L2 B' L2 R F2
U' B2 L2 B' R L2 F2
U' B2 L2 B' R F2 L2
U' B2 R L2 F2 B' L2
U' B2 R L2 B' L2 F2
U' B2 R L2 B' F2 L2
U' B2 R U2 F U2 F
D' B2 L2 B2 U' B R
U2 B2 L2 U R F2 B'
U2 B2 L2 U R B' F2
U2 B2 L2 U B' R F2
U' B2 R F' D2 F' B2
U' B2 R F' D2 B2 F'
U' B2 R F2 R2 B R2
U' B2 R F2 U2 F' U2
D' B2 R D L2 F2 B'
D' B2 R D L2 B' F2
U B2 L' U2 R F2 B
U B2 L' U2 R B F2
U' B2 R' F2 R2 D B
U' B2 R' F2 R2 D' B
U' B2 R' F2 R2 D2 B
U' B2 R' F2 R2 B D
U' B2 R' F2 R2 B D'
U' B2 R' F2 R2 B D2
U' B2 R' F2 B R2 B
U' B2 R' F2 B' R2 B
U' B2 R' F2 B2 R2 B
U' B2 R' B F2 R2 B
U' B2 R' B' F2 R2 B
U' B2 R' B2 F2 R2 B
U B2 L2 U2 R F2 B'
U B2 L2 U2 R B' F2
U B2 L2 U2 B' R F2
U2 B2 R' U F2 R2 B
U' B2 R2 F2 R2 B R
R B2 L2 F2 D B' L2
U B2 R' F2 L' R2 B
U B2 R' F2 R2 L' B
U B2 R' F2 R2 B L'
U2 B2 U R' F2 R2 B
D2 B2 U2 R D L2 B'
D2 B2 U2 D L2 R B'
D2 B2 U2 D L2 B' R
D2 B2 U2 D R L2 B'
D' B2 D L2 R F2 B'
D' B2 D L2 R B' F2
D' B2 D L2 B' R F2
D' B2 D R L2 F2 B'
D' B2 D R L2 B' F2
D2 B2 D U2 L2 R B'
D2 B2 D U2 L2 B' R
D2 B2 D U2 R L2 B'
D2 B2 D' R2 F U2 R'
U B2 U2 R' F2 R2 B
R B2 D L2 D' F2 B'
R B2 D L2 D' B' F2
R B2 D L2 B' D' F2
U' B2 F2 U2 L' F' U2
R' B2 F2 R2 D L2 B
R' B2 F2 R2 D B L2
U B2 F U2 F' R F2
U B2 F2 L' F' U2 F
