L2 D' B2 U2 B2
B' L2 U' L2 U' B
B2 L2 U' L2 U' B2
B L2 U' L2 U' B'
B' L2 U2 D F2 B
B' L2 U2 D B F2
U2 L2 U2 L2 D F2
B' L2 U2 B D F2
B2 L2 U2 B2 D F2
B' L2 D U2 F2 B
B' L2 D U2 B F2
B L2 D F U2 F
F' L2 D' B2 U2 B2
F2 L2 D' B2 U2 B2
B' L2 D' B2 U2 B'
B L2 D' F B2 U2
B L2 D' B2 F U2
F L2 D' B2 U2 B2
B L2 F U' L2 U'
B L2 F U2 D F2
B L2 F D U2 F2
B L2 F D' B2 U2
L2 U' L2 U' D' B2
L2 U' L2 U2 L2 U
L2 U' L2 D' U' B2
L2 U' L2 D2 R2 U'
L2 U2 D F2 D2 B2
D2 R2 D2 L2 D F2
L2 D U2 F2 D2 B2
R2 D F2 B2 U' B2
L2 D B U2 F2 B'
L2 D B U2 B' F2
L2 D B' U2 F2 B
L2 D B' U2 B F2
R2 D B2 F2 U' B2
L2 D B2 U2 F2 B2
L2 D B2 U2 B2 F2
L2 D' F B2 U2 B2
L2 D' F' B2 U2 B2
L2 D' F2 B2 U2 B2
L2 D' B2 U2 B2 D
L2 D' B2 U2 B2 D'
L2 D' B2 U2 B2 D2
L2 D' B2 D2 F2 U2
L2 D' B2 F U2 B2
L2 D' B2 F' U2 B2
L2 D' B2 F2 U2 B2
R2 D2 L2 R2 D F2
R2 D2 R2 L2 D F2
L2 F D' B2 U2 B2
L2 F' D' B2 U2 B2
L2 F2 D' B2 U2 B2
L2 B U2 D F2 B'
L2 B U2 D B' F2
L2 B U2 B' D F2
L2 B D U2 F2 B'
L2 B D U2 B' F2
L2 B D' B2 U2 B
L2 B' U' L2 U' B
L2 B' U2 D F2 B
L2 B' U2 D B F2
L2 B' U2 B D F2
L2 B' D U2 F2 B
L2 B' D U2 B F2
L2 B' D' B2 U2 B'
L2 B2 U' L2 U' B2
L2 B2 U2 B2 D F2
R B2 U' L B2 R'
L2 B2 U D L2 U F2
D2 B2 U' R2 B2 D L2
R2 B2 U L2 R2 U2 B2
R2 B2 U R2 L2 U2 B2
D2 B2 U' B2 R2 D L2
L2 B2 U' L2 R U' B2
L2 B2 U' L2 R' U' B2
L2 B2 U' L2 R2 U' B2
L2 B2 U' L2 U' B2 D
L2 B2 U' L2 U' B2 D'
L2 B2 U' L2 U' B2 D2
L2 B2 U' L2 D' R2 U'
L2 B2 U' R L2 U' B2
R B2 R2 U' L B2 R'
L2 B2 U' R' L2 U' B2
L2 B2 U' R2 L2 U' B2
D2 B2 U2 R2 B2 D' F2
U B2 U L2 B2 U2 L2
D2 B2 U2 B2 R2 D' F2
R B2 U L2 U2 L' B2
R B2 U L2 U2 B2 L'
L2 B2 U2 D F2 D' B2
U B2 U B2 L2 U2 L2
L B2 U' L' U' R' B2
D B2 U' F2 U' F2 B2
D B2 U' F2 U' B2 F2
R2 B2 U' B2 D2 L2 R2
R2 B2 U' B2 D2 R2 L2
L2 B2 U2 F B2 D F2
U B2 U' L2 B2 U2 B2
L2 B2 U2 F' B2 D F2
D B2 U' B2 D L2 R2
D B2 U' B2 D R2 L2
L2 B2 U2 F2 B2 D F2
L2 B2 U2 B D F2 B
L2 B2 U2 B D B F2
L2 B2 U2 B' D F2 B'
L2 B2 U2 B' D B' F2
L2 B2 U2 B2 U L2 U'
L2 B2 U2 B2 D F2 D
L2 B2 U2 B2 D F2 D'
L2 B2 U2 B2 D F2 D2
L2 B2 U2 B2 F D F2
L2 B2 U2 B2 F' D F2
L2 B2 U2 B2 F2 D F2
R B2 U' L R B2 R'
R B2 U' L R' B2 R'
R B2 U' L R2 B2 R'
R B2 U' L B2 R' D
R B2 U' L B2 R' D'
R B2 U' L B2 R' D2
R B2 U' L B2 D R'
R B2 U' L B2 D' R'
R B2 U' L B2 D2 R'
R B2 U' R L B2 R'
R B2 U' R' L B2 R'
R B2 U' R2 L B2 R'
L2 B2 D U L2 U F2
U B2 U' B2 L2 U2 B2
L2 B2 D U2 F2 D' B2
U' B2 D2 F2 U R2 F2
U' B2 D2 F2 U F2 R2
L2 B2 D' B2 U' R2 U'
L2 B2 D' B2 U2 D B2
L2 B2 D' B2 D U2 B2
L2 B2 D' B2 D' F2 U2
L2 B2 D2 F2 U R2 U
L2 B2 D2 F2 U2 D' F2
L2 B2 D2 F2 D B2 U2
L2 B2 D2 F2 D' U2 F2
L2 B2 F U' L2 U' B2
L2 B2 F U2 B2 D F2
L2 B2 F' U' L2 U' B2
L2 B2 F' U2 B2 D F2
L2 B2 F2 U' L2 U' B2
L2 B2 F2 U2 B2 D F2
R B2 F U' L B2 R'
D B2 F2 R U' B2 L
D B2 F2 U' B2 D L2
R B2 F' U' L B2 R'
R B2 F2 U' L B2 R'
