U' L D' R2 F
U' L D' F R2
U' L F D' R2
D' U' L R2 F
D' U' L F R2
U' D' L R2 F
U' D' L F R2
D' U' R2 L F
U' D' R2 L F
D2 F2 U' L F
U' F2 L F R' D' R2
U' F2 L F R2 D' R2
F' D' U' R' L F R'
U' F2 L F U' B2 U
U' F2 L F D' R2 D
U' F2 L F D' R2 D'
U' F2 L F D' R2 D2
F' D' U' R2 L D F
F' D' U' R2 L D' F
F' D' U' R2 L D2 F
F' D' U' R2 L F D
F' D' U' R2 L F D'
F' D' U' R2 L F D2
F2 D' U' L R' F R'
F2 D' U' L R2 D F
F2 D' U' L R2 D' F
F2 D' U' L R2 D2 F
F2 D' U' L R2 F D
F2 D' U' L R2 F D'
F2 D' U' L R2 F D2
F' D' U' R2 D L F
F' D' U' R2 D' L F
F' D' U' R2 D2 L F
F' D' U' R2 F L F
F' D' U' R2 F' L F
F' D' U' R2 F2 L F
F2 D' U' L F R2 D
F2 D' U' L F R2 D'
F2 D' U' L F R2 D2
F2 D' U' L F' R2 F2
F' D' U' F L R2 F
F' D' U' F L F R2
U' F2 L F2 D' F' R2
F' D' U' F R2 L F
F' D' U' F' L R2 F
F' D' U' F' L F R2
F' D' U' F' R2 L F
F' D' U' F2 L R2 F
F' D' U' F2 L F R2
B2 D' U' R' B U2 B'
F' D' U' F2 R2 L F
F2 D' U' R' L F R'
D2 F2 L B L U' L'
F2 D' U' R2 L D F
F2 D' U' R2 L D' F
F2 D' U' R2 L D2 F
F2 D' U' R2 L F D
F2 D' U' R2 L F D'
F2 D' U' R2 L F D2
F2 D' U' R2 D L F
F2 D' U' R2 D' L F
F2 D' U' R2 D2 L F
F2 D' U' R2 F L F
F2 D' U' R2 F' L F
F2 D' U' R2 F2 L F
F2 D' U' F L R2 F
F2 D' U' F L F R2
F2 D' U' F R2 L F
F2 D' U' F' L R2 F
F2 D' U' F' L F R2
F2 D' U' F' R2 L F
F2 D' U' F2 L R2 F
F2 D' U' F2 L F R2
F2 D' U' F2 R2 L F
D2 F2 L' U' L F L
F D' U' L R' F R'
F D' U' L R2 D F
F D' U' L R2 D' F
F D' U' L R2 D2 F
F D' U' L R2 F D
F D' U' L R2 F D'
F D' U' L R2 F D2
F D' U' L F R2 D
F D' U' L F R2 D'
F D' U' L F R2 D2
F D' U' L F' R2 F2
D2 F2 L' B L U' L
F D' U' R' L F R'
F D' U' R2 L D F
F D' U' R2 L D' F
F D' U' R2 L D2 F
F D' U' R2 L F D
F D' U' R2 L F D'
F D' U' R2 L F D2
F D' U' R2 D L F
F D' U' R2 D' L F
F D' U' R2 D2 L F
F D' U' R2 F L F
F D' U' R2 F' L F
F D' U' R2 F2 L F
F D' U' F L R2 F
F D' U' F L F R2
F D' U' F R2 L F
F D' U' F' L R2 F
F D' U' F' L F R2
F D' U' F' R2 L F
F' D' F U' L R2 F
D2 F2 L2 U' L F L2
F' D' F U' L F R2
F' D' F U' R2 L F
F D' U' F2 L R2 F
F D' U' F2 L F R2
F D' U' F2 R2 L F
F2 D' F U' L R2 F
F2 D' F U' L F R2
F2 D' F U' R2 L F
U' F2 R L D' R2 F
U' F2 R L D' F R2
U' F2 R L F D' R2
D2 F2 L2 B L U' L2
U' F2 R D' L R2 F
U' F2 R D' L F R2
U' F2 R D' R2 L F
F' D' F' U' L R2 F
F' D' F' U' L F R2
F' D' F' U' R2 L F
F2 D' F' U' L R2 F
F2 D' F' U' L F R2
F2 D' F' U' R2 L F
U' F2 R' L D' R2 F
U' F2 R' L D' F R2
U' F2 R' L F D' R2
F D' F U' L R2 F
F D' F U' L F R2
F D' F U' R2 L F
U' F2 R' D' L R2 F
U' F2 R' D' L F R2
F' D' F2 U' L R2 F
F' D' F2 U' L F R2
U' F2 R' D' R2 L F
F' D' F2 U' R2 L F
F2 D' F2 U' L R2 F
F2 D' F2 U' L F R2
F2 D' F2 U' R2 L F
U' F2 R2 L D' R2 F
U' F2 R2 L D' F R2
U' F2 R2 L F D' R2
F D' F' U' L R2 F
F D' F' U' L F R2
F D' F' U' R2 L F
U' F2 R2 D' L R2 F
U' F2 R2 D' L F R2
U' F2 R2 D' R2 L F
F D' F2 U' L R2 F
F D' F2 U' L F R2
F D' F2 U' R2 L F
D2 F2 U R' U2 L F'
D2 F2 U R' U2 F' L
D2 F2 U B2 R' U2 F'
D2 F2 U' L R F R'
D2 F2 U' L R2 F R2
D2 F2 U' L D F D
D2 F2 U' L D F D'
D2 F2 U' L D F D2
D2 F2 U' L D' F D
D2 F2 U' L D' F D'
D2 F2 U' L D' F D2
D2 F2 U' L D2 F D
D2 F2 U' L D2 F D'
D2 F2 U' L D2 F D2
D' F2 U' L R' F R'
D' F2 U' L R2 D F
D' F2 U' L R2 D' F
D' F2 U' L R2 D2 F
D' F2 U' L R2 F D
D' F2 U' L R2 F D'
D' F2 U' L R2 F D2
D2 F2 U' L F2 D F'
D2 F2 U' L F2 D' F'
D2 F2 U' L F2 D2 F'
D' F2 U' L F R2 D
D' F2 U' L F R2 D'
D' F2 U' L F R2 D2
D' F2 U' L F' R2 F2
D2 F2 U' L' F L2 F
D2 F2 U' L' F' L2 F
D2 F2 U' L' F2 L2 F
D2 F2 U' R L F R'
D' F2 U' R' L F R'
D2 F2 U' R2 L F R2
D' F2 U' R2 L D F
D' F2 U' R2 L D' F
D' F2 U' R2 L D2 F
D' F2 U' R2 L F D
D' F2 U' R2 L F D'
D' F2 U' R2 L F D2
D' F2 U' R2 D L F
D' F2 U' R2 D' L F
D' F2 U' R2 D2 L F
D' F2 U' R2 F L F
D2 F2 U' D L D F
D2 F2 U' D L D' F
D2 F2 U' D L D2 F
D2 F2 U' D L F D
D2 F2 U' D L F D'
D2 F2 U' D L F D2
D' F2 U' R2 F' L F
D' F2 U' R2 F2 L F
D2 F2 U' D F L F
D2 F2 U' D F' L F
D2 F2 U' D F2 L F
D2 F2 U' D' L D F
D2 F2 U' D' L D' F
D2 F2 U' D' L D2 F
D2 F2 U' D' L F D
D2 F2 U' D' L F D'
D2 F2 U' D' L F D2
D2 F2 U' D' F L F
D2 F2 U' D' F' L F
D2 F2 U' D' F2 L F
D2 F2 U' D2 L D F
D2 F2 U' D2 L D' F
D2 F2 U' D2 L D2 F
D2 F2 U' D2 L F D
D2 F2 U' D2 L F D'
D2 F2 U' D2 L F D2
D2 F2 U' D2 F L F
D2 F2 U' D2 F' L F
D2 F2 U' D2 F2 L F
D2 F2 U' F L D F
D2 F2 U' F L D' F
D2 F2 U' F L D2 F
D2 F2 U' F L F D
D2 F2 U' F L F D'
D2 F2 U' F L F D2
D' F2 U' F L R2 F
D' F2 U' F L F R2
D2 F2 U' F D L F
D2 F2 U' F D' L F
D' F2 U' F R2 L F
D2 F2 U' F D2 L F
D2 F2 U' F' L D F
D2 F2 U' F' L D' F
D2 F2 U' F' L D2 F
D2 F2 U' F' L F D
D2 F2 U' F' L F D'
D2 F2 U' F' L F D2
D' F2 U' F' L R2 F
D' F2 U' F' L F R2
D2 F2 U' F' D L F
D2 F2 U' F' D' L F
D' F2 U' F' R2 L F
D2 F2 U' F' D2 L F
D2 F2 U' F2 L D F
D2 F2 U' F2 L D' F
D2 F2 U' F2 L D2 F
D2 F2 U' F2 L F D
D2 F2 U' F2 L F D'
D2 F2 U' F2 L F D2
D' F2 U' F2 L R2 F
D' F2 U' F2 L F R2
D2 F2 U' F2 D L F
D2 F2 U' F2 D' L F
D' F2 U' F2 R2 L F
D2 F2 U' F2 D2 L F
D2 F2 U2 R U L F
D2 F2 U2 R' U L F
D2 F2 U2 R2 U L F
D2 F2 U2 F R U L
D F2 U' D2 L R2 F
D F2 U' D2 L F R2
D F2 U' D2 R2 L F
D2 F2 D U' L D F
D2 F2 D U' L D' F
D2 F2 D U' L D2 F
D2 F2 D U' L F D
D2 F2 D U' L F D'
D2 F2 D U' L F D2
D2 F2 D U' F L F
D2 F2 D U' F' L F
D2 F2 D U' F2 L F
U' F2 D' L R' F R'
U' F2 D' L R2 D F
U' F2 D' L R2 D' F
U' F2 D' L R2 D2 F
U' F2 D' L R2 F D
U' F2 D' L R2 F D'
U' F2 D' L R2 F D2
U' F2 D' L F R2 D
U' F2 D' L F R2 D'
U' F2 D' L F R2 D2
U' F2 D' L F' R2 F2
U' F2 D' R' L F R'
U' F2 D' R2 L D F
U' F2 D' R2 L D' F
U' F2 D' R2 L D2 F
U' F2 D' R2 L F D
U' F2 D' R2 L F D'
U' F2 D' R2 L F D2
U' F2 D' R2 D L F
U' F2 D' R2 D' L F
U' F2 D' R2 D2 L F
U' F2 D' R2 F L F
U' F2 D' R2 F' L F
U' F2 D' R2 F2 L F
U' F2 D' F L R2 F
U' F2 D' F L F R2
U' F2 D' F R2 L F
U' F2 D' F' L R2 F
U' F2 D' F' L F R2
U' F2 D' F' R2 L F
U' F2 D' F2 L R2 F
U' F2 D' F2 L F R2
U' F2 D' F2 R2 L F
D2 F2 D' U' L D F
D2 F2 D' U' L D' F
D2 F2 D' U' L D2 F
D2 F2 D' U' L F D
D2 F2 D' U' L F D'
D2 F2 D' U' L F D2
D2 F2 D' U' F L F
D2 F2 D' U' F' L F
D2 F2 D' U' F2 L F
U' F2 D2 L D R2 F
U' F2 D2 L D F R2
D' F2 D' F2 U' L F
D F2 D F2 U' L F
D2 F2 D2 U' L D F
D2 F2 D2 U' L D' F
D2 F2 D2 U' L D2 F
D2 F2 D2 U' L F D
D2 F2 D2 U' L F D'
D2 F2 D2 U' L F D2
D2 F2 D2 U' F L F
D2 F2 D2 U' F' L F
D2 F2 D2 U' F2 L F
D2 F2 B L B' U' L
D2 F2 B D L B' U'
D F2 D2 U' L R2 F
D F2 D2 U' L F R2
D F2 D2 U' R2 L F
F' D2 U' L D R2 F
F' D2 U' L D F R2
F2 D2 U' L D R2 F
F2 D2 U' L D F R2
D2 B L F2 B' U' L
D2 B L B' F2 U' L
D' B L B' U' L R2
D' B L B' U' R2 L
L2 B L U2 B U L2
F D2 U' L D R2 F
F D2 U' L D F R2
L B L U2 B U L'
F' D2 F2 U' L D F
F' D2 F2 U' L D' F
F' D2 F2 U' L D2 F
F' D2 F2 U' L F D
F' D2 F2 U' L F D'
F' D2 F2 U' L F D2
F' D2 F2 U' D L F
F' D2 F2 U' D' L F
F' D2 F2 U' D2 L F
F' D2 F2 U' F L F
F' D2 F2 U' F' L F
F' D2 F2 U' F2 L F
F' D2 F2 D U' L F
F' D2 F2 D' U' L F
F' D2 F2 D2 U' L F
F2 D2 F2 U' L D F
F2 D2 F2 U' L D' F
F2 D2 F2 U' L D2 F
F2 D2 F2 U' L F D
F2 D2 F2 U' L F D'
F2 D2 F2 U' L F D2
F2 D2 F2 U' D L F
F2 D2 F2 U' D' L F
F2 D2 F2 U' D2 L F
F2 D2 F2 U' F L F
F2 D2 F2 U' F' L F
F2 D2 F2 U' F2 L F
F2 D2 F2 D U' L F
F2 D2 F2 D' U' L F
F2 D2 F2 D2 U' L F
F D2 F2 U' L D F
F D2 F2 U' L D' F
F D2 F2 U' L D2 F
F D2 F2 U' L F D
F D2 F2 U' L F D'
F D2 F2 U' L F D2
F D2 F2 U' D L F
F D2 F2 U' D' L F
F D2 F2 U' D2 L F
F D2 F2 U' F L F
F D2 F2 U' F' L F
F D2 F2 U' F2 L F
F D2 F2 D U' L F
F D2 F2 D' U' L F
F D2 F2 D2 U' L F
D2 B D L B' U' R2
D B D L F2 B' U'
D B D L B' F2 U'
D B D F2 L B' U'
D2 B F2 L B' U' L
D2 B F2 D L B' U'
L' B' U2 R' B' U L2
L2 B' U2 R' B' U L'
L B' U' R' B' U B
U' B2 L U F B2 L
U' B2 L U B2 F L
U2 B2 R2 U' R B U2
U2 B2 U B2 L F B2
U2 B2 U B2 L B2 F
U2 B2 U' R B R2 U2
U2 B2 U' R' U2 D F'
U2 B2 U' R' U2 D' F'
U2 B2 U' R' U2 D2 F'
U2 B2 U' R' U2 F' D
U2 B2 U' R' U2 F' D'
U2 B2 U' R' U2 F' D2
U2 B2 U' R' D U2 F'
U2 B2 U' R' D' U2 F'
U2 B2 U' R' D2 U2 F'
U2 B2 U' R' B U2 F'
U2 B2 U' R' B' U2 F'
U2 B2 U' R' B2 U2 F'
U2 B2 U' D R' U2 F'
U2 B2 U' D' R' U2 F'
U2 B2 U' D2 R' U2 F'
U2 B2 U' B2 U2 L F
U2 B2 D U' R' U2 F'
U2 B2 D' U' R' U2 F'
U2 B2 D2 U' R' U2 F'
U2 B2 F R U D2 L2
U2 B2 F R U' R2 U2
U2 B2 F R D' F2 U
U2 B2 F R D2 U L2
