D2 B2 L R'
D2 B2 R' L
U2 L R' F2 U2
F2 L R' U2 F2
B2 L R' D2 B2
R' L F2 U2 F2
B2 L D2 R' B2
U2 L F2 R' U2
L R' F2 U2 F2
B2 R' L D2 B2
U2 R' L F2 U2
F2 R' L U2 F2
B2 R' D2 L B2
U2 R' F2 L U2
L' D2 B2 L R2
L' D2 B2 R2 L
R D2 B2 L2 R'
R D2 B2 R' L2
R' F2 L U2 F2
U2 F2 L R' U2
L F2 R' U2 F2
U2 F2 R' L U2
B2 D2 L R' B2
B2 D2 R' L B2
D2 B2 L R' D
D2 B2 L R' D'
D2 B2 L R' D2
D2 B2 L D R'
D2 B2 L D' R'
D2 B2 L D2 R'
D2 B2 R' L D
D2 B2 R' L D'
D2 B2 R' L D2
D2 B2 R' D L
D2 B2 R' D' L
D2 B2 R' D2 L
D2 B2 D L R'
D2 B2 D R' L
D2 B2 D' L R'
D2 B2 D' R' L
D2 B2 D2 L R'
D2 B2 D2 R' L
B2 L2 R2 D2 L' B2 R
B2 L2 R2 D2 R L' B2
B2 L2 R2 D2 R B2 L'
B2 L2 R2 D2 B2 L' R
B2 L2 R2 D2 B2 R L'
U2 L2 R2 F2 U2 L' R
U2 L2 R2 F2 U2 R L'
R' L2 F2 L U2 R F2
R' L2 F2 L' U2 R F2
R' L2 F2 L2 U2 R F2
L' R2 F2 L2 U2 L F2
L' R2 F2 L2 U2 F2 L
R' L2 F2 U2 R F2 D
R' L2 F2 U2 R F2 D'
R' L2 F2 U2 R F2 D2
R' L2 F2 U2 R' F2 R2
R' L2 F2 U2 R2 F2 R'
L' R2 F2 U2 L' F2 R
L R2 F2 R U2 L' F2
U' L2 U' L' R' F2 U2
R' L2 F2 D2 B2 U2 R
L R2 F2 R' U2 L' F2
R' L2 F2 B U2 R F2
U' L2 U' L' F2 R' U2
L R2 F2 R2 U2 L' F2
R' L2 F2 B' U2 R F2
L2 R2 F2 U2 L' R F2
R' L2 F2 B2 U2 R F2
L2 R2 F2 U2 R L' F2
R2 L2 F2 U2 L' R F2
U' L2 U' R' L' F2 U2
R2 L2 F2 U2 R L' F2
U' L2 U' R' F2 U2 R
L R2 F2 U2 L F2 L2
R L2 F2 R2 U2 R' F2
R L2 F2 R2 U2 F2 R'
L R2 F2 U2 L' F2 D
L R2 F2 U2 L' F2 D'
L R2 F2 U2 L' F2 D2
L R2 F2 U2 L2 F2 L
R' L2 B L' F2 U2 F2
R L2 F2 U2 R F2 L'
L R2 F2 D2 B2 U2 L'
L R2 F2 B U2 L' F2
L R2 F2 B' U2 L' F2
U' L2 U' F2 R' U2 R2
L R2 F2 B2 U2 L' F2
D2 L2 U2 L' R' U2 B2
D2 L2 U2 L' U2 B2 L
L R2 B R F2 U2 F2
L' R2 B D2 R2 B2 L
D2 L2 U2 R' L' U2 B2
R' L2 B F2 U2 R F2
R' L2 B' L' F2 U2 F2
F2 L2 U2 R2 F2 L' R
F2 L2 U2 R2 F2 R L'
R L2 B D2 L2 B2 R'
L R2 B F2 U2 L' F2
F2 L2 U2 F2 R D2 L2
B2 L2 U2 F2 R U2 R2
L R2 B' R F2 U2 F2
L' R2 B' D2 R2 B2 L
R' L2 B' F2 U2 R F2
B2 L2 D L' D R' B2
R' L2 B2 L' F2 U2 F2
D L2 D L2 B2 L R'
D L2 D L2 B2 R' L
R L2 B' D2 L2 B2 R'
L R2 B' F2 U2 L' F2
L R2 B2 R F2 U2 F2
L' R2 B2 D2 R2 B2 L
D L2 D B2 L D2 R2
R' L2 B2 F2 U2 R F2
B2 L2 D' R' D' L' B2
B2 L2 D' R' D' B2 L'
R L2 B2 D2 L2 B2 R'
L R2 B2 F2 U2 L' F2
B2 L2 D2 L R' B2 L2
B2 L2 D2 L' R B2 R2
B2 L2 D2 L' R' B2 D
B2 L2 D2 L' R' B2 D'
B2 L2 D2 L' R' B2 D2
B2 L2 D2 L' R2 B2 R
F2 L2 D2 L' R' B2 U2
U2 L2 D2 L' R' U2 B2
U2 L2 D2 L' U2 B2 L
F2 L2 D2 L' B2 U2 L
B2 L2 D2 R L' B2 R2
B2 L2 D2 R B2 L' R2
B2 L2 D2 R B2 R2 L'
B2 L2 D2 R' L B2 L2
B2 L2 D2 R' L' B2 D
B2 L2 D2 R' L' B2 D'
B2 L2 D2 R' L' B2 D2
F2 L2 D2 R' L' B2 U2
U2 L2 D2 R' L' U2 B2
B2 L2 D2 R' B L' B
B2 L2 D2 R' B2 L' D
B2 L2 D2 R' B2 L' D'
B2 L2 D2 R' B2 L' D2
B2 L2 D2 R' B2 D L'
B2 L2 D2 R' B2 D' L'
B2 L2 D2 R' B2 D2 L'
F2 L2 D2 R' B2 L' U2
B2 L2 D2 R2 L' B2 R
B2 L2 D2 R2 B2 L' R
B2 L2 D2 R2 B2 R L'
B2 L2 D2 B2 L' D2 R2
F2 L2 D2 B2 L' U2 L2
U2 L2 F R' F U2 R
U2 L2 F2 L R' U2 R2
U2 L2 F2 L' R' U2 R2
U2 L2 F2 L2 R' U2 R2
B2 L2 F2 R U2 R2 F2
B2 L2 F2 R U2 F2 R2
F2 L2 F2 R D2 L2 B2
F2 L2 F2 R D2 B2 L2
U2 L2 F2 R' L U2 R2
U2 L2 F2 R' L' U2 R2
U2 L2 F2 R' L2 U2 R2
U2 L2 F2 R' U2 R2 D
U2 L2 F2 R' U2 R2 D'
U2 L2 F2 R' U2 R2 D2
U2 L2 F2 R' D2 L2 U2
U2 L2 F2 U2 R D2 L2
B2 L2 F2 U2 F2 L' R'
B2 L2 F2 U2 F2 R' L'
D2 L2 F2 B2 L R F2
U2 L2 F2 D R' U2 R2
D2 L2 F2 B2 R L F2
D2 L2 F2 B2 R F2 L
U2 L2 F2 D' R' U2 R2
U2 L2 F2 D2 R' U2 R2
F2 L2 F2 D2 B2 L R
F2 L2 F2 D2 B2 R L
B L2 B L R' D2 B2
B L2 B L D2 R' B2
B L2 B R' L D2 B2
B L2 B R' D2 L B2
B' L2 B D2 B2 L R'
B' L2 B D2 B2 R' L
B' L2 B' L R' D2 B2
B' L2 B' L D2 R' B2
B L2 B D2 L R' B2
B L2 B D2 R' L B2
B' L2 B' R' L D2 B2
B' L2 B' R' D2 L B2
B' L2 B' D2 L R' B2
B' L2 B' D2 R' L B2
L' U D R2 F2 U' L'
D2 L2 B2 L R D2 R2
D2 L2 B2 L R' D2 R2
D2 L2 B2 L R2 D2 R2
D2 L2 B2 L U2 L2 U2
D2 L2 B2 L D2 R2 D
D2 L2 B2 L D2 R2 D'
D2 L2 B2 L D2 R2 D2
D2 L2 B2 R L D2 R2
D2 L2 B2 R' L D2 R2
B L2 B' D2 B2 L R'
B L2 B' D2 B2 R' L
D2 L2 B2 R2 L D2 R2
B2 L2 B2 L' D2 R2 B2
B2 L2 B2 L' D2 B2 R2
F2 L2 B2 L' U2 L2 F2
F2 L2 B2 L' U2 F2 L2
D2 L2 B2 U2 L' U2 L2
D2 L2 B2 D L D2 R2
D2 L2 B2 D' L D2 R2
R U D R2 B2 U' R'
D2 L2 B2 D2 L D2 R2
F2 L2 B2 U2 F2 L R
F2 L2 B2 U2 F2 R L
D2 L2 B2 F2 L R F2
D2 L2 B2 F2 R L F2
D2 L2 B2 F2 R F2 L
R U D B2 R2 U' R
B2 L2 B2 D2 B2 L' R'
B2 L2 B2 D2 B2 R' L'
B2 R L U2 F2 U2 R2
F2 R L U2 F2 D2 L2
U2 R L U2 D2 L2 B2
U2 R L U2 D2 B2 L2
B2 R L D2 B2 D2 R2
U2 R L D2 U2 L2 B2
U2 R L D2 U2 B2 L2
F2 R L D2 B2 U2 L2
U2 R L F R2 F U2
B2 R L F' R2 F B
B2 R L F' R2 B F
U2 R L F' R2 U2 B
U2 R L F2 R2 U2 D
U2 R L F2 R2 U2 D'
U2 R L F2 R2 U2 D2
U2 R L F2 R2 D U2
U2 R L F2 R2 D' U2
U2 R L F2 R2 D2 U2
U2 R L F2 U2 D2 L2
B2 R L B R2 D2 B2
U2 R L F2 D2 U2 L2
F2 R L B R2 U2 F2
B2 R L B' R2 D2 B2
F2 R L B' R2 U2 F2
B2 R L B2 R2 D2 B2
F2 R L B2 R2 U2 F2
D2 R L' B2 D2 L2 R2
D2 R L' B2 D2 R2 L2
U2 R L' F2 L2 R2 U2
U2 R L' F2 R2 L2 U2
U2 R L2 F2 R2 U2 R'
U R U L R2 F2 U2
U R U L F2 R2 U2
U R U R2 L F2 U2
U R U R2 F2 L U2
U R U F2 L R2 U2
U R U F2 R2 L U2
D2 R U2 L R2 U2 B2
D2 R U2 R2 L U2 B2
D2 R U2 R2 U2 B2 R'
U R U' D2 B2 L2 R'
U R U' D2 B2 R' L2
U2 R U2 D2 B2 L2 R'
U2 R U2 D2 B2 R' L2
B2 R U2 F2 U2 L R2
B2 R U2 F2 U2 R2 L
U R D R2 B2 U' R'
U R D B2 R2 U' R
D' R D' B2 R' D' L2
D' R D' B2 D' L2 R'
D' R D' B2 D' R' L2
B2 R D2 L R B2 R'
B2 R D2 L R' B2 R'
B2 R D2 L R2 B2 R'
B2 R D2 L B2 R' D
B2 R D2 L B2 R' D'
B2 R D2 L B2 R' D2
B2 R D2 L B2 D R'
B2 R D2 L B2 D' R'
B2 R D2 L B2 D2 R'
U2 R D2 L U2 L B2
F2 R D2 L B2 R' U2
B2 R D2 R L B2 R'
B2 R D2 R' L B2 R'
B2 R D2 R2 L B2 R'
U2 R D2 U2 B2 L2 R'
U2 R D2 U2 B2 R' L2
F2 R D2 B2 U2 L2 R'
F2 R D2 B2 U2 R' L2
U R D2 U' B2 L2 R'
U R D2 U' B2 R' L2
U2 R F R2 F L U2
U2 R F' L R2 U2 B
U2 R F' L F' R2 U2
B2 R F' R2 F L B
U2 R F' R2 L U2 B
U2 R F2 L R2 U2 D
U2 R F2 L R2 U2 D'
U2 R F2 L R2 U2 D2
U2 R F2 L R2 D U2
U2 R F2 L R2 D' U2
U2 R F2 L R2 D2 U2
U2 R F2 L U2 D2 L2
U2 R F2 L D2 U2 L2
U2 R F2 R2 L U2 D
U2 R F2 R2 L U2 D'
U2 R F2 R2 L U2 D2
U2 R F2 R2 L D U2
U2 R F2 R2 L D' U2
U2 R F2 R2 L D2 U2
U2 R F2 R2 D L U2
U2 R F2 R2 D' L U2
U2 R F2 R2 D2 L U2
B2 R F2 U2 L R2 F2
B2 R F2 U2 L F2 R2
B2 R F2 U2 R2 L F2
B2 R F2 U2 R2 F2 L
B2 R F2 U2 F2 L R2
B2 R F2 U2 F2 R2 L
U2 R F2 D2 L U2 L
F2 R F2 D2 B2 L2 R'
F2 R F2 D2 B2 R' L2
B R B L R' D2 B2
B R B L D2 R' B2
B R B R' L D2 B2
B R B R' D2 L B2
B' R B D2 B2 L R'
B' R B D2 B2 R' L
B' R B' L R' D2 B2
B' R B' L D2 R' B2
B R B D2 L R' B2
B' R B' R' L D2 B2
B R B D2 R' L B2
B' R B' R' D2 L B2
D2 R B' D2 B' L2 R'
D2 R B' D2 B' R' L2
B' R B' D2 L R' B2
B' R B' D2 R' L B2
D2 R B2 L D2 L2 R'
D2 R B2 L D2 R' L2
D2 R B2 L' D2 L2 R'
D2 R B2 L' D2 R' L2
D2 R B2 L2 D2 L2 R'
D2 R B2 L2 D2 R' L2
D2 R B2 R' U2 R' U2
D' R B2 R' D' B2 L
D2 R B2 R' B2 L B2
B R B' D2 B2 L R'
B R B' D2 B2 R' L
L' U' D' L2 B2 U L
D2 R B2 U2 R2 U2 R
D2 R B2 D R' D L2
D2 R B2 D' R' D' L2
F2 R B2 R2 U2 R F2
D2 R B2 D2 L2 R' D
D2 R B2 D2 L2 R' D'
D2 R B2 D2 L2 R' D2
D2 R B2 D2 L2 D R'
D2 R B2 D2 L2 D' R'
D2 R B2 D2 L2 D2 R'
D2 R B2 D2 R' L2 D
D2 R B2 D2 R' L2 D'
D2 R B2 D2 R' L2 D2
D R B2 R' D B2 L
L' U' D' B2 L2 U L'
D2 R' L U2 B2 D2 F2
B2 R' L U D R2 U'
D2 R' L D2 F2 U2 F2
B2 R' L U' D' L2 U
F2 R' L U R U F2
F2 R' L U R' U F2
F2 R' L U R2 U F2
F2 R' L U D R2 U
R U' D' L2 F2 U R
D2 R' L F U2 F' B2
D2 R' L F U2 B2 F'
U2 R' L U D' L2 U
F2 R' L U' L U' F2
F2 R' L U' L' U' F2
F2 R' L U' L2 U' F2
F2 R' L U' D' L2 U'
B2 R' L U2 F2 U2 D
B2 R' L U2 F2 U2 D'
B2 R' L U2 F2 U2 D2
B2 R' L U2 F2 D U2
B2 R' L U2 F2 D' U2
B2 R' L U2 F2 D2 U2
D2 R' L F' U2 F B2
D2 R' L F' U2 B2 F
U2 R' L U' D R2 U'
F2 R' L U2 L' F2 L
F2 R' L U2 L2 F2 L2
B2 R' L D U R2 U'
F2 R' L U2 R F2 R'
F2 R' L U2 R2 F2 R2
B2 R' L D B D B2
F2 R' L U2 F D F
F2 R' L U2 F D' F
F2 R' L U2 F D2 F
B2 R' L D B' D B2
F2 R' L U2 F' D F'
B2 R' L D B2 D B2
F2 R' L U2 F' D' F'
F2 R' L U2 F' D2 F'
D2 R' L F2 U2 F2 B2
D2 R' L F2 U2 B2 F2
U2 R' L U2 D2 B2 D
U2 R' L U2 D2 B2 D'
U2 R' L U2 D2 B2 D2
B2 R' L D' U' L2 U
U2 R' L U2 B D2 B2
U2 R' L U2 B' D2 B2
F2 R' L D U R2 U
U2 R' L U2 B2 D2 B2
B2 R' L D' B D' B2
B2 R' L D' B' D' B2
B2 R' L D' B2 D' B2
B2 R' L D2 L B2 L'
B2 R' L D2 L2 B2 L2
U2 R' L D U' R2 U'
B2 R' L D2 R' B2 R
B2 R' L D2 R2 B2 R2
F2 R' L D' U' L2 U'
B2 R' L D2 B D B
B2 R' L D2 B D' B
B2 R' L D2 B D2 B
B2 R' L D2 B' D B'
B2 R' L D2 B' D' B'
B2 R' L D2 B' D2 B'
U' R' L F2 U' L' U'
U2 R' L D' U L2 U
F2 R' L D2 B2 U2 D
F2 R' L D2 B2 U2 D'
F2 R' L D2 B2 U2 D2
F2 R' L D2 B2 D U2
F2 R' L D2 B2 D' U2
F2 R' L D2 B2 D2 U2
U2 R' L D2 U2 B2 D
U2 R' L D2 U2 B2 D'
U2 R' L D2 U2 B2 D2
U2 R' L D2 F U2 B2
U2 R' L D2 F' U2 B2
U2 R' L D2 F2 U2 B2
U2 R' L F D F U2
U2 R' L F D' F U2
U2 R' L F D2 F U2
U2 R' L F' D F' U2
B2 R' L B U2 F2 U2
U2 R' L F' D' F' U2
U2 R' L F' D2 F' U2
B2 R' L B D2 B2 D
B2 R' L B D2 B2 D'
B2 R' L B D2 B2 D2
B2 R' L B' U2 F2 U2
B2 R' L B' D2 B2 D
B2 R' L B' D2 B2 D'
B2 R' L B' D2 B2 D2
F2 R' L B U2 F2 D
F2 R' L B U2 F2 D'
F2 R' L B U2 F2 D2
F2 R' L B D2 B2 U2
B2 R' L B2 U2 F2 U2
B2 R' L B2 D2 B2 D
B2 R' L B2 D2 B2 D'
B2 R' L B2 D2 B2 D2
F2 R' L B' U2 F2 D
F2 R' L B' U2 F2 D'
F2 R' L B' U2 F2 D2
F2 R' L B' D2 B2 U2
F2 R' L B2 U2 F2 D
F2 R' L B2 U2 F2 D'
F2 R' L B2 U2 F2 D2
F2 R' L B2 D2 B2 U2
B2 R' L' U2 F2 U2 L2
F2 R' L' U2 F2 D2 R2
U2 R' L' U2 D2 R2 B2
U2 R' L' U2 D2 B2 R2
B2 R' L' D2 B2 D2 L2
B2 R' L' F L2 F' B'
B2 R' L' F L2 B' F'
U R' L F2 U R U
F2 R' L' D2 B2 U2 R2
U2 R' L' D2 U2 R2 B2
U2 R' L' D2 U2 B2 R2
U2 R' L' F L2 U2 B'
U2 R' L' F' L2 F' U2
B2 R' L' B L2 D2 B2
U2 R' L' F2 L2 U2 D
U2 R' L' F2 L2 U2 D'
U2 R' L' F2 L2 U2 D2
U2 R' L' F2 L2 D U2
U2 R' L' F2 L2 D' U2
U2 R' L' F2 L2 D2 U2
B2 R' L' B' L2 D2 B2
F2 R' L' B L2 U2 F2
U2 R' L' F2 U2 D2 R2
U2 R' L' F2 D2 U2 R2
B2 R' L' B2 L2 D2 B2
F2 R' L' B' L2 U2 F2
F2 R' L' B2 L2 U2 F2
B2 R' L2 U2 F2 R U2
B2 R' L2 D L' D B2
F2 R' L2 U2 R F2 R
F2 R' L2 U2 R' F2 R
F2 R' L2 U2 R2 F2 R
F2 R' L2 U2 F2 R D
F2 R' L2 U2 F2 R D'
F2 R' L2 U2 F2 R D2
F2 R' L2 U2 F2 D R
F2 R' L2 U2 F2 D' R
F2 R' L2 U2 F2 D2 R
B2 R' L2 D2 L B2 L2
B2 R' L2 D2 L' B2 D
B2 R' L2 D2 L' B2 D'
B2 R' L2 D2 L' B2 D2
B2 R' L2 D2 B L' B
B2 R' L2 D2 B2 L' D
B2 R' L2 D2 B2 L' D'
B2 R' L2 D2 B2 L' D2
B2 R' L2 D2 B2 D L'
B2 R' L2 D2 B2 D' L'
B2 R' L2 D2 B2 D2 L'
F2 R' L2 D2 L' B2 U2
U2 R' L2 D2 L' U2 B2
F2 R' L2 D2 B2 L' U2
B2 R' L2 B L' D2 B2
B2 R' L2 B D2 L' B2
B2 R' L2 B D2 B2 L'
U2 R' L2 F2 L U2 R
U2 R' L2 F2 L' U2 R
U2 R' L2 F2 L2 U2 R
B2 R' L2 B' L' D2 B2
F2 R' L2 B L' U2 F2
U2 R' L2 F2 U2 R D
U2 R' L2 F2 U2 R D'
U2 R' L2 F2 U2 R D2
U2 R' L2 F2 U2 D R
U2 R' L2 F2 U2 D' R
U2 R' L2 F2 U2 D2 R
U2 R' L2 F2 D U2 R
U2 R' L2 F2 D' U2 R
U2 R' L2 F2 D2 U2 R
B2 R' L2 B' D2 L' B2
B2 R' L2 B' D2 B2 L'
F2 R' L2 B U2 F2 R
B2 R' L2 B2 L' D2 B2
F2 R' L2 B' L' U2 F2
B2 R' L2 B2 D2 L' B2
B2 R' L2 B2 D2 B2 L'
F2 R' L2 B' U2 F2 R
F2 R' L2 B2 L' U2 F2
F2 R' L2 B2 U2 F2 R
B2 R' U D R2 U' L
F2 R' U B2 U R' F2
F2 R' U B2 U F2 R'
F2 R' U' L2 U' F2 R
B2 R' U' D' L2 U L'
D2 R' U2 L U2 L' B2
D2 R' U2 L U2 B2 L'
B2 R' U2 R F2 U2 L
F2 R' U2 L2 F2 L2 R
F2 R' U2 L2 F2 R L2
B2 R' U2 R' F2 U2 L
U2 R' U2 R D2 B2 R'
B2 R' U2 R2 F2 U2 L
U2 R' U2 R' D2 B2 R'
F' R' U2 F B2 R' B
U2 R' U2 R2 D2 B2 R'
D2 R' U2 B2 R' D2 F2
D2 R' U2 B2 D2 R' F2
D2 R' U2 B2 D2 F2 R'
U2 R' U2 D2 R B2 R'
U2 R' U2 D2 R' B2 R'
U2 R' U2 D2 R2 B2 R'
U2 R' U2 D2 B2 R' D
U2 R' U2 D2 B2 R' D'
U2 R' U2 D2 B2 R' D2
U2 R' U2 D2 B2 D R'
U2 R' U2 D2 B2 D' R'
U2 R' U2 D2 B2 D2 R'
B2 R' U2 F2 R U2 L
B2 R' U2 F2 R' U2 L
D' R' D L F2 U2 F2
B2 R' U2 F2 R2 U2 L
B2 R' U2 F2 U2 L D
B2 R' U2 F2 U2 L D'
B2 R' U2 F2 U2 L D2
B2 R' U2 F2 U2 D L
B2 R' U2 F2 U2 D' L
B2 R' U2 F2 U2 D2 L
B2 R' U2 F2 D U2 L
F' R' U2 B2 R' F B
B2 R' U2 F2 D' U2 L
F' R' U2 B2 R' B F
B2 R' U2 F2 D2 U2 L
F' R' U2 B2 F R' B
F2 R' U2 F2 U2 L U2
F2 R' U2 F2 B2 R' B2
B2 R' D L U R2 U'
B2 R' D L D B2 D
B2 R' D L D B2 D'
B2 R' D L D B2 D2
F2 R' U2 B2 R' F2 B2
F2 R' U2 B2 R' B2 F2
B2 R' D L B D B2
U2 R' U2 B2 R' D2 B2
B2 R' D L B' D B2
B2 R' D L B2 D B2
F2 R' U2 B2 F2 R' B2
F2 R' D L U R2 U
U2 R' U2 B2 D2 R' B2
F2 R' D L U2 D' F2
F2 R' D L D B2 U2
F2 R' D L D' U2 F2
U2 R' D L U' R2 U'
U2 R' D L U2 D B2
U2 R' D L D U2 B2
U2 R' D L D' F2 U2
B2 R' D L2 D L' B2
B2 R' D L2 D B2 L'
D' R' D F2 L U2 F2
B2 R' D U R2 U' L
D' R' D' R B2 L R'
D' R' D' R B2 R' L
B2 R' D B2 D B2 L
B2 R' D' L U' L U
R' U2 L R F2 R U2
F2 R' D' L U' L U'
U2 R' D' L U L U
R' U2 L R' F2 R U2
R' U2 L R2 F2 R U2
L' U2 L R' F2 L U2
R' U2 L U2 L' D2 B2
R' U2 L U2 D2 L' B2
R' U2 L U2 D2 B2 L'
B2 R' D' U' L2 U L'
R' U2 L D2 U2 L' B2
R' U2 L D2 U2 B2 L'
L2 U2 L R' F2 L2 U2
D2 R' D2 L F2 U2 F2
R' U2 L F2 R U2 D
R' U2 L F2 R U2 D'
R' U2 L F2 R U2 D2
R' U2 L F2 R D U2
R' U2 L F2 R D' U2
R' U2 L F2 R D2 U2
R' U2 L F2 D R U2
R2 U2 L R U2 D2 B2
R' U2 L F2 D' R U2
R' U2 L F2 D2 R U2
R2 U2 L R D2 U2 B2
R2 U2 L R F2 U2 D
R2 U2 L R F2 U2 D'
R2 U2 L R F2 U2 D2
R2 U2 L R F2 D U2
R2 U2 L R F2 D' U2
R2 U2 L R F2 D2 U2
R2 U2 L R' F2 R2 U2
L' U2 L F2 L R' U2
L' U2 L F2 R' L U2
R2 U2 L R2 F2 R' U2
B2 R' D' B2 D' B2 L
B2 R' D2 L R' B2 R
B2 R' D2 L R2 B2 R2
B2 R' D2 L B D B
B2 R' D2 L B D' B
B2 R' D2 L B D2 B
B2 R' D2 L B' D B'
B2 R' D2 L B' D' B'
B2 R' D2 L B' D2 B'
F2 R' D2 L U2 D2 F2
F2 R' D2 L D2 U2 F2
B2 R' D2 L' B L2 B
U2 R' D2 L U2 B2 D
U2 R' D2 L U2 B2 D'
U2 R' D2 L U2 B2 D2
B2 R' D2 L' B2 L2 D
B2 R' D2 L' B2 L2 D'
B2 R' D2 L' B2 L2 D2
U2 R' D2 L D2 F2 U2
U2 R' D2 L F U2 B2
F2 R' D2 L B2 U2 D
F2 R' D2 L B2 U2 D'
F2 R' D2 L B2 U2 D2
F2 R' D2 L B2 D U2
F2 R' D2 L B2 D' U2
F2 R' D2 L B2 D2 U2
U2 R' D2 L F' U2 B2
L U2 L R' F2 L' U2
U2 R' D2 L F2 U2 B2
B2 R' D2 L2 B L' B
B2 R' D2 L2 B2 L' D
B2 R' D2 L2 B2 L' D'
B2 R' D2 L2 B2 L' D2
B2 R' D2 L2 B2 D L'
B2 R' D2 L2 B2 D' L'
B2 R' D2 L2 B2 D2 L'
F2 R' D2 L' B2 L2 U2
R U2 L R F2 U2 L'
R U2 L R' F2 R' U2
B2 R' D2 R' L B2 R
F2 R' D2 L2 B2 L' U2
R U2 L R2 U2 D2 B2
L' U2 L' R' F2 U2 R
R U2 L R2 D2 U2 B2
R U2 L R2 F2 U2 D
R U2 L R2 F2 U2 D'
R U2 L R2 F2 U2 D2
L2 U2 L F2 L2 R' U2
R U2 L R2 F2 D U2
R U2 L R2 F2 D' U2
R U2 L R2 F2 D2 U2
R2 U2 L D2 R U2 B2
L2 U2 L F2 R' L2 U2
D2 R' D2 F2 L U2 F2
B2 R' D2 R2 L B2 R2
R U2 L U2 D2 L2 B2
R U2 L U2 D2 B2 L2
R2 U2 L F2 R U2 L'
R2 U2 L F2 R' U2 L'
R2 U2 L F2 R2 U2 L'
R2 U2 L F2 U2 L' D
R2 U2 L F2 U2 L' D'
R2 U2 L F2 U2 L' D2
R2 U2 L F2 U2 D L'
R2 U2 L F2 U2 D' L'
R2 U2 L F2 U2 D2 L'
R2 U2 L F2 D U2 L'
R2 U2 L F2 D' U2 L'
R2 U2 L F2 D2 U2 L'
B2 R' D2 F L F' B2
B2 R' D2 F L B2 F'
L2 U2 L' R F2 R2 U2
D2 R' F L U2 F' B2
D2 R' F L U2 B2 F'
U2 R' D2 U2 R B2 R'
U2 R' D2 U2 R' B2 R'
U2 R' D2 U2 R2 B2 R'
L2 U2 L' R' U2 D2 B2
L2 U2 L' R' D2 U2 B2
U2 R' D2 U2 B2 R' D
U2 R' D2 U2 B2 R' D'
U2 R' D2 U2 B2 R' D2
U2 R' D2 U2 B2 D R'
U2 R' D2 U2 B2 D' R'
U2 R' D2 U2 B2 D2 R'
L2 U2 L' R' F2 U2 D
L2 U2 L' R' F2 U2 D'
L2 U2 L' R' F2 U2 D2
L2 U2 L' R' F2 D U2
L2 U2 L' R' F2 D' U2
L2 U2 L' R' F2 D2 U2
U2 R' D2 F L U2 B2
B2 R' D2 F2 L F2 B2
B2 R' D2 F2 L B2 F2
R U2 L D2 U2 L2 B2
U2 R' D2 F U2 B2 R'
R U2 L D2 U2 B2 L2
L2 U2 L' R2 F2 U2 L'
U2 R' D2 F' L U2 B2
R' U2 L' F2 L2 U2 L'
R U2 L F R2 F U2
U2 R' D2 F' U2 B2 R'
L U2 L F2 R' U2 R
U2 R' D2 F2 L U2 B2
R2 U2 L' R F2 L2 U2
R U2 L F' R2 U2 B
U2 R' D2 F2 U2 B2 R'
R U2 L F2 R2 U2 D
R U2 L F2 R2 U2 D'
R U2 L F2 R2 U2 D2
R U2 L F2 R2 U2 D
R U2 L F2 R2 U2 D'
R U2 L F2 R2 U2 D2
R U2 L F2 R2 D U2
R U2 L F2 R2 D' U2
R U2 L F2 R2 D2 U2
L2 U2 L' U2 D2 B2 L
L' U2 L' F2 R' U2 R2
R U2 L F2 U2 D2 L2
B2 R' D2 B2 U2 R' U2
R U2 L F2 D2 U2 L2
F2 R' D2 B2 L U2 R'
F2 R' D2 B2 L' U2 R'
F2 R' D2 B2 L2 U2 R'
F2 R' D2 B2 U2 R' D
F2 R' D2 B2 U2 R' D'
F2 R' D2 B2 U2 R' D2
F2 R' D2 B2 U2 D R'
F2 R' D2 B2 U2 D' R'
F2 R' D2 B2 U2 D2 R'
F2 R' D2 B2 D U2 R'
F2 R' D2 B2 D' U2 R'
F2 R' D2 B2 D2 U2 R'
L2 U2 L' D2 R' U2 B2
L2 U2 L' D2 U2 B2 L
L U2 L' R' F2 L' U2
B2 R' F L2 B' L' F'
F R' D2 F L B' U2
L2 U2 L' F R' F U2
D2 R' F U2 F' B2 R'
D2 R' F U2 B2 F' R'
L' U2 L2 R F2 R2 U2
L' U2 L2 R' U2 D2 B2
L' U2 L2 R' D2 U2 B2
L' U2 L2 R' F2 U2 D
L' U2 L2 R' F2 U2 D'
L' U2 L2 R' F2 U2 D2
L' U2 L2 R' F2 D U2
L' U2 L2 R' F2 D' U2
L' U2 L2 R' F2 D2 U2
L2 U2 L' F2 R' U2 D
L2 U2 L' F2 R' U2 D'
L2 U2 L' F2 R' U2 D2
R U2 L' R2 F2 L2 U2
L2 U2 L' F2 R' D U2
L2 U2 L' F2 R' D' U2
L2 U2 L' F2 R' D2 U2
L' U2 L2 R2 F2 U2 L'
L2 U2 L' F2 D R' U2
L2 U2 L' F2 D' R' U2
L2 U2 L' F2 D2 R' U2
R2 U2 L' F2 L2 U2 L
L' U2 L2 U2 D2 B2 L
L2 U2 L2 R' F2 L U2
L' U2 L2 D2 R' U2 B2
L' U2 L2 D2 U2 B2 L
U2 R' F D F L U2
R' U2 L2 F2 U2 L2 R
R' U2 L2 F2 U2 R L2
L' U2 L2 F R' F U2
L U2 L' F2 R' U2 R
U2 R' F D' F L U2
R2 U2 L2 R F2 U2 R
