D' L U2 R B'
D' L U2 B' R
D' L2 U2 R B
U2 R2 D R' B
U2 D R' B R2
D U2 R' B R2
D' F2 L' F U2
D' U2 B L B' L' R
D' U2 B L B' R L'
D' U2 B R L B' L'
U' D2 B R' B' U' R2
D2 U2 B R U R2 U'
D2 U2 B R D B2 D
D2 U2 B R D B2 D'
D2 U2 B R D B2 D2
D' U2 B R2 D2 R' B
D2 U2 B R B D B2
D2 U2 B R B' D B2
D2 U2 B R B2 D B2
L2 D2 F2 D L' F U2
D2 U2 B U R' U' R2
D U2 F2 R' F2 B R
D U2 F2 R' B F2 R
D U2 F2 R2 F2 R B
D2 U2 B D R D B2
D' U2 B D2 R' B R2
F' U2 R' D B' R' B'
D2 U2 B D' R D B2
D2 U2 B D2 R D B2
U2 D2 B R U R2 U'
D' U2 B' L R B' L'
U2 D2 B R D B2 D
U2 D2 B R D B2 D'
U2 D2 B R D B2 D2
U2 D2 B R B D B2
U2 D2 B R B' D B2
U2 D2 B R B2 D B2
D' U2 B' L B' L' R
D' U2 B' L B' R L'
F' U2 R' B D B2 R'
U2 D2 B U R' U' R2
D' U2 B' R L B' L'
F' U2 R' B' D R' B2
D2 U2 B' R U' L U
D' U2 B' R2 D2 R' B
U2 D2 B D R D B2
U2 D2 B D' R D B2
L D2 F2 D L' F U2
F' U2 R2 U R' F' U'
U2 D2 B D2 R D B2
D U2 B R U2 F' U2
B' U2 R2 D F' R' B
D2 U2 B' U' L U R
D U2 B R' B R2 D
D U2 B R' B R2 D'
D U2 B R' B R2 D2
D U2 B R' B' R2 B2
D U2 B R' B2 R2 B'
D' U2 B' D2 R' B R2
B' U2 R2 F' R' D B2
U2 D2 B' R U' L U
D' U2 B2 L R B' L'
D' U2 B2 L B' L' R
D' U2 B2 L B' R L'
U D2 B U R D B2
D' U2 B2 R L B' L'
F' U2 R2 B' D' R' B
U2 D2 B' U' L U R
U D2 B U2 R' U' R2
D' U2 B2 R2 D2 R' B
D U2 B' R U2 F' U2
D U2 B' R' B R2 D
D U2 B' R' B R2 D'
D U2 B' R' B R2 D2
D U2 B' R' B' R2 B2
D U2 B' R' B2 R2 B'
U D2 B' L U R D
U D2 B' L U R D'
U D2 B' L U R D2
U D2 B' L U D R
U D2 B' L U D' R
U D2 B' L U D2 R
U D2 B' L D U R
U D2 B' L D' U R
U D2 B' L D2 U R
D' U2 B2 D2 R' B R2
U D2 B' L B U R
U D2 B' L B' U R
U D2 B' L B2 U R
F' U2 D B' R' D B2
U D2 B' D L U R
U D2 B' D' L U R
U D2 B' D2 L U R
D U2 B2 R U2 F' U2
D U2 B2 R' B R2 D
D U2 B2 R' B R2 D'
D U2 B2 R' B R2 D2
D U2 B2 R' B' R2 B2
D U2 B2 R' B2 R2 B'
D' F L F' U2 R B'
D' F L F' U2 B' R
U D2 B2 L U R B
D' F L F2 U2 B' R'
U D2 B2 L' U R B
F' U2 D' B' R' D B2
U D2 B2 L2 U R B
U D2 B2 U R D B
U D2 B2 U R D' B
U D2 B2 U R D2 B
U D2 B2 U R B D
U D2 B2 U R B D'
U D2 B2 U R B D2
U D2 B2 U D R B
U D2 B2 U D' R B
U D2 B2 U D2 R B
U D2 B2 U B R B
U D2 B2 U B' R B
U D2 B2 U B2 R B
U D2 B2 D U R B
U D2 B2 D' U R B
U D2 B2 D2 U R B
D' F L' F L' U2 D
D' F L' F L' U2 D'
D' F L' F L' U2 D2
D' F L' F L' D U2
D' F L' F L' D' U2
D' F L' F L' D2 U2
D' F L' F D L' U2
D' F L' F D' L' U2
D' F L' F D2 L' U2
F' U2 D2 B' R' D B2
U2 F L' U L F' R
U2 F L' U F' L R
U2 F L' U F' R L
U F L F' L2 U R
D' F L2 F L' U2 B'
D' F L2 F' U2 R B
U F L' F' U R D
U F L' F' U R D'
U F L' F' U R D2
U F L' F' U D R
U F L' F' U D' R
U F L' F' U D2 R
U F L' F' D U R
U F L' F' D' U R
U F L' F' D2 U R
U F L' F' B U R
U F L' F' B' U R
U F L' F' B2 U R
U F L' B F' U R
U F L' B' F' U R
U F L' B2 F' U R
U F L2 F' L U R
D F R F' R' U2 R2
F' U2 B R' D B2 R'
F' U2 B' R' U R2 U'
F' U2 B' R' D B2 D
F' U2 B' R' D B2 D'
F' U2 B' R' D B2 D2
F' U2 B' R' B D B2
F' U2 B' R' B' D B2
F' U2 B' R' B2 D B2
F' U2 B' U R U' R2
R F R' U L' U R
R2 F R2 U L' U R
F' U2 B' D R' D B2
F' U2 B' D' R' D B2
F' U2 B' D2 R' D B2
U2 F U' L' U F' R
D' F U2 D2 R' B R'
D' F U2 D2 B R' B
F2 D L' U L' U B'
F2 D L' U' R U' B
U' F D F2 R F' U'
F2 D L' F U' R U'
D F U2 R' D2 B R'
F2 D L' F' U L' U
D' F D2 U2 R' B R'
D' F D2 U2 B R' B
U F B L' F' U R
U F B' L' F' U R
F' D U' R U2 B U
D' F' L U2 R B' R'
D' F' L U2 R' B' R'
D' F' L U2 R2 B' R'
D' F' L U2 D B' R'
D' F' L U2 D' B' R'
D' F' L U2 D2 B' R'
F' D U' R' F' R2 U'
D' F' L U2 B' R' D
D' F' L U2 B' R' D'
D' F' L U2 B' R' D2
D' F' L U2 B' D R'
D' F' L U2 B' D' R'
D' F' L U2 B' D2 R'
D' F' L D U2 B' R'
D' F' L D' U2 B' R'
D' F' L D2 U2 B' R'
D' F' L F U2 R B'
D' F' L F U2 B' R
U F B2 L' F' U R
D' F' L' D F U2 R
D' F' L' D' F U2 R
D' F' L' D2 F U2 R
D' F' L' F L U2 R
F' D U2 B' R' D B2
D' F' L' F L' U2 R
D' F' L' F L2 U2 R
D' F' L' F U2 R D
D' F' L' F U2 R D'
D' F' L' F U2 R D2
D' F' L' F U2 D R
D' F' L' F U2 D' R
D' F' L' F U2 D2 R
D' F' L' F D U2 R
D' F' L' F D' U2 R
D' F' L' F D2 U2 R
D' F' L' F' L' F2 U2
D F' L U2 B' R' B
F D U' F2 R F' U'
D' F' L2 F U2 R B
D' F' L2 F' L' U2 B'
D F' L' U2 B' R' B
U' F' R U2 B' U R'
U' F' R D F U' R
U' F' R D' F U' R
U' F' R D2 F U' R
U' F' R F U' R D
U' F' R F U' R D'
U' F' R F U' R D2
U' F' R F U' D R
U' F' R F U' D' R
U' F' R F U' D2 R
U' F' R F D U' R
U' F' R F D' U' R
U' F' R F D2 U' R
U' F' R F' U L' U2
D F' L2 U2 B' R' B
U' F' R' F R2 U' R'
B' D B U2 R' B R2
D F' R F' L' R' U2
D F' R F' R' L' U2
U2 F' R' D F R B2
U2 F' R' D F B2 R
U2 F' R' D B2 F R
U' F' R2 F R' U' R2
U2 F' R' F D R B2
U2 F' R' F D B2 R
F D F2 U' R F' U'
D2 F' U L' B' L U
U2 F' R2 F R D B2
R2 F' R2 U' R' U' R2
R F' R' U' R2 U' R'
R2 F' R2 U2 R D B2
R F' R' U2 D R B2
R F' R' U2 D B2 R
R F' R' D U2 R B2
R F' R' D U2 B2 R
R F' R' D' F2 L' U2
U2 F' U R U' F R
R' F' U' R B U' R
L' F' U' R U2 B U
B D B' U2 R' B R2
L' F' U' R' F' R2 U'
L2 F' U' R U2 B U
D' F' U2 L B' L' R'
D' F' U2 L B' R' L'
L2 F' U' R' F' R2 U'
B' D' L B U2 R B2
B' D' L B U2 B2 R
D2 F' U2 D' B' R' B
D' F' U2 D2 B' R' B
D F' U' R' F' U' B
D' F' U2 B' D2 R' B
U' F' D R F U' R
D2 F' D L U2 B' R'
L' F' U2 B' R' D B2
D2 F' D L' F U2 R
L F' U' R U2 B U
F2 D' L' U L' U B'
L F' U' R' F' R2 U'
F2 D' L' U' R U' B
R2 F' U2 R' D B2 L
F D' L U B' L2 U
D2 F' D F' L' F U2
L2 F' U2 B' R' D B2
F2 D' L' F U' R U'
D F' U2 R' B' R' B2
F2 D' L' F' U L' U
U' F' D' R F U' R
D F' U2 B' R' D B
D F' U2 B' R' D' B
D F' U2 B' R' D2 B
D F' U2 B' R' B D
D F' U2 B' R' B D'
D F' U2 B' R' B D2
B' D' L2 B U2 R B
D F' U2 B2 R' B R'
D2 F' D' U2 B' R' B
L F' U2 B' R' D B2
U' F' D2 R F U' R
B D' L2 U2 R F B
B D' L2 U2 R B F
D' F' D2 U2 B' R' B
D F' D2 L U2 B' R'
D F' D2 L' F U2 R
D F' D2 F' L' F U2
F' D' U' R U2 B U
D' F2 L U2 D2 R2 B'
D' F2 L U2 D2 B' R2
D' F2 L U2 B' D2 R2
F' D' U' R' F' R2 U'
D' F2 L D2 U2 R2 B'
D' F2 L D2 U2 B' R2
D' F2 L F L2 F U2
D' F2 L F' L2 F U2
D' F2 L F2 L2 F U2
F D' U L B' L2 U
F D' U L' U2 F U'
D' F2 L' R F R' U2
D' F2 L' R2 F R2 U2
D' F2 L' U L2 U B'
D' F2 L' U2 L2 B' L2
L' F2 L' U L' U B'
D' F2 L' D F U2 D
D' F2 L' D F U2 D'
D' F2 L' D F U2 D2
D' F2 L' D F D U2
D' F2 L' D F D' U2
D' F2 L' D F D2 U2
L' F2 L' U' R U' B
D' F2 L' D' F U2 D
D' F2 L' D' F U2 D'
D' F2 L' D' F U2 D2
D' F2 L' D' F D U2
D' F2 L' D' F D' U2
D' F2 L' D' F D2 U2
D' F2 L' D2 F U2 D
D' F2 L' D2 F U2 D'
D' F2 L' D2 F U2 D2
D' F2 L' D2 F D U2
D' F2 L' D2 F D' U2
D' F2 L' D2 F D2 U2
F' D' U2 B' R' D B2
D' F2 L' F' U2 D2 B2
D' F2 L' F' D2 U2 B2
D' F2 L' F2 D F' U2
D' F2 L' F2 D' F' U2
D' F2 L' F2 D2 F' U2
L' F2 L' F U' R U'
L' F2 L' F' U L' U
L2 F2 L' U L' U B'
L2 F2 L' U' R U' B
D2 F2 L2 D L U2 B'
D' F2 L2 D L F U2
L2 F2 L' F U' R U'
D' F2 L2 D' L F U2
D F2 L' R F' R' U2
L2 F2 L' F' U L' U
D' F2 L2 D2 L F U2
D' F2 L2 F L F U2
D' F2 L2 F' L F U2
D F2 L' U' R' U' B
D' F2 L2 F2 L F U2
D F2 L' U2 R' B R
U' F2 R U L' U2 B'
D' F2 R L' F R' U2
L F2 L' U L' U B'
L F2 L' U' R U' B
B' D' F2 L' F B U2
B' D' F2 L' B F U2
L F2 L' F U' R U'
L F2 L' F' U L' U
D F2 L2 U2 B2 R' B
U' F2 R' U L' U2 B'
D F2 L2 D2 L U2 B'
B' D' F2 B L' F U2
B' D' B L U2 R B'
B' D' B L U2 B' R
D F2 R L' F' R' U2
B' D' B L2 U2 R B
U' F2 R2 U L' U2 B'
D' F2 R2 L' F R2 U2
B' D' B F2 L' F U2
U' F2 U L F L2 U2
B D' F2 B' L' F U2
U' F2 U L' U2 D B'
U' F2 U L' U2 D' B'
U' F2 U L' U2 D2 B'
U' F2 U L' U2 B' D
U' F2 U L' U2 B' D'
U' F2 U L' U2 B' D2
U' F2 U L' D U2 B'
U' F2 U L' D' U2 B'
U' F2 U L' D2 U2 B'
U' F2 U L' F U2 B'
U' F2 U L' F' U2 B'
U' F2 U L' F2 U2 B'
U' F2 U D L' U2 B'
U' F2 U D' L' U2 B'
U' F2 U D2 L' U2 B'
U' F2 U F2 U2 R B
B D' B' L U2 R B'
B D' B' L U2 B' R
B D' B' L2 U2 R B
U' F2 U' F2 R F2 B
U' F2 U' F2 R B F2
B D' B' F2 L' F U2
D2 F2 D L' D F U2
D2 F2 D L' D' F U2
D2 F2 D L' D2 F U2
D2 F2 D L' F U2 D
D2 F2 D L' F U2 D'
D2 F2 D L' F U2 D2
D2 F2 D L' F D U2
D2 F2 D L' F D' U2
D2 F2 D L' F D2 U2
U' F2 D U L' U2 B'
F2 D2 L' U L' U B'
F2 D2 L' U' R U' B
F2 D2 L' F U' R U'
F2 D2 L' F' U L' U
U' F2 D' U L' U2 B'
U' F2 D2 U L' U2 B'
D F2 D2 L' D F U2
D F2 D2 L' D' F U2
D F2 D2 L' D2 F U2
D F2 D2 L' F U2 D
D F2 D2 L' F U2 D'
D F2 D2 L' F U2 D2
D F2 D2 L' F D U2
D F2 D2 L' F D' U2
D F2 D2 L' F D2 U2
D' F2 B' L' F B U2
D' F2 B' L' B F U2
D' F2 B2 L' F B2 U2
D' F2 B2 L' B2 F U2
F' D2 U' R U2 B U
F' D2 U' R' F' R2 U'
F D2 U L' B U R'
F D2 U B L' U R'
F' D2 U2 B' R' D B2
U2 B L' R D' L B'
U2 B L' D' L R B'
U2 B L' D' L B' R
U2 B L' D' R L B'
D' B L2 U2 R F B
D' B L2 U2 R B F
U2 B R L' D' L B'
U2 B R D R' B R
U2 B R D' L B' L'
B' D2 B U' R' U' R2
B' D2 B U2 R D B2
U2 B R2 D R' D B
U2 B R2 D R' D' B
U2 B R2 D R' D2 B
U2 B R2 D R' B D
U2 B R2 D R' B D'
U2 B R2 D R' B D2
B D2 B' U L U R
U B U R2 D R' B
U B U D R' B R2
U2 B D R U2 F' U2
U2 B D R' B R2 D
U2 B D R' B R2 D'
U2 B D R' B R2 D2
U2 B D R' B' R2 B2
U2 B D R' B2 R2 B'
U2 B D B R' B R2
U2 B D B' R' B R2
U2 B D B2 R' B R2
U2 B D' L R B' L'
U2 B D' L B' L' R
U2 B D' L B' R L'
U2 B D' R L B' L'
U2 B D' R2 D2 R' B
U B D U R' B R2
U B D' L U R B'
U B D' L U B' R
U2 B D2 R2 D' R' B
U2 B D2 B R D B2
U B D2 B' L U R
U B D2 B2 U R B
U B F L' F' U R
D' B' L B U2 R B2
D' B' L B U2 B2 R
U2 B' L' R D' L B'
U2 B' L' D' L R B'
U2 B' L' D' L B' R
U2 B' L' D' R L B'
D' B' L2 B U2 R B
U2 B' R L' D' L B'
U2 B' R D R' B R
U2 B' R D' L B' L'
U2 B' R2 D R' D B
U2 B' R2 D R' D' B
U2 B' R2 D R' D2 B
U2 B' R2 D R' B D
U2 B' R2 D R' B D'
U2 B' R2 D R' B D2
U B' U R2 D R' B
U B' U D R' B R2
U2 B' D R U2 F' U2
U2 B' D R' B R2 D
U2 B' D R' B R2 D'
U2 B' D R' B R2 D2
U2 B' D R' B' R2 B2
U2 B' D R' B2 R2 B'
U2 B' D B R' B R2
U2 B' D B' R' B R2
U2 B' D B2 R' B R2
U2 B' D' L R B' L'
U2 B' D' L B' L' R
U2 B' D' L B' R L'
U2 B' D' R L B' L'
U2 B' D' R2 D2 R' B
U' B' D2 B R' U' R2
U B' D U R' B R2
U2 B' D2 R2 D' R' B
U B' D' L U R B'
U B' D' L U B' R
U2 B' D2 B R D B2
D' B' F2 L' F B U2
D' B' F2 L' B F U2
U B' D2 B' L U R
U B' D2 B2 U R B
U B' F L' F' U R
D' B2 L B2 U2 B R
U2 B2 L' R D' L B'
U2 B2 L' D' L R B'
U2 B2 L' D' L B' R
U2 B2 L' D' R L B'
D' B2 L2 B2 U2 R B
U2 B2 R L' D' L B'
U2 B2 R D R' B R
U2 B2 R D' L B' L'
U2 B2 R2 D R' D B
U2 B2 R2 D R' D' B
U2 B2 R2 D R' D2 B
U2 B2 R2 D R' B D
U2 B2 R2 D R' B D'
U2 B2 R2 D R' B D2
U B2 U R2 D R' B
U B2 U D R' B R2
D B2 U2 R' B R2 F'
U2 B2 D R U2 F' U2
U2 B2 D R' B R2 D
U2 B2 D R' B R2 D'
U2 B2 D R' B R2 D2
U2 B2 D R' B' R2 B2
U2 B2 D R' B2 R2 B'
U2 B2 D B R' B R2
U2 B2 D B' R' B R2
U2 B2 D B2 R' B R2
U2 B2 D' L R B' L'
U2 B2 D' L B' L' R
U2 B2 D' L B' R L'
U2 B2 D' R L B' L'
U2 B2 D' R2 D2 R' B
U B2 D U R' B R2
U2 B2 D2 R2 D' R' B
U B2 D' L U R B'
U B2 D' L U B' R
U2 B2 D2 B R D B2
R B2 D' L D' F2 B'
R B2 D' L D' B' F2
R B2 D' L B' D' F2
D' B2 F2 L' F B2 U2
D' B2 F2 L' B2 F U2
U B2 D2 B' L U R
U B2 D2 B2 U R B
U B2 F L' F' U R
R B2 D2 F2 D L B'
