U2 F U2 F'
B L2 F B' L2
B2 L2 B' L2 F
B L2 B' F L2
U2 D F U2 F'
U2 D' F U2 F'
D U2 F U2 F'
D' U2 F U2 F'
U2 D2 F U2 F'
D2 U2 F U2 F'
B' U2 F B U2
B' U2 B F U2
B2 U2 F B2 U2
F' U2 F2 U2 F2
F2 U2 F' U2 F
B U2 F B' U2
B2 U2 B2 F U2
B U2 B' F U2
U2 F U2 D F'
U2 F U2 D' F'
U2 F U2 D2 F'
U2 F U2 F' D
U2 F U2 F' D'
U2 F U2 F' D2
U2 F D U2 F'
U2 F D' U2 F'
U2 F D2 U2 F'
U2 F B U2 F'
U2 F B' U2 F'
U2 F B2 U2 F'
L2 B L2 F B2
L2 B L2 B2 F
F' D2 B2 D2 F2
U2 B F U2 F'
U2 B' F U2 F'
B2 F' D2 F2 B2
B2 F' D2 B2 F2
B2 L2 B' L2 F2 D2 F'
B2 L2 B' R L2 F R'
F L2 B F' L2 F B'
F L2 B F' L2 B' F
D2 L2 B' U2 B U2 L2
D L2 B' L2 R2 F' R2
D L2 B' L2 U2 B U2
B2 L2 B' R2 L2 F R2
B L2 B' L2 U2 B' U2
D' L2 B' U2 B U2 L2
U2 L2 B' R2 D2 L2 R2
U2 L2 B' R2 D2 R2 L2
B' L2 B' U2 B2 U2 L2
B L2 B' R F L2 R'
B L2 B' R F R' L2
D L2 B' R2 L2 F' R2
D L2 B' R2 F' L2 R2
D L2 B' R2 F' R2 L2
U2 L2 B' U2 L2 U2 L2
B L2 B' R2 F L2 R2
B2 L2 B' U2 B' U2 L2
B L2 B' R2 F R2 L2
B' L2 B' D2 F2 D2 L2
B' L2 B' F L2 D2 F2
B' L2 B' F' L2 D2 F2
B' L2 B' F2 L2 D2 F2
D L2 B' U2 B U2 L2
U2 L2 B' D2 R2 D2 L2
B2 L2 B' F L2 D F
B2 L2 B' F L2 D' F
B2 L2 B' F L2 D2 F
B2 L2 B' F L2 F D
B2 L2 B' F L2 F D'
B2 L2 B' F L2 F D2
D2 L2 B2 L2 D2 F2 B
D2 L2 B2 L2 D2 B F2
B2 L2 B' F' L2 D F
B2 L2 B' F' L2 D' F
B2 L2 B' F' L2 D2 F
B2 L2 B' F' L2 F D
B2 L2 B' F' L2 F D'
B2 L2 B' F' L2 F D2
B' L2 B2 L' B L' F
B2 L2 B' F2 L2 D F
B2 L2 B' F2 L2 D' F
B2 L2 B' F2 L2 D2 F
B2 L2 B' F2 L2 F D
B2 L2 B' F2 L2 F D'
B2 L2 B' F2 L2 F D2
B L2 B' D' F D L2
F' L2 B2 L2 D2 F2 B2
F' L2 B2 L2 D2 B2 F2
B' L2 B2 L2 D F B
B' L2 B2 L2 D B F
D' L2 B2 L2 D2 F2 B
D' L2 B2 L2 D2 B F2
B' L2 B2 L2 D' F B
B' L2 B2 L2 D' B F
B' L2 B2 L2 D2 F B
B' L2 B2 L2 D2 B F
B' L2 B2 L2 F D B
B' L2 B2 L2 F D' B
B' L2 B2 L2 F D2 B
B' L2 B2 L2 F B D
B' L2 B2 L2 F B D'
B' L2 B2 L2 F B D2
B' L2 B2 L2 B D F
B' L2 B2 L2 B D' F
B' L2 B2 L2 B D2 F
B' L2 B2 L2 B F D
B' L2 B2 L2 B F D'
B' L2 B2 L2 B F D2
B L2 B' D2 F D2 L2
B L2 B' F L D L
B L2 B' F L D' L
B L2 B' F L D2 L
B L2 B' F L' D L'
B L2 B' F L' D' L'
B L2 B' F L' D2 L'
B L2 B' F' L F2 L
B L2 B' F' L2 F2 D
B L2 B' F' L2 F2 D'
B L2 B' F' L2 F2 D2
B L2 B' F2 L F' L
B L2 B' F2 L2 D F'
B L2 B' F2 L2 D' F'
B L2 B' F2 L2 D2 F'
B L2 B' F2 L2 F' D
B L2 B' F2 L2 F' D'
B L2 B' F2 L2 F' D2
D L2 B2 L2 D2 F2 B
D L2 B2 L2 D2 B F2
B L2 B2 L2 B D2 F2
B' L2 B2 F L2 F B
B' L2 B2 F L2 B F
B' L2 B2 F' L2 F B
B' L2 B2 F' L2 B F
B' L2 B2 F2 L2 F B
B' L2 B2 F2 L2 B F
B L2 B2 F L' B L'
B L2 B2 F L2 D B
B L2 B2 F L2 D' B
B L2 B2 F L2 D2 B
B L2 B2 F L2 B D
B L2 B2 F L2 B D'
B L2 B2 F L2 B D2
B L2 B2 F' L2 F2 B
B L2 B2 F' L2 B F2
F2 R L U2 L' R' B'
B L2 B2 F2 L2 F' B
B L2 B2 F2 L2 B F'
F2 R L U2 R' L' B'
F' R L F2 R U2 R2
F R L U2 L' R' D
F R L U2 L' R' D'
F R L U2 L' R' D2
F R L U2 L' D R'
F R L U2 L' D' R'
F R L U2 L' D2 R'
F R L U2 R' L' D
F R L U2 R' L' D'
F R L U2 R' L' D2
F R L U2 R' D L'
F R L U2 R' D' L'
F R L U2 R' D2 L'
F R L U2 D L' R'
F R L U2 D R' L'
F R L U2 D' L' R'
F R L U2 D' R' L'
F R L U2 D2 L' R'
F R L U2 D2 R' L'
F R L D U2 L' R'
F R L D U2 R' L'
F R L D' U2 L' R'
F R L D' U2 R' L'
F R L D2 U2 L' R'
F R L D2 U2 R' L'
F' R L' F2 U2 L R'
F' R L' F2 U2 R' L
F R L' U2 L R' D
F R L' U2 L R' D'
F R L' U2 L R' D2
F R L' U2 L D R'
F R L' U2 L D' R'
F R L' U2 L D2 R'
F R L' U2 R' L D
F R L' U2 R' L D'
F R L' U2 R' L D2
F R L' U2 R' D L
F R L' U2 R' D' L
F R L' U2 R' D2 L
F R L' U2 D L R'
F R L' U2 D R' L
F R L' U2 D' L R'
F R L' U2 D' R' L
F R L' U2 D2 L R'
F R L' U2 D2 R' L
F R L' D U2 L R'
F R L' D U2 R' L
U' R L2 U D F2 B'
U' R L2 U D B' F2
F R L' D' U2 L R'
F R L' D' U2 R' L
D2 R L2 U2 R' B' L2
U' R L2 U B' D F2
F R L' D2 U2 L R'
F R L' D2 U2 R' L
D' R L2 U2 R' B' L2
U' R L2 D U F2 B'
U' R L2 D U B' F2
U' R L2 D2 R2 U B'
D R L2 U2 R' B' L2
F' R L2 F2 U2 L2 R'
F' R L2 F2 U2 R' L2
F R L2 U2 L2 R' D
F R L2 U2 L2 R' D'
F R L2 U2 L2 R' D2
F R L2 U2 L2 D R'
F R L2 U2 L2 D' R'
F R L2 U2 L2 D2 R'
F R L2 U2 R' L2 D
F R L2 U2 R' L2 D'
F R L2 U2 R' L2 D2
B R L2 F R' B' L2
U R L2 U2 R' U B'
F R L2 D2 R2 U2 R
U R U F U R' U
U' R U' D F U2 F'
U' R U' D' F U2 F'
U' R U' D2 F U2 F'
U' R U' F U2 D F'
U' R U' F U2 D' F'
U' R U' F U2 D2 F'
U' R U' F U2 F' D
U' R U' F U2 F' D'
U' R U' F U2 F' D2
U' R U' F D U2 F'
U' R U' F D' U2 F'
U' R U' F D2 U2 F'
U' R U' F B U2 F'
U' R U' F B' U2 F'
U' R U' F B2 U2 F'
U' R U' B F U2 F'
U' R U' B' F U2 F'
U' R U' B2 F U2 F'
D2 R U2 F U2 F' R'
D' R U2 F U2 F' R'
F' R U2 F2 U2 R' F2
F' R U2 F2 U2 F2 R'
B2 R U2 F B2 L U2
U2 R U2 F R' U2 R
U R U2 L2 R' U B'
F R U2 R' U2 R U2
F R U2 R' F2 L' F2
D R U2 F U2 F' R'
F R U2 R2 D2 L2 R
F R U2 R2 D2 R L2
U R U2 R' L2 U B'
U R U2 R' U' F U2
B2 R U2 B2 F L U2
F R U2 F2 R' F2 L'
U' R D U' F U2 F'
U2 R D R' F U2 F'
F R D L U2 L' R'
F R D L U2 R' L'
F R D L' U2 L R'
F R D L' U2 R' L
F R D L2 U2 L2 R'
F R D L2 U2 R' L2
L2 U B2 U' B L2 F
U' R D' U' F U2 F'
U2 R D' R' F U2 F'
F R D' L U2 L' R'
F R D' L U2 R' L'
F R D' L' U2 L R'
F R D' L' U2 R' L
F R D' L2 U2 L2 R'
F R D' L2 U2 R' L2
F' R D2 R' B2 D2 F2
B2 R D2 R F2 R2 B
U' R D2 U' F U2 F'
U2 R D2 R' F U2 F'
F R D2 L U2 L' R'
F R D2 L U2 R' L'
F R D2 L' U2 L R'
F R D2 L' U2 R' L
F R D2 L2 U2 L2 R'
F R D2 L2 U2 R' L2
D2 R F L U2 L' R'
D2 R F L U2 R' L'
B2 R D2 F2 R2 B R
D' R F L U2 L' R'
D' R F L U2 R' L'
D2 R F L' U2 L R'
D2 R F L' U2 R' L
D' R F L' U2 L R'
D' R F L' U2 R' L
D2 R F L2 U2 L2 R'
D2 R F L2 U2 R' L2
D' R F L2 U2 L2 R'
D' R F L2 U2 R' L2
D R F L U2 L' R'
D R F L U2 R' L'
D R F L' U2 L R'
D R F L' U2 R' L
D R F L2 U2 L2 R'
D R F L2 U2 R' L2
U2 R F R2 B R U2
B2 R F B2 L U2 L'
U2 R F B U2 F' L'
B' R F' R F' R2 B
U2 R F B2 U2 L F'
U2 R F B2 U2 F' L
B2 R F' R' D2 F2 B2
B2 R F' R' D2 B2 F2
U2 R F' R' F2 U2 F'
B2 R F' D2 R' F2 B2
B2 R F' D2 R' B2 F2
B2 R F' D2 F2 R' B2
F' R F2 L U2 L' R'
F' R F2 L U2 R' L'
F' R F2 L' U2 L R'
F' R F2 L' U2 R' L
F' R F2 L2 U2 L2 R'
F' R F2 L2 U2 R' L2
U2 R B F U2 F' L'
F R B2 L B2 U2 L'
F' R B2 D2 F2 B2 R'
F' R B2 D2 B2 R' F2
F' R B2 D2 B2 F2 R'
B2 R B2 F L U2 L'
U2 R B2 F U2 L F'
U2 R B2 F U2 F' L
F' R' L F2 L' R U2
F' R' L F2 R L' U2
D2 R' L' U2 L R B
D2 R' L' U2 R L B
D' R' L' U2 L R B
D' R' L' U2 R L B
F R' L U2 L' R D
F R' L U2 L' R D'
F R' L U2 L' R D2
F R' L U2 L' D R
F R' L U2 L' D' R
F R' L U2 L' D2 R
F R' L U2 R L' D
F R' L U2 R L' D'
F R' L U2 R L' D2
F R' L U2 R D L'
F R' L U2 R D' L'
F R' L U2 R D2 L'
F R' L U2 D L' R
F R' L U2 D R L'
F R' L U2 D' L' R
F R' L U2 D' R L'
F R' L U2 D2 L' R
F R' L U2 D2 R L'
F R' L D U2 L' R
F R' L D U2 R L'
F R' L D' U2 L' R
F R' L D' U2 R L'
F R' L D2 U2 L' R
F R' L D2 U2 R L'
F' R' L' F2 L' U2 L2
D R' L' U2 L R B
D R' L' U2 R L B
D2 R' L2 U2 R B' L2
U' R' L2 U D F2 B'
U' R' L2 U D B' F2
D' R' L2 U2 R B' L2
U' R' L2 U B' D F2
D2 R' L2 U2 B' L2 R
D2 R' L2 U2 B' R L2
D' R' L2 U2 B' L2 R
D' R' L2 U2 B' R L2
F R' L' U2 L R D
F R' L' U2 L R D'
F R' L' U2 L R D2
F R' L' U2 L D R
F R' L' U2 L D' R
F R' L' U2 L D2 R
F R' L' U2 R L D
F R' L' U2 R L D'
F R' L' U2 R L D2
F R' L' U2 R D L
F R' L' U2 R D' L
F R' L' U2 R D2 L
F R' L' U2 D L R
F R' L' U2 D R L
F R' L' U2 D' L R
F R' L' U2 D' R L
F R' L' U2 D2 L R
F R' L' U2 D2 R L
U R' L' U2 R U B
F R' L' D U2 L R
F R' L' D U2 R L
U' R' L2 D U F2 B'
U' R' L2 D U B' F2
F R' L' D' U2 L R
F R' L' D' U2 R L
F R' L' D2 U2 L R
F R' L' D2 U2 R L
U' R' L2 D2 R2 U B'
F' R' L2 F2 L' U2 L'
D R' L2 U2 R B' L2
D R' L2 U2 B' L2 R
D R' L2 U2 B' R L2
B2 R' L2 B' L2 R F
B2 R' L2 B' R L2 F
F R' L2 U2 L2 R D
F R' L2 U2 L2 R D'
F R' L2 U2 L2 R D2
F R' L2 U2 L2 D R
F R' L2 U2 L2 D' R
F R' L2 U2 L2 D2 R
F R' L2 U2 R L2 D
F R' L2 U2 R L2 D'
F R' L2 U2 R L2 D2
U R' L2 U2 R U B'
F R' L2 D2 R2 U2 R'
B R' L2 B' R F L2
U' R' U' D F U2 F'
U' R' U' D' F U2 F'
U' R' U' D2 F U2 F'
U' R' U' F U2 D F'
U' R' U' F U2 D' F'
U' R' U' F U2 D2 F'
U' R' U' F U2 F' D
U' R' U' F U2 F' D'
U' R' U' F U2 F' D2
U' R' U' F D U2 F'
U' R' U' F D' U2 F'
U' R' U' F D2 U2 F'
U' R' U' F B U2 F'
U' R' U' F B' U2 F'
U' R' U' F B2 U2 F'
U' R' U' B F U2 F'
U' R' U' B' F U2 F'
U' R' U' B2 F U2 F'
F' R' U2 R D2 B2 L
D' R' U2 F U2 F' R
D2 R' U2 F U2 F' R
F' R' U2 D2 R B2 L
U2 R' U2 R F U2 R'
F' R' U2 F2 L' U2 F2
F' R' U2 F2 U2 F2 R
U R' U2 L2 R U B'
F R' U2 R U2 R' U2
F R' U2 R B2 L B2
U R' U2 R L2 U B'
U R' U2 R U' F U2
D R' U2 F U2 F' R
F R' U2 R2 D2 L2 R'
F R' U2 R2 D2 R' L2
U' R' D U' F U2 F'
U2 R' D R F U2 F'
F R' U2 B2 R B2 L
F R' D L U2 L' R
F R' D L U2 R L'
F R' D L' U2 L R
F R' D L' U2 R L
F R' D L2 U2 L2 R
F R' D L2 U2 R L2
R' U2 L R B2 L B'
U' R' D' U' F U2 F'
U2 R' D' R F U2 F'
L' U2 L U2 L' U2 B'
F R' D' L U2 L' R
F R' D' L U2 R L'
F R' D' L' U2 L R
F R' D' L' U2 R L
F R' D' L2 U2 L2 R
F R' D' L2 U2 R L2
L' U2 L F2 R F2 B
L' U2 L F2 R B F2
F' R' D2 R B2 D2 F2
U' R' D2 U' F U2 F'
F' R' D2 U2 R B2 L
B2 R' D2 R' F2 R2 B
U2 R' D2 R F U2 F'
F R' D2 L U2 L' R
F R' D2 L U2 R L'
F R' D2 L' U2 L R
F R' D2 L' U2 R L
F' R' D2 B2 R D2 F2
F' R' D2 B2 D2 R F2
F R' D2 L2 U2 L2 R
F R' D2 L2 U2 R L2
L U2 L B L2 B2 R'
R' U2 L2 R B2 L B
L U2 L' U2 F L U2
U2 R' F U2 F L' F2
R' U2 L2 B R B2 L
L2 U2 L2 U2 L2 U2 B'
R2 U2 L2 R2 D2 B' L2
L2 U2 L2 U2 F L2 U2
R2 U2 L2 R2 B' D2 L2
R' U2 R L B2 L B'
R2 U2 L2 U2 B' R2 F'
R' U2 R L2 B2 L B
R' U2 R U2 R' F U2
R' U2 R U2 F R' U2
R2 U2 L2 B' R2 D2 L2
D2 R' F2 L' F' U2 L
D' R' F2 L' F' U2 L
F' R' F2 L' R U2 L
F' R' F2 L' R' U2 L
F' R' F2 L' R2 U2 L
F' R' F2 L' U2 L D
F' R' F2 L' U2 L D'
F' R' F2 L' U2 L D2
F' R' F2 L' U2 D L
F' R' F2 L' U2 D' L
F' R' F2 L' U2 D2 L
F' R' F2 L' D U2 L
F' R' F2 L' D' U2 L
F' R' F2 L' D2 U2 L
R' U2 R B' L2 B' L
F' R' F2 R L' U2 L
R' U2 R B2 L2 B' L'
F' R' F2 R' L' U2 L
F' R' F2 R2 L' U2 L
F' R' F2 D L' U2 L
D R' F2 L' F' U2 L
F' R' F2 D' L' U2 L
L2 U2 R B' L2 D2 R2
F' R' F2 D2 L' U2 L
F R' F2 L' F2 U2 L
L' U2 R' F' U2 F L
U2 R' B R F U2 F'
L2 U2 R' B' L2 D2 R2
R' U2 R2 D2 L2 R' B'
R' U2 R2 D2 R' L2 B'
R U2 R' U2 R F U2
R2 U2 R2 L2 D2 B' L2
R2 U2 R2 L2 B' D2 L2
R2 U2 R2 U2 R2 F U2
R2 U2 R2 U2 F R2 U2
R2 U2 R2 D2 L2 D B'
R2 U2 R2 D2 L2 D' B'
R2 U2 R2 D2 L2 D2 B'
R2 U2 R2 D2 L2 B' D
R2 U2 R2 D2 L2 B' D'
R2 U2 R2 D2 L2 B' D2
U2 R' B' R F U2 F'
R2 U2 R2 D2 B L2 B'
R2 U2 R2 D2 B' L2 B'
R2 U2 R2 D2 B2 L2 B'
R' U2 D F U2 F' R
L2 U2 R2 B' L2 D2 R2
R2 U2 R2 B D2 L2 B'
R2 U2 R2 B' D2 L2 B'
R U2 R2 D2 L2 R B'
R U2 R2 D2 L2 B' R
R U2 R2 D2 R L2 B'
R2 U2 R2 B2 D2 L2 B'
F' R' B2 R D2 F2 B2
F' R' B2 R D2 B2 F2
R' U2 D' F U2 F' R
F2 R' B2 R' B R2 F'
U2 R' B2 R F U2 F'
F' R' B2 D2 R F2 B2
F' R' B2 D2 R B2 F2
F' R' B2 D2 B2 R F2
R U2 D F U2 F' R'
R' U2 D2 F U2 F' R
F2 R2 L U2 L' B R2
F2 R2 L U2 B L' R2
F2 R2 L U2 B R2 L'
F' R2 L F2 R U2 R
R' U2 F L U2 F' R
R' U2 F L' U2 F' R
R U2 D' F U2 F' R'
R' U2 F L2 U2 F' R
F R2 L U2 L' R2 D
F R2 L U2 L' R2 D'
F R2 L U2 L' R2 D2
F R2 L U2 R2 L' D
F R2 L U2 R2 L' D'
F R2 L U2 R2 L' D2
F R2 L U2 R2 D L'
F R2 L U2 R2 D' L'
F R2 L U2 R2 D2 L'
R2 U2 D2 F L2 U2 F'
L U2 D2 L' B2 R' B
F R2 L D2 L2 U2 L
F2 R2 L' U2 L B R2
R' U2 F U2 F' R D
R' U2 F U2 F' R D'
R' U2 F U2 F' R D2
R' U2 F U2 F' D R
R' U2 F U2 F' D' R
R' U2 F U2 F' D2 R
F' R2 L' F2 U2 L R2
F' R2 L' F2 U2 R2 L
R' U2 F B U2 F' R
R2 U2 F L U2 F' R2
R' U2 F B' U2 F' R
R U2 D2 F U2 F' R'
R2 U2 F L' U2 F' R2
R' U2 F B2 U2 F' R
U' R2 L2 U D F2 B'
U' R2 L2 U D B' F2
U' R2 L2 U B' D F2
D2 R2 L2 U2 R2 B' L2
D' R2 L2 U2 R2 B' L2
R2 U2 F L2 U2 F' R2
D2 R2 L2 U2 B' L2 R2
D2 R2 L2 U2 B' R2 L2
D' R2 L2 U2 B' L2 R2
D' R2 L2 U2 B' R2 L2
F R2 L' U2 L R2 D
F R2 L' U2 L R2 D'
F R2 L' U2 L R2 D2
U' R2 L2 D U F2 B'
U' R2 L2 D U B' F2
F R2 L' U2 R2 L D
F R2 L' U2 R2 L D'
F R2 L' U2 R2 L D2
F R2 L' U2 R2 D L
F R2 L' U2 R2 D' L
F R2 L' U2 R2 D2 L
L2 U2 F U2 F' B' L2
L2 U2 F U2 B' L2 F'
L2 U2 F U2 B' F' L2
U' R2 L2 D2 R2 U B'
R U2 F L U2 F' R'
F2 R2 L2 U2 L2 B R2
F R2 L' D2 L2 U2 L'
R U2 F L' U2 F' R'
F2 R2 L2 U2 B L2 R2
F2 R2 L2 U2 B R2 L2
B' R2 L2 F' R2 B' L2
R2 U2 F U2 F R2 F2
R2 U2 F U2 F' R2 D
R2 U2 F U2 F' R2 D'
R2 U2 F U2 F' R2 D2
R2 U2 F U2 F2 R2 F
R U2 F L2 U2 F' R'
B' R2 L2 F' B' L2 R2
B' R2 L2 F' B' R2 L2
F' R2 L2 F2 U2 L2 R2
F' R2 L2 F2 U2 R2 L2
D2 R2 L2 B' L2 R2 F'
D2 R2 L2 B' R2 L2 F'
D' R2 L2 B' L2 R2 F'
D2 R2 L2 B' R2 F' L2
D' R2 L2 B' R2 L2 F'
D' R2 L2 B' R2 F' L2
R2 U2 F D2 L2 U2 F'
B' R2 L2 B' L2 F' R2
B' R2 L2 B' F' L2 R2
B' R2 L2 B' F' R2 L2
U2 R2 L2 D2 R2 B' L2
U2 R2 L2 D2 B' L2 R2
U2 R2 L2 D2 B' R2 L2
R2 U2 F B U2 F' R2
D R2 L2 U2 R2 B' L2
D R2 L2 U2 B' L2 R2
D R2 L2 U2 B' R2 L2
R2 U2 F B' U2 F' R2
R2 U2 F B2 U2 F' R2
F2 R2 L2 B L2 R2 F
F2 R2 L2 B L2 F R2
B2 R2 L2 B' L2 R2 F
B2 R2 L2 B' L2 F R2
F2 R2 L2 B R2 L2 F
B2 R2 L2 B' R2 L2 F
R U2 F U2 D F' R'
R U2 F U2 D' F' R'
R U2 F U2 D2 F' R'
R U2 F U2 F R' F2
R U2 F U2 F' R' D
R U2 F U2 F' R' D'
R U2 F U2 F' R' D2
R U2 F U2 F' D R'
R U2 F U2 F' D' R'
R U2 F U2 F' D2 R'
R U2 F U2 F' D2 R'
R U2 F U2 F2 R' F
R U2 F D U2 F' R'
F R2 L2 U2 L2 R2 D
F R2 L2 U2 L2 R2 D'
F R2 L2 U2 L2 R2 D2
F R2 L2 U2 R2 L2 D
F R2 L2 U2 R2 L2 D'
F R2 L2 U2 R2 L2 D2
B R2 L2 F R2 B' L2
R U2 F D' U2 F' R'
U2 R2 L2 B' D2 L2 R2
U2 R2 L2 B' D2 R2 L2
B R2 L2 F B' L2 R2
B R2 L2 F B' R2 L2
U R2 L2 U' D' F2 B'
U R2 L2 U' D' B' F2
R' U2 F2 L' F' U2 F'
U R2 L2 U' B' D' F2
R U2 F D2 U2 F' R'
U R2 L2 U2 R2 U B'
F R2 L2 D2 L2 R2 U2
F R2 L2 D2 R2 L2 U2
L2 U2 F' U2 F B' L2
D R2 L2 B' L2 R2 F'
R U2 F B2 L U2 F'
L2 U2 F' U2 B' F L2
D R2 L2 B' R2 L2 F'
D R2 L2 B' R2 F' L2
B R2 L2 B' R2 F L2
U R2 L2 D' U' F2 B'
U R2 L2 D' U' B' F2
L' U2 F2 L F2 R B
B R2 L2 B' F L2 R2
B R2 L2 B' F R2 L2
U' R2 U' D F U2 F'
L2 U2 F2 U2 F2 B' L2
U' R2 U' D' F U2 F'
L2 U2 F2 U2 B' L2 F2
L2 U2 F2 U2 B' F2 L2
U R2 U D F B2 U2
U R2 U D B2 F U2
U' R2 U' D2 F U2 F'
U R2 U D' F U2 F
U' R2 U' F U2 D F'
U' R2 U' F U2 D' F'
U' R2 U' F U2 D2 F'
U' R2 U' F U2 F' D
U' R2 U' F U2 F' D'
U' R2 U' F U2 F' D2
U' R2 U' F D U2 F'
U' R2 U' F D' U2 F'
U' R2 U' F D2 U2 F'
U' R2 U' F B U2 F'
U' R2 U' F B' U2 F'
U' R2 U' F B2 U2 F'
R2 U2 F2 U2 R2 F2 B
R2 U2 F2 U2 R2 B F2
U R2 U F U R2 U
U R2 U F U2 D' F2
U R2 U F D B2 U2
U R2 U F D' U2 F2
U' R2 U' B F U2 F'
U' R2 U' B' F U2 F'
U' R2 U' B2 F U2 F'
L2 U2 B L' B2 L' R'
L2 U2 B L' B2 R' L'
R' U2 B F U2 F' R
L2 U2 B L2 B2 D2 R2
D2 R2 U2 R2 D2 L2 B'
D' R2 U2 R2 D2 L2 B'
F' R2 U2 R2 D2 L2 B2
F' R2 U2 R2 D2 B2 L2
R2 U2 B R2 D2 L2 B'
D2 R2 U2 F U2 F' R2
D' R2 U2 F U2 F' R2
B' R2 U2 F U2 R2 F2
B' R2 U2 F U2 F2 R2
U2 R2 U2 R2 F U2 R2
F' R2 U2 F2 U2 R2 F2
F' R2 U2 F2 U2 F2 R2
B2 R2 U2 F B2 U2 R2
F R2 U2 L R2 D2 L2
R2 U2 B F U2 F' R2
U2 R2 U2 F R2 U2 R2
F R2 U2 L' R2 D2 L2
D R2 U2 R2 D2 L2 B'
L2 U2 B' L2 R D2 R2
L2 U2 B' L2 R' D2 R2
L2 U2 B' L2 R2 D2 R2
R' U2 B' F U2 F' R
F2 R2 U2 B R2 D2 L2
L2 U2 B' L2 U2 L2 U2
L2 U2 B' L2 D2 R2 D
L2 U2 B' L2 D2 R2 D'
L2 U2 B' L2 D2 R2 D2
F R2 U2 L2 R2 D2 L2
L2 U2 B' R L2 D2 R2
B2 R2 U2 B2 F U2 R2
L2 U2 B' R' L2 D2 R2
U R2 U2 L2 R2 U B'
L2 U2 B' R2 L2 D2 R2
D R2 U2 F U2 F' R2
F R2 U2 R2 L D2 L2
F R2 U2 R2 L' D2 L2
F R2 U2 R2 L2 D2 L2
B R2 U2 F B' U2 R2
F R2 U2 R2 U2 R2 U2
F R2 U2 R2 D2 L2 D
F R2 U2 R2 D2 L2 D'
F R2 U2 R2 D2 L2 D2
U R2 U2 R2 L2 U B'
U R2 U2 R2 U' F U2
R2 U2 B' R2 D2 L2 B'
U' R2 D U' F U2 F'
B R2 U2 B' F U2 R2
L' U2 B2 R' F' U2 F
R2 U2 B' F U2 F' R2
R' U2 B2 F U2 F' R
L2 U2 B2 L2 D2 B R2
L2 U2 B2 L2 B D2 R2
R2 U2 B2 R2 D2 L2 B'
U' R2 D' U' F U2 F'
L2 U2 B2 U2 B L2 F
U R2 D U F B2 U2
U R2 D U B2 F U2
L' D L U2 F U2 F'
R2 U2 B2 F U2 F' R2
D2 R2 D2 L2 U2 B' L2
D' R2 D2 L2 U2 B' L2
F' R2 D2 L2 U2 L2 B2
F' R2 D2 L2 U2 B2 L2
U R2 D' L2 U' F2 B'
U R2 D' L2 U' B' F2
F2 R2 D2 L2 U2 L2 B
F2 R2 D2 L2 U2 B L2
R U2 B2 F L U2 F'
D2 R2 D2 F L2 U2 L2
U' R2 D2 U' F U2 F'
D' R2 D2 F L2 U2 L2
R' D L' U2 L R B
R' D L' U2 R L B
U2 R2 D2 L2 D2 R2 B'
U2 R2 D2 L2 D2 B' R2
U2 R2 D2 L2 B' D2 R2
U R2 D' U F U2 F
B' R2 D2 F' D2 R2 B2
B' R2 D2 F' D2 B2 R2
D R2 D2 L2 U2 B' L2
D2 R2 F L U2 L' R2
D' R2 F L U2 L' R2
D2 R2 F L U2 R2 L'
D' R2 F L U2 R2 L'
D2 R2 F L' U2 L R2
D2 R2 F L' U2 R2 L
D' R2 F L' U2 L R2
D' R2 F L' U2 R2 L
B2 R2 D2 F2 D2 R2 B
F' R2 D2 B2 D2 R2 F2
F' R2 D2 B2 D2 F2 R2
U2 R2 D2 F U2 L2 F'
U2 R2 D2 F U2 F' L2
D2 R2 F L2 U2 L2 R2
D' R2 F L2 U2 L2 R2
D' R2 F L2 U2 R2 L2
D2 R2 F L2 U2 R2 L2
F R2 D2 L2 R U2 L2
F R2 D2 L2 R' U2 L2
F R2 D2 L2 R2 U2 L2
F R2 D2 L2 U2 L2 D
F R2 D2 L2 U2 L2 D'
F R2 D2 L2 U2 L2 D2
F R2 D2 L2 D2 R2 U2
F R2 D2 R L2 U2 L2
U R2 D2 L2 R U' B'
U R2 D2 L2 R' U' B'
F R2 D2 R' L2 U2 L2
U R2 D2 L2 R2 U' B'
U R2 D2 L2 U' D B'
U R2 D2 L2 U' D' B'
U R2 D2 L2 U' D2 B'
U R2 D2 L2 U' B' D
U R2 D2 L2 U' B' D'
U R2 D2 L2 U' B' D2
D R2 D2 F L2 U2 L2
U R2 D2 L2 D U' B'
L' D L' B L2 F B2
U R2 D2 L2 D' U' B'
L' D L' B L2 B2 F
U R2 D2 L2 D2 U' B'
F R2 D2 R2 L2 U2 L2
U R2 D2 R L2 U' B'
B' R2 F R2 F2 D2 B2
U R2 D2 R' L2 U' B'
D' R2 F U2 R2 D2 L2
D2 R2 F U2 R2 D2 L2
U R2 D2 R2 L2 U' B'
R' D L2 U2 R B' L2
R' D L2 U2 B' L2 R
R' D L2 U2 B' R L2
D' R2 F D2 L2 U2 L2
D2 R2 F D2 L2 U2 L2
D R2 F L U2 L' R2
D R2 F L U2 R2 L'
U2 R2 F R2 D B U2
U2 R2 F R2 D' B U2
U2 R2 F R2 D2 B U2
U2 R2 F R2 B U2 D
U2 R2 F R2 B U2 D'
U2 R2 F R2 B U2 D2
U2 R2 F R2 B D U2
U2 R2 F R2 B D' U2
U2 R2 F R2 B D2 U2
D R2 F L' U2 L R2
