B' L U2 R B'
B' L U2 B' R
B' L2 U2 R B
L2 U2 R F B
L2 U2 R B F
F2 B' L' F U2
B' F2 L' F U2
L' B F2 L' F' U2 F2
R' B' L R U2 R B'
R' B' L R U2 B' R
L2 B F2 L' U2 F' B'
L2 B F2 L' U2 B' F'
D2 B' L U2 R' B R2
U2 B' L U2 R B' L'
D' B' L' U L2 U R
U2 B' L U2 B' L' R
U2 B' L U2 B' R L'
D2 B' L' U2 R' B R2
D' B' L' U2 R D' B2
D' B' L' U2 D' R B2
D' B' L' U2 D' B2 R
B' F U2 D2 R' B R'
B' F U2 D2 B R' B
L B F2 L' B' U2 B'
D' B' L' D F2 L' U2
L' B' L' U2 R F B
L' B' L' U2 R B F
D' B' L' D' U2 R B2
D' B' L' D' U2 B2 R
R' B' L2 R U2 R B
D' B' L2 U L' U R
D2 B' L2 U2 R' B R2
R' B' R L U2 R B'
R' B' R L U2 B' R
R' B' R L2 U2 R B
U2 B' L2 U2 L2 R B
U2 B' L2 U2 R L2 B
U2 B' L2 U2 R B L2
D2 B' R F' R' U2 R
R' B' R F2 L' F U2
L B' L' B' U2 B R
B' F D2 U2 R' B R'
B' F D2 U2 B R' B
B' F' L U2 R B' R'
B' F' L U2 R' B' R'
B' F' L U2 R2 B' R'
B' F' L U2 D B' R'
B' F' L U2 D' B' R'
B' F' L U2 D2 B' R'
B' F' L U2 B' R' D
B' F' L U2 B' R' D'
B' F' L U2 B' R' D2
B' F' L U2 B' D R'
B' F' L U2 B' D' R'
B' F' L U2 B' D2 R'
B' F' L D U2 B' R'
B2 F D2 B U2 R' B
B' F' L D' U2 B' R'
B' F' L D2 U2 B' R'
B' F' L F U2 R B'
B' F' L F U2 B' R
L B' R U2 R' U2 F'
F' B' L U2 R B' R'
F' B' L U2 R' B' R'
F' B' L U2 R2 B' R'
F' B' L U2 D B' R'
F' B' L U2 D' B' R'
F' B' L U2 D2 B' R'
F' B' L U2 B' R' D
F' B' L U2 B' R' D'
F' B' L U2 B' R' D2
F' B' L U2 B' D R'
F' B' L U2 B' D' R'
F' B' L U2 B' D2 R'
F' B' L D U2 B' R'
F' B' L D' U2 B' R'
F' B' L D2 U2 B' R'
F' B' L F U2 R B'
F' B' L F U2 B' R
F2 B' L U2 D2 R2 B'
F2 B' L U2 D2 B' R2
F2 B' L U2 B' D2 R2
D' B' U L U R D
D' B' U L U R D'
D' B' U L U R D2
D' B' U L U D R
D' B' U L U D' R
D' B' U L U D2 R
D' B' U L D U R
D' B' U L D' U R
D' B' U L D2 U R
L B' R B2 L F B2
L B' R B2 L B2 F
D' B' U L B U R
D' B' U L B' U R
D' B' U L B2 U R
F2 B' L D2 U2 R2 B'
F2 B' L D2 U2 B' R2
F2 B' L F L2 F U2
F2 B' L F' L2 F U2
B' F' L' D F U2 R
F2 B' L F2 L2 F U2
B' F' L' D' F U2 R
B' F' L' D2 F U2 R
B' F' L' F L U2 R
B' F' L' F L' U2 R
B' F' L' F L2 U2 R
D' B' U D L U R
B' F' L' F U2 R D
B' F' L' F U2 R D'
B' F' L' F U2 R D2
B' F' L' F U2 D R
B' F' L' F U2 D' R
B' F' L' F U2 D2 R
B' F' L' F D U2 R
B' F' L' F D' U2 R
B' F' L' F D2 U2 R
B' F' L' F' L' F2 U2
D' B' U D' L U R
D' B' U D2 L U R
F2 B' L' R F R' U2
F' B' L' D F U2 R
F2 B' L' R2 F R2 U2
F' B' L' D' F U2 R
F2 B' L' U L2 U B'
F' B' L' D2 F U2 R
F' B' L' F L U2 R
F' B' L' F L' U2 R
F' B' L' F L2 U2 R
F' B' L' F U2 R D
F' B' L' F U2 R D'
F' B' L' F U2 R D2
F' B' L' F U2 D R
F' B' L' F U2 D' R
F' B' L' F U2 D2 R
F' B' L' F D U2 R
F' B' L' F D' U2 R
F' B' L' F D2 U2 R
F2 B' L' U2 L2 B' L2
F' B' L' F' L' F2 U2
D' B' U B' U R B
F2 B' L' D F U2 D
F2 B' L' D F U2 D'
F2 B' L' D F U2 D2
F2 B' L' D F D U2
F2 B' L' D F D' U2
F2 B' L' D F D2 U2
F2 B' L' D' F U2 D
F2 B' L' D' F U2 D'
F2 B' L' D' F U2 D2
F2 B' L' D' F D U2
F2 B' L' D' F D' U2
F2 B' L' D' F D2 U2
B2 F' L' F B U2 R
F2 B' L' D2 F U2 D
F2 B' L' D2 F U2 D'
F2 B' L' D2 F U2 D2
F2 B' L' D2 F D U2
F2 B' L' D2 F D' U2
F2 B' L' D2 F D2 U2
D2 B' U' R' U' B R2
F2 B' L' F' U2 D2 B2
F2 B' L' F' D2 U2 B2
B2 F' L' B F U2 R
F2 B' L' F2 D F' U2
F2 B' L' F2 D' F' U2
F2 B' L' F2 D2 F' U2
B' F' L2 F U2 R B
B' F' L2 F' L' U2 B'
F B' L F' U2 R B'
F B' L F' U2 B' R
F B' L F2 U2 B' R'
F' B' L2 F U2 R B
F' B' L2 F' L' U2 B'
F2 B' L2 D L F U2
F2 B' L2 D' L F U2
B F' L' F B2 U2 R
F2 B' L2 D2 L F U2
D2 B' U2 R U2 F' U2
F2 B' L2 F L F U2
D2 B' U2 R' B R2 D
D2 B' U2 R' B R2 D'
D2 B' U2 R' B R2 D2
F2 B' L2 F' L F U2
D2 B' U2 R' B' R2 B2
D2 B' U2 R' B2 R2 B'
D' B' U2 R U' L U
R' B' U2 R2 B2 L B'
F2 B' L2 F2 L F U2
B F' L' B2 F U2 R
F B' L' F L' U2 D
F B' L' F L' U2 D'
F B' L' F L' U2 D2
F B' L' F L' D U2
F B' L' F L' D' U2
F B' L' F L' D2 U2
F B' L' F D L' U2
F B' L' F D' L' U2
F B' L' F D2 L' U2
F2 B' R L' F R' U2
D2 B' U2 B R' B R2
D2 B' U2 B' R' B R2
D2 B' U2 B2 R' B R2
D' B' U2 B2 R D B2
L2 B' U2 R D F B
L2 B' U2 R D B F
L2 B' U2 R D' F B
L2 B' U2 R D' B F
L2 B' U2 R D2 F B
L2 B' U2 R D2 B F
L2 B' U2 R F D B
L2 B' U2 R F D' B
L2 B' U2 R F D2 B
L2 B' U2 R F B D
L2 B' U2 R F B D'
L2 B' U2 R F B D2
L2 B' U2 R B D F
L2 B' U2 R B D' F
L2 B' U2 R B D2 F
L2 B' U2 R B F D
L2 B' U2 R B F D'
L2 B' U2 R B F D2
U2 B' U2 R B2 L B'
L2 B' U2 R2 F R' B
L2 B' U2 D R F B
L2 B' U2 D R B F
L2 B' U2 D' R F B
L2 B' U2 D' R B F
L2 B' U2 D2 R F B
L2 B' U2 D2 R B F
D' B' D U L U R
F B' L2 F L' U2 B'
L2 B' U2 B R F B
L2 B' U2 B R B F
F B' L2 F' U2 R B
L2 B' U2 B' R F B
L2 B' U2 B' R B F
L2 B' U2 B2 R F B
L2 B' U2 B2 R B F
D B' U2 R2 D R' B
D B' U2 D R' B R2
L2 B' D U2 R F B
L2 B' D U2 R B F
D' B' D' U L U R
F2 B' R2 L' F R2 U2
D2 B' D2 L U2 R B'
D2 B' D2 L U2 B' R
R' B' D2 L2 R F' U2
D2 B' D2 L2 U2 R B
D B' D U2 R' B R2
R' B' D2 R L2 F' U2
R' B' D2 R F' L2 U2
L2 B' D' U2 R F B
L2 B' D' U2 R B F
D' B' D2 U L U R
D B' D' L U2 R B'
D B' D' L U2 B' R
D2 B' D2 F2 L' F U2
D B' D' L2 U2 R B
D B' D' F2 L' F U2
L2 B' D2 U2 R F B
L2 B' D2 U2 R B F
B' F' U2 L B' L' R'
B' F' U2 L B' R' L'
F' B' U2 L B' L' R'
F' B' U2 L B' R' L'
D2 B' F' U2 B' R' B
B' F' U2 D2 B' R' B
B' F' U2 B' D2 R' B
D' B' F2 L' U L2 U
D' B' F2 L' U2 D' B2
D' B' F2 L' D F2 U2
D' B' F2 L' D' U2 B2
F' B' U2 D2 B' R' B
L' B' F2 L' F' U2 F2
F' B' U2 B' D2 R' B
D2 B' F2 D2 L' F U2
L2 B' F2 L' U2 F' B'
L2 B' F2 L' U2 B' F'
U2 B' F2 L' F U2 L
F B' U2 D2 R' B R'
F B' U2 D2 B R' B
L' B2 L' U2 R F B
L' B2 L' U2 R B F
R2 B2 L R2 U2 F' B'
R2 B2 L R2 U2 B' F'
L B' F2 L' B' U2 B
B' F' D2 U2 B' R' B
R2 B2 L B R2 U2 B2
F' B' D2 U2 B' R' B
L B2 L U2 B R F
B' F2 L U2 D2 R2 B'
B' F2 L U2 D2 B' R2
B' F2 L U2 B' D2 R2
B' F2 L D2 U2 R2 B'
B' F2 L D2 U2 B' R2
B' F2 L F L2 F U2
R B2 L R2 F' R2 B'
R B2 L R2 F' B' R2
R B2 L R2 B' F' R2
B' F2 L F' L2 F U2
B' F2 L F2 L2 F U2
R B2 L U2 B U2 B2
R B2 L D B' D2 F2
R B2 L D' B' D2 F2
B' F2 L' R F R' U2
R B2 L D2 B' D2 F2
R B2 L F B' D2 F2
B' F2 L' R2 F R2 U2
B' F2 L' U L2 U B'
R B2 L F' B' D2 F2
R B2 L F2 B' D2 F2
B' F2 L' U2 L2 B' L2
R B2 L B' U2 B2 U2
R B2 L B' D2 F2 D
R B2 L B' D2 F2 D'
R B2 L B' D2 F2 D2
R B2 L B' F D2 F2
R B2 L B' F' D2 F2
R B2 L B' F2 D2 F2
B' F2 L' D F U2 D
B' F2 L' D F U2 D'
B' F2 L' D F U2 D2
B' F2 L' D F D U2
B' F2 L' D F D' U2
B' F2 L' D F D2 U2
B2 F2 L B L2 U2 B2
B' F2 L' D' F U2 D
B' F2 L' D' F U2 D'
B' F2 L' D' F U2 D2
B' F2 L' D' F D U2
B' F2 L' D' F D' U2
B' F2 L' D' F D2 U2
B' F2 L' D2 F U2 D
B' F2 L' D2 F U2 D'
B' F2 L' D2 F U2 D2
B' F2 L' D2 F D U2
B' F2 L' D2 F D' U2
B' F2 L' D2 F D2 U2
F2 B2 L B L2 U2 B2
B' F2 L' F' U2 D2 B2
B' F2 L' F' D2 U2 B2
B' F2 L' F2 D F' U2
B' F2 L' F2 D' F' U2
B' F2 L' F2 D2 F' U2
F B' D2 U2 R' B R'
L B2 L' B' U2 R B2
L B2 L' B' U2 B2 R
F B' D2 U2 B R' B
B2 F2 L' D F B U2
F' B2 L' F B U2 R
B2 F2 L' D B F U2
B2 F2 L' D' F B U2
B2 F2 L' D' B F U2
B2 F2 L' D2 F B U2
B2 F2 L' D2 B F U2
F2 B2 L' D F B U2
F2 B2 L' D B F U2
B2 F2 L' F D B U2
B2 F2 L' F D' B U2
B2 F2 L' F D2 B U2
F' B2 L' B F U2 R
B2 F2 L' F B U2 D
B2 F2 L' F B U2 D'
B2 F2 L' F B U2 D2
F2 B2 L' D' F B U2
B2 F2 L' F B D U2
B2 F2 L' F B D' U2
B2 F2 L' F B D2 U2
F2 B2 L' D' B F U2
B' F2 L2 D L F U2
F2 B2 L' D2 F B U2
F2 B2 L' D2 B F U2
B' F2 L2 D' L F U2
R B2 L' B2 L2 F B'
R B2 L' B2 L2 B' F
F2 B2 L' F D B U2
F2 B2 L' F D' B U2
F2 B2 L' F D2 B U2
F2 B2 L' F B U2 D
F2 B2 L' F B U2 D'
F2 B2 L' F B U2 D2
F2 B2 L' F B D U2
F2 B2 L' F B D' U2
F2 B2 L' F B D2 U2
B' F2 L2 D2 L F U2
B2 F2 L' B D F U2
B2 F2 L' B D' F U2
B2 F2 L' B D2 F U2
B2 F2 L' B F U2 D
B2 F2 L' B F U2 D'
B2 F2 L' B F U2 D2
B2 F2 L' B F D U2
B2 F2 L' B F D' U2
B2 F2 L' B F D2 U2
B' F2 L2 F L F U2
B F2 L B2 L2 U2 B
B' F2 L2 F' L F U2
F2 B2 L' B D F U2
F2 B2 L' B D' F U2
F2 B2 L' B D2 F U2
F2 B2 L' B F U2 D
F2 B2 L' B F U2 D'
F2 B2 L' B F U2 D2
F2 B2 L' B F D U2
F2 B2 L' B F D' U2
F2 B2 L' B F D2 U2
B' F2 L2 F2 L F U2
B' F2 R L' F R' U2
B F2 L' D2 F U2 F
R' B2 R2 F' B2 L B'
B F2 L' F U2 D2 F2
B F2 L' F D2 U2 F2
B F2 L' F B2 U2 D
B F2 L' F B2 U2 D'
B F2 L' F B2 U2 D2
B F2 L' F B2 D U2
B F2 L' F B2 D' U2
B F2 L' F B2 D2 U2
R' B2 R2 B2 L F' B'
R' B2 R2 B2 L B' F'
R' B2 R2 B2 F' L B'
B F2 L' B2 D F U2
B F2 L' B2 D' F U2
B F2 L' B2 D2 F U2
B F2 L' B2 F U2 D
B F2 L' B2 F U2 D'
B F2 L' B2 F U2 D2
B F2 L' B2 F D U2
B F2 L' B2 F D' U2
B F2 L' B2 F D2 U2
F B2 L' F L' B U2
F B2 L' F B L' U2
U2 B2 R2 D2 F' R' B
R2 B2 R2 L U2 F' B'
R2 B2 R2 L U2 B' F'
F B2 L' B F L' U2
U2 B2 R2 F' D2 R' B
B' F2 R2 L' F R2 U2
R B2 R2 L F' R2 B'
R B2 R2 L F' B' R2
R B2 R2 L B' F' R2
R B2 R2 F' L R2 B'
R B2 R2 F' L B' R2
R B2 R2 F' R2 L B'
L2 B2 U2 R D F B
L2 B2 U2 R D B F
L2 B2 U2 R D' F B
L2 B2 U2 R D' B F
L2 B2 U2 R D2 F B
L2 B2 U2 R D2 B F
L2 B2 U2 R F D B
L2 B2 U2 R F D' B
L2 B2 U2 R F D2 B
L2 B2 U2 R F B D
L2 B2 U2 R F B D'
L2 B2 U2 R F B D2
L2 B2 U2 R B D F
L2 B2 U2 R B D' F
L2 B2 U2 R B D2 F
L2 B2 U2 R B F D
L2 B2 U2 R B F D'
L2 B2 U2 R B F D2
L2 B2 U2 R2 F R' B
L2 B2 U2 D R F B
L2 B2 U2 D R B F
L2 B2 U2 D' R F B
L2 B2 U2 D' R B F
L2 B2 U2 D2 R F B
L2 B2 U2 D2 R B F
L2 B2 U2 B R F B
L2 B2 U2 B R B F
L2 B2 U2 B' R F B
L2 B2 U2 B' R B F
L2 B2 U2 B2 R F B
L2 B2 U2 B2 R B F
L2 B2 D U2 R F B
L2 B2 D U2 R B F
L B2 U2 B R' F' R2
L2 B2 D' U2 R F B
L2 B2 D' U2 R B F
L2 B2 D2 U2 R F B
L2 B2 D2 U2 R B F
L' B2 F2 L' F' U2 F2
L2 B2 F2 L' U2 F' B'
L2 B2 F2 L' U2 B' F'
R B2 F L B' D2 F2
R B2 F' L B' D2 F2
L B2 F2 L' B' U2 B2
F B2 D2 B U2 R' B
R B2 F2 L B' D2 F2
