U B' U' R'
R' U B' U' R'
R2 U B' U' R'
R U B' U' R'
U D B' U' R'
D U B' U' R'
D' U B' U' R'
D2 U B' U' R'
U D' B' U' R'
U D2 B' U' R'
U F B' U' R'
U F' B' U' R'
U F2 B' U' R'
U B' U' R' D
U B' U' R' D'
U B' U' R' D2
U B' U' D R'
U B' U' D' R'
U B' U' D2 R'
U B' D U' R'
U B' D' U' R'
U B' D2 U' R'
U B' F U' R'
U B' F' U' R'
U B' F2 U' R'
U D' B' F' D' U' R'
U D' B' F' D2 U' R'
U D' B' F2 U' R' D
U D' B' F2 U' R' D'
U D' B' F2 U' R' D2
U D' B' F2 U' D R'
U D' B' F2 U' D' R'
U D' B' F2 U' D2 R'
U D' B' F2 D U' R'
U D' B' F2 D' U' R'
U D' B' F2 D2 U' R'
R' D2 R U B' U' R'
L' D2 R U' F' B' U
L' D2 R U' B' F' U
R' D2 R' U B' U' R'
R2 D2 R U B' U' R'
D' U2 L2 U F U R
D2 U2 L2 U F U R
U' D2 L2 F L2 U R
L2 D2 R' U' F B U
L2 D2 R' U' B F U
R D2 R U B' U' R'
R' D2 R2 U B' U' R'
R2 D2 R' U B' U' R'
U2 D2 L2 U F U R
D U2 L2 U F U R
R D2 R' U B' U' R'
R2 D2 R2 U B' U' R'
R' D2 U F B' U' R'
R' D2 U F' B' U' R'
R' D2 U F2 B' U' R'
D' U2 R' U' F' B' U'
R' D2 U B' U' R' D
R' D2 U B' U' R' D'
R' D2 U B' U' R' D2
R' D2 U B' U' D R'
R' D2 U B' U' D' R'
R' D2 U B' U' D2 R'
R' D2 U B' D U' R'
D' U2 R' U' B' F' U'
R' D2 U B' D' U' R'
R' D2 U B' D2 U' R'
R' D2 U B' F U' R'
R' D2 U B' F' U' R'
R' D2 U B' F2 U' R'
D2 U2 R' U' F' B' U'
D2 U2 R' U' B' F' U'
R D2 R2 U B' U' R'
U2 D2 R' U' F' B' U'
R2 D2 U F B' U' R'
U2 D2 R' U' B' F' U'
R2 D2 U F' B' U' R'
R2 D2 U F2 B' U' R'
R2 D2 U B' U' R' D
R2 D2 U B' U' R' D'
R2 D2 U B' U' R' D2
R2 D2 U B' U' D R'
R2 D2 U B' U' D' R'
R2 D2 U B' U' D2 R'
R2 D2 U B' D U' R'
R2 D2 U B' D' U' R'
R2 D2 U B' D2 U' R'
R2 D2 U B' F U' R'
R2 D2 U B' F' U' R'
R2 D2 U B' F2 U' R'
D U2 R' U' F' B' U'
D U2 R' U' B' F' U'
L D2 U F B U' L
R D2 U F B' U' R'
R D2 U F' B' U' R'
L D2 U B F U' L
R D2 U F2 B' U' R'
R D2 U B' U' R' D
R D2 U B' U' R' D'
R D2 U B' U' R' D2
R D2 U B' U' D R'
R D2 U B' U' D' R'
R D2 U B' U' D2 R'
R D2 U B' D U' R'
R D2 U B' D' U' R'
R D2 U B' D2 U' R'
R D2 U B' F U' R'
R D2 U B' F' U' R'
R D2 U B' F2 U' R'
U' D2 F U2 B' U' R
U D2 R' B' R U' R2
U D2 R2 B' R2 U' R
U D2 F D B' U' R'
U D2 F D' B' U' R'
U D2 F D2 B' U' R'
U D2 F B' U' R' D
U D2 F B' U' R' D'
U D2 F B' U' R' D2
U D2 F B' U' D R'
U D2 F B' U' D' R'
U D2 F B' U' D2 R'
U D2 F B' D U' R'
U D2 F B' D' U' R'
U D2 F B' D2 U' R'
U D2 F' D B' U' R'
U D2 F' D' B' U' R'
U D2 F' D2 B' U' R'
U D2 F' B' U' R' D
U D2 F' B' U' R' D'
U D2 F' B' U' R' D2
U D2 F' B' U' D R'
U D2 F' B' U' D' R'
U D2 F' B' U' D2 R'
U D2 F' B' D U' R'
U D2 F' B' D' U' R'
U D2 F' B' D2 U' R'
U D2 F2 D B' U' R'
U D2 F2 D' B' U' R'
U D2 F2 D2 B' U' R'
U D2 F2 B' U' R' D
U D2 F2 B' U' R' D'
U D2 F2 B' U' R' D2
U D2 F2 B' U' D R'
U D2 F2 B' U' D' R'
U D2 F2 B' U' D2 R'
U D2 F2 B' D U' R'
U D2 F2 B' D' U' R'
U D2 F2 B' D2 U' R'
U D2 B' U L U2 R'
U D2 B' U L' U2 R'
U D2 B' U L2 U2 R'
U D2 B' U' R2 D R
U D2 B' U' R2 D' R
U D2 B' U' R2 D2 R
U D2 B' U' D R' D
U D2 B' U' D R' D'
U D2 B' U' D R' D2
U D2 B' U' D' R' D
U D2 B' U' D' R' D'
U D2 B' U' D' R' D2
U D2 B' U' D2 R' D
U D2 B' U' D2 R' D'
U D2 B' U' D2 R' D2
U D2 B' U' F' R' F
U D2 B' U' F2 R' F2
U D2 B' D U' R' D
U D2 B' D U' R' D'
U D2 B' D U' R' D2
U D2 B' D F U' R'
U D2 B' D F' U' R'
U D2 B' D F2 U' R'
U D2 B' D' U' R' D
U D2 B' D' U' R' D'
U D2 B' D' U' R' D2
U D2 B' D' F U' R'
U D2 B' D' F' U' R'
U D2 B' D' F2 U' R'
U D2 B' D2 U' R' D
U D2 B' D2 U' R' D'
U D2 B' D2 U' R' D2
U D2 B' D2 F U' R'
U D2 B' D2 F' U' R'
U D2 B' D2 F2 U' R'
U D2 B' F U' R' D
U D2 B' F U' R' D'
U D2 B' F U' R' D2
U D2 B' F U' D R'
U D2 B' F U' D' R'
U D2 B' F U' D2 R'
U D2 B' F D U' R'
U D2 B' F D' U' R'
U D2 B' F D2 U' R'
U D2 B' F' U' R' D
U D2 B' F' U' R' D'
U D2 B' F' U' R' D2
U D2 B' F' U' D R'
U D2 B' F' U' D' R'
U D2 B' F' U' D2 R'
U D2 B' F' D U' R'
U D2 B' F' D' U' R'
U D2 B' F' D2 U' R'
U D2 B' F2 U' R' D
U D2 B' F2 U' R' D'
U D2 B' F2 U' R' D2
U D2 B' F2 U' D R'
U D2 B' F2 U' D' R'
U D2 B' F2 U' D2 R'
U D2 B' F2 D U' R'
U D2 B' F2 D' U' R'
U D2 B' F2 D2 U' R'
L2 F L B' U F' B
L2 F L B' U B F'
L F L' B' U' F' B
L F L' B' U' B F'
U' F U R U B' U'
U F R' B' R U' R2
R' F U B' U' F' R'
D' F U B' U' F' R'
D2 F U B' U' F' R'
U F R2 B' R2 U' R
R2 F U B' U' F' R'
B' D L F U' F' B
B' D L F U' B F'
D F U B' U' F' R'
U' F U2 D B' U' R
U' F U2 D' B' U' R
U' F U2 D2 B' U' R
U' F U2 B' U' R D
U' F U2 B' U' R D'
U' F U2 B' U' R D2
U' F U2 B' U' D R
U' F U2 B' U' D' R
U' F U2 B' U' D2 R
U' F U2 B' D U' R
U' F U2 B' D' U' R
U' F U2 B' D2 U' R
R F U B' U' F' R'
U' F D U2 B' U' R
U' F D' U2 B' U' R
U' F D2 U2 B' U' R
U F D F B' U' R'
U F D F' B' U' R'
U F D F2 B' U' R'
U F D B' U' R' D
U F D B' U' R' D'
U F D B' U' R' D2
U F D B' U' D R'
U F D B' U' D' R'
U F D B' U' D2 R'
U F D B' D U' R'
U F D B' D' U' R'
U F D B' D2 U' R'
U F D B' F U' R'
U F D B' F' U' R'
U F D B' F2 U' R'
U' F B U R D L2
U' F B U D L2 R
U' F B U D R L2
U' F B U2 B2 U' R
U F D' F B' U' R'
U' F B D U L2 R
U' F B D U R L2
U F D' F' B' U' R'
U F D' F2 B' U' R'
U F D' B' U' R' D
U F D' B' U' R' D'
U F D' B' U' R' D2
U F D' B' U' D R'
U F D' B' U' D' R'
U F D' B' U' D2 R'
U F D' B' D U' R'
U F D' B' D' U' R'
U F D' B' D2 U' R'
U F D' B' F U' R'
U F D' B' F' U' R'
U F D' B' F2 U' R'
U F D2 F B' U' R'
U F D2 F' B' U' R'
U F D2 F2 B' U' R'
U F D2 B' U' R' D
U F D2 B' U' R' D'
U F D2 B' U' R' D2
U F D2 B' U' D R'
U F D2 B' U' D' R'
U F D2 B' U' D2 R'
U F D2 B' D U' R'
U F D2 B' D' U' R'
U F D2 B' D2 U' R'
U F D2 B' F U' R'
U F D2 B' F' U' R'
U F D2 B' F2 U' R'
U' F B2 U2 B U' R
F' D U B' U' R' F
F' D U B' U' F R'
L F B U' F' B' L'
L F B U' B' F' L'
U F B' U L U2 R'
U F B' U L' U2 R'
U F B' U L2 U2 R'
U F B' U' R2 D R
U F B' U' R2 D' R
U F B' U' R2 D2 R
U F B' U' D R' D
U F B' U' D R' D'
U F B' U' D R' D2
U F B' U' D' R' D
U F B' U' D' R' D'
U F B' U' D' R' D2
U F B' U' D2 R' D
U F B' U' D2 R' D'
U F B' U' D2 R' D2
U F B' U' F' R' F
U F B' U' F2 R' F2
L F B' U' F' L' B
L F B' U' F' B L'
L F B' U' B F' L'
U F B' D U' R' D
U F B' D U' R' D'
U F B' D U' R' D2
U F B' D F U' R'
U F B' D F' U' R'
U F B' D F2 U' R'
U F B' D' U' R' D
U F B' D' U' R' D'
U F B' D' U' R' D2
U F B' D' F U' R'
U F B' D' F' U' R'
U F B' D' F2 U' R'
U F B' D2 U' R' D
U F B' D2 U' R' D'
U F B' D2 U' R' D2
U F B' D2 F U' R'
U F B' D2 F' U' R'
U F B' D2 F2 U' R'
F D U B' U' F' R'
L F B2 U' F' L' B2
L F B2 U' F' B2 L'
L F B2 U' B2 F' L'
F' D F U B' U' R'
B' D F' U' F B R
B' D F' U' B F R
F D F' U B' U' R'
B' D B U B' U' R'
F' D B' U' F B R
F' D B' U' B F R
U F' R' B' R U' R2
R' F' U B' U' R' F
R' F' U B' U' F R'
D2 F' U B' U' R' F
D2 F' U B' U' F R'
D' F' U B' U' R' F
D' F' U B' U' F R'
U F' R2 B' R2 U' R
R2 F' U B' U' R' F
R2 F' U B' U' F R'
B D B2 L2 D' B R'
B' D' L F U' F' B
B' D' L F U' B F'
D F' U B' U' R' F
D F' U B' U' F R'
U' F' U2 F2 B' U' R
U' F' U2 B' U L' U2
U' F' U2 B' F2 U' R
R F' U B' U' R' F
R F' U B' U' F R'
L2 F' D F' R F2 L'
U F' D F B' U' R'
U F' D F' B' U' R'
U F' D F2 B' U' R'
U F' D B' U' R' D
U F' D B' U' R' D'
U F' D B' U' R' D2
U F' D B' U' D R'
U F' D B' U' D' R'
U F' D B' U' D2 R'
U F' D B' D U' R'
U F' D B' D' U' R'
U F' D B' D2 U' R'
U F' D B' F U' R'
U F' D B' F' U' R'
U F' D B' F2 U' R'
U' F' B D2 F2 U R
U F' D' F B' U' R'
U F' D' F' B' U' R'
U F' D' F2 B' U' R'
U F' D' B' U' R' D
U F' D' B' U' R' D'
U F' D' B' U' R' D2
U F' D' B' U' D R'
U F' D' B' U' D' R'
U F' D' B' U' D2 R'
U F' D' B' D U' R'
U F' D' B' D' U' R'
U F' D' B' D2 U' R'
U F' D' B' F U' R'
U F' D' B' F' U' R'
U F' D' B' F2 U' R'
U' F' B' U' L' U2 L
R' F' B' U' F B R
R' F' B' U' B F R
D2 F' B' U' F B R
D2 F' B' U' B F R
D' F' B' U' F B R
D' F' B' U' B F R
U F' D2 F B' U' R'
U F' D2 F' B' U' R'
U F' D2 F2 B' U' R'
U F' D2 B' U' R' D
U F' D2 B' U' R' D'
U F' D2 B' U' R' D2
U F' D2 B' U' D R'
U F' D2 B' U' D' R'
U F' D2 B' U' D2 R'
U F' D2 B' D U' R'
U F' D2 B' D' U' R'
U F' D2 B' D2 U' R'
U F' D2 B' F U' R'
U F' D2 B' F' U' R'
U F' D2 B' F2 U' R'
F' D' U B' U' R' F
F' D' U B' U' F R'
R2 F' B' U' F B R
R2 F' B' U' B F R
D F' B' U' F B R
D F' B' U' B F R
F2 D' U B' L2 U' R'
U F' B' U L U2 R'
U F' B' U L' U2 R'
U F' B' U L2 U2 R'
U F' B' U' R2 D R
U F' B' U' R2 D' R
U F' B' U' R2 D2 R
U F' B' U' D R' D
U F' B' U' D R' D'
U F' B' U' D R' D2
U F' B' U' D' R' D
U F' B' U' D' R' D'
U F' B' U' D' R' D2
U F' B' U' D2 R' D
U F' B' U' D2 R' D'
U F' B' U' D2 R' D2
U F' B' U' F' R' F
U F' B' U' F2 R' F2
U F' B' D U' R' D
U F' B' D U' R' D'
U F' B' D U' R' D2
U F' B' D F U' R'
U F' B' D F' U' R'
U F' B' D F2 U' R'
U F' B' D' U' R' D
U F' B' D' U' R' D'
U F' B' D' U' R' D2
U F' B' D' F U' R'
U F' B' D' F' U' R'
U F' B' D' F2 U' R'
U F' B' D2 U' R' D
U F' B' D2 U' R' D'
U F' B' D2 U' R' D2
U F' B' D2 F U' R'
U F' B' D2 F' U' R'
U F' B' D2 F2 U' R'
R F' B' U' F B R
R F' B' U' B F R
F D' U B' U' F' R'
F' D' F U B' U' R'
B' D' F' U' F B R
B' D' F' U' B F R
F D' F' U B' U' R'
B' D' B U B' U' R'
F' D' B' U' F B R
F' D' B' U' B F R
R' F2 U B' U' R' F2
R' F2 U B' U' F2 R'
D2 F2 U B' U' R' F2
D2 F2 U B' U' F2 R'
U F2 R' B' R U' R2
D' F2 U B' U' R' F2
D' F2 U B' U' F2 R'
U F2 R2 B' R2 U' R
B' D2 L F U' F' B
B' D2 L F U' B F'
R2 F2 U B' U' R' F2
R2 F2 U B' U' F2 R'
D F2 U B' U' R' F2
D F2 U B' U' F2 R'
U' F2 U2 F' B' U' R
U' F2 U2 B' F' U' R
R F2 U B' U' R' F2
R F2 U B' U' F2 R'
U F2 D F B' U' R'
U F2 D F' B' U' R'
U F2 D F2 B' U' R'
U F2 D B' U' R' D
U F2 D B' U' R' D'
U F2 D B' U' R' D2
U F2 D B' U' D R'
U F2 D B' U' D' R'
U F2 D B' U' D2 R'
U F2 D B' D U' R'
U F2 D B' D' U' R'
U F2 D B' D2 U' R'
U F2 D B' F U' R'
U F2 D B' F' U' R'
U F2 D B' F2 U' R'
U F2 D' F B' U' R'
U F2 D' F' B' U' R'
U F2 D' F2 B' U' R'
U F2 D' B' U' R' D
U F2 D' B' U' R' D'
U F2 D' B' U' R' D2
U F2 D' B' U' D R'
U F2 D' B' U' D' R'
U F2 D' B' U' D2 R'
U F2 D' B' D U' R'
U F2 D' B' D' U' R'
U F2 D' B' D2 U' R'
U F2 D' B' F U' R'
U F2 D' B' F' U' R'
U F2 D' B' F2 U' R'
U F2 D2 F B' U' R'
U F2 D2 F' B' U' R'
U F2 D2 F2 B' U' R'
U F2 D2 B' U' R' D
U F2 D2 B' U' R' D'
U F2 D2 B' U' R' D2
U F2 D2 B' U' D R'
U F2 D2 B' U' D' R'
U F2 D2 B' U' D2 R'
U F2 D2 B' D U' R'
U F2 D2 B' D' U' R'
U F2 D2 B' D2 U' R'
U F2 D2 B' F U' R'
U F2 D2 B' F' U' R'
U F2 D2 B' F2 U' R'
F' D2 U B' U' R' F
F' D2 U B' U' F R'
U F2 B' U L U2 R'
U F2 B' U L' U2 R'
U F2 B' U L2 U2 R'
U F2 B' U' R2 D R
U F2 B' U' R2 D' R
U F2 B' U' R2 D2 R
U F2 B' U' D R' D
U F2 B' U' D R' D'
U F2 B' U' D R' D2
U F2 B' U' D' R' D
U F2 B' U' D' R' D'
U F2 B' U' D' R' D2
U F2 B' U' D2 R' D
U F2 B' U' D2 R' D'
U F2 B' U' D2 R' D2
U F2 B' U' F' R' F
U F2 B' U' F2 R' F2
U F2 B' D U' R' D
U F2 B' D U' R' D'
U F2 B' D U' R' D2
U F2 B' D F U' R'
U F2 B' D F' U' R'
U F2 B' D F2 U' R'
U F2 B' D' U' R' D
U F2 B' D' U' R' D'
U F2 B' D' U' R' D2
U F2 B' D' F U' R'
U F2 B' D' F' U' R'
U F2 B' D' F2 U' R'
U F2 B' D2 U' R' D
U F2 B' D2 U' R' D'
U F2 B' D2 U' R' D2
U F2 B' D2 F U' R'
U F2 B' D2 F' U' R'
U F2 B' D2 F2 U' R'
F D2 U B' U' F' R'
F' D2 F U B' U' R'
B' D2 F' U' F B R
B' D2 F' U' B F R
L' B R D' R2 B' L
L' B R D' B' L R2
L' B R D' B' R2 L
L' B R' D' R2 B' L
L' B R' D' B' L R2
L' B R' D' B' R2 L
B' D2 B U B' U' R'
F D2 F' U B' U' R'
B D2 F2 U F2 B' R'
B D2 F2 U B' R' F2
B D2 F2 U B' F2 R'
L' B R2 D' R2 B' L
L' B R2 D' B' L R2
L' B R2 D' B' R2 L
F' D2 B' U' F B R
F' D2 B' U' B F R
R' B U B2 U' B R'
D2 B U B2 U' B R'
D' B U B2 U' B R'
U B R' B2 R U' R2
B' F L F U' F2 B
B' F L F U' B F2
U B R2 B2 R2 U' R
U B U L U' B2 U'
U B U L U2 D L2
U B U L D U2 L2
U B U L D' R2 U2
R2 B U B2 U' B R'
D B U B2 U' B R'
U B U D L U2 L
U B U D' L R2 U2
U B U D' R2 L U2
U' B D F U L2 R
U' B D F U R L2
R B U B2 U' B R'
L' B D' R B' L R
L' B D' R B' R L
L' B D' R2 B' L D
L' B D' R2 B' L D'
L' B D' R2 B' L D2
L' B D' R2 B' D L
L' B D' R2 B' D' L
L' B D' R2 B' D2 L
L' B D' B' L R2 D
L' B D' B' L R2 D'
L' B D' B' L R2 D2
L' B D' B' R2 L D
L' B D' B' R2 L D'
L' B D' B' R2 L D2
L' B D' B' R2 D L
L' B D' B' R2 D' L
L' B D' B' R2 D2 L
U B D U L U2 L
U B D B2 U' L2 R'
U B D B2 U' R' L2
U' B F U R D L2
U' B F U D L2 R
U' B F U D R L2
U' B F U2 B2 U' R
U' B F D U L2 R
U' B F D U R L2
U B D' U L R2 U2
U B D' U R2 L U2
U' B F' D2 F2 U R
L B F U' F' B' L'
L B F U' B' F' L'
B' F U' F B R F2
R' B' L F U' F' B
R' B' L F U' B F'
D2 B' L F U' F' B
D2 B' L F U' B F'
D' B' L F U' F' B
D' B' L F U' B F'
B' F U' B F R F2
L' B' L' F U F' B
L' B' L' F U B F'
R2 B' L F U' F' B
R2 B' L F U' B F'
D B' L F U' F' B
D B' L F U' B F'
U B' L D L' U' R'
U B' L D' L' U' R'
U B' L D2 L' U' R'
U B' L F U' R' F'
R B' L F U' F' B
R B' L F U' B F'
U B' L' D L U' R'
U B' L' D' L U' R'
U B' L' D2 L U' R'
U B' L' F L U' R'
U B' L' F' L U' R'
U B' L' F2 L U' R'
U B' L2 U' R' D F2
U B' L2 U' D R' F2
U B' L2 U' D F2 R'
U B' L2 D U' R' F2
U B' L2 D U' F2 R'
U B' L2 F L2 U' R'
U B' L2 F' L2 U' R'
U B' L2 F2 L2 U' R'
U B' R D' R' F2 U'
U B' R D' F2 R' U'
U B' R F R' U' R'
U B' R F' R' U' R'
U B' R F2 R' U' R'
F2 B' L F U' F B
F2 B' L F U' B F
U B' R' D R U' R'
U B' R' D' R U' R'
U B' R' D2 R U' R'
U B' R2 U' D R B2
U B' R2 U' D B2 R
F B' L F U' F2 B
F B' L F U' B F2
U B' R2 D U' R B2
U B' R2 D U' B2 R
U B' U L U2 R' D
U B' U L U2 R' D'
U B' U L U2 R' D2
U B' U L U2 D R'
U B' U L U2 D' R'
U B' U L U2 D2 R'
U B' U L D U2 R'
U B' U L D' U2 R'
U B' U L D2 U2 R'
U B' U L' U2 R' D
U B' U L' U2 R' D'
U B' U L' U2 R' D2
U B' U L' U2 D R'
U B' U L' U2 D' R'
U B' U L' U2 D2 R'
U B' U L' D U2 R'
U B' U L' D' U2 R'
U B' U L' D2 U2 R'
U B' U L2 U2 R' D
U B' U L2 U2 R' D'
U B' U L2 U2 R' D2
U B' U L2 U2 D R'
U B' U L2 U2 D' R'
U B' U L2 U2 D2 R'
U B' U L2 D U2 R'
U B' U L2 D' U2 R'
U B' U L2 D2 U2 R'
U B' U D L U2 R'
U B' U D L' U2 R'
U B' U D L2 U2 R'
U B' U D' L U2 R'
U B' U D' L' U2 R'
U B' U D' L2 U2 R'
U B' U D2 L U2 R'
U B' U D2 L' U2 R'
U B' U D2 L2 U2 R'
U B' U B2 L B2 U2
U B' U' L R' D L'
U B' U' L R' D' L'
U B' U' L R' D2 L'
U B' U' L D L' R'
U B' U' L D R' L'
U B' U' L D' L' R'
U B' U' L D' R' L'
U B' U' L D2 L' R'
U B' U' L D2 R' L'
U B' U' L' R' D L
U B' U' L' R' D' L
U B' U' L' R' D2 L
U B' U' L' D L R'
U B' U' L' D R' L
U B' U' L' D' L R'
U B' U' L' D' R' L
U B' U' L' D2 L R'
U B' U' L' D2 R' L
U B' U' R F' R2 F
U B' U' R F2 R2 F2
U B' U' R B R2 B'
U B' U' R B2 R2 B2
U B' U' R' L D L'
U B' U' R' L D' L'
U B' U' R' L D2 L'
U B' U' R' L' D L
U B' U' R' L' D' L
U B' U' R' L' D2 L
U B' U' R' F D F'
U B' U' R' F D' F'
U B' U' R' F D2 F'
U B' U' R' F' D F
U B' U' R' F' D' F
U B' U' R' F' D2 F
U B' U' R' B D B'
U B' U' R' B D' B'
U B' U' R' B D2 B'
U B' U' R' B' D B
U B' U' R' B' D' B
U B' U' R' B' D2 B
U B' U' R2 D R D
U B' U' R2 D R D'
U B' U' R2 D R D2
U B' U' R2 D' R D
U B' U' R2 D' R D'
U B' U' R2 D' R D2
U B' U' R2 D2 R D
U B' U' R2 D2 R D'
U B' U' R2 D2 R D2
U B' U' R2 B R B'
U B' U' R2 B2 R B2
U B' U' D R2 D R
U B' U' D R2 D' R
U B' U' D R2 D2 R
U B' U' D F' R' F
U B' U' D F2 R' F2
U B' U' D' R2 D R
U B' U' D' R2 D' R
U B' U' D' R2 D2 R
U B' U' D' F' R' F
U B' U' D' F2 R' F2
U B' U' D2 R2 D R
U B' U' D2 R2 D' R
U B' U' D2 R2 D2 R
U B' U' D2 F' R' F
U B' U' D2 F2 R' F2
U B' U' F D F' R'
U B' U' F D' F' R'
U B' U' F D2 F' R'
U B' U' F' R F R2
U B' U' F' R' D F
U B' U' F' R' D' F
U B' U' F' R' D2 F
U B' U' F' R' F D
U B' U' F' R' F D'
U B' U' F' R' F D2
U B' U' F' D R' F
U B' U' F' D F R'
U B' U' F' D' R' F
U B' U' F' D' F R'
U B' U' F' D2 R' F
U B' U' F' D2 F R'
U B' U' F2 R F2 R2
U B' U' F2 R' F2 D
U B' U' F2 R' F2 D'
U B' U' F2 R' F2 D2
U B' U' B R B' R'
U B' U' B R' B' R'
U B' U' B R2 B' R'
U B' U' B D B' R'
U B' U' B D' B' R'
U B' U' B D2 B' R'
U B' U' B2 R B2 R'
U B' U' B2 R' B2 R'
U B' U' B2 R2 B2 R'
U B' U2 B2 U' L U2
U B' D U L U2 R'
U B' D U L' U2 R'
U B' D U L2 U2 R'
U B' D U' R2 D R
U B' D U' R2 D' R
U B' D U' R2 D2 R
U B' D U' F' R' F
U B' D U' F2 R' F2
U B' D F U' R' D
U B' D F U' R' D'
U B' D F U' R' D2
U B' D F U' D R'
U B' D F U' D' R'
U B' D F U' D2 R'
U B' D F D U' R'
U B' D F D' U' R'
U B' D F D2 U' R'
U B' D F' U' R' D
U B' D F' U' R' D'
U B' D F' U' R' D2
U B' D F' U' D R'
U B' D F' U' D' R'
U B' D F' U' D2 R'
U B' D F' D U' R'
U B' D F' D' U' R'
U B' D F' D2 U' R'
U B' D F2 U' R' D
U B' D F2 U' R' D'
U B' D F2 U' R' D2
U B' D F2 U' D R'
U B' D F2 U' D' R'
U B' D F2 U' D2 R'
U B' D F2 D U' R'
U B' D F2 D' U' R'
U B' D F2 D2 U' R'
B' F' U' R' F R B
B' F' U' D F B R
B' F' U' D B F R
B' F' U' D' F B R
B' F' U' D' B F R
B' F' U' D2 F B R
B' F' U' D2 B F R
B' F' U' F D B R
B' F' U' F D' B R
B' F' U' F D2 B R
B' F' U' F B R D
B' F' U' F B R D'
B' F' U' F B R D2
B' F' U' F B D R
B' F' U' F B D' R
B' F' U' F B D2 R
B' F' U' F B' R B2
B' F' U' F B2 R B'
F' B' U' R' F R B
B' F' U' B R F R
B' F' U' B R' F R
B' F' U' B R2 F R
B' F' U' B D F R
B' F' U' B D' F R
U B' D' U L U2 R'
B' F' U' B D2 F R
U B' D' U L' U2 R'
B' F' U' B F R D
B' F' U' B F R D'
B' F' U' B F R D2
U B' D' U L2 U2 R'
B' F' U' B F D R
B' F' U' B F D' R
B' F' U' B F D2 R
F' B' U' D F B R
F' B' U' D B F R
B' F' U' B' F R B2
U B' D' U' R2 D R
U B' D' U' R2 D' R
U B' D' U' R2 D2 R
U B' D' U' F' R' F
U B' D' U' F2 R' F2
F' B' U' D' F B R
F' B' U' D' B F R
B' F' U' B2 F R B'
F' B' U' D2 F B R
F' B' U' D2 B F R
U B' D' F U' R' D
U B' D' F U' R' D'
U B' D' F U' R' D2
U B' D' F U' D R'
U B' D' F U' D' R'
U B' D' F U' D2 R'
U B' D' F D U' R'
U B' D' F D' U' R'
U B' D' F D2 U' R'
F' B' U' F D B R
F' B' U' F D' B R
F' B' U' F D2 B R
F' B' U' F B R D
F' B' U' F B R D'
F' B' U' F B R D2
U' B' F' U' L' U2 L
F' B' U' F B D R
F' B' U' F B D' R
F' B' U' F B D2 R
F' B' U' F B' R B2
F' B' U' F B2 R B'
U B' D' F' U' R' D
U B' D' F' U' R' D'
U B' D' F' U' R' D2
U B' D' F' U' D R'
U B' D' F' U' D' R'
U B' D' F' U' D2 R'
U B' D' F' D U' R'
U B' D' F' D' U' R'
U B' D' F' D2 U' R'
U B' D' F2 U' R' D
U B' D' F2 U' R' D'
U B' D' F2 U' R' D2
U B' D' F2 U' D R'
U B' D' F2 U' D' R'
U B' D' F2 U' D2 R'
U B' D' F2 D U' R'
U B' D' F2 D' U' R'
U B' D' F2 D2 U' R'
F' B' U' B R F R
F' B' U' B R' F R
F' B' U' B R2 F R
F' B' U' B D F R
F' B' U' B D' F R
F' B' U' B D2 F R
F' B' U' B F R D
F' B' U' B F R D'
F' B' U' B F R D2
F' B' U' B F D R
F' B' U' B F D' R
F' B' U' B F D2 R
F' B' U' B' F R B2
F2 B' U' F B R F
R' B' F' U' F B R
D2 B' F' U' F B R
F' B' U' B2 F R B'
R' B' F' U' B F R
D2 B' F' U' B F R
F2 B' U' F2 D2 B R'
D' B' F' U' F B R
D' B' F' U' B F R
F2 B' U' B F R F
U B' D2 U L U2 R'
U B' D2 U L' U2 R'
U B' D2 U L2 U2 R'
U B' D2 U' R2 D R
U B' D2 U' R2 D' R
U B' D2 U' R2 D2 R
U B' D2 U' F' R' F
U B' D2 U' F2 R' F2
U B' D2 F U' R' D
U B' D2 F U' R' D'
U B' D2 F U' R' D2
U B' D2 F U' D R'
U B' D2 F U' D' R'
U B' D2 F U' D2 R'
U B' D2 F D U' R'
U B' D2 F D' U' R'
U B' D2 F D2 U' R'
U B' D2 F' U' R' D
U B' D2 F' U' R' D'
U B' D2 F' U' R' D2
U B' D2 F' U' D R'
U B' D2 F' U' D' R'
U B' D2 F' U' D2 R'
U B' D2 F' D U' R'
U B' D2 F' D' U' R'
U B' D2 F' D2 U' R'
U B' D2 F2 U' R' D
U B' D2 F2 U' R' D'
U B' D2 F2 U' R' D2
U B' D2 F2 U' D R'
U B' D2 F2 U' D' R'
U B' D2 F2 U' D2 R'
U B' D2 F2 D U' R'
U B' D2 F2 D' U' R'
U B' D2 F2 D2 U' R'
B' F' D U' F B R
B' F' D U' B F R
U B' F U L U2 R'
U B' F U L' U2 R'
U B' F U L2 U2 R'
F B' U' F B R F2
R2 B' F' U' F B R
R2 B' F' U' B F R
L B' F U' F' L' B
L B' F U' F' B L'
F' B' D U' F B R
U B' F U' R2 D R
U B' F U' R2 D' R
U B' F U' R2 D2 R
U B' F U' D R' D
U B' F U' D R' D'
U B' F U' D R' D2
L B' F U' B F' L'
U B' F U' D' R' D
U B' F U' D' R' D'
U B' F U' D' R' D2
U B' F U' D2 R' D
U B' F U' D2 R' D'
U B' F U' D2 R' D2
F' B' D U' B F R
U B' F U' F' R' F
U B' F U' F2 R' F2
F B' U' B F R F2
