R2 D F' L' B2
R2 D F' B2 L'
R2 D B2 F' L'
F' U' L' R2 F'
F' U' R2 L' F'
R2 F' L' D B2
R2 F' D L' B2
R2 F' D B2 L'
D U2 B2 U' B' U2 L
R2 D2 B2 F' D' L' B2
R2 D2 B2 F' D' B2 L'
R2 F L F2 L' D B2
R2 F L F2 D L' B2
R2 F L F2 D B2 L'
F2 U2 F U L' R2 F'
F2 U2 F U R2 L' F'
R2 F L' F2 L' D B2
R2 F L' F2 D L' B2
R2 F L' F2 D B2 L'
R2 F L2 F2 L' D B2
R2 F L2 F2 D L' B2
R2 F L2 F2 D B2 L'
B' U2 B U L R2 F'
B' U2 B U R2 L F'
B' U2 B U R2 F' L
U' F R2 D' F L' F2
F U2 F2 U L' R2 F'
F U2 F2 U R2 L' F'
L' F R2 D F' B2 L
U' F R2 F2 D' F L'
L' F R2 D B2 L F'
L' F R2 D B2 F' L
L' F R2 F' D B2 L
L2 F R2 D F' B2 L
L2 F R2 D B2 L F'
L2 F R2 D B2 F' L
D2 F U L2 B R U2
R2 F R2 U' R2 F2 L'
L' F U R U2 R F'
L2 F R2 F' D B2 L
D2 F U B L2 R U2
D2 F U B R L2 U2
L2 F U R U2 R F'
L' F U B R U2 R
L F R2 D F' B2 L
L F R2 D B2 L F'
L F R2 D B2 F' L
L F R2 F' D B2 L
L2 F U B R U2 R
L' F U' F' R2 F' L'
L' F U' F2 L' R2 F'
L' F U' F2 R2 L' F'
L F U R U2 R F'
U F U R2 F' B L
U F U R2 B L F'
U F U R2 B F' L
L2 F U' F' R2 F' L'
L2 F U' F2 L' R2 F'
L2 F U' F2 R2 L' F'
L F U B R U2 R
U F U' R2 F' L' B
U F U' R2 F' B L'
U F U' R2 B F' L'
L F U' F' R2 F' L'
L F U' F2 L' R2 F'
L F U' F2 R2 L' F'
R2 F D B2 D' F2 L'
F' D U' L' D' R2 F'
L' F' L U' L2 R2 F'
L' F' L U' R2 L2 F'
L' F' L U' R2 F' L2
L2 F' L U' L2 R2 F'
L2 F' L U' R2 L2 F'
L2 F' L U' R2 F' L2
R2 F' L U R2 U' L2
L' F' L' R2 D F' B2
L' F' L' R2 D B2 F'
L' F' L' R2 F' D B2
R2 F' L D B2 D' L2
L2 F' L' R2 D F' B2
L2 F' L' R2 D B2 F'
R2 F' L B L2 D B2
L2 F' L' R2 F' D B2
R2 F' L B' L2 D B2
R2 F' L B2 L2 D B2
L F' L U' L2 R2 F'
L F' L U' R2 L2 F'
L F' L U' R2 F' L2
R2 F' L' U R2 U' D
R2 F' L' U R2 U' D'
R2 F' L' U R2 U' D2
R2 F' L' U R2 D U'
R2 F' L' U R2 D' U'
R2 F' L' U R2 D2 U'
R2 F' L' U' D2 L2 U
L' F' L2 U' L R2 F'
L' F' L2 U' R2 L F'
R2 F' L' U2 D' F2 U2
L' F' L2 U' R2 F' L
R2 F' L' D L B2 L'
R2 F' L' D L2 B2 L2
R2 F' L' D R' B2 R
R2 F' L' D R2 B2 R2
R2 F' L' D B D B
R2 F' L' D B D' B
R2 F' L' D B D2 B
R2 F' L' D B' D B'
R2 F' L' D B' D' B'
R2 F' L' D B' D2 B'
R2 F' L' D' U2 F2 U2
R2 F' L' D' B D2 B2
R2 F' L' D' B' D2 B2
R2 F' L' D' B2 D2 B2
R2 F' L' D2 U' L2 U
R2 F' L' D2 B D' B2
R2 F' L' D2 B' D' B2
R2 F' L' D2 B2 D' B2
R2 F' L' F D F' B2
R2 F' L' F D B2 F'
R2 F' L' F' D F B2
R2 F' L' F' D B2 F
R2 F' L' B U R2 U'
R2 F' L' B D B2 D
R2 F' L' B D B2 D'
R2 F' L' B D B2 D2
L2 F' L2 U' L R2 F'
R2 F' L' B' U R2 U'
R2 F' L' B' D B2 D
R2 F' L' B' D B2 D'
R2 F' L' B' D B2 D2
L2 F' L2 U' R2 L F'
L2 F' L2 U' R2 F' L
L F' L' R2 D F' B2
L F' L' R2 D B2 F'
R2 F' L' B2 U R2 U'
L F' L' R2 F' D B2
R2 F' L' B2 D B2 D
R2 F' L' B2 D B2 D'
R2 F' L' B2 D B2 D2
R2 F' L2 U R2 U' L
R2 F' L2 D L B2 D
R2 F' L2 D L B2 D'
R2 F' L2 D L B2 D2
R2 F' L2 D L' B2 L2
R2 F' L2 D L2 B2 L'
R2 F' L2 D' L D2 B2
R2 F' L2 B2 D B2 L
L F' L2 U' L R2 F'
L F' L2 U' R2 L F'
L F' L2 U' R2 F' L
U' F' R2 D' F L' F2
L' F' R2 L' D F' B2
L' F' R2 L' D B2 F'
L' F' R2 L' F' D B2
U' F' R2 F2 D' F L'
L' F' R2 D L' F' B2
L' F' R2 D L' B2 F'
L' F' R2 D B2 L' F'
L2 F' R2 L' D F' B2
L2 F' R2 L' D B2 F'
L2 F' R2 L' F' D B2
L2 F' R2 D L' F' B2
L2 F' R2 D L' B2 F'
L2 F' R2 D B2 L' F'
D2 F' U B L2 U2 L
L F' R2 L' D F' B2
L' F' U B U2 L' R2
L F' R2 L' D B2 F'
L' F' U B U2 R2 L'
L F' R2 L' F' D B2
L' F' U' L R2 F' L2
L' F' U' L' R2 D F'
L' F' U' L' R2 D' F'
L' F' U' L' R2 D2 F'
L' F' U' L' R2 F' D
L' F' U' L' R2 F' D'
L' F' U' L' R2 F' D2
L' F' U' L' F R2 F'
L' F' U' L' F' R2 F'
L' F' U' L' F2 R2 F'
L F' R2 D L' F' B2
L F' R2 D L' B2 F'
L' F' U' L2 R2 F' L
L F' R2 D B2 L' F'
R2 F' U R2 U' L' D
R2 F' U R2 U' L' D'
R2 F' U R2 U' L' D2
R2 F' U R2 U' D L'
R2 F' U R2 U' D' L'
R2 F' U R2 U' D2 L'
R2 F' U R2 D U' L'
R2 F' U R2 D' U' L'
R2 F' U R2 D2 U' L'
R2 F' U R2 B U' L'
R2 F' U R2 B' U' L'
L' F' U' R2 L F' L2
L' F' U' R2 L' D F'
D2 F' U' D2 L' R2 F'
L' F' U' R2 L' D' F'
R2 F' U R2 B2 U' L'
L' F' U' R2 L' D2 F'
L' F' U' R2 L' F' D
L' F' U' R2 L' F' D'
L' F' U' R2 L' F' D2
L' F' U' R2 L2 F' L
D2 F' U' D2 R2 L' F'
L' F' U' R2 D L' F'
L' F' U' R2 D' L' F'
L' F' U' R2 D2 L' F'
L2 F' U B U2 L' R2
L2 F' U B U2 R2 L'
L2 F' U' L R2 F' L2
L' F' U' F R2 F' L'
L2 F' U' L' R2 D F'
L2 F' U' L' R2 D' F'
L2 F' U' L' R2 D2 F'
L2 F' U' L' R2 F' D
L2 F' U' L' R2 F' D'
L2 F' U' L' R2 F' D2
L2 F' U' L' F R2 F'
L2 F' U' L' F' R2 F'
L2 F' U' L' F2 R2 F'
L2 F' U' L2 R2 F' L
R2 F' U B R2 U' L'
R2 F' U B' R2 U' L'
R2 F' U B2 R2 U' L'
L2 F' U' R2 L F' L2
L2 F' U' R2 L' D F'
L2 F' U' R2 L' D' F'
L2 F' U' R2 L' D2 F'
L2 F' U' R2 L' F' D
L2 F' U' R2 L' F' D'
L2 F' U' R2 L' F' D2
L2 F' U' R2 L2 F' L
L2 F' U' R2 D L' F'
L2 F' U' R2 D' L' F'
L2 F' U' R2 D2 L' F'
L2 F' U' F R2 F' L'
D F' U' L' D' R2 F'
R2 F' U' D2 L2 U L
L F' U B U2 L' R2
L F' U B U2 R2 L'
D F' U' D' L' R2 F'
D F' U' D' R2 L' F'
L F' U' L R2 F' L2
L F' U' L' R2 D F'
L F' U' L' R2 D' F'
L F' U' L' R2 D2 F'
L F' U' L' R2 F' D
L F' U' L' R2 F' D'
L F' U' L' R2 F' D2
L F' U' L' F R2 F'
L F' U' L' F' R2 F'
L F' U' L' F2 R2 F'
L F' U' L2 R2 F' L
L F' U' R2 L F' L2
L F' U' R2 L' D F'
L F' U' R2 L' D' F'
L F' U' R2 L' D2 F'
L F' U' R2 L' F' D
L F' U' R2 L' F' D'
L F' U' R2 L' F' D2
L F' U' R2 L2 F' L
L F' U' R2 D L' F'
L F' U' R2 D' L' F'
L F' U' R2 D2 L' F'
L F' U' F R2 F' L'
R2 F' U2 D' F2 R U2
R2 F' D L B L2 B
R2 F' D L B2 L2 D
R2 F' D L B2 L2 D'
R2 F' D L B2 L2 D2
R2 F' D L' R' B2 R
R2 F' D L' R2 B2 R2
R2 F' D L' B D B
R2 F' D L' B D' B
R2 F' D L' B D2 B
R2 F' D L' B' D B'
R2 F' D L' B' D' B'
R2 F' D L' B' D2 B'
R2 F' D R' L' B2 R
R2 F' D R' B2 L' R
R2 F' D R' B2 R L'
R2 F' D R2 L' B2 R2
R2 F' D R2 B2 L' R2
R2 F' D R2 B2 R2 L'
R2 F' D B L B L2
R2 F' D B L' D B
R2 F' D B L' D' B
R2 F' D B L' D2 B
R2 F' D B L' B D
R2 F' D B L' B D'
R2 F' D B L' B D2
R2 F' D B D L' B
R2 F' D B D B L'
R2 F' D B D' L' B
R2 F' D B D' B L'
R2 F' D B D2 L' B
R2 F' D B D2 B L'
R2 F' D B' D B' L'
R2 F' D B' D' B' L'
R2 F' D B' D2 B' L'
R2 F' D B2 L2 D L
R2 F' D B2 L2 D' L
R2 F' D B2 L2 D2 L
R2 F' D B2 D L' D
R2 F' D B2 D L' D'
R2 F' D B2 D L' D2
R2 F' D B2 D' L' D
R2 F' D B2 D' L' D'
R2 F' D B2 D' L' D2
R2 F' D B2 D2 L' D
R2 F' D B2 D2 L' D'
R2 F' D B2 D2 L' D2
R2 F' D' L' U2 F2 U2
R2 F' D' L' D2 B2 D
R2 F' D' L' D2 B2 D'
R2 F' D' L' D2 B2 D2
R2 F' D' L' B D2 B2
R2 F' D' L' B' D2 B2
R2 F' D' L' B2 D2 B2
R2 F' D' L2 D2 L B2
D2 F' D2 U' L' R2 F'
D2 F' D2 U' R2 L' F'
R2 F' D' U2 F2 R U2
D F' D' U' L' R2 F'
D F' D' U' R2 L' F'
R2 F' D' B L' D2 B2
R2 F' D' B D2 L' B2
R2 F' D' B D2 B2 L'
R2 F' D' B' L' D2 B2
R2 F' D' B' D2 L' B2
R2 F' D' B' D2 B2 L'
R2 F' D' B2 L' D2 B2
R2 F' D' B2 D2 L' B2
R2 F' D' B2 D2 B2 L'
R2 F' D2 L' U' L' U
R2 F' D2 U' L2 U L
R2 F' D2 B D' L' B2
R2 F' D2 B D' B2 L'
R2 F' D2 B' D' L' B2
R2 F' D2 B' D' B2 L'
R2 F' D2 B2 D' L' B2
R2 F' D2 B2 D' B2 L'
R2 F' B L' U R2 U'
R2 F' B L' D B2 D
R2 F' B L' D B2 D'
R2 F' B L' D B2 D2
R2 F' B L' B D B2
R2 F' B L' B' D B2
R2 F' B L' B2 D B2
R2 F' B L2 D L B2
R2 F' B U R2 U' L'
R2 F' B D L B2 L2
R2 F' B D L' B2 D
R2 F' B D L' B2 D'
R2 F' B D L' B2 D2
R2 F' B D B L' B
R2 F' B D B2 L' D
R2 F' B D B2 L' D'
R2 F' B D B2 L' D2
R2 F' B D B2 D L'
R2 F' B D B2 D' L'
R2 F' B D B2 D2 L'
R2 F' B D' L' D2 B2
R2 F' B' L' U R2 U'
R2 F' B' L' D B2 D
R2 F' B' L' D B2 D'
R2 F' B' L' D B2 D2
R2 F' B' L' B D B2
R2 F' B' L' B' D B2
R2 F' B' L' B2 D B2
R2 F' B' L2 D L B2
R2 F' B' U R2 U' L'
R2 F' B' D L B2 L2
R2 F' B' D L' B2 D
R2 F' B' D L' B2 D'
R2 F' B' D L' B2 D2
F' D' U' L' D R2 F'
R2 F' B' D B L' B
R2 F' B' D B2 L' D
R2 F' B' D B2 L' D'
R2 F' B' D B2 L' D2
R2 F' B' D B2 D L'
R2 F' B' D B2 D' L'
R2 F' B' D B2 D2 L'
R2 F' B' D' L' D2 B2
R2 F' B2 L' U R2 U'
R2 F' B2 L' D B2 D
R2 F' B2 L' D B2 D'
R2 F' B2 L' D B2 D2
R2 F' B2 L' B D B2
R2 F' B2 L' B' D B2
R2 F' B2 L' B2 D B2
R2 F' B2 L2 D L B2
R2 F' B2 U R2 U' L'
R2 F' B2 D L B2 L2
R2 F' B2 D L' B2 D
R2 F' B2 D L' B2 D'
R2 F' B2 D L' B2 D2
R2 F' B2 D B L' B
R2 F' B2 D B2 L' D
R2 F' B2 D B2 L' D'
R2 F' B2 D B2 L' D2
R2 F' B2 D B2 D L'
R2 F' B2 D B2 D' L'
R2 F' B2 D B2 D2 L'
R2 F' B2 D' L' D2 B2
B2 D' F2 L2 U' F L'
F' D' F2 U B R U2
B2 D' F2 U' L2 F L'
U' F2 R2 D' F L' F2
U' F2 R2 F2 D' F L'
F D' F2 U B U2 L'
R2 F2 R2 U' R2 F L'
R2 F2 R2 U' F L' R2
R2 F2 R2 U' F R2 L'
D' F2 U D2 B R' U2
L' F2 U' R2 F L' F2
R2 F2 U R2 U' F L'
L' F2 U' F L' R2 F'
L' F2 U' F R2 L' F'
L' F2 U' F2 R2 F' L'
L2 F2 U' R2 F L' F2
L2 F2 U' F L' R2 F'
L2 F2 U' F R2 L' F'
L2 F2 U' F2 R2 F' L'
L F2 U' R2 F L' F2
L F2 U' F L' R2 F'
L F2 U' F R2 L' F'
L F2 U' F2 R2 F' L'
R2 F2 D B2 D' F L'
D' F2 D2 U B R' U2
D' F2 B2 L2 U' F L'
D' F2 B2 U' L2 F L'
F2 D2 U L2 B R' U2
F' D2 U B L2 U2 L
F2 D2 U B L2 R' U2
F2 D2 U B R' L2 U2
F D2 U L2 B R U2
F D2 U B L2 R U2
F D2 U B R L2 U2
R2 B L D F' L' B2
R2 B L D F' B2 L'
R2 B L D B2 F' L'
R2 B L F' L' D B2
R2 B L F' D L' B2
R2 B L F' D B2 L'
U B L U F U R2
R2 B L' D F' L' B2
R2 B L' D F' B2 L'
R2 B L' D B2 F' L'
R2 B L' F' L' D B2
R2 B L' F' D L' B2
R2 B L' F' D B2 L'
U B L' U' B' U' R2
R2 B L2 D F' L' B2
R2 B L2 D F' B2 L'
R2 B L2 D B2 F' L'
R2 B L2 F' L' D B2
R2 B L2 F' D L' B2
R2 B L2 F' D B2 L'
U2 B U L R2 D' F2
U2 B U R2 L D' F2
U2 B U R2 D' L F2
U2 B U R2 D' F2 L
U2 B U2 L R2 D B2
U B U B U L R2
U B U B U R2 L
U2 B U2 R2 L D B2
U2 B U2 R2 D L B2
U B U' F' U' L' R2
U B U' F' U' R2 L'
R2 B D L F' L' B2
R2 B D L F' B2 L'
R2 B D L B2 F' L'
R2 B D L' F' L' B2
R2 B D L' F' B2 L'
R2 B D L' B2 F' L'
R2 B D L2 F' L' B2
R2 B D L2 F' B2 L'
R2 B D L2 B2 F' L'
R2 B D F' L B2 L2
R2 B D F' L' B2 D
R2 B D F' L' B2 D'
R2 B D F' L' B2 D2
R2 B D F' B L' B
R2 B D F' B2 L' D
R2 B D F' B2 L' D'
R2 B D F' B2 L' D2
R2 B D F' B2 D L'
R2 B D F' B2 D' L'
R2 B D F' B2 D2 L'
R2 B D B F' L' B
R2 B D B2 L F' L'
R2 B D B2 L' F' L'
R2 B D B2 L2 F' L'
R2 B D B2 D F' L'
R2 B D B2 D' F' L'
R2 B D B2 D2 F' L'
R2 B D B2 F' L' D
R2 B D B2 F' L' D'
R2 B D B2 F' L' D2
R2 B D B2 F' D L'
R2 B D B2 F' D' L'
R2 B D B2 F' D2 L'
B F R U' R' U' R2
B F R U2 R D B2
F B R U' R' U' R2
F B R U2 R D B2
R2 B D2 F' D' L' B2
R2 B D2 F' D' B2 L'
B' F U R B2 U2 R
B2 F U R B' U2 R
R2 B F' L' U R2 U'
R2 B F' L' D B2 D
R2 B F' L' D B2 D'
R2 B F' L' D B2 D2
R2 B F' L' B D B2
R2 B F' L' B' D B2
R2 B F' L' B2 D B2
B' F U B2 R U2 R
R2 B F' L2 D L B2
R2 B F' U R2 U' L'
R2 B F' D L B2 L2
R2 B F' D L' B2 D
R2 B F' D L' B2 D'
R2 B F' D L' B2 D2
B2 F U B' R U2 R
R2 B F' D B L' B
R2 B F' D B2 L' D
R2 B F' D B2 L' D'
R2 B F' D B2 L' D2
R2 B F' D B2 D L'
R2 B F' D B2 D' L'
R2 B F' D B2 D2 L'
R2 B F' D' L' D2 B2
R2 B' L D F' L' B2
R2 B' L D F' B2 L'
R2 B' L D B2 F' L'
R2 B' L F' L' D B2
R2 B' L F' D L' B2
R2 B' L F' D B2 L'
R2 B' L' D F' L' B2
R2 B' L' D F' B2 L'
R2 B' L' D B2 F' L'
R2 B' L' F' L' D B2
R2 B' L' F' D L' B2
R2 B' L' F' D B2 L'
R2 B' L2 D F' L' B2
R2 B' L2 D F' B2 L'
R2 B' L2 D B2 F' L'
R2 B' L2 F' L' D B2
R2 B' L2 F' D L' B2
R2 B' L2 F' D B2 L'
U' B' U B R2 F' L'
U2 B' U R2 D2 F2 L'
U' B' U' B L R2 F'
U' B' U' B R2 L F'
U' B' U' B R2 F' L
B2 F' L2 U' R2 F L
B2 F' L2 U' F L R2
B2 F' L2 U' F R2 L
U2 B' U' R' B2 L U2
U2 B' U' B2 U2 L R2
U2 B' U' B2 U2 R2 L
R2 B' D L F' L' B2
R2 B' D L F' B2 L'
R2 B' D L B2 F' L'
R2 B' D L' F' L' B2
R2 B' D L' F' B2 L'
R2 B' D L' B2 F' L'
R2 B' D L2 F' L' B2
R2 B' D L2 F' B2 L'
R2 B' D L2 B2 F' L'
R2 B' D F' L B2 L2
R2 B' D F' L' B2 D
R2 B' D F' L' B2 D'
R2 B' D F' L' B2 D2
R2 B' D F' B L' B
R2 B' D F' B2 L' D
R2 B' D F' B2 L' D'
R2 B' D F' B2 L' D2
R2 B' D F' B2 D L'
R2 B' D F' B2 D' L'
R2 B' D F' B2 D2 L'
R2 B' D B F' L' B
R2 B' D B2 L F' L'
R2 B' D B2 L' F' L'
R2 B' D B2 L2 F' L'
R2 B' D B2 D F' L'
R2 B' D B2 D' F' L'
R2 B' D B2 D2 F' L'
R2 B' D B2 F' L' D
R2 B' D B2 F' L' D'
R2 B' D B2 F' L' D2
R2 B' D B2 F' D L'
R2 B' D B2 F' D' L'
R2 B' D B2 F' D2 L'
B' F' U B2 U2 L' R2
B' F' U B2 U2 R2 L'
B' F' U' L' R2 D2 F2
B' F' U' R2 L' D2 F2
B' F' U' R2 D2 L' F2
F' B' U B2 U2 L' R2
F' B' U B2 U2 R2 L'
F' B' U' L' R2 D2 F2
B' F' U' D2 L' F2 R
B2 F' U B' U2 L' R2
B2 F' U B' U2 R2 L'
F' B' U' R2 L' D2 F2
B2 F' U' L2 R2 F L
F' B' U' R2 D2 L' F2
B2 F' U' L2 F L R2
B2 F' U' L2 F R2 L
F' B' U' D2 L' F2 R
B2 F' U' R2 L2 F L
R2 B' D2 F' D' L' B2
R2 B' D2 F' D' B2 L'
F B' U R B2 U2 R
F B' U B2 R U2 R
R2 B' F' L' U R2 U'
R2 B' F' L' D B2 D
R2 B' F' L' D B2 D'
R2 B' F' L' D B2 D2
R2 B' F' L' B D B2
R2 B' F' L' B' D B2
R2 B' F' L' B2 D B2
R2 B' F' L2 D L B2
R2 B' F' U R2 U' L'
R2 B' F' D L B2 L2
R2 B' F' D L' B2 D
R2 B' F' D L' B2 D'
R2 B' F' D L' B2 D2
R2 B' F' D B L' B
R2 B' F' D B2 L' D
R2 B' F' D B2 L' D'
R2 B' F' D B2 L' D2
R2 B' F' D B2 D L'
R2 B' F' D B2 D' L'
R2 B' F' D B2 D2 L'
R2 B' F' D' L' D2 B2
B' F' D2 U' L' F2 R
R2 B2 L D F' L' B2
R2 B2 L D F' B2 L'
R2 B2 L D B2 F' L'
R2 B2 L F' L' D B2
R2 B2 L F' D L' B2
R2 B2 L F' D B2 L'
F' B' D2 U' L' F2 R
R2 B2 L' D F' L' B2
R2 B2 L' D F' B2 L'
R2 B2 L' D B2 F' L'
R2 B2 L' F' L' D B2
R2 B2 L' F' D L' B2
R2 B2 L' F' D B2 L'
R2 B2 L2 D F' L' B2
R2 B2 L2 D F' B2 L'
R2 B2 L2 D B2 F' L'
R2 B2 L2 F' L' D B2
R2 B2 L2 F' D L' B2
R2 B2 L2 F' D B2 L'
F' B2 L2 U' R2 F L
F' B2 L2 U' F L R2
F' B2 L2 U' F R2 L
B2 F2 L2 U' R2 F L'
B2 F2 L2 U' F L' R2
B2 F2 L2 U' F R2 L'
F2 B2 L2 U' R2 F L'
F2 B2 L2 U' F L' R2
F2 B2 L2 U' F R2 L'
R B2 R F' L' D' B2
U' B2 U B2 R2 F' L'
U2 B2 U' B' U2 L R2
U2 B2 U' B' U2 R2 L
F' B2 U B' U2 L' R2
F' B2 U B' U2 R2 L'
F' B2 U' L2 R2 F L
F' B2 U' L2 F L R2
F' B2 U' L2 F R2 L
B2 F2 U' L2 R2 F L'
F' B2 U' R2 L2 F L
B2 F2 U' L2 F L' R2
B2 F2 U' L2 F R2 L'
F2 B2 U' L2 R2 F L'
F2 B2 U' L2 F L' R2
F2 B2 U' L2 F R2 L'
B2 F2 U' R2 L2 F L'
R2 B2 D L F' L' B2
R2 B2 D L F' B2 L'
F2 B2 U' R2 L2 F L'
R2 B2 D L B2 F' L'
R2 B2 D L' F' L' B2
R2 B2 D L' F' B2 L'
R2 B2 D L' B2 F' L'
R2 B2 D L2 F' L' B2
R2 B2 D L2 F' B2 L'
R2 B2 D L2 B2 F' L'
F B2 U R B' U2 R
R2 B2 D F' L B2 L2
R2 B2 D F' L' B2 D
R2 B2 D F' L' B2 D'
R2 B2 D F' L' B2 D2
R2 B2 D F' B L' B
R2 B2 D F' B2 L' D
R2 B2 D F' B2 L' D'
R2 B2 D F' B2 L' D2
R2 B2 D F' B2 D L'
R2 B2 D F' B2 D' L'
R2 B2 D F' B2 D2 L'
R2 B2 D B F' L' B
R2 B2 D B2 L F' L'
R2 B2 D B2 L' F' L'
R2 B2 D B2 L2 F' L'
R2 B2 D B2 D F' L'
R2 B2 D B2 D' F' L'
R2 B2 D B2 D' F' L'
R2 B2 D B2 D2 F' L'
R2 B2 D B2 F' L' D
R2 B2 D B2 F' L' D'
R2 B2 D B2 F' L' D2
R2 B2 D B2 F' D L'
R2 B2 D B2 F' D' L'
R2 B2 D B2 F' D2 L'
F B2 U B' R U2 R
R2 B2 D2 F' D' L' B2
R2 B2 D2 F' D' B2 L'
D' B2 F2 L2 U' F L'
D' B2 F2 U' L2 F L'
R2 B2 F' L' U R2 U'
R2 B2 F' L' D B2 D
R2 B2 F' L' D B2 D'
R2 B2 F' L' D B2 D2
R2 B2 F' L' B D B2
R2 B2 F' L' B' D B2
R2 B2 F' L' B2 D B2
R2 B2 F' L2 D L B2
R2 B2 F' U R2 U' L'
R2 B2 F' D L B2 L2
R2 B2 F' D L' B2 D
R2 B2 F' D L' B2 D'
R2 B2 F' D L' B2 D2
R2 B2 F' D B L' B
R2 B2 F' D B2 L' D
R2 B2 F' D B2 L' D'
R2 B2 F' D B2 L' D2
R2 B2 F' D B2 D L'
R2 B2 F' D B2 D' L'
R2 B2 F' D B2 D2 L'
R2 B2 F' D' L' D2 B2
