D' L F2 L R
D' L F2 R L
D' L2 F2 D2 R2
D R2 B2 U2 B2
L' D' L2 F2 R
L D' F2 L2 R
L D' F2 R L2
D' F2 L2 D2 R2
D B2 R2 U2 B2
L D' R F2 L2 D R
L D' R F2 L2 D' R
L D' R F2 L2 D2 R
L D' R F2 R L2 D
L D' R F2 R L2 D'
L D' R F2 R L2 D2
L' D' R2 L2 F2 R D
L' D' R2 L2 F2 R D'
L' D' R2 L2 F2 R D2
L' D' R2 L2 F2 D R
L' D' R2 L2 F2 D' R
L' D' R2 L2 F2 D2 R
B U F2 D' U F2 B'
B U F2 D' U B' F2
L2 D' R' F2 L2 D' R2
L2 D' R2 L2 F2 D' R2
U2 D' L U2 L F2 R
L D' R' F' L2 F' R
L D' R' F2 L2 R D
L D' R' F2 L2 R D'
L D' R' F2 L2 R D2
L D' R' F2 L2 D R
L D' R' F2 L2 D' R
L D' R' F2 L2 D2 R
L D' R' F2 R L2 D
L D' R' F2 R L2 D'
L D' R' F2 R L2 D2
U2 D' L F2 L D2 B2
L2 D' R2 F2 L2 D' R2
U2 D' L F2 D2 L B2
U D' L U' L F2 R
D2 U' L' B2 L' R' U'
D2 U' L' B2 R' L' U'
L D' R2 F' L2 F' R
L D' R2 F2 L2 R D
L D' R2 F2 L2 R D'
L D' R2 F2 L2 R D2
L D' R2 F2 L2 D R
L D' R2 F2 L2 D' R
L D' R2 F2 L2 D2 R
L D' R2 F2 R L2 D
L D' R2 F2 R L2 D'
L D' R2 F2 R L2 D2
B2 U B2 D' L2 R2 F2
B2 U B2 D' L2 F2 R2
B2 U B2 D' R2 L2 F2
B2 U B2 D' R2 F2 L2
B2 U B2 D' F2 L2 R2
B2 U B2 D' F2 R2 L2
L' D' U2 L U2 L F2
L' D' U2 L U2 F2 L
D2 U' L2 B2 U' D' B2
D2 U' L2 B2 U2 L2 U
D2 U' L2 B2 D' U' B2
D2 U' L2 B2 D2 R2 U'
L2 D' U' B2 U L2 F2
L2 D' U' B2 U F2 L2
U2 D' L2 F2 U2 F2 U2
U2 D' L2 F2 D2 B2 D
U2 D' L2 F2 D2 B2 D'
U2 D' L2 F2 D2 B2 D2
U2 D' L2 F2 B D2 B2
U2 D' L2 F2 B' D2 B2
U2 D' L2 F2 B2 D2 B2
U2 D' L2 B F2 D2 B2
U2 D' L2 B' F2 D2 B2
U2 D' L2 B2 F2 D2 B2
U2 D' R U2 L2 R' F2
U2 D' R U2 L2 F2 R'
U2 D' R U2 R' L2 F2
U2 D' R U2 R' F2 L2
U2 D' R U2 F2 L2 R'
U2 D' R U2 F2 R' L2
L D' U2 L' U2 L' F2
L' D' F' L2 F2 R F
U2 D' R' U2 L2 R F2
U2 D' R' U2 R L2 F2
U2 D' R' U2 R F2 L2
L D' F R F L2 R
L D' F R F R L2
L2 D' F' L2 D' F' R2
L2 D' F' L2 F' D' R2
L D' F R' F L2 R
L D' F R' F R L2
L D' F R2 F L2 R
L D' F R2 F R L2
L' D' F2 L' D2 L' R2
L' D' F2 L' D2 R2 L'
L' D' F2 L2 U2 L' U2
L' D' F2 L2 F2 R F2
U2 D' R2 U2 L2 R2 F2
U2 D' R2 U2 L2 F2 R2
U2 D' R2 U2 R2 L2 F2
U2 D' R2 U2 R2 F2 L2
U2 D' R2 U2 F2 L2 R2
U2 D' R2 U2 F2 R2 L2
L D' F' L F' L R
L D' F' L F' R L
L' D' F2 U2 L U2 L
L2 D' F2 L D' L R2
L2 D' F2 L D' R2 L
L D' F' L2 F' R D
L D' F' L2 F' R D'
L D' F' L2 F' R D2
L D' F' L2 F' D R
L2 D' F2 L' D' L' R2
L D' F' L2 F' D' R
L D' F' L2 F' D2 R
L2 D' F2 L' D' R2 L'
L2 D' F2 L2 R D' R2
L2 D' F2 L2 R' D' R2
L2 D' F2 L2 R2 D' R2
L2 D' F2 L2 U' B2 U
L2 D' F2 L2 D' R2 D
L2 D' F2 L2 D' R2 D'
L2 D' F2 L2 D' R2 D2
L2 D' F2 R L2 D' R2
L2 D' F2 R' L2 D' R2
L2 D' F2 R2 L2 D' R2
L' D' F2 B2 L2 R' B2
L' D' F2 B2 R' L2 B2
L' D' F2 B2 R' B2 L2
L2 D' F2 U' B2 U L2
L2 D' F2 D' R2 D L2
L D' F2 L R D L
L D' F2 L R D' L
L D' F2 L R D2 L
L D' F2 L D L R
L D' F2 L D R L
L D' F2 L D' L R
L D' F2 L D' R L
L D' F2 L D2 L R
L D' F2 L D2 R L
L D' F2 L' R D L'
L D' F2 L' R D' L'
L D' F2 L' R D2 L'
L D' F2 L' D L' R
L D' F2 L' D R L'
L D' F2 L' D' L' R
L D' F2 L' D' R L'
L D' F2 L' D2 L' R
L D' F2 L' D2 R L'
L D' F2 L2 R2 D R'
L D' F2 L2 R2 D' R'
L D' F2 L2 R2 D2 R'
L D' F2 L2 D R D
L D' F2 L2 D R D'
L D' F2 L2 D R D2
L D' F2 L2 D' R D
L D' F2 L2 D' R D'
L D' F2 L2 D' R D2
L D' F2 L2 D2 R D
L D' F2 L2 D2 R D'
L D' F2 L2 D2 R D2
L D' F2 L2 B R B'
L D' F2 L2 B2 R B2
L D' F2 R L D L
L D' F2 R L D' L
L D' F2 R L D2 L
L D' F2 R L' D L'
L D' F2 R L' D' L'
L D' F2 R L' D2 L'
L D' F2 R F L2 F'
L D' F2 R F2 L2 F2
L D' F2 R B' L2 B
L D' F2 R B2 L2 B2
L D' F2 R2 L2 D R'
L D' F2 R2 L2 D' R'
L D' F2 R2 L2 D2 R'
U2 D' F' L F' L B'
L D' F2 D R D' L2
L D' F2 D' R D L2
U2 D' F' L2 D F' B'
U2 D' F' L2 D B' F'
U2 D' F' L2 D' F' B'
U2 D' F' L2 D' B' F'
U2 D' F' L2 D2 F' B'
U2 D' F' L2 D2 B' F'
U2 D' F' L2 F' D B'
U2 D' F' L2 F' D' B'
U2 D' F' L2 F' D2 B'
U2 D' F' L2 F' B' D
U2 D' F' L2 F' B' D'
U2 D' F' L2 F' B' D2
U2 D' F' L2 B' D F'
U2 D' F' L2 B' D' F'
U2 D' F' L2 B' D2 F'
U2 D' F' L2 B' F' D
U2 D' F' L2 B' F' D'
U2 D' F' L2 B' F' D2
L D' F2 B R B' L2
L D' F2 B' L2 B R
L D' F2 B2 L2 R B2
L D' F2 B2 L2 B2 R
L D' F2 B2 R L2 B2
L D' F2 B2 R B2 L2
F2 U' R2 U' R2 U2 R2
U2 D' F' B L2 F' B'
U2 D' F' B L2 B' F'
U2 D' F' B' L2 F' B'
U2 D' F' B' L2 B' F'
U2 D' F' B2 L2 F' B'
U2 D' F' B2 L2 B' F'
U2 D' F2 L D2 L B2
U2 D' F2 L' D2 L' B2
U2 D' F2 L' D2 B2 L'
L' D' B2 L2 R' F2 B2
L' D' B2 L2 R' B2 F2
U2 D' F2 L2 U2 F2 U2
U2 D' F2 L2 D2 B2 D
U2 D' F2 L2 D2 B2 D'
U2 D' F2 L2 D2 B2 D2
U2 D' F2 L2 B D2 B2
L' D' B2 L2 F2 R' B2
U2 D' F2 L2 B' D2 B2
U2 D' F2 L2 B2 D2 B2
L' D' B2 R' L2 F2 B2
L' D' B2 R' L2 B2 F2
L' D' B2 R' F2 L2 B2
L' D' B2 R' F2 B2 L2
U D' F' U F' L2 B'
L' D' B2 R' B2 L2 F2
L' D' B2 R' B2 F2 L2
L D' B F2 R B' L2
U2 D' F2 U2 F2 U2 L2
U2 D' F2 D2 B2 D2 L2
U2 D' F2 B L2 D2 B2
U2 D' F2 B' L2 D2 B2
U2 D' F2 B2 L2 D2 B2
L2 D' B2 U L2 F2 B2
L' D' B2 F2 L2 R' B2
L2 D' B2 U L2 B2 F2
L' D' B2 F2 R' L2 B2
L' D' B2 F2 R' B2 L2
L2 D' B2 U F2 L2 B2
L2 D' B2 U F2 B2 L2
L2 D' B2 U B2 L2 F2
L2 D' B2 U B2 F2 L2
F U' R2 F U2 F' U'
U2 D' B L2 F2 D2 B2
B2 U' D' R2 U' L2 F2
B2 U' D' R2 U' F2 L2
L D' B' F2 L2 B R
L D' B2 L2 F2 B2 R'
L D' B2 L2 B2 R' F2
L D' B2 L2 B2 F2 R'
B' U' D2 L2 B2 U' B'
U2 D' B F' L2 F' B'
U2 D' B F' L2 B' F'
U2 D' B F2 L2 D2 B2
U2 D' B' L2 F2 D2 B2
L D' B2 F2 L2 R B2
L D' B2 F2 L2 B2 R
L D' B2 F2 R L2 B2
L D' B2 F2 R B2 L2
D2 U' B2 L2 U' D' B2
D2 U' B2 L2 U2 L2 U
D2 U' B2 L2 D' U' B2
D2 U' B2 L2 D2 R2 U'
U2 D' B' F' L2 F' B'
U2 D' B' F' L2 B' F'
F' U' F R2 F2 B U
F' U' F R2 B F2 U
U2 D' B' F2 L2 D2 B2
U2 D' B2 L2 F2 D2 B2
D' U2 L U2 L F2 R
B U' D2 B2 L2 U' B
D' U2 L F2 L D2 B2
U2 D' B2 F' L2 F' B'
U2 D' B2 F' L2 B' F'
F' U' F' R2 U2 F U'
D' U2 L F2 D2 L B2
U2 D' B2 F2 L2 D2 B2
F U' F R2 D B U
F U' F R2 D' B U
F U' F R2 D2 B U
F U' F R2 B U D
F U' F R2 B U D'
F U' F R2 B U D2
F U' F R2 B D U
F U' F R2 B D' U
F U' F R2 B D2 U
L' D2 R D L2 F2 R
L2 D2 L2 B2 U' R2 B2
L2 D2 L2 B2 U' B2 R2
D U2 L R2 B2 U2 R2
F U' F B R2 B U
F U' F B' R2 B U
L2 D2 R D L2 R F2
F U' F B2 R2 B U
L2 D2 R D R L2 F2
L2 D2 R D R F2 L2
U' D2 L' B2 L' R' U'
U' D2 L' B2 R' L' U'
L' D2 R' D L2 F2 R
D U2 L B2 R2 U2 R2
L D2 L2 B2 U' R' B2
D U2 L' R2 B2 U2 R2
L2 D2 R' D L2 R' F2
L2 D2 R' D L2 F2 R'
D' U2 L2 F2 U2 F2 U2
L2 D2 R' D R' L2 F2
L2 D2 R' D R' F2 L2
D' U2 L2 F2 D2 B2 D
D' U2 L2 F2 D2 B2 D'
D' U2 L2 F2 D2 B2 D2
D' U2 L2 F2 B D2 B2
D' U2 L2 F2 B' D2 B2
D' U2 L2 F2 B2 D2 B2
L D2 R D F2 L2 R
L D2 R D F2 R L2
L2 D2 R' D F2 L2 R'
L2 D2 R' D F2 R' L2
D' U2 L2 B F2 D2 B2
D' U2 L2 B' F2 D2 B2
U' D2 L2 B2 U' D' B2
U' D2 L2 B2 U2 L2 U
U' D2 L2 B2 D' U' B2
U' D2 L2 B2 D2 R2 U'
D' U2 L2 B2 F2 D2 B2
L' D2 R2 D L2 F2 R
D U2 L' B2 R2 U2 R2
D' U2 R U2 L2 R' F2
D' U2 R U2 L2 F2 R'
D' U2 R U2 R' L2 F2
D' U2 R U2 R' F2 L2
D' U2 R U2 F2 L2 R'
D' U2 R U2 F2 R' L2
D U2 L2 R2 B2 U2 R2
L2 D2 R2 U L2 B2 U'
L2 D2 R2 U B2 L2 U'
L2 D2 R2 D L F2 L
L2 D2 R2 D L2 F2 D
L2 D2 R2 D L2 F2 D'
L2 D2 R2 D L2 F2 D2
L2 D2 R2 D F' L2 F'
L2 D2 R2 D F2 L2 D
L2 D2 R2 D F2 L2 D'
L2 D2 R2 D F2 L2 D2
L D2 R' D F2 L2 R
L D2 R' D F2 R L2
L2 D2 R2 F D L2 F2
L2 D2 R2 F D F2 L2
L2 D2 R2 F' D L2 F2
L2 D2 R2 F' D F2 L2
L2 D2 R2 F2 D L2 F2
L2 D2 R2 F2 D F2 L2
D U2 L2 B2 R2 U2 R2
D' U2 R' U2 L2 R F2
D' U2 R' U2 R L2 F2
D' U2 R' U2 R F2 L2
L2 D2 U L2 B2 U' R2
L' D2 U B2 L2 U' R'
F U' B F R2 B U
U D2 L2 B2 U' D' R2
U D2 L2 B2 U2 B2 U
U D2 L2 B2 D' U' R2
U D2 L2 B2 D2 F2 U'
L D2 R2 D F2 L2 R
L D2 R2 D F2 R L2
L2 D2 U B2 L2 U' R2
D U2 R B2 L R U2
D U2 R B2 R L U2
D' U2 R2 U2 L2 R2 F2
D' U2 R2 U2 L2 F2 R2
D' U2 R2 U2 R2 L2 F2
D' U2 R2 U2 R2 F2 L2
D' U2 R2 U2 F2 L2 R2
D' U2 R2 U2 F2 R2 L2
L D2 U L2 B2 U' R'
F U' B' F R2 B U
B' U2 L D' L2 F2 B
B' U2 L D' L2 B F2
B' U2 L D' F2 L2 B
B' U2 L D' F2 B L2
B' U2 L D' B L2 F2
B' U2 L D' B F2 L2
B' U2 L B D' L2 F2
B' U2 L B D' F2 L2
D U2 R' B2 U2 L R
D U2 R' B2 U2 R L
D U2 R2 L B2 U2 R2
D U2 R2 L' B2 U2 R2
B2 U2 L B2 D' L2 F2
B2 U2 L B2 D' F2 L2
D U2 R2 L2 B2 U2 R2
F U' B2 F R2 B U
D U2 R2 U2 R2 D2 F2
B' U2 L' D' L2 F2 B
B' U2 L' D' L2 B F2
B' U2 L' D' F2 L2 B
B' U2 L' D' F2 B L2
B' U2 L' D' B L2 F2
B' U2 L' D' B F2 L2
D2 U2 F D F2 L2 B'
D U2 R2 D2 L2 U2 F2
L' D2 F D L2 F2 R
D' U2 F' L F' L B'
B' U2 L' B D' L2 F2
B' U2 L' B D' F2 L2
D' U2 F' L2 D F' B'
D' U2 F' L2 D B' F'
D' U2 F' L2 D' F' B'
D U2 R2 B U2 R2 F'
D' U2 F' L2 D' B' F'
D' U2 F' L2 D2 F' B'
D' U2 F' L2 D2 B' F'
D' U2 F' L2 F' D B'
D' U2 F' L2 F' D' B'
D' U2 F' L2 F' D2 B'
D' U2 F' L2 F' B' D
D' U2 F' L2 F' B' D'
D' U2 F' L2 F' B' D2
D' U2 F' L2 B' D F'
D' U2 F' L2 B' D' F'
D' U2 F' L2 B' D2 F'
D' U2 F' L2 B' F' D
D' U2 F' L2 B' F' D'
D' U2 F' L2 B' F' D2
L2 D2 F R2 D L2 F2
L2 D2 F R2 D F2 L2
D U2 R2 B2 L U2 R2
D U2 R2 B2 L' U2 R2
D U2 R2 B2 L2 U2 R2
D U2 R2 B2 U2 R2 D
D U2 R2 B2 U2 R2 D'
D U2 R2 B2 U2 R2 D2
D U2 R2 B2 D2 L2 U2
B2 U2 L' B2 D' L2 F2
B2 U2 L' B2 D' F2 L2
U2 D2 F D F2 L2 B'
B' U2 L2 D' L2 F2 B
B' U2 L2 D' L2 B F2
B' U2 L2 D' F2 L2 B
B' U2 L2 D' F2 B L2
B' U2 L2 D' B L2 F2
B' U2 L2 D' B F2 L2
D2 U2 F' D L2 F2 B'
D2 U2 F' D L2 B' F2
D' U2 F' B L2 F' B'
D' U2 F' B L2 B' F'
D' U2 F' B' L2 F' B'
D' U2 F' B' L2 B' F'
L' D2 F' D L2 F2 R
D' U2 F' B2 L2 F' B'
D' U2 F' B2 L2 B' F'
D' U2 F2 L D2 L B2
B' U2 L2 B D' L2 F2
B' U2 L2 B D' F2 L2
D' U2 F2 L' D2 L' B2
D' U2 F2 L' D2 B2 L'
D U2 F D2 F2 L2 B'
D' U2 F2 L2 U2 F2 U2
D' U2 F2 L2 D2 B2 D
D' U2 F2 L2 D2 B2 D'
D' U2 F2 L2 D2 B2 D2
D' U2 F2 L2 B D2 B2
D' U2 F2 L2 B' D2 B2
D' U2 F2 L2 B2 D2 B2
L2 D2 F' R2 D L2 F2
L2 D2 F' R2 D F2 L2
U2 D2 F' D L2 F2 B'
U2 D2 F' D L2 B' F2
B2 U2 L2 B2 D' L2 F2
B2 U2 L2 B2 D' F2 L2
D' U2 F2 U2 F2 U2 L2
D' U2 F2 D2 B2 D2 L2
D' U2 F2 B L2 D2 B2
B U2 L2 D' L2 F2 B'
B U2 L2 D' L2 B' F2
D' U2 F2 B' L2 D2 B2
L' D2 F2 D L2 F2 R
D' U2 F2 B2 L2 D2 B2
D U2 F' D2 L2 F2 B'
D U2 F' D2 L2 B' F2
D' U2 B L2 F2 D2 B2
L2 D2 F2 R2 D L2 F2
L2 D2 F2 R2 D F2 L2
D' U2 B F' L2 F' B'
D' U2 B F' L2 B' F'
D' U2 B F2 L2 D2 B2
D U2 F2 D2 L2 F2 B2
D U2 F2 D2 L2 B2 F2
L D2 F2 R D L2 F2
L D2 F2 R D F2 L2
D U2 F2 D2 F2 L2 B2
D U2 F2 D2 F2 B2 L2
D U2 F2 D2 B2 L2 F2
D U2 F2 D2 B2 F2 L2
D' U2 B' L2 F2 D2 B2
L D2 F2 D L2 R F2
L D2 F2 D R L2 F2
L D2 F2 D R F2 L2
D U2 B R2 U2 F' R2
D' U2 B' F' L2 F' B'
D' U2 B' F' L2 B' F'
U D2 B L2 F B U'
U D2 B L2 B F U'
D' U2 B' F2 L2 D2 B2
U' D2 B2 L2 U' D' B2
U' D2 B2 L2 U2 L2 U
U' D2 B2 L2 D' U' B2
U' D2 B2 L2 D2 R2 U'
D' U2 B2 L2 F2 D2 B2
B2 U2 R2 F2 U R2 B2
B2 U2 R2 F2 U B2 R2
L' D2 B2 L2 U' R' B2
D U2 B' R2 B' U2 R2
D' U2 B2 F' L2 F' B'
D' U2 B2 F' L2 B' F'
L2 D2 B2 L2 U' R2 B2
L2 D2 B2 L2 U' B2 R2
D' U2 B2 F2 L2 D2 B2
B' U2 D' L F2 L B
B' U2 D' L' B L' F2
B U2 R2 F2 U R2 B'
B U2 R2 F2 U B' R2
B' U2 D' L2 F2 D B
B' U2 D' L2 F2 D' B
B' U2 D' L2 F2 D2 B
B' U2 D' L2 F2 B D
B' U2 D' L2 F2 B D'
B' U2 D' L2 F2 B D2
B' U2 D' L2 B F2 D
B' U2 D' L2 B F2 D'
B' U2 D' L2 B F2 D2
D U2 B2 L R2 U2 R2
F U2 R2 F U R2 B
D U2 B2 L' R2 U2 R2
D U2 B2 L2 R2 U2 R2
B' U2 D' F' L2 F' B
B2 U2 D' L2 F2 D B2
B' U2 D' F' L2 B F'
B' U2 D' F' B L2 F'
B' U2 D' F2 L' B L'
B' U2 D' F2 L2 D B
B' U2 D' F2 L2 D' B
B' U2 D' F2 L2 D2 B
B' U2 D' F2 L2 B D
B' U2 D' F2 L2 B D'
B' U2 D' F2 L2 B D2
B' U2 D' F2 B L2 D
B' U2 D' F2 B L2 D'
B' U2 D' F2 B L2 D2
B' U2 D' F2 B' L2 B2
B' U2 D' B L F2 L
B' U2 D' B L2 F2 D
B' U2 D' B L2 F2 D'
B' U2 D' B L2 F2 D2
B' U2 D' B F' L2 F'
B' U2 D' B F2 L2 D
B' U2 D' B F2 L2 D'
B' U2 D' B F2 L2 D2
D U2 B2 R2 L U2 R2
D U2 B2 R2 L' U2 R2
B' U2 D' B' L2 F2 B2
D U2 B2 R2 L2 U2 R2
B' U2 D' B' L2 B2 F2
D U2 B2 R2 U2 R2 D
D U2 B2 R2 U2 R2 D'
D U2 B2 R2 U2 R2 D2
D U2 B2 R2 D2 L2 U2
B' U2 D' B' F2 L2 B2
B2 U2 D' F2 L2 D B2
U D2 B2 L2 U' D' R2
U D2 B2 L2 U2 B2 U
U D2 B2 L2 D' U' R2
U D2 B2 L2 D2 F2 U'
L D2 B2 L2 U' B2 R'
B U2 D B' D2 L2 F
B U2 D' F' B' L2 F'
B U2 D' F2 B L2 B2
B U2 D' F2 B' L2 D
B U2 D' F2 B' L2 D'
B U2 D' F2 B' L2 D2
B U2 D' F2 B2 L2 B
B U2 D' B L2 F2 B2
B U2 D' B L2 B2 F2
B U2 D' B F2 L2 B2
D F L D2 F2 L2 R
D F L D2 F2 R L2
B U2 D' B' L F2 L
B U2 D' B' L2 F2 D
B U2 D' B' L2 F2 D'
B U2 D' B' L2 F2 D2
B U2 D' B' F' L2 F'
B U2 D' B' F2 L2 D
B U2 D' B' F2 L2 D'
B U2 D' B' F2 L2 D2
B U2 D' B2 L2 F2 B
B U2 D' B2 L2 B F2
B U2 D' B2 F2 L2 B
D' F L2 U2 L2 U2 F
D' F L2 U2 B' L2 U2
F' U2 F D' F2 L2 B'
D F L' D2 L2 F2 R
F U2 F R2 U B R2
D' F R F L2 D2 R2
D F L2 D2 L2 R2 F2
D F L2 D2 L2 F2 R2
D F L2 D2 R2 L2 F2
D F L2 D2 R2 F2 L2
D F L2 D2 F2 L2 R2
D F L2 D2 F2 R2 L2
B' U2 F2 R2 U R2 B
B2 U2 F2 R2 U R2 B2
B2 U2 F2 R2 U B2 R2
U' F R' F R' B U
B' U2 B L D' L2 F2
B' U2 B L D' F2 L2
D' F R' F L2 D2 R2
B' U2 B L' D' L2 F2
B' U2 B L' D' F2 L2
B' U2 B L2 D' L2 F2
B' U2 B L2 D' F2 L2
F U2 F' D' L2 F2 B'
F U2 F' D' L2 B' F2
B' U2 B U' R2 F2 U
B' U2 B U' F2 R2 U
B U2 F2 R2 U R2 B'
B U2 F2 R2 U B' R2
B' U2 B D' L F2 L
B' U2 B D' L2 F2 D
B' U2 B D' L2 F2 D'
B' U2 B D' L2 F2 D2
D F R B2 R U2 B2
B' U2 B D' F' L2 F'
B' U2 B D' F2 L2 D
B' U2 B D' F2 L2 D'
B' U2 B D' F2 L2 D2
U' F R2 D F B U
U' F R2 D B F U
U' F R2 D' F B U
U' F R2 D' B F U
U' F R2 D2 F B U
U' F R2 D2 B F U
U' F R2 F D B U
U' F R2 F D' B U
U' F R2 F D2 B U
U' F R2 F B U D
U' F R2 F B U D'
U' F R2 F B U D2
U' F R2 F B D U
U' F R2 F B D' U
U' F R2 F B D2 U
B2 U2 B D' L2 F2 B
B2 U2 B D' L2 B F2
D' F R2 F L2 D2 R2
B2 U2 B D' F2 L2 B
B2 U2 B D' F2 B L2
B2 U2 B D' B L2 F2
B2 U2 B D' B F2 L2
U' F R2 B D F U
U' F R2 B D' F U
U' F R2 B D2 F U
U' F R2 B F U D
U' F R2 B F U D'
U' F R2 B F U D2
U' F R2 B F D U
U' F R2 B F D' U
U' F R2 B F D2 U
D F R' B2 U2 L B2
U2 F R2 F U B R2
B2 U2 B' D' F2 B' L2
B2 U2 B' D' B' L2 F2
B2 U2 B' D' B' F2 L2
B U2 B' L D' L2 F2
B U2 B' L D' F2 L2
B2 U2 B2 L D' L2 F2
B2 U2 B2 L D' F2 L2
B U2 B' L' D' L2 F2
B U2 B' L' D' F2 L2
B2 U2 B2 L' D' L2 F2
B2 U2 B2 L' D' F2 L2
B U2 B' L2 D' L2 F2
B U2 B' L2 D' F2 L2
D F R2 F B2 U2 B2
B2 U2 B2 L2 D' L2 F2
B2 U2 B2 L2 D' F2 L2
D F R2 F' B2 U2 B2
D F R2 F2 B2 U2 B2
U F R2 D F U B2
B' U2 B2 D' F2 B' L2
B' U2 B2 D' B' L2 F2
B' U2 B2 D' B' F2 L2
D F R2 B2 U2 B2 D
D F R2 B2 U2 B2 D'
D F R2 B2 U2 B2 D2
D F R2 B2 D2 F2 U2
B U2 B' U' R2 F2 U
U F R2 D2 F L2 U
D F R2 B2 F U2 B2
D F R2 B2 F' U2 B2
D F R2 B2 F2 U2 B2
B U2 B' U' F2 R2 U
U F R2 F U D B2
B2 U2 B2 U' R2 F2 U
U F R2 F U2 R2 U'
U F R2 F D U B2
U F R2 F D2 L2 U
B2 U2 B2 U' F2 R2 U
B U2 B' D' L F2 L
B U2 B' D' L2 F2 D
B U2 B' D' L2 F2 D'
B U2 B' D' L2 F2 D2
B U2 B' D' F' L2 F'
B U2 B' D' F2 L2 D
B U2 B' D' F2 L2 D'
B U2 B' D' F2 L2 D2
B2 U2 B2 D' L F2 L
B2 U2 B2 D' L2 F2 D
B2 U2 B2 D' L2 F2 D'
B2 U2 B2 D' L2 F2 D2
B2 U2 B2 D' F' L2 F'
B2 U2 B2 D' F2 L2 D
B2 U2 B2 D' F2 L2 D'
B2 U2 B2 D' F2 L2 D2
U2 F U' R2 F U B
B U2 B2 D' L2 F2 B
B U2 B2 D' L2 B F2
B U2 B2 D' F2 L2 B
B U2 B2 D' F2 B L2
B U2 B2 D' B L2 F2
B U2 B2 D' B F2 L2
D' F U2 F' L2 F2 B'
D' F U2 F' L2 B' F2
D2 F D L F2 L R
D2 F D L F2 R L
D2 F D L2 F2 D2 R2
D2 F D F2 L2 D2 R2
D F U2 R2 B2 U2 R2
D F U2 B2 R2 U2 R2
U F U2 F R2 B U
D2 F D' R2 B2 U2 B2
D2 F D' B2 R2 U2 B2
B' D R B2 R F' U2
U' F B R2 F B U
U' F B R2 B F U
D F D2 L F2 L R
D F D2 L F2 R L
D F D2 L2 F2 D2 R2
D' F B U2 F B' L2
D' F B U2 B' F L2
U' F B' R2 F B U
B' D R2 D2 F' U2 F'
U' F B' R2 B F U
D F D2 F2 L2 D2 R2
B' D R2 F' U2 D2 F2
B' D R2 F' D2 U2 F2
B' D R2 F' B2 U2 D
B' D R2 F' B2 U2 D'
B' D R2 F' B2 U2 D2
B' D R2 F' B2 D U2
B' D R2 F' B2 D' U2
B' D R2 F' B2 D2 U2
D' F B' U2 F L2 B
D' F B' U2 F B L2
D' F B' U2 B F L2
B' D R2 B2 D F' U2
B' D R2 B2 D' F' U2
B' D R2 B2 D2 F' U2
B' D R2 B2 F' U2 D
B' D R2 B2 F' U2 D'
B' D R2 B2 F' U2 D2
B' D R2 B2 F' D U2
B' D R2 B2 F' D' U2
B' D R2 B2 F' D2 U2
D F B R2 U2 F' B'
D F B R2 U2 B' F'
B D R' B2 U2 L B
U' F B2 R2 F B U
B2 D R2 B2 U L2 U
U' F B2 R2 B F U
B2 D R2 B2 U2 D' B2
B2 D R2 B2 D F2 U2
B2 D R2 B2 D' U2 B2
B D R2 U2 D2 F2 B'
B D R2 U2 D2 B' F2
D' F B2 U2 F L2 B2
D' F B2 U2 F B2 L2
D' F B2 U2 B2 F L2
B D R2 D2 U2 F2 B'
B D R2 D2 U2 B' F2
B D R2 F B2 U2 B
B D R2 F' B2 U2 B
D F B' R2 F' B' U2
B D R2 F2 B2 U2 B
D F B' R2 B' F' U2
B D R2 B2 U2 D B
B D R2 B2 U2 D' B
B D R2 B2 U2 D2 B
B D R2 B2 U2 B D
B D R2 B2 U2 B D'
B D R2 B2 U2 B D2
B D R2 B2 D U2 B
B D R2 B2 D' U2 B
B D R2 B2 D2 U2 B
B D R2 B2 F U2 B
B D R2 B2 F' U2 B
B D R2 B2 F2 U2 B
D' F' L F2 R F L
D F B2 R' U2 B2 L
D F B2 R2 U2 B2 D
D F B2 R2 U2 B2 D'
D F B2 R2 U2 B2 D2
D F B2 R2 D2 F2 U2
D F B2 R2 F U2 B2
D F B2 R2 F' U2 B2
D F B2 R2 F2 U2 B2
D F B2 U2 B2 D2 L2
D F B2 D2 F2 U2 L2
B' D F R2 F' B2 U2
B' D F R2 B2 F' U2
D F' L D2 F2 L2 R
D F' L D2 F2 R L2
D' F' L2 R2 D2 R2 F'
D' F' L2 U2 L2 U2 F'
B' D F B2 R2 U2 B'
D' F' L2 D' F' D' R2
D' F' L2 D2 F R2 F2
D' F' L2 D2 F' R2 D
D' F' L2 D2 F' R2 D'
D' F' L2 D2 F' R2 D2
D' F' L2 D2 F2 R2 F
D' F' L2 F' R D2 R2
D' F' L2 F' R' D2 R2
D' F' L2 F' R2 D2 R2
D' F' L2 F' U2 L2 U2
D' F' L2 F' D2 R2 D
D' F' L2 F' D2 R2 D'
D' F' L2 F' D2 R2 D2
B D U2 B' D2 L2 F
D' F' L2 F2 D2 R2 F
D' F' L2 F2 D2 F R2
B' D F' R2 F' B2 U2
B' D F' R2 B2 F' U2
D F' L' D2 L2 F2 R
B D F R2 B2 U2 B
B' D F' B2 R2 U2 B'
B D F B2 R2 F' U2
B' D F2 R2 F' B2 U2
B' D F2 R2 B2 F' U2
D F' L2 D2 L2 R2 F2
D F' L2 D2 L2 F2 R2
D F' L2 D2 R2 L2 F2
D F' L2 D2 R2 F2 L2
