R2 L U' L' F'
R2 L' U' L F'
R2 L' U' F' L
L' R2 U' L F'
L' R2 U' F' L
L2 R2 U' L2 F'
R2 L2 U' L2 F'
L R2 U' L' F'
R2 L2 U' F' L2
L2 R2 U' F' L2
F2 D R2 F' B2
F2 D R2 B2 F'
R' D2 R' L' U' F' L
R' D2 R' L2 U' L2 F'
R' D2 R' L2 U' F' L2
U' D2 L2 R2 U F' R2
R D2 R L' U' F L
U' D2 R2 L2 U F' R2
R2 D2 U' F' U' F U
R2 D2 U' F2 D' F L2
U' D2 F2 D' B2 L2 F
D' U2 F2 B U B' U
D2 U2 B U B' L2 U
D' U2 B F2 U B' U
R2 D2 B L U' L' F'
R2 D2 B L' U' L F'
R2 D2 B L' U' F' L
U2 D2 B U B' L2 U
R2 D2 B L2 U' L2 F'
R2 D2 B L2 U' F' L2
D U2 B U B' U B2
D U2 B U2 B D' R2
R2 D2 B' L U' L' F'
U D2 B U L2 F U
R2 D2 B' L' U' L F'
R2 D2 B' L' U' F' L
R2 D2 B' L2 U' L2 F'
R2 D2 B' L2 U' F' L2
R2 D2 B2 L U' L' F'
R2 D2 B2 L' U' L F'
R2 D2 B2 L' U' F' L
R2 D2 B2 L2 U' L2 F'
R2 D2 B2 L2 U' F' L2
F2 U2 D B U2 B R2
F2 U2 D' L2 F2 B U2
F2 U2 D' L2 B F2 U2
F2 U2 D' F2 L2 B U2
F2 U2 D' F2 B L2 U2
F2 U2 D' B L2 F2 U2
F2 U2 D' B F2 L2 U2
R2 F L' F' U' L F'
R2 F L' F' U' F' L
R2 F L2 F' U' L2 F'
R2 F L2 F' U' F' L2
F' U2 B U' R2 F U'
F' U2 B U' F R2 U'
F2 U2 B U' R2 F2 U'
F2 U2 B U' F2 R2 U'
F2 U2 B U2 D R2 B2
F2 U2 B U2 D B2 R2
F2 U2 B D U2 R2 B2
F2 U2 B D U2 B2 R2
U' F R2 B U' F' R2
F2 U2 B D' L2 F2 U2
F2 U2 B D' F2 L2 U2
U' F U R2 B U' F'
B2 U2 B' U' R2 F' U'
R' F U F' L' R' U'
R' F U F' R' L' U'
F U2 B U' F' R2 U'
B' U2 B2 D L2 U2 B2
B' U2 B2 D' F2 U2 R2
F2 D L R2 B2 L' F'
R F U F' R U' F'
F2 D L' R2 F' L B2
B' D L2 R U' L2 B2
B' D L2 R U' B2 L2
B' D L2 R' U' L2 B2
B' D L2 R' U' B2 L2
B' D L2 R2 U' L2 B2
B' D L2 R2 U' B2 L2
B' D L2 U' L' B2 L'
B' D L2 U' L2 B2 D
B' D L2 U' L2 B2 D'
B' D L2 U' L2 B2 D2
B' D L2 U' B L2 B
B' D L2 U' B2 L2 D
B' D L2 U' B2 L2 D'
B' D L2 U' B2 L2 D2
B' D L2 D' R2 B2 U'
B' D L2 D' B2 R2 U'
F2 D L2 R2 F' L2 B2
F2 D L2 R2 F' B2 L2
B2 D L2 U' F L2 B2
B2 D L2 U' F B2 L2
F2 D L2 R2 B2 L2 F'
F2 D L2 R2 B2 F' L2
B2 D L2 U' B2 F L2
B' D L2 B U' L2 B
B' D L2 B U' B L2
B' D L2 B' U' B' L2
B' D R L2 U' L2 B2
B' D R L2 U' B2 L2
F2 D L2 B2 L2 R2 F
F2 D L2 B2 L2 F R2
F2 D L2 B2 R2 L2 F
R2 F D' L2 F' U' L2
B' D R' L2 U' L2 B2
B' D R' L2 U' B2 L2
R2 F D' F' L2 U' L2
F2 D R B' R F' B'
F2 D R B' R B' F'
F2 D R B2 R D F'
F2 D R B2 R D' F'
F2 D R B2 R D2 F'
F2 D R B2 R F' D
F2 D R B2 R F' D'
F2 D R B2 R F' D2
B' D R2 L2 U' L2 B2
B' D R2 L2 U' B2 L2
F2 D R' F R' F' B2
F2 D R' F R' B2 F'
F2 D R' F' R' F' B2
F2 D R' F' R' B2 F'
F2 D R' F2 R' F' B2
F2 D R' F2 R' B2 F'
F2 D R2 L B2 L' F'
F2 D R2 L' F' L B2
F2 D R2 L2 F' L2 B2
F2 D R2 L2 F' B2 L2
F2 D R2 L2 B2 L2 F'
F2 D R2 L2 B2 F' L2
F2 D R2 D F' D' B2
F' D R2 F' B2 D R2
F2 D R2 D' F' D B2
F2 D R2 F' L B2 L'
F2 D R2 F' L2 B2 L2
F2 D R2 F' R' B2 R
F2 D R2 F' R2 B2 R2
F2 D R2 F' B D B
F2 D R2 F' B D' B
F2 D R2 F' B D2 B
F2 D R2 F' B' D B'
F2 D R2 F' B' D' B'
F2 D R2 F' B' D2 B'
F' D R2 B2 F' D R2
F2 D R2 F2 B2 D F
F2 D R2 F2 B2 D' F
F2 D R2 F2 B2 D2 F
F2 D R2 B D F' B
F2 D R2 B D B F'
F2 D R2 B D' F' B
F2 D R2 B D' B F'
F2 D R2 B D2 F' B
F2 D R2 B D2 B F'
F2 D R2 B F' D B
F2 D R2 B F' D' B
F2 D R2 B F' D2 B
F2 D R2 B' D F' B'
F2 D R2 B' D B' F'
F2 D R2 B' D' F' B'
F2 D R2 B' D' B' F'
F2 D R2 B' D2 F' B'
F2 D R2 B' D2 B' F'
F2 D R2 B' F' D B'
F2 D R2 B' F' D' B'
F2 D R2 B' F' D2 B'
F2 D R2 B2 L' F' L
F2 D R2 B2 L2 F' L2
F2 D R2 B2 D F' D
F2 D R2 B2 D F' D'
F2 D R2 B2 D F' D2
F2 D R2 B2 D' F' D
F2 D R2 B2 D' F' D'
F2 D R2 B2 D' F' D2
F2 D R2 B2 D2 F' D
F2 D R2 B2 D2 F' D'
F2 D R2 B2 D2 F' D2
F2 D R2 B2 F2 D F
F2 D R2 B2 F2 D' F
F2 D R2 B2 F2 D2 F
U F B U' R2 B' U'
U F B U' B' R2 U'
F2 D U2 B U2 B R2
F2 D F R B2 R F'
F2 D F R2 F' B2 D
F2 D F R2 F' B2 D'
F2 D F R2 F' B2 D2
F2 D F R2 B2 D F'
F2 D F R2 B2 D' F'
F2 D F R2 B2 D2 F'
F2 D F R2 B2 F' D
F2 D F R2 B2 F' D'
F2 D F R2 B2 F' D2
F2 D F' R B2 R F'
F2 D F' R2 F' B2 D
F2 D F' R2 F' B2 D'
F2 D F' R2 F' B2 D2
F2 D F' R2 B2 D F'
F2 D F' R2 B2 D' F'
F2 D F' R2 B2 D2 F'
F2 D F' R2 B2 F' D
F2 D F' R2 B2 F' D'
F2 D F' R2 B2 F' D2
F2 D F2 R B2 R F'
R2 F' R U R' F U'
R2 F' R U F R' U'
F2 D F2 R2 F' B2 D
F2 D F2 R2 F' B2 D'
F2 D F2 R2 F' B2 D2
F2 D F2 R2 B2 D F'
F2 D F2 R2 B2 D' F'
F2 D F2 R2 B2 D2 F'
F2 D F2 R2 B2 F' D
F2 D F2 R2 B2 F' D'
F2 D F2 R2 B2 F' D2
B' D F2 B2 D R2 F2
B' D F2 B2 D F2 R2
B' D B L2 U' L2 B
B' D B L2 U' B L2
B2 D F2 B2 D R2 F'
R2 F' R' U R F U'
B' D B' L2 U' L2 B'
D' F' R2 F' D B R2
D' F' R2 F' B D R2
L' F' R2 F U' L F2
L' F' R2 F U' F2 L
D' F' R2 B F' D R2
R2 F' R2 U R2 F U'
R2 F' R2 U F R2 U'
L2 F' R2 F U' L2 F2
L2 F' R2 F U' F2 L2
F2 D B' R2 D2 F2 B'
F2 D B' R2 D2 B' F2
D F' R2 F' B2 D R2
B' D B2 D F2 D R2
F2 D B2 L2 R2 F L2
F2 D B2 L2 F L2 R2
F2 D B2 L2 F R2 L2
D F' R2 B2 F' D R2
F2 D B2 R2 L2 F L2
F2 D B2 R2 U2 B' U2
B' D B2 F2 D R2 F2
B' D B2 F2 D F2 R2
L F' R2 F U' L' F2
F2 D B2 U2 B' U2 R2
R2 F' U F R2 U' B
R2 F' U F U F' U2
B2 D B2 F2 D R2 F'
R2 F' U' L2 B' U B
B D B2 D2 F2 D R2
B2 D' L2 U' F L2 B'
F2 D' L2 F2 B U2 L2
F2 D' L2 B F2 U2 L2
F' D' R2 F' D R2 B
F2 D' R2 D2 F' R2 B2
F2 D' R2 D2 F' B2 R2
F2 D' R2 D2 B2 F' R2
F2 D' R2 F' D2 R2 B
U F' B U' R2 B' U'
U F' B U' B' R2 U'
L' F2 L D R2 F' B2
L' F2 L D R2 B2 F'
F2 D' U2 L2 F2 B U2
F2 D' U2 L2 B F2 U2
F2 D' U2 F2 L2 B U2
F2 D' U2 F2 B L2 U2
F2 D' U2 B L2 F2 U2
F2 D' U2 B F2 L2 U2
L2 F2 L2 D R2 F' B2
L2 F2 L2 D R2 B2 F'
R' F2 R D R2 F' B2
R' F2 R D R2 B2 F'
F' D' F' D R2 F' B
F' D' F' D R2 B F'
F2 D' F' D2 R2 F' B
F2 D' F' D2 R2 B F'
R2 F2 L2 F2 U' L2 F
F2 D' F2 L2 B U2 L2
F2 D' F2 B L2 U2 L2
F2 D' B L2 F2 U2 L2
D2 F2 R2 D F' R2 B
B D' F2 D' L2 U2 L2
L' F2 R2 F2 U' F L
F2 D' B F2 L2 U2 L2
L2 F2 R2 F2 U' F L2
R2 F2 R2 D R2 F B2
R2 F2 R2 D R2 B2 F
R2 F2 R2 D F R2 B2
R2 F2 R2 D F B2 R2
R2 F2 R2 D B2 R2 F
R2 F2 R2 D B2 F R2
F2 D' B' D2 R2 F2 B2
F2 D' B' D2 R2 B2 F2
F2 D' B' D2 F2 R2 B2
F2 D' B' D2 F2 B2 R2
F2 D' B' D2 B2 R2 F2
F2 D' B' D2 B2 F2 R2
D F2 R2 B2 D F' R2
F2 D' B2 D2 B2 R2 F'
R F2 U F2 R U' F'
L' F2 D L R2 F' B2
L' F2 D L R2 B2 F'
D2 F2 D R2 D2 F' B2
D2 F2 D R2 D2 B2 F'
L' F2 D R2 L F' B2
L' F2 D R2 L B2 F'
L' F2 D R2 F' L B2
D' F2 D F R2 F' B
D' F2 D F R2 B F'
D2 F2 D F' R2 F' B
D2 F2 D F' R2 B F'
U' F2 D B2 D2 L2 F
D' F2 D' L2 B U2 L2
R2 F2 D R2 D F B2
R2 F2 D R2 D B2 F
R2 F2 D R2 F D B2
D' F2 D' B L2 U2 L2
R2 F2 D F R2 D B2
D F2 D R2 D' F' B2
D F2 D R2 D' B2 F'
D F2 D R2 F' D' B2
F2 D2 L2 B2 U L2 F
L F2 D R2 F' B2 L
L F2 D R2 B2 L F'
L F2 D R2 B2 F' L
D' F2 B D' L2 U2 L2
F2 D2 R2 D' F' R2 B2
F2 D2 R2 D' F' B2 R2
F2 D2 R2 D' B2 F' R2
F2 D2 R2 F' D' R2 B2
F2 D2 R2 F' D' B2 R2
U F2 B U' R2 B' U'
U F2 B U' B' R2 U'
B' D2 U' F2 D' L2 B2
B' D2 U' F2 D' B2 L2
F2 D2 U' B2 L2 U F
R2 B L U' L F' L2
R2 B L U' L' D F'
R2 B L U' L' D' F'
R2 B L U' L' D2 F'
R2 B L U' L' F' D
R2 B L U' L' F' D'
R2 B L U' L' F' D2
R2 B L U' L2 F' L
R2 B L U' D L' F'
R2 B L U' D' L' F'
R2 B L U' D2 L' F'
R2 B L D U' L' F'
R2 B L D' U' L' F'
R2 B L D2 U' L' F'
R2 B L B U' L' F'
R2 B L B' U' L' F'
R2 B L B2 U' L' F'
R B L R U' L' F'
R2 B L' U' L D F'
R2 B L' U' L D' F'
R2 B L' U' L D2 F'
R2 B L' U' L F' D
R2 B L' U' L F' D'
R2 B L' U' L F' D2
R2 B L' U' L' F' L2
R2 B L' U' D L F'
R2 B L' U' D F' L
R2 B L' U' D' L F'
R2 B L' U' D' F' L
R2 B L' U' D2 L F'
R2 B L' U' D2 F' L
R2 B L' U' F L F2
R2 B L' U' F' L D
R2 B L' U' F' L D'
R2 B L' U' F' L D2
R2 B L' U' F' D L
R2 B L' U' F' D' L
R2 B L' U' F' D2 L
R2 B L' D U' L F'
R2 B L' D U' F' L
R2 B L' D' U' L F'
R2 B L' D' U' F' L
R2 B L' D2 U' L F'
R2 B L' D2 U' F' L
F2 D2 F D' R2 F' B2
F2 D2 F D' R2 B2 F'
U2 B L2 U' R2 F U'
U2 B L2 U' F R2 U'
R2 B L2 U' L F' L
R B L' R U' L F'
R B L' R U' F' L
R2 B L2 U' L2 D F'
R2 B L2 U' L2 D' F'
R2 B L2 U' L2 D2 F'
R2 B L2 U' L2 F' D
R2 B L2 U' L2 F' D'
R2 B L2 U' L2 F' D2
R2 B L2 U' F L2 F2
R2 B L2 U' F' L2 D
R2 B L2 U' F' L2 D'
R2 B L2 U' F' L2 D2
R2 B L2 D' B2 U' F'
F2 D2 F' D' R2 F' B2
F2 D2 F' D' R2 B2 F'
B' D2 F2 D R2 D2 B2
R2 B L2 B U' L2 F'
R2 B L2 B U' F' L2
B' D2 F2 D' B2 D2 R2
R2 B L2 B' U' L2 F'
R2 B L2 B' U' F' L2
R2 B L2 B2 U' L2 F'
R2 B L2 B2 U' F' L2
R B L2 R U' L2 F'
R B L2 R U' F' L2
F2 D2 F2 D' R2 F' B2
F2 D2 F2 D' R2 B2 F'
U B R U' R B' U'
U B R U' B' R U'
R B R L U' L' F'
R B R L' U' L F'
R B R L' U' F' L
R B R L2 U' L2 F'
R B R L2 U' F' L2
L2 B R2 U' L2 D F2
U B R' U' R' B' U'
L2 B R2 B U' L2 F
F2 D2 B2 L2 U F L2
U2 B U D B' U B'
U2 B U D2 B' L2 U
U B R2 U' B' U' B
U2 B U B' U D B2
U2 B U B' U2 R2 U'
U2 B U B' D U B2
U2 B U B' D2 L2 U
L2 B U' L2 D F2 B2
L2 B U' L2 D B2 F2
U2 B U' R2 U2 B' U
L2 B U' R2 U' L2 R2
L2 B U' R2 U' R2 L2
U B U D2 L2 F U
R2 B U' F' U' F U
R2 B U' F2 D' F L2
U B U' R B' R U'
L B U' R2 U' L' R2
L B U' R2 U' R2 L'
U B U' R2 D B' U'
U B U' R2 D' B' U'
U B U' R2 D2 B' U'
U B U' R2 B' U' D
U B U' R2 B' U' D'
U B U' R2 B' U' D2
U B U' R2 B' D U'
U B U' R2 B' D' U'
U B U' R2 B' D2 U'
U B U' D B' U' B'
U B U' B R2 B2 U'
U B U' B' R2 U' D
U B U' B' R2 U' D'
U B U' B' R2 U' D2
U B U' B' R2 D U'
U B U' B' R2 D' U'
U B U' B' R2 D2 U'
U B U' B' U' D B2
U B U' B' D U' B2
U2 B D U B' U B'
R2 B D L U' L' F'
R2 B D L' U' L F'
R2 B D L' U' F' L
R2 B D L2 U' L2 F'
R2 B D L2 U' F' L2
U B U2 B D L2 B2
U B U2 B D B2 L2
R2 B D' L U' L' F'
R2 B D' L' U' L F'
R2 B D' L' U' F' L
R2 B D' L2 U' L2 F'
R2 B D' L2 U' F' L2
U2 B D' F2 U B' U
U B D U' B' U' B'
U2 B D2 U B' L2 U
R2 B D2 L U' L' F'
R2 B D2 L' U' L F'
R2 B D2 L' U' F' L
R2 B D2 L2 U' L2 F'
R2 B D2 L2 U' F' L2
U B D' F2 U' B' U'
U B D2 U L2 F U
D' B F2 D' L2 U2 L2
U B F U' R2 B' U'
U B F U' B' R2 U'
F' B U' F R2 B U'
U B F' U' R2 B' U'
U B F' U' B' R2 U'
R2 B' L U' L F' L2
R2 B' L U' L' D F'
R2 B' L U' L' D' F'
R2 B' L U' L' D2 F'
R2 B' L U' L' F' D
R2 B' L U' L' F' D'
R2 B' L U' L' F' D2
R2 B' L U' L2 F' L
R2 B' L U' D L' F'
R2 B' L U' D' L' F'
R2 B' L U' D2 L' F'
R2 B' L D U' L' F'
R2 B' L D' U' L' F'
U B F2 U' R2 B' U'
U B F2 U' B' R2 U'
R2 B' L D2 U' L' F'
R2 B' L B U' L' F'
R2 B' L B' U' L' F'
R2 B' L B2 U' L' F'
R2 B' L' U' L D F'
R2 B' L' U' L D' F'
R2 B' L' U' L D2 F'
R2 B' L' U' L F' D
R2 B' L' U' L F' D'
R2 B' L' U' L F' D2
R2 B' L' U' L' F' L2
R2 B' L' U' D L F'
R2 B' L' U' D F' L
R2 B' L' U' D' L F'
R2 B' L' U' D' F' L
R2 B' L' U' D2 L F'
R2 B' L' U' D2 F' L
R2 B' L' U' F L F2
R2 B' L' U' F' L D
R2 B' L' U' F' L D'
R2 B' L' U' F' L D2
R2 B' L' U' F' D L
R2 B' L' U' F' D' L
R2 B' L' U' F' D2 L
R B' L R U' L' F'
R2 B' L' D U' L F'
R2 B' L' D U' F' L
R2 B' L' D' U' L F'
R2 B' L' D' U' F' L
R2 B' L' D2 U' L F'
R2 B' L' D2 U' F' L
F2 B D R2 B2 D2 F2
F2 B D B' R2 F' B'
F2 B D B' R2 B' F'
F2 B D B2 R2 D2 F2
R2 B' L2 U' L F' L
R2 B' L2 U' L2 D F'
R2 B' L2 U' L2 D' F'
R2 B' L2 U' L2 D2 F'
R2 B' L2 U' L2 F' D
R2 B' L2 U' L2 F' D'
R2 B' L2 U' L2 F' D2
R2 B' L2 U' F L2 F2
R2 B' L2 U' F' L2 D
R2 B' L2 U' F' L2 D'
R2 B' L2 U' F' L2 D2
R B' L' R U' L F'
R B' L' R U' F' L
F2 B D' L2 F2 U2 L2
R2 B' L2 D' B2 U' F'
R2 B' L2 B U' L2 F'
R2 B' L2 B U' F' L2
R2 B' L2 B' U' L2 F'
R2 B' L2 B' U' F' L2
R2 B' L2 B2 U' L2 F'
R2 B' L2 B2 U' F' L2
F2 B D' F2 L2 U2 L2
R B' L2 R U' L2 F'
R B' L2 R U' F' L2
R B' R L U' L' F'
R B' R L' U' L F'
R B' R L' U' F' L
R B' R L2 U' L2 F'
R B' R L2 U' F' L2
L2 B' R2 U B2 U2 L2
L2 B' R2 U' L2 D2 F2
L2 B' R2 B' U' L2 F
L B' R2 U B2 U2 L'
L B' R2 U' L' D2 F2
L B' R2 U' D2 L' F2
L B' R2 D L2 U' L
L B' R2 D2 U' L' F2
R2 B' U' F' U' F U
R2 B' U' F2 D' F L2
D' B' D L2 R2 U' L2
D' B' D R2 L2 U' L2
U B' U' B R2 U' F'
R2 B' D L U' L' F'
R2 B' D L' U' L F'
R2 B' D L' U' F' L
R2 B' D L2 U' L2 F'
R2 B' D L2 U' F' L2
D B' D L2 U' L2 B'
L B' D L2 U' L B2
U' B' D2 F2 D' L2 B2
U' B' D2 F2 D' B2 L2
R2 B' D' L U' L' F'
R2 B' D' L' U' L F'
R2 B' D' L' U' F' L
R2 B' D' L2 U' L2 F'
R2 B' D' L2 U' F' L2
D2 B' D2 F2 D R2 B2
D2 B' D2 F2 D B2 R2
D' B' D2 F2 B2 D R2
D' B' D2 B2 F2 D R2
R2 B' D2 L U' L' F'
R2 B' D2 L' U' L F'
R2 B' D2 L' U' F' L
R2 B' D2 L2 U' L2 F'
R2 B' D2 L2 U' F' L2
D B' D2 F2 D R2 B'
D B' D2 F2 D B' R2
D B' D2 F2 B' D R2
D B' D2 B' F2 D R2
B F' U' F R2 B U'
F2 B' D R2 B2 D F2
F2 B' D B2 R2 D F2
R2 B2 L U' L F' L2
R2 B2 L U' L' D F'
R2 B2 L U' L' D' F'
R2 B2 L U' L' D2 F'
R2 B2 L U' L' F' D
R2 B2 L U' L' F' D'
R2 B2 L U' L' F' D2
R2 B2 L U' L2 F' L
R2 B2 L U' D L' F'
R2 B2 L U' D' L' F'
R2 B2 L U' D2 L' F'
R2 B2 L D U' L' F'
R2 B2 L D' U' L' F'
L2 B2 L' R2 U' L' F
R2 B2 L D2 U' L' F'
R2 B2 L B U' L' F'
R2 B2 L B' U' L' F'
D' B2 L2 U' F L2 B'
R2 B2 L B2 U' L' F'
R2 B2 L' U' L D F'
R2 B2 L' U' L D' F'
R2 B2 L' U' L D2 F'
R2 B2 L' U' L F' D
R2 B2 L' U' L F' D'
R2 B2 L' U' L F' D2
R2 B2 L' U' L' F' L2
R2 B2 L' U' D L F'
R2 B2 L' U' D F' L
R2 B2 L' U' D' L F'
R2 B2 L' U' D' F' L
R2 B2 L' U' D2 L F'
R2 B2 L' U' D2 F' L
R2 B2 L' U' F L F2
R2 B2 L' U' F' L D
R2 B2 L' U' F' L D'
R2 B2 L' U' F' L D2
R2 B2 L' U' F' D L
R2 B2 L' U' F' D' L
R2 B2 L' U' F' D2 L
R B2 L R U' L' F'
R2 B2 L' D U' L F'
R2 B2 L' D U' F' L
R2 B2 L' D' U' L F'
R2 B2 L' D' U' F' L
F2 B' D2 F2 D' R2 B2
F2 B' D2 F2 D' B2 R2
R2 B2 L' D2 U' L F'
R2 B2 L' D2 U' F' L
R2 B2 L2 U' L F' L
R2 B2 L2 U' L2 D F'
R2 B2 L2 U' L2 D' F'
R2 B2 L2 U' L2 D2 F'
R2 B2 L2 U' L2 F' D
R2 B2 L2 U' L2 F' D'
R2 B2 L2 U' L2 F' D2
R2 B2 L2 U' F L2 F2
R2 B2 L2 U' F' L2 D
R2 B2 L2 U' F' L2 D'
R2 B2 L2 U' F' L2 D2
R B2 L' R U' L F'
R B2 L' R U' F' L
R2 B2 L2 D' B2 U' F'
R2 B2 L2 B U' L2 F'
R2 B2 L2 B U' F' L2
R2 B2 L2 B' U' L2 F'
R2 B2 L2 B' U' F' L2
L B2 L2 R2 U' F L
R2 B2 L2 B2 U' L2 F'
R2 B2 L2 B2 U' F' L2
R B2 L2 R U' L2 F'
R B2 L2 R U' F' L2
L' B2 R2 U R B' U2
L' B2 R2 U B' R U2
R B2 R L U' L' F'
R B2 R L' U' L F'
R B2 R L' U' F' L
L2 B2 R2 L' U' L' F
R B2 R L2 U' L2 F'
R B2 R L2 U' F' L2
L2 B2 R2 U B' U2 L2
L2 B2 R2 U' L2 D F
L2 B2 R2 U' L2 D' F
L2 B2 R2 U' L2 D2 F
L2 B2 R2 U' L2 F D
L2 B2 R2 U' L2 F D'
L2 B2 R2 U' L2 F D2
L2 B2 R2 U' F L2 F
L2 B2 R2 U' F' L2 F
L2 B2 R2 U' F2 L2 F
L B2 R2 L2 U' F L
L B2 R2 U B' U2 L'
L B2 R2 U' L2 F L
L2 B2 U' L2 D F B2
L2 B2 U' L2 D B2 F
L2 B2 U' L2 F D B2
R2 B2 U' F' U' F U
R2 B2 U' F2 D' F L2
U2 B2 D L2 U2 F B2
U2 B2 D L2 U2 B2 F
U B2 U' B2 R2 U' F'
R2 B2 D L U' L' F'
D B2 U2 B' U B U
R2 B2 D L' U' L F'
R2 B2 D L' U' F' L
R2 B2 D L2 U' L2 F'
R2 B2 D L2 U' F' L2
U2 B2 D B' L2 F U2
U B2 U2 D L2 F B2
U B2 U2 D L2 B2 F
R2 B2 D' L U' L' F'
R2 B2 D' L' U' L F'
R2 B2 D' L' U' F' L
R2 B2 D' L2 U' L2 F'
R2 B2 D' L2 U' F' L2
B' F2 D R2 B2 D F2
U2 B2 D' F2 B' U2 R2
U2 B2 D' B' F2 U2 R2
U B2 D U2 L2 F B2
U B2 D U2 L2 B2 F
B' F2 D B2 R2 D F2
U B2 D B' U2 B' L2
R2 B2 D2 L U' L' F'
R2 B2 D2 L' U' L F'
R2 B2 D2 L' U' F' L
R2 B2 D2 L2 U' L2 F'
R2 B2 D2 L2 U' F' L2
B2 F2 D F B2 R2 F'
B2 F2 D F' B2 R2 F'
U B2 D' R2 F2 B' U2
U B2 D' R2 B' F2 U2
B2 F2 D F2 B2 R2 F'
F2 B2 D F B2 R2 F'
F2 B2 D F' B2 R2 F'
B2 F2 D B2 R2 D F'
B2 F2 D B2 R2 D' F'
B2 F2 D B2 R2 D2 F'
F2 B2 D F2 B2 R2 F'
B2 F2 D B2 R2 F' D
B2 F2 D B2 R2 F' D'
B2 F2 D B2 R2 F' D2
B2 F2 D B2 F R2 F'
B2 F2 D B2 F' R2 F'
B2 F2 D B2 F2 R2 F'
U B2 D' F2 R2 B' U2
F2 B2 D B2 R2 D F'
F2 B2 D B2 R2 D' F'
F2 B2 D B2 R2 D2 F'
F2 B2 D B2 R2 F' D
F2 B2 D B2 R2 F' D'
F2 B2 D B2 R2 F' D2
U B2 D' F2 B' R2 U2
F2 B2 D B2 F R2 F'
F2 B2 D B2 F' R2 F'
F2 B2 D B2 F2 R2 F'
U B2 D' B' R2 F2 U2
U B2 D' B' F2 R2 U2
B F2 D R2 B2 D2 F2
B F2 D B' R2 F' B'
B F2 D B' R2 B' F'
B F2 D B2 R2 D2 F2
B' F2 D2 F2 D' R2 B2
B' F2 D2 F2 D' B2 R2
B F2 D' L2 F2 U2 L2
B F2 D' F2 L2 U2 L2
