F' R U R' F
F' R U F R'
L' U' L F' U
L2 U' L2 F' U
L U' L' F' U
L' U' F' L U
L2 U' F' L2 U
F' R' U R F
F' R2 U R2 F
F' R2 U F R2
U R2 B U' B'
U' F' L2 U B'
U' F' U' F U2
F R2 F2 U F' R2 F'
F R2 F2 U F2 R2 F'
F R2 F2 U' B U2 R2
F' R2 B D B2 U F
F2 R2 B F U R2 F
F2 R2 B F U F R2
F' R2 B' R U R F
F' R2 B' R' U R' F
F' R2 B' R' U F R'
U R2 B R U' D B'
U R2 B R U' D' B'
U R2 B R U' D2 B'
U R2 B R U' B' D
U R2 B R U' B' D'
U R2 B R U' B' D2
F' R2 B' U R' F R'
U R2 B R D U' B'
F' R2 B' U R2 D F
F' R2 B' U R2 D' F
F' R2 B' U R2 D2 F
F' R2 B' U R2 F D
F' R2 B' U R2 F D'
F' R2 B' U R2 F D2
U R2 B R D' U' B'
U R2 B R D2 U' B'
F' R2 B' U F R2 D
F' R2 B' U F R2 D'
F' R2 B' U F R2 D2
F' R2 B' U F' R2 F2
U R2 B R' U' D B'
U R2 B R' U' D' B'
U R2 B R' U' D2 B'
U R2 B R' U' B' D
U R2 B R' U' B' D'
U R2 B R' U' B' D2
U R2 B R' D U' B'
U R2 B R' D' U' B'
U R2 B R' D2 U' B'
U R2 B R2 U' D B'
U R2 B R2 U' D' B'
U R2 B R2 U' D2 B'
U R2 B R2 U' B' D
U R2 B R2 U' B' D'
U R2 B R2 U' B' D2
U R2 B R2 D U' B'
U R2 B R2 D' U' B'
U R2 B R2 D2 U' B'
U R2 B U F U2 B'
U R2 B U F' U2 B'
U R2 B U F2 U2 B'
F' R2 B' D B2 U F
U R2 B U' R' B' R
U R2 B U' R2 B' R2
U R2 B U' D B' D
U R2 B U' D B' D'
U R2 B U' D B' D2
U R2 B U' D' B' D
U R2 B U' D' B' D'
U R2 B U' D' B' D2
U R2 B U' D2 B' D
U R2 B U' D2 B' D'
U R2 B U' D2 B' D2
U R2 B U' B2 D B
U R2 B U' B2 D' B
U R2 B U' B2 D2 B
U R2 B D R U' B'
U R2 B D R' U' B'
U R2 B D R2 U' B'
U R2 B D U' B' D
U R2 B D U' B' D'
U R2 B D U' B' D2
R2 D R2 F' B2 U F
U R2 B D' R U' B'
U R2 B D' R' U' B'
U R2 B D' R2 U' B'
U R2 B D' U' B' D
U R2 B D' U' B' D'
U R2 B D' U' B' D2
U R2 B D2 R U' B'
U R2 B D2 R' U' B'
U R2 B D2 R2 U' B'
U R2 B D2 U' B' D
U R2 B D2 U' B' D'
U R2 B D2 U' B' D2
R2 D R2 B2 F' U F
F2 R2 B' F U R2 F
F2 R2 B' F U F R2
F' R2 B2 R U R F
F' R2 B2 R' U R' F
F' R2 B2 R' U F R'
L' D U' L D F' U
L' D U' L D' F' U
L' D U' L D2 F' U
L' D U' L F' U D
L' D U' L F' U D'
L' D U' L F' U D2
L' D U' L F' D U
L' D U' L F' D' U
L' D U' L F' D2 U
F' R2 B2 U R' F R'
F' R2 B2 U R2 D F
F' R2 B2 U R2 D' F
F' R2 B2 U R2 D2 F
F' R2 B2 U R2 F D
F' R2 B2 U R2 F D'
F' R2 B2 U R2 F D2
F' R2 B2 U F R2 D
F' R2 B2 U F R2 D'
F' R2 B2 U F R2 D2
F' R2 B2 U F' R2 F2
L' D U' L' F' L2 U
F' R2 B2 D B2 U F
U R2 B' U' D L2 B
U R2 B' U' D B L2
L' D U' F L F2 U
L' D U' F' L U D
L' D U' F' L U D'
L' D U' F' L U D2
L' D U' F' L D U
L' D U' F' L D' U
L' D U' F' L D2 U
U R2 B' D U' L2 B
U R2 B' D U' B L2
L' D U' F' D L U
L' D U' F' D' L U
L' D U' F' D2 L U
F2 R2 B2 F U R2 F
F2 R2 B2 F U F R2
L2 D U' F' U' F' U2
U R2 B2 R B' U' B'
U R2 B2 R' B' U' B'
L D U' L F' L2 U
U' D L F' L2 U B'
U R2 B2 R2 B' U' B'
U' D L F' U' F U2
L D U' L' D F' U
L D U' L' D' F' U
L D U' L' D2 F' U
L D U' L' F' U D
L D U' L' F' U D'
L D U' L' F' U D2
L D U' L' F' D U
L D U' L' F' D' U
L D U' L' F' D2 U
L D U' L2 F' L U
U R2 B2 D' R2 B' U'
U R2 B2 D' B' R2 U'
L2 D U2 F2 U F U
U' D L' F' L2 U B'
U' D L' F' U' F U2
L2 D F D' L2 F' B'
L2 D F D' L2 B' F'
U' D L2 F' L2 U B'
U' D L2 F' U' F U2
R D F U F' L' R'
R D F U F' R' L'
F2 U L2 B' U' F2 B
F2 U L2 B' U' B F2
F' U R F U F' U'
F' U R F2 D F' R2
D' U R B' U' B L
D2 U R B' U' B L
B' U R B' U' B L
B2 U R B' U' B L
F' U R' F U F' U'
B U R B' U' B L
D U R B' U' B L
F' U R' F2 D F' R2
U D R B' U' B L
D' U R2 D B U' B'
D2 U R2 D B U' B'
D' U R2 D' B U' B'
B' U R2 D B U' B'
D' U R2 D2 B U' B'
D2 U R2 D' B U' B'
B' U R2 D' B U' B'
D2 U R2 D2 B U' B'
B' U R2 D2 B U' B'
F' U R2 F U F' U'
D' U R2 B R U' B'
B2 U R2 D B U' B'
D' U R2 B R' U' B'
D' U R2 B R2 U' B'
D' U R2 B U' D B'
D' U R2 B U' D' B'
D' U R2 B U' D2 B'
D' U R2 B U' B' D
D' U R2 B U' B' D'
D' U R2 B U' B' D2
D' U R2 B D U' B'
D' U R2 B D' U' B'
D' U R2 B D2 U' B'
B2 U R2 D' B U' B'
U2 D R2 U' B R2 U'
D2 U R2 B R U' B'
D2 U R2 B R' U' B'
D2 U R2 B R2 U' B'
D2 U R2 B U' D B'
D2 U R2 B U' D' B'
D2 U R2 B U' D2 B'
D2 U R2 B U' B' D
D2 U R2 B U' B' D'
D2 U R2 B U' B' D2
D2 U R2 B D U' B'
D2 U R2 B D' U' B'
F' U R2 F2 D F' R2
D2 U R2 B D2 U' B'
B' U R2 B R U' B'
B' U R2 B R' U' B'
B' U R2 B R2 U' B'
B2 U R2 D2 B U' B'
B' U R2 B U' D B'
B' U R2 B U' D' B'
B' U R2 B U' D2 B'
B' U R2 B U' B' D
B' U R2 B U' B' D'
B' U R2 B U' B' D2
B' U R2 B D U' B'
B' U R2 B D' U' B'
B' U R2 B D2 U' B'
L D B U' L' F' U
B2 U R2 B R U' B'
B2 U R2 B R' U' B'
B2 U R2 B R2 U' B'
B2 U R2 B U' D B'
B2 U R2 B U' D' B'
B2 U R2 B U' D2 B'
B2 U R2 B U' B' D
B2 U R2 B U' B' D'
B2 U R2 B U' B' D2
B2 U R2 B D U' B'
B2 U R2 B D' U' B'
B2 U R2 B D2 U' B'
B U R2 D B U' B'
D U R2 D B U' B'
B U R2 D' B U' B'
D U R2 D' B U' B'
B' U D R2 B U' B'
B U R2 D2 B U' B'
D U R2 D2 B U' B'
F' U D F U F' U'
B2 U D R2 B U' B'
F' U D F2 D F' R2
B U R2 B R U' B'
D U R2 B R U' B'
B U R2 B R' U' B'
D U R2 B R' U' B'
B U R2 B R2 U' B'
D U R2 B R2 U' B'
B U R2 B U' D B'
B U R2 B U' D' B'
B U R2 B U' D2 B'
B U R2 B U' B' D
B U R2 B U' B' D'
B U R2 B U' B' D2
D U R2 B U' D B'
D U R2 B U' D' B'
D U R2 B U' D2 B'
D U R2 B U' B' D
D U R2 B U' B' D'
D U R2 B U' B' D2
B U R2 B D U' B'
B U R2 B D' U' B'
D U R2 B D U' B'
B U R2 B D2 U' B'
U D R2 D B U' B'
D U R2 B D' U' B'
D U R2 B D2 U' B'
U D R2 D' B U' B'
U D R2 D2 B U' B'
L D B' U' L' F' U
U' D F' L2 U D B'
U' D F' L2 U D' B'
U' D F' L2 U D2 B'
U' D F' L2 U B' D
U' D F' L2 U B' D'
U' D F' L2 U B' D2
U D R2 B R U' B'
U D R2 B R' U' B'
U' D F' L2 D U B'
U D R2 B R2 U' B'
U' D F' L2 D' U B'
U' D F' L2 D2 U B'
U D R2 B U' D B'
U D R2 B U' D' B'
U D R2 B U' D2 B'
U D R2 B U' B' D
U D R2 B U' B' D'
U D R2 B U' B' D2
U D R2 B D U' B'
U D R2 B D' U' B'
U D R2 B D2 U' B'
B' U D' R2 B U' B'
B U D R2 B U' B'
F' U D' F U F' U'
U' D F' U L2 B' L2
F2 U D' L2 B' U' B
U' D F' U' D F U2
U' D F' U' D' F U2
U' D F' U' D2 F U2
U' D F' U' F U2 D
U' D F' U' F U2 D'
U' D F' U' F U2 D2
U' D F' U' F D U2
U' D F' U' F D' U2
U' D F' U' F D2 U2
F' U D' F2 D F' R2
B2 U D' R2 B U' B'
U' D F' D L2 U B'
U' D F' D U' F U2
U' D F' D' L2 U B'
U' D F' D' U' F U2
U' D F' D2 L2 U B'
U' D F' D2 U' F U2
L D B2 U' L' F' U
L2 D' L U' F' U B2
B' U D2 R2 B U' B'
B U D' R2 B U' B'
F' U D2 F U F' U'
F' U D2 F2 D F' R2
L' D' L' U' L2 F' U
B2 U D2 R2 B U' B'
L' D' L' U' F' L2 U
L2 D' L B2 U' F' U
U' D F2 D' F L2 U
L D' L U' L2 F' U
L D' L U' F' L2 U
U' D F2 D2 F U B2
F' U F R2 U' B U
L2 D' L' U' F' U B2
B U D2 R2 B U' B'
F' U F U D F' U'
F' U F U D' F' U'
F' U F U D2 F' U'
F' U F U F' U' D
F' U F U F' U' D'
F' U F U F' U' D2
F' U F U F' D U'
F' U F U F' D' U'
F' U F U F' D2 U'
F' U F D U F' U'
F' U F D' U F' U'
L' D' L2 U' L' F' U
D' U B R2 B U' B2
F' U F D2 U F' U'
D2 U B R2 B U' B2
D' U B U2 F' U B'
D2 U B U2 F' U B'
L2 D' L' B2 U' F' U
F U D2 B2 U' F' B2
F U D2 B2 U' B2 F'
L2 D' L2 U' F' U B2
F' U F' U F U' F
D U B R2 B U' B2
D' U B' U2 F' U B
D U B U2 F' U B'
L2 D' L2 B2 U' F' U
D2 U B' U2 F' U B
L D' L2 U' L F' U
L D' L2 U' F' L U
U D B R2 B U' B2
F' U F2 R2 D R2 F'
U D B U2 F' U B'
F' U F2 U F2 U' F
F' U F2 D F R2 F2
F' U F2 D F' R2 D
F' U F2 D F' R2 D'
F' U F2 D F' R2 D2
F' U F2 D F2 R2 F
F' U F2 D' F' D2 R2
D' U B2 R2 B U' B
F' U F2 D2 F' D' R2
D2 U B2 R2 B U' B
D' U B2 U2 F' U B2
D U B' U2 F' U B
D2 U B2 U2 F' U B2
D' U B2 D' R2 B U'
D2 U B2 D' R2 B U'
B' U B R2 B U' B2
U D B' U2 F' U B
B' U B U2 F' U B'
B2 U B R2 B U' B2
B2 U B U2 F' U B'
D U B2 R2 B U' B
D' U' L F' L2 U B'
U' D' L F' L2 U B'
D' U' L F' U' F U2
D U B2 U2 F' U B2
U' D' L F' U' F U2
D2 U' L F' L2 U B'
D2 U' L F' U' F U2
D U B2 D' R2 B U'
U D B2 R2 B U' B
B U B R2 B U' B2
U D B2 U2 F' U B2
B' U B' U2 F' U B
U D B2 D' R2 B U'
B U B U2 F' U B'
B2 U B' U2 F' U B
U' D' L' F' L2 U B'
D' U' L' F' L2 U B'
D' U' L' F' U' F U2
U' D' L' F' U' F U2
D2 U' L' F' L2 U B'
D U' L F' L2 U B'
D2 U' L' F' U' F U2
D U' L F' U' F U2
L' D' U' L D F' U
L' D' U' L D' F' U
L' D' U' L D2 F' U
L' D' U' L F' U D
L' D' U' L F' U D'
L' D' U' L F' U D2
L' D' U' L F' D U
L' D' U' L F' D' U
L' D' U' L F' D2 U
B' U B2 R2 B U' B
L' D' U' L' F' L2 U
L2 D' U R2 B U' B
B' U B2 U2 F' U B2
B U B' U2 F' U B
B2 U B2 R2 B U' B
B' U B2 D' R2 B U'
L' D' U' F L F2 U
L' D' U' F' L U D
L' D' U' F' L U D'
L' D' U' F' L U D2
L' D' U' F' L D U
L' D' U' F' L D' U
L' D' U' F' L D2 U
L' D' U' F' D L U
L' D' U' F' D' L U
L' D' U' F' D2 L U
R2 D' U F2 B U' B'
B2 U B2 U2 F' U B2
L2 D' U' L F' U B2
R2 D' U B F2 U' B'
B2 U B2 D' R2 B U'
L2 D' U' L' F' U B2
U' D' L2 F' L2 U B'
D' U' L2 F' L2 U B'
U' D' L2 F' U' F U2
D' U' L2 F' U' F U2
L2 D' U' L2 F' U B2
D2 U' L2 F' L2 U B'
D2 U' L2 F' U' F U2
D U' L' F' L2 U B'
D U' L' F' U' F U2
L2 D' U' F' L U B2
L2 D' U' F' L' U B2
L2 D' U' F' L2 U B2
L2 D' U' F' U B2 D
L2 D' U' F' U B2 D'
L2 D' U' F' U B2 D2
L2 D' U' F' D L2 U
B U B2 R2 B U' B
B U B2 U2 F' U B2
B' U' L F' L2 U B'
B' U' L F' U' F U2
B U B2 D' R2 B U'
L D' U' L F' L2 U
L D' U' L' D F' U
L D' U' L' D' F' U
L D' U' L' D2 F' U
L D' U' L' F' U D
L D' U' L' F' U D'
L D' U' L' F' U D2
L D' U' L' F' D U
L D' U' L' F' D' U
L D' U' L' F' D2 U
B2 U' L F' L2 U B'
L D' U' L2 F' L U
B2 U' L F' U' F U2
R' D' F U L' F' R
D U' L2 F' L2 U B'
D U' L2 F' U' F U2
B' U' L' F' L2 U B'
B' U' L' F' U' F U2
B U' L F' L2 U B'
B U' L F' U' F U2
B2 U' L' F' L2 U B'
B2 U' L' F' U' F U2
L2 D' F B2 D' L2 F'
L2 D' F B2 D' F' L2
B' U' L2 F' L2 U B'
B' U' L2 F' U' F U2
B U' L' F' L2 U B'
B U' L' F' U' F U2
U D' R B' U' B L
B2 U' L2 F' L2 U B'
B2 U' L2 F' U' F U2
F' U' L2 B' U B U
R D' F U F' L' R'
R D' F U F' R' L'
U2 D' R2 U' B R2 U'
B U' L2 F' L2 U B'
B U' L2 F' U' F U2
U D' R2 D B U' B'
U D' R2 D' B U' B'
U' D' F' L2 U D B'
U' D' F' L2 U D' B'
U' D' F' L2 U D2 B'
U' D' F' L2 U B' D
U' D' F' L2 U B' D'
U' D' F' L2 U B' D2
D' U' F' L2 U D B'
D' U' F' L2 U D' B'
D' U' F' L2 U D2 B'
D' U' F' L2 U B' D
D' U' F' L2 U B' D'
D' U' F' L2 U B' D2
U D' R2 D2 B U' B'
U' D' F' L2 D U B'
U' D' F' L2 D' U B'
D' U' F' L2 D U B'
U' D' F' L2 D2 U B'
D' U' F' L2 D' U B'
D' U' F' L2 D2 U B'
D2 U' F' L2 U D B'
D2 U' F' L2 U D' B'
D2 U' F' L2 U D2 B'
D2 U' F' L2 U B' D
D2 U' F' L2 U B' D'
D2 U' F' L2 U B' D2
D2 U' F' L2 D U B'
D2 U' F' L2 D' U B'
D2 U' F' L2 D2 U B'
U D' R2 B R U' B'
U D' R2 B R' U' B'
U D' R2 B R2 U' B'
D' U' F' U L2 B' L2
U' D' F' U L2 B' L2
U D' R2 B U' D B'
U D' R2 B U' D' B'
U D' R2 B U' D2 B'
U D' R2 B U' B' D
U D' R2 B U' B' D'
U D' R2 B U' B' D2
U D' R2 B D U' B'
U D' R2 B D' U' B'
U D' R2 B D2 U' B'
D' U' F' U' D F U2
D' U' F' U' D' F U2
U' D' F' U' D F U2
D' U' F' U' D2 F U2
U' D' F' U' D' F U2
U' D' F' U' D2 F U2
D' U' F' U' F U2 D
D' U' F' U' F U2 D'
D' U' F' U' F U2 D2
D' U' F' U' F D U2
D' U' F' U' F D' U2
D' U' F' U' F D2 U2
U' D' F' U' F U2 D
U' D' F' U' F U2 D'
U' D' F' U' F U2 D2
U' D' F' U' F D U2
U' D' F' U' F D' U2
U' D' F' U' F D2 U2
D2 U' F' U L2 B' L2
D' U' F' D L2 U B'
U' D' F' D L2 U B'
D' U' F' D U' F U2
U' D' F' D U' F U2
D2 U' F' U' D F U2
D2 U' F' U' D' F U2
D2 U' F' U' D2 F U2
D2 U' F' U' F U2 D
D2 U' F' U' F U2 D'
D2 U' F' U' F U2 D2
D2 U' F' U' F D U2
D2 U' F' U' F D' U2
D2 U' F' U' F D2 U2
D' U' F' D' L2 U B'
U' D' F' D' L2 U B'
D' U' F' D' U' F U2
U' D' F' D' U' F U2
D' U' F' D2 L2 U B'
U' D' F' D2 L2 U B'
D2 U' F' D L2 U B'
U' D' F' D2 U' F U2
D' U' F' D2 U' F U2
D2 U' F' D U' F U2
L2 D' B U' F' U B
D2 U' F' D' L2 U B'
D2 U' F' D' U' F U2
D2 U' F' D2 L2 U B'
D2 U' F' D2 U' F U2
D U' F' L2 U D B'
D U' F' L2 U D' B'
D U' F' L2 U D2 B'
D U' F' L2 U B' D
D U' F' L2 U B' D'
D U' F' L2 U B' D2
D U' F' L2 D U B'
D U' F' L2 D' U B'
D U' F' L2 D2 U B'
D U' F' U L2 B' L2
D' U' F2 D' F L2 U
U' D' F2 D' F L2 U
L D' B U' L' F' U
D' U' F2 D2 F U B2
U' D' F2 D2 F U B2
D U' F' U' D F U2
D U' F' U' D' F U2
D U' F' U' D2 F U2
D U' F' U' F U2 D
D U' F' U' F U2 D'
D U' F' U' F U2 D2
D U' F' U' F D U2
D U' F' U' F D' U2
D U' F' U' F D2 U2
L2 D' B' U' F' U B'
D2 U' F2 D' F L2 U
D U' F' D L2 U B'
D U' F' D U' F U2
D2 U' F2 D2 F U B2
D U' F' D' L2 U B'
D U' F' D' U' F U2
D U' F' D2 L2 U B'
D U' F' D2 U' F U2
B' U' D F' L2 U B'
B' U' D F' U' F U2
L2 D' B2 L U' F' U
L2 D' B2 L' U' F' U
L2 D' B2 L2 U' F' U
B2 U' D F' L2 U B'
B2 U' D F' U' F U2
F2 U' D F R2 U B
L D' B' U' L' F' U
L2 D' B2 U' D F' U
L2 D' B2 U' D' F' U
L2 D' B2 U' D2 F' U
L2 D' B2 U' F' U D
L2 D' B2 U' F' U D'
L2 D' B2 U' F' U D2
L2 D' B2 U' F' D U
L2 D' B2 U' F' D' U
L2 D' B2 U' F' D2 U
L2 D' B2 D U' F' U
D U' F2 D' F L2 U
L2 D' B2 D' U' F' U
D U' F2 D2 F U B2
B' U' D' F' L2 U B'
B' U' D' F' U' F U2
L2 D' B2 D2 U' F' U
L2 D' B2 F D' L2 F'
L2 D' B2 F D' F' L2
B2 U' D' F' L2 U B'
B2 U' D' F' U' F U2
B U' D F' L2 U B'
B U' D F' U' F U2
L2 D2 L U R2 B U'
L D' B2 U' L' F' U
B' U' D2 F' L2 U B'
B' U' D2 F' U' F U2
L' D2 L' U' L2 F' U
L' D2 L' U' F' L2 U
U D' B R2 B U' B2
B2 U' D2 F' L2 U B'
B2 U' D2 F' U' F U2
B U' D' F' L2 U B'
B U' D' F' U' F U2
U D' B U2 F' U B'
L2 D2 L' U R2 B U'
L D2 L U' L2 F' U
L D2 L U' F' L2 U
F2 U' F R2 U F B
F2 U' F R2 U B F
B U' D2 F' L2 U B'
L' D2 L2 U' L' F' U
B U' D2 F' U' F U2
F2 U' F U F D2 B2
F2 U' F U' F' U2 F2
U D' B' U2 F' U B
B' U' F' L2 U D B'
B' U' F' L2 U D' B'
B' U' F' L2 U D2 B'
B' U' F' L2 U B' D
B' U' F' L2 U B' D'
B' U' F' L2 U B' D2
B' U' F' L2 D U B'
B' U' F' L2 D' U B'
B' U' F' L2 D2 U B'
L2 D2 L2 U R2 B U'
B2 U' F' L2 U D B'
B2 U' F' L2 U D' B'
B2 U' F' L2 U D2 B'
B2 U' F' L2 U B' D
B2 U' F' L2 U B' D'
B2 U' F' L2 U B' D2
U' D2 L F' L2 U B'
B2 U' F' L2 D U B'
B2 U' F' L2 D' U B'
B2 U' F' L2 D2 U B'
U' D2 L F' U' F U2
B' U' F' U L2 B' L2
B' U' F' U' D F U2
B' U' F' U' D' F U2
B' U' F' U' D2 F U2
B' U' F' U' F U2 D
B' U' F' U' F U2 D'
B' U' F' U' F U2 D2
B' U' F' U' F D U2
B' U' F' U' F D' U2
B' U' F' U' F D2 U2
B' U' F' D L2 U B'
B2 U' F' U L2 B' L2
B' U' F' D U' F U2
B' U' F' D' L2 U B'
B' U' F' D' U' F U2
B2 U' F' U' D F U2
B2 U' F' U' D' F U2
B2 U' F' U' D2 F U2
B2 U' F' U' F U2 D
B2 U' F' U' F U2 D'
B2 U' F' U' F U2 D2
B2 U' F' U' F D U2
B2 U' F' U' F D' U2
B2 U' F' U' F D2 U2
B' U' F' D2 L2 U B'
B' U' F' D2 U' F U2
U D' B2 R2 B U' B
B2 U' F' D L2 U B'
B2 U' F' D U' F U2
B2 U' F' D' L2 U B'
B2 U' F' D' U' F U2
B2 U' F' D2 L2 U B'
B2 U' F' D2 U' F U2
U D' B2 U2 F' U B2
U D' B2 D' R2 B U'
B U' F' L2 U D B'
B U' F' L2 U D' B'
B U' F' L2 U D2 B'
B U' F' L2 U B' D
B U' F' L2 U B' D'
B U' F' L2 U B' D2
B U' F' L2 D U B'
B U' F' L2 D' U B'
B U' F' L2 D2 U B'
L D2 L2 U' L F' U
L D2 L2 U' F' L U
U' D2 L' F' L2 U B'
U' D2 L' F' U' F U2
B U' F' U L2 B' L2
B U' F' U' D F U2
B U' F' U' D' F U2
B U' F' U' D2 F U2
B U' F' U' F U2 D
B U' F' U' F U2 D'
B U' F' U' F U2 D2
B U' F' U' F D U2
B U' F' U' F D' U2
B U' F' U' F D2 U2
B' U' F2 D' F L2 U
B U' F' D L2 U B'
B U' F' D U' F U2
B' U' F2 D2 F U B2
B U' F' D' L2 U B'
B U' F' D' U' F U2
B U' F' D2 L2 U B'
B U' F' D2 U' F U2
B2 U' F2 D' F L2 U
B2 U' F2 D2 F U B2
U' D2 L2 F' L2 U B'
U' D2 L2 F' U' F U2
F' U' B U B' U F
B U' F2 D' F L2 U
B U' F2 D2 F U B2
F U' F2 U D2 F B2
F U' F2 U D2 B2 F
F U' F2 U' F2 U2 F'
F U' F2 D2 U F B2
F U' F2 D2 U B2 F
F' U' B' U B U F
L' D2 U' L D F' U
L' D2 U' L D' F' U
L' D2 U' L D2 F' U
L' D2 U' L F' U D
L' D2 U' L F' U D'
L' D2 U' L F' U D2
L' D2 U' L F' D U
L' D2 U' L F' D' U
L' D2 U' L F' D2 U
L2 D2 U R2 D B U'
L2 D2 U R2 D' B U'
L2 D2 U R2 D2 B U'
L' D2 U' L' F' L2 U
L2 D2 U R2 B U' D
L2 D2 U R2 B U' D'
L2 D2 U R2 B U' D2
L2 D2 U R2 B D U'
L2 D2 U R2 B D' U'
L2 D2 U R2 B D2 U'
F' U' B2 U B2 U F
F' U' B2 U2 D' R2 F
F' U' B2 U2 D' F R2
F' U' B2 U2 F D' R2
F' U' B2 D L2 B' U2
L2 D2 U B R2 B U'
L' D2 U' F L F2 U
F' U' B2 D' U2 R2 F
F' U' B2 D' U2 F R2
L2 D2 U B' R2 B U'
L' D2 U' F' L U D
L' D2 U' F' L U D'
L' D2 U' F' L U D2
L' D2 U' F' L D U
L' D2 U' F' L D' U
L' D2 U' F' L D2 U
L2 D2 U B2 R2 B U'
L' D2 U' F' D L U
L' D2 U' F' D' L U
L' D2 U' F' D2 L U
D' U2 R2 U' B R2 U'
D2 U2 R2 U' B R2 U'
F' U2 L U L' U2 F
U D2 R B' U' B L
L2 D2 U' F' U D B2
L2 D2 U' F' U2 R2 U'
L2 D2 U' F' D U B2
L2 D2 U' F' D2 L2 U
U2 D2 R2 U' B R2 U'
L D2 U' L F' L2 U
L D2 U' L' D F' U
L D2 U' L' D' F' U
L D2 U' L' D2 F' U
L D2 U' L' F' U D
L D2 U' L' F' U D'
L D2 U' L' F' U D2
L D2 U' L' F' D U
L D2 U' L' F' D' U
L D2 U' L' F' D2 U
L D2 U' L2 F' L U
D U2 R2 U' B R2 U'
U' D2 F' L2 U D B'
U' D2 F' L2 U D' B'
U' D2 F' L2 U D2 B'
U' D2 F' L2 U B' D
U' D2 F' L2 U B' D'
U' D2 F' L2 U B' D2
U' D2 F' L2 D U B'
U' D2 F' L2 D' U B'
U' D2 F' L2 D2 U B'
U D2 R2 D B U' B'
U D2 R2 D' B U' B'
U D2 R2 D2 B U' B'
U' D2 F' U L2 B' L2
U' D2 F' U' D F U2
U' D2 F' U' D' F U2
U' D2 F' U' D2 F U2
U' D2 F' U' F U2 D
U' D2 F' U' F U2 D'
U' D2 F' U' F U2 D2
U' D2 F' U' F D U2
U' D2 F' U' F D' U2
U' D2 F' U' F D2 U2
F' U2 L2 U L2 U2 F
U D2 R2 B R U' B'
U D2 R2 B R' U' B'
U D2 R2 B R2 U' B'
U D2 R2 B U' D B'
U D2 R2 B U' D' B'
U D2 R2 B U' D2 B'
U D2 R2 B U' B' D
U D2 R2 B U' B' D'
U D2 R2 B U' B' D2
U D2 R2 B D U' B'
U D2 R2 B D' U' B'
U D2 R2 B D2 U' B'
F' U2 L2 U B' L2 U2
U' D2 F' D L2 U B'
U' D2 F' D U' F U2
U' D2 F' D' L2 U B'
U' D2 F' D' U' F U2
U' D2 F' D2 L2 U B'
U' D2 F' D2 U' F U2
R D2 F U F' L' R'
R D2 F U F' R' L'
U' D2 F2 D' F L2 U
U' D2 F2 D2 F U B2
L2 D2 B U R2 B U'
B' U2 R2 U' B R2 U'
B2 U2 R2 U' B R2 U'
U D2 B R2 B U' B2
L2 D2 B' U R2 B U'
U D2 B U2 F' U B'
L D2 B U' L' F' U
B U2 R2 U' B R2 U'
L2 D2 B2 U R2 B U'
U D2 B' U2 F' U B
L D2 B' U' L' F' U
U' F L F2 L2 U B'
U' F L F2 U' F U2
U D2 B2 R2 B U' B
U D2 B2 U2 F' U B2
L D2 B2 U' L' F' U
U D2 B2 D' R2 B U'
U' F L' F2 L2 U B'
U' F L' F2 U' F U2
L' F L' D' L2 F' B2
L' F L' D' L2 B2 F'
L' F L' D' F' L2 B2
L' F L' D' F' B2 L2
L' F L' D' B2 L2 F'
L' F L' D' B2 F' L2
D' F L2 D' L2 F' B2
D' F L2 D' L2 B2 F'
D' F L2 D' F' L2 B2
D' F L2 D' F' B2 L2
D' F L2 D' B2 L2 F'
D' F L2 D' B2 F' L2
D2 F L2 D' L2 F' B2
D2 F L2 D' L2 B2 F'
D2 F L2 D' F' L2 B2
D2 F L2 D' F' B2 L2
D2 F L2 D' B2 L2 F'
D2 F L2 D' B2 F' L2
U' F L2 F2 L2 U B'
U' F L2 F2 U' F U2
F' U2 F' L U' F2 R
F' U2 F' U' F2 D R2
D F L2 D' L2 F' B2
D F L2 D' L2 B2 F'
D F L2 D' F' L2 B2
D F L2 D' F' B2 L2
D F L2 D' B2 L2 F'
D F L2 D' B2 F' L2
U2 F R' U F2 L' U
D' F R2 F2 U R2 F'
D2 F R2 F2 U R2 F'
U2 F R2 D R2 U2 B2
U2 F R2 D' F2 U2 L2
D F R2 F2 U R2 F'
L' F U' L F2 U F
U' F U' D R2 U2 B
U' F U' D F' R2 U2
U' F U' D' F' U2 L2
U2 F U F2 U D2 B2
U2 F U F2 U' F2 U2
U2 F U F2 D' L2 U
U2 F U F2 D2 U B2
U' F U' F' U F' U
B' D L U' L' F' U
L2 F U' L2 F2 U F
R F U L F' L' R'
R F U L F' R' L'
B2 D L U' L' F' U
R F U L' F' L' R'
R F U L' F' R' L'
R F U L2 F' L' R'
R F U L2 F' R' L'
U2 F U' D2 B2 U' B2
R F U D F' L' R'
R F U D F' R' L'
R F U D' F' L' R'
R F U D' F' R' L'
R F U D2 F' L' R'
R F U D2 F' R' L'
R F U F' L' R' D
R F U F' L' R' D'
R F U F' L' R' D2
R F U F' L' D R'
R F U F' L' D' R'
R F U F' L' D2 R'
R F U F' R' L' D
R F U F' R' L' D'
R F U F' R' L' D2
R F U F' R' D L'
R F U F' R' D' L'
R F U F' R' D2 L'
R F U F' D L' R'
B' D L' U' L F' U
R F U F' D R' L'
R F U F' D' L' R'
R F U F' D' R' L'
