B' F U' F2 B2
B' F U' B2 F2
F' B D L2 R2
F' B D R2 L2
F B' U' F2 B2
F B' U' B2 F2
B F' D L2 R2
B F' D R2 L2
B F' R' L D L2 R2
B F' R' L D R2 L2
F B' R D' L2 R2 U'
F B' R D' R2 L2 U'
D2 B' D' F R2 U' F2
B F' R' L' D L2 R2
B F' R' L' D R2 L2
B F' R' L2 D L2 R2
B F' R' L2 D R2 L2
B' F' R2 F2 U' F2 B2
B' F' R2 F2 U' B2 F2
D' B' D' F R2 U' F2
B F' R' U F2 B2 U'
B F' R' U B2 F2 U'
B' F' R2 B2 D L2 R2
B' F' R2 B2 D R2 L2
B F' R' D L2 R2 D
B F' R' D L2 R2 D'
B F' R' D L2 R2 D2
B F' R' D R2 L2 D
B F' R' D R2 L2 D'
B F' R' D R2 L2 D2
F B' R' L U' F2 B2
F B' R' L U' B2 F2
F' B' R2 F2 U' F2 B2
F' B' R2 F2 U' B2 F2
F B' R' L' U' F2 B2
F B' R' L' U' B2 F2
F B' R' L2 U' F2 B2
F B' R' L2 U' B2 F2
F' B' R2 B2 D L2 R2
F' B' R2 B2 D R2 L2
F B' R' U' F2 B2 D
F B' R' U' F2 B2 D'
F B' R' U' F2 B2 D2
F B' R' U' B2 F2 D
F B' R' U' B2 F2 D'
F B' R' U' B2 F2 D2
B F' R2 L D L2 R2
U2 B' D' F R2 U' F2
B F' R2 L D R2 L2
F B' R' D' L2 R2 U'
F B' R' D' R2 L2 U'
B F' R2 L' D L2 R2
B F' R2 L' D R2 L2
B F' R2 L2 D L2 R2
B F' R2 L2 D R2 L2
U' B' F L U' F2 B2
U' B' F L U' B2 F2
B F' R2 U F2 B2 U'
U' B' F L' U' F2 B2
U' B' F L' U' B2 F2
B F' R2 U B2 F2 U'
U' B' F L2 U' F2 B2
U' B' F L2 U' B2 F2
U' B' F R U' F2 B2
U' B' F R U' B2 F2
B F' R2 D L2 R2 D
B F' R2 D L2 R2 D'
B F' R2 D L2 R2 D2
B F' R2 D R2 L2 D
B F' R2 D R2 L2 D'
B F' R2 D R2 L2 D2
U' B' F R' U' F2 B2
U' B' F R' U' B2 F2
D2 B' F L U' F2 B2
D2 B' F L U' B2 F2
U' B' F R2 U' F2 B2
U' B' F R2 U' B2 F2
D2 B' F L' U' F2 B2
D2 B' F L' U' B2 F2
F B' R2 L U' F2 B2
F B' R2 L U' B2 F2
D2 B' F L2 U' F2 B2
D2 B' F L2 U' B2 F2
D' B' F L U' F2 B2
D' B' F L U' B2 F2
F B' R2 L' U' F2 B2
F B' R2 L' U' B2 F2
D2 B' F R U' F2 B2
R' B' F R U' F' B
R' B' F R U' B F'
D2 B' F R U' B2 F2
U' B' F U' F2 B2 D
U' B' F U' F2 B2 D'
U' B' F U' F2 B2 D2
F B' R2 L2 U' F2 B2
D' B' F L' U' F2 B2
F B' R2 L2 U' B2 F2
D' B' F L' U' B2 F2
D B' D' F R2 U' F2
U' B' F U' B2 F2 D
U' B' F U' B2 F2 D'
U' B' F U' B2 F2 D2
D2 B' F R' U' F2 B2
D2 B' F R' U' B2 F2
D' B' F L2 U' F2 B2
D' B' F L2 U' B2 F2
D2 B' F R2 U' F2 B2
B2 F' U F2 B U' B2
D2 B' F R2 U' B2 F2
D' B' F R U' F2 B2
D' B' F R U' B2 F2
U' B' F D' L2 R2 U'
F B' R2 U' F2 B2 D
F B' R2 U' F2 B2 D'
F B' R2 U' F2 B2 D2
U' B' F D' R2 L2 U'
B2 F' U B F2 U' B2
F B' R2 U' B2 F2 D
F B' R2 U' B2 F2 D'
F B' R2 U' B2 F2 D2
D' B' F R' U' F2 B2
D' B' F R' U' B2 F2
D2 B' F U' F2 B2 D
D2 B' F U' F2 B2 D'
D2 B' F U' F2 B2 D2
D' B' F R2 U' F2 B2
D' B' F R2 U' B2 F2
D2 B' F U' B2 F2 D
D2 B' F U' B2 F2 D'
D2 B' F U' B2 F2 D2
F B' R2 D' L2 R2 U'
F B' R2 D' R2 L2 U'
D2 B' F D' L2 R2 U'
D' B' F U' F2 B2 D
D' B' F U' F2 B2 D'
D' B' F U' F2 B2 D2
D2 B' F D' R2 L2 U'
D' B' F U' B2 F2 D
D' B' F U' B2 F2 D'
D' B' F U' B2 F2 D2
D' B' F D' L2 R2 U'
D' B' F D' R2 L2 U'
L2 B' F L U F2 B2
L2 B' F L U B2 F2
U B' D' F R2 U' F2
U2 B' F L U' F2 B2
U2 B' F L U' B2 F2
L2 B' F L' U F2 B2
L2 B' F L' U B2 F2
U2 B' F L' U' F2 B2
U2 B' F L' U' B2 F2
L2 B' F L2 U F2 B2
L2 B' F L2 U B2 F2
U2 B' F L2 U' F2 B2
U2 B' F L2 U' B2 F2
L2 B' F R U F2 B2
L2 B' F R U B2 F2
U2 B' F R U' F2 B2
U2 B' F R U' B2 F2
L2 B' F R' U F2 B2
L2 B' F R' U B2 F2
U2 B' F R' U' F2 B2
U2 B' F R' U' B2 F2
L2 B' F R2 U F2 B2
L2 B' F R2 U B2 F2
U2 B' F R2 U' F2 B2
U2 B' F R2 U' B2 F2
B F' U F2 U' D L2
B F' U F2 D U' L2
F2 B' U' F B2 D R2
B F' U F2 B2 U' D
B F' U F2 B2 U' D'
B F' U F2 B2 U' D2
B F' U F2 B2 D U'
B F' U F2 B2 D' U'
B F' U F2 B2 D2 U'
L2 B' F U F2 B2 D
L2 B' F U F2 B2 D'
L2 B' F U F2 B2 D2
L2 B' F U B2 F2 D
L2 B' F U B2 F2 D'
L2 B' F U B2 F2 D2
U2 B' F U' F2 B2 D
U2 B' F U' F2 B2 D'
U2 B' F U' F2 B2 D2
U2 B' F U' B2 F2 D
U2 B' F U' B2 F2 D'
U2 B' F U' B2 F2 D2
B F' U B2 U' D R2
L2 B' F D L2 R2 U
B F' U B2 D U' R2
L2 B' F D R2 L2 U
B F' U B2 F2 U' D
B F' U B2 F2 U' D'
B F' U B2 F2 U' D2
B F' U B2 F2 D U'
B F' U B2 F2 D' U'
B F' U B2 F2 D2 U'
U2 B' F D' L2 R2 U'
U2 B' F D' R2 L2 U'
D B' F L U' F2 B2
D B' F L U' B2 F2
F2 B' U' B2 F D R2
F B' U D2 F2 B2 U2
F B' U D2 B2 F2 U2
D B' F L' U' F2 B2
D B' F L' U' B2 F2
F B' U F U2 F B2
F B' U F U2 B2 F
D B' F L2 U' F2 B2
D B' F L2 U' B2 F2
F B' U F' U2 F' B2
F B' U F' U2 B2 F'
D B' F R U' F2 B2
D B' F R U' B2 F2
D B' F R' U' F2 B2
D B' F R' U' B2 F2
R2 B' F U F2 B2 U2
R2 B' F U B2 F2 U2
F B' U B U2 F2 B
F B' U B U2 B F2
R2 B' F U' D2 F2 B2
R2 B' F U' D2 B2 F2
D B' F R2 U' F2 B2
D B' F R2 U' B2 F2
F B' U B' U2 F2 B'
F B' U B' U2 B' F2
R2 B' F D L2 R2 U'
R2 B' F D R2 L2 U'
B F' U' D2 F2 B2 U
B F' U' D2 B2 F2 U
D B' F U' F2 B2 D
D B' F U' F2 B2 D'
D B' F U' F2 B2 D2
D B' F U' B2 F2 D
D B' F U' B2 F2 D'
D B' F U' B2 F2 D2
F B' U' L B2 L' F2
F B' U' L' F2 L B2
R2 B' F D2 U' F2 B2
R2 B' F D2 U' B2 F2
F B' U' L2 F2 L2 B2
F B' U' L2 F2 B2 L2
F B' U' L2 B2 L2 F2
D B' F D' L2 R2 U'
F B' U' L2 B2 F2 L2
D B' F D' R2 L2 U'
U B' F L U' F2 B2
U B' F L U' B2 F2
F B' U' R F2 R' B2
U B' F L' U' F2 B2
U B' F L' U' B2 F2
F B' U' R' B2 R F2
U B' F L2 U' F2 B2
U B' F L2 U' B2 F2
F B' U' R2 F2 R2 B2
F B' U' R2 F2 B2 R2
F B' U' R2 B2 R2 F2
F B' U' R2 B2 F2 R2
U B' F R U' F2 B2
U B' F R U' B2 F2
U B' F R' U' F2 B2
U B' F R' U' B2 F2
U B' F R2 U' F2 B2
U B' F R2 U' B2 F2
F B' U' F B2 D F
F B' U' F B2 D' F
F B' U' F B2 D2 F
F B' U' F' B2 D F'
F B' U' F' B2 D' F'
F B' U' F' B2 D2 F'
F B' U' F2 L B2 L'
F B' U' F2 L2 B2 L2
F B' U' F2 R' B2 R
U B' F U' F2 B2 D
U B' F U' F2 B2 D'
U B' F U' F2 B2 D2
F B' U' F2 R2 B2 R2
U B' F U' B2 F2 D
U B' F U' B2 F2 D'
U B' F U' B2 F2 D2
F B' U' F2 B D B
F B' U' F2 B D' B
F B' U' F2 B D2 B
F B' U' F2 B' D B'
F B' U' F2 B' D' B'
F B' U' F2 B' D2 B'
F B' U' B F2 D B
F B' U' B F2 D' B
F B' U' B F2 D2 B
B F' U2 D' L2 R2 U2
U B' F D' L2 R2 U'
B F' U2 D' R2 L2 U2
F B' U' B' F2 D B'
F B' U' B' F2 D' B'
F B' U' B' F2 D2 B'
U B' F D' R2 L2 U'
F B' U' B2 L' F2 L
F B' U' B2 L2 F2 L2
F B' U' B2 R F2 R'
F B' U' B2 R2 F2 R2
F B' U' B2 F D F
F B' U' B2 F D' F
F B' U' B2 F D2 F
F B' U' B2 F' D F'
F B' U' B2 F' D' F'
F B' U' B2 F' D2 F'
R B' F R' U' F' B
R B' F R' U' B F'
F B' U2 L U F2 B2
F B' U2 L U B2 F2
F B' U2 L' U F2 B2
F B' U2 L' U B2 F2
F B' U2 L2 U F2 B2
F B' U2 L2 U B2 F2
F B' U2 R U F2 B2
F B' U2 R U B2 F2
F B' U2 R' U F2 B2
F B' U2 R' U B2 F2
B2 F' D B' R2 D L2
F B' U2 R2 U F2 B2
F B' U2 R2 U B2 F2
F B' U2 D L2 R2 U
B F' D L R2 D L
B F' D L R2 D' L
B F' D L R2 D2 L
F B' U2 D R2 L2 U
B F' D L' R2 D L'
B F' D L' R2 D' L'
B F' D L' R2 D2 L'
B F' D L2 R D R
B F' D L2 R D' R
B F' D L2 R D2 R
B F' D L2 R' D R'
B F' D L2 R' D' R'
B F' D L2 R' D2 R'
B F' D L2 F' R2 F
B F' D L2 F2 R2 F2
B F' D L2 B R2 B'
B F' D L2 B2 R2 B2
B F' D R L2 D R
B F' D R L2 D' R
B F' D R L2 D2 R
B F' D R' L2 D R'
B F' D R' L2 D' R'
B F' D R' L2 D2 R'
B F' D R2 L D L
B F' D R2 L D' L
B F' D R2 L D2 L
B F' D R2 L' D L'
B F' D R2 L' D' L'
B F' D R2 L' D2 L'
B F' D R2 F L2 F'
B F' D R2 F2 L2 F2
B F' D R2 B' L2 B
B F' D R2 B2 L2 B2
B F' D F L2 F' R2
B F' D F' R2 F L2
B F' D F2 L2 R2 F2
B F' D F2 L2 F2 R2
B F' D F2 R2 L2 F2
B F' D F2 R2 F2 L2
B F' D B R2 B' L2
F2 B' D' F' R2 U' F2
B F' D B' L2 B R2
B F' D B2 L2 R2 B2
B F' D B2 L2 B2 R2
B F' D B2 R2 L2 B2
B F' D B2 R2 B2 L2
F B' D U2 L2 R2 U
F B' D U2 R2 L2 U
B F' D' U2 L2 R2 U2
B F' D' U2 R2 L2 U2
F B' D' L2 R2 U' D
F B' D' L2 R2 U' D'
F B' D' L2 R2 U' D2
F B' D' L2 R2 D U'
F B' D' L2 R2 D' U'
F B' D' L2 R2 D2 U'
F B' D' L2 U' D B2
F B' D' L2 D U' B2
F B' D' R2 L2 U' D
F B' D' R2 L2 U' D'
F B' D' R2 L2 U' D2
F B' D' R2 L2 D U'
F B' D' R2 L2 D' U'
F B' D' R2 L2 D2 U'
F B' D' R2 U' D F2
F B' D' R2 D U' F2
B F' D2 L D' L2 R2
B F' D2 L D' R2 L2
B F' D2 L' D' L2 R2
B F' D2 L' D' R2 L2
B F' D2 L2 D' L2 R2
B F' D2 L2 D' R2 L2
B F' D2 R D' L2 R2
B F' D2 R D' R2 L2
B F' D2 R' D' L2 R2
B F' D2 R' D' R2 L2
B F' D2 R2 D' L2 R2
B F' D2 R2 D' R2 L2
B F' D2 U' F2 B2 U
B F' D2 U' B2 F2 U
F B' D2 U F2 B2 U2
F B' D2 U B2 F2 U2
F' B2 R D R2 B' L
F' B2 R D B' L R2
F' B2 R D B' R2 L
F' B2 U F2 B U' B2
F' B2 U B F2 U' B2
B' F2 U' F B2 D R2
B' F2 U' B2 F D R2
B F2 U F' B2 U' F2
B F2 U B2 F' U' F2
F B2 U' F2 B' D L2
F B2 U' B' F2 D L2
F' B2 D B' R2 D L2
B' F2 D' F' R2 U' F2
B F2 D F L2 D R2
F B2 D' B L2 U' B2
