U2 L2 D' R2 F
U2 L2 D' F R2
U2 L2 F D' R2
B' U B' U L2
L2 D' F R2 B
L2 F D' R2 B
L D' L' B' U2 L2 R2
L D' L' B' U2 R2 L2
B' U F' B' U L2 D
B' U F' B' U L2 D'
B' U F' B' U L2 D2
B' U F' B' D F2 U
L2 D' L2 B' U2 L2 R2
L2 D' L2 B' U2 R2 L2
L D' L2 U2 L' R2 F
L D' L2 U2 L' F R2
L D' L2 U2 R2 L' F
B' U F2 D F2 B' U
B' U F2 D B' F2 U
B' U F2 B' U L2 D
B' U F2 B' U L2 D'
B' U F2 B' U L2 D2
B' U F2 B' D F2 U
B' U B U L2 D' R2
L2 D' R' F R2 B R
L D' R' U2 L R' F'
L D' R' U2 R' L F'
L D' R' U2 R' F' L
B U B R2 U L2 F'
B U B R2 U F' L2
B' U B' U L D L
B' U B' U L D' L
B' U B' U L D2 L
B' U B' U L' D L'
B' U B' U L' D' L'
B' U B' U L' D2 L'
B' U B' U F L2 F'
B' U B' U F2 L2 F2
B' U B' U B' L2 B
B' U B' U B2 L2 B2
B' U B' U' R U2 L2
B' U B' U' R' U2 L2
B' U B' U' R2 U2 L2
B' U B' U' D2 R2 U2
B U B U' B U2 L2
B' U B' U2 D' B2 U'
B' U B' U2 B U' L2
B' U B' U2 B' U' L2
B' U B' U2 B2 U' L2
B' U B' D F2 U D
B' U B' D F2 U D'
B' U B' D F2 U D2
B' U B' D F2 D U
B' U B' D F2 D' U
B' U B' D F2 D2 U
L2 D' R2 F R2 B R2
B' U B' D' U2 B2 U'
L2 D' R2 F U2 F' U2
B' U B' D2 U' R2 U2
B' U B' F U L2 D
B' U B' F U L2 D'
B' U B' F U L2 D2
B' U B' F D F2 U
L2 D' R2 F2 D2 F' B2
L2 D' R2 F2 D2 B2 F'
B' U B' F' U L2 D
B' U B' F' U L2 D'
B' U B' F' U L2 D2
B' U B' F' D F2 U
B' U B' F2 U L2 D
B' U B' F2 U L2 D'
B' U B' F2 U L2 D2
B' U B' F2 D F2 U
B2 U B2 L2 D' F B2
B2 U B2 L2 D' B2 F
B2 U B2 L2 F D' B2
B' U B2 D F2 B U
B' U B2 D B F2 U
R' D' U' B2 U' R2 F'
U2 D' L2 R2 D F L2
U2 D' L2 R2 F D L2
R' D' U2 R2 D L2 F
U' D' L2 B2 U' R2 F
U' D' L2 B2 U' F R2
D' U' L2 B2 U' R2 F
D' U' L2 B2 U' F R2
L' D' U2 R2 D L' F
U2 D' L2 F R2 D L2
R2 D' U' B2 U' R2 F'
L2 D' U2 R2 D2 F L2
L2 D' U2 R2 F D2 L2
L2 D' U2 F R2 D2 L2
R2 D' U2 R2 D L2 F
U2 D' R D L2 R F
U2 D' R D R L2 F
L2 D' F L R2 B L'
L D' U2 L R' F' R'
R D' U' B2 U' R2 F'
L2 D' F L2 R2 B L2
L2 D' F R D R B
L2 D' F R D' R B
L2 D' F R D2 R B
L2 D' F R B R B
L2 D' F R B' R B
L2 D' F R B2 R B
L D' U2 R' L F' R'
L2 D' F R2 L B L'
L2 D' F R2 L2 B L2
L D' U2 R' F' L R'
L D' U2 R' F' R' L
L2 D' F R2 D B D
L2 D' F R2 D B D'
L2 D' F R2 D B D2
L2 D' F R2 D' B D
L2 D' F R2 D' B D'
L2 D' F R2 D' B D2
L2 D' F R2 D2 B D
L2 D' F R2 D2 B D'
L2 D' F R2 D2 B D2
L2 D' F R2 B2 D B'
L2 D' F R2 B2 D' B'
L2 D' F R2 B2 D2 B'
R D' U2 R2 D L2 F
L2 D' F U2 F' U2 R2
L2 D' F B R2 D B
L2 D' F B R2 D' B
L2 D' F B R2 D2 B
L2 D' F B R2 B D
L2 D' F B R2 B D'
L2 D' F B R2 B D2
U2 D' R' D L2 R' F
U2 D' R' D L2 F R'
L D' F L R2 F B
L D' F L R2 B F
U2 D' R' D R' L2 F
L2 D' F B' R2 D B
L2 D' F B' R2 D' B
L2 D' F B' R2 D2 B
L2 D' F B' R2 B D
L2 D' F B' R2 B D'
L2 D' F B' R2 B D2
L2 D' F B2 R2 D B
L2 D' F B2 R2 D' B
L2 D' F B2 R2 D2 B
L2 D' F B2 R2 B D
L2 D' F B2 R2 B D'
L2 D' F B2 R2 B D2
B' U' L2 F L2 U' L2
F' U' L2 D' R2 F B'
F' U' L2 D' R2 B' F
F' U' L2 D' F R2 B'
F' U' L2 D' F B' R2
F' U' L2 D' B' R2 F
F' U' L2 D' B' F R2
U' D' R2 D L2 F B2
U' D' R2 D L2 B2 F
D' U' R2 D L2 F B2
D' U' R2 D L2 B2 F
F' U' L2 F D' R2 B'
F' U' L2 F D' B' R2
L D' F R2 L F B
L D' F R2 L B F
U2 D' R2 L2 D F L2
U2 D' R2 L2 F D L2
U2 D' R2 D L2 D F
U2 D' R2 D L2 D' F
U2 D' R2 D L2 D2 F
U2 D' R2 D L2 F D
U2 D' R2 D L2 F D'
U2 D' R2 D L2 F D2
U2 D' R2 D F L2 F
U2 D' R2 D F' L2 F
U2 D' R2 D F2 L2 F
U2 D' R2 F D L2 F
U2 D' R2 F' D L2 F
U2 D' R2 F2 D L2 F
F U' L2 D' R2 F B
F U' L2 D' R2 B F
U' D' F B2 U' R2 F'
D' U' F B2 U' R2 F'
U2 D' F R2 D L2 F
U' D' F' B2 U' R2 F'
D' U' F' B2 U' R2 F'
R' D' B' U' B' U' R2
L2 D' B F R2 D B
L2 D' B F R2 D' B
L2 D' B F R2 D2 B
L2 D' B F R2 B D
L2 D' B F R2 B D'
L2 D' B F R2 B D2
U2 D' F' R2 D L2 F
D2 U' F2 U R2 B' U2
D2 U' F2 U B' R2 U2
D2 U' F2 U' D2 L2 F
D2 U' F2 D2 U' L2 F
D' U' F2 B2 U' R2 F'
U' D' F2 B2 U' R2 F'
R2 D' B' U' B' U' R2
U2 D' F2 R2 D L2 F
L2 D' B' F R2 D B
L2 D' B' F R2 D' B
L2 D' B' F R2 D2 B
L2 D' B' F R2 B D
L2 D' B' F R2 B D'
L2 D' B' F R2 B D2
R D' B' U' B' U' R2
L2 D' B2 F R2 D B
L2 D' B2 F R2 D' B
L2 D' B2 F R2 D2 B
L2 D' B2 F R2 B D
L2 D' B2 F R2 B D'
L2 D' B2 F R2 B D2
B' U' D' B2 U2 B U
L D' B2 R' U2 R' F'
U' D' B2 L U' R2 F'
D' U' B2 L U' R2 F'
D' U' B2 L' U' R2 F'
U' D' B2 L' U' R2 F'
D' U' B2 L2 U' R2 F'
U' D' B2 L2 U' R2 F'
U' D' B2 U B U2 R2
D' U' B2 U B U2 R2
U' D' B2 U' R2 D F'
U' D' B2 U' R2 D' F'
U' D' B2 U' R2 D2 F'
U' D' B2 U' R2 F' D
U' D' B2 U' R2 F' D'
U' D' B2 U' R2 F' D2
D' U' B2 U' R2 D F'
D' U' B2 U' R2 D' F'
D' U' B2 U' R2 D2 F'
D' U' B2 U' R2 F' D
D' U' B2 U' R2 F' D'
D' U' B2 U' R2 F' D2
U' D' B2 U' F R2 F'
U' D' B2 U' F' R2 F'
D' U' B2 U' F R2 F'
U' D' B2 U' F2 R2 F'
D' U' B2 U' F' R2 F'
D' U' B2 U' F2 R2 F'
L D2 L D F R2 B
D' U' B2 F U' R2 F'
U' D' B2 F U' R2 F'
B' U' F U2 B' U L2
D' U' B2 F' U' R2 F'
U' D' B2 F' U' R2 F'
D' U' B2 F2 U' R2 F'
U' D' B2 F2 U' R2 F'
U2 D' B2 U' R2 F' B2
U2 D' B2 U' R2 B2 F'
B' U' F' U2 B' U L2
L2 D2 R D F R2 B
B' U' F2 U2 B' U L2
D' U2 L2 R2 D F L2
D' U2 L2 R2 F D L2
D' U2 L2 F R2 D L2
B' U' B U' L2 D' R2
L2 D2 R' D F R2 B
B' U' B U2 B2 U L2
R' D2 R2 D B' U2 R2
R' D2 R2 D' L2 U2 F
B' U' B D' B2 U' R2
R' D2 R2 D' B' L2 U2
B2 U' B U2 L2 D' B2
D' U2 R D L2 R F
D' U2 R D R L2 F
R' D2 R2 B' U' F2 U'
R' D2 R2 B' U2 D R2
R' D2 R2 B' D U2 R2
R' D2 R2 B' D' L2 U2
B' U' B' U' L2 D2 R2
L2 D2 R2 D F R2 B
R2 D2 R2 D B' U2 R2
R2 D2 R2 D' L2 U2 F
R2 D2 R2 D' B' L2 U2
D' U2 R' D L2 R' F
D' U2 R' D L2 F R'
D' U2 R' D R' L2 F
R2 D2 R2 B' U' F2 U'
R2 D2 R2 B' U2 D R2
R2 D2 R2 B' D U2 R2
R2 D2 R2 B' D' L2 U2
B' U' B2 U2 B U L2
R D2 R2 D B' U2 R2
R D2 R2 D' L2 U2 F
R D2 R2 D' B' L2 U2
D' U2 R2 L2 D F L2
D' U2 R2 L2 F D L2
D' U2 R2 D L2 D F
D' U2 R2 D L2 D' F
D' U2 R2 D L2 D2 F
D' U2 R2 D L2 F D
D' U2 R2 D L2 F D'
D' U2 R2 D L2 F D2
R D2 R2 B' U' F2 U'
D' U2 R2 D F L2 F
R D2 R2 B' U2 D R2
R D2 R2 B' D U2 R2
D' U2 R2 D F' L2 F
R D2 R2 B' D' L2 U2
D' U2 R2 D F2 L2 F
D' U2 R2 F D L2 F
D' U2 R2 F' D L2 F
D' U2 R2 F2 D L2 F
D' U2 F R2 D L2 F
B' U2 L2 R U F U'
B' U2 L2 R' U F U'
B' U2 L2 R2 U F U'
D' U2 F' R2 D L2 F
B' U2 L2 U D F U'
B' U2 L2 U D' F U'
B' U2 L2 U D2 F U'
B' U2 L2 U F U' D
B' U2 L2 U F U' D'
B' U2 L2 U F U' D2
B' U2 L2 U F D U'
B' U2 L2 U F D' U'
B' U2 L2 U F D2 U'
B' U2 L2 D U F U'
B' U2 L2 D' U F U'
B' U2 L2 D2 U F U'
F' U2 L2 D' R2 F B'
F' U2 L2 D' R2 B' F
F' U2 L2 D' F R2 B'
F' U2 L2 D' F B' R2
F' U2 L2 D' B' R2 F
F' U2 L2 D' B' F R2
B' U2 L2 F' D R2 F
B' U2 L2 F' D F R2
F' U2 L2 F D' R2 B'
F' U2 L2 F D' B' R2
B2 U2 L2 F2 D R2 F'
B' U2 R L2 U F U'
D' U2 F2 R2 D L2 F
U' D2 F2 U R2 B' U2
U' D2 F2 U B' R2 U2
U' D2 F2 U' D2 L2 F
B' U2 R U' B' U L2
U' D2 F2 D2 U' L2 F
F U2 L2 D' R2 F B
F U2 L2 D' R2 B F
B' U2 R' L2 U F U'
B' U2 R' U' B' U L2
B' U2 R2 L2 U F U'
R' D2 B' R2 U' F2 U'
R' D2 B' R2 U2 D R2
R' D2 B' R2 D U2 R2
R' D2 B' R2 D' L2 U2
B' U2 R2 U' B' U L2
L2 D2 B D F R2 B
R2 D2 B' R2 U' F2 U'
R2 D2 B' R2 U2 D R2
L2 D2 B' D F R2 B
R2 D2 B' R2 D U2 R2
R2 D2 B' R2 D' L2 U2
D' U2 B2 U' R2 F' B2
D' U2 B2 U' R2 B2 F'
R D2 B' R2 U' F2 U'
R D2 B' R2 U2 D R2
R D2 B' R2 D U2 R2
R D2 B' R2 D' L2 U2
L2 D2 B2 D F R2 B
U2 F L D' L R2 F
U2 F L D' L F R2
U2 F L D' R2 L F
L2 F L D' L' R2 B
L2 F L D' R2 L' B
L2 F L D' R2 B L'
B' U2 F L2 F' D R2
L2 F L' D' L R2 B
L2 F L' D' R2 L B
L F L D' R2 F B
L F L D' R2 B F
R' F L2 D' R2 F B
R' F L2 D' R2 B F
U2 F L2 R D' R2 F
U2 F L2 R D' F R2
U2 F L2 R F D' R2
U2 F L2 R' D' R2 F
U2 F L2 R' D' F R2
U2 F L2 R' F D' R2
U2 F L2 R2 D' R2 F
U2 F L2 R2 D' F R2
U2 F L2 R2 F D' R2
U2 F L2 U' B2 U F
U2 F L2 D F D2 R2
U2 F L2 D' R' F R'
U2 F L2 D' R2 D F
U2 F L2 D' R2 D' F
U2 F L2 D' R2 D2 F
U2 F L2 D' R2 F D
U2 F L2 D' R2 F D'
U2 F L2 D' R2 F D2
U2 F L2 D' F R2 D
U2 F L2 D' F R2 D'
U2 F L2 D' F R2 D2
U2 F L2 D' F' R2 F2
U2 F L2 F R D' R2
U2 F L2 F R' D' R2
U2 F L2 F R2 D' R2
U2 F L2 F U' B2 U
U2 F L2 F D' R2 D
U2 F L2 F D' R2 D'
U2 F L2 F D' R2 D2
U2 F L2 F2 D' F' R2
R2 F L2 D' R2 F B
R2 F L2 D' R2 B F
U2 F R L2 D' R2 F
U2 F R L2 D' F R2
U2 F R L2 F D' R2
B2 U2 F2 L2 D R2 F'
U F L2 D' R2 F B2
U F L2 D' R2 B2 F
L2 F R D' R B R
U F L2 D' F R2 B2
U F L2 D' F B2 R2
U F L2 D' B2 R2 F
U F L2 D' B2 F R2
U F L2 F D' R2 B2
U F L2 F D' B2 R2
R F L2 D' R2 F B
R F L2 D' R2 B F
U2 F R' L2 D' R2 F
U2 F R' L2 D' F R2
U2 F R' L2 F D' R2
D' F R2 D L2 F B
D' F R2 D L2 B F
U2 F R2 L2 D' R2 F
U2 F R2 L2 D' F R2
U2 F R2 L2 F D' R2
L2 F R2 U' B2 U B'
L2 F R2 D B D2 R2
L2 F R2 D' B R2 D
L2 F R2 D' B R2 D'
L2 F R2 D' B R2 D2
L2 F R2 D' B' R2 B2
L2 F R2 D' B2 R2 B'
L2 F R2 D2 B D R2
L2 F R2 B U' B U
U' F U' L2 D' R2 F
U' F U' L2 D' F R2
U' F U' L2 F D' R2
B2 U2 B2 U' L2 F B2
B2 U2 B2 U' L2 B2 F
U F U L2 D' R2 F
U F U L2 D' F R2
U F U L2 F D' R2
L2 F U' B2 U' F' U2
L2 F U2 D L2 F' U2
L2 F U2 D F' L2 U2
L2 F U2 D' F' U2 R2
L2 F U2 F' U B2 U
L2 F U2 F' U2 D' R2
L2 F U2 F' D L2 U2
L2 F U2 F' D' U2 R2
L2 F D R2 D2 B R2
L2 F D R2 B D2 R2
L2 F D U2 L2 F' U2
L2 F D U2 F' L2 U2
L2 F D B D2 R2 B
L2 F D B' D2 R2 B
B' D R U F2 B' U
B' D R U B' F2 U
L2 F D B2 D2 R2 B
L2 F D' L R2 B L'
U' F D' B2 U' R2 F'
L2 F D' L2 R2 B L2
L2 F D' R D R B
L2 F D' R D' R B
L2 F D' R D2 R B
L2 F D' R B R B
L2 F D' R B' R B
L2 F D' R B2 R B
L2 F D' R2 L B L'
L2 F D' R2 L2 B L2
U2 F D' R2 D L2 F
L2 F D' R2 D B D
L2 F D' R2 D B D'
L2 F D' R2 D B D2
L2 F D' R2 D' B D
L2 F D' R2 D' B D'
L2 F D' R2 D' B D2
L2 F D' R2 D2 B D
L2 F D' R2 D2 B D'
L2 F D' R2 D2 B D2
L2 F D' R2 B2 D B'
L2 F D' R2 B2 D' B'
L2 F D' R2 B2 D2 B'
L2 F D' U2 F' U2 R2
L2 F D' B R2 D B
L2 F D' B R2 D' B
L2 F D' B R2 D2 B
L2 F D' B R2 B D
L2 F D' B R2 B D'
L2 F D' B R2 B D2
L2 F D' B' R2 D B
L2 F D' B' R2 D' B
L2 F D' B' R2 D2 B
L2 F D' B' R2 B D
L2 F D' B' R2 B D'
L2 F D' B' R2 B D2
B' D R' U F2 B' U
L2 F D' B2 R2 D B
L2 F D' B2 R2 D' B
L2 F D' B2 R2 D2 B
L2 F D' B2 R2 B D
L2 F D' B2 R2 B D'
L2 F D' B2 R2 B D2
B' D R' U B' F2 U
L F D' L R2 F B
L F D' L R2 B F
L2 F D2 R2 D B R2
L2 F D2 R2 B D R2
L F D' R2 L F B
L F D' R2 L B F
L2 F D2 B D R2 B
L2 F D2 B' D R2 B
B' D R2 U F2 B' U
B' D R2 U B' F2 U
L2 F D2 B2 D R2 B
L2 F B' R2 B D' R2
B' D U F2 D B' U
B' D U F2 D' B' U
B' D U F2 D2 B' U
B' D U F2 B' U D
B' D U F2 B' U D'
B' D U F2 B' U D2
B' D U F2 B' D U
B' D U F2 B' D' U
B' D U F2 B' D2 U
D' F B2 U' R2 F' B
D' F B2 U' R2 B F'
B' D U B' U D' L2
B' D U B' D' U L2
B' D U B' F2 U D
B' D U B' F2 U D'
B' D U B' F2 U D2
B' D U B' F2 D U
B' D U B' F2 D' U
B' D U B' F2 D2 U
U2 F B2 U B2 L2 F
U2 F' L D' L R2 F
U2 F' L D' L F R2
U2 F' L D' R2 L F
U F B2 R2 U L2 F'
U F B2 R2 U F' L2
U F B2 U' B U2 L2
R' F' L2 D' R2 F B'
R' F' L2 D' R2 B' F
R' F' L2 D' F R2 B'
R' F' L2 D' F B' R2
R' F' L2 D' B' R2 F
R' F' L2 D' B' F R2
R' F' L2 F D' R2 B'
R' F' L2 F D' B' R2
U2 F' L2 R D' R2 F
U2 F' L2 R D' F R2
U2 F' L2 R F D' R2
U2 F' L2 R' D' R2 F
U2 F' L2 R' D' F R2
U2 F' L2 R' F D' R2
U2 F' L2 R2 D' R2 F
U2 F' L2 R2 D' F R2
U2 F' L2 R2 F D' R2
U2 F' L2 U' B2 U F
U2 F' L2 D F D2 R2
U2 F' L2 D' R' F R'
U2 F' L2 D' R2 D F
U2 F' L2 D' R2 D' F
U2 F' L2 D' R2 D2 F
U2 F' L2 D' R2 F D
U2 F' L2 D' R2 F D'
U2 F' L2 D' R2 F D2
U2 F' L2 D' F R2 D
U2 F' L2 D' F R2 D'
U2 F' L2 D' F R2 D2
U2 F' L2 D' F' R2 F2
U2 F' L2 F R D' R2
U2 F' L2 F R' D' R2
U2 F' L2 F R2 D' R2
U2 F' L2 F U' B2 U
U2 F' L2 F D' R2 D
U2 F' L2 F D' R2 D'
U2 F' L2 F D' R2 D2
U2 F' L2 F2 D' F' R2
R2 F' L2 D' R2 F B'
R2 F' L2 D' R2 B' F
R2 F' L2 D' F R2 B'
R2 F' L2 D' F B' R2
R2 F' L2 D' B' R2 F
R2 F' L2 D' B' F R2
R2 F' L2 F D' R2 B'
R2 F' L2 F D' B' R2
U2 F' R L2 D' R2 F
U2 F' R L2 D' F R2
U2 F' R L2 F D' R2
U F' L2 D' R2 F B2
U F' L2 D' R2 B2 F
U F' L2 D' F R2 B2
U F' L2 D' F B2 R2
U F' L2 D' B2 R2 F
U F' L2 D' B2 F R2
B2 D F2 U' F2 B U2
B2 D F2 U' B F2 U2
U F' L2 F D' R2 B2
U F' L2 F D' B2 R2
L2 F' R F2 D' R2 B
R F' L2 D' R2 F B'
R F' L2 D' R2 B' F
R F' L2 D' F R2 B'
R F' L2 D' F B' R2
R F' L2 D' B' R2 F
R F' L2 D' B' F R2
R F' L2 F D' R2 B'
R F' L2 F D' B' R2
U2 F' R' L2 D' R2 F
U2 F' R' L2 D' F R2
U2 F' R' L2 F D' R2
B2 D B U F2 B' U
D' F' R2 D L2 F B'
D' F' R2 D L2 B' F
B2 D B U B' F2 U
L2 F' R' F2 D' R2 B
U2 F' R2 L2 D' R2 F
U2 F' R2 L2 D' F R2
U2 F' R2 L2 F D' R2
L2 F' R2 F2 D' R2 B
U' F' U' L2 D' R2 F
U' F' U' L2 D' F R2
U' F' U' L2 F D' R2
U F' U L2 D' R2 F
U F' U L2 D' F R2
U F' U L2 F D' R2
B' D' L2 U' F B2 U'
B' D' L2 U' B2 F U'
U' F' D' B2 U' R2 F'
U2 F' D' R2 D L2 F
F' D' R2 D L2 F B'
F' D' R2 D L2 B' F
B' D' U B' U2 B' U'
F D' R2 D L2 F B
F D' R2 D L2 B F
U2 F' B2 U B2 L2 F
B' D' U' B2 U2 B U
B D' U B R2 F' U
U2 F2 L D' L R2 F
U2 F2 L D' L F R2
U2 F2 L D' R2 L F
U F' B2 R2 U L2 F'
U F' B2 R2 U F' L2
U F' B2 U' B U2 L2
U2 F2 L2 R D' R2 F
U2 F2 L2 R D' F R2
U2 F2 L2 R F D' R2
U2 F2 L2 R' D' R2 F
U2 F2 L2 R' D' F R2
U2 F2 L2 R' F D' R2
U2 F2 L2 R2 D' R2 F
U2 F2 L2 R2 D' F R2
U2 F2 L2 R2 F D' R2
U2 F2 L2 U' B2 U F
U2 F2 L2 D F D2 R2
U2 F2 L2 D' R' F R'
U2 F2 L2 D' R2 D F
U2 F2 L2 D' R2 D' F
U2 F2 L2 D' R2 D2 F
U2 F2 L2 D' R2 F D
U2 F2 L2 D' R2 F D'
U2 F2 L2 D' R2 F D2
U2 F2 L2 D' F R2 D
U2 F2 L2 D' F R2 D'
U2 F2 L2 D' F R2 D2
U2 F2 L2 D' F' R2 F2
U2 F2 L2 F R D' R2
U2 F2 L2 F R' D' R2
U2 F2 L2 F R2 D' R2
U2 F2 L2 F U' B2 U
U2 F2 L2 F D' R2 D
U2 F2 L2 F D' R2 D'
U2 F2 L2 F D' R2 D2
U2 F2 L2 F2 D' F' R2
U2 F2 R L2 D' R2 F
U2 F2 R L2 D' F R2
U2 F2 R L2 F D' R2
U F2 L2 D' R2 F B2
U F2 L2 D' R2 B2 F
U F2 L2 D' F R2 B2
U F2 L2 D' F B2 R2
U F2 L2 D' B2 R2 F
U F2 L2 D' B2 F R2
U F2 L2 F D' R2 B2
U F2 L2 F D' B2 R2
U2 F2 R' L2 D' R2 F
U2 F2 R' L2 D' F R2
U2 F2 R' L2 F D' R2
U2 F2 R2 L2 D' R2 F
U2 F2 R2 L2 D' F R2
U2 F2 R2 L2 F D' R2
D2 F2 U R2 F2 B' U2
D2 F2 U R2 B' F2 U2
D2 F2 U F2 R2 B' U2
D2 F2 U F2 B' R2 U2
D2 F2 U B' R2 F2 U2
D2 F2 U B' F2 R2 U2
U' F2 U' L2 D' R2 F
U' F2 U' L2 D' F R2
U' F2 U' L2 F D' R2
D2 F2 U' D2 L2 F B2
D2 F2 U' D2 L2 B2 F
D F2 U D2 B2 R2 F'
U F2 U L2 D' R2 F
U F2 U L2 D' F R2
U F2 U L2 F D' R2
D F2 U' L2 F2 U2 F'
F D' B2 U' R2 F' B
F D' B2 U' R2 B F'
D F2 U' F2 L2 U2 F
D F2 U' F2 B' L2 U2
D F2 U' B' L2 F2 U2
D F2 U' B' F2 L2 U2
B' D2 L2 R2 U' F U'
D2 F2 D B2 R2 U' F'
U' F2 D' B2 U' R2 F'
U2 F2 D' R2 D L2 F
D2 F2 D2 U' L2 F B2
D2 F2 D2 U' L2 B2 F
L2 F2 D' F' R2 D' B2
D F2 D' L2 B2 U F
B' D2 R2 L2 U' F U'
B' D2 R2 U D B' U
B' D2 R2 U D' B' U
B' D2 R2 U D2 B' U
B' D2 R2 U B' U D
B' D2 R2 U B' U D'
B' D2 R2 U B' U D2
B' D2 R2 U B' D U
B' D2 R2 U B' D' U
B' D2 R2 U B' D2 U
L2 F2 D2 B2 D F' R2
B' D2 R2 D U B' U
B' D2 R2 D' U B' U
D F2 D2 U B2 R2 F'
B' D2 R2 D2 U B' U
B' D2 U B' U D2 L2
B' D2 U B' U' R2 U2
B' D2 U B' D' F2 U
B' D2 U B' D2 U L2
B D2 R2 U' F' U' F'
U2 F2 B2 U B2 L2 F
U F2 B2 R2 U L2 F'
U F2 B2 R2 U F' L2
U F2 B2 U' B U2 L2
D B L2 B2 U F2 U
D B L2 B2 U2 D' L2
D B L2 B2 D R2 U2
D B L2 B2 D' U2 L2
B2 D2 B R2 U B' U
D2 B R2 B2 U' F2 U'
D2 B R2 B2 U2 D R2
D2 B R2 B2 D U2 R2
D2 B R2 B2 D' L2 U2
L2 B R2 F D R2 B
L' B U B U L' F
D' B U' B U' R2 F'
U B D' B R2 F' U
B2 F R2 U L2 F' B
B2 F R2 U L2 B F'
B2 F R2 U F' L2 B
B2 F R2 U F' B L2
B2 F R2 U B L2 F'
B2 F R2 U B F' L2
D2 B' L R2 U' F2 U'
D2 B' L R2 U2 D R2
D2 B' L R2 D U2 R2
D2 B' L R2 D' L2 U2
D2 B' L' R2 U' F2 U'
D2 B' L' R2 U2 D R2
D2 B' L' R2 D U2 R2
D2 B' L' R2 D' L2 U2
B2 F U' F' B U2 L2
B2 F U' B F' U2 L2
D B' L D L R2 U2
D B' L D R2 L U2
D B' L D' L U2 L
D2 B' L2 R2 U' F2 U'
D2 B' L2 R2 U2 D R2
D2 B' L2 R2 D U2 R2
D2 B' L2 R2 D' L2 U2
D' B' L2 U F U R2
D B' L' U F2 U R
D B' L' D L' R2 U2
D B' L' D R2 L' U2
D B' L' D' L' U2 L'
R' B' R U B' U L2
D2 B' R U' F2 U' L'
D2 B' R D R U2 R
D' B' R U' B' U' R
D2 B' R D' L2 R U2
D2 B' R D' R L2 U2
D B' L2 R U F2 U
D B' L2 R U2 D' L2
D B' L2 R D R2 U2
D B' L2 R D' U2 L2
D B' L2 R' U F2 U
D B' L2 R' U2 D' L2
D B' L2 R' D R2 U2
D B' L2 R' D' U2 L2
D B' L2 R2 U F2 U
D B' L2 R2 U2 D' L2
D B' L2 R2 D R2 U2
D B' L2 R2 D' U2 L2
D B' L2 U F2 U D
D B' L2 U F2 U D'
D B' L2 U F2 U D2
D B' L2 U F2 D U
D B' L2 U F2 D' U
D B' L2 U F2 D2 U
D B' L2 U' D2 B2 U'
D B' L2 U2 L D' L2
D B' L2 U2 L' D' L2
D B' L2 U2 L2 D' L2
D B' L2 U2 D' L2 D
D B' L2 U2 D' L2 D'
D B' L2 U2 D' L2 D2
D B' L2 D R2 U2 D
D B' L2 D R2 U2 D'
D B' L2 D R2 U2 D2
D B' L2 D R2 D U2
D B' L2 D R2 D' U2
D B' L2 D R2 D2 U2
D B' L2 D' R U2 L2
D B' L2 D' R' U2 L2
D B' L2 D' R2 U2 L2
D B' L2 D' U2 L2 D
D B' L2 D' U2 L2 D'
D B' L2 D' U2 L2 D2
D B' L2 D2 U' B2 U'
R' B' R' U B' U L2
D2 B' R' D R' U2 R'
D2 B' R' D' L2 R' U2
D2 B' R' D' R' L2 U2
R2 B' R U B' U L2
D B' R L2 U F2 U
D B' R L2 U2 D' L2
D B' R L2 D R2 U2
D B' R L2 D' U2 L2
D2 B' R2 L U' F2 U'
D2 B' R2 L U2 D R2
D2 B' R2 L D U2 R2
D2 B' R2 L D' L2 U2
D2 B' R2 L' U' F2 U'
D2 B' R2 L' U2 D R2
D2 B' R2 L' D U2 R2
D2 B' R2 L' D' L2 U2
D2 B' R2 L2 U' F2 U'
D2 B' R2 L2 U2 D R2
D2 B' R2 L2 D U2 R2
D2 B' R2 L2 D' L2 U2
D2 B' R2 U D2 B2 U
R' B' R2 U B' U L2
D2 B' R2 U' F2 U' D
D2 B' R2 U' F2 U' D'
D2 B' R2 U' F2 U' D2
D2 B' R2 U' F2 D U'
D2 B' R2 U' F2 D' U'
D2 B' R2 U' F2 D2 U'
D2 B' R2 U2 R D R2
D2 B' R2 U2 R' D R2
D2 B' R2 U2 R2 D R2
D2 B' R2 U2 D R2 D
D2 B' R2 U2 D R2 D'
D2 B' R2 U2 D R2 D2
D2 B' R2 D L U2 R2
D2 B' R2 D L' U2 R2
D2 B' R2 D L2 U2 R2
D2 B' R2 D U2 R2 D
D2 B' R2 D U2 R2 D'
D2 B' R2 D U2 R2 D2
D2 B' R2 D' L2 U2 D
D2 B' R2 D' L2 U2 D'
D2 B' R2 D' L2 U2 D2
D2 B' R2 D' L2 D U2
D2 B' R2 D' L2 D' U2
D2 B' R2 D' L2 D2 U2
D2 B' R2 D2 U B2 U
R2 B' R' U B' U L2
D B' R' L2 U F2 U
D B' R' L2 U2 D' L2
D B' R' L2 D R2 U2
D B' R' L2 D' U2 L2
R B' R U B' U L2
R' B' U D F2 B' U
R' B' U D B' F2 U
D2 B' U D2 B2 U L2
R' B' U F B' U L2
R2 B' R2 U B' U L2
R' B' U F' B' U L2
D B' R2 L2 U F2 U
D B' R2 L2 U2 D' L2
D B' R2 L2 D R2 U2
D B' R2 L2 D' U2 L2
R' B' U F2 B' U L2
R' B' U B' U L2 D
R' B' U B' U L2 D'
