L U R2 F
L U F R2
R' L U R' F
R' L U F R'
L R U R F
R L U R F
L R' U R' F
L R' U F R'
D L B2 U F
L U R' F R'
L U R2 D F
L U R2 D' F
L U R2 D2 F
L U R2 F D
L U R2 F D'
L U R2 F D2
L U F R2 D
L U F R2 D'
L U F R2 D2
L U F' R2 F2
L D B2 U F
L B U R2 F
L B U F R2
L B' U R2 F
L B' U F R2
L B2 U R2 F
L B2 U F R2
L D B2 D2 U F D'
L D B2 D2 U F D2
R D' L R' U R2 F
R D' L R' U F R2
R D' L R2 U R' F
R D' L R2 U F R'
R D' L U R D F
R D' L U R D' F
R D' L U R D2 F
R D' L U R F D
R D' L U R F D'
R D' L U R F D2
R D' L U R' F R2
R D' L U R2 F R'
R D' L U D R F
R D' L U D' R F
R D' L U D2 R F
R D' L D U R F
R D' L D' U R F
R D' L D2 U R F
R D' L B U R F
R D' L B' U R F
R D' L B2 U R F
R' D' R L U R2 F
R' D' R L U F R2
R2 D' R L U R' F
R2 D' R L U F R'
L D' R U D R2 F
L D' R U D F R2
L D' R U2 F2 U' F'
R' D' R2 L U R F
R2 D' R' L U R F
L D' R D U R2 F
L D' R D U F R2
L D' R D2 B2 U F
R D' R' L U R2 F
R D' R' L U F R2
L D' R' U D R2 F
L D' R' U D F R2
R2 D' R2 L U R2 F
R2 D' R2 L U F R2
L D' R' U2 F2 U' F'
L D' R' D U R2 F
L D' R' D U F R2
L D' R' D2 B2 U F
R D' R2 L U R' F
R D' R2 L U F R'
L D' R2 U D R2 F
L D' R2 U D F R2
L D' R2 U2 F2 U' F'
L' D' U B2 D R2 F'
L D' R2 D U R2 F
L D' R2 D U F R2
L D' R2 D2 B2 U F
L D' U R D R2 F
L D' U R D F R2
L D' U R' D R2 F
L D' U R' D F R2
L D' U R2 D R2 F
L D' U R2 D F R2
L D' U F U F U'
L D' U2 F2 L U' F'
L D' U2 F2 L' U' F'
L D' U2 F2 L2 U' F'
L D' U2 F2 U' D F'
L D' U2 F2 U' D' F'
L D' U2 F2 U' D2 F'
L D' U2 F2 U' F' D
L D' U2 F2 U' F' D'
L D' U2 F2 U' F' D2
L D' U2 F2 D U' F'
L D' U2 F2 D' U' F'
L D' U2 F2 D2 U' F'
L D' B U D R2 F
L D' B U D F R2
L D' B U2 F2 U' F'
L D' B D U R2 F
L D' B D U F R2
L D' B D2 B2 U F
U2 D' F2 U2 L U F
R' D2 L R U R2 F
R' D2 L R U F R2
R' D2 L R2 U R F
R' D2 L U R F R2
R' D2 L U R' D F
R' D2 L U R' D' F
R' D2 L U R' D2 F
R' D2 L U R' F D
R' D2 L U R' F D'
R' D2 L U R' F D2
R' D2 L U D R' F
R' D2 L U D F R'
R' D2 L U D' R' F
R' D2 L U D' F R'
R' D2 L U D2 R' F
R' D2 L U D2 F R'
R' D2 L U F R' D
R' D2 L U F R' D'
R' D2 L U F R' D2
R' D2 L U F D R'
R' D2 L U F D' R'
R' D2 L U F D2 R'
R' D2 L U F' R' F2
L D' B' U D R2 F
L D' B' U D F R2
L D' B' U2 F2 U' F'
R' D2 L D U R' F
R' D2 L D U F R'
L D' B' D U R2 F
L D' B' D U F R2
R' D2 L D' U R' F
R' D2 L D' U F R'
R' D2 L D2 U R' F
R' D2 L D2 U F R'
L D' B' D2 B2 U F
R2 D2 L R U R' F
R2 D2 L R U F R'
R2 D2 L R' U R F
R2 D2 L R2 U R2 F
R2 D2 L R2 U F R2
L D' B2 U D R2 F
L D' B2 U D F R2
L D' B2 U2 F2 U' F'
L D' B2 D U R2 F
L D' B2 D U F R2
L D' B2 D2 B2 U F
F' U' F L R U R
R D2 L R' U R2 F
R D2 L R' U F R2
R D2 L R2 U R' F
R D2 L R2 U F R'
L2 D2 L' U F2 R F'
F' U' F R L U R
R D2 L U R D F
R D2 L U R D' F
R D2 L U R D2 F
R D2 L U R F D
R D2 L U R F D'
R D2 L U R F D2
R D2 L U R' F R2
R D2 L U R2 F R'
R D2 L U D R F
R D2 L U D' R F
R D2 L U D2 R F
R D2 L D U R F
R D2 L D' U R F
R D2 L D2 U R F
R D2 L B U R F
R D2 L B' U R F
R D2 L B2 U R F
R' D2 R L U R2 F
R' D2 R L U F R2
R2 D2 R L U R' F
R2 D2 R L U F R'
R' D2 R2 L U R F
L D2 R U D2 R2 F
L D2 R U D2 F R2
L D2 R U F D2 R2
L D2 R U' L2 B' U2
R2 D2 R' L U R F
L D2 R D' B2 U F
L D2 R D2 U R2 F
L D2 R D2 U F R2
R D2 R' L U R2 F
R D2 R' L U F R2
L D2 R' U D2 R2 F
L D2 R' U D2 F R2
L D2 R' U F D2 R2
L D2 R' U' L2 B' U2
R2 D2 R2 L U R2 F
R2 D2 R2 L U F R2
L D2 R' D' B2 U F
L D2 R' D2 U R2 F
L D2 R' D2 U F R2
R D2 R2 L U R' F
R D2 R2 L U F R'
L D2 R2 U D2 R2 F
L D2 R2 U D2 F R2
L D2 R2 U F D2 R2
L D2 R2 U' L2 B' U2
L D2 R2 D' B2 U F
L D2 R2 D2 U R2 F
L D2 R2 D2 U F R2
B2 U2 L R' U' F' R'
L D2 U R D2 R2 F
L D2 U R D2 F R2
L D2 U R F D2 R2
L D2 U R' D2 R2 F
L D2 U R' D2 F R2
L D2 U R' F D2 R2
L D2 U R2 D2 R2 F
L D2 U R2 D2 F R2
L D2 U R2 F D2 R2
L D2 U F R D2 R2
L D2 U F R' D2 R2
L D2 U F R2 D2 R2
L D2 U F U2 L2 U2
L D2 U F D2 R2 D
L D2 U F D2 R2 D'
L D2 U F D2 R2 D2
L D2 U F2 D2 F' R2
L D2 U' L2 D B' U2
L D2 U' L2 D' B' U2
L D2 U' L2 D2 B' U2
L D2 U' L2 B' U2 D
L D2 U' L2 B' U2 D'
L D2 U' L2 B' U2 D2
L D2 U' L2 B' D U2
L D2 U' L2 B' D' U2
L D2 U' L2 B' D2 U2
B2 U2 L' R' U' F' R'
L D2 U' B L2 B' U2
L D2 U' B' L2 B' U2
L D2 U' B2 L2 B' U2
B2 U2 L2 R' U' F' R'
D' U2 F2 U2 L U F
B2 U2 R' L U' F' R'
B2 U2 R' L' U' F' R'
B2 U2 R' L2 U' F' R'
B2 U2 R' U' D F' R'
B2 U2 R' U' D' F' R'
B2 U2 R' U' D2 F' R'
B2 U2 R' U' F R' F2
B2 U2 R' U' F' R' D
B2 U2 R' U' F' R' D'
B2 U2 R' U' F' R' D2
B2 U2 R' U' F' D R'
B2 U2 R' U' F' D' R'
B2 U2 R' U' F' D2 R'
B2 U2 R' U' F2 R' F
B2 U2 R' D U' F' R'
B2 U2 R' D' U' F' R'
B2 U2 R' D2 U' F' R'
B2 U2 R' F U' R' F2
B2 U2 R' F U' F2 R'
B2 U2 R' F2 U' R' F
B2 U2 R' F2 U' F R'
L D2 B U D2 R2 F
L D2 B U D2 F R2
L D2 B U F D2 R2
L D2 B U' L2 B' U2
L D2 B D' B2 U F
L D2 B D2 U R2 F
L D2 B D2 U F R2
L D2 B' U D2 R2 F
L D2 B' U D2 F R2
L D2 B' U F D2 R2
L D2 B' U' L2 B' U2
B2 U2 D' R' F2 U' F
L D2 B' D' B2 U F
L D2 B' D2 U R2 F
L D2 B' D2 U F R2
R' F L F' U R' F2
R' F L F' U F2 R'
B2 U2 D' F2 R' U' F'
L D2 B2 U D2 R2 F
L D2 B2 U D2 F R2
L D2 B2 U F D2 R2
L D2 B2 U' L2 B' U2
L D2 B2 D' B2 U F
L D2 B2 D2 U R2 F
L D2 B2 D2 U F R2
D F L F' B2 U F2
B2 U2 F R' U' F' R'
D F L B2 F' U F2
R F L F' U R F2
L' F L2 F' U R2 F2
L' F L2 F' U F2 R2
B2 U2 F' R' U' F' R'
B2 U2 F2 R' U' F' R'
U' F U L R U R
U' F U R L U R
U F R2 U' L U F
L F R2 U B U' B'
U2 F U2 L U R2 F
U2 F U2 L U F R2
U F U' L U R2 F
U F U' L U F R2
B D L B2 U F B
B D L B2 U B F
F D L F' B2 U F2
F D L B2 F' U F2
L F D F' B2 U F
L F D B2 F' U F
F' D F L B2 U F
F D F' L B2 U F
B' D B L B U F
L F' R' F U R' F
L F' R' F U F R'
B2 D B2 L R U F
B2 D B2 L R' U F
B2 D B2 L R2 U F
B2 D B2 L U D F
B2 D B2 L U D' F
B2 D B2 L U D2 F
B2 D B2 L U F D
B2 D B2 L U F D'
B2 D B2 L U F D2
B2 D B2 L D U F
B2 D B2 L D' U F
B2 D B2 L D2 U F
U F' R2 U' L U F
B2 D B2 R L U F
B2 D B2 R' L U F
B2 D B2 R2 L U F
B2 D B2 D L U F
B2 D B2 D' L U F
B2 D B2 D2 L U F
B D B2 L U F B'
B D B2 L U B' F
R2 F' U' F L R U
R2 F' U' F R L U
U2 F' U2 L U R2 F
U2 F' U2 L U F R2
U F' U' L U R2 F
U F' U' L U F R2
L F' D R2 F B2 U
L F' D R2 B2 F U
L F' D F R2 B2 U
L F' D F B2 R2 U
L F' D B2 R2 F U
L F' D B2 F R2 U
R' F2 L F2 U F' R'
B2 D' U2 R' F2 U' F
B2 D' U2 F2 R' U' F'
D F2 L F2 B2 U F'
D F2 L B2 F2 U F'
R2 F2 L' D' L2 F B2
R2 F2 L' D' L2 B2 F
L' F2 L2 F2 U F' R2
L' F2 R2 D' L2 F B2
L' F2 R2 D' L2 B2 F
U F2 R2 U' L U F
U2 F2 U2 L U R2 F
U2 F2 U2 L U F R2
U F2 U' L U R2 F
U F2 U' L U F R2
L2 B L' R U R F
L2 B L' R' U R' F
L2 B L' R' U F R'
L2 B L' U R' F R'
L2 B L' U R2 D F
L2 B L' U R2 D' F
L2 B L' U R2 D2 F
L2 B L' U R2 F D
L2 B L' U R2 F D'
L2 B L' U R2 F D2
L2 B L' U F R2 D
L2 B L' U F R2 D'
L2 B L' U F R2 D2
L2 B L' U F' R2 F2
L2 B L' D B2 U F
L' B L2 U R2 D2 F2
L' B L2 U' B2 U2 R2
L2 B L' B U R2 F
L2 B L' B U F R2
L2 B L' B' U R2 F
L2 B L' B' U F R2
L2 B L' B2 U R2 F
L2 B L' B2 U F R2
L' B L2 B U R2 F'
L2 B R L' U R F
L2 B R' L' U R' F
L2 B R' L' U F R'
L B R U R D F
L B R U R D' F
L B R U R D2 F
L B R U R F D
L B R U R F D'
L B R U R F D2
L B R U R' F R2
L B R U R2 F R'
L B R U D R F
L B R U D' R F
L B R U D2 R F
L B R D U R F
L B R D' U R F
L B R D2 U R F
L B R B U R F
L B R B' U R F
L B R B2 U R F
L B R' U R F R2
L B R' U R' D F
L B R' U R' D' F
L B R' U R' D2 F
L B R' U R' F D
L B R' U R' F D'
L B R' U R' F D2
L B R' U D R' F
L B R' U D F R'
L B R' U D' R' F
L B R' U D' F R'
L B R' U D2 R' F
L B R' U D2 F R'
L B R' U F R' D
L B R' U F R' D'
L B R' U F R' D2
L B R' U F D R'
L B R' U F D' R'
L B R' U F D2 R'
L B R' U F' R' F2
L B R' D U R' F
L B R' D U F R'
L B R' D' U R' F
L B R' D' U F R'
L B R' D2 U R' F
L B R' D2 U F R'
L B U R D R F
L B U R D' R F
L B U R D2 R F
L B U R' D R' F
L B U R' D F R'
L B U R' D' R' F
L B U R' D' F R'
L B U R' D2 R' F
L B U R' D2 F R'
L B U R' F R' D
L B U R' F R' D'
L B U R' F R' D2
L B U R' F D R'
L B U R' F D' R'
L B U R' F D2 R'
L B U R' F' R' F2
L B U R2 D F D
L B U R2 D F D'
L B U R2 D F D2
L B U R2 D' F D
L B U R2 D' F D'
L B U R2 D' F D2
L B U R2 D2 F D
L B U R2 D2 F D'
L B U R2 D2 F D2
L B U R2 F2 D F'
L B U R2 F2 D' F'
L B U R2 F2 D2 F'
L B U D F D' R2
L B U D2 F D2 R2
L B U F R D R
L B U F R D' R
L B U F R D2 R
L B U F R' D R'
L B U F R' D' R'
L B U F R' D2 R'
L B U F B R2 B'
L B U F B2 R2 B2
L B U F' R' F2 R'
L B U F' R2 F2 D
L B U F' R2 F2 D'
L B U F' R2 F2 D2
L B U B R2 F B'
L B U B R2 B' F
L B U B F R2 B'
L B U B2 R2 F B2
L B U B2 R2 B2 F
L B U B2 F R2 B2
L B U' L2 B' U2 R2
L B U' D2 L2 B' U2
L B U' B U2 R2 F
L B U' B U2 F R2
L B U' B' U2 R2 F
L B U' B' U2 F R2
L B U' B2 U2 R2 F
L B U' B2 U2 F R2
L B U2 D' F2 U' F'
L B U2 F' U' R2 F2
L B U2 F' U' F2 R2
L B U2 F2 U' F' R2
L B D R B2 U F
L B D R' B2 U F
L B D R2 B2 U F
L B D U F D' R2
L B D B2 R U F
L B D B2 R' U F
L B D B2 R2 U F
L B D B2 U D F
L B D B2 U D' F
L B D B2 U D2 F
L B D B2 U F D
L B D B2 U F D'
L B D B2 U F D2
L B D B2 D U F
L B D B2 D' U F
L B D B2 D2 U F
L B D' U2 F2 U' F'
L B D2 U F D2 R2
L B D2 U' L2 B' U2
L2 B' L' R U R F
L2 B' L' R' U R' F
L2 B' L' R' U F R'
L2 B' L' U R' F R'
L2 B' L' U R2 D F
L2 B' L' U R2 D' F
L2 B' L' U R2 D2 F
L2 B' L' U R2 F D
L2 B' L' U R2 F D'
L2 B' L' U R2 F D2
L2 B' L' U F R2 D
L2 B' L' U F R2 D'
L2 B' L' U F R2 D2
L2 B' L' U F' R2 F2
L2 B' L' D B2 U F
L' B' L2 U R2 D' F2
L2 B' L' B U R2 F
L2 B' L' B U F R2
L2 B' L' B' U R2 F
L2 B' L' B' U F R2
L2 B' L' B2 U R2 F
L2 B' L' B2 U F R2
R B' L U R F B
R B' L U R B F
L' B' L2 B' U R2 F'
L2 B' R L' U R F
L2 B' R' L' U R' F
L2 B' R' L' U F R'
L B' R U R D F
L B' R U R D' F
L B' R U R D2 F
L B' R U R F D
L B' R U R F D'
L B' R U R F D2
L B' R U R' F R2
L B' R U R2 F R'
L B' R U D R F
L B' R U D' R F
L B' R U D2 R F
L B' R D U R F
L B' R D' U R F
L B' R D2 U R F
L B' R B U R F
L B' R B' U R F
L B' R B2 U R F
L' B' U L2 U L2 R2
L' B' U L2 U R2 L2
L B' R' U R F R2
L B' R' U R' D F
L B' R' U R' D' F
L B' R' U R' D2 F
L B' R' U R' F D
L B' R' U R' F D'
L B' R' U R' F D2
L B' R' U D R' F
L B' R' U D F R'
L B' R' U D' R' F
L B' R' U D' F R'
L B' R' U D2 R' F
L B' R' U D2 F R'
L B' R' U F R' D
L B' R' U F R' D'
L B' R' U F R' D2
L B' R' U F D R'
L B' R' U F D' R'
L B' R' U F D2 R'
L B' R' U F' R' F2
L' B' U R2 D' F2 B2
L' B' U R2 D' B2 F2
L B' R' D U R' F
L B' R' D U F R'
L B' R' D' U R' F
L B' R' D' U F R'
L B' R' D2 U R' F
L B' R' D2 U F R'
L B' U R D R F
L B' U R D' R F
L B' U R D2 R F
L B' U R' D R' F
L B' U R' D F R'
L B' U R' D' R' F
L B' U R' D' F R'
L B' U R' D2 R' F
L B' U R' D2 F R'
L B' U R' F R' D
L B' U R' F R' D'
L B' U R' F R' D2
L B' U R' F D R'
L B' U R' F D' R'
L B' U R' F D2 R'
L B' U R' F' R' F2
L B' U R2 D F D
L B' U R2 D F D'
L B' U R2 D F D2
L B' U R2 D' F D
L B' U R2 D' F D'
L B' U R2 D' F D2
L B' U R2 D2 F D
L B' U R2 D2 F D'
L B' U R2 D2 F D2
L B' U R2 F2 D F'
L B' U R2 F2 D' F'
L B' U R2 F2 D2 F'
L B' U D F D' R2
L B' U D2 F D2 R2
L B' U F R D R
L B' U F R D' R
L B' U F R D2 R
L B' U F R' D R'
L B' U F R' D' R'
L B' U F R' D2 R'
L B' U F B R2 B'
L B' U F B2 R2 B2
L B' U F' R' F2 R'
L B' U F' R2 F2 D
L B' U F' R2 F2 D'
L B' U F' R2 F2 D2
L B' U B R2 F B'
L B' U B R2 B' F
L B' U B F R2 B'
L B' U B2 R2 F B2
L B' U B2 R2 B2 F
L B' U B2 F R2 B2
L B' U' L2 B' U2 R2
L B' U' D2 L2 B' U2
L B' U' B U2 R2 F
L B' U' B U2 F R2
L B' U' B' U2 R2 F
L B' U' B' U2 F R2
L B' U' B2 U2 R2 F
L B' U' B2 U2 F R2
L B' U2 D' F2 U' F'
L B' U2 F' U' R2 F2
L B' U2 F' U' F2 R2
L B' U2 F2 U' F' R2
L B' D R B2 U F
L B' D R' B2 U F
L B' D R2 B2 U F
L B' D U F D' R2
L B' D B2 R U F
L B' D B2 R' U F
L B' D B2 R2 U F
L B' D B2 U D F
L B' D B2 U D' F
L B' D B2 U D2 F
L B' D B2 U F D
L B' D B2 U F D'
L B' D B2 U F D2
L B' D B2 D U F
L B' D B2 D' U F
L B' D B2 D2 U F
L B' D' U2 F2 U' F'
L B' D2 U F D2 R2
L B' D2 U' L2 B' U2
L2 B2 L' R U R F
L2 B2 L' R' U R' F
L2 B2 L' R' U F R'
D B2 L U2 R' U' F
L2 B2 L' U R' F R'
L2 B2 L' U R2 D F
L2 B2 L' U R2 D' F
L2 B2 L' U R2 D2 F
L2 B2 L' U R2 F D
L2 B2 L' U R2 F D'
L2 B2 L' U R2 F D2
L2 B2 L' U F R2 D
L2 B2 L' U F R2 D'
L2 B2 L' U F R2 D2
L2 B2 L' U F' R2 F2
L' B2 L2 R U R F'
L2 B2 L' D B2 U F
L' B2 L2 U R2 D F'
L' B2 L2 U R2 D' F'
L' B2 L2 U R2 D2 F'
L' B2 L2 U R2 F' D
L' B2 L2 U R2 F' D'
L' B2 L2 U R2 F' D2
L' B2 L2 U F R2 F'
L' B2 L2 U F' R2 F'
L' B2 L2 U F2 R2 F'
L' B2 L2 U' B U2 R2
L2 B2 L' B U R2 F
L2 B2 L' B U F R2
L2 B2 L' B' U R2 F
L2 B2 L' B' U F R2
L2 B2 L' B2 U R2 F
L2 B2 L' B2 U F R2
L' B2 R L2 U R F'
L2 B2 R L' U R F
L2 B2 R' L' U R' F
L2 B2 R' L' U F R'
L B2 R U R D F
L B2 R U R D' F
L B2 R U R D2 F
L B2 R U R F D
L B2 R U R F D'
L B2 R U R F D2
L B2 R U R' F R2
L B2 R U R2 F R'
L B2 R U D R F
L B2 R U D' R F
L B2 R U D2 R F
L B2 R D U R F
L B2 R D' U R F
L B2 R D2 U R F
L B2 R B U R F
L B2 R B' U R F
L B2 R B2 U R F
L B2 R' U R F R2
L B2 R' U R' D F
L B2 R' U R' D' F
L B2 R' U R' D2 F
L B2 R' U R' F D
L B2 R' U R' F D'
L B2 R' U R' F D2
L B2 R' U D R' F
L B2 R' U D F R'
L B2 R' U D' R' F
L B2 R' U D' F R'
L B2 R' U D2 R' F
L B2 R' U D2 F R'
L B2 R' U F R' D
L B2 R' U F R' D'
L B2 R' U F R' D2
L B2 R' U F D R'
L B2 R' U F D' R'
L B2 R' U F D2 R'
L B2 R' U F' R' F2
L' B2 U R2 D' F' B2
L' B2 U R2 D' B2 F'
L' B2 U R2 F' D' B2
L B2 R' D U R' F
L B2 R' D U F R'
L B2 R' D' U R' F
L B2 R' D' U F R'
L B2 R' D2 U R' F
L B2 R' D2 U F R'
U' B2 U' R' U' F' R'
D' B2 U2 R' F2 U' F
L B2 U R D R F
L B2 U R D' R F
L B2 U R D2 R F
L B2 U R' D R' F
L B2 U R' D F R'
L B2 U R' D' R' F
L B2 U R' D' F R'
L B2 U R' D2 R' F
L B2 U R' D2 F R'
L B2 U R' F R' D
L B2 U R' F R' D'
L B2 U R' F R' D2
L B2 U R' F D R'
L B2 U R' F D' R'
L B2 U R' F D2 R'
L B2 U R' F' R' F2
L B2 U R2 D F D
L B2 U R2 D F D'
L B2 U R2 D F D2
L B2 U R2 D' F D
L B2 U R2 D' F D'
L B2 U R2 D' F D2
L B2 U R2 D2 F D
L B2 U R2 D2 F D'
L B2 U R2 D2 F D2
L B2 U R2 F2 D F'
L B2 U R2 F2 D' F'
L B2 U R2 F2 D2 F'
L B2 U D F D' R2
D' B2 U2 F2 R' U' F'
L B2 U D2 F D2 R2
L B2 U F R D R
L B2 U F R D' R
L B2 U F R D2 R
L B2 U F R' D R'
L B2 U F R' D' R'
L B2 U F R' D2 R'
L B2 U F B R2 B'
L B2 U F B2 R2 B2
L B2 U F' R' F2 R'
L B2 U F' R2 F2 D
L B2 U F' R2 F2 D'
L B2 U F' R2 F2 D2
L B2 U B R2 F B'
L B2 U B R2 B' F
L B2 U B F R2 B'
L B2 U B2 R2 F B2
L B2 U B2 R2 B2 F
L B2 U B2 F R2 B2
L B2 U' L2 B' U2 R2
D B2 U2 L R' U' F'
D B2 U2 L' R' U' F'
D B2 U2 L2 R' U' F'
L B2 U' D2 L2 B' U2
D B2 U2 R' L U' F'
D B2 U2 R' L' U' F'
D B2 U2 R' L2 U' F'
D B2 U2 R' U' D F'
D B2 U2 R' U' D' F'
D B2 U2 R' U' D2 F'
D B2 U2 R' U' F' D
D B2 U2 R' U' F' D'
D B2 U2 R' U' F' D2
D B2 U2 R' D U' F'
D B2 U2 R' D' U' F'
D B2 U2 R' D2 U' F'
D B2 U2 D R' U' F'
D B2 U2 D' R' U' F'
L B2 U' B U2 R2 F
L B2 U' B U2 F R2
D B2 U2 D2 R' U' F'
L B2 U' B' U2 R2 F
L B2 U' B' U2 F R2
L B2 U' B2 U2 R2 F
L B2 U' B2 U2 F R2
L B2 U2 D' F2 U' F'
D2 B2 D' B2 L U F
L B2 U2 F' U' R2 F2
L B2 U2 F' U' F2 R2
L B2 U2 F2 U' F' R2
R B2 U2 R' U' F' R2
D B2 D U2 R' U' F'
L B2 D R B2 U F
L B2 D R' B2 U F
L B2 D R2 B2 U F
L B2 D U F D' R2
D' B2 D2 B2 L U F
D B2 D' U2 R' U' F'
L B2 D B2 R U F
L B2 D B2 R' U F
L B2 D B2 R2 U F
L B2 D B2 U D F
L B2 D B2 U D' F
L B2 D B2 U D2 F
L B2 D B2 U F D
L B2 D B2 U F D'
L B2 D B2 U F D2
L B2 D B2 D U F
L B2 D B2 D' U F
L B2 D B2 D2 U F
L B2 D' U2 F2 U' F'
D B2 D2 U2 R' U' F'
L B2 D2 U F D2 R2
L B2 D2 U' L2 B' U2
