U2 L U L' F2 B
U2 L U L' B F2
U L U F2 B R
U2 L U B L' F2
U L U B F2 R
U2 L' U L F2 B
U2 L' U L B F2
U2 L' U F2 L B
U2 L2 U L2 F2 B
U2 L2 U L2 B F2
U2 L2 U F2 L2 B
U2 L2 U F2 B L2
U2 L2 U B L2 F2
U2 L2 U B F2 L2
R U R' U2 F2 B
R U R' U2 F2 B
R U R' U2 B F2
R2 U R2 U2 F2 B
R2 U R2 U2 B F2
R2 U F' R2 B U2
U' R U' R' F2 B
U' R U' R' B F2
U' R U' F2 R' B
B' R U' F2 B2 L
B' R U' B2 L F2
B' R U' B2 F2 L
R2 U' F2 D2 L2 B'
B' R' U' F2 L' B2
B' R' U' F2 B2 L'
B' R' U' B2 F2 L'
B2 R' U' F2 B' L'
B2 R' U' B' F2 L'
B R' F2 L' D R2
B R' F2 D L' R2
B R' F2 D R2 L'
U' R2 U' R2 F2 B
U' R2 U' R2 B F2
F' U' F U' F2 B
F' U' F U' B F2
B' U' F2 B2 D L2
F U' F' U' F2 B
F U' F' U' B F2
B' U' B2 F2 D L2
F' U2 F' D B R2
F' U2 F' B D R2
F U2 F D B R2
F U2 F B D R2
B' U2 F2 B2 D' R2
F' U2 B F' D R2
F U2 B F D R2
F U2 B F D R2
B' U2 B2 F2 D' R2
F2 D B R2 D2 L2
U' F2 B U B' U'
U2 F2 B U' B' U
U' F2 B2 D B' L2
U2 F2 B2 D' R2 B'
U2 F2 B2 D' B' R2
U' B U B' U' F2
U2 B U' B' U F2
U' B F2 U B' U'
U2 B F2 U' B' U
F2 B D R2 D2 L2
B F2 D R2 D2 L2
U' B2 F2 D B' L2
U2 B2 F2 D' R2 B'
U2 B2 F2 D' B' R2
F B' U2 F B2 D R2
F B' U2 B2 F D R2
D2 B2 L2 F U' F' U'
B F2 L D R2 D2 L2
L' B2 R' U' F2 B' L'
L' B2 R' U' B' F2 L'
U2 B2 R F2 D' R2 B'
U2 B2 R F2 D' B' R2
L2 B2 R' U' F2 B' L'
L2 B2 R' U' B' F2 L'
B F2 L' D R2 D2 L2
U2 B2 R' F2 D' R2 B'
U2 B2 R' F2 D' B' R2
B' F2 R B2 L D R2
B' F2 R B2 D L R2
B' F2 R B2 D R2 L
B F2 L2 D R2 D2 L2
L B2 R' U' F2 B' L'
U' B2 U B2 U' F2 B
U' B2 U B2 U' B F2
L B2 R' U' B' F2 L'
U2 B2 R2 F2 D' R2 B'
U2 B2 R2 F2 D' B' R2
R B2 R' U' L F2 B
R B2 R' U' L B F2
R B2 R' U' F2 L B
D2 B2 U' R U' R' B'
D2 B2 U' R' U' R B'
D2 B2 U' R' U' B' R
D2 B2 U' R2 U' R2 B'
D2 B2 U' R2 U' B' R2
R2 B2 U R2 U2 F2 B
R2 B2 U R2 U2 B F2
R2 B2 U F' R2 B U2
B F2 R' U F2 U' L'
D2 B2 U2 B' U' B U
U2 B2 U' B2 U F2 B
U2 B2 U' B2 U B F2
D2 B2 U2 B2 D' B R2
R2 B2 U' F2 D2 L2 B'
B F2 R2 D R2 D L2
U' B2 D B' L2 D' F2
B F2 R2 D2 L2 D' R2
F' B2 U' F U' F2 B'
F' B2 U' F U' B' F2
R B2 U' F2 D2 L B'
B F2 U F2 U' D' L2
B F2 U F2 U2 F2 U
B F2 U F2 D' U' L2
B F2 U F2 D2 B2 U'
U2 B2 D' R2 D F2 B'
U2 B2 D' R2 D B' F2
U2 B2 D' R2 B' D F2
B2 F2 U2 D B' R2 F'
F' B2 U2 F' D R2 B'
F' B2 U2 F' D B' R2
F' B2 U2 F' B' D R2
U' B2 D2 B' D' L2 F
F2 B2 U2 D B' R2 F'
F' B2 U2 B' F' D R2
U2 B2 D' B' R2 D F2
B2 F2 U2 B' D R2 F'
F2 B2 U2 B' D R2 F'
U' B2 F D F B' L2
U' B2 F D B' F L2
F B2 U' F' U' F2 B'
F B2 U' F' U' B' F2
B2 F2 D R2 D2 B' L2
B2 F2 D R2 B' D2 L2
D2 B2 F U' F' U' B'
B F2 U2 D' L2 U2 L2
F2 B2 D R2 D2 B' L2
B2 F2 D U2 B' R2 F'
F2 B2 D R2 B' D2 L2
F2 B2 D U2 B' R2 F'
B2 F2 D B' R2 D2 L2
B F2 D L R2 D2 L2
F2 B2 D B' R2 D2 L2
B F2 D L' R2 D2 L2
U' B2 F' D F' B' L2
U' B2 F' D B' L2 F'
U' B2 F' D B' F' L2
B F2 D L2 R2 D2 L2
B2 F2 D' L2 F U2 F'
D2 B2 F' U' F U' B'
F B2 U2 F D R2 B'
F B2 U2 F D B' R2
F B2 U2 F B' D R2
B F2 D R2 L D2 L2
F2 B2 D' L2 F U2 F'
B F2 D R2 L' D2 L2
B F2 D R2 L2 D2 L2
B F2 D R2 U2 R2 U2
B F2 D R2 D2 L2 D
B F2 D R2 D2 L2 D'
B F2 D R2 D2 L2 D2
U' B2 F2 L2 D L2 B'
F B2 U2 B' F D R2
U2 B2 F D' R2 F B'
U2 B2 F D' R2 B' F
U2 B2 F D' F R2 B'
U2 B2 F D' F B' R2
U2 B2 F D' B' R2 F
U2 B2 F D' B' F R2
U' B2 F2 U B2 U' B
U' B2 F2 D B L2 B2
U' B2 F2 D B' L2 D
U' B2 F2 D B' L2 D'
U' B2 F2 D B' L2 D2
U' B2 F2 D B2 L2 B
U' B2 F2 D' B' D2 L2
U' B2 F2 D2 B' D' L2
D2 B2 F2 U' F2 U' B'
D2 B2 F2 U2 D R2 B'
D2 B2 F2 U2 D B' R2
D2 B2 F2 U2 B' D R2
D2 B2 F2 D U2 R2 B'
D2 B2 F2 D U2 B' R2
D2 B2 F2 D' L2 F U2
B F2 D' R2 D2 L2 R2
B F2 D' R2 D2 R2 L2
U2 B2 F' D' F' R2 B'
U2 B2 F' D' F' B' R2
U2 B2 F' D' B' F' R2
B F2 D' U2 L2 U2 L2
U2 B2 F2 R D' R2 B'
U2 B2 F2 R D' B' R2
U2 B2 F2 R' D' R2 B'
U2 B2 F2 R' D' B' R2
U2 B2 F2 R2 D' R2 B'
U2 B2 F2 R2 D' B' R2
U2 B2 F2 U' B2 U B
U2 B2 F2 D B' D2 R2
U2 B2 F2 D' R B' R
U2 B2 F2 D' R2 D B'
U2 B2 F2 D' R2 D' B'
U2 B2 F2 D' R2 D2 B'
U2 B2 F2 D' R2 B' D
U2 B2 F2 D' R2 B' D'
U2 B2 F2 D' R2 B' D2
U2 B2 F2 D' B R2 B2
U2 B2 F2 D' B' R2 D
U2 B2 F2 D' B' R2 D'
U2 B2 F2 D' B' R2 D2
U2 B2 F2 D2 B' D R2
