U' L D R2 F'
U' D L R2 F'
U' D R2 L F'
U' D R2 F' L
D U' L R2 F'
D U' R2 L F'
D U' R2 F' L
U D' B2 L2 R' U2 F
F2 U' F' R2 L F' R2
U D' B2 R' L2 U2 F
F2 U' F' R2 F' L R2
F2 U' F' R2 F' R2 L
U D' B2 R' B' L2 U2
R2 D2 L2 B2 U L' F'
F2 U' F2 L R2 F' R2
F2 U' F2 L U2 B U2
F U' F' L D R2 F'
F2 U' F2 R2 L F' R2
F2 U' F2 R2 F' L R2
F2 U' F2 R2 F' R2 L
F U' F' D L R2 F'
F U' F' D R2 L F'
F U' F' D R2 F' L
U' D2 L2 D' L' R2 F'
U' D2 L2 D' R2 L' F'
B U' F2 B' U' L B
F2 U' B' D2 F2 B L
F2 U' B' D2 B L F2
F2 U' B' D2 B F2 L
D U2 R U L R F'
D U2 R U R L F'
D U2 R U R F' L
F2 U' B2 L B2 L F
F2 U' B2 L2 F B2 L
F2 U' B2 L2 B2 F L
L D2 R2 D' F' R2 B
U' D2 R2 L D' F' R2
U' D2 R2 L F' D' R2
L2 D2 U' L' D' R2 F'
B U' B' F2 U' L B
U' D2 R2 D' L F' R2
U' D2 R2 D' F' L R2
U' D2 R2 D' F' R2 L
U' D2 R2 F' L D' R2
U' D2 R2 F' D' L R2
U' D2 R2 F' D' R2 L
U' D2 F L D' R2 F'
U' D2 F D' L R2 F'
U' D2 F D' R2 L F'
U' D2 F D' R2 F' L
U' D2 F' L D' R2 F'
U' D2 F' D' L R2 F'
U' D2 F' D' R2 L F'
U' D2 F' D' R2 F' L
D U2 F U L R2 F'
D U2 F U R2 L F'
D U2 F U R2 F' L
U' D2 F2 L D' R2 F'
U' D2 F2 D' L R2 F'
U' D2 F2 D' R2 L F'
U' D2 F2 D' R2 F' L
D U2 F' U L R2 F'
D U2 F' U R2 L F'
D U2 F' U R2 F' L
R2 D2 F' D' L R2 B2
R2 D2 F' D' L B2 R2
R2 D2 F' D' R2 L B2
D U2 F2 U L R2 F'
D U2 F2 U R2 L F'
D U2 F2 U R2 F' L
F2 U2 R2 U L D F'
F2 U2 R2 U L D' F'
F2 U2 R2 U L D2 F'
F2 U2 R2 U L F' D
F2 U2 R2 U L F' D'
F2 U2 R2 U L F' D2
F2 U2 R2 U L' F' L2
F2 U2 R2 U D L F'
F2 U2 R2 U D F' L
F2 U2 R2 U D' L F'
F2 U2 R2 U D' F' L
F2 U2 R2 U D2 L F'
F2 U2 R2 U D2 F' L
F2 U2 R2 U F L F2
F2 U2 R2 U F' L D
F2 U2 R2 U F' L D'
F2 U2 R2 U F' L D2
F2 U2 R2 U F' D L
F2 U2 R2 U F' D' L
F2 U2 R2 U F' D2 L
F2 U2 R2 D U L F'
F2 U2 R2 D U F' L
F2 U2 R2 D' U L F'
F2 U2 R2 D' U F' L
F2 U2 R2 D2 U L F'
F2 U2 R2 D2 U F' L
F2 U2 R2 F U L F2
F2 U2 R2 F U F2 L
F2 U2 R2 F2 U F L
D2 U2 B2 U' R' B' U2
F2 U2 D R2 U L F'
F2 U2 D R2 U F' L
U' F L R2 D F' R
U2 D2 B2 U' R' B' U2
U' F L D R2 F' R
F2 U2 D' R2 U L F'
F2 U2 D' R2 U F' L
D F L R2 D F' B2
D F L R2 D B2 F'
D F L R2 F' D B2
F2 U2 D2 R2 U L F'
F2 U2 D2 R2 U F' L
F2 U2 F R2 U L F'
F2 U2 F R2 U F' L
D F L' U' L2 R2 F'
D F L' U' R2 L2 F'
D F L' U' R2 F' L2
F2 U2 F' R2 U L F'
F2 U2 F' R2 U F' L
D F L2 U' L' R2 F'
D F L2 U' R2 L' F'
F2 U2 F2 R2 U L F'
F2 U2 F2 R2 U F' L
U' F R2 L D F' R
U' F R2 F' L D R2
U' F R2 F' D L R2
U' F R2 F' D R2 L
D' F U L2 B U2 L'
D F R2 L D F' B2
D F R2 L D B2 F'
D F R2 L F' D B2
D F R2 D L F' B2
D F R2 D L B2 F'
R2 F R2 F U' F L
D F R2 D F' L B2
D F R2 F' L D B2
D F R2 F' D L B2
D2 F U' L D' R2 F'
D' F U' D2 L R2 F'
D2 F U' D' L R2 F'
D' F U' D2 R2 L F'
D' F U' D2 R2 F' L
D2 F U' D' R2 L F'
D2 F U' D' R2 F' L
L F R2 F' D R2 B2
L F R2 F' D B2 R2
D F U' L R2 D F'
D F U' L R2 D' F'
D F U' L R2 D2 F'
D F U' L R2 F' D
D F U' L R2 F' D'
D F U' L R2 F' D2
D F U' L F R2 F'
D F U' L F' R2 F'
D F U' L F2 R2 F'
D F U' L' R2 F' L2
D F U' R2 L D F'
D F U' R2 L D' F'
D F U' R2 L D2 F'
D F U' R2 L F' D
D F U' R2 L F' D'
D F U' R2 L F' D2
D F U' R2 L' F' L2
D F U' R2 D L F'
D F U' R2 D F' L
D F U' R2 D' L F'
D F U' R2 D' F' L
D F U' R2 D2 L F'
D F U' R2 D2 F' L
D F U' R2 F L F2
D F U' R2 F' L D
D F U' R2 F' L D'
D F U' R2 F' L D2
D F U' R2 F' D L
D F U' R2 F' D' L
D F U' R2 F' D2 L
D F U' F L R2 F'
D F U' F R2 L F'
D F U' F R2 F' L
D F U' F' L R2 F'
D F U' F' R2 L F'
D F U' F' R2 F' L
D F U' F2 L R2 F'
D F U' F2 R2 L F'
D F U' F2 R2 F' L
F2 D L' U B U2 L2
B D L B' U' R2 F'
F2 D L' B2 U' L2 F
F2 D L2 U B U2 L'
B' D L2 B U' L R2
B' D L2 B U' R2 L
D2 F D' U' L R2 F'
D2 F D' U' R2 L F'
D2 F D' U' R2 F' L
D' F D2 U' L R2 F'
D' F D2 U' R2 L F'
D' F D2 U' R2 F' L
F2 D U R' U2 L F
F2 D U R2 U2 L F'
F2 D U R2 U2 F' L
F2 D U B2 R' B' U2
F2 D U' L R2 F' R2
F2 D U' L U2 B U2
U' F' L F D R2 F'
F2 D U' R2 L F' R2
F2 D U' R2 F' L R2
F2 D U' R2 F' R2 L
R2 F' L U F' R2 U'
D F' L R2 D F' B2
D F' L R2 D B2 F'
D F' L R2 F' D B2
F2 D U2 R2 U L F'
F2 D U2 R2 U F' L
D F' L' U' L2 R2 F'
D F' L' U' R2 L2 F'
D F' L' U' R2 F' L2
D F' L2 U' L' R2 F'
D F' L2 U' R2 L' F'
B' D B L2 U' L' R2
B' D B L2 U' R2 L'
D' F' U L2 B U2 L'
D F' R2 L D F' B2
D F' R2 L D B2 F'
D F' R2 L F' D B2
D F' R2 D L F' B2
D F' R2 D L B2 F'
D F' R2 D F' L B2
D F' R2 F' L D B2
D2 F' U' L D' R2 F'
D F' R2 F' D L B2
B2 D B2 U' L R2 F'
B2 D B2 U' R2 L F'
B2 D B2 U' R2 F' L
D2 F' U' D' L R2 F'
F2 D B2 U R' B' U2
D2 F' U' D' R2 L F'
D2 F' U' D' R2 F' L
D' F' U' D2 L R2 F'
D' F' U' D2 R2 L F'
D' F' U' D2 R2 F' L
R2 F' U F' R2 U' L
D F' U' L R2 D F'
D F' U' L R2 D' F'
D F' U' L R2 D2 F'
D F' U' L R2 F' D
D F' U' L R2 F' D'
D F' U' L R2 F' D2
D F' U' L F R2 F'
D F' U' L F' R2 F'
D F' U' L F2 R2 F'
D F' U' L' R2 F' L2
D F' U' R2 L D F'
D F' U' R2 L D' F'
D F' U' R2 L D2 F'
D F' U' R2 L F' D
D F' U' R2 L F' D'
D F' U' R2 L F' D2
D F' U' R2 L' F' L2
D F' U' R2 D L F'
D F' U' R2 D F' L
D F' U' R2 D' L F'
D F' U' R2 D' F' L
D F' U' R2 D2 L F'
D F' U' R2 D2 F' L
D F' U' R2 F L F2
D F' U' R2 F' L D
D F' U' R2 F' L D'
D F' U' R2 F' L D2
D F' U' R2 F' D L
D F' U' R2 F' D' L
D F' U' R2 F' D2 L
D F' U' F L R2 F'
D F' U' F R2 L F'
D F' U' F R2 F' L
D F' U' F' L R2 F'
D F' U' F' R2 L F'
D F' U' F' R2 F' L
D F' U' F2 L R2 F'
D F' U' F2 R2 L F'
D F' U' F2 R2 F' L
F2 D' L' U B U2 L2
F2 D' L' B2 U' L2 F
F2 D' L2 U B U2 L'
D2 F' D' U' L R2 F'
D2 F' D' U' R2 L F'
D2 F' D' U' R2 F' L
D' F' D2 U' L R2 F'
D' F' D2 U' R2 L F'
D' F' D2 U' R2 F' L
B2 D' U L2 R' U2 F
B2 D' U R' L2 U2 F
B2 D' U R' B' L2 U2
F2 D' U R' U2 L F
F2 D' U R2 U2 L F'
F2 D' U R2 U2 F' L
F2 D' U B2 R' B' U2
F2 D' U' L R2 F' R2
F2 D' U' L U2 B U2
U' F2 L F2 D R2 F'
F2 D' U' R2 L F' R2
F2 D' U' R2 F' L R2
F2 D' U' R2 F' R2 L
L2 F2 L U B R U2
L' F2 L' U B U2 L'
D F2 L R2 D F' B2
D F2 L R2 D B2 F'
D F2 L R2 F' D B2
F2 D' U2 R2 U L F'
F2 D' U2 R2 U F' L
L2 F2 L' U B R U2
L F2 L U B U2 L'
D F2 L' U' L2 R2 F'
D F2 L' U' R2 L2 F'
D F2 L' U' R2 F' L2
L2 F2 L2 U B R U2
D F2 L2 U' L' R2 F'
D F2 L2 U' R2 L' F'
L F2 L2 U B U2 L2
L F2 L2 B2 U' L2 F
D' F2 U L2 B U2 L'
D F2 R2 L D F' B2
D F2 R2 L D B2 F'
D F2 R2 L F' D B2
R2 F2 R2 U' D F L
R2 F2 R2 U' D' F L
R2 F2 R2 U' D2 F L
R2 F2 R2 U' F L D
R2 F2 R2 U' F L D'
R2 F2 R2 U' F L D2
R2 F2 R2 U' F D L
R2 F2 R2 U' F D' L
R2 F2 R2 U' F D2 L
R2 F2 R2 U' F' L F2
R2 F2 R2 U' F2 L F'
L' F2 U R2 U2 L2 F'
L' F2 U R2 U2 F' L2
R2 F2 R2 D U' F L
R2 F2 R2 D' U' F L
L' F2 U D2 R2 U2 F'
L' F2 U D2 B R2 U2
R2 F2 R2 D2 U' F L
D F2 R2 D L F' B2
D F2 R2 D L B2 F'
D F2 R2 D F' L B2
L' F2 U B R U2 L2
L' F2 U B R' U2 L2
L' F2 U B R2 U2 L2
L' F2 U B U2 L2 D
L' F2 U B U2 L2 D'
L' F2 U B U2 L2 D2
L' F2 U B D2 R2 U2
D2 F2 U' L D' R2 F'
D F2 R2 F' L D B2
L' F2 U B2 U2 L2 F
D F2 R2 F' D L B2
L2 F2 U D B R U2
L2 F2 U D' B R U2
L' F2 U' L2 R2 F' R2
L' F2 U' L2 U2 B U2
L2 F2 U D2 B R U2
D2 F2 U' D' L R2 F'
D2 F2 U' D' R2 L F'
D2 F2 U' D' R2 F' L
F2 D' B2 U R' B' U2
L' F2 U' R2 L2 F' R2
D' F2 U' D2 L R2 F'
L' F2 U' R2 F' L2 R2
L' F2 U' R2 F' R2 L2
D' F2 U' D2 R2 L F'
D' F2 U' D2 R2 F' L
L2 F2 U B R U2 D
L2 F2 U B R U2 D'
L2 F2 U B R U2 D2
L2 F2 U B R D U2
L2 F2 U B R D' U2
L2 F2 U B R D2 U2
U2 F2 U B U2 B' L
L2 F2 U B D R U2
L2 F2 U B D' R U2
L2 F2 U B D2 R U2
L2 F2 U B' R B2 U2
L2 F2 U B2 R B' U2
R' F2 U2 L' U L2 F
L' F2 U' B2 L2 F B2
L' F2 U' B2 L2 B2 F
D F2 U' L R2 D F'
D F2 U' L R2 D' F'
D F2 U' L R2 D2 F'
D F2 U' L R2 F' D
D F2 U' L R2 F' D'
D F2 U' L R2 F' D2
D F2 U' L F R2 F'
D F2 U' L F' R2 F'
D F2 U' L F2 R2 F'
L' F2 U2 R2 U L2 F'
L' F2 U2 R2 U F' L2
D F2 U' L' R2 F' L2
R2 F2 U' D F L B2
D F2 U' R2 L D F'
D F2 U' R2 L D' F'
D F2 U' R2 L D2 F'
D F2 U' R2 L F' D
D F2 U' R2 L F' D'
D F2 U' R2 L F' D2
D F2 U' R2 L' F' L2
R2 F2 U' F L D B2
D F2 U' R2 D L F'
D F2 U' R2 D F' L
D F2 U' R2 D' L F'
D F2 U' R2 D' F' L
D F2 U' R2 D2 L F'
D F2 U' R2 D2 F' L
D F2 U' R2 F L F2
D F2 U' R2 F' L D
D F2 U' R2 F' L D'
D F2 U' R2 F' L D2
D F2 U' R2 F' D L
D F2 U' R2 F' D' L
D F2 U' R2 F' D2 L
R2 F2 U' F D L B2
L F2 U B U' B' U'
D F2 U' F L R2 F'
D F2 U' F R2 L F'
D F2 U' F R2 F' L
D F2 U' F' L R2 F'
D F2 U' F' R2 L F'
D F2 U' F' R2 F' L
D F2 U' F2 L R2 F'
D F2 U' F2 R2 L F'
D F2 U' F2 R2 F' L
F2 D2 L' U B U2 L2
F2 D2 L' B2 U' L2 F
L2 F2 D U B R U2
F2 D2 L2 U B U2 L'
D2 F2 D' U' L R2 F'
D2 F2 D' U' R2 L F'
D2 F2 D' U' R2 F' L
R2 F2 D U' F L B2
L' F2 D' B2 L2 U' F
L' F2 D' B2 U B' U2
L2 F2 D' U B R U2
U F2 D R2 U' L F'
U F2 D R2 U' F' L
D' F2 D2 U' L R2 F'
D' F2 D2 U' R2 L F'
D' F2 D2 U' R2 F' L
L' F2 D2 U R2 U2 F'
L' F2 D2 U B R2 U2
L2 F2 D2 U B R U2
L' F2 B U' L2 D F2
L' F2 B' U B2 U2 L2
L' F2 B' U' L2 D2 F2
L' F2 B2 L' U' L' F
L2 F2 B' U R B2 U2
L2 F2 B' U B2 R U2
L2 F2 B' U' D2 F2 L'
L' F2 B2 U B' U2 L2
L' F2 B2 U' L2 D F
L' F2 B2 U' L2 D' F
L' F2 B2 U' L2 D2 F
L' F2 B2 U' L2 F D
L' F2 B2 U' L2 F D'
L' F2 B2 U' L2 F D2
L' F2 B2 U' F L2 F
L' F2 B2 U' F' L2 F
L' F2 B2 U' F2 L2 F
F2 D2 U R' U2 L F
L2 F2 B' D2 U' F2 L'
F2 D2 U R2 U2 L F'
F2 D2 U R2 U2 F' L
F2 D2 U B2 R' B' U2
L2 F2 B2 U R B' U2
F2 D2 U' L R2 F' R2
F2 D2 U' L U2 B U2
L2 F2 B2 U B' R U2
F2 D2 U' R2 L F' R2
F2 D2 U' R2 F' L R2
F2 D2 U' R2 F' R2 L
L F2 B' D L2 U' L2
L F2 B2 L2 U' F L2
F2 D2 U2 R2 U L F'
F2 D2 U2 R2 U F' L
L' B U' L2 D R2 F2
L' B U' L2 D F2 R2
U' B U' F2 U' B' L
F2 D2 B2 U R' B' U2
U' B U2 B' L D R2
U' B U2 B' D L R2
U' B U2 B' D R2 L
U B U' F2 B' U' L
U B U' B' F2 U' L
L' B F2 U' L2 D F2
L2 B' D L2 U' L R2
L2 B' D L2 U' R2 L
L B' D L2 U' L2 R2
L B' D L2 U' R2 L2
L B' D R2 D F2 B2
L B' D R2 D B2 F2
L' B' F2 U B2 U2 L2
L' B' F2 U' L2 D2 F2
F2 B' D L2 B U' L
L2 B' F2 U R B2 U2
L2 B' F2 U B2 R U2
L2 B' F2 U' D2 F2 L'
L2 B' F2 D2 U' F2 L'
F2 B' D B L2 U' L'
L B' F2 D L2 U' L2
F2 B' D2 B U' L F2
F2 B' D2 B U' F2 L
L2 B2 L2 F2 U' L F'
L2 B2 L2 F2 U' F' L
L B2 L2 F2 U' L2 F'
L B2 L2 F2 U' F' L2
B2 F2 L2 U R' U2 F
F2 B2 L2 U R' U2 F
B2 F2 L2 B2 U' F L
F2 B2 L2 B2 U' F L
D' B2 U L2 R' U2 F
D2 B2 U R' B' U2 R
D' B2 U R' L2 U2 F
D' B2 U R' B' L2 U2
U B2 R' D B' U2 R2
U B2 R' D' L2 U2 F
U B2 R' D' B' L2 U2
U B2 R' B' U' F2 U'
U B2 R' B' U2 D R2
U B2 R' B' D U2 R2
U B2 R' B' D' L2 U2
D2 B2 U' R' B' U2 B
L' B2 U' L2 D R2 F
L' B2 U' L2 D F R2
L B2 R2 D B2 R2 F'
B2 F2 U R B' R2 U2
B2 F2 U R' D B' U2
B2 F2 U R' D' B' U2
B2 F2 U R' D2 B' U2
B2 F2 U R' B' U2 D
B2 F2 U R' B' U2 D'
B2 F2 U R' B' U2 D2
B2 F2 U R' B' D U2
B2 F2 U R' B' D' U2
B2 F2 U R' B' D2 U2
B2 F2 U R2 B' R U2
F2 B2 U R B' R2 U2
B2 F2 U D R' B' U2
F2 B2 U R' D B' U2
F2 B2 U R' D' B' U2
F2 B2 U R' D2 B' U2
F2 B2 U R' B' U2 D
F2 B2 U R' B' U2 D'
F2 B2 U R' B' U2 D2
F2 B2 U R' B' D U2
F2 B2 U R' B' D' U2
F2 B2 U R' B' D2 U2
B2 F2 U D' R' B' U2
B2 F2 U D2 R' B' U2
F2 B2 U R2 B' R U2
F2 B2 U D R' B' U2
F2 B2 U D' R' B' U2
F2 B2 U D2 R' B' U2
R2 B2 D F' B2 L R2
R2 B2 D F' B2 R2 L
R2 B2 D B2 L F' R2
B' F2 D L2 B U' L
R2 B2 D B2 F' L R2
R2 B2 D B2 F' R2 L
B' F2 D B L2 U' L'
B2 F2 D U R' B' U2
U B2 D' L2 R' U2 F
F2 B2 D U R' B' U2
U B2 D' R' L2 U2 F
U B2 D' R' B' L2 U2
B2 F2 D' U R' B' U2
F2 B2 D' U R' B' U2
L' B2 F2 L' U' L' F
B' F2 D2 B U' L F2
B' F2 D2 B U' F2 L
L' B2 F2 U B' U2 L2
L' B2 F2 U' L2 D F
L' B2 F2 U' L2 D' F
L' B2 F2 U' L2 D2 F
L' B2 F2 U' L2 F D
L' B2 F2 U' L2 F D'
L' B2 F2 U' L2 F D2
L' B2 F2 U' F L2 F
L' B2 F2 U' F' L2 F
L' B2 F2 U' F2 L2 F
B2 F2 D2 U R' B' U2
F2 B2 D2 U R' B' U2
L2 B2 F2 U R B' U2
L2 B2 F2 U B' R U2
L B2 F2 L2 U' F L2
