B' U' F2 R B2
B' U' F2 B2 R
B' U' B2 F2 R
F2 B R D L2
F2 B D L2 R
F2 B D R L2
B F2 R D L2
B F2 D L2 R
B F2 D R L2
U2 B' U' B2 R' F2 R
U2 B' U' B2 R2 F2 R
U2 B' U' B2 F2 R D
U2 B' U' B2 F2 R D'
U2 B' U' B2 F2 R D2
U2 B' U' B2 F2 D R
U2 B' U' B2 F2 D' R
U2 B' U' B2 F2 D2 R
U B' U F2 R B2 L
B F' L2 F' R D L2
B F' L2 F' D L2 R
B F' L2 F' D R L2
U B' U' R F2 R B2
U B' U' R F2 B2 R
U B' U' R B2 F2 R
D B' U' B2 D' F2 R
F2 B' R B2 L D L2
F2 B' R B2 L' D L2
F2 B' R B2 L2 D L2
U B' U' R' F2 R B2
U B' U' R' F2 B2 R
F2 B' R B2 U B2 U'
U B' U' R' B2 F2 R
F2 B' R B2 D L2 D
F2 B' R B2 D L2 D'
F2 B' R B2 D L2 D2
U B' U' R2 F2 R B2
U B' U' R2 F2 B2 R
U B' U' R2 B2 F2 R
U B' U' F2 R B2 D
U B' U' F2 R B2 D'
U B' U' F2 R B2 D2
U B' U' F2 R' B2 R2
U B' U' F2 B' R B'
U B' U' F2 B2 R D
U B' U' F2 B2 R D'
U B' U' F2 B2 R D2
U B' U' F2 B2 D R
U B' U' F2 B2 D' R
U B' U' F2 B2 D2 R
R B' U' R' F2 B R
R B' U' R' B F2 R
R B' U' R2 F2 R B
U B' U' B' F2 R B'
U B' U' B2 R F2 R
U B' U' B2 R' F2 R
U B' U' B2 R2 F2 R
U B' U' B2 F2 R D
U B' U' B2 F2 R D'
U B' U' B2 F2 R D2
U B' U' B2 F2 D R
U B' U' B2 F2 D' R
U B' U' B2 F2 D2 R
R B' U' F2 R' B R2
F2 B' R' B2 R2 D L2
B' F' U F' R B2 L
D B' D' R2 U' F2 R
F' B' U F' R B2 L
B' F' U' F' R B2 D
B' F' U' F' R B2 D'
B' F' U' F' R B2 D2
B' F' U' F' R' B2 R2
B' F' U' F' B' R B'
B' F' U' F' B2 R D
B' F' U' F' B2 R D'
B' F' U' F' B2 R D2
B' F' U' F' B2 D R
B' F' U' F' B2 D' R
B' F' U' F' B2 D2 R
B' F' U' B' F' R B'
B' F' U' B2 F' R D
B' F' U' B2 F' R D'
B' F' U' B2 F' R D2
B' F' U' B2 F' D R
B' F' U' B2 F' D' R
B' F' U' B2 F' D2 R
F' B' U' F' R B2 D
F' B' U' F' R B2 D'
F' B' U' F' R B2 D2
F' B' U' F' R' B2 R2
U' B' F' U' F' R B2
U' B' F' U' F' B2 R
U' B' F' U' B2 F' R
F' B' U' F' B' R B'
F' B' U' F' B2 R D
F' B' U' F' B2 R D'
F' B' U' F' B2 R D2
F' B' U' F' B2 D R
F' B' U' F' B2 D' R
F' B' U' F' B2 D2 R
F' B' U' B' F' R B'
F' B' U' B2 F' R D
F' B' U' B2 F' R D'
F' B' U' B2 F' R D2
F' B' U' B2 F' D R
F' B' U' B2 F' D' R
F' B' U' B2 F' D2 R
B F' U B2 U' F' R
U' B' F2 R B2 D L2
D' B' F2 L2 U' R B2
D' B' F2 L2 U' B2 R
U2 B' F' U' F' R B2
U2 B' F' U' F' B2 R
U2 B' F' U' B2 F' R
U2 B' F2 R B2 D L2
U B' F' U' F' R B2
U B' F' U' F' B2 R
B F' D L2 D' F' R
U B' F' U' B2 F' R
U B' F2 R B2 D L2
B' F2 L R B2 D L2
B' F2 L B2 R D L2
B' F2 L B2 D L2 R
B' F2 L B2 D R L2
B' F2 L' R B2 D L2
B F2 L R U B2 U'
B F2 L R D L2 D
B F2 L R D L2 D'
B F2 L R D L2 D2
B F2 L R2 D L2 R'
B F2 L R2 D R' L2
B F2 L U B2 U' R
B' F2 L' B2 R D L2
B' F2 L' B2 D L2 R
B' F2 L' B2 D R L2
B' F2 L2 R B2 D L2
B F2 L D L2 R D
B F2 L D L2 R D'
B F2 L D L2 R D2
B F2 L D L2 D R
B F2 L D L2 D' R
B F2 L D L2 D2 R
B F2 L D R L2 D
B F2 L D R L2 D'
B F2 L D R L2 D2
B F2 L D2 R D' L2
B F2 L' R U B2 U'
B F2 L' R D L2 D
B F2 L' R D L2 D'
B F2 L' R D L2 D2
B F2 L' R2 D L2 R'
B F2 L' R2 D R' L2
B F2 L' U B2 U' R
B' F2 L2 B2 R D L2
B' F2 L2 B2 D L2 R
B' F2 L2 B2 D R L2
B' F2 R L B2 D L2
B F2 L' D L2 R D
B F2 L' D L2 R D'
B F2 L' D L2 R D2
B F2 L' D L2 D R
B F2 L' D L2 D' R
B F2 L' D L2 D2 R
B F2 L' D R L2 D
B F2 L' D R L2 D'
B F2 L' D R L2 D2
B' F2 R L' B2 D L2
B' F2 R L2 B2 D L2
B F2 L' D2 R D' L2
B F2 L2 R U B2 U'
B F2 L2 R D L2 D
B F2 L2 R D L2 D'
B F2 L2 R D L2 D2
B F2 L2 R2 D L2 R'
B F2 L2 R2 D R' L2
B' F2 R B2 L D L2
B' F2 R B2 L' D L2
B' F2 R B2 L2 D L2
B F2 L2 U B2 U' R
B' F2 R B2 U B2 U'
B' F2 R B2 D L2 D
B' F2 R B2 D L2 D'
B' F2 R B2 D L2 D2
B F2 L2 D L2 R D
B F2 L2 D L2 R D'
B F2 L2 D L2 R D2
B F2 L2 D L2 D R
B F2 L2 D L2 D' R
B F2 L2 D L2 D2 R
B F2 L2 D R L2 D
B F2 L2 D R L2 D'
B F2 L2 D R L2 D2
B2 F2 R D B' L D
B2 F2 R D B' L D'
B2 F2 R D B' L D2
B2 F2 R D B' D L
B2 F2 R D B' D' L
B2 F2 R D B' D2 L
B F2 L2 D2 R D' L2
F2 B2 R D B' L D
F2 B2 R D B' L D'
F2 B2 R D B' L D2
F2 B2 R D B' D L
F2 B2 R D B' D' L
F2 B2 R D B' D2 L
B F2 R L U B2 U'
B F2 R L D L2 D
B F2 R L D L2 D'
B F2 R L D L2 D2
B F2 R L' U B2 U'
B F2 R L' D L2 D
B F2 R L' D L2 D'
B F2 R L' D L2 D2
B F2 R L2 U B2 U'
B F2 R L2 D L2 D
B F2 R L2 D L2 D'
B F2 R L2 D L2 D2
B' F2 R' B2 R2 D L2
B F2 R U B2 U' D
B F2 R U B2 U' D'
B F2 R U B2 U' D2
B F2 R U B2 D U'
B F2 R U B2 D' U'
B F2 R U B2 D2 U'
B F2 R U' D2 F2 U
B F2 R U2 D' R2 U2
B F2 R D L D L
B F2 R D L D' L
B F2 R D L D2 L
B F2 R D L' D L'
B F2 R D L' D' L'
B F2 R D L' D2 L'
B F2 R D F L2 F'
B F2 R D F2 L2 F2
B F2 R D B' L2 B
B F2 R D B2 L2 B2
B F2 R D' L D2 L2
B F2 R D' L' D2 L2
B F2 R D' L2 D2 L2
B F2 R D' U2 R2 U2
B F2 R D2 L D' L2
B F2 R D2 L' D' L2
B F2 R D2 L2 D' L2
B F2 R D2 U' F2 U
B F2 R F D L2 F'
B F2 R F D F' L2
B F2 R F' D F L2
B F2 R' U B2 U' R2
B F2 R' D L2 D' R2
L' B2 U2 F2 D' B' L
B F2 R2 L D L2 R'
B F2 R2 L D R' L2
B F2 R2 L' D L2 R'
B F2 R2 L' D R' L2
B F2 R2 L2 D L2 R'
B F2 R2 L2 D R' L2
B F2 R2 D L2 R' D
B F2 R2 D L2 R' D'
B F2 R2 D L2 R' D2
B F2 R2 D L2 D R'
B F2 R2 D L2 D' R'
B F2 R2 D L2 D2 R'
B F2 R2 D R' L2 D
B F2 R2 D R' L2 D'
B F2 R2 D R' L2 D2
B F2 R2 D2 R' D' L2
B2 F2 U B U' R B2
B2 F2 U B U' B2 R
F2 B2 U B U' R B2
F2 B2 U B U' B2 R
B F2 U B2 U' R D
B F2 U B2 U' R D'
B F2 U B2 U' R D2
B F2 U B2 U' D R
B F2 U B2 U' D' R
B F2 U B2 U' D2 R
B F2 U B2 D U' R
B F2 U B2 D' U' R
B F2 U B2 D2 U' R
B2 F2 D R D B' L
F2 B2 D R D B' L
B F2 U2 D' R2 U2 R'
B2 F2 D B' R D L2
B2 F2 D B' D L2 R
B2 F2 D B' D R L2
B F2 D L R D L
B F2 D L R D' L
B F2 D L R D2 L
B F2 D L D L R
B F2 D L D R L
B F2 D L D' L R
B F2 D L D' R L
B F2 D L D2 L R
B F2 D L D2 R L
F2 B2 D B' R D L2
B F2 D L' R D L'
B F2 D L' R D' L'
B F2 D L' R D2 L'
F2 B2 D B' D L2 R
F2 B2 D B' D R L2
B F2 D L' D L' R
B F2 D L' D R L'
B F2 D L' D' L' R
B F2 D L' D' R L'
B F2 D L' D2 L' R
B F2 D L' D2 R L'
B F2 D L2 R2 D R'
B F2 D L2 R2 D' R'
B F2 D L2 R2 D2 R'
B F2 D L2 D R D
B F2 D L2 D R D'
B F2 D L2 D R D2
B F2 D L2 D' R D
B F2 D L2 D' R D'
B F2 D L2 D' R D2
B F2 D L2 D2 R D
B F2 D L2 D2 R D'
B F2 D L2 D2 R D2
B F2 D L2 B R B'
B F2 D L2 B2 R B2
B F2 D R L D L
B F2 D R L D' L
B F2 D R L D2 L
B F2 D R L' D L'
B F2 D R L' D' L'
B F2 D R L' D2 L'
B2 F2 D' R D B' L
B F2 D R F L2 F'
B F2 D R F2 L2 F2
L2 B2 F U R' F B'
L2 B2 F U R' B' F
B F2 D R B' L2 B
B F2 D R B2 L2 B2
L2 B2 F U F R' B'
B F2 D R2 L2 D R'
B F2 D R2 L2 D' R'
B F2 D R2 L2 D2 R'
F2 B2 D' R D B' L
U' B2 F2 R D B' L
B F2 D F L2 F' R
B F2 D B R B' L2
B2 F2 D' B' R D L2
B F2 D B' L2 B R
B2 F2 D' B' D L2 R
B2 F2 D' B' D R L2
B F2 D B2 L2 R B2
B F2 D B2 L2 B2 R
B F2 D B2 R L2 B2
B F2 D B2 R B2 L2
B F2 D' L D2 L2 R
B F2 D' L D2 R L2
F2 B2 D' B' R D L2
F2 B2 D' B' D L2 R
F2 B2 D' B' D R L2
B F2 D' L' D2 L2 R
B F2 D' L' D2 R L2
B F2 D' L2 D2 L2 R
B F2 D' L2 D2 R L2
B F2 D' R U2 R U2
B2 F2 D2 R D B' L
B F2 D' R F2 L' F2
F2 B2 D2 R D B' L
B F2 D' U2 R2 U2 R'
U2 B2 F2 R D B' L
L2 B2 F2 R' D B' L
B2 F2 D2 B' R D L2
B2 F2 D2 B' D L2 R
B2 F2 D2 B' D R L2
B F2 D2 L R D' L2
B F2 D2 L D' L2 R
B F2 D2 L D' R L2
F2 B2 D2 B' R D L2
B F2 D2 L' R D' L2
F2 B2 D2 B' D L2 R
F2 B2 D2 B' D R L2
B F2 D2 L' D' L2 R
B F2 D2 L' D' R L2
B F2 D2 L2 R D' L2
B F2 D2 L2 D' L2 R
B F2 D2 L2 D' R L2
B F2 D2 R L D' L2
B F2 D2 R L' D' L2
B F2 D2 R L2 D' L2
B F2 D2 R U' F2 U
B F2 D2 R D' L2 D
B F2 D2 R D' L2 D'
B F2 D2 R D' L2 D2
B F2 D2 R2 D' L2 R'
B F2 D2 R2 D' R' L2
U B2 F2 R D B' L
