F2 L' D' B2
U' L U F2 L'
F2 L' U' L2 U
F2 L' D' B2 D
F2 L' D' B2 D'
F2 L' D' B2 D2
F2 L' B D' B2
F2 L' B' D' B2
F2 L' B2 D' B2
F2 U' L U L2
F2 D L' D' B2
F2 D' L' D' B2
L' F2 D' L' B2
L' F2 D' B2 L'
F2 D2 L' D' B2
L2 F2 R' D B2 L' R
L2 F2 R' D B2 R L'
F2 D' B L2 D L B'
F2 D' B D L B' L2
U2 F2 R2 L' D' B2 R'
D F2 R2 L U L2 R2
D F2 R2 L U R2 L2
L' F2 U D2 R2 U' L'
L2 F2 U R U' L' D
L2 F2 U R U' L' D'
L2 F2 U R U' L' D2
L2 F2 U R U' D L'
L2 F2 U R U' D' L'
L2 F2 U R U' D2 L'
L2 F2 U R D U' L'
L2 F2 U R D' U' L'
L2 F2 U R D2 U' L'
L2 F2 U R B U' L'
L2 F2 U R B' U' L'
L2 F2 U R B2 U' L'
F2 D' B2 L' U R' U'
L2 F2 U D R U' L'
L2 F2 U D' R U' L'
L' F2 U' L2 U L D
L' F2 U' L2 U L D'
L' F2 U' L2 U L D2
L' F2 U' L2 U D L
L' F2 U' L2 U D' L
L' F2 U' L2 U D2 L
L' F2 U' L2 D U L
L' F2 U' L2 D' U L
L' F2 U' L2 D2 U L
L2 F2 U D2 R U' L'
L' F2 U' L2 F U L
L' F2 U' L2 F' U L
L' F2 U' L2 F2 U L
F2 D' B2 U R' U' L'
L2 F2 U B R U' L'
L2 F2 U B' R U' L'
L2 F2 U B2 R U' L'
D F2 U' L R2 U L2
L' F2 U2 D F2 R U2
D F2 U' R2 L U L2
L F2 U B U' B' L'
F2 D2 L B L2 D' B2
L F2 U B' U' L' B
L F2 U B' U' B L'
F2 D2 L B' L2 D' B2
L F2 U B2 U' L' B2
L F2 U B2 U' B2 L'
F2 D2 L B2 L2 D' B2
F2 D2 L' R D' R' B2
D' F2 D L' F2 D' B2
F2 D2 L' R' D' R B2
F2 D2 L' R' D' B2 R
F' D2 L' D' F' L' B2
F' D2 L' D' F' B2 L'
F' D2 L' D' B2 F' L'
L' F2 D L' U2 F2 U2
L' F2 D L' D2 B2 D
L' F2 D L' D2 B2 D'
L' F2 D L' D2 B2 D2
F2 D2 L' U D2 R2 U'
L' F2 D L' B D2 B2
L' F2 D L' B' D2 B2
L' F2 D L' B2 D2 B2
F2 D2 L' U' L2 U D
F2 D2 L' U' L2 U D'
F2 D2 L' U' L2 U D2
F2 D2 L' U' L2 D U
F2 D2 L' U' L2 D' U
F2 D2 L' U' L2 D2 U
L' F2 D L2 D2 L B2
F2 D2 L' U2 D F2 U2
F' D2 L' F' D' L' B2
F' D2 L' F' D' B2 L'
F2 D2 L' D U2 F2 U2
F2 D2 L' D B D2 B2
F2 D2 L' D B' D2 B2
F2 D2 L' D B2 D2 B2
F2 D2 L' D' L B2 L'
F2 D2 L' D' L2 B2 L2
F2 D2 L' D' R' B2 R
F2 D2 L' D' R2 B2 R2
F2 D2 L' D' B D B
F2 D2 L' D' B D' B
F2 D2 L' D' B D2 B
F2 D2 L' D' B' D B'
F2 D2 L' D' B' D' B'
F2 D2 L' D' B' D2 B'
F2 D2 L' D2 U R2 U'
F2 D2 L' D2 B D B2
F2 D2 L' D2 B' D B2
F2 D2 L' D2 B2 D B2
F2 D2 L' F D' F' B2
F2 D2 L' F D' B2 F'
L' F2 D U2 F2 R U2
F2 D2 L' F' D' F B2
F2 D2 L' F' D' B2 F
L2 F2 D L' U R U'
U2 F2 D L' D' B2 R'
F2 D2 L' B U' L2 U
F2 D2 L' B D' B2 D
F2 D2 L' B D' B2 D'
F2 D2 L' B D' B2 D2
L' F2 D B L' D2 B2
F2 D2 L' B' U' L2 U
F2 D2 L' B' D' B2 D
F2 D2 L' B' D' B2 D'
F2 D2 L' B' D' B2 D2
L' F2 D B D2 L' B2
L' F2 D B D2 B2 L'
L' F2 D B' L' D2 B2
F2 D2 L' B2 U' L2 U
F2 D2 L' B2 D' B2 D
F2 D2 L' B2 D' B2 D'
F2 D2 L' B2 D' B2 D2
L' F2 D B' D2 L' B2
L' F2 D B' D2 B2 L'
D2 F2 D' L' D' F2 B2
D2 F2 D' L' D' B2 F2
L' F2 D B2 L' D2 B2
L' F2 D B2 D2 L' B2
L' F2 D B2 D2 B2 L'
L' F2 D' L B L2 B
L2 F2 D U R U' L'
L' F2 D' L B2 L2 D
L' F2 D' L B2 L2 D'
L' F2 D' L B2 L2 D2
L' F2 D' L' R' B2 R
L' F2 D' L' R2 B2 R2
L' F2 D' L' B D B
L' F2 D' L' B D' B
L' F2 D' L' B D2 B
L' F2 D' L' B' D B'
L' F2 D' L' B' D' B'
L' F2 D' L' B' D2 B'
F2 D2 L2 U' L' U L2
L' F2 D' R' L' B2 R
F2 D2 L2 D L D' B2
L' F2 D' R' B2 L' R
L' F2 D' R' B2 R L'
L' F2 D' R2 L' B2 R2
F2 D2 L2 D' L D' B2
L' F2 D' R2 B2 L' R2
L' F2 D' R2 B2 R2 L'
F2 D2 L2 D2 L D' B2
L2 F2 D' L' U R U'
U2 F2 D' L' D' B2 R'
L' F2 D' B L B L2
L' F2 D' B L' D B
L' F2 D' B L' D' B
L' F2 D' B L' D2 B
L' F2 D' B L' B D
L' F2 D' B L' B D'
L' F2 D' B L' B D2
L' F2 D' B D L' B
L' F2 D' B D B L'
L' F2 D' B D' L' B
L' F2 D' B D' B L'
L' F2 D' B D2 L' B
L' F2 D' B D2 B L'
L' F2 D' B' D B' L'
L' F2 D' B' D' B' L'
L' F2 D' B' D2 B' L'
U F2 D L' R2 D' B2
L' F2 D' B2 L2 D L
L' F2 D' B2 L2 D' L
L' F2 D' B2 L2 D2 L
D2 F2 D2 L' F2 D' B2
D' F2 D2 L' D' F2 B2
D' F2 D2 L' D' B2 F2
L F2 D L' U' L U
L' F2 D' B2 D L' D
L' F2 D' B2 D L' D'
L' F2 D' B2 D L' D2
L' F2 D' B2 D' L' D
L' F2 D' B2 D' L' D'
L' F2 D' B2 D' L' D2
L' F2 D' B2 D2 L' D
L' F2 D' B2 D2 L' D'
L' F2 D' B2 D2 L' D2
F2 D2 R L' D' R' B2
L F2 D L2 D' L B2
L2 F2 D' U R U' L'
L' F2 D2 L' U R2 U'
L' F2 D2 L' D B2 D
L' F2 D2 L' D B2 D'
L' F2 D2 L' D B2 D2
L' F2 D2 L' B D B2
L' F2 D2 L' B' D B2
L' F2 D2 L' B2 D B2
L' F2 D2 L2 D L B2
U F2 D R2 L' D' B2
D F2 D' L' F2 D' B2
L' F2 D2 U R2 U' L'
L2 F2 D2 L' U R U'
U2 F2 D2 L' D' B2 R'
L' F2 D2 B L' D B2
L' F2 D2 B D L' B2
L' F2 D2 B D B2 L'
L' F2 D2 B' L' D B2
L' F2 D2 B' D L' B2
L' F2 D2 B' D B2 L'
L' F2 D2 B2 L' D B2
L' F2 D2 B2 D L' B2
L F2 D' L' U' L U
L' F2 D2 B2 D B2 L'
F2 D2 R' L' D' R B2
F2 D2 R' L' D' B2 R
L F2 D' L2 D' L B2
L2 F2 D2 U R U' L'
L' F2 B L' U' L' U
L' F2 B U' L2 U L
L' F2 B D L' D2 B2
L' F2 B D' L B2 L2
L' F2 B D' L' B2 D
L' F2 B D' L' B2 D'
L' F2 B D' L' B2 D2
L2 F2 B L' U R U'
L' F2 B D' B L' B
L' F2 B D' B2 L' D
L' F2 B D' B2 L' D'
L' F2 B D' B2 L' D2
L' F2 B D' B2 D L'
L' F2 B D' B2 D' L'
L' F2 B D' B2 D2 L'
L' F2 B D2 L' D B2
L' F2 B' L' U' L' U
L F2 D2 L' U' L U
U F2 D2 L' D' R2 B2
U F2 D2 L' D' B2 R2
L F2 D2 L2 D' L B2
L2 F2 B U R U' L'
L' F2 B' U' L2 U L
L' F2 B' D L' D2 B2
L' F2 B' D' L B2 L2
L' F2 B' D' L' B2 D
L' F2 B' D' L' B2 D'
L' F2 B' D' L' B2 D2
L2 F2 B' L' U R U'
L' F2 B' D' B L' B
L' F2 B' D' B2 L' D
L' F2 B' D' B2 L' D'
L' F2 B' D' B2 L' D2
L' F2 B' D' B2 D L'
L' F2 B' D' B2 D' L'
L' F2 B' D' B2 D2 L'
L' F2 B' D2 L' D B2
L' F2 B2 L' U' L' U
L2 F2 B' U R U' L'
L F2 B L' U' L U
L F2 B L2 D' L B2
L' F2 B2 U' L2 U L
L' F2 B2 D L' D2 B2
L' F2 B2 D' L B2 L2
L' F2 B2 D' L' B2 D
L' F2 B2 D' L' B2 D'
L' F2 B2 D' L' B2 D2
L2 F2 B2 L' U R U'
L' F2 B2 D' B L' B
L' F2 B2 D' B2 L' D
L' F2 B2 D' B2 L' D'
L' F2 B2 D' B2 L' D2
F' D2 U' L U F' L'
L' F2 B2 D' B2 D L'
L' F2 B2 D' B2 D' L'
L' F2 B2 D' B2 D2 L'
L' F2 B2 D2 L' D B2
F2 D2 U B' U' L' B'
F2 D2 U B2 R' U' L'
L2 F2 B2 U R U' L'
F2 D2 U' L U L2 D
F2 D2 U' L U L2 D'
F2 D2 U' L U L2 D2
F2 D2 U' L D F2 U
F2 D2 U' L F U L2
F2 D2 U' L F' U L2
F2 D2 U' L F2 U L2
L F2 B' L' U' L U
L F2 B' L2 D' L B2
L' B L F2 L' D' B2
L F2 B2 L' U' L U
L F2 B2 L2 D' L B2
L2 B L F2 D' L' B2
L2 B L F2 D' B2 L'
F' D2 F' L' U' L2 U
F' D2 F' L' D' B2 D
F' D2 F' L' D' B2 D'
F' D2 F' L' D' B2 D2
F' D2 F' L' B D' B2
F' D2 F' L' B' D' B2
F' D2 F' L' B2 D' B2
F' D2 F' U' L U L2
F' D2 F' D L' D' B2
F' D2 F' D' L' D' B2
F' D2 F' D2 L' D' B2
L2 B L2 F2 L' D' B2
L B L' F2 L' D' B2
L B L2 F2 D' L' B2
L B L2 F2 D' B2 L'
F2 D2 B L2 D L B'
F2 D2 B D L B' L2
L B R' U R F2 L'
F2 D2 B2 L' U R' U'
L B R2 U R2 F2 L'
L' B U' L2 U F2 L'
F2 D2 B2 U R' U' L'
L2 B U' L' U F2 L'
L B U F2 L' D R2
L B U F2 D L' R2
L B U F2 D R2 L'
F2 B L' R D' R' B
D' B D L F2 B' L'
D' B D L B' F2 L'
D' B D L2 F2 L' B'
F2 B L' D L B' L'
F2 B L' D' R' B R
D' B D F2 L B' L2
F2 B L' B U R' U'
F2 B L' B' U' L U
F2 B L2 D L D B'
F2 B L2 D L D' B'
F2 B L2 D L D2 B'
F2 B L2 D L B' D
F2 B L2 D L B' D'
F2 B L2 D L B' D2
F2 B R L' D' R' B
L' B D' B2 D F2 L'
F2 B R D' L' R' B
F2 B R D' R' L' B
F2 B R D' R' B L'
B2 F R' U' R F L'
L' B F' D' F' L' B2
L' B F' D' F' B2 L'
L' B F' D' B2 F' L'
L' B F2 L' U' L' U
B2 F U R' U' F L'
L' B F2 U' L2 U L
L' B F2 D L' D2 B2
L' B F2 D' L B2 L2
L' B F2 D' L' B2 D
L' B F2 D' L' B2 D'
L' B F2 D' L' B2 D2
L' B F2 D' B L' B
L2 B F2 L' U R U'
L' B F2 D' B2 L' D
L' B F2 D' B2 L' D'
L' B F2 D' B2 L' D2
L' B F2 D' B2 D L'
L' B F2 D' B2 D' L'
L' B F2 D' B2 D2 L'
L' B F2 D2 L' D B2
F2 B U B R' U' L'
L2 B F2 U R U' L'
F2 B U B2 U' L' B'
L' B' L F2 L' D' B2
L B F2 L' U' L U
L B F2 L2 D' L B2
L2 B' L F2 D' L' B2
L2 B' L F2 D' B2 L'
F' B D L F' B' L'
F' B D L B' F' L'
F' B D L2 F' L' B'
U B' L U' F2 L' B'
F2 B D L B L2 B2
F2 B D L B' L2 D
F2 B D L B' L2 D'
F2 B D L B' L2 D2
F2 B D L B2 L2 B
F2 B D L' U2 F U2
F' B D F' L B' L2
F2 B D B L B' L2
F2 B D B' L B' L2
U B' L' U' F2 L' B'
F2 B D B2 L B' L2
L2 B' L2 F2 L' D' B2
F2 B D' L' R' B R
F2 B D' L2 D2 L B'
F2 B D' R' L' B R
L B' L' F2 L' D' B2
F2 B D' R' B L' R
F2 B D' R' B R L'
U B' L2 U' F2 L' B'
F2 B D2 L2 D' L B'
L B' L2 F2 D' L' B2
L B' L2 F2 D' B2 L'
R' B' U R F2 L' B
R' B' U R F2 B L'
R' B' U R B F2 L'
L B' R' U R F2 L'
F2 B' L' U R U' B
F2 B' L' U' L' U B'
R' B' U' R F2 L' B'
L' B' U' L2 U F2 L'
L B' R2 U R2 F2 L'
F2 B' L' B U' L U
F2 B' L' B' U R' U'
L2 B' U' L' U F2 L'
U B' U R U2 F2 B
U B' U R U2 B F2
L B' U F2 L' D R2
L B' U F2 D L' R2
L B' U F2 D R2 L'
U B' U' L' F2 B' L'
U B' U' L' B' F2 L'
U B' U' F2 L' D B'
U B' U' F2 L' D' B'
U B' U' F2 L' D2 B'
U B' U' F2 L' B' D
U B' U' F2 L' B' D'
U B' U' F2 L' B' D2
U B' U' F2 D L' B'
U B' U' F2 D' L' B'
U B' U' F2 D2 L' B'
U B' U' F2 B L' B'
U B' U' F2 B' L' B'
U B' U' F2 B2 L' B'
U B' U' B F2 L' B'
U B' U' B' F2 L' B'
U B' U' B2 F2 L' B'
L' B' D' B2 D F2 L'
F2 B' U R U' L' B
F2 B' U R U' B L'
F2 B' U' L U L2 B'
F2 B' U' L2 U L B'
L' B' F' D' F' L' B2
L' B' F' D' F' B2 L'
L' B' F' D' B2 F' L'
L' B' F2 L' U' L' U
L' B' F2 U' L2 U L
L' B' F2 D L' D2 B2
L' B' F2 D' L B2 L2
L' B' F2 D' L' B2 D
L' B' F2 D' L' B2 D'
L' B' F2 D' L' B2 D2
L2 B' F2 L' U R U'
L' B' F2 D' B L' B
L' B' F2 D' B2 L' D
L' B' F2 D' B2 L' D'
L' B' F2 D' B2 L' D2
L' B' F2 D' B2 D L'
L' B' F2 D' B2 D' L'
L' B' F2 D' B2 D2 L'
L' B' F2 D2 L' D B2
L2 B' F2 U R U' L'
L' B2 L F2 L' D' B2
F2 B' D B L' D' B2
B F' D L F' B' L'
B F' D L B' F' L'
B F' D L2 F' L' B'
L B' F2 L' U' L U
L B' F2 L2 D' L B2
L2 B2 L F2 D' L' B2
L2 B2 L F2 D' B2 L'
B F' D F' L B' L2
F2 B' D' B L' D' B2
F2 B' D2 B L' D' B2
R B2 L U' R' U' F2
B2 F2 L U R' U' L2
D2 B2 R U' R2 U' R
D2 B2 R U2 D R' B2
F2 B2 L U R' U' L2
D2 B2 R D U2 R' B2
D2 B2 R D' F2 U2 R'
B' F2 L' U R U' B
B' F2 L' U' L' U B'
L2 B2 L2 F2 L' D' B2
R' B2 R F2 L' D B2
R' B2 R F2 D L' B2
R' B2 R F2 D B2 L'
L B2 L' F2 L' D' B2
B2 F2 L' R D R' B2
B' F2 L' B U' L U
U2 B2 R U' R2 U' F2
F2 B2 L' R D R' B2
R' B2 R' U' R2 F2 L'
B2 F2 L' U R' U' D
B2 F2 L' U R' U' D'
B2 F2 L' U R' U' D2
B2 F2 L' U R' D U'
B2 F2 L' U R' D' U'
B2 F2 L' U R' D2 U'
B2 F2 L' U D R' U'
B' F2 L' B' U R' U'
B2 F2 L' U D' R' U'
B2 F2 L' U D2 R' U'
U2 B2 R U2 F2 D B2
F2 B2 L' U R' U' D
F2 B2 L' U R' U' D'
F2 B2 L' U R' U' D2
F2 B2 L' U R' D U'
F2 B2 L' U R' D' U'
F2 B2 L' U R' D2 U'
F2 B2 L' U D R' U'
F2 B2 L' U D' R' U'
F2 B2 L' U D2 R' U'
B2 F2 L' D U R' U'
B2 F2 L' D' U R' U'
B2 F2 L' D2 U R' U'
F2 B2 L' D U R' U'
F2 B2 L' D' U R' U'
F2 B2 L' D2 U R' U'
B2 F2 L' B2 U' L U
B F2 L' R D' R' B
L B2 L2 F2 D' L' B2
L B2 L2 F2 D' B2 L'
F2 B2 L' B2 U' L U
B2 F2 L2 U R' U' L
F2 B2 L2 U R' U' L
B F2 L' D L B' L'
B F2 L' D' R' B R
R2 B2 R' U' L R' F2
R2 B2 R' U' L F2 R'
R2 B2 R' U' R' L F2
R2 B2 R' U' R' F2 L
R2 B2 R' U' F2 L R'
R2 B2 R' U' F2 R' L
B F2 L' B U R' U'
B F2 L' B' U' L U
B2 F2 R L' D R' B2
F2 B2 R L' D R' B2
B F2 L2 D L D B'
B F2 L2 D L D' B'
B F2 L2 D L D2 B'
B F2 L2 D L B' D
B F2 L2 D L B' D'
B F2 L2 D L B' D2
B2 F2 R D L' R' B2
B2 F2 R D R' L' B2
B2 F2 R D R' B2 L'
L B2 R' U R F2 L'
F2 B2 R D L' R' B2
U B2 R' U R2 U2 F2
F2 B2 R D R' L' B2
F2 B2 R D R' B2 L'
U B2 R' U' F2 D2 L2
B F2 R L' D' R' B
R2 B2 R2 F2 L D' B2
L' B2 U' L2 U F2 L'
B F2 R D' L' R' B
B F2 R D' R' L' B
B F2 R D' R' B L'
L B2 R2 U R2 F2 L'
L2 B2 U' L' U F2 L'
B' F2 U R U' L' B
B' F2 U R U' B L'
F B2 R' U' R F L'
L B2 U F2 L' D R2
L B2 U F2 D L' R2
L B2 U F2 D R2 L'
B' F2 U' L U L2 B'
B2 F2 U R' U' L' D
B2 F2 U R' U' L' D'
B2 F2 U R' U' L' D2
B2 F2 U R' U' D L'
B2 F2 U R' U' D' L'
B2 F2 U R' U' D2 L'
B2 F2 U R' D U' L'
B2 F2 U R' D' U' L'
B2 F2 U R' D2 U' L'
B2 F2 U R' B U' L'
B2 F2 U R' B' U' L'
B2 F2 U R' B2 U' L'
B' F2 U' L2 U L B'
B2 F2 U D R' U' L'
F2 B2 U R' U' L' D
F2 B2 U R' U' L' D'
F2 B2 U R' U' L' D2
F2 B2 U R' U' D L'
F2 B2 U R' U' D' L'
F2 B2 U R' U' D2 L'
F2 B2 U R' D U' L'
F2 B2 U R' D' U' L'
F2 B2 U R' D2 U' L'
F2 B2 U R' B U' L'
B2 F2 U D' R' U' L'
F2 B2 U R' B' U' L'
F2 B2 U R' B2 U' L'
B2 F2 U D2 R' U' L'
F2 B2 U D R' U' L'
F2 B2 U D' R' U' L'
F2 B2 U D2 R' U' L'
B2 F2 U B U' L' B'
F2 B2 U B U' L' B'
B F2 U B R' U' L'
F B2 U R' U' F L'
B F2 U B2 U' L' B'
L' B2 D' B2 D F2 L'
B' F2 D B L' D' B2
B2 F2 D L' U R' U'
F2 B2 D L' U R' U'
B2 F2 D U R' U' L'
F2 B2 D U R' U' L'
B2 F2 D B2 L' D' B2
B' F2 D' B L' D' B2
B F2 D L B L2 B2
B F2 D L B' L2 D
B F2 D L B' L2 D'
B F2 D L B' L2 D2
B F2 D L B2 L2 B
B2 F2 D' L' U R' U'
B F2 D L' U2 F U2
F2 B2 D B2 L' D' B2
F2 B2 D' L' U R' U'
B2 F2 D' U R' U' L'
F2 B2 D' U R' U' L'
L' B2 F' D' F' L' B2
L' B2 F' D' F' B2 L'
L' B2 F' D' B2 F' L'
B F2 D B L B' L2
B F2 D B' L B' L2
L' B2 F2 L' U' L' U
B2 F2 D' B2 L' D' B2
B F2 D B2 L B' L2
B' F2 D2 B L' D' B2
B2 F2 D2 L' U R' U'
B F2 D' L' R' B R
F2 B2 D' B2 L' D' B2
B F2 D' L2 D2 L B'
F2 B2 D2 L' U R' U'
B F2 D' R' L' B R
L' B2 F2 U' L2 U L
B F2 D' R' B L' R
B F2 D' R' B R L'
B2 F2 D2 U R' U' L'
L' B2 F2 D L' D2 B2
L' B2 F2 D' L B2 L2
L' B2 F2 D' L' B2 D
L' B2 F2 D' L' B2 D'
L' B2 F2 D' L' B2 D2
L' B2 F2 D' B L' B
L2 B2 F2 L' U R U'
L' B2 F2 D' B2 L' D
L' B2 F2 D' B2 L' D'
L' B2 F2 D' B2 L' D2
L' B2 F2 D' B2 D L'
L' B2 F2 D' B2 D' L'
L' B2 F2 D' B2 D2 L'
F2 B2 D2 U R' U' L'
L' B2 F2 D2 L' D B2
L2 B2 F2 U R U' L'
B2 F2 D2 B2 L' D' B2
F2 B2 D2 B2 L' D' B2
B F2 D2 L2 D' L B'
L B2 F2 L' U' L U
L B2 F2 L2 D' L B2
