R' D2 F' B R2
R' D2 B F' R2
R D2 R2 F' B
R D2 R2 B F'
R' F' D2 B R2
R' F' B D2 R2
R' B D2 F' R2
R' B F' D2 R2
R' F' B D2 F' R2 F
R' F' B D2 F2 R2 F2
R' F' B D2 B R2 B'
R' F' B D2 B2 R2 B2
R' F' B' L B2 L' R'
R' F' B' L B2 R' L'
R' F' B' R B2 D2 R2
R' F' B' R' B2 D2 R2
R' F' B' R2 B2 D2 R2
R' F' B' U2 L2 U2 B2
R' F' B' D2 R2 D2 B2
R' F' B2 R D2 R2 B'
R' F' B2 R D2 B' R2
R' F' B2 R B' D2 R2
R F' D2 F R2 F' B
R F' D2 F R2 B F'
R' F' B2 R' D2 R2 B'
R' F' B2 R' D2 B' R2
R' F' B2 R' B' D2 R2
R' F' B2 R2 D2 R2 B'
R' F' B2 R2 D2 B' R2
R' F' B2 R2 B' D2 R2
R' F' B2 U2 L2 F U2
R' F' B2 D B' D R2
R' F' B2 D2 R B' R
R' F' B2 D2 R2 D B'
R' F' B2 D2 R2 D' B'
R' F' B2 D2 R2 D2 B'
R' F' B2 D2 R2 B' D
R' F' B2 D2 R2 B' D'
R' F' B2 D2 R2 B' D2
R' F' B2 D2 B R2 B2
R' F' B2 D2 B' R2 D
R' F' B2 D2 B' R2 D'
R' F' B2 D2 B' R2 D2
R F' B L2 R U2 L2
R F' B L2 R' U2 L2
R F' B L2 R2 U2 L2
R F' B L2 U2 L2 D
R F' B L2 U2 L2 D'
R F' B L2 U2 L2 D2
R F' B L2 D2 R2 U2
R F' B R L2 U2 L2
R F' B R' L2 U2 L2
R F' B R2 L2 U2 L2
L' F2 L R' F' B R2
L' F2 L R' B F' R2
R F' B' L2 B2 U2 L2
R F' B2 L2 U2 F L2
L F2 L R F' B U2
L F2 L R B F' U2
R' F2 L2 U2 L2 F B
R' F2 L2 U2 L2 B F
R' F2 L2 B' U2 L2 B2
R' F2 L2 B' U2 B2 L2
L' F2 R' L F' B R2
L' F2 R' L B F' R2
L2 F2 R F' B U2 L2
D2 F2 R' D2 F' R' B
L2 F2 R B F' U2 L2
D2 F2 R' F' D2 R' B
R2 F2 R D2 F' B R2
R2 F2 R D2 B F' R2
L' F2 R' F' L B R2
R2 F2 R F' D2 B R2
R2 F2 R F' B D2 R2
L F2 R L F' B U2
R2 F2 R B D2 F' R2
L F2 R L B F' U2
R2 F2 R B F' D2 R2
L2 F2 R' U2 L2 F' B
L2 F2 R' U2 L2 B F'
L2 F2 R' U2 F' L2 B
L2 F2 R' U2 F' B L2
L2 F2 R' U2 B L2 F'
L2 F2 R' U2 B F' L2
R F2 L2 B U2 L2 B2
R F2 L2 B U2 B2 L2
R' F2 R2 D2 R2 F B
R' F2 R2 D2 R2 B F
R' F2 R2 F D2 R2 B2
R' F2 R2 F D2 B2 R2
L F2 R F' L B U2
R2 F2 R' D2 R2 F' B
R2 F2 R' D2 R2 B F'
R F2 R2 F' D2 R2 B2
R F2 R2 F' D2 B2 R2
R' F2 U2 L2 B' U2 B2
R' F2 D B D R2 F
R' F2 D B D F R2
R' F2 D' F D' B R2
R F2 U2 L2 B U2 B2
R F2 U2 F L2 B U2
R F2 U2 F B L2 U2
R F2 U2 B L2 U2 B'
R F2 U2 B F L2 U2
R' F2 D2 R2 F D2 B2
R' F2 D2 F B R2 D
R' F2 D2 F B R2 D'
R' F2 D2 F B R2 D2
R' F2 D2 F B' R2 B2
R' F2 D2 F B2 R2 B'
R' F2 D2 F' B R2 F2
R' F2 D2 B R' F R'
R' F2 D2 B R2 D F
R' F2 D2 B R2 D' F
R' F2 D2 B R2 D2 F
R' F2 D2 B R2 F D
R' F2 D2 B R2 F D'
R' F2 D2 B R2 F D2
R' F2 D2 B F R2 D
R' F2 D2 B F R2 D'
R' F2 D2 B F R2 D2
R' F2 D2 B F' R2 F2
R' F2 D2 B' R2 F B2
R' F2 D2 B' R2 B2 F
R' F2 D2 B' F R2 B2
R' F2 D2 B2 R2 F B'
R' F2 D2 B2 R2 B' F
R' F2 D2 B2 F R2 B'
B' D2 R' D2 F' R' B
B' D2 R' F' D2 R' B
R' F2 B R D2 R2 F
R' F2 B R D2 F R2
R' F2 B R F D2 R2
R' F2 B R' D2 R2 F
R' F2 B R' D2 F R2
R' F2 B R' F D2 R2
R' F2 B R2 D2 R2 F
R' F2 B R2 D2 F R2
R' F2 B R2 F D2 R2
F' D2 R' D2 F' R' B
F' D2 R' F' D2 R' B
R' F2 B U2 L2 B' U2
B2 D2 R' D2 F' R' B
B2 D2 R' F' D2 R' B
R' F2 B D' F D' R2
F2 D2 R' D2 F' R' B
R' F2 B D2 R' F R'
R' F2 B D2 R2 D F
R' F2 B D2 R2 D' F
R' F2 B D2 R2 D2 F
R' F2 B D2 R2 F D
R' F2 B D2 R2 F D'
R' F2 B D2 R2 F D2
R' F2 B D2 F R2 D
R' F2 B D2 F R2 D'
R' F2 B D2 F R2 D2
R' F2 B D2 F' R2 F2
F2 D2 R' F' D2 R' B
B D2 R' D2 F' R' B
B D2 R' F' D2 R' B
R F2 D2 R2 F' D2 B2
F D2 R' D2 F' R' B
F D2 R' F' D2 R' B
R F2 D2 F2 R2 F' B
R F2 D2 F2 R2 B F'
R' F2 B2 D2 R2 F B'
R' F2 B2 D2 R2 B' F
R' F2 B2 D2 F R2 B'
R' F2 B2 D2 F B' R2
R' F2 B2 D2 B' R2 F
R' F2 B2 D2 B' F R2
R F2 B L2 U2 B' L2
R F2 B' D2 F2 R2 B
R' B L' F2 R F L
R' B L2 U2 F' L2 B'
R' B L2 F' L2 D2 R2
L B L' R' F' B R'
L B L' R' B F' R'
R' B R D2 R' F' R'
L B L' B R' F' B
L B L' B R' B F'
D2 B R' D2 F' R' B
L2 B R F' B U2 L2
R B L2 R2 U2 L2 B
R B L2 R2 U2 B L2
D2 B R' F' D2 R' B
L2 B R B F' U2 L2
R2 B R D2 F' B R2
R2 B R D2 B F' R2
D B R D R2 F' B2
D B R D R2 B2 F'
R2 B R F' D2 B R2
R2 B R F' B D2 R2
R B L2 D2 R2 U2 B
R B L2 D2 F' R2 U2
R2 B R B D2 F' R2
R2 B R B F' D2 R2
L2 B R' U2 L2 F' B
L2 B R' U2 L2 B F'
L2 B R' U2 F' L2 B
R B L2 F' R U2 L2
L2 B R' U2 F' B L2
R B L2 F' R' U2 L2
L2 B R' U2 B L2 F'
R B L2 F' R2 U2 L2
L2 B R' U2 B F' L2
R B L2 F' U2 L2 D
R B L2 F' U2 L2 D'
R B L2 F' U2 L2 D2
R B L2 F' D2 R2 U2
R' B R2 U2 L2 B U2
R' B R2 U2 B L2 U2
R B L2 F2 U2 L2 B'
R' B R2 D2 R2 D F'
R' B R2 D2 R2 D' F'
R' B R2 D2 R2 D2 F'
R' B R2 D2 R2 F' D
R' B R2 D2 R2 F' D'
R' B R2 D2 R2 F' D2
R' B R2 D2 F R2 F'
R' B R2 D2 F' R2 F'
R' B R2 D2 F2 R2 F'
R' B R2 F D2 R2 F'
R' B R2 F' D2 R2 F'
R' B R2 F2 D2 R2 F'
R2 B R' D2 R2 F' B
R2 B R' D2 R2 B F'
L B R' L' F' B R'
L B R' L' B F' R'
R' B U D F2 U' F
L B R' B L' F' R'
R' B U' D' B2 U F'
R B R2 L2 U2 L2 B
R B R2 L2 U2 B L2
R' B U2 L2 U2 D F'
R' B U2 L2 U2 D' F'
R' B U2 L2 U2 D2 F'
R' B U2 L2 U2 F' D
R' B U2 L2 U2 F' D'
R' B U2 L2 U2 F' D2
R' B U2 L2 D U2 F'
R' B U2 L2 D' U2 F'
R' B U2 L2 D2 U2 F'
R' B U2 L2 B U2 F'
R' B U2 L2 B' U2 F'
R' B U2 L2 B2 U2 F'
R' B U2 B L2 U2 F'
R' B U2 B' L2 U2 F'
R' B U2 B2 L2 U2 F'
R' B D R2 D R2 F'
R' B D U F2 U' F
R' B D F' U F' U'
R' B D' R2 D' R2 F'
R' B D' U' B2 U F'
R' B D' F' R D' R2
R' B D' F' R' D' R2
R' B D' F' R2 D' R2
R' B D' F' U' B2 U
R' B D' F' D' R2 D
R' B D' F' D' R2 D'
R' B D' F' D' R2 D2
R' B D' F2 D' R2 F
R' B D' F2 D' F R2
R B U2 L2 F' U2 F
B' F R D2 R2 F' B
B' F R D2 R2 B F'
R' B D2 L' F' L R2
R' B D2 L' F' R2 L
R' B D2 L2 F' L2 R2
R' B D2 L2 F' R2 L2
F' B R D2 R2 F' B
F' B R D2 R2 B F'
R B U2 F' L2 B' U2
R' B D2 R2 U2 B U2
B2 F R D2 R2 F' B
B2 F R D2 R2 B F'
R' B D2 F R' F2 R'
R' B D2 F R2 F2 D
R' B D2 F R2 F2 D'
R' B D2 F R2 F2 D2
R' B D2 F' R D R
R' B D2 F' R D' R
R' B D2 F' R D2 R
R' B D2 F' R' D R'
R' B D2 F' R' D' R'
R' B D2 F' R' D2 R'
F2 B R D2 R2 F' B
F2 B R D2 R2 B F'
R' B D2 F' B R2 B'
R' B D2 F' B2 R2 B2
R' B D2 F2 R' F R'
R' B D2 F2 R2 D F
R' B D2 F2 R2 D' F
R' B D2 F2 R2 D2 F
R' B D2 F2 R2 F D
R' B D2 F2 R2 F D'
R' B D2 F2 R2 F D2
R' B D2 B F' R2 B'
R' B D2 B2 F' R2 B2
B' F R' D2 F' B R2
B' F R' D2 B F' R2
R' B F L' F2 L R
R' B F L' F2 R L
B' F R' F' D2 B R2
B' F R' F' B D2 R2
R' B F R F2 D2 R2
B' F R' B D2 F' R2
B' F R' B F' D2 R2
R' B F R' F2 D2 R2
F' B R' D2 F' B R2
F' B R' D2 B F' R2
R' B F R2 F2 D2 R2
B F R D2 R2 F' B
B F R D2 R2 B F'
F' B R' F' D2 B R2
F' B R' F' B D2 R2
B2 F R' D2 F' B R2
R' B F U2 L2 U2 F2
B2 F R' D2 B F' R2
F' B R' B D2 F' R2
F' B R' B F' D2 R2
F2 B R' D2 F' B R2
F2 B R' D2 B F' R2
B2 F R' F' D2 B R2
B2 F R' F' B D2 R2
R' B F D2 R2 D2 F2
F2 B R' F' D2 B R2
F2 B R' F' B D2 R2
B2 F R' B D2 F' R2
B2 F R' B F' D2 R2
F2 B R' B D2 F' R2
F2 B R' B F' D2 R2
F B R D2 R2 F' B
F B R D2 R2 B F'
R' B F' R U2 L2 U2
R' B F' R D2 R2 D
R' B F' R D2 R2 D'
R' B F' R D2 R2 D2
R' B F' R' U2 L2 U2
R' B F' R' D2 R2 D
R' B F' R' D2 R2 D'
R' B F' R' D2 R2 D2
R' B F' R2 U2 L2 U2
R' B F' R2 D2 R2 D
R' B F' R2 D2 R2 D'
R' B F' R2 D2 R2 D2
R' B F' U D F2 U'
R' B F' U' D' B2 U
R' B F' U2 L2 U2 D
R' B F' U2 L2 U2 D'
R' B F' U2 L2 U2 D2
R' B F' U2 L2 D U2
R' B F' U2 L2 D' U2
R' B F' U2 L2 D2 U2
R' B F' D R D R2
R' B F' D R' D R2
R' B F' D R2 D R2
R' B F' D U F2 U'
B F R' D2 F' B R2
B F R' D2 B F' R2
R' B F' D' R D' R2
R' B F' D' R' D' R2
R' B F' D' R2 D' R2
R' B F' D' U' B2 U
R' B F' D2 R D R
R' B F' D2 R D' R
R' B F' D2 R D2 R
R' B F' D2 R' D R'
R' B F' D2 R' D' R'
R' B F' D2 R' D2 R'
R' B F' D2 F' R2 F
R' B F' D2 F2 R2 F2
R' B F' D2 B R2 B'
R' B F' D2 B2 R2 B2
B F R' F' D2 B R2
B F R' F' B D2 R2
B F R' B D2 F' R2
B F R' B F' D2 R2
R' B F2 R D2 R2 F
R' B F2 R D2 F R2
R' B F2 R F D2 R2
R' B F2 R' D2 R2 F
R' B F2 R' D2 F R2
R' B F2 R' F D2 R2
F B R' D2 F' B R2
F B R' D2 B F' R2
R' B F2 R2 D2 R2 F
R' B F2 R2 D2 F R2
R' B F2 R2 F D2 R2
F B R' F' D2 B R2
F B R' F' B D2 R2
R' B F2 U2 L2 B' U2
F B R' B D2 F' R2
F B R' B F' D2 R2
R' B F2 D' F D' R2
R' B F2 D2 R' F R'
R' B F2 D2 R2 D F
R' B F2 D2 R2 D' F
R' B F2 D2 R2 D2 F
R' B F2 D2 R2 F D
R' B F2 D2 R2 F D'
R' B F2 D2 R2 F D2
R' B F2 D2 F R2 D
R' B F2 D2 F R2 D'
R' B F2 D2 F R2 D2
R' B F2 D2 F' R2 F2
R B D2 B' R2 F' B
R B D2 B' R2 B F'
R B F L2 F2 U2 L2
R' B' L B2 L' F' R'
R B F' L2 R U2 L2
R B F' L2 R' U2 L2
R B F' L2 R2 U2 L2
R B F' L2 U2 L2 D
R B F' L2 U2 L2 D'
R B F' L2 U2 L2 D2
R B F' L2 D2 R2 U2
R B F' R L2 U2 L2
R B F' R' L2 U2 L2
R B F' R2 L2 U2 L2
R B F2 L2 U2 B' L2
R' B' L2 U2 L2 F' B2
R' B' L2 U2 L2 B2 F'
R' B' L2 U2 F' L2 B2
R' B' L2 U2 F' B2 L2
R' B' L2 U2 B2 L2 F'
R' B' L2 U2 B2 F' L2
U' B' R' U D2 B R2
U' B' R' U B D2 R2
U' B' R' U' L2 U2 B
L B' L' B' R' F' B
L B' L' B' R' B F'
U' B' R' D' B2 U B'
U' B' R' D2 U B R2
D2 B' R' D2 F' R' B
L2 B' R F' B U2 L2
D2 B' R' F' D2 R' B
L2 B' R B F' U2 L2
R2 B' R D2 F' B R2
R2 B' R D2 B F' R2
R2 B' R F' D2 B R2
R2 B' R F' B D2 R2
L2 B' R' U2 L2 F' B
L2 B' R' U2 L2 B F'
L2 B' R' U2 F' L2 B
L2 B' R' U2 F' B L2
L2 B' R' U2 B L2 F'
L2 B' R' U2 B F' L2
R2 B' R B D2 F' R2
R2 B' R B F' D2 R2
R B' L2 F' B2 U2 L2
R B' L2 B2 F' U2 L2
R2 B' R' D2 R2 F' B
R2 B' R' D2 R2 B F'
R' B' U2 L2 U2 F' B2
R' B' U2 L2 U2 B2 F'
R B' R2 D2 F2 B R2
R B' R2 D2 B R2 F2
R B' R2 D2 B F2 R2
B' F' R D2 R2 F' B
B' F' R D2 R2 B F'
R B' R2 B D2 R2 F'
F' B' R D2 R2 F' B
F' B' R D2 R2 B F'
B2 F' R D2 R2 F' B
B2 F' R D2 R2 B F'
F2 B' R D2 R2 F' B
F2 B' R D2 R2 B F'
B' F' R' D2 F' B R2
B' F' R' D2 B F' R2
B' F' R' F' D2 B R2
B' F' R' F' B D2 R2
B' F' R' B D2 F' R2
B' F' R' B F' D2 R2
F' B' R' D2 F' B R2
F' B' R' D2 B F' R2
F' B' R' F' D2 B R2
F' B' R' F' B D2 R2
B F' R D2 R2 F' B
B F' R D2 R2 B F'
B2 F' R' D2 F' B R2
B2 F' R' D2 B F' R2
F' B' R' B D2 F' R2
F' B' R' B F' D2 R2
F2 B' R' D2 F' B R2
F2 B' R' D2 B F' R2
B2 F' R' F' D2 B R2
B2 F' R' F' B D2 R2
F2 B' R' F' D2 B R2
F2 B' R' F' B D2 R2
B2 F' R' B D2 F' R2
B2 F' R' B F' D2 R2
F2 B' R' B D2 F' R2
F2 B' R' B F' D2 R2
F B' R D2 R2 F' B
F B' R D2 R2 B F'
R B' U2 L2 F' B2 U2
R B' U2 L2 B2 F' U2
B F' R' D2 F' B R2
B F' R' D2 B F' R2
B F' R' F' D2 B R2
B F' R' F' B D2 R2
B F' R' B D2 F' R2
B F' R' B F' D2 R2
R B' U2 F' L2 B2 U2
R B' U2 F' B2 L2 U2
R' B' D2 F' R2 D B
R' B' D2 F' R2 D' B
R' B' D2 F' R2 D2 B
R' B' D2 F' R2 B D
R' B' D2 F' R2 B D'
R' B' D2 F' R2 B D2
F B' R' D2 F' B R2
F B' R' D2 B F' R2
R' B' D2 F' B R2 B
R' B' D2 F' B' R2 B
R' B' D2 F' B2 R2 B
R B' U2 B2 L2 F' U2
R B' U2 B2 F' L2 U2
F B' R' F' D2 B R2
F B' R' F' B D2 R2
R' B' D2 B F' R2 B
R' B' D2 B' F' R2 B
F B' R' B D2 F' R2
R' B' D2 B2 F' R2 B
F B' R' B F' D2 R2
R' B' F' L B2 L' R'
R' B' F' L B2 R' L'
R' B' F' R B2 D2 R2
R' B' F' R' B2 D2 R2
R' B' F' R2 B2 D2 R2
R' B' F' U2 L2 U2 B2
R' B' F' D2 R2 D2 B2
R B' D2 R' F2 R' B
R B' D2 R2 F2 D B
R B' D2 R2 F2 D' B
R B' D2 R2 F2 D2 B
R B' D2 R2 F2 B D
R B' D2 R2 F2 B D'
R B' D2 R2 F2 B D2
R B' D2 R2 B F2 D
R B' D2 R2 B F2 D'
R B' D2 R2 B F2 D2
R B' D2 B R2 F2 B
R B' D2 B R2 B F2
R B' D2 B' R2 F2 B
R B' D2 B' R2 B F2
R B' D2 B2 R2 F2 B
R B' D2 B2 R2 B F2
R B' F D2 R2 F2 B2
R B' F D2 R2 B2 F2
R B' F D2 F2 R2 B2
R B' F D2 F2 B2 R2
R B' F D2 B2 R2 F2
R B' F D2 B2 F2 R2
L' B2 L' R' U2 F' B
L' B2 L' R' U2 B F'
R B' F' L2 B2 U2 L2
R' B2 L2 U2 L2 F' B'
R' B2 L2 U2 L2 B' F'
L B2 L R' F' L2 B
L B2 L R' F' B L2
L B2 L R' B L2 F'
L B2 L R' B F' L2
R' B2 L2 F U2 L2 F2
R' B2 L2 F U2 F2 L2
R B' F2 D2 F2 R2 B
L B2 L' R' D F' B
L B2 L' R' D B F'
L B2 L' R' D' F' B
L B2 L' R' D' B F'
L B2 L' R' D2 F' B
L B2 L' R' D2 B F'
L B2 L' R' F' D B
L B2 L' R' F' D' B
L B2 L' R' F' D2 B
L B2 L' R' F' B D
L B2 L' R' F' B D'
L B2 L' R' F' B D2
L B2 L' R' B D F'
L B2 L' R' B D' F'
L B2 L' R' B D2 F'
L B2 L' R' B F' D
L B2 L' R' B F' D'
L B2 L' R' B F' D2
L B2 L' F R' F' B
L B2 L' F R' B F'
L B2 L' F' R' F' B
L B2 L' F' R' B F'
L B2 L' F2 R' F' B
L B2 L' F2 R' B F'
L' B2 R' L' U2 F' B
L' B2 R' L' U2 B F'
L B2 L2 R' F' L B
D2 B2 R' D2 F' R' B
L2 B2 R F' B U2 L2
D2 B2 R' F' D2 R' B
L2 B2 R B F' U2 L2
R2 B2 R D2 F' B R2
R2 B2 R D2 B F' R2
R2 B2 R F' D2 B R2
R2 B2 R F' B D2 R2
L2 B2 R' U2 L2 F' B
L2 B2 R' U2 L2 B F'
L2 B2 R' U2 F' L2 B
L2 B2 R' U2 F' B L2
L2 B2 R' U2 B L2 F'
L2 B2 R' U2 B F' L2
R2 B2 R B D2 F' R2
R2 B2 R B F' D2 R2
R' B2 R2 D2 R2 F' B'
R' B2 R2 D2 R2 B' F'
R B2 L2 F' U2 L2 F2
R B2 L2 F' U2 F2 L2
R' B2 R2 B' D2 R2 F2
R' B2 R2 B' D2 F2 R2
B' F2 R D2 R2 F' B
B' F2 R D2 R2 B F'
R2 B2 R' D2 R2 F' B
R2 B2 R' D2 R2 B F'
L B2 R' L F' L2 B
L B2 R' L F' B L2
F' B2 R D2 R2 F' B
L B2 R' L B L2 F'
F' B2 R D2 R2 B F'
L B2 R' L B F' L2
L B2 R' L' D F' B
L B2 R' L' D B F'
L B2 R' L' D' F' B
L B2 R' L' D' B F'
L B2 R' L' D2 F' B
L B2 R' L' D2 B F'
L B2 R' L' F' D B
L B2 R' L' F' D' B
L B2 R' L' F' D2 B
L B2 R' L' F' B D
L B2 R' L' F' B D'
L B2 R' L' F' B D2
L B2 R' L' B D F'
L B2 R' L' B D' F'
L B2 R' L' B D2 F'
L B2 R' L' B F' D
L B2 R' L' B F' D'
L B2 R' L' B F' D2
L B2 R' L2 F' L B
B2 F2 R D2 R2 F' B
B2 F2 R D2 R2 B F'
L B2 R' D L' F' B
L B2 R' D L' B F'
F2 B2 R D2 R2 F' B
F2 B2 R D2 R2 B F'
L B2 R' D B L' F'
L B2 R' D' L' F' B
L B2 R' D' L' B F'
L B2 R' D' B L' F'
L B2 R' D2 L' F' B
L B2 R' D2 L' B F'
B' F2 R' D2 F' B R2
B' F2 R' D2 B F' R2
L B2 R' D2 B L' F'
B' F2 R' F' D2 B R2
B' F2 R' F' B D2 R2
L B2 R' B L F' L2
L B2 R' B L' D F'
L B2 R' B L' D' F'
L B2 R' B L' D2 F'
L B2 R' B L' F' D
L B2 R' B L' F' D'
L B2 R' B L' F' D2
L B2 R' B L2 F' L
L B2 R' B D L' F'
B' F2 R' B D2 F' R2
L B2 R' B D' L' F'
B' F2 R' B F' D2 R2
L B2 R' B D2 L' F'
L B2 R' B' L' F' B2
L B2 R' B' L' B2 F'
F' B2 R' D2 F' B R2
F' B2 R' D2 B F' R2
F' B2 R' F' D2 B R2
F' B2 R' F' B D2 R2
B F2 R D2 R2 F' B
B F2 R D2 R2 B F'
B2 F2 R' D2 F' B R2
B2 F2 R' D2 B F' R2
F' B2 R' B D2 F' R2
F' B2 R' B F' D2 R2
B2 F2 R' F' D2 B R2
F2 B2 R' D2 F' B R2
B2 F2 R' F' B D2 R2
F2 B2 R' D2 B F' R2
B2 F2 R' B D2 F' R2
B2 F2 R' B F' D2 R2
F2 B2 R' F' D2 B R2
F2 B2 R' F' B D2 R2
F2 B2 R' B D2 F' R2
F2 B2 R' B F' D2 R2
R' B2 U2 L2 F U2 F2
F B2 R D2 R2 F' B
F B2 R D2 R2 B F'
B F2 R' D2 F' B R2
B F2 R' D2 B F' R2
R B2 R2 B D2 R2 F2
R B2 R2 B D2 F2 R2
B F2 R' F' D2 B R2
B F2 R' F' B D2 R2
B F2 R' B D2 F' R2
B F2 R' B F' D2 R2
F B2 R' D2 F' B R2
F B2 R' D2 B F' R2
F B2 R' F' D2 B R2
F B2 R' F' B D2 R2
F B2 R' B D2 F' R2
F B2 R' B F' D2 R2
R' B2 D B' D F' R2
R' B2 D' F' D' R2 B'
R' B2 D' F' D' B' R2
R B2 U2 L2 F' U2 F2
R' B2 D2 R2 B' D2 F2
R' B2 D2 F R2 F2 B'
R' B2 D2 F R2 B' F2
R' B2 D2 F B' R2 F2
R B2 U2 F' L2 U2 F
R' B2 D2 F' R B' R
R' B2 D2 F' R2 D B'
R' B2 D2 F' R2 D' B'
R' B2 D2 F' R2 D2 B'
R' B2 D2 F' R2 B' D
R' B2 D2 F' R2 B' D'
R' B2 D2 F' R2 B' D2
R B2 U2 F' B' L2 U2
R' B2 D2 F' B R2 B2
R' B2 D2 F' B' R2 D
R' B2 D2 F' B' R2 D'
R' B2 D2 F' B' R2 D2
R' B2 D2 F2 R2 F B'
R' B2 D2 F2 R2 B' F
R' B2 D2 F2 B' R2 F
R' B2 D2 B F' R2 B2
R B2 U2 B' L2 F' U2
R B2 U2 B' F' L2 U2
R' B2 D2 B' F R2 F2
R' B2 D2 B' F' R2 D
R' B2 D2 B' F' R2 D'
R' B2 D2 B' F' R2 D2
R' B2 D2 B' F2 R2 F
R' B2 F' R D2 R2 B'
R' B2 F' R D2 B' R2
R' B2 F' R B' D2 R2
R' B2 F' R' D2 R2 B'
R' B2 F' R' D2 B' R2
R' B2 F' R' B' D2 R2
R' B2 F' R2 D2 R2 B'
R' B2 F' R2 D2 B' R2
R' B2 F' R2 B' D2 R2
R' B2 F' U2 L2 F U2
R' B2 F' D B' D R2
R' B2 F' D2 R B' R
R' B2 F' D2 R2 D B'
R' B2 F' D2 R2 D' B'
R' B2 F' D2 R2 D2 B'
R' B2 F' D2 R2 B' D
R' B2 F' D2 R2 B' D'
R' B2 F' D2 R2 B' D2
R' B2 F' D2 B R2 B2
R' B2 F' D2 B' R2 D
R' B2 F' D2 B' R2 D'
R' B2 F' D2 B' R2 D2
R B2 D2 R2 B D2 F2
R' B2 F2 D2 R2 F B'
R' B2 F2 D2 R2 B' F
R' B2 F2 D2 F R2 B'
R' B2 F2 D2 F B' R2
R' B2 F2 D2 B' R2 F
R' B2 F2 D2 B' F R2
L B2 F R' F' L' B
L B2 F R' F' B L'
L B2 F R' B F' L'
R B2 D2 B2 R2 F' B
R B2 D2 B2 R2 B F'
R B2 F D2 B2 R2 F'
R B2 F' L2 U2 F L2
