R' L U L2 U
R' L U2 D' B2
R' L D F2 U2
R' L D' U2 B2
L R' U L2 U
L R' U2 D' B2
L R' D F2 U2
L R' D' U2 B2
L U2 D' B2 L
L D R' F2 U2
L D F2 R' U2
L D' R' U2 B2
L D' U2 B2 L
L U2 R' D' R B2 L
L U2 D L D2 B2 L
L U2 D L' D2 B2 L
L U2 D L2 D2 B2 L
D2 R2 L D R F2 U2
D2 R2 L D F2 U2 L'
D' R2 L D R F2 U2
D2 R2 L D' R U2 B2
D' R2 L D F2 U2 L'
L U2 D B2 L D2 B2
F' R2 L D R F' U2
D' R2 L D' R U2 B2
L U2 D B2 D2 L B2
L U2 D' L B2 L D
L U2 D' L B2 L D'
L U2 D' L B2 L D2
L U2 D' L B2 D L
L U2 D' L B2 D' L
L U2 D' L B2 D2 L
L U2 D' L' B2 L D
L U2 D' L' B2 L D'
L U2 D' L' B2 L D2
L U2 D' L' B2 D L
L U2 D' L' B2 D' L
L U2 D' L' B2 D2 L
L U2 D' L2 B2 L D
L U2 D' L2 B2 L D'
L U2 D' L2 B2 L D2
L U2 D' L2 B2 D L
L U2 D' L2 B2 D' L
L U2 D' L2 B2 D2 L
L U2 D' F B2 L F'
D R2 L D R F2 U2
D R2 L D F2 U2 L'
L U2 D' F2 B2 L F2
L U2 D' B L B L
L U2 D' B L' B L
L U2 D' B L2 B L
D R2 L D' R U2 B2
L U2 D' B D B L
L U2 D' B D' B L
L U2 D' B D2 B L
L U2 D' B2 L2 D L'
L U2 D' B2 L2 D' L'
L U2 D' B2 L2 D2 L'
L U2 D' B2 D L D
L U2 D' B2 D L D'
L U2 D' B2 D L D2
L U2 D' B2 D' L D
L U2 D' B2 D' L D'
L U2 D' B2 D' L D2
L U2 D' B2 D2 L D
L U2 D' B2 D2 L D'
L U2 D' B2 D2 L D2
L U2 D' B2 F L F'
L U2 D' B2 F2 L F2
L U2 D2 L D B2 L
L U2 D2 L' D B2 L
L U2 D2 L2 D B2 L
L U2 D2 B2 L D B2
L U2 D2 B2 D L B2
L U2 F D' F' B2 L
L U2 F D' B2 L F'
L U2 F D' B2 F' L
L U2 F' D' F B2 L
L U2 F' D' B2 F L
R' U2 B' U' L' B' U
F' R2 D L R F' U2
F' R2 D R L F' U2
F' R2 D R F' L U2
L U2 B D' B L B
R' U2 B2 R' U' L' U
R' U2 B2 U' L' U R'
F' R2 D' L R U2 B'
F' R2 D' R L U2 B'
R' D L U L2 U D
R' D L U L2 U D'
R' D L U L2 U D2
R' D L U L2 D U
R' D L U L2 D' U
R' D L U L2 D2 U
R' D L U' D2 R2 U'
R' D L U2 D' B2 D
R' D L U2 D' B2 D'
R' D L U2 D' B2 D2
L U2 B2 L U' L U
R' D L U2 B D' B2
R' D L U2 B' D' B2
R' D L U2 B2 D' B2
R' D L D F2 U2 D
R' D L D F2 U2 D'
R' D L D F2 U2 D2
R' D L D F2 D U2
R' D L D F2 D' U2
R' D L D F2 D2 U2
R' D L D' U2 B2 D
R' D L D' U2 B2 D'
R' D L D' U2 B2 D2
R' D L D' F U2 B2
R' D L D' F' U2 B2
R' D L D' F2 U2 B2
R' D L D2 U' R2 U'
R' D L F U L2 U
R' D L F U2 D' B2
R' D L F D F2 U2
R' D L F D' U2 B2
R' D L F' U L2 U
R' D L F' U2 D' B2
R' D L F' D F2 U2
R' D L F' D' U2 B2
R' D L F2 U L2 U
R' D L F2 U2 D' B2
R' D L F2 D F2 U2
R' D L F2 D' U2 B2
L U2 B2 U' L2 U L'
R2 D L R U L2 U
R2 D L R U2 D' B2
R2 D L R D F2 U2
R2 D L R D' U2 B2
L U2 B2 D L D2 B2
L U2 B2 D' L B2 D
L U2 B2 D' L B2 D'
L U2 B2 D' L B2 D2
L U2 B2 D' L' B2 L2
L U2 B2 D' L2 B2 L'
L U2 B2 D2 L D B2
R2 D L D R F2 U2
R2 D L D F2 U2 L'
R2 D L D' R U2 B2
L D L R' F2 U2 R
L2 D L' R' U L2 U
L2 D L' R' U2 D' B2
L2 D L' R' D F2 U2
L2 D L' R' D' U2 B2
R D L D F2 U2 L2
R D L D' R2 U2 B2
L2 D L' U2 D' B2 L
L D L F2 R' U2 R2
L2 D L' D R' F2 U2
L2 D L' D F2 R' U2
L2 D L' D' R' U2 B2
L2 D L' D' U2 B2 L
L D L' R' F2 L U2
L D L' F2 L R' U2
L D L' F2 R' L U2
L D L2 R' F2 L2 U2
R2 D R L U L2 U
R2 D R L U2 D' B2
R2 D R L D F2 U2
R2 D R L D' U2 B2
L D L2 F2 L2 R' U2
L D L2 F2 R' L2 U2
L D R U2 D2 L2 B2
L D R U2 D2 B2 L2
L2 D R' L' U L2 U
L2 D R' L' U2 D' B2
L2 D R' L' D F2 U2
L2 D R' L' D' U2 B2
L D R D2 U2 L2 B2
L D R D2 U2 B2 L2
L D R F R2 F U2
L D R F' R2 U2 B
L D R F2 R2 U2 D
L D R F2 R2 U2 D'
L D R F2 R2 U2 D2
L D R F2 R2 D U2
L D R F2 R2 D' U2
L D R F2 R2 D2 U2
L D R F2 U2 D2 L2
L D R F2 D2 U2 L2
L D R' L F2 U2 R
L D R' L' F2 L U2
L D R' L2 F2 L2 U2
L D R' U D' L2 U
L D R' U' D R2 U'
L D R' U2 D2 B2 D
L D R' U2 D2 B2 D'
L D R' U2 D2 B2 D2
L D R' U2 B D2 B2
L D R' U2 B' D2 B2
L D R' U2 B2 D2 B2
L D R' D U' R2 U'
L D R' D' U L2 U
L D R' D2 U2 B2 D
L D R' D2 U2 B2 D'
L D R' D2 U2 B2 D2
L D R' D2 F U2 B2
L D R' D2 F' U2 B2
L D R' D2 F2 U2 B2
L D R' F D F U2
L D R' F D' F U2
L D R' F D2 F U2
R' D U L' U D2 R2
R' D U L' U' L2 U2
R' D U L' D' B2 U
R' D U L' D2 U R2
L D R' F' D F' U2
L D R' F' D' F' U2
L D R' F' D2 F' U2
R' D U B2 L' U R'
L D R2 D2 R U2 B2
L D R2 F2 R U2 L'
L D R2 F2 R' U2 L'
L D R2 F2 R2 U2 L'
L D R2 F2 U2 L' D
L D R2 F2 U2 L' D'
L D R2 F2 U2 L' D2
L D R2 F2 U2 D L'
L D R2 F2 U2 D' L'
L D R2 F2 U2 D2 L'
L D R2 F2 D U2 L'
L D R2 F2 D' U2 L'
L D R2 F2 D2 U2 L'
D' U L' U' L2 R' U2
D' U L' U' R' L2 U2
D2 U L' U' L2 R' U2
D2 U L' U' R' L2 U2
D' U L' D' B2 U L
D2 U L' D' B2 U L
L D U2 L D2 B2 L
L D U2 L' D2 B2 L
L D U2 L2 D2 B2 L
D U L' U' L2 R' U2
D U L' U' R' L2 U2
L D U2 B2 L D2 B2
L D U2 B2 D2 L B2
D U L' D' B2 U L
R' D F' D' L U2 B'
L D F R F R2 U2
U D L' U' L2 R' U2
U D L' U' R' L2 U2
L D F R' D F U2
L D F R' D' F U2
L D F R' D2 F U2
L D F R' F U2 D
L D F R' F U2 D'
L D F R' F U2 D2
L D F R' F D U2
L D F R' F D' U2
L D F R' F D2 U2
U D L' D' B2 U L
R' D F2 L U' R U'
L D F D R' F U2
L D F D F R' U2
L D F D' R' F U2
L D F D' F R' U2
L D F D2 R' F U2
L D F D2 F R' U2
L D F' D F' R' U2
L D F' D' F' R' U2
L D F' D2 F' R' U2
L D F2 R U2 D2 L2
L D F2 R D2 U2 L2
L D F2 R2 D R U2
L D F2 R2 D' R U2
L D F2 R2 D2 R U2
L D F2 U' B2 U' L
L D F2 U2 B2 L B2
L D F2 D R' U2 D
L D F2 D R' U2 D'
L D F2 D R' U2 D2
L D F2 D R' D U2
L D F2 D R' D' U2
L D F2 D R' D2 U2
L D F2 D' R' U2 D
L D F2 D' R' U2 D'
L D F2 D' R' U2 D2
L D F2 D' R' D U2
L D F2 D' R' D' U2
L D F2 D' R' D2 U2
L D F2 D2 R' U2 D
L D F2 D2 R' U2 D'
L D F2 D2 R' U2 D2
L D F2 D2 R' D U2
L D F2 D2 R' D' U2
L D F2 D2 R' D2 U2
R' D' L U L2 U D
R' D' L U L2 U D'
R' D' L U L2 U D2
R' D' L U L2 D U
R' D' L U L2 D' U
R' D' L U L2 D2 U
R' D' L U' D2 R2 U'
R' D' L U2 D' B2 D
R' D' L U2 D' B2 D'
R' D' L U2 D' B2 D2
R' D' L U2 B D' B2
R' D' L U2 B' D' B2
R' D' L U2 B2 D' B2
R' D' L D F2 U2 D
R' D' L D F2 U2 D'
R' D' L D F2 U2 D2
R' D' L D F2 D U2
R' D' L D F2 D' U2
R' D' L D F2 D2 U2
R' D' L D' U2 B2 D
R' D' L D' U2 B2 D'
R' D' L D' U2 B2 D2
R' D' L D' F U2 B2
R' D' L D' F' U2 B2
R' D' L D' F2 U2 B2
R' D' L D2 U' R2 U'
R' D' L F U L2 U
R' D' L F U2 D' B2
R' D' L F D F2 U2
R' D' L F D' U2 B2
R' D' L F' U L2 U
R' D' L F' U2 D' B2
R' D' L F' D F2 U2
R' D' L F' D' U2 B2
R' D' L F2 U L2 U
R' D' L F2 U2 D' B2
R' D' L F2 D F2 U2
R' D' L F2 D' U2 B2
R2 D' L R U L2 U
R2 D' L R U2 D' B2
R2 D' L R D F2 U2
R2 D' L R D' U2 B2
R2 D' L D R F2 U2
R2 D' L D F2 U2 L'
R2 D' L D' R U2 B2
L2 D' L' R' U L2 U
R D' L U L2 F2 U
L2 D' L' R' U2 D' B2
L2 D' L' R' D F2 U2
L2 D' L' R' D' U2 B2
R D' L U F2 L2 U
R D' L U2 D' L2 B2
R D' L U2 D' B2 L2
R D' L D R2 F2 U2
R D' L D F2 R2 U2
L2 D' L' U2 D' B2 L
R D' L D' U2 L2 B2
R D' L D' U2 B2 L2
L2 D' L' D R' F2 U2
L2 D' L' D F2 R' U2
L2 D' L' D' R' U2 B2
L2 D' L' D' U2 B2 L
L D' L' R' U2 B2 R'
L D' L' U2 B2 L R'
L D' L' U2 B2 R' L
R2 D' R L U L2 U
R2 D' R L U2 D' B2
R2 D' R L D F2 U2
R2 D' R L D' U2 B2
D' U B2 L' U L2 R'
D' U B2 L' U R' L2
D2 U B2 L' U L2 R'
D2 U B2 L' U R' L2
L' D' R' U B2 U B2
U2 D B2 L R' D' B2
U2 D B2 L D' R' B2
L2 D' R' L' U L2 U
L2 D' R' L' U2 D' B2
L2 D' R' L' D F2 U2
L2 D' R' L' D' U2 B2
L D' R U2 B2 D2 L2
U2 D B2 R' L D' B2
L D' R D2 F2 U2 L2
L D' R F R2 U2 B2
D U B2 L' U L2 R'
D U B2 L' U R' L2
L D' R F' R2 U2 B2
L D' R F2 R2 U2 B2
U D B2 L' U L2 R'
U D B2 L' U R' L2
L D' R' L' U2 B2 R'
L D' R' U L U B2
L D' R' U L' U B2
L D' R' U L2 U B2
L D' R' U D L2 U
L D' R' U' R U' B2
L D' R' U' R' U' B2
L D' R' U' R2 U' B2
L D' R' U' D' R2 U'
L D' R' U2 L B2 L'
L D' R' U2 L2 B2 L2
L D' R' U2 R' B2 R
L D' R' U2 R2 B2 R2
L D' R' U2 B D B
L D' R' U2 B D' B
L D' R' U2 B D2 B
L D' R' U2 B' D B'
L D' R' U2 B' D' B'
L D' R' U2 B' D2 B'
L D' R' D U L2 U
R' D' U L' U D2 R2
R' D' U L' U' L2 U2
R' D' U L' D' B2 U
R' D' U L' D2 U R2
L D' R' D' U' R2 U'
L D' R' D2 F2 U2 D
L D' R' D2 F2 U2 D'
L D' R' D2 F2 U2 D2
L D' R' D2 F2 D U2
L D' R' D2 F2 D' U2
L D' R' D2 F2 D2 U2
L D' R' F U2 B2 D
L D' R' F U2 B2 D'
L D' R' F U2 B2 D2
L D' R' F D2 F2 U2
L D' R' F' U2 B2 D
L D' R' F' U2 B2 D'
L D' R' F' U2 B2 D2
L D' R' F' D2 F2 U2
L D' R' F2 U2 B2 D
L D' R' F2 U2 B2 D'
L D' R' F2 U2 B2 D2
L D' R' F2 D2 F2 U2
R' D' U B2 L' U R'
L' D' U B2 U L B2
L D' R2 D2 R F2 U2
L D' R2 D2 F2 U2 L'
L D' R2 F2 U2 L' B2
L D' R2 F2 U2 B2 L'
L D' U L U B2 L
L D' U L' U B2 L
L D' U L2 U B2 L
U D' L' U' L2 R' U2
U D' L' U' R' L2 U2
U D' L' D' B2 U L
L D' U F U B2 L
L D' U F' U B2 L
L D' U F2 U B2 L
L D' U' B' U' B' L
L D' U2 L B2 L D
L D' U2 L B2 L D'
L D' U2 L B2 L D2
L D' U2 L B2 D L
L D' U2 L B2 D' L
L D' U2 L B2 D2 L
L D' U2 L' B2 L D
L D' U2 L' B2 L D'
L D' U2 L' B2 L D2
L D' U2 L' B2 D L
L D' U2 L' B2 D' L
L D' U2 L' B2 D2 L
L D' U2 L2 B2 L D
L D' U2 L2 B2 L D'
L D' U2 L2 B2 L D2
L D' U2 L2 B2 D L
L D' U2 L2 B2 D' L
L D' U2 L2 B2 D2 L
L D' U2 F B2 L F'
L D' U2 F2 B2 L F2
L D' U2 B L B L
L D' U2 B L' B L
L D' U2 B L2 B L
L D' U2 B D B L
L D' U2 B D' B L
L D' U2 B D2 B L
L D' U2 B2 L2 D L'
L D' U2 B2 L2 D' L'
L D' U2 B2 L2 D2 L'
L D' U2 B2 D L D
L D' U2 B2 D L D'
L D' U2 B2 D L D2
L D' U2 B2 D' L D
L D' U2 B2 D' L D'
L D' U2 B2 D' L D2
L D' U2 B2 D2 L D
L D' U2 B2 D2 L D'
L D' U2 B2 D2 L D2
L D' U2 B2 F L F'
L D' U2 B2 F2 L F2
R' D' F' D' L U2 B'
L D' F R' U2 B2 D
L D' F R' U2 B2 D'
L D' F R' U2 B2 D2
L D' F R' D2 F2 U2
L D' F R' F U2 B2
L D' F R' F' U2 B2
R' D' F2 L U' R U'
L D' F R' F2 U2 B2
L D' F U2 L B2 L
L D' F U2 L' B2 L
L D' F U2 L2 B2 L
L D' F U2 B2 L D
L D' F U2 B2 L D'
L D' F U2 B2 L D2
L D' F U2 B2 D L
L D' F U2 B2 D' L
L D' F U2 B2 D2 L
L D' F D2 R' F2 U2
L D' F D2 F2 R' U2
F2 U' R U L R2 U2
F2 U' R U R2 L U2
L D' F' R' U2 B2 D
L D' F' R' U2 B2 D'
L D' F' R' U2 B2 D2
L D' F' R' D2 F2 U2
L D' F' R' F U2 B2
L D' F' R' F' U2 B2
L D' F' R' F2 U2 B2
F2 U' R D B2 U' R'
L D' F' U2 L B2 L
L D' F' U2 L' B2 L
L D' F' U2 L2 B2 L
L D' F' U2 B2 L D
L D' F' U2 B2 L D'
L D' F' U2 B2 L D2
L D' F' U2 B2 D L
L D' F' U2 B2 D' L
L D' F' U2 B2 D2 L
L D' F' D2 R' F2 U2
L D' F' D2 F2 R' U2
L D' F2 R' U2 B2 D
L D' F2 R' U2 B2 D'
L D' F2 R' U2 B2 D2
L D' F2 R' D2 F2 U2
L D' F2 R' F U2 B2
L D' F2 R' F' U2 B2
L D' F2 R' F2 U2 B2
L D' F2 U2 L B2 L
L D' F2 U2 L' B2 L
L D' F2 U2 L2 B2 L
L D' F2 U2 B2 L D
L D' F2 U2 B2 L D'
L D' F2 U2 B2 L D2
L D' F2 U2 B2 D L
L D' F2 U2 B2 D' L
L D' F2 U2 B2 D2 L
L D' F2 D2 R' F2 U2
L D' F2 D2 F2 R' U2
L' D' B2 U L D2 F2
L' D' B2 U D2 L F2
L' D' B2 U D2 F2 L
L' D' B2 U' B2 R' U2
L' D' B2 D' R2 U L
L' D' B2 D2 U L F2
L' D' B2 D2 U F2 L
R' D2 L U L2 U D
R' D2 L U L2 U D'
R' D2 L U L2 U D2
R' D2 L U L2 D U
R' D2 L U L2 D' U
R' D2 L U L2 D2 U
R' D2 L U' D2 R2 U'
R' D2 L U2 D' B2 D
R' D2 L U2 D' B2 D'
R' D2 L U2 D' B2 D2
R' D2 L U2 B D' B2
R' D2 L U2 B' D' B2
R' D2 L U2 B2 D' B2
R' D2 L D F2 U2 D
R' D2 L D F2 U2 D'
R' D2 L D F2 U2 D2
R' D2 L D F2 D U2
R' D2 L D F2 D' U2
R' D2 L D F2 D2 U2
R' D2 L D' U2 B2 D
R' D2 L D' U2 B2 D'
R' D2 L D' U2 B2 D2
R' D2 L D' F U2 B2
R' D2 L D' F' U2 B2
R' D2 L D' F2 U2 B2
R' D2 L D2 U' R2 U'
R' D2 L F U L2 U
R' D2 L F U2 D' B2
R' D2 L F D F2 U2
R' D2 L F D' U2 B2
R' D2 L F' U L2 U
R' D2 L F' U2 D' B2
R' D2 L F' D F2 U2
R' D2 L F' D' U2 B2
R' D2 L F2 U L2 U
R' D2 L F2 U2 D' B2
R' D2 L F2 D F2 U2
R' D2 L F2 D' U2 B2
L D' B2 L D2 F2 R
R2 D2 L R U L2 U
R2 D2 L R U2 D' B2
R2 D2 L R D F2 U2
R2 D2 L R D' U2 B2
R2 D2 L D R F2 U2
R2 D2 L D F2 U2 L'
R2 D2 L D' R U2 B2
L D' B2 D2 L F2 R
L2 D2 L' R' U L2 U
L2 D2 L' R' U2 D' B2
L2 D2 L' R' D F2 U2
L2 D2 L' R' D' U2 B2
R D2 L U L2 U L'
L2 D2 L' U2 D' B2 L
L2 D2 L' D R' F2 U2
L2 D2 L' D F2 R' U2
R D2 L U2 D' L B2
L2 D2 L' D' R' U2 B2
L2 D2 L' D' U2 B2 L
U2 D' B2 L R' D' B2
U2 D' B2 L D' R' B2
R D2 L D F2 U2 L
R D2 L D' U2 L B2
U2 D' B2 R' L D' B2
U D' B2 L' U L2 R'
U D' B2 L' U R' L2
R2 D2 R L U L2 U
R2 D2 R L U2 D' B2
R2 D2 R L D F2 U2
R2 D2 R L D' U2 B2
L2 D2 R' L' U L2 U
L2 D2 R' L' U2 D' B2
L2 D2 R' L' D F2 U2
L2 D2 R' L' D' U2 B2
U D2 L' U' L2 R' U2
U D2 L' U' R' L2 U2
U D2 L' D' B2 U L
L D2 R' U' R' U' D
L D2 R' U' R' U' D'
L D2 R' U' R' U' D2
L D2 R' U' R' D U'
L D2 R' U' R' D' U'
L D2 R' U' R' D2 U'
L D2 R' U' D R' U'
R' D2 U L' U D2 R2
L D2 R' U' D' R' U'
R' D2 U L' U' L2 U2
L D2 R' U' D2 R' U'
R' D2 U L' D' B2 U
R' D2 U L' D2 U R2
L D2 R' D U' R' U'
L D2 R' D' U' R' U'
L D2 R' D2 U' R' U'
L D2 R' F U' R' U'
L D2 R' F' U' R' U'
L D2 R' F2 U' R' U'
L' D2 U R2 D' F2 L'
R' D2 U B2 L' U R'
F2 U' B2 R U' L R2
F2 U' B2 R U' R2 L
L D2 U' R2 U R U2
L D2 U' B2 R2 U' L
L D2 U2 L D B2 L
L D2 U2 L' D B2 L
L D2 U2 L2 D B2 L
R' D2 F' D' L U2 B'
L D2 U2 B2 L D B2
L D2 U2 B2 D L B2
R' D2 F2 L U' R U'
L D2 F R' U' R' U'
L D2 F U2 D B2 L
L D2 F D R' U2 B2
L D2 F D U2 B2 L
L D2 F D' R' F2 U2
L D2 F D' F2 R' U2
L D2 F' R' U' R' U'
L D2 F' U2 D B2 L
L D2 F' D R' U2 B2
L D2 F' D U2 B2 L
L D2 F' D' R' F2 U2
L D2 F' D' F2 R' U2
L D2 F2 R' U' R' U'
L D2 F2 U2 D B2 L
L D2 F2 D R' U2 B2
L D2 F2 D U2 B2 L
L D2 F2 D' R' F2 U2
L D2 F2 D' F2 R' U2
D' U2 B2 L R' D' B2
D' U2 B2 L D' R' B2
D2 U2 B2 L R' D' B2
D2 U2 B2 L D' R' B2
D' U2 B2 R' L D' B2
D2 U2 B2 R' L D' B2
U2 D2 B2 L R' D' B2
U2 D2 B2 L D' R' B2
U2 D2 B2 R' L D' B2
F' U2 D B2 L R' B
F' U2 D B2 R' L B
R' F L U L' U B'
R' F L U' R U' B
D U2 B2 L R' D' B2
D U2 B2 L D' R' B2
D U2 B2 R' L D' B2
R' F L F U' R U'
R' F L F' U L' U
U D2 B2 L' U L2 R'
U D2 B2 L' U R' L2
F' U2 D' B2 L R' B'
F' U2 D' B2 R' L B'
L' F L2 R' U L2 U
L' F L2 R' U2 D' B2
L' F L2 R' D F2 U2
L' F L2 R' D' U2 B2
L' F L2 U2 D' B2 L
L' F L2 D R' F2 U2
L' F L2 D F2 R' U2
L' F L2 D' R' U2 B2
L' F L2 D' U2 B2 L
L' F R' L2 U L2 U
L' F R' L2 U2 D' B2
L' F R' L2 D F2 U2
L' F R' L2 D' U2 B2
U' F U L R' F U2
U' F U L F R' U2
L F R' U L2 U D
L F R' U L2 U D'
L F R' U L2 U D2
L F R' U L2 D U
L F R' U L2 D' U
L F R' U L2 D2 U
U' F U R' L F U2
L F R' U' D2 R2 U'
L F R' U2 D' B2 D
L F R' U2 D' B2 D'
L F R' U2 D' B2 D2
L F R' U2 B D' B2
L F R' U2 B' D' B2
L F R' U2 B2 D' B2
L F R' D F2 U2 D
L F R' D F2 U2 D'
L F R' D F2 U2 D2
L F R' D F2 D U2
L F R' D F2 D' U2
L F R' D F2 D2 U2
L F R' D' U2 B2 D
L F R' D' U2 B2 D'
L F R' D' U2 B2 D2
L F R' D' F U2 B2
L F R' D' F' U2 B2
L F R' D' F2 U2 B2
L F R' D2 U' R2 U'
L F R' F U L2 U
L F R' F U2 D' B2
L F R' F D F2 U2
L F R' F D' U2 B2
L F R' F' U L2 U
L F R' F' U2 D' B2
L F R' F' D F2 U2
L F R' F' D' U2 B2
L F R' F2 U L2 U
L F R' F2 U2 D' B2
L F R' F2 D F2 U2
L F R' F2 D' U2 B2
F' U2 B2 L D R' B
F2 U2 B2 L R' D B2
F' U2 B2 R' D' L B'
L F R2 D R F2 U2
F2 U2 B2 R' L D B2
L F R2 D F2 U2 L'
F2 U2 B2 R' D L B2
L F R2 D' R U2 B2
F' U2 B2 D L R' B
F' U2 B2 D R' L B
F' U2 B2 D' L R' B'
F' U2 B2 D' R' L B'
F' D L R F' R2 U2
F' D L R' U2 D B
F' D L R' U2 D' B
F' D L R' U2 D2 B
F' D L R' U2 B D
F' D L R' U2 B D'
F' D L R' U2 B D2
F' D L R' D U2 B
F' D L R' D' U2 B
F' D L R' D2 U2 B
F' D L R' F U2 B
F' D L R' F' U2 B
F' D L R' F2 U2 B
L F U L2 U' R' U2
F2 D L R' U' R2 U'
F2 D L R' U2 D B2
F2 D L R' D U2 B2
F2 D L R' D' F2 U2
F U2 B2 L D' R' B
F' D L F R' U2 B
F' D L F' R' U2 B
F U2 B2 R' D L B'
F' D L F2 R' U2 B
U F U' L R' F' U2
F U2 B2 D L R' B'
F U2 B2 D R' L B'
F U2 B2 D' L R' B
F U2 B2 D' R' L B
R' F U2 B2 D' R' B
U F U' R' L F' U2
U F U' R' F' L U2
L F U2 D' L B2 L
L F U2 D' L' B2 L
L F U2 D' L2 B2 L
L F U2 D' B2 L D
L F U2 D' B2 L D'
L F U2 D' B2 L D2
L F U2 D' B2 D L
L F U2 D' B2 D' L
L F U2 D' B2 D2 L
F' D R L F' R2 U2
L F U2 B2 D' L B2
L F D R F2 R2 U2
L F D R' U2 D2 B2
L F D R' D2 U2 B2
L F D R' F2 U2 D
L F D R' F2 U2 D'
L F D R' F2 U2 D2
L F D R' F2 D U2
L F D R' F2 D' U2
L F D R' F2 D2 U2
L F D R2 F2 U2 L'
F' D R F' L R2 U2
F' D R F' R2 L U2
L F D F R' F U2
L F D F2 R' U2 D
L F D F2 R' U2 D'
L F D F2 R' U2 D2
L F D F2 R' D U2
L F D F2 R' D' U2
L F D F2 R' D2 U2
L F D F2 D R' U2
L F D F2 D' R' U2
L F D F2 D2 R' U2
F' D R' L U2 D B
F' D R' L U2 D' B
F' D R' L U2 D2 B
F' D R' L U2 B D
F' D R' L U2 B D'
F' D R' L U2 B D2
F' D R' L D U2 B
F' D R' L D' U2 B
F' D R' L D2 U2 B
F' D R' L F U2 B
F' D R' L F' U2 B
F' D R' L F2 U2 B
F2 D R' L U' R2 U'
F2 D R' L U2 D B2
F2 D R' L D U2 B2
F2 D R' L D' F2 U2
F' D R' U2 B2 R' B'
F' D R' D L U2 B
F' D R' D' L U2 B
L F D' R' U2 B2 D
L F D' R' U2 B2 D'
L F D' R' U2 B2 D2
L F D' R' D2 F2 U2
L F D' R' F U2 B2
L F D' R' F' U2 B2
L F D' R' F2 U2 B2
F' D R' D2 L U2 B
F' D R' F L U2 B
F2 D R' U2 D B2 R'
F2 D R' D L U2 B2
F' D R' F' L U2 B
F2 D R' D U2 B2 R'
L F D' U2 L B2 L
L F D' U2 L' B2 L
F2 D R' D' L F2 U2
F' D R' F2 L U2 B
L F D' U2 L2 B2 L
L F D' U2 B2 L D
L F D' U2 B2 L D'
L F D' U2 B2 L D2
L F D' U2 B2 D L
L F D' U2 B2 D' L
L F D' U2 B2 D2 L
F2 D R' D' F2 L U2
L F D' F R' U2 B2
L F D' F U2 B2 L
L F D' F' R' U2 B2
L F D' F' U2 B2 L
L F D' F2 R' U2 B2
L F D' F2 U2 B2 L
L F D2 R' U' R' U'
D' F' L D R' U2 B
D2 F' L D R' U2 B
R' F' L F U L' U
R' F' L F' U' R U'
F' D U2 B2 L R' B
F' D U2 B2 R' L B
F' D F L R' U2 B
D F' L D R' U2 B
F' D F R' L U2 B
L' F' L2 R' U L2 U
L' F' L2 R' U2 D' B2
L' F' L2 R' D F2 U2
L' F' L2 R' D' U2 B2
R' F' L2 D' L' F U2
L' F' L2 U2 D' B2 L
L' F' L2 D R' F2 U2
L' F' L2 D F2 R' U2
L' F' L2 D' R' U2 B2
L' F' L2 D' U2 B2 L
F' D F' L R' U2 B
F' D F' R' L U2 B
F' D F2 L R' U2 B
F' D F2 R' L U2 B
L' F' R' L2 U L2 U
L' F' R' L2 U2 D' B2
L' F' R' L2 D F2 U2
L' F' R' L2 D' U2 B2
D2 F' R' D' L U2 B'
D' F' R' D' L U2 B'
D F' R' D' L U2 B'
L F' R' U L2 U D
L F' R' U L2 U D'
L F' R' U L2 U D2
L F' R' U L2 D U
L F' R' U L2 D' U
L F' R' U L2 D2 U
L F' R' U' D2 R2 U'
L F' R' U2 D' B2 D
L F' R' U2 D' B2 D'
L F' R' U2 D' B2 D2
L F' R' U2 B D' B2
L F' R' U2 B' D' B2
L F' R' U2 B2 D' B2
L F' R' D F2 U2 D
L F' R' D F2 U2 D'
L F' R' D F2 U2 D2
L F' R' D F2 D U2
L F' R' D F2 D' U2
L F' R' D F2 D2 U2
L F' R' D' U2 B2 D
L F' R' D' U2 B2 D'
L F' R' D' U2 B2 D2
L F' R' D' F U2 B2
L F' R' D' F' U2 B2
L F' R' D' F2 U2 B2
L F' R' D2 U' R2 U'
L F' R' F U L2 U
L F' R' F U2 D' B2
L F' R' F D F2 U2
L F' R' F D' U2 B2
L F' R' F' U L2 U
L F' R' F' U2 D' B2
L F' R' F' D F2 U2
L F' R' F' D' U2 B2
L F' R' F2 U L2 U
L F' R' F2 U2 D' B2
L F' R' F2 D F2 U2
L F' R' F2 D' U2 B2
L F' R2 D R F2 U2
L F' R2 D F2 U2 L'
L F' R2 D' R U2 B2
R F' R2 D' L U2 B'
F' D' L R' U2 D B'
F' D' L R' U2 D' B'
F' D' L R' U2 D2 B'
F' D' L R' U2 B' D
F' D' L R' U2 B' D'
F' D' L R' U2 B' D2
F' D' L R' D U2 B'
F' D' L R' D' U2 B'
F' D' L R' D2 U2 B'
F' D' L R' F U2 B'
F' D' L R' F' U2 B'
F' D' L R' F2 U2 B'
F' D' L U2 B2 L B
L F' U L2 U' R' U2
F2 D' L R' U' R2 U'
F2 D' L R' U2 D B2
F2 D' L R' D U2 B2
F2 D' L R' D' F2 U2
F' D' L D R' U2 B'
F' D' L D' R' U2 B'
F' D' L D2 R' U2 B'
F' D' L F R' U2 B'
R' F' U2 D B2 R' B
F' D' L F' R' U2 B'
