R F U' L'
B' R F U' L'
B R F U' L'
B2 R F U' L'
R' F R2 U' L'
R2 F R' U' L'
R F U' L' D
R F U' L' D'
R F U' L' D2
R F U' D L'
R F U' D' L'
R F U' D2 L'
R F D U' L'
R F D' U' L'
R F D2 U' L'
R F B U' L'
R F B' U' L'
R F B2 U' L'
R B F U' L'
R B' F U' L'
R B2 F U' L'
R2 B F D2 U' L' B'
R B D2 F B' U' L
B' F U' L2 D' L B'
R B D2 B' F U' L
B' F U' D' L B' L2
R B F U R U2 L'
R B F U R' U2 L'
R B F U R2 U2 L'
B2 F U' L2 D' L B'
R B F U' L2 D L
R B F U' L2 D' L
R B F U' L2 D2 L
R B F U' D L' D
R B F U' D L' D'
R B F U' D L' D2
R B F U' D' L' D
R B F U' D' L' D'
R B F U' D' L' D2
R B F U' D2 L' D
R B F U' D2 L' D'
R B F U' D2 L' D2
R B F U' B' L' B
R B F U' B2 L' B2
R B F D U' L' D
R B F D U' L' D'
R B F D U' L' D2
R B F D B U' L'
R B F D B' U' L'
R B F D B2 U' L'
R B F D' U' L' D
R B F D' U' L' D'
R B F D' U' L' D2
R B F D' B U' L'
R B F D' B' U' L'
B2 F U' D' L B' L2
R B F D' B2 U' L'
R B F D2 U' L' D
R B F D2 U' L' D'
R B F D2 U' L' D2
R B F D2 B U' L'
R B F D2 B' U' L'
R B F D2 B2 U' L'
B F U' L2 D' L B'
B F U' D' L B' L2
F B U' L2 D' L B'
B' F D R' U' L' B
B' F D R' U' B L'
F B U' D' L B' L2
R B F2 D F' U' L'
R B F2 D' F' U' L'
R B F2 D2 F' U' L'
B2 F D R' U' L' B
B2 F D R' U' B L'
L B' L' R F U' L'
U' B' R F U' L' F'
B' F D' U' L B' L2
D2 B' R D F U' L
D2 B' R D' F U' L
D' B' R D F U' L'
D2 B' R D2 F U' L
D2 B' R F U' L D
D2 B' R F U' L D'
D2 B' R F U' L D2
D2 B' R F U' D L
D2 B' R F U' D' L
D2 B' R F U' D2 L
D2 B' R F D U' L
D2 B' R F D' U' L
D2 B' R F D2 U' L
B F D R' U' L' B
B F D R' U' B L'
B2 F D' U' L B' L2
F B D R' U' L' B
F B D R' U' B L'
R' B' R' F R' U' L'
D2 B' R' F R2 U' L
B' F D2 B R' U' L'
B' F D2 B2 U' L' B'
B F D' U' L B' L2
D B' R F U' D' L2
D B' R F U2 F2 U
D B' R F D' U' L2
D B' R F D2 B2 U'
L B' R L' F U' L'
B2 F D2 B R' U' L'
B2 F D2 B2 U' L' B'
F B D' U' L B' L2
R' B' R2 F U' L' D
R' B' R2 F U' L' D'
R' B' R2 F U' L' D2
R' B' R2 F U' D L'
R' B' R2 F U' D' L'
R' B' R2 F U' D2 L'
D2 B' R2 F R' U' L
R' B' R2 F D U' L'
R' B' R2 F D' U' L'
R' B' R2 F D2 U' L'
R' B' R2 F B U' L'
R' B' R2 F B' U' L'
R' B' R2 F B2 U' L'
R' B' R2 B F U' L'
R' B' R2 B' F U' L'
R' B' R2 B2 F U' L'
U' B' U R F U' L'
D B' R' F B R2 U'
B F D2 B R' U' L'
R B' R F R' U' L'
D B' R' B R2 F U'
D B' R' B F R2 U'
B F D2 B2 U' L' B'
F B D2 B R' U' L'
F B D2 B2 U' L' B'
R B' R2 F R2 U' L'
U2 B' U2 R F U' L'
D2 B' D R F U' L
D' B' D R F U' L'
D2 B' D' R F U' L
D2 B' D2 R F U' L
D B' D' R F U' L'
R' B' F R2 U' L' D
R' B' F R2 U' L' D'
R' B' F R2 U' L' D2
R' B' F R2 U' D L'
R' B' F R2 U' D' L'
R' B' F R2 U' D2 L'
R' B' F R2 D U' L'
R' B' F R2 D' U' L'
R' B' F R2 D2 U' L'
R' B' F R2 B U' L'
R' B' F R2 B' U' L'
R' B' F R2 B2 U' L'
R' B' F U' L' D B2
R' B' F U' D L' B2
D2 B' F U' D' L B'
R' B' F U' D B2 L'
R' B' F D U' L' B2
R' B' F D U' B2 L'
D2 B' F D' U' L B'
F B' U' L2 D' L B'
R B' D2 F B' U' L
F B' U' D' L B' L2
R B' D2 B' F U' L
R B' F U R U2 L'
R B' F U R' U2 L'
R B' F U R2 U2 L'
R B' F U' L2 D L
R B' F U' L2 D' L
R B' F U' L2 D2 L
R B' F U' D L' D
R B' F U' D L' D'
R B' F U' D L' D2
R B' F U' D' L' D
R B' F U' D' L' D'
R B' F U' D' L' D2
R B' F U' D2 L' D
R B' F U' D2 L' D'
R B' F U' D2 L' D2
R B' F U' B' L' B
R B' F U' B2 L' B2
R B' F D U' L' D
R B' F D U' L' D'
R B' F D U' L' D2
R B' F D B U' L'
R B' F D B' U' L'
R B' F D B2 U' L'
R B' F D' U' L' D
R B' F D' U' L' D'
R B' F D' U' L' D2
R B' F D' B U' L'
R B' F D' B' U' L'
R B' F D' B2 U' L'
R B' F D2 U' L' D
R B' F D2 U' L' D'
R B' F D2 U' L' D2
R B' F D2 B U' L'
R B' F D2 B' U' L'
R B' F D2 B2 U' L'
F B' D R' U' L' B
F B' D R' U' B L'
R B' F2 D F' U' L'
R B' F2 D' F' U' L'
R B' F2 D2 F' U' L'
F B' D' U' L B' L2
U' B2 R F U' L' F'
L B2 L' R F U' L'
D' B2 R D F U' L'
D2 B2 R F B U' L
D2 B2 R B F U' L
F B' D2 B R' U' L'
R' B2 R' F R' U' L'
F B' D2 B2 U' L' B'
D B2 R F U' D' L2
D B2 R F U2 F2 U
D B2 R F D' U' L2
D B2 R F D2 B2 U'
L B2 R L' F U' L'
R' B2 R2 F U' L' D
R' B2 R2 F U' L' D'
R' B2 R2 F U' L' D2
R' B2 R2 F U' D L'
R' B2 R2 F U' D' L'
R' B2 R2 F U' D2 L'
R' B2 R2 F D U' L'
R' B2 R2 F D' U' L'
R' B2 R2 F D2 U' L'
R' B2 R2 F B U' L'
R' B2 R2 F B' U' L'
R' B2 R2 F B2 U' L'
R' B2 R2 B F U' L'
R' B2 R2 B' F U' L'
U' B2 U R F U' L'
R' B2 R2 B2 F U' L'
D B2 R' F B R2 U'
D B2 R' B R2 F U'
R B2 R F R' U' L'
D B2 R' B F R2 U'
R B2 R2 F R2 U' L'
U2 B2 U2 R F U' L'
D' B2 D R F U' L'
F B2 U' L2 D' L B'
D B2 D' R F U' L'
F B2 U' D' L B' L2
R' B2 F R2 U' L' D
R' B2 F R2 U' L' D'
R' B2 F R2 U' L' D2
R' B2 F R2 U' D L'
R' B2 F R2 U' D' L'
R' B2 F R2 U' D2 L'
R' B2 F R2 D U' L'
R' B2 F R2 D' U' L'
R' B2 F R2 D2 U' L'
R' B2 F R2 B U' L'
R' B2 F R2 B' U' L'
R' B2 F R2 B2 U' L'
R' B2 F U' L' D B2
R' B2 F U' D L' B2
R' B2 F U' D B2 L'
R' B2 F D U' L' B2
R' B2 F D U' B2 L'
F B2 D R' U' L' B
F B2 D R' U' B L'
R2 B2 F U' L' D' B2
R2 B2 F U2 L U L2
R B2 D2 F B' U' L
R B2 D2 B' F U' L
F B2 D' U' L B' L2
R B2 F U R U2 L'
R B2 F U R' U2 L'
R B2 F U R2 U2 L'
R B2 F U' L2 D L
R B2 F U' L2 D' L
R B2 F U' L2 D2 L
R B2 F U' D L' D
R B2 F U' D L' D'
R B2 F U' D L' D2
R B2 F U' D' L' D
R B2 F U' D' L' D'
R B2 F U' D' L' D2
R B2 F U' D2 L' D
R B2 F U' D2 L' D'
R B2 F U' D2 L' D2
R B2 F U' B' L' B
R B2 F U' B2 L' B2
R B2 F D U' L' D
R B2 F D U' L' D'
R B2 F D U' L' D2
R B2 F D B U' L'
R B2 F D B' U' L'
R B2 F D B2 U' L'
R B2 F D' U' L' D
R B2 F D' U' L' D'
R B2 F D' U' L' D2
R B2 F D' B U' L'
R B2 F D' B' U' L'
R B2 F D' B2 U' L'
R B2 F D2 U' L' D
R B2 F D2 U' L' D'
R B2 F D2 U' L' D2
R B2 F D2 B U' L'
R B2 F D2 B' U' L'
R B2 F D2 B2 U' L'
F B2 D2 B R' U' L'
F B2 D2 B2 U' L' B'
R B2 F2 D F' U' L'
R B2 F2 D' F' U' L'
R B2 F2 D2 F' U' L'
