B L2 U F
B L2 R U F
B L2 R' U F
B L2 R2 U F
B L2 U D F
B L2 U D' F
B L2 U D2 F
B L2 U F D
B L2 U F D'
B L2 U F D2
B L2 D U F
B L2 D' U F
B L2 D2 U F
U L2 B U L2
B R L2 U F
B R' L2 U F
B R2 L2 U F
U B L2 U L2
L2 B U' B' U2
U F' B' L2 B2 U L2
B' D' U' B U2 B R2
B D' U L2 F L2 B2
B D' U L2 F B2 L2
B D' U L2 B2 F L2
B D' U R2 B2 R2 F'
B D' U B D2 F2 B
B D' U B D2 B F2
B D' U B2 R2 F' R2
B D' U B2 U2 B U2
F D' U F' B U B
F D' U B F' U B
D F2 L U F2 B U
D F2 L U B F2 U
B D' U' F B' U2 B'
B D' U' F' B' U2 B'
B D' U' F2 B' U2 B'
B D' U' B' U2 D B'
B D' U' B' U2 D' B'
B D' U' B' U2 D2 B'
B D' U' B' U2 B' D
B D' U' B' U2 B' D'
B D' U' B' U2 B' D2
B D' U' B' D U2 B'
B D' U' B' D' U2 B'
B D' U' B' D2 U2 B'
B D' U' B' F U2 B'
B D' U' B' F' U2 B'
B D' U' B' F2 U2 B'
B D' U2 L2 U' F B2
B D' U2 L2 U' B2 F
D F2 L' U F2 B U
D F2 L' U B F2 U
D F2 L2 U F2 B U
D F2 L2 U B F2 U
U F2 L2 D F2 B U
U F2 L2 D B F2 U
U F2 L2 F B U L2
U F2 L2 F' B U L2
U F2 L2 F2 B U L2
U F2 L2 B U L2 D
U F2 L2 B U L2 D'
U F2 L2 B U L2 D2
U F2 L2 B D F2 U
U F2 L2 B F U L2
U F2 L2 B F' U L2
U F2 L2 B F2 U L2
F2 D' B U L2 F B
F2 D' B U L2 B F
B2 D' B' R2 U D B'
B2 D' B' R2 U D' B'
B2 D' B' R2 U D2 B'
B2 D' B' R2 U B' D
B2 D' B' R2 U B' D'
B2 D' B' R2 U B' D2
B2 D' B' R2 D U B'
B2 D' B' R2 D' U B'
B2 D' B' R2 D2 U B'
B2 D' B' U D' F2 B'
B2 D' B' U D' B' F2
B2 D' B' U B' D' F2
U' F2 U B L2 U F
B2 D' B' D' U F2 B'
B2 D' B' D' U B' F2
D' F2 U F2 B U B
D' F2 U B F2 U B
L' F2 U F2 L' B U
L' F2 U F2 B L' U
L' F2 U B F2 L' U
R2 F2 U L2 F2 B' U
R2 F2 U L2 B' F2 U
L2 F2 U F2 B U B'
L2 F2 U B F2 U B'
U' F2 U2 L2 B U L2
D F2 U D' B U L2
L F2 U L F2 B U
L F2 U L B F2 U
D F2 U F2 D B U
D F2 U F2 D' B U
D F2 U F2 D2 B U
D F2 U F2 B U D
D F2 U F2 B U D'
D F2 U F2 B U D2
D F2 U F2 B D U
D F2 U F2 B D' U
D F2 U F2 B D2 U
D F2 U B U D' L2
D F2 U B D' U L2
D F2 U B F2 U D
D F2 U B F2 U D'
D F2 U B F2 U D2
D F2 U B F2 D U
D F2 U B F2 D' U
D F2 U B F2 D2 U
U' F2 U2 B L2 U L2
L F2 U F2 L B U
U2 F2 U2 L2 B U F2
U2 F2 U2 B L2 U F2
U F2 U' B L2 U F
D F2 D R2 U' F' U'
B D2 L2 U D F B2
B D2 L2 U D B2 F
B D2 L2 U F D B2
B D2 L2 U2 R2 U' F
B D2 L2 D U F B2
B D2 L2 D U B2 F
L2 F2 D' B U L2 F
D F2 D' U B U L2
U2 F2 B L2 F U F
L2 F2 B U D' L2 F
L2 F2 B D' U L2 F
U F2 B L2 U L2 D
U F2 B L2 U L2 D'
U F2 B L2 U L2 D2
B D2 R2 U' B' U2 B
U F2 B L2 D F2 U
U F2 B L2 F U L2
U F2 B L2 F' U L2
U F2 B L2 F2 U L2
U F2 B' L2 B2 U L2
F2 D2 U' R2 F' B2 U'
F2 D2 U' R2 B2 F' U'
B' D2 U2 R2 F2 U' F
B' D2 U2 F2 R2 U' F'
L' B L' U L' F L
L' B L' U2 L' U' F
L' B L' D2 R U F'
R' B L2 R B U F
B D2 U' B' U' R2 U'
B D2 U' B' U2 D B2
B D2 U' B' D U2 B2
B D2 U' B' D' F2 U2
U' B L2 U2 L2 U' L2
R' B L2 U R F R
R' B L2 U R' F R
R' B L2 U R2 F R
R' B L2 U D F R
R' B L2 U D' F R
R' B L2 U D2 F R
R' B L2 U F R D
R' B L2 U F R D'
R' B L2 U F R D2
R' B L2 U F D R
R' B L2 U F D' R
R' B L2 U F D2 R
F D2 U' R2 F' B U'
F D2 U' R2 B F' U'
D2 B L2 U D F B2
D2 B L2 U D B2 F
D2 B L2 U F D B2
B D2 U2 L2 R2 U' F
D' B L2 U D F B
D' B L2 U D B F
D' B L2 U D' F B
D' B L2 U D' B F
D' B L2 U D2 F B
D' B L2 U D2 B F
D' B L2 U F D B
D' B L2 U F D' B
D' B L2 U F D2 B
D' B L2 U F B D
D' B L2 U F B D'
D' B L2 U F B D2
U B L U L' D' B2
D' B L2 U B D F
D' B L2 U B D' F
D' B L2 U B D2 F
D' B L2 U B F D
D' B L2 U B F D'
D' B L2 U B F D2
D2 B L2 U2 R2 U' F
R' B L2 D U F R
D2 B L2 D U F B2
D2 B L2 D U B2 F
R' B L2 D' U F R
B D2 U2 R2 L2 U' F
B D2 U2 R2 U B' U2
D' B L2 D U F B
D' B L2 D U B F
R' B L2 D2 U F R
U B L D L U L2
D' B L2 D' U F B
D' B L2 D' U B F
U B L D' L U L2
D' B L2 D2 U F B
D' B L2 D2 U B F
U B L D2 L U L2
R' B L2 B U F R
R' B L2 B' U F R
U2 B L2 R F U F'
R' B L2 B2 U F R
U2 B L2 R' F U F'
U2 B L2 R2 F U F'
L2 B L2 U D' F B2
L2 B L2 U D' B2 F
L2 B L2 U F D' B2
R' B R L2 B U F
U2 B L2 D F U F'
R2 B L2 R U F R
U B L' U L D' B2
U2 B L2 D' F U F'
L2 B L2 D' U F B2
L2 B L2 D' U B2 F
U2 B L2 D2 F U F'
R2 B L2 R2 B U F
U2 B L2 F U D F'
U2 B L2 F U D' F'
U2 B L2 F U D2 F'
U2 B L2 F U F' D
U2 B L2 F U F' D'
U2 B L2 F U F' D2
U2 B L2 F D U F'
U2 B L2 F D' U F'
U2 B L2 F D2 U F'
R2 B L2 U F D R2
U B L' D L' U L2
U B L' D' L' U L2
R2 B L2 U2 F' U' F2
U B L' D2 L' U L2
D B L2 U D2 F B2
D B L2 U D2 B2 F
D B L2 U' F2 U2 F'
U2 B R L2 F U F'
L2 B R U L2 F L2
D B L2 D2 U F B2
D B L2 D2 U B2 F
L2 B R U' D B' U2
L2 B R U' D' B' U2
L2 B R U' D2 B' U2
L2 B R U' B' U2 D
L2 B R U' B' U2 D'
L2 B R U' B' U2 D2
L2 B R U' B' D U2
L2 B R U' B' D' U2
L2 B R U' B' D2 U2
L2 B R U2 L2 U' F
L2 B R D U' B' U2
U B L2 U L D L
U B L2 U L D' L
U B L2 U L D2 L
U B L2 U L' D L'
U B L2 U L' D' L'
U B L2 U L' D2 L'
U B L2 U F L2 F'
L2 B R D' U' B' U2
U B L2 U F2 L2 F2
U B L2 U B' L2 B
U B L2 U B2 L2 B2
U B L2 U' R U2 L2
U B L2 U' R' U2 L2
U B L2 U' R2 U2 L2
U B L2 U' D2 R2 U2
R2 B R L2 U F R
L2 B R D2 U' B' U2
U B L2 U2 D' B2 U'
U B L2 U2 B U' L2
U B L2 U2 B' U' L2
U B L2 U2 B2 U' L2
U B L2 D F2 U D
U B L2 D F2 U D'
U B L2 D F2 U D2
U B L2 D F2 D U
U B L2 D F2 D' U
U B L2 D F2 D2 U
U B L2 D' U2 B2 U'
R B L2 R' B U F
R B L2 R2 U F R
U B L2 D2 U' R2 U2
U B L2 F U L2 D
U B L2 F U L2 D'
U B L2 F U L2 D2
U B L2 F D F2 U
D B R U' F2 B' U2
U B L2 F' U L2 D
U B L2 F' U L2 D'
U B L2 F' U L2 D2
D B R U' B' F2 U2
U B L2 F' D F2 U
U B L2 F2 U L2 D
U B L2 F2 U L2 D'
U B L2 F2 U L2 D2
U B L2 F2 D F2 U
D B R D' L2 U F
U2 B R' L2 F U F'
L2 B R' U L2 F L2
L2 B R' U' D B' U2
L2 B R' U' D' B' U2
L2 B R' U' D2 B' U2
L2 B R' U' B' U2 D
L2 B R' U' B' U2 D'
L2 B R' U' B' U2 D2
L2 B R' U' B' D U2
L2 B R' U' B' D' U2
L2 B R' U' B' D2 U2
L2 B R' U2 L2 U' F
L2 B R' D U' B' U2
D2 B R2 U' B' U2 B
L2 B R' D' U' B' U2
D' B R2 U' F' B' U2
D' B R2 U' B' F' U2
L2 B R' D2 U' B' U2
D B R' U' F2 B' U2
D B R' U' B' F2 U2
D B R' D' L2 U F
U2 B R2 L2 F U F'
L2 B R2 U L2 F L2
L2 B R2 U' D B' U2
L2 B R2 U' D' B' U2
L2 B R2 U' D2 B' U2
L2 B R2 U' B' U2 D
L2 B R2 U' B' U2 D'
L2 B R2 U' B' U2 D2
L2 B R2 U' B' D U2
L2 B R2 U' B' D' U2
L2 B R2 U' B' D2 U2
L2 B R2 U2 L2 U' F
D' B U L2 F L2 B
D' B U L2 F B L2
D' B U L2 B F L2
L2 B R2 D U' B' U2
L2 B R2 D' U' B' U2
L2 B R2 D2 U' B' U2
B2 D2 B' U F2 D B2
R2 B R2 L2 B U F
B2 D2 B' U2 R2 U' F2
D' B U D B D2 F2
D' B U D' B D2 F2
B2 D2 B' D R2 U B2
D' B U D2 B D2 F2
D' B U F B D2 F2
R B R' L2 B U F
D' B U F' B D2 F2
D B R2 U' F2 B' U2
D B R2 U' B' F2 U2
D' B U F2 B D2 F2
D' B U B U2 B2 U2
D' B U B D2 F2 D
D' B U B D2 F2 D'
D' B U B D2 F2 D2
D' B U B F D2 F2
D' B U B F' D2 F2
D' B U B F2 D2 F2
D B R2 D' L2 U F
L2 B U L2 F L2 D
L2 B U L2 F L2 D'
L2 B U L2 F L2 D2
L2 B U L2 F' L2 F2
L2 B U L2 F2 L2 F'
L2 B U D L2 F L2
L2 B U D' L2 F L2
L2 B U D2 L2 F L2
D2 B U' D B' U2 B'
L2 B U F L2 F L2
L2 B U F U2 B' U2
D2 B U' D' F2 B' U2
D2 B U' D' B' F2 U2
D' B U' D B' U2 B2
L2 B U F' L2 F L2
L2 B U F' U2 B' U2
D' B U' D' B' U2 B2
L2 B U F2 L2 F L2
L2 B U F2 U2 B' U2
D' B U' D2 B' U2 B2
R B R2 L2 U F R
D B U L2 F L2 B'
D' B U' F B' U2 B2
L2 B U B D2 F2 B'
L2 B U B D2 B' F2
D' B U' F' B' U2 B2
D' B U' F2 B' U2 B2
D2 B U' B' U' R2 U'
D2 B U' B' U2 D B2
D2 B U' B' D U2 B2
D2 B U' B' D' F2 U2
D' B U' B' U2 B2 D
D' B U' B' U2 B2 D'
D' B U' B' U2 B2 D2
D' B U' B' D2 F2 U2
D' B U' B' F U2 B2
D' B U' B' F' U2 B2
D' B U' B' F2 U2 B2
L' B U' B' U L' U
D2 B U2 L2 R2 U' F
L2 B U' R' B' R U2
D' B U2 L2 U' F B
D' B U2 L2 U' B F
L2 B U' R2 B' R2 U2
L2 B U' D B' U2 D
L2 B U' D B' U2 D'
L2 B U' D B' U2 D2
L2 B U' D B' D U2
L2 B U' D B' D' U2
L2 B U' D B' D2 U2
D2 B U2 R2 L2 U' F
D B U B D2 F2 B2
D2 B U2 R2 U B' U2
D B U B D2 B2 F2
L2 B U' D' B' U2 D
L2 B U' D' B' U2 D'
L2 B U' D' B' U2 D2
L2 B U' D' B' D U2
L2 B U' D' B' D' U2
L2 B U' D' B' D2 U2
L2 B U' D2 B' U2 D
L2 B U' D2 B' U2 D'
L2 B U' D2 B' U2 D2
L2 B U' D2 B' D U2
L2 B U' D2 B' D' U2
L2 B U' D2 B' D2 U2
U B U D' B2 D L2
L2 B U' B U2 D2 F2
L2 B U' B D2 U2 F2
F2 B L F2 L U F
L2 B U' B2 D B U2
L2 B U' B2 D' B U2
L2 B U' B2 D2 B U2
L2 B U2 L2 U' D F
L2 B U2 L2 U' D' F
L2 B U2 L2 U' D2 F
L2 B U2 L2 U' F D
L2 B U2 L2 U' F D'
L2 B U2 L2 U' F D2
L2 B U2 L2 D U' F
L2 B U2 L2 D' U' F
L2 B U2 L2 D2 U' F
D B U' D2 B' U2 B'
D2 B D L2 U F B2
D2 B D L2 U B2 F
D' B D L2 U F B
D' B D L2 U B F
D B U' F2 D B' U2
D B U' F2 D' B' U2
D B U' F2 D2 B' U2
D B U' F2 B' U2 D
D B U' F2 B' U2 D'
D B U' F2 B' U2 D2
D B U' F2 B' D U2
D B U' F2 B' D' U2
D B U' F2 B' D2 U2
L2 B U2 D L2 U' F
L2 B U2 D' L2 U' F
D B U' B' U2 D2 B2
L2 B U2 D2 L2 U' F
D B U' B' D2 U2 B2
D B U' B' F2 U2 D
D B U' B' F2 U2 D'
D B U' B' F2 U2 D2
D B U' B' F2 D U2
D B U' B' F2 D' U2
D B U' B' F2 D2 U2
D2 B D U' B' U2 B'
D' B D U B D2 F2
B F L F' L U F
D' B D U' B' U2 B2
L B U' B' U L U
F B L F' L U F
L2 B D R U' B' U2
F' B L2 U2 B' U' F
F2 B L2 R F2 U F'
L2 B D R' U' B' U2
F2 B L2 R' F2 U F'
D' B D' L2 U F B
D' B D' L2 U B F
F2 B L2 R2 F2 U F'
L2 B D R2 U' B' U2
F2 B L2 U D' F L2
L2 B D U L2 F L2
L2 B D U' B' U2 D
L2 B D U' B' U2 D'
L2 B D U' B' U2 D2
L2 B D U' B' D U2
L2 B D U' B' D' U2
L2 B D U' B' D2 U2
L2 B D U2 L2 U' F
D2 B D' U' F2 B' U2
D2 B D' U' B' F2 U2
D' B D' U B D2 F2
F2 B L2 D' U F L2
D' B D' U' B' U2 B2
F2 B L2 F2 U D F'
F2 B L2 F2 U D' F'
F2 B L2 F2 U D2 F'
F2 B L2 F2 U F' D
F2 B L2 F2 U F' D'
F2 B L2 F2 U F' D2
F2 B L2 F2 D U F'
F2 B L2 F2 D' U F'
F2 B L2 F2 D2 U F'
L2 B D' R U' B' U2
B F L2 U F D' L2
D2 B D2 L2 R U F
D2 B D2 L2 R' U F
D2 B D2 L2 R2 U F
D2 B D2 L2 U D F
D2 B D2 L2 U D' F
D2 B D2 L2 U D2 F
D2 B D2 L2 U F D
D2 B D2 L2 U F D'
D2 B D2 L2 U F D2
D2 B D2 L2 D U F
D2 B D2 L2 D' U F
D2 B D2 L2 D2 U F
L2 B D' R' U' B' U2
D2 B D2 R L2 U F
D' B D2 L2 U F B
D' B D2 L2 U B F
F2 B R L2 F2 U F'
L2 B D' R2 U' B' U2
D2 B D2 R' L2 U F
L2 B D' U L2 F L2
B F L2 D F' U F2
D2 B D2 R2 L2 U F
F' B R F L2 U F
L2 B D' U' B' U2 D
L2 B D' U' B' U2 D'
L2 B D' U' B' U2 D2
L2 B D' U' B' D U2
L2 B D' U' B' D' U2
L2 B D' U' B' D2 U2
B F L2 D' F' U F2
L2 B D' U2 L2 U' F
B F L2 D2 F' U F2
D' B D2 U B D2 F2
B F L2 F' R U F2
D' B D2 U' B' U2 B2
B F L2 F' R' U F2
B F L2 F' R2 U F2
B F L2 F' U F2 D
B F L2 F' U F2 D'
B F L2 F' U F2 D2
B F L2 F' D R2 U
F B L2 U F D' L2
D B D' L2 R U F
D B D' L2 R' U F
D B D' L2 R2 U F
D B D' L2 U D F
D B D' L2 U D' F
D B D' L2 U D2 F
D B D' L2 U F D
D B D' L2 U F D'
D B D' L2 U F D2
D B D' L2 D U F
D B D' L2 D' U F
D B D' L2 D2 U F
D B D' R L2 U F
D B D' R' L2 U F
F2 B R F2 L2 U F
F B L2 D F' U F2
D B D' R2 L2 U F
F B L2 D' F' U F2
F B L2 D2 F' U F2
F B L2 F' R U F2
L2 B D2 R U' B' U2
F B L2 F' R' U F2
F B L2 F' R2 U F2
F B L2 F' U F2 D
F B L2 F' U F2 D'
F B L2 F' U F2 D2
F B L2 F' D R2 U
L2 B D2 R' U' B' U2
U B D' L U L' B2
U B D' L U B2 L'
L2 B D2 R2 U' B' U2
F2 B R' L2 F2 U F'
U B D' L' U L B2
L2 B D2 U L2 F L2
U B D' L2 U L2 B2
U B D' L2 U B2 L2
F' B R' F L2 U F
L2 B D2 U' B' U2 D
L2 B D2 U' B' U2 D'
L2 B D2 U' B' U2 D2
L2 B D2 U' B' D U2
L2 B D2 U' B' D' U2
L2 B D2 U' B' D2 U2
L2 B D2 U2 L2 U' F
U B D' U B2 D L2
D B D2 L2 U F B2
D B D2 L2 U B2 F
F2 B R' F2 L2 U F
D B D2 U' B' U2 B'
U2 B F L2 F U F2
F2 B R2 L2 F2 U F'
F' B R2 F L2 U F
F2 B R2 F2 L2 U F
U B F L2 U L2 D
U B F L2 U L2 D'
U B F L2 U L2 D2
U B F L2 D F2 U
U B F L2 F U L2
U B F L2 F' U L2
U B F L2 F2 U L2
F2 B U D' L2 F B2
F2 B U D' L2 B2 F
U2 B F2 L2 F U F
L2 B F2 U D' L2 F
U B F' L2 U L2 D
U B F' L2 U L2 D'
U B F' L2 U L2 D2
U B F' L2 D F2 U
U B F' L2 F U L2
U B F' L2 F' U L2
U B F' L2 F2 U L2
L2 B F2 D' U L2 F
L' B' L B2 L2 U F
L' B' L' R2 B2 U F'
L' B' L' U D' R2 F'
U B F2 L2 U L2 D
U B F2 L2 U L2 D'
U B F2 L2 U L2 D2
U B F2 L2 D F2 U
U B F2 L2 F U L2
U B F2 L2 F' U L2
U B F2 L2 F2 U L2
L' B' L' D' U R2 F'
L' B' L' B2 U' B' U2
R' B' L2 U' B L U2
R2 B' L2 R2 B U F'
L2 B' L2 B2 L2 U F
F2 B D' U L2 F B2
F2 B D' U L2 B2 F
U B' L2 U L2 D' R2
L2 B' R B2 R U F'
U B' L2 F B2 U L2
U B' L2 F' B2 U L2
U B' L2 F2 B2 U L2
U B' L2 B2 U L2 D
U B' L2 B2 U L2 D'
U B' L2 B2 U L2 D2
U B' L2 B2 D F2 U
U B' L2 B2 F U L2
U B' L2 B2 F' U L2
U B' L2 B2 F2 U L2
L' B' R2 L' B2 U F'
L2 B' R' B2 R' U F'
D' B' R2 B2 U F' B
D' B' R2 B2 U B F'
L2 B' R2 U D' F' R2
L2 B' R2 U F' D' R2
L' B' R2 B2 L' U F'
L2 B' R2 D' U F' R2
R2 B' R2 L2 B U F'
D' B' U D' R2 F' B'
D' B' U D' R2 B' F'
L2 B' R2 B2 U D F'
L2 B' R2 B2 U D' F'
L2 B' R2 B2 U D2 F'
L2 B' R2 B2 U F' D
L2 B' R2 B2 U F' D'
L2 B' R2 B2 U F' D2
L2 B' R2 B2 D U F'
L2 B' R2 B2 D' U F'
L2 B' R2 B2 D2 U F'
R2 B' R2 B L2 U F'
L2 B' U R2 D' F' R2
L2 B' U R2 F' D' R2
L2 B' U D' R2 D F'
L2 B' U D' R2 D' F'
L2 B' U D' R2 D2 F'
L2 B' U D' R2 F' D
L2 B' U D' R2 F' D'
L2 B' U D' R2 F' D2
L2 B' U D' F R2 F'
L2 B' U D' F' R2 F'
L2 B' U D' F2 R2 F'
L2 B' U F D' R2 F'
L2 B' U F' D' R2 F'
L2 B' U F2 D' R2 F'
U B' R2 D' R2 F2 B2
U B' R2 D' R2 B2 F2
U B' R2 D' F2 R2 B2
U B' R2 D' F2 B2 R2
U B' R2 D' B2 R2 F2
U B' R2 D' B2 F2 R2
U' B' U2 L2 B2 U L2
L2 B' U' D L2 B U2
L2 B' U' D B L2 U2
L2 B' U' D' B U2 R2
U' B' U2 B2 L2 U L2
L2 B' U' B U B U
U2 B' U' B2 L2 F U
B F' L2 U2 B' U' F
B F' R F L2 U F
L' B' D' L' U R2 F'
L2 B' D U' L2 B U2
L2 B' D U' B L2 U2
D' B' D' U R2 F' B'
D' B' D' U R2 B' F'
L2 B' D' R U R F'
B F' R' F L2 U F
L2 B' D' U R2 D F'
L2 B' D' U R2 D' F'
L2 B' D' U R2 D2 F'
L2 B' D' U R2 F' D
L2 B' D' U R2 F' D'
L2 B' D' U R2 F' D2
L2 B' D' U F R2 F'
L2 B' D' U F' R2 F'
L2 B' D' U F2 R2 F'
L2 B' D' U' B U2 R2
D B' D' L2 U R2 F'
B F' R2 F L2 U F
U B' D' R2 B2 D' F2
U B' D' B2 R2 D' F2
U B' F L2 B2 U L2
U B' F' L2 B2 U L2
F2 B' D' L2 R2 F' B2
F2 B' D' L2 R2 B2 F'
F2 B' D' R2 L2 F' B2
F2 B' D' R2 L2 B2 F'
F2 B' D' R2 F' L2 B2
F2 B' D' R2 F' B2 L2
F2 B' D' R2 B2 L2 F'
F2 B' D' R2 B2 F' L2
U B' F2 L2 B2 U L2
F2 B' D' B2 L2 R2 F
F2 B' D' B2 L2 F R2
F2 B' D' B2 R2 L2 F
R2 B2 L2 D' R2 B U
L2 B2 R D' R2 B' U
L2 B2 R D' B' R2 U
L2 B2 R D2 B' U F2
U B2 L2 U2 F U' L2
B F2 L F2 L U F
L2 B2 R B' U' B' U2
L2 B2 R' D' R2 B' U
L2 B2 R' D' B' R2 U
L2 B2 R' D2 B' U F2
L2 B2 R' B' U' B' U2
B F2 L2 R F2 U F'
B F2 L2 R' F2 U F'
B F2 L2 R2 F2 U F'
B F2 L2 U D' F L2
L2 B2 R2 D' R2 B' U
L2 B2 R2 D' B' R2 U
L2 B2 R2 D2 B' U F2
B F2 L2 D' U F L2
L2 B2 R2 B' U' B' U2
B F2 L2 F2 U D F'
B F2 L2 F2 U D' F'
B F2 L2 F2 U D2 F'
B F2 L2 F2 U F' D
B F2 L2 F2 U F' D'
B F2 L2 F2 U F' D2
B F2 L2 F2 D U F'
B F2 L2 F2 D' U F'
B F2 L2 F2 D2 U F'
B F2 R L2 F2 U F'
B F2 R F2 L2 U F
B F2 R' L2 F2 U F'
U' B2 U2 B' L2 U L2
B F2 R' F2 L2 U F
U2 B2 U' B' L2 F U
L2 B2 U' B2 U B U
B F2 R2 L2 F2 U F'
L2 B2 U2 D L2 F U'
B F2 R2 F2 L2 U F
L2 B2 D U2 L2 F U'
B F2 U D' L2 F B2
B F2 U D' L2 B2 F
D' B2 D' R2 B' U B
L' B2 D' R2 B' L' U
L2 B2 D B' U D F2
L2 B2 D B' U2 L2 U'
L2 B2 D B' D U F2
L2 B2 D B' D2 R2 U
L' B2 D' B' L' R2 U
L' B2 D' B' R2 L' U
L2 B2 D' R B' R U
L2 B2 D' R2 D B' U
L2 B2 D' R2 D' B' U
L2 B2 D' R2 D2 B' U
L2 B2 D' R2 B' U D
L2 B2 D' R2 B' U D'
L2 B2 D' R2 B' U D2
L2 B2 D' R2 B' D U
L2 B2 D' R2 B' D' U
L2 B2 D' R2 B' D2 U
L2 B2 D' B R2 B2 U
L2 B2 D' B' R2 U D
L2 B2 D' B' R2 U D'
L2 B2 D' B' R2 U D2
L2 B2 D' B' R2 D U
L2 B2 D' B' R2 D' U
L2 B2 D' B' R2 D2 U
L2 B2 D' B' U D' F2
L2 B2 D' B' D' U F2
D2 B2 D2 B' L2 U F2
R2 B2 D' R2 B U B
D' B2 D2 B' U F2 B
D' B2 D2 B' U B F2
L' B2 D2 B' L' U F2
D B2 D' R2 B' L2 U
L2 B2 D2 R B' U F2
L2 B2 D2 R' B' U F2
L2 B2 D2 R2 B' U F2
B' F2 D' L2 R2 F' B2
B' F2 D' L2 R2 B2 F'
D B2 D' B' L2 R2 U
D B2 D' B' R2 L2 U
B' F2 D' R2 L2 F' B2
B' F2 D' R2 L2 B2 F'
B' F2 D' R2 F' L2 B2
B' F2 D' R2 F' B2 L2
B' F2 D' R2 B2 L2 F'
B' F2 D' R2 B2 F' L2
L2 B2 D2 B' R U F2
L2 B2 D2 B' R' U F2
L2 B2 D2 B' R2 U F2
L2 B2 D2 B' U F2 D
L2 B2 D2 B' U F2 D'
L2 B2 D2 B' U F2 D2
L2 B2 D2 B' D R2 U
B' F2 D' B2 L2 R2 F
B' F2 D' B2 L2 F R2
B' F2 D' B2 R2 L2 F
D B2 D2 B' U F2 B'
D B2 D2 B' U B' F2
B F2 D' U L2 F B2
B F2 D' U L2 B2 F
