B' R U2 B'
R B' U2 B'
B' R U2 D B'
B' R U2 D' B'
B' R U2 D2 B'
B' R U2 B' D
B' R U2 B' D'
B' R U2 B' D2
B' R D U2 B'
B' R D' U2 B'
B' R D2 U2 B'
B' R F U2 B'
B' R F' U2 B'
B' R F2 U2 B'
D2 R F2 B' U2
D2 R B' F2 U2
R D2 F2 B' U2
R D2 B' F2 U2
B' D R U2 B'
R F B' U2 B'
B' D' R U2 B'
R F' B' U2 B'
B' D2 R U2 B'
D2 F2 B' U2 L'
R F2 B' U2 B'
R' B' R2 U2 B'
R2 B' U2 B' L
D2 B' R F2 U2
F2 B' U2 B' L'
R B' U2 D B'
R B' U2 D' B'
R B' U2 D2 B'
R B' U2 B' D
R B' U2 B' D'
R B' U2 B' D2
R B' D U2 B'
R B' D' U2 B'
R B' D' U2 B'
D2 B' F2 U2 L'
R B' D2 U2 B'
R B' F U2 B'
R B' F' U2 B'
R B' F2 U2 B'
B' F2 U2 B' L'
R2 U2 L2 F B2 D' L
R2 U2 L2 F B2 D2 L
L2 U2 L2 B' R U2 B'
R2 U2 L2 F' B2 L F2
B' R' F' D2 U2 B' L2
D2 R' F' B' R2 U2 B
F R' F B' U2 B' L'
R2 U2 L2 F2 B2 L F'
F' R' F' B' U2 B' L'
L2 U2 R L2 B' U2 B'
R2 U2 L2 B2 D F L
R2 U2 L2 B2 D' F L
R U2 L2 F L' B2 L'
R2 U2 L2 B2 D2 F L
R U2 L2 F L2 B2 D
R U2 L2 F L2 B2 D'
R U2 L2 F L2 B2 D2
R2 U2 L2 B2 F L D
R2 U2 L2 B2 F L D'
R2 U2 L2 B2 F L D2
R2 U2 L2 B2 F D L
R2 U2 L2 B2 F D' L
R2 U2 L2 B2 F D2 L
R2 U2 L2 B2 F' L F2
R2 U2 L2 B2 F2 L F'
R U2 L2 F B L2 B
R U2 L2 F B2 L2 D
R U2 L2 F B2 L2 D'
R U2 L2 F B2 L2 D2
R U2 L2 F' L2 F2 B2
R U2 L2 F' L2 B2 F2
D2 R' F2 R B' R U2
F R' F' R B' U2 B'
R U2 L2 F' B2 L2 F2
R U2 L2 F2 L2 F' B2
R U2 L2 F2 L2 B2 F'
R U2 L2 F2 B2 L2 F'
D2 R' F2 R2 D B' U2
D2 R' F2 R2 D' B' U2
D2 R' F2 R2 D2 B' U2
D2 R' F2 R2 B' U2 D
D2 R' F2 R2 B' U2 D'
D2 R' F2 R2 B' U2 D2
D2 R' F2 R2 B' D U2
D2 R' F2 R2 B' D' U2
D2 R' F2 R2 B' D2 U2
R U2 L2 B F L2 B
B' R' F2 R2 U2 D B'
B' R' F2 R2 U2 D' B'
B' R' F2 R2 U2 D2 B'
B' R' F2 R2 U2 B' D
B' R' F2 R2 U2 B' D'
B' R' F2 R2 U2 B' D2
B' R' F2 R2 D U2 B'
B' R' F2 R2 D' U2 B'
B' R' F2 R2 D2 U2 B'
B' R' F2 R2 F U2 B'
B' R' F2 R2 F' U2 B'
B' R' F2 R2 F2 U2 B'
R U2 L2 B2 F L2 D
R U2 L2 B2 F L2 D'
R U2 L2 B2 F L2 D2
R U2 L2 B2 F' L2 F2
R U2 L2 B2 F2 L2 F'
L U2 R L' B U2 B
D2 R' F2 U2 D2 L2 F
F2 R' F2 R B' U2 B'
B' R' F2 U2 D2 B' L2
B' R' F2 U2 B' D2 L2
D2 R' F2 D2 U2 L2 F
D2 R' F2 D2 B' U2 L2
D2 R' F2 B R2 B2 U2
D2 R' F2 B' R2 U2 D
D2 R' F2 B' R2 U2 D'
D2 R' F2 B' R2 U2 D2
D2 R' F2 B' R2 D U2
D2 R' F2 B' R2 D' U2
D2 R' F2 B' R2 D2 U2
B' R' F2 D2 U2 B' L2
F R' F' B' R U2 B'
D2 R' F2 B' U2 D2 L2
D2 R' F2 B' D2 U2 L2
D2 R' F2 B2 R2 U2 F'
L U2 R B L' U2 B
F2 R' F2 B' R U2 B'
D2 R' B R2 F2 B2 U2
D2 R' B R2 B2 F2 U2
B' R' B R2 B' U2 B'
R' U2 R2 U2 B2 R2 F'
D2 R' B F2 R2 B2 U2
R2 U2 R' B' U2 R B'
R2 U2 R' B' U2 B' R
D2 R' B' R F2 U2 L'
R' U2 R2 B' U2 R2 B'
R' U2 R2 B' U2 B' R2
D2 R' B' R' F2 R' U2
D2 R' B' R2 U2 D2 B2
D2 R' B' R2 D2 U2 B2
D2 R' B' R2 F2 U2 D
D2 R' B' R2 F2 U2 D'
D2 R' B' R2 F2 U2 D2
D2 R' B' R2 F2 D U2
D2 R' B' R2 F2 D' U2
D2 R' B' R2 F2 D2 U2
D2 R' B' U2 D2 L2 B2
R U2 R' B2 R2 F' R'
D2 R' B' U2 D2 B2 L2
F2 R' B' R U2 B' L'
F2 R' B' R' U2 B' L'
F' R' B' U2 B L B2
F2 R' B' R2 U2 B' L'
D2 R' B' D2 U2 L2 B2
D2 R' B' D2 U2 B2 L2
D2 R' B' F R2 F U2
U2 R' B' R2 U2 R' B'
D2 R' B' F' R2 U2 B
F' R' B' F R U2 B'
D2 R' B' F2 R2 U2 D
D2 R' B' F2 R2 U2 D'
D2 R' B' F2 R2 U2 D2
D2 R' B' F2 R2 D U2
D2 R' B' F2 R2 D' U2
D2 R' B' F2 R2 D2 U2
D2 R' B' F2 U2 D2 L2
D2 R' B' F2 D2 U2 L2
F2 R' B' U2 D B' L'
F2 R' B' U2 D' B' L'
F2 R' B' U2 D2 B' L'
F2 R' B' U2 B L' B2
F2 R' B' U2 B' L' D
F2 R' B' U2 B' L' D'
F2 R' B' U2 B' L' D2
F2 R' B' U2 B' D L'
F2 R' B' U2 B' D' L'
F2 R' B' U2 B' D2 L'
F2 R' B' U2 B2 L' B
F' R' B' F' U2 B' L'
F2 R' B' D U2 B' L'
D R' B' R2 U L2 U
D R' B' R2 U2 D' B2
D R' B' R2 D F2 U2
D R' B' R2 D' U2 B2
F2 R' B' D' U2 B' L'
F2 R' B' D2 U2 B' L'
R U2 R2 F B2 R2 F'
R U2 R2 F' B2 R2 F'
F2 R' B' F2 R U2 B'
D2 R' B2 R2 F2 U2 F
R U2 R2 F2 B2 R2 F'
B' R' B2 R2 F' B2 U2
B' R' B2 R2 B2 F' U2
R U2 R2 B2 R2 D F'
R U2 R2 B2 R2 D' F'
R U2 R2 B2 R2 D2 F'
R U2 R2 B2 R2 F' D
R U2 R2 B2 R2 F' D'
R U2 R2 B2 R2 F' D2
R U2 R2 B2 F R2 F'
F R' B' U2 D2 B' L
R U2 R2 B2 F' R2 F'
R U2 R2 B2 F2 R2 F'
F R' B' D2 U2 B' L
F R' B' F U2 B' L'
F R' B' F' R U2 B'
D2 R' B2 F2 R2 U2 F'
B R' B2 R' F' R' U2
R' U2 D2 L2 D2 F B2
R' U2 D2 L2 D2 B2 F
R' U2 D2 F L2 F B'
R' U2 D2 F L2 B' F
U2 R2 L B2 L R2 F
U2 R2 L B2 L F R2
U2 R2 L B2 R2 L F
R U2 D2 L2 F L2 B'
R2 U2 F L B2 L F
R2 U2 F L2 F B2 L
U' R2 L2 U' F B2 L
R2 U2 F L2 B2 F L
U' R2 L2 U' B2 F L
R U2 D2 B D2 F2 B2
R U2 D2 B D2 B2 F2
B' R2 L2 F L2 R' U2
B' R2 L2 F R' L2 U2
R U2 F L2 F L2 B2
R U2 F L2 F B2 L2
R U2 F L2 B2 F L2
F2 R2 L2 F L B2 R'
R U2 F R2 B2 R2 F'
U2 R2 L2 F B2 L R2
U2 R2 L2 F B2 R2 L
R U2 F U2 B' U2 B'
R2 U2 F' L B2 L F
U R2 L2 U F B2 L
U R2 L2 U B2 F L
R2 U2 F' L2 F B2 L
R2 U2 F' L2 B2 F L
U2 R2 L2 B2 R2 F L
U2 R2 L2 B2 F L R2
U2 R2 L2 B2 F R2 L
U' R2 U R' B' U2 B'
R U2 F B D2 F2 B
R U2 F B D2 B F2
R U2 F B2 R2 F' R2
R U2 F B2 U2 B U2
R U2 F' L2 F L2 B2
R U2 F' L2 F B2 L2
R U2 F' L2 B2 F L2
U' R2 U B' U2 B' L
R U2 F' R2 B2 R2 F'
U' R2 U' L B2 L F
U R2 U L B2 L F
R2 U2 F2 L B2 L F
R U2 F' U2 B' U2 B'
U' R2 U' L2 F B2 L
U' R2 U' L2 B2 F L
U R2 U L2 F B2 L
R2 U2 F2 L2 F B2 L
U R2 U L2 B2 F L
R2 U2 F2 L2 B2 F L
U2 R2 U B2 L R2 F'
U2 R2 U B2 R2 L F'
U2 R2 U B2 R2 F' L
L' U2 F2 B2 L' R' F
L' U2 F2 B2 L' F R'
L' U2 F2 B2 R' L' F
R U2 F' B D2 F2 B
R U2 F' B D2 B F2
R U2 F' B2 R2 F' R2
R U2 F' B2 U2 B U2
R U2 F2 L2 F L2 B2
R U2 F2 L2 F B2 L2
R U2 F2 L2 B2 F L2
B' R2 U' B2 U' L B
R U2 F2 R2 B2 R2 F'
R' U2 B D2 L2 F2 B
R' U2 B D2 L2 B F2
R' U2 B D2 F2 L2 B
R' U2 B D2 F2 B L2
R' U2 B D2 B L2 F2
R' U2 B D2 B F2 L2
B' R2 U2 L' B2 L B'
R U2 F2 U2 B' U2 B'
U2 R2 U' B2 L R2 F'
U2 R2 U' B2 R2 L F'
U2 R2 U' B2 R2 F' L
F2 R2 U2 L2 F L B2
U R2 U' R' B' U2 B'
B' R2 U2 D B2 L B
R U2 F2 B D2 F2 B
R U2 F2 B D2 B F2
B2 R2 U2 R' U2 R F'
B' R2 U2 D' B2 L B
R U2 F2 B2 R2 F' R2
R U2 F2 B2 U2 B U2
R' U2 B' R2 U2 R2 B'
B' R2 U2 D2 B2 L B
R' U2 B' R2 U2 B' R2
R2 U2 B D2 F2 B L
R2 U2 B D2 B L F2
R2 U2 B D2 B F2 L
B' R2 U2 B2 L D B
B' R2 U2 B2 L D' B
B' R2 U2 B2 L D2 B
B' R2 U2 B2 L B D
B' R2 U2 B2 L B D'
B' R2 U2 B2 L B D2
B' R2 U2 B2 L' B L2
B' R2 U2 B2 L2 B L'
B' R2 U2 B2 D L B
B' R2 U2 B2 D' L B
B' R2 U2 B2 D2 L B
U R2 U' B' U2 B' L
F R2 U2 L2 F L' B2
F R2 U2 L2 F B2 L'
F R2 U2 L2 B2 F L'
R U2 B U2 B2 U2 B'
U2 R2 U2 B2 L R2 F'
R U2 B D B D F2
B' R2 D R' U2 D B'
B' R2 D R' U2 D' B'
B' R2 D R' U2 D2 B'
B' R2 D R' U2 B' D
B' R2 D R' U2 B' D'
B' R2 D R' U2 B' D2
B' R2 D R' D U2 B'
U2 R2 U2 B2 R2 L F'
B' R2 D R' D' U2 B'
U2 R2 U2 B2 R2 F' L
B' R2 D R' D2 U2 B'
B' R2 D R' F U2 B'
B' R2 D R' F' U2 B'
B' R2 D R' F2 U2 B'
R U2 B D' B D' F2
R U2 B D2 F2 D B
R U2 B D2 F2 D' B
R U2 B D2 F2 D2 B
R U2 B D2 F2 B D
R U2 B D2 F2 B D'
R U2 B D2 F2 B D2
R U2 B D2 B F2 D
R U2 B D2 B F2 D'
R U2 B D2 B F2 D2
R U2 B F D2 F2 B
R U2 B F D2 B F2
R U2 B F' D2 F2 B
R U2 B F' D2 B F2
B' R2 D U2 B2 L B
B' R2 D F R' U2 B'
R U2 B F2 D2 F2 B
R U2 B F2 D2 B F2
B' R2 D F' R' U2 B'
B' R2 D F2 R' U2 B'
R' U2 B2 U2 R2 U2 F'
R' U2 B2 U2 B R2 U2
D R2 D R' F2 B' U2
D R2 D R' B' F2 U2
R U2 B' R2 B' R2 F'
R2 U2 B2 L R2 F' R2
R2 U2 B2 L U2 B U2
B' R2 D' R' U2 D B'
B' R2 D' R' U2 D' B'
B' R2 D' R' U2 D2 B'
B' R2 D' R' U2 B' D
B' R2 D' R' U2 B' D'
B' R2 D' R' U2 B' D2
B' R2 D' R' D U2 B'
B' R2 D' R' D' U2 B'
B' R2 D' R' D2 U2 B'
B' R2 D' R' F U2 B'
B' R2 D' R' F' U2 B'
B' R2 D' R' F2 U2 B'
D R2 D F2 R' B' U2
L' U2 B2 F2 L' R' F
R2 U2 B2 R2 L F' R2
L' U2 B2 F2 L' F R'
L' U2 B2 F2 R' L' F
R2 U2 B2 R2 F' L R2
R2 U2 B2 R2 F' R2 L
B' R2 D' U2 B2 L B
B' R2 D' F R' U2 B'
B' R2 D' F' R' U2 B'
B' R2 D' F2 R' U2 B'
R U2 B2 R2 F R2 F2
R U2 B2 R2 F' R2 D
R U2 B2 R2 F' R2 D'
R U2 B2 R2 F' R2 D2
R U2 B2 R2 F2 R2 F
D R2 D' R' B' U2 B'
R U2 B2 U' R2 U F'
R U2 B2 U2 D B U2
R U2 B2 U2 D' B U2
R U2 B2 U2 D2 B U2
D2 R2 D2 R' B' U2 B'
R U2 B2 U2 B U2 D
R U2 B2 U2 B U2 D'
R U2 B2 U2 B U2 D2
R U2 B2 U2 B D U2
R U2 B2 U2 B D' U2
R U2 B2 U2 B D2 U2
R U2 B2 D R2 F' R2
R U2 B2 D U2 B U2
B' R2 D2 R' U2 D B'
B' R2 D2 R' U2 D' B'
B' R2 D2 R' U2 D2 B'
B' R2 D2 R' U2 B' D
B' R2 D2 R' U2 B' D'
B' R2 D2 R' U2 B' D2
B' R2 D2 R' D U2 B'
B' R2 D2 R' D' U2 B'
B' R2 D2 R' D2 U2 B'
B' R2 D2 R' F U2 B'
B' R2 D2 R' F' U2 B'
B' R2 D2 R' F2 U2 B'
R U2 B2 D' R2 F' R2
R U2 B2 D' U2 B U2
R U2 B2 D2 R2 F' R2
R U2 B2 D2 U2 B U2
R U2 B2 F R2 F' R2
R U2 B2 F U2 B U2
R U2 B2 F' R2 F' R2
R U2 B2 F' U2 B U2
B' R2 D2 U2 B2 L B
D R2 D' B' U2 B' L
R U2 B2 F2 R2 F' R2
B' R2 D2 F R' U2 B'
R U2 B2 F2 U2 B U2
B' R2 D2 F' R' U2 B'
B' R2 D2 F2 R' U2 B'
D2 R2 D2 B' U2 B' L
F2 R2 D2 F2 R B' U2
F2 R2 D2 F2 B' R U2
F2 R2 D2 B' F2 R U2
D2 R2 F R' F B' U2
D2 R2 F R' B' F U2
F' R2 F R B' U2 B'
B' R2 F R' U2 D B'
B' R2 F R' U2 D' B'
B' R2 F R' U2 D2 B'
B' R2 F R' U2 B' D
B' R2 F R' U2 B' D'
B' R2 F R' U2 B' D2
B' R2 F R' D U2 B'
B' R2 F R' D' U2 B'
B' R2 F R' D2 U2 B'
B' R2 F R' F U2 B'
B' R2 F R' F' U2 B'
B' R2 F R' F2 U2 B'
B' R2 F U2 B2 L B
B' R2 F D R' U2 B'
B' R2 F D' R' U2 B'
B' R2 F D2 R' U2 B'
F R2 D2 F2 B' U2 L
F' R2 F B' R U2 B'
F R2 D2 B' F2 U2 L
B R2 F R' F2 B2 U2
B R2 F R' B2 F2 U2
B' R2 F' R' U2 D B'
B' R2 F' R' U2 D' B'
B' R2 F' R' U2 D2 B'
B' R2 F' R' U2 B' D
B' R2 F' R' U2 B' D'
B' R2 F' R' U2 B' D2
B' R2 F' R' D U2 B'
B' R2 F' R' D' U2 B'
B' R2 F' R' D2 U2 B'
B' R2 F' R' F U2 B'
B' R2 F' R' F' U2 B'
B' R2 F' R' F2 U2 B'
U2 R2 F B2 L R2 F'
U2 R2 F B2 R2 L F'
U2 R2 F B2 R2 F' L
B' R2 F' U2 B2 L B
B' R2 F' D R' U2 B'
B' R2 F' D' R' U2 B'
B' R2 F' D2 R' U2 B'
B2 R2 F' U2 R' U2 R
F' R2 F' B' U2 B' L'
F R2 F B' U2 B' L'
B R2 F' R B2 R2 U2
B R2 F' R' U2 D2 F2
B R2 F' R' D2 U2 F2
B R2 F' R' B2 U2 D
B R2 F' R' B2 U2 D'
B R2 F' R' B2 U2 D2
B R2 F' R' B2 D U2
B R2 F' R' B2 D' U2
B R2 F' R' B2 D2 U2
B R2 F' R2 B2 R U2
D2 R2 F2 R B' R2 U2
D2 R2 F2 R' D B' U2
D2 R2 F2 R' D' B' U2
D2 R2 F2 R' D2 B' U2
D2 R2 F2 R' B' U2 D
D2 R2 F2 R' B' U2 D'
D2 R2 F2 R' B' U2 D2
D2 R2 F2 R' B' D U2
D2 R2 F2 R' B' D' U2
D2 R2 F2 R' B' D2 U2
F R2 F' R B' U2 B'
D2 R2 F2 R2 B' R U2
B' R2 F2 R' U2 D B'
B' R2 F2 R' U2 D' B'
B' R2 F2 R' U2 D2 B'
B' R2 F2 R' U2 B' D
B' R2 F2 R' U2 B' D'
B' R2 F2 R' U2 B' D2
B' R2 F2 R' D U2 B'
B' R2 F2 R' D' U2 B'
B' R2 F2 R' D2 U2 B'
B' R2 F2 R' F U2 B'
B' R2 F2 R' F' U2 B'
B' R2 F2 R' F2 U2 B'
U2 R2 F' B2 L R2 F'
U2 R2 F' B2 R2 L F'
U2 R2 F' B2 R2 F' L
B R2 F' D2 R' U2 F2
D2 R2 F2 D R' B' U2
F2 R2 F2 R B' U2 B'
D2 R2 F2 D' R' B' U2
B' R2 F2 U2 B2 L B
B' R2 F2 D R' U2 B'
D2 R2 F2 D2 R' B' U2
B R2 F' B2 R U2 L
B R2 F' B2 R' U2 L
B R2 F' B2 R2 U2 L
B' R2 F2 D' R' U2 B'
B R2 F' B2 U2 L D
B R2 F' B2 U2 L D'
B R2 F' B2 U2 L D2
B R2 F' B2 U2 D L
B R2 F' B2 U2 D' L
B R2 F' B2 U2 D2 L
B R2 F' B2 D U2 L
B R2 F' B2 D' U2 L
B R2 F' B2 D2 U2 L
B' R2 F2 D2 R' U2 B'
F R2 F' B' R U2 B'
B R2 F2 R' F B2 U2
B R2 F2 R' B2 F U2
F2 R2 F2 B' R U2 B'
R2 D R' U L2 U F
U2 R2 F2 B2 L R2 F'
U2 R2 F2 B2 R2 L F'
U2 R2 F2 B2 R2 F' L
R2 D R' D F2 B' U2
R2 D R' D B' F2 U2
R2 D R' D' B' U2 B'
B2 R2 B U2 F' B' L'
B2 R2 B U2 B' F' L'
R2 D R' B' U L2 U
R2 D R' B' U2 D' B2
R2 D R' B' D F2 U2
R2 D R' B' D' U2 B2
F2 R2 B' R U2 B' L'
F' R2 B' U2 B L B2
F2 R2 B' R' U2 B' L'
F2 R2 B' R2 U2 B' L'
F' R2 B' F R U2 B'
F2 R2 B' U2 D B' L'
F2 R2 B' U2 D' B' L'
F2 R2 B' U2 D2 B' L'
F' R2 B' F' U2 B' L'
F2 R2 B' U2 B L' B2
F2 R2 B' U2 B' L' D
F2 R2 B' U2 B' L' D'
F2 R2 B' U2 B' L' D2
F2 R2 B' U2 B' D L'
F2 R2 B' U2 B' D' L'
F2 R2 B' U2 B' D2 L'
F2 R2 B' U2 B2 L' B
F2 R2 B' D U2 B' L'
U2 R2 B' U2 R2 B' L
U2 R2 B' U2 B' L R2
U2 R2 B' U2 B' R2 L
F2 R2 B' D' U2 B' L'
F2 R2 B' D2 U2 B' L'
F2 R2 B' F2 R U2 B'
U2 R2 B2 L R2 D F'
U2 R2 B2 L R2 D' F'
U2 R2 B2 L R2 D2 F'
U2 R2 B2 L R2 F' D
U2 R2 B2 L R2 F' D'
U2 R2 B2 L R2 F' D2
U2 R2 B2 L F R2 F'
U2 R2 B2 L F' R2 F'
U2 R2 B2 L F2 R2 F'
U2 R2 B2 L' R2 F' L2
F R2 B' U2 D2 B' L
U2 R2 B2 R2 L D F'
U2 R2 B2 R2 L D' F'
U2 R2 B2 R2 L D2 F'
U2 R2 B2 R2 L F' D
U2 R2 B2 R2 L F' D'
U2 R2 B2 R2 L F' D2
U2 R2 B2 R2 L' F' L2
B2 R2 B2 U2 L F' B2
B2 R2 B2 U2 L B2 F'
U2 R2 B2 R2 D L F'
U2 R2 B2 R2 D F' L
U2 R2 B2 R2 D' L F'
U2 R2 B2 R2 D' F' L
U2 R2 B2 R2 D2 L F'
U2 R2 B2 R2 D2 F' L
U2 R2 B2 R2 F L F2
U2 R2 B2 R2 F' L D
U2 R2 B2 R2 F' L D'
U2 R2 B2 R2 F' L D2
U2 R2 B2 R2 F' D L
U2 R2 B2 R2 F' D' L
U2 R2 B2 R2 F' D2 L
B2 R2 B2 U2 F' L B2
F R2 B' D2 U2 B' L
F R2 B' F U2 B' L'
R D U L2 R U F
R D U L2 R' U F
R D U L2 R2 U F
R D U L2 U D F
R D U L2 U D' F
R D U L2 U D2 F
R D U L2 U F D
R D U L2 U F D'
R D U L2 U F D2
F R2 B' F' R U2 B'
R D U L2 D U F
R D U L2 D' U F
R D U L2 D2 U F
R D U R L2 U F
R D U R' L2 U F
B R2 B2 R2 U2 L B
R D U R2 L2 U F
U2 R2 B2 F L R2 F'
U R2 B2 L D' R2 F'
U2 R2 B2 F R2 L F'
U2 R2 B2 F R2 F' L
U2 R2 B2 F' L R2 F'
U2 R2 B2 F' R2 L F'
U2 R2 B2 F' R2 F' L
U2 R2 B2 F2 L R2 F'
U2 R2 B2 F2 R2 L F'
U2 R2 B2 F2 R2 F' L
B R2 B2 D F' U2 L
B R2 B2 D' F' U2 L
B R2 B2 D2 F' U2 L
B R2 B2 F' R U2 L
B R2 B2 F' R' U2 L
B R2 B2 F' R2 U2 L
B R2 B2 F' U2 L D
B R2 B2 F' U2 L D'
B R2 B2 F' U2 L D2
B R2 B2 F' U2 D L
B R2 B2 F' U2 D' L
B R2 B2 F' U2 D2 L
B R2 B2 F' D U2 L
B R2 B2 F' D' U2 L
B R2 B2 F' D2 U2 L
U R2 B2 D' L R2 F'
U R2 B2 D' R2 L F'
U R2 B2 D' R2 F' L
B' U L2 U' R F U2
F2 U L2 U F L B2
R D F U L2 U F
R D F D F2 B' U2
D U L2 U F2 L' F'
R D F D B' F2 U2
D U L2 U' R U2 F
R D F D' B' U2 B'
R D F B' U L2 U
R D F B' U2 D' B2
R D F B' D F2 U2
R D F B' D' U2 B2
F U L2 U F L' B2
F U L2 U F B2 L'
F U L2 U B2 F L'
U D L2 U F2 L' F'
U D L2 U' R U2 F
D U L2 F2 U L' F'
R D F' U L2 U F
U D L2 F2 U L' F'
R D F' D F2 B' U2
R D F' D B' F2 U2
R D F' D' B' U2 B'
R D F' B' U L2 U
R D F' B' U2 D' B2
R D F' B' D F2 U2
R D F' B' D' U2 B2
R D F2 U L2 U F
R D F2 D F2 B' U2
R D F2 D B' F2 U2
R D F2 D' B' U2 B'
R' D B' U L2 F U
R D F2 B' U L2 U
R D F2 B' U2 D' B2
R D F2 B' D F2 U2
R D F2 B' D' U2 B2
F2 U D L2 U F L
B' U D F2 U B' L'
R D B' U L2 U D
R D B' U L2 U D'
R D B' U L2 U D2
R D B' U L2 D U
R D B' U L2 D' U
R D B' U L2 D2 U
R D B' U' D2 R2 U'
D U F L2 U F L'
R D B' U2 D' B2 D
R D B' U2 D' B2 D'
R D B' U2 D' B2 D2
R D B' U2 B D' B2
R D B' U2 B' D' B2
R D B' U2 B2 D' B2
R D B' D F2 U2 D
R D B' D F2 U2 D'
R D B' D F2 U2 D2
R D B' D F2 D U2
R D B' D F2 D' U2
R D B' D F2 D2 U2
R D B' D' U2 B2 D
R D B' D' U2 B2 D'
R D B' D' U2 B2 D2
R D B' D' F U2 B2
R D B' D' F' U2 B2
R D B' D' F2 U2 B2
R D B' D2 U' R2 U'
R D B' F U L2 U
R D B' F U2 D' B2
R D B' F D F2 U2
R D B' F D' U2 B2
R D B' F' U L2 U
B' U D' F2 U B' L'
R D B' F' U2 D' B2
R D B' F' D F2 U2
R D B' F' D' U2 B2
U D F L2 U F L'
R D B' F2 U L2 U
R D B' F2 U2 D' B2
R D B' F2 D F2 U2
R D B' F2 D' U2 B2
R D B2 D F2 B U2
R D B2 D B F2 U2
B' U D2 F2 U B' L'
R D B2 D' B U2 B
B' U F U D2 B' L
D U F2 L2 U F L
B' U F D2 U B' L
U D F2 L2 U F L
B' U F2 U D B' L'
B' U F2 U D' B' L'
B' U F2 U D2 B' L'
B' U F2 U B L' B2
B' U F2 U B' L' D
B' U F2 U B' L' D'
B' U F2 U B' L' D2
B' U F2 U B' D L'
B' U F2 U B' D' L'
B' U F2 U B' D2 L'
B' U F2 U B2 L' B
B' U F2 D U B' L'
B' U F2 D' U B' L'
B' U F2 D2 U B' L'
F2 U B2 L' D' R2 F'
F2 U B2 D' L' R2 F'
F2 U B2 D' R2 L' F'
R D' U' L2 R2 U' F
R D' U' R2 L2 U' F
R D' U' R2 U B' U2
U' D' R2 U R' B' U2
D' U' R2 U R' B' U2
F2 U' L2 U' F L B2
R D' F D B' U2 B'
R D' F D' F2 B' U2
R D' F D' B' F2 U2
R D' F B' U' R2 U'
R D' F B' U2 D B2
R D' F B' D U2 B2
R D' F B' D' F2 U2
F U' L2 U' F L' B2
F U' L2 U' F B2 L'
F U' L2 U' B2 F L'
B' U' R' U R2 U2 B'
R D' F' D B' U2 B'
B' U' R' U' D2 B' L2
B' U' R' U' B' D2 L2
R D' F' D' F2 B' U2
R D' F' D' B' F2 U2
B' U' R' D B2 U' B
R D' F' B' U' R2 U'
R D' F' B' U2 D B2
R D' F' B' D U2 B2
R D' F' B' D' F2 U2
B' U' R' D2 U' B' L2
B' U' R2 U R' U2 B'
R D' F2 D B' U2 B'
B' U' R2 U' B2 L B
R D' F2 D' F2 B' U2
R D' F2 D' B' F2 U2
R' D' B' D R2 U2 B2
R' D' B' D' F2 U2 L2
R D' F2 B' U' R2 U'
R D' F2 B' U2 D B2
R D' F2 B' D U2 B2
R D' F2 B' D' F2 U2
B' U' R2 B2 U' L B
L' D2 L R F2 U2 F
R D' B' U D2 L2 U
R D' B' U' R2 U' D
R D' B' U' R2 U' D'
R D' B' U' R2 U' D2
R D' B' U' R2 D U'
R D' B' U' R2 D' U'
R D' B' U' R2 D2 U'
R D' B' U2 D B2 D
R D' B' U2 D B2 D'
R D' B' U2 D B2 D2
R D' B' U2 B D B2
R D' B' U2 B' D B2
R D' B' U2 B2 D B2
R D' B' D U2 B2 D
R D' B' D U2 B2 D'
R D' B' D U2 B2 D2
R D' B' D F U2 B2
R D' B' D F' U2 B2
R D' B' D F2 U2 B2
R D' B' D' F2 U2 D
R D' B' D' F2 U2 D'
R D' B' D' F2 U2 D2
R D' B' D' F2 D U2
R D' B' D' F2 D' U2
R D' B' D' F2 D2 U2
R D' B' D2 U L2 U
R D' B' F U' R2 U'
R D' B' F U2 D B2
R D' B' F D U2 B2
R D' B' F D' F2 U2
R D' B' F' U' R2 U'
R D' B' F' U2 D B2
R D' B' F' D U2 B2
R D' B' F' D' F2 U2
R D' B' F2 U' R2 U'
R D' B' F2 U2 D B2
R D' B' F2 D U2 B2
R D' B' F2 D' F2 U2
R D' B2 U' R2 U' F'
R D' B2 D B U2 B
R D' B2 D' F2 B U2
R D' B2 D' B F2 U2
R' D2 L2 D2 R2 F B2
R' D2 L2 D2 R2 B2 F
R' D2 L2 D2 F R2 B2
R' D2 L2 D2 F B2 R2
R' D2 L2 D2 B2 R2 F
R' D2 L2 D2 B2 F R2
L D2 L' R F2 B' U2
L D2 L' R B' F2 U2
L' D2 R L F2 U2 F
L D2 L' F2 B' U2 L'
R D2 L' F2 L B' U2
L D2 L' B' R F2 U2
L D2 L' B' F2 U2 L'
R' D2 R F2 U2 L2 F
R' D2 R F2 B' U2 L2
R' D2 R B' F2 U2 L2
L2 D2 R F2 L' U2 F'
R D2 L2 F2 L2 U2 F'
R' D2 R' F2 U2 L2 F
R' D2 R' F2 B' U2 L2
R2 D2 R F2 R2 B' U2
R2 D2 R F2 B' R2 U2
L D2 R L' F2 B' U2
L D2 R L' B' F2 U2
R' D2 R' B' F2 U2 L2
R2 D2 R B' R2 F2 U2
R2 D2 R B' F2 R2 U2
B' U' B R2 U' B2 L
B' U' B U R U2 B2
R2 D2 R' D2 B' U2 B'
R D2 R F2 R' B' U2
