F2 L2 U F B
F2 L2 U B F
D' U L2 F B
D' U L2 B F
U D' L2 F B
U D' L2 B F
F2 U B D2 F2
F2 U' B' U2 B2
L2 F2 U F' B
L2 F2 U B F'
F D F L2 U B F
L2 F' L2 F' U F' B
L2 F' L2 F' U B F'
F D F U B D2 F2
F D F U' B' U2 B2
U F' L2 F D' L2 B
U F' L2 F D' B L2
U F' L2 F B D' L2
U F' L2 B F D' L2
B2 D B L2 R2 U2 B2
B2 D B R2 L2 U2 B2
D' F' U L' B L' F
D' F' U L2 D F B
D' F' U L2 D B F
D' F' U L2 D' F B
D' F' U L2 D' B F
D' F' U L2 D2 F B
D' F' U L2 D2 B F
D' F' U L2 F D B
D' F' U L2 F D' B
D' F' U L2 F D2 B
D' F' U L2 F B D
D' F' U L2 F B D'
D' F' U L2 F B D2
D' F' U L2 B D F
D' F' U L2 B D' F
D' F' U L2 B D2 F
D' F' U L2 B F D
D' F' U L2 B F D'
D' F' U L2 B F D2
D2 F' U D L2 F B
D2 F' U D L2 B F
D' F' U F L2 F B
D' F' U F L2 B F
D' F' U F' L2 F B
D' F' U F' L2 B F
B2 D B' D2 L2 R2 F2
B2 D B' D2 L2 F2 R2
B2 D B' D2 R2 L2 F2
B2 D B' D2 R2 F2 L2
B2 D B' D2 F2 L2 R2
B2 D B' D2 F2 R2 L2
D' F' U F2 L2 F B
D' F' U F2 L2 B F
D' F' U B L2 D2 F2
D' F' U' B' U2 L2 B2
D' F' U' B' U2 B2 L2
D F' U D2 L2 F B
D F' U D2 L2 B F
D F' U B D2 L2 F2
D F' U B D2 F2 L2
D F' U' R2 F' B' U2
D F' U' R2 B' F' U2
D F' U' B' R2 U2 B2
D2 F' D U L2 F B
D2 F' D U L2 B F
B2 D' L2 R2 F' D2 B2
F2 D' L2 U D F B
F2 D' L2 U D B F
F2 D' L2 U D' F B
F2 D' L2 U D' B F
F2 D' L2 U D2 F B
F2 D' L2 U D2 B F
F2 D' L2 U F D B
F2 D' L2 U F D' B
F2 D' L2 U F D2 B
F2 D' L2 U F B D
F2 D' L2 U F B D'
F2 D' L2 U F B D2
F2 D' L2 U B D F
F2 D' L2 U B D' F
F2 D' L2 U B D2 F
F2 D' L2 U B F D
F2 D' L2 U B F D'
F2 D' L2 U B F D2
F' D' L2 F' U F2 B
F' D' L2 F' U B F2
F2 D' L2 D U F B
F2 D' L2 D U B F
F2 D' L2 D' U F B
F2 D' L2 D' U B F
F2 D' L2 D2 U F B
F2 D' L2 D2 U B F
B2 D' L2 F2 R2 F' B
B2 D' L2 F2 R2 B F'
B2 D' R B' L2 R F'
B2 D' R B' R L2 F'
B2 D' R B' R F' L2
D F' D2 U L2 F B
D F' D2 U L2 B F
U' F' B' U F' U B2
B2 D' R2 L2 F' D2 B2
F2 D' R2 U' F' B' U2
F2 D' R2 U' B' F' U2
B2 D' R2 F B' L2 F2
B2 D' R2 F' B L2 B2
B2 D' R2 F' B' L2 D
B2 D' R2 F' B' L2 D'
B2 D' R2 F' B' L2 D2
B2 D' R2 F' B2 L2 B
B2 D' R2 B L2 F' B2
B2 D' R2 B L2 B2 F'
B2 D' R2 B F' L2 B2
B2 D' R2 B' L F' L
B2 D' R2 B' L2 D F'
B2 D' R2 B' L2 D' F'
B2 D' R2 B' L2 D2 F'
B2 D' R2 B' L2 F' D
B2 D' R2 B' L2 F' D'
B2 D' R2 B' L2 F' D2
B2 D' R2 B' F L2 F2
B2 D' R2 B' F' L2 D
B2 D' R2 B' F' L2 D'
B2 D' R2 B' F' L2 D2
B2 D' R2 B2 L2 F' B
B2 D' R2 B2 L2 B F'
B2 D' R2 B2 F' L2 B
F2 D' U L2 F L2 B
F2 D' U L2 F B L2
F2 D' U L2 B F L2
B2 D' U R2 F' B' L2
B2 D' U R2 B' L2 F'
B2 D' U R2 B' F' L2
R2 F' B' U F' B U
R2 F' B' U B F' U
F2 D' U F B D2 F2
F2 D' U F' B D2 F2
F2 D' U F2 B D2 F2
B' D' U' R2 F' U' L2
F2 D' U B U2 B2 U2
F2 D' U B D2 F2 D
F2 D' U B D2 F2 D'
F2 D' U B D2 F2 D2
F2 D' U B F D2 F2
F2 D' U B F' D2 F2
F2 D' U B F2 D2 F2
B D' R2 B' U L2 B
B D' R2 B' U B L2
L' F2 L U B D2 F2
L' F2 L U' B' U2 B2
B2 D' U' R2 F' B' L2
B2 D' U' R2 B' L2 F'
B2 D' U' R2 B' F' L2
F2 D' U' F B' U2 B2
F2 D' U' F' B' U2 B2
L2 F2 L U D F' B
L2 F2 L U D B F'
L2 F2 L U D' F' B
L2 F2 L U D' B F'
L2 F2 L U D2 F' B
L2 F2 L U D2 B F'
L2 F2 L U F' D B
L2 F2 L U F' D' B
L2 F2 L U F' D2 B
L2 F2 L U F' B D
L2 F2 L U F' B D'
L2 F2 L U F' B D2
L2 F2 L U B D F'
L2 F2 L U B D' F'
L2 F2 L U B D2 F'
L2 F2 L U B F' D
L2 F2 L U B F' D'
L2 F2 L U B F' D2
F2 D' U' F2 B' U2 B2
F2 D' U' B' U2 B2 D
F2 D' U' B' U2 B2 D'
F2 D' U' B' U2 B2 D2
F2 D' U' B' D2 F2 U2
F2 D' U' B' F U2 B2
D' F2 L' U L' F B
D' F2 L' U L' B F
F2 D' U' B' F' U2 B2
F2 D' U' B' F2 U2 B2
L2 F2 L D U F' B
L2 F2 L D U B F'
D' F2 L' U B L' F
L2 F2 L D' U F' B
L2 F2 L D' U B F'
L2 F2 L D2 U F' B
L2 F2 L D2 U B F'
L' F2 L' U D F B
L' F2 L' U D B F
L' F2 L' U D' F B
L' F2 L' U D' B F
L' F2 L' U D2 F B
L' F2 L' U D2 B F
L' F2 L' U F D B
L' F2 L' U F D' B
L' F2 L' U F D2 B
L' F2 L' U F B D
L' F2 L' U F B D'
L' F2 L' U F B D2
L' F2 L' U B D F
L' F2 L' U B D' F
L' F2 L' U B D2 F
L' F2 L' U B F D
L' F2 L' U B F D'
L' F2 L' U B F D2
F2 D' U2 L2 U' F B
F2 D' U2 L2 U' B F
B2 D' U2 R2 F' B' L2
B2 D' U2 R2 B' L2 F'
B2 D' U2 R2 B' F' L2
L' F2 L' D U F B
L' F2 L' D U B F
L' F2 L' D' U F B
L' F2 L' D' U B F
B D' U' R2 B' U L2
L' F2 L' D2 U F B
L' F2 L' D2 U B F
R' F2 L2 R U F B
R' F2 L2 R U B F
B D' U' B' R2 U L2
L2 F2 L' U D F' B
L2 F2 L' U D B F'
L2 F2 L' U D' F' B
L2 F2 L' U D' B F'
L2 F2 L' U D2 F' B
L2 F2 L' U D2 B F'
L2 F2 L' U F' D B
L2 F2 L' U F' D' B
L2 F2 L' U F' D2 B
L2 F2 L' U F' B D
L2 F2 L' U F' B D'
L2 F2 L' U F' B D2
L2 F2 L' U B D F'
L2 F2 L' U B D' F'
L2 F2 L' U B D2 F'
L2 F2 L' U B F' D
L2 F2 L' U B F' D'
L2 F2 L' U B F' D2
L2 F2 L' D U F' B
L2 F2 L' D U B F'
L F2 L U D F B
L F2 L U D B F
L F2 L U D' F B
L F2 L U D' B F
L F2 L U D2 F B
L F2 L U D2 B F
L F2 L U F D B
L F2 L U F D' B
L F2 L U F D2 B
L F2 L U F B D
L F2 L U F B D'
L F2 L U F B D2
L F2 L U B D F
L F2 L U B D' F
L F2 L U B D2 F
L F2 L U B F D
L F2 L U B F D'
L F2 L U B F D2
L2 F2 L' D' U F' B
L2 F2 L' D' U B F'
L2 F2 L' D2 U F' B
L2 F2 L' D2 U B F'
B2 D' F R2 F' B' L2
B2 D' F R2 B' L2 F'
B2 D' F R2 B' F' L2
L F2 L D U F B
L F2 L D U B F
L F2 L D' U F B
L F2 L D' U B F
L F2 L D2 U F B
L F2 L D2 U B F
F' D' F' L2 U F B
F' D' F' L2 U B F
L2 F2 L2 U D F' B
L2 F2 L2 U D B F'
L2 F2 L2 U D' F' B
L2 F2 L2 U D' B F'
L2 F2 L2 U D2 F' B
L2 F2 L2 U D2 B F'
L2 F2 L2 U F' D B
L2 F2 L2 U F' D' B
L2 F2 L2 U F' D2 B
L2 F2 L2 U F' B D
L2 F2 L2 U F' B D'
L2 F2 L2 U F' B D2
L2 F2 L2 U B D F'
L2 F2 L2 U B D' F'
L2 F2 L2 U B D2 F'
L2 F2 L2 U B F' D
L2 F2 L2 U B F' D'
L2 F2 L2 U B F' D2
R' F2 R L2 U F B
R' F2 R L2 U B F
R' F2 R U B D2 F2
F' D' F' U B D2 F2
L2 F2 L2 D U F' B
L2 F2 L2 D U B F'
R2 F2 L2 R U F B'
R2 F2 L2 R U B' F
R' F2 R U' B' U2 B2
L F2 L' U B D2 F2
R2 F2 L2 R' U F B'
R2 F2 L2 R' U B' F
L2 F2 L2 D' U F' B
L2 F2 L2 D' U B F'
F' D' F' U' B' U2 B2
L F2 L' U' B' U2 B2
R2 F2 L2 R2 U F B'
R2 F2 L2 R2 U B' F
L2 F2 L2 D2 U F' B
L2 F2 L2 D2 U B F'
B2 D' F' R2 F' B' L2
B2 D' F' R2 B' L2 F'
B2 D' F' R2 B' F' L2
R2 F2 L2 U D F B'
R2 F2 L2 U D B' F
R2 F2 L2 U D' F B'
R2 F2 L2 U D' B' F
R2 F2 L2 U D2 F B'
R2 F2 L2 U D2 B' F
R2 F2 L2 U F D B'
R2 F2 L2 U F D' B'
R2 F2 L2 U F D2 B'
R2 F2 L2 U F B' D
R2 F2 L2 U F B' D'
R2 F2 L2 U F B' D2
R2 F2 L2 U B' D F
R2 F2 L2 U B' D' F
R2 F2 L2 U B' D2 F
R2 F2 L2 U B' F D
R2 F2 L2 U B' F D'
R2 F2 L2 U B' F D2
F D' F L2 U F B
F D' F L2 U B F
R2 F2 L2 D U F B'
R2 F2 L2 D U B' F
R2 F2 L2 D' U F B'
R2 F2 L2 D' U B' F
R2 F2 L2 D2 U F B'
R2 F2 L2 D2 U B' F
F D' F U B D2 F2
F D' F U' B' U2 B2
R' F2 R' U' F' B' U2
R' F2 R' U' B' F' U2
R2 F2 R L2 U F B'
R2 F2 R L2 U B' F
B2 D' F2 R2 F' B' L2
B2 D' F2 R2 B' L2 F'
B2 D' F2 R2 B' F' L2
R F2 L2 R' U F B
R F2 L2 R' U B F
R2 F2 R U' F B' U2
R2 F2 R U' B' F U2
R2 F2 R' L2 U F B'
R2 F2 R' L2 U B' F
R2 F2 R' U' F B' U2
B2 D' B U2 L2 R2 B2
B2 D' B U2 L2 B2 R2
R2 F2 R' U' B' F U2
B2 D' B U2 R2 L2 B2
B2 D' B U2 R2 B2 L2
B2 D' B U2 B2 L2 R2
B2 D' B U2 B2 R2 L2
R F2 R U' F' B' U2
R F2 R U' B' F' U2
L2 F2 R2 U' F' B U2
L2 F2 R2 U' B F' U2
B2 D' B' L2 R2 D2 F2
D' F2 U L' B L' F
D' F2 U L2 D F B
D' F2 U L2 D B F
D' F2 U L2 D' F B
D' F2 U L2 D' B F
D' F2 U L2 D2 F B
D' F2 U L2 D2 B F
D' F2 U L2 F D B
D' F2 U L2 F D' B
D' F2 U L2 F D2 B
D' F2 U L2 F B D
D' F2 U L2 F B D'
D' F2 U L2 F B D2
D' F2 U L2 B D F
D' F2 U L2 B D' F
D' F2 U L2 B D2 F
D' F2 U L2 B F D
D' F2 U L2 B F D'
D' F2 U L2 B F D2
L' F2 U L' F L B
B2 D' B' R2 L2 D2 F2
R2 F2 R2 L2 U F B'
R2 F2 R2 L2 U B' F
D2 F2 U D L2 F B
D2 F2 U D L2 B F
R F2 R' L2 U F B
R F2 R' L2 U B F
R2 F2 R2 U' F B' U2
R2 F2 R2 U' B' F U2
R F2 R' U B D2 F2
D' F2 U F L2 F B
D' F2 U F L2 B F
R F2 R' U' B' U2 B2
D' F2 U F' L2 F B
D' F2 U F' L2 B F
D' F2 U F2 L2 F B
D' F2 U F2 L2 B F
D' F2 U B L2 D2 F2
L2 F2 U L B L' F'
L2 F2 U L' F' L B
L' F2 U B L' F L
L2 F2 U L2 F' L2 B
L2 F2 U L2 F' B L2
L2 F2 U L2 B L2 F'
L2 F2 U L2 B F' L2
B2 D' B2 L2 F B R2
B2 D' B2 L2 B R2 F
B2 D' B2 L2 B F R2
L2 F2 U D F' D B
L2 F2 U D F' D' B
L2 F2 U D F' D2 B
L2 F2 U D F' B D
L2 F2 U D F' B D'
L2 F2 U D F' B D2
L2 F2 U D B D F'
L2 F2 U D B D' F'
L2 F2 U D B D2 F'
L2 F2 U D B F' D
L2 F2 U D B F' D'
L2 F2 U D B F' D2
L2 F2 U D' F' D B
L2 F2 U D' F' D' B
L2 F2 U D' F' D2 B
L2 F2 U D' F' B D
L2 F2 U D' F' B D'
L2 F2 U D' F' B D2
L2 F2 U D' B D F'
L2 F2 U D' B D' F'
L2 F2 U D' B D2 F'
L2 F2 U D' B F' D
L2 F2 U D' B F' D'
L2 F2 U D' B F' D2
L2 F2 U D2 F' D B
L2 F2 U D2 F' D' B
L2 F2 U D2 F' D2 B
L2 F2 U D2 F' B D
L2 F2 U D2 F' B D'
L2 F2 U D2 F' B D2
L2 F2 U D2 B D F'
L2 F2 U D2 B D' F'
L2 F2 U D2 B D2 F'
L2 F2 U D2 B F' D
L2 F2 U D2 B F' D'
L2 F2 U D2 B F' D2
R2 F2 U L2 F B' L2
R2 F2 U L2 B' F L2
L2 F2 U F' L B L'
L2 F2 U F' L2 B L2
L2 F2 U F' D B D
L2 F2 U F' D B D'
L2 F2 U F' D B D2
L2 F2 U F' D' B D
L2 F2 U F' D' B D'
L2 F2 U F' D' B D2
L2 F2 U F' D2 B D
L2 F2 U F' D2 B D'
L2 F2 U F' D2 B D2
L2 F2 U F' B2 D B'
L2 F2 U F' B2 D' B'
L2 F2 U F' B2 D2 B'
L2 F2 U F2 D F B
L2 F2 U F2 D B F
L2 F2 U F2 D' F B
L2 F2 U F2 D' B F
L2 F2 U F2 D2 F B
L2 F2 U F2 D2 B F
L2 F2 U F2 B D F
L2 F2 U F2 B D' F
L2 F2 U F2 B D2 F
L2 F2 U B L' F' L
L2 F2 U B L2 F' L2
L2 F2 U B D F' D
L2 F2 U B D F' D'
L2 F2 U B D F' D2
L2 F2 U B D' F' D
L2 F2 U B D' F' D'
L2 F2 U B D' F' D2
L2 F2 U B D2 F' D
L2 F2 U B D2 F' D'
L2 F2 U B D2 F' D2
L2 F2 U B F2 D F
L2 F2 U B F2 D' F
L2 F2 U B F2 D2 F
L2 F2 U B2 D F' B'
L2 F2 U B2 D B' F'
L2 F2 U B2 D' F' B'
L2 F2 U B2 D' B' F'
L2 F2 U B2 D2 F' B'
L2 F2 U B2 D2 B' F'
L2 F2 U B2 F' D B'
L2 F2 U B2 F' D' B'
L2 F2 U B2 F' D2 B'
R' F2 U' B' U' R' U'
D' F2 U' B' U2 L2 B2
D' F2 U' B' U2 B2 L2
D F2 U D2 L2 F B
D F2 U D2 L2 B F
L' F2 U2 L' U' F B
L' F2 U2 L' U' B F
D F2 U B D2 L2 F2
D F2 U B D2 F2 L2
L2 F2 U' F U2 F2 B
L2 F2 U' F U2 B F2
L2 F2 U' F2 U2 F B
L2 F2 U' F2 U2 B F
R2 F2 U' D F B' U2
R2 F2 U' D B' F U2
L2 F2 U' B' U2 F' B2
L2 F2 U' B' U2 B2 F'
R2 F2 U' D' F B' U2
R2 F2 U' D' B' F U2
L2 F2 U' B2 U2 F' B'
L2 F2 U' B2 U2 B' F'
R2 F2 U' D2 F B' U2
R2 F2 U' D2 B' F U2
L2 F2 U2 L U' F' B
L2 F2 U2 L U' B F'
D F2 U' R2 F' B' U2
L F2 U B U L U'
R2 F2 U' F D B' U2
R2 F2 U' F D' B' U2
D F2 U' R2 B' F' U2
R2 F2 U' F D2 B' U2
R2 F2 U' F B' U2 D
R2 F2 U' F B' U2 D'
R2 F2 U' F B' U2 D2
R2 F2 U' F B' D U2
R2 F2 U' F B' D' U2
R2 F2 U' F B' D2 U2
L2 F2 U2 L' U' F' B
L2 F2 U2 L' U' B F'
L2 F2 U2 L2 U' F' B
L2 F2 U2 L2 U' B F'
R2 F2 U' B' D F U2
R2 F2 U' B' D' F U2
R2 F2 U' B' D2 F U2
R2 F2 U' B' F U2 D
R2 F2 U' B' F U2 D'
R2 F2 U' B' F U2 D2
R2 F2 U' B' F D U2
R2 F2 U' B' F D' U2
R2 F2 U' B' F D2 U2
D F2 U' B' R2 U2 B2
R2 F2 U2 L2 U' F B'
R2 F2 U2 L2 U' B' F
D2 F2 D U L2 F B
D2 F2 D U L2 B F
L2 F2 D L U F' B
L2 F2 D L U B F'
L2 F2 D L' U F' B
L2 F2 D L' U B F'
L2 F2 D L2 U F' B
L2 F2 D L2 U B F'
L2 F2 D U F' D B
L2 F2 D U F' D' B
L2 F2 D U F' D2 B
L2 F2 D U F' B D
L2 F2 D U F' B D'
L2 F2 D U F' B D2
L2 F2 D U B D F'
L2 F2 D U B D' F'
L2 F2 D U B D2 F'
L2 F2 D U B F' D
L2 F2 D U B F' D'
L2 F2 D U B F' D2
F2 D2 L2 U D F B
F2 D2 L2 U D B F
F2 D2 L2 U D' F B
F2 D2 L2 U D' B F
F2 D2 L2 U D2 F B
F2 D2 L2 U D2 B F
F2 D2 L2 U F D B
F2 D2 L2 U F D' B
F2 D2 L2 U F D2 B
F2 D2 L2 U F B D
F2 D2 L2 U F B D'
F2 D2 L2 U F B D2
F2 D2 L2 U B D F
F2 D2 L2 U B D' F
F2 D2 L2 U B D2 F
F2 D2 L2 U B F D
F2 D2 L2 U B F D'
F2 D2 L2 U B F D2
R2 F2 D L2 U F B'
R2 F2 D L2 U B' F
F' D2 L2 F' U F2 B
F' D2 L2 F' U B F2
F2 D2 L2 D U F B
F2 D2 L2 D U B F
F2 D2 L2 D' U F B
F2 D2 L2 D' U B F
F2 D2 L2 D2 U F B
F2 D2 L2 D2 U B F
R2 F2 D U' F B' U2
R2 F2 D U' B' F U2
L2 F2 D' L U F' B
L2 F2 D' L U B F'
L2 F2 D' L' U F' B
L2 F2 D' L' U B F'
L2 F2 D' L2 U F' B
L2 F2 D' L2 U B F'
L F2 D L U F B
L F2 D L U B F
L2 F2 D' U F' D B
L2 F2 D' U F' D' B
L2 F2 D' U F' D2 B
L2 F2 D' U F' B D
L2 F2 D' U F' B D'
L2 F2 D' U F' B D2
L2 F2 D' U B D F'
L2 F2 D' U B D' F'
L2 F2 D' U B D2 F'
L2 F2 D' U B F' D
L2 F2 D' U B F' D'
L2 F2 D' U B F' D2
R2 F2 D' L2 U F B'
R2 F2 D' L2 U B' F
R2 F2 D' U' F B' U2
R2 F2 D' U' B' F U2
L2 F2 D2 L U F' B
L2 F2 D2 L U B F'
L2 F2 D2 L' U F' B
L2 F2 D2 L' U B F'
L2 F2 D2 L2 U F' B
L2 F2 D2 L2 U B F'
L F2 D' L U F B
L F2 D' L U B F
L2 F2 D2 U F' D B
L2 F2 D2 U F' D' B
L2 F2 D2 U F' D2 B
L2 F2 D2 U F' B D
L2 F2 D2 U F' B D'
L2 F2 D2 U F' B D2
L2 F2 D2 U B D F'
L2 F2 D2 U B D' F'
L2 F2 D2 U B D2 F'
L2 F2 D2 U B F' D
L2 F2 D2 U B F' D'
L2 F2 D2 U B F' D2
R2 F2 D2 L2 U F B'
R2 F2 D2 L2 U B' F
R2 F2 D2 U' F B' U2
R2 F2 D2 U' B' F U2
D F2 D2 U L2 F B
D F2 D2 U L2 B F
L F2 D2 L U F B
L F2 D2 L U B F
U' F2 B' U2 B2 D L2
F2 D2 R2 U' F' B' U2
F2 D2 R2 U' B' F' U2
F2 D2 U L2 F L2 B
F2 D2 U L2 F B L2
F2 D2 U L2 B F L2
F2 D2 U F B D2 F2
F2 D2 U F' B D2 F2
F2 D2 U F2 B D2 F2
F2 D2 U B U2 B2 U2
F2 D2 U B D2 F2 D
F2 D2 U B D2 F2 D'
F2 D2 U B D2 F2 D2
F2 D2 U B F D2 F2
F2 D2 U B F' D2 F2
F2 D2 U B F2 D2 F2
U F2 B D2 F2 D' L2
F2 D2 U' F B' U2 B2
F2 D2 U' F' B' U2 B2
F2 D2 U' F2 B' U2 B2
F2 D2 U' B' U2 B2 D
F2 D2 U' B' U2 B2 D'
F2 D2 U' B' U2 B2 D2
F2 D2 U' B' D2 F2 U2
F2 D2 U' B' F U2 B2
F2 D2 U' B' F' U2 B2
F2 D2 U' B' F2 U2 B2
F2 D2 U2 L2 U' F B
F2 D2 U2 L2 U' B F
U B L D' L2 D' F2
U B L D2 F2 D L2
F' D2 F' L2 U F B
F' D2 F' L2 U B F
F' D2 F' U B D2 F2
F' D2 F' U' B' U2 B2
F D2 F L2 U F B
F D2 F L2 U B F
U B L' D' L2 D' F2
U B L' D2 F2 D L2
F D2 F U B D2 F2
F D2 F U' B' U2 B2
U B L2 D' L2 D' F2
U B L2 D2 F2 D L2
D' B U' B' U L2 F
L2 B U' F2 B' U F'
U B U D2 B2 U' F2
L2 B U' B' F2 U F'
U B U' D' R2 U L2
U B U' F2 U D2 F2
U B U' F2 U' B2 U2
U B U' F2 D' R2 U
U B U' F2 D2 U F2
U B U2 B2 U F2 U
U B U2 B2 U2 D' L2
U B U2 B2 D R2 U2
U B U2 B2 D' U2 L2
U B D' L D' L F2
U B D' L D' F2 L
U B D' L' D' L' F2
U B D' L2 U' R2 U
U B D' L2 D' F2 D
U B D' L2 D' F2 D'
U B D' L2 D' F2 D2
U B D' L2 F D' F2
U B D' L2 F' D' F2
U B D' L2 F2 D' F2
U2 B D2 F2 D L2 R2
U2 B D2 F2 D R2 L2
U B D' U' R2 U L2
U B D' F L2 D' F2
U B D' F' L2 D' F2
U2 B D2 B2 U' F2 B2
U2 B D2 B2 U' B2 F2
U B D' F2 L2 D' F2
U B D2 L F2 D L2
U B D2 L' F2 D L2
U B D2 L2 F2 D L2
L2 B F U' F B' U
L2 B F U' B' F U
U B D2 U B2 U' F2
U B D2 F D F L2
U B D2 F' D L2 F'
U B D2 F' D F' L2
U B D2 F2 L D L2
U B D2 F2 L' D L2
U B D2 F2 L2 D L2
U B D2 F2 U B2 U'
U B D2 F2 D L2 D
U B D2 F2 D L2 D'
U B D2 F2 D L2 D2
B' F U F B U B
B' F U B F U B
U B F2 D2 F2 D' L2
U' B' R U F2 U B2
U' B' R U2 B2 D' L2
U' B' R' U F2 U B2
F2 B D' R2 B' U B
U' B' R' U2 B2 D' L2
U' B' R2 U F2 U B2
U' B' R2 U2 B2 D' L2
F2 B D2 B' U F2 B
F2 B D2 B' U B F2
U' B' U L F2 U B2
U' B' U L' F2 U B2
U' B' U L2 F2 U B2
U' B' U F2 L U B2
U' B' U F2 L' U B2
U' B' U F2 L2 U B2
U' B' U F2 U B2 D
U' B' U F2 U B2 D'
U' B' U F2 U B2 D2
U' B' U F2 D L2 U
D B' R2 U' F' U' B2
D' B' U B U L2 B
D' B' U B U B L2
U' B' U' D' R2 U' L2
U' B' U2 L B2 D' L2
U' B' U2 L' B2 D' L2
U' B' U2 L2 B2 D' L2
U' B' U2 D' L2 D B2
U' B' U2 B D' L2 B
U' B' U2 B D' B L2
U' B' U2 B' D' B' L2
U' B' U2 B2 L D' L2
U' B' U2 B2 L' D' L2
U' B' U2 B2 L2 D' L2
U' B' U2 B2 U' F2 U
U' B' U2 B2 D' L2 D
U' B' U2 B2 D' L2 D'
U' B' U2 B2 D' L2 D2
U' B' D R2 U L2 U
U' B' D R2 U2 D' B2
U' B' D R2 D F2 U2
U' B' D R2 D' U2 B2
U2 B' U2 F2 U F2 B2
U2 B' U2 F2 U B2 F2
U2 B' U2 B2 D' L2 R2
U2 B' U2 B2 D' R2 L2
U' B' D' U' R2 U' L2
U' B' D' U2 L2 D B2
U' B' D2 F2 U' B2 U'
U' B' D2 F2 U2 D L2
U' B' D2 F2 D U2 L2
U' B' D2 F2 D' R2 U2
B' F' U F' B U B
B' F' U B F' U B
F' B' U F' B U B
U' B' F U F U B2
F' B' U B F' U B
U' B' F' U F' U B2
F B' U F B U B
U' B' F2 U2 B2 D L2
F B' U B F U B
R2 B' F' U F' B U
R2 B' F' U B F' U
F2 B' D B L2 U F
D2 B2 U' D' R2 F' B'
D2 B2 U' D' R2 B' F'
B2 F2 R2 B2 U F' B
B2 F2 R2 B2 U B F'
U' B2 D R2 U2 F' B'
U' B2 D R2 U2 B' F'
F2 B2 R2 B2 U F' B
F2 B2 R2 B2 U B F'
U' B2 D B R2 U2 B2
B2 F2 U D' R2 F' B'
B2 F2 U D' R2 B' F'
F2 B2 U D' R2 F' B'
F2 B2 U D' R2 B' F'
D2 B2 D' U' R2 F' B'
D2 B2 D' U' R2 B' F'
U' B2 D' B U2 L2 B2
U' B2 D' B U2 B2 L2
L2 B2 D' R2 F B' L2
L2 B2 D' R2 B' F L2
L2 B2 D' F R2 B' L2
L2 B2 D' F B' L2 R2
L2 B2 D' F B' R2 L2
R2 B2 D' L2 R2 F' B
R2 B2 D' L2 R2 B F'
L2 B2 D' B' R2 F L2
L2 B2 D' B' F L2 R2
L2 B2 D' B' F R2 L2
R2 B2 D' R2 L2 F' B
R2 B2 D' R2 L2 B F'
R2 B2 D' R2 F' L2 B
R2 B2 D' R2 F' B L2
R2 B2 D' R2 B L2 F'
R2 B2 D' R2 B F' L2
B' F2 D B L2 U F
U B2 D B' D2 L2 F2
U B2 D B' D2 F2 L2
U B2 D' B' L2 D2 F2
U B2 D' B2 L2 F B
U B2 D' B2 L2 B F
B2 F2 D' U R2 F' B'
B2 F2 D' U R2 B' F'
F2 B2 D' U R2 F' B'
F2 B2 D' U R2 B' F'
B F2 D' R2 B' U B
B F2 D2 B' U F2 B
B F2 D2 B' U B F2
