L2 R D2 F' R B'
L2 R D2 F' B' R
L2 R D2 B' F' R
L2 R F' B R' B2
L2 R B F' R' B2
B2 L2 R F' B' R'
B2 L2 R B' F' R'
B2 L2 R B' F' R'
R L2 D2 F' R B'
B L2 R F' R2 B'
R L2 D2 F' B' R
B L2 R F' B' R2
R L2 D2 B' F' R
B L2 R B' F' R2
F2 L2 R2 B R' F'
B L2 R' B' D2 F2
B2 L2 R2 B' R' F'
R L2 F' B R' B2
L2 R2 B R' F' B2
L2 R2 B R' B2 F'
R2 L2 B R' F' B2
R2 L2 B R' B2 F'
R L2 B F' R' B2
B' L2 F2 R F' B'
B' L2 F2 R B' F'
B' L2 F2 B' R F'
B2 L2 B' R F' R2
B' L2 B' F2 R F'
B2 R L2 F' B' R'
B2 R L2 B' F' R'
B R L2 F' R2 B'
B R L2 F' B' R2
B R L2 B' F' R2
B R' L2 B' D2 F2
F R' B U2 L2 R'
F R' B U2 R' L2
B R' B2 L2 F B'
B R' B2 L2 B' F
F2 R2 L2 B R' F'
B2 R2 L2 B' R' F'
D2 R2 F L' U2 F
F2 R2 B L2 R' F'
F2 R2 B R' L2 F'
F2 R2 B R' F' L2
D2 F L' R2 U2 F
D2 F R2 L' U2 F
R' F B U2 L2 R'
R' F B U2 R' L2
R2 B L2 R' F' B'
R2 B L2 R' B' F'
L2 B R F' R2 B2
L2 B R F' B2 R2
L2 B R B2 F' R2
R2 B R' L2 F' B'
R2 B R' L2 B' F'
R B L2 F' R' B'
R' B U2 L2 R' B'
R' B U2 R' L2 B'
R' B F U2 L2 R'
R' B F U2 R' L2
R' B2 L2 F B' R'
R' B2 L2 B' R' F
R' B2 L2 B' F R'
R2 B2 L2 B' R' F'
R B2 L2 F' B' R'
R B2 L2 B' F' R'
L' B2 R2 L' B' R' F'
R B2 L2 D' F' B' R'
R B2 L2 D' B' F' R'
R B2 L2 D2 F' B' R'
R B2 L2 D2 B' F' R'
U B2 R L2 F' B' R'
R B2 L2 F B' R' F2
U B2 R L2 B' F' R'
R B2 L2 F' R B' R'
R B2 L2 F' R' B' R'
R B2 L2 F' R2 B' R'
D2 B2 R2 F L' U2 F
R B2 L2 F' D B' R'
R B2 L2 F' D' B' R'
R B2 L2 F' D2 B' R'
R B2 L2 F' B' R' D
R B2 L2 F' B' R' D'
R B2 L2 F' B' R' D2
R B2 L2 F' B' D R'
R B2 L2 F' B' D' R'
R B2 L2 F' B' D2 R'
R2 B2 R' L2 F' B' R'
R2 B2 R' L2 B' F' R'
R B2 L2 F2 B' R' F
R B2 L2 B' D F' R'
R B2 L2 B' D' F' R'
R B2 L2 B' D2 F' R'
R B2 L2 B' F R' F2
R B2 L2 B' F' R' D
R B2 L2 B' F' R' D'
R B2 L2 B' F' R' D2
R B2 L2 B' F' D R'
R B2 L2 B' F' D' R'
R B2 L2 B' F' D2 R'
R B2 L2 B' F2 R' F
R B2 R L2 B' R' F'
U2 B2 R2 L2 B' R' F'
L B2 R' B L U2 B'
U B2 R2 L2 B' R' F'
R' B2 U2 L2 F R B'
R' B2 U2 L2 F B' R
R' B2 U2 L2 B' F R
F B2 R F' L2 B' R'
F B2 R' B L U2 L
L' B2 D2 L' F B' R'
L' B2 D2 L' B' R' F
L' B2 D2 L' B' F R'
D2 B2 F L' R2 U2 F
D2 B2 F R2 L' U2 F
R' B2 F U2 L2 F R
F B2 U2 L2 F R F'
F B2 U2 F L2 R F'
F B2 U2 F R L2 F'
F B2 U2 F R F' L2
